[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[00:05:28.527 --> 00:05:33.589]  And those that aren't screwing and raping and torturing and killing the kids know about it and are helping cover it up.
[00:05:34.290 --> 00:05:39.952]  From Atlantic Monthly, to CNN, to USA Today, you people are the scum of Earth!
[00:05:40.272 --> 00:05:41.413]  We'll be right back, stay with us.
[00:05:42.233 --> 00:05:45.875]  Welcome to the rest of infinity.
[00:05:48.116 --> 00:05:53.498]  And as Buzz Lightyear says, infinity and beyond.
[00:05:56.420 --> 00:06:05.227]   Wow, you know, Recognizing truth-tellers that are doing incredible jobs that may not even be getting the attention they deserve.
[00:06:06.190 --> 00:06:09.096]  I've got all this incredible news and all these amazing things.
[00:06:10.379 --> 00:06:13.400]  And I had this clip yesterday, but got busy, didn't get to it.
[00:06:13.420 --> 00:06:19.223]  So I'm going to play a short clip of this guy, who I think is right up there with Tucker Carlson when it comes to being hardcore.
[00:06:19.923 --> 00:06:25.545]  In fact, maybe even more hardcore than Tucker Carlson, but not as articulate, which I'm not as articulate as Tucker Carlson.
[00:06:25.825 --> 00:06:27.646]  He's definitely the top of the line when it comes to that.
[00:06:28.126 --> 00:06:31.707]  But this guy's on his hardcore analysis and his courage is 100%.
[00:06:34.415 --> 00:06:37.917]  OAN's Pearson Sharp breaks down vaccine lunacy.
[00:06:37.957 --> 00:06:39.258]  That's coming up here in just a few minutes.
[00:06:39.298 --> 00:06:41.218]  Just part of the reports he does.
[00:06:41.238 --> 00:06:43.700]  They're like 10 minutes long and my mouth's just hanging open.
[00:06:44.480 --> 00:06:45.781]  Because I already know it's all true.
[00:06:45.821 --> 00:06:46.541]  I've done the research.
[00:06:46.981 --> 00:06:49.102]  But the way he lays it out is just savage.
[00:06:49.683 --> 00:06:51.023]  And he's got new ones every day.
[00:06:52.104 --> 00:06:54.925]  And it makes me so mad they're trying to take OAN off the air.
[00:06:56.126 --> 00:06:57.126]  And that's why out of the gates.
[00:06:57.206 --> 00:06:58.267]  I want listeners to understand.
[00:06:59.987 --> 00:07:03.528]  We cannot be defeated if you take action and speak out and spread the word.
[00:07:04.249 --> 00:07:06.609]  Right now, we still have outlets that are hardcore.
[00:07:07.270 --> 00:07:10.291]  And OAN's gone from being excellent to being fantastic.
[00:07:12.091 --> 00:07:12.771]  But what do we got?
[00:07:12.811 --> 00:07:18.413]  We got OAN, we got Tucker Carlson, we got Alex Jones, we got a lot of smaller podcasters, people, we got Joe coming along.
[00:07:19.894 --> 00:07:21.314]  We got a huge awakening taking place.
[00:07:21.334 --> 00:07:24.135]  We got a lot of members of Parliament in Europe and other places standing up.
[00:07:24.195 --> 00:07:26.356]  But we need the people to take action.
[00:07:27.549 --> 00:07:41.156]  And to realize that if you don't go to InfoWars.com or Band.Video and share that big Marjorie Taylor Greene interview we did yesterday, people won't actually get to hear what she said, they'll just see the hundreds of articles demonizing her and spinning what she supposedly said.
[00:07:42.937 --> 00:07:49.140]  You are who carries the ball down the field and I salute you and thank you, but I want to encourage you again to realize we're fighting to stay on air.
[00:07:49.600 --> 00:07:56.123]  I don't want to prove to you how dire the situation is for InfoWars and the rest of the independent media by us going off the air or imploding.
[00:07:57.278 --> 00:08:03.521]  It's like telling somebody, hey, I got heart problems, and you know, hypothetically, which I don't, I'm saying, and then you see them dying of a heart attack one day, and you go, damn, they weren't joking.
[00:08:04.581 --> 00:08:08.783]  So we need your word of mouth, your prayer, and we need your financial support.
[00:08:09.123 --> 00:08:16.186]  So if you're a new listener and never tried any of our supplements or products or water filters or air filters or books or films, they're all the best.
[00:08:16.606 --> 00:08:17.386]  They're all amazing.
[00:08:17.706 --> 00:08:35.014]   And X3, you want to learn about the good halogen and what it does for your body, the next level for your immune system, everything, energy, You name it, X3's back in stock, all three types of iodine that your body needs, 50% off at InfoWarsTore.com and just commit as a new listener or viewer that has never gone to InfoWarsTore to do it.
[00:08:35.034 --> 00:08:37.095]  I want to thank those that are regular supporters.
[00:08:37.115 --> 00:08:42.317]  I want to encourage everybody to help keep us on the air during this critical battle at point-blank range with the New World Order.
[00:08:42.937 --> 00:08:48.400]  Here's just part of a report that Pearson Sharp broke down on the great OAN.
[00:08:50.120 --> 00:08:57.568]  More and more Americans are standing up and fighting back against the tyranny of the COVID conspiracy theory.
[00:08:58.048 --> 00:09:08.219]  Convoys of outraged truck drivers are sending a message loud and clear to cowardly leaders all over the world, from Canada to Australia and even here in the U.S.
[00:09:08.560 --> 00:09:10.161]  And that message is simple.
[00:09:10.962 --> 00:09:12.803]  Back off or else.
[00:09:13.644 --> 00:09:18.006]  We the people will not tolerate this oppression any longer.
[00:09:18.406 --> 00:09:19.607]  We have had enough.
[00:09:20.187 --> 00:09:34.875]  Enough of watching our businesses get destroyed while hypocritical politicians like Gavin Newsom dine out at fancy restaurants with their friends during lockdowns or go maskless to public events they demand that we wear masks to.
[00:09:35.375 --> 00:09:36.156]  We've had enough.
[00:09:36.596 --> 00:09:51.047]  ...of watching our loved ones get sick and die pointless deaths, all because the media and despots in Washington refuse to let us treat our sick with the safest and most effective drugs in the world, like ivermectin.
[00:09:51.567 --> 00:09:58.394]  We've had enough of being denied basic services like being refused entry into a grocery store or restaurant.
[00:09:58.694 --> 00:10:02.298]  Or being refused a life-saving organ transplant.
[00:10:02.839 --> 00:10:11.527]  Unless we have a dehumanizing passport proving we're dumb enough to sign over the rights to our own bodies to these murderous tyrants.
[00:10:12.108 --> 00:10:14.691]  Enough of seeing our children die.
[00:10:15.151 --> 00:10:23.277]  After being forced to take this same poisonous drug that's making big pharma companies like Pfizer and Moderna over a hundred billion dollars a year.
[00:10:24.137 --> 00:10:26.179]  Enough is enough.
[00:10:26.999 --> 00:10:31.822]  They can try to cover up their crimes, but the evidence is mounting and they can't hide it forever.
[00:10:32.303 --> 00:10:37.126]  The story that this is a pandemic of the unvaccinated is laughable.
[00:10:37.506 --> 00:10:43.931]  How do they explain the hundreds of fully vaccinated cruise ships coming down with the Fauci flu?
[00:10:44.751 --> 00:10:55.379]  Israel is one of the most vaccinated countries in the world, and right now, nearly 1% of their entire population is coming down with the China virus every.
[00:10:55.899 --> 00:10:56.420]  Single.
[00:10:56.920 --> 00:10:57.320]  Day.
[00:10:57.841 --> 00:10:58.561]  Think about that.
[00:10:59.262 --> 00:11:02.564]  Really, let that number sink in.
[00:11:03.105 --> 00:11:08.409]   1% of the entire country gets sick with this engineered virus Every day.
[00:11:09.229 --> 00:11:10.570]  And they're all fully vaccinated.
[00:11:11.110 --> 00:11:20.717]  Wayne Allen Root, over on Town Hall, put together a great article on this, demonstrating how the German government claimed up to 90% of the infected and dead are unvaccinated.
[00:11:21.157 --> 00:11:31.884]  But that was a flat-out lie, because it turns out the German government was actually classifying every sick and dying person as unvaccinated, regardless of whether they were or not.
[00:11:32.364 --> 00:11:36.686]  Same goes for Canada, where they claimed 60% of the COVID deaths were unvaccinated.
[00:11:37.006 --> 00:11:45.849]  But that was a lie too, because in reality, they just classified anyone who got sick or died within two weeks of getting the vaccine as unvaccinated.
[00:11:46.529 --> 00:11:54.372]  And surprise, surprise, our own beloved CDC, the Centers for Democrat Control, pulled the same trick on us.
[00:11:54.732 --> 00:11:59.494]  The CDC claimed that anyone who died within 14 days of getting injected wasn't vaccinated.
[00:12:00.134 --> 00:12:07.539]  Even though the majority of the deaths and injuries from the vaccine happened within that first 14-day period.
[00:12:08.240 --> 00:12:11.262]  Good way to cover up all the people they're murdering.
[00:12:11.782 --> 00:12:13.063]  Just say they're not vaccinated.
[00:12:13.843 --> 00:12:14.964]  Sneaky, sneaky.
[00:12:15.485 --> 00:12:24.691]  Daniel Nagase, a Canadian doctor for over 15 years who was fired after saving the lives of three patients with ivermectin, says this is just the tip of the iceberg.
[00:12:25.091 --> 00:12:32.218]  Nagase said, looking at Pfizer's own clinical trial data, the number of deaths and injuries from the vaccine are staggering.
[00:12:32.779 --> 00:12:40.966]  According to their data, fully 31% of the people who got the vaccine either died or had permanent disabilities.
[00:12:41.647 --> 00:12:44.190]  Even more shocking is what's happening in the military.
[00:12:44.790 --> 00:12:54.062]   Since the armed forces rolled out the vaccine in one year, Cancer rates are up 300% among military members.
[00:12:54.783 --> 00:12:55.624]  But that's not all.
[00:12:55.985 --> 00:13:02.976]  Infertility is skyrocketing as well, up 500% in women, along with miscarriages, which are up another 300%.
[00:13:05.239 --> 00:13:15.147]  But those numbers pale in comparison to the rates of clinically diagnosed neurological disorders, which went up an astronomical 1,000 percent from 82,000 to nearly 900,000.
[00:13:14.986 --> 00:13:23.505]   percent from 82,000 to nearly 900,000. And that happened in one year since the
[00:13:23.505 --> 00:13:27.466]   vaccines were introduced. Just think about what that's doing to America's
[00:13:27.466 --> 00:13:30.905]  ability to defend itself.
[00:13:29.418 --> 00:13:33.041]  Our young warriors crippled by their own government.
[00:13:33.562 --> 00:13:37.265]  And we still insist on giving this experimental drug to our children.
[00:13:37.705 --> 00:13:58.264]   Even research published in the Toxicology Report Journal, one of the most well-respected medical journals anywhere, found that children have almost no risk from COVID, but suffer severe consequences from what the researchers themselves called toxic inoculations, including paralysis, heart attacks, and even death.
[00:13:58.704 --> 00:14:08.775]  The study found the spike proteins from the injections cause permanent damage in children's critical organs, including their brains, nervous, and reproductive systems.
[00:14:09.395 --> 00:14:23.847]  After being ordered by a judge in December, Pfizer released its own data, which showed that out of 32 known pregnant women who received the vaccine, 28 women experienced fetal death and lost their babies.
[00:14:24.748 --> 00:14:30.693]  This is tantamount to child sacrifice on the altar of Big Pharma.
[00:14:31.353 --> 00:14:41.861]  Young athletes are another prime group to be targeted by this deadly vaccine, with 500% more soccer players in the EU dropping dead from heart attacks than one year ago.
[00:14:41.881 --> 00:14:41.861]  500%!
[00:14:44.383 --> 00:14:49.167]  Who is actually brain-dead enough to think that this is just a coincidence?
[00:14:49.607 --> 00:14:55.430]   When Pfizer and Moderna vaccines are known by the FDA to cause heart attacks.
[00:14:56.670 --> 00:15:01.191]  This is a pandemic of the ignorant, and it's killing our country.
[00:15:01.911 --> 00:15:10.913]  So, for all you progressives, and Democrats, and radical leftists out there, do us all a favor, please, and go get vaccinated.
[00:15:11.194 --> 00:15:12.194]  In fact, don't stop there.
[00:15:12.294 --> 00:15:15.955]  Get double vaccinated, and be sure to get all your boosters, all three or four of them.
[00:15:16.435 --> 00:15:17.115]  Why stop there?
[00:15:17.495 --> 00:15:20.836]  If more is better, get five, six, get ten boosters.
[00:15:21.596 --> 00:15:27.801]  All the rest of us sane, freedom-loving Americans are counting on you to get your injections.
[00:15:28.441 --> 00:15:31.523]  The survival of our country depends on it.
[00:15:32.503 --> 00:15:35.303]  For One American News, I'm Pearson Sharpe.
[00:16:02.182 --> 00:16:06.663]   That's the great Jimmy Levy bringing us in, songs topping the charts,
[00:16:06.663 --> 00:16:14.343]   talking about liberty and freedom that is so incredibly popular.
[00:16:14.510 --> 00:16:22.355]  That's why the power structure is trying to suppress us and gaslight us all, because they know the awakening is here, and they know their corrupt system is going down, and they want to take us with them.
[00:16:25.056 --> 00:16:30.319]  All right, let's start drilling into all of this, because I've got to get to all this news today, it's so important.
[00:16:31.192 --> 00:16:39.217]  The FBI director has come out and discovered a giant new threat that's blown him away.
[00:16:39.237 --> 00:16:50.663]  Kind of like the FBI until the mid 1950s told Congress that La Cosa Nostra, an organized crime by the Italians, did not exist.
[00:16:53.385 --> 00:16:57.727]  Because they were being blackmailed by organized crime.
[00:16:57.767 --> 00:16:58.808]  At least J. Edgar Hoover was.
[00:16:58.828 --> 00:16:59.268]  That's come out.
[00:17:00.273 --> 00:17:11.625]  Well now they tell us Chinese spies don't exist, even though they basically took over Hollywood, took over the Democratic Party, put their operatives in as the managers of senators and members of the House.
[00:17:12.006 --> 00:17:37.495]   But now because George Soros said that China and the Communists are bad, because he's God, Now the FBI is allowed to admit it exists, because Xi Jinping, for all of his evil and all of his corruption, has decided to not have forced abortion, and has decided to tell people to have three children, and has decided to be proud of being Chinese, and not wanting to destroy his country.
[00:17:40.015 --> 00:18:00.926]   And so because he did that, and is not giving George Soros his sacrament of dead babies, well now, George Soros' minion It's like discovering the moon when you're 50 years old or something.
[00:18:01.927 --> 00:18:07.751]  FBI director reveals the one threat to the US that has blown him away.
[00:18:07.771 --> 00:18:13.435]  But wait a minute, he just said two years ago and a year ago, got it all right here.
[00:18:16.747 --> 00:18:23.271]  That white supremacy is the most lethal threat in America, says the FBI Director Anne Biden.
[00:18:24.831 --> 00:18:25.792]  Isn't that just interesting?
[00:18:27.593 --> 00:18:31.578]   What you guys can do with a document cam shot is, I was going to do it off-air, but since you went to me.
[00:18:32.198 --> 00:18:32.938]  Shoot right here.
[00:18:32.978 --> 00:18:34.759]  This is where I show the articles.
[00:18:35.099 --> 00:18:38.860]  Or you can do wide shots over... We've got a skeleton crew in today because of the ice storm.
[00:18:38.880 --> 00:18:39.520]  They're doing a great job.
[00:18:39.540 --> 00:18:45.422]  But you can either scan over the articles, which is how I like it, or you don't have to follow me around.
[00:18:45.783 --> 00:18:47.303]  I'll always show you an article right here.
[00:18:47.663 --> 00:18:55.446]  So if I pick one up out of the stack, if you just aim right here, right here, then I'll put it right there for folks, okay?
[00:18:55.746 --> 00:18:57.207]  So let me get back to that now.
[00:18:57.687 --> 00:18:58.127]  See right here?
[00:18:59.315 --> 00:19:01.777]  We hear all about the white supremacists, they're the number one threat.
[00:19:02.217 --> 00:19:07.521]  Not the Mexican drug cartels, not MS-13, not the communist Chinese, not radical Islam.
[00:19:07.961 --> 00:19:08.241]  No.
[00:19:08.842 --> 00:19:15.566]  White people are inherently evil, and white people are inherently bad, and being white is inherently a bad thing.
[00:19:15.586 --> 00:19:22.511]  You see that taught in the schools, taught everywhere by the Marxist-Leninist leftists that are using that as their divide-and-conquer strategy.
[00:19:23.928 --> 00:19:26.570]  DHS, you said a couple years ago the number one threat was white supremacist.
[00:19:26.910 --> 00:19:27.970]  Now that's official.
[00:19:28.451 --> 00:19:30.151]  And what is white supremacist?
[00:19:31.232 --> 00:19:40.897]  White supremacist is questioning open borders, questioning forced injections, questioning lockdowns, or questioning election fraud.
[00:19:42.138 --> 00:19:47.174]   Homeland Security, emerging threat, domestic terrorism, and white Supremacy.
[00:19:47.554 --> 00:19:59.037]  But now, the FBI director says, oh my goodness, goody goody gumdrops, we've got Chinese spies in the universities, and the media, and government, and they've basically taken over!
[00:20:00.317 --> 00:20:12.540]  Because the left was controlling China, using them as a base of operations to do that, just like they had used offshore spies out of Israel to engage in some of their takeover operations, and MI6 out of the UK.
[00:20:14.209 --> 00:20:15.050]  That's a classic thing.
[00:20:15.090 --> 00:20:19.272]  In fact, when the Germans want somebody killed, they'll have U.S.
[00:20:19.332 --> 00:20:21.553]  CIA killers go to kill the Germans.
[00:20:21.914 --> 00:20:27.377]  And when an American wants somebody killed inside the power structure, they'll hire usually the Germans.
[00:20:27.937 --> 00:20:29.959]  But they hired the Germans to blow up Oklahoma City.
[00:20:30.719 --> 00:20:33.621]  The Southern Poverty Law Center and FBI and ATF did.
[00:20:34.241 --> 00:20:36.022]  So, it's the same thing.
[00:20:36.042 --> 00:20:42.106]  Because you always go over and do it in somebody else's yard, so there's even more plausible deniability with those teams.
[00:20:43.414 --> 00:20:44.714]  So there you go.
[00:20:44.834 --> 00:20:49.495]  Oh, and by the way, there were some good FBI agents that came out and blew the whistle on that and what really happened.
[00:20:49.515 --> 00:20:56.677]  And now they had videotapes of the men inside the building putting the bombs in and now they disappeared those videotapes of the explosion coming from inside the building.
[00:20:56.957 --> 00:21:03.659]  That even came out in the LA Times back in the late 90s, back when we still had some free press in the corporate media in this nation.
[00:21:04.039 --> 00:21:08.619]   But that all ties in To Whoopi Goldberg!
[00:21:08.719 --> 00:21:22.397]  And she says she may just leave The View because why, she's got a Jewish last name and the ADL loves her and she believes, you know, that leftist Jewish organizations cannot be questioned and whatever they say has to go.
[00:21:23.450 --> 00:21:29.753]  Because they represent supposedly Jews, and then if you don't do what they say, you are Hitler, you carried out the Holocaust.
[00:21:29.793 --> 00:21:32.274]  That's how young white children are told.
[00:21:32.334 --> 00:21:33.715]  You're inherently bad because you're white.
[00:21:34.755 --> 00:21:41.738]  And so she's a little upset now, but remember what the ADL told us last year and again in statements last week.
[00:21:42.398 --> 00:21:44.639]  Racism is only a thing of white people.
[00:21:46.600 --> 00:21:52.483]  And brown people cannot be tribal or in gangs and cannot target whites because they're white.
[00:21:53.325 --> 00:21:54.485]  Plus, whites are bad and deserve it.
[00:21:55.046 --> 00:22:14.554]  So Whoopi Goldberg went off the latest download from the head of the ADL, who even though he came on and she groveled to him and everything, it's not enough, but she was following the new ADL directive from on high that racism is anything white.
[00:22:15.554 --> 00:22:27.179]   And so she said, well, you can't have White Germans killing white Jews, and that'd be racism, because whites cannot be ever persecuted by a racist attack.
[00:22:27.219 --> 00:22:28.259]  I mean, the ADL said so.
[00:22:28.539 --> 00:22:38.922]  So she went and said, no, the ultimate crime in history is not the Jews getting killed because other whites killed them, and whites are inherently bad.
[00:22:38.982 --> 00:22:40.363]  And they're like, whoa!
[00:22:40.923 --> 00:22:44.364]  Disney came out and said, that owns ABC, and said, whoa, whoa, whoa.
[00:22:46.602 --> 00:22:48.303]  You cannot do that.
[00:22:48.463 --> 00:22:49.343]  Do not do that.
[00:22:50.043 --> 00:22:58.607]  You can teach five-year-old white kids in Indiana they're bad, and six-year-old white kids in Austin, Texas, but you, you don't say that Jews are white.
[00:22:59.307 --> 00:23:00.468]  Because whites are the devil.
[00:23:00.508 --> 00:23:04.389]  I mean, they're, they're all the Nazis that have got to be, but see how the racism works?
[00:23:04.689 --> 00:23:11.432]  Which is all it is is gang tribalism, the same way groups control prisons, where you have the Hispanics, the Asians, the blacks, the whites.
[00:23:12.825 --> 00:23:16.048]  And you're forced into that in general population or you're killed.
[00:23:16.348 --> 00:23:21.512]  And that's how they're dividing and conquering culture in the name of unity creating total division.
[00:23:22.052 --> 00:23:22.592]  Racism.
[00:23:23.153 --> 00:23:24.294]  Interim definition.
[00:23:24.914 --> 00:23:33.481]  Racism occurs when individuals or institutions show more favorable evaluation or treatment of an individual or group based on race or ethnicity.
[00:23:33.501 --> 00:23:35.022]  And it goes on.
[00:23:36.270 --> 00:23:40.431]  In the ADL, that's the old ADL definition.
[00:23:40.431 --> 00:23:45.230]   When we come back, we'll show you the new definition that talks about being white.
[00:23:45.230 --> 00:23:51.390]   Well, also, if you're going to do this, then let's be truthful about it, because the Holocaust
[00:23:51.390 --> 00:23:52.711]  isn't about race.
[00:23:52.711 --> 00:23:53.711]  No.
[00:23:54.238 --> 00:23:54.459]  No.
[00:23:54.959 --> 00:23:58.701]  It's not about race.
[00:23:58.761 --> 00:24:01.043]  But it's not about race.
[00:24:01.843 --> 00:24:03.004]  It's not about race.
[00:24:03.284 --> 00:24:07.527]  Because it's about man's inhumanity to man.
[00:24:08.327 --> 00:24:09.288]  That's what it's about.
[00:24:09.348 --> 00:24:10.649]  But it's about white supremacy.
[00:24:11.009 --> 00:24:14.608]  But it's not about race.
[00:24:14.608 --> 00:24:16.807]  But these are two white groups of people.
[00:24:16.807 --> 00:24:19.607]  How do we see them as white people?
[00:24:19.607 --> 00:24:20.928]  But you're missing the point.
[00:24:20.895 --> 00:24:25.598]  The minute you turn it into race, it goes down this alley.
[00:24:25.898 --> 00:24:27.539]  Let's talk about it for what it is.
[00:24:27.819 --> 00:24:29.260]  It's how people treat each other.
[00:24:29.900 --> 00:24:30.681]  It's a problem.
[00:24:30.901 --> 00:24:38.165]  It doesn't matter if you're black or white, because black, white, Jews, Italians, everybody eats each other.
[00:24:40.066 --> 00:24:44.090]  If you're uncomfortable, if you hear about Mouse, should you be worried?
[00:24:44.130 --> 00:24:47.433]  Should your child say, oh my God, I wonder if that's me?
[00:24:47.794 --> 00:24:49.295]  No, that's not what they're going to say.
[00:24:49.315 --> 00:24:51.337]  They're going to say, I don't want to be like that.
[00:24:51.778 --> 00:24:53.419]  Well, hopefully.
[00:24:53.479 --> 00:24:54.280]  I want to be cool.
[00:24:54.300 --> 00:24:54.560]  Yeah.
[00:24:54.620 --> 00:24:57.363]  Most kids, most kids, they don't want to be cool.
[00:24:57.643 --> 00:24:58.784]  No, they don't.
[00:24:58.824 --> 00:25:08.289]  And we're living in an era where people are comparing vaccine cards to the yellow stars, where people are comparing vaccinations to what Anne Frank went through.
[00:25:08.309 --> 00:25:12.411]  So it is necessary for kids to learn about this.
[00:25:12.431 --> 00:25:17.394]  To learn about man's inhumanity to man, however it exposes itself.
[00:25:17.414 --> 00:25:18.354]  I have to cut you off.
[00:25:18.374 --> 00:25:23.217]  I just want to say that Now was banned and it flew to the top 20 of Amazon's rules last week.
[00:25:23.437 --> 00:25:23.877]  Of charts.
[00:25:23.977 --> 00:25:24.258]  Yes.
[00:25:24.558 --> 00:25:26.679]  People, the more you ban it, the more we want to read it.
[00:25:28.891 --> 00:25:33.394]  Man, who could listen to that jabbering, yipping group of mindless idiots?
[00:25:35.255 --> 00:25:39.177]  So she's a high priestess because she's a black woman.
[00:25:39.237 --> 00:25:43.739]  Everybody else is below her and bad because the whiter you are, the more inherently evil you are.
[00:25:43.759 --> 00:25:46.901]  You've been taught that by the ADL that's here to fight racism.
[00:25:47.842 --> 00:25:50.183]  But then you can't say Jews are white.
[00:25:50.283 --> 00:25:51.524]  You've now said they're the devil.
[00:25:52.604 --> 00:25:55.366]  So you've now got to be taken off the air.
[00:25:57.446 --> 00:26:08.938]  And this is just evil globalist corporate leftist knowing that Christian Western nations invented not being tribal and invented bringing different groups together and giving people equal rights.
[00:26:09.558 --> 00:26:10.920]  So our strength was that.
[00:26:12.253 --> 00:26:16.414]  But our culture was dominant, the Renaissance culture, and the globalists don't want that.
[00:26:16.874 --> 00:26:29.958]  So they come in and pose as that classical liberal structure, where yeah, you can be your own group or your own system, but Western Christian systems are superior to everything else that's been developed, and you should want to adopt this.
[00:26:31.279 --> 00:26:35.480]  Now as we have not adopted Western culture, we're falling apart and being destroyed.
