[00:00:00.229 --> 00:00:06.956]  Ladies and gentlemen, Alex Jones here with a Thursday evening breaking emergency news alert.
[00:09:33.898 --> 00:09:37.218]   Do you want a pro-human future or do you want an anti-human future?
[00:09:37.218 --> 00:09:42.578]   Do you want a demonic future or do you want an enlightened, empowered future?
[00:09:42.694 --> 00:09:46.216]  You can choose to be an ego-driven zombie of the New World Order.
[00:09:46.256 --> 00:09:52.881]  You can choose to think that you serve big tech and big pharma and that you're going to get ahead because you play ball with a social credit score.
[00:09:53.361 --> 00:09:57.804]  But you're going to lose your humanity and lose your connection to God in the process.
[00:09:58.244 --> 00:10:05.409]  This is just a small smattering of the huge breaking news on this Thursday evening transmission.
[00:10:05.789 --> 00:10:08.651]  But I wanted to come in and just lay this out for you.
[00:10:09.131 --> 00:10:11.093]  That is such an incredible time to be alive.
[00:10:11.793 --> 00:10:39.580]  And that the dictator, he got re-elected via fraud, the evidence is overwhelming, of Canada, who says he wants a dictatorship, who says he works for Klaus Schwab, who says they want to bankrupt small businesses to take full control, is now saying that the thoughts of the truckers and demonstrators, peacefully going on their way to occupy the capital of Canada in Ottawa, are holding improper thoughts that they shouldn't be allowed to hold.
[00:10:41.770 --> 00:10:52.912]  small fringe minority of people who are on their way to Ottawa or who are holding unacceptable views that they're expressing.
[00:10:54.753 --> 00:11:12.429]   Do not represent the views of Canadians who have been there for each other, who know that following the science and stepping up to protect each other Is the best way to continue to ensure our freedoms, our rights, our values as a country.
[00:11:13.109 --> 00:11:17.273]  And if that sounds like a cult, if that sounds like a tyrant, it's because it is.
[00:11:17.413 --> 00:11:19.034]  That's what the Great Reset is.
[00:11:19.495 --> 00:11:24.399]  Is a corporate, authoritarian move through governments they control against humanity.
[00:11:25.420 --> 00:11:32.826]  And that's why InfoWars is more important than ever because they know our message and our understanding of how the globalists operate has already changed the world.
[00:11:33.812 --> 00:11:53.519]  And they know that whether it's Elon Musk or Joe Rogan or whether it's people like Tucker Carlson or countless others, Infowars, nine times out of ten, originated the original understanding of the globalist documents so that others at high levels could understand how they've been compartmentalized and then make their choice to challenge the power structure.
[00:11:54.119 --> 00:12:01.762]  So we're challenging the corrupt globalists from the top and from the bottom and from the middle and from every other strata of society.
[00:12:01.782 --> 00:12:11.185]   But I can tell you, Their Great Reset is designed to destroy the supply chains and knock out small and medium-sized businesses that employ more than 90% of the public.
[00:12:11.685 --> 00:12:17.909]  Once they've got you under their control, they put you on a social credit score, universal income, and they can dictate every facet of your life.
[00:12:18.229 --> 00:12:19.530]  That is the Holy Grail they want.
[00:12:20.471 --> 00:12:25.434]  And so, in closing, this is a major news development, but it also hits home for InfoWars.
[00:12:26.718 --> 00:12:29.859]  We could normally get t-shirts turned around in about 3 weeks.
[00:12:30.299 --> 00:12:33.120]  We could get water filters that were sold out in a month.
[00:12:33.580 --> 00:12:36.981]  We could get everything in like supplements within 6 weeks.
[00:12:37.761 --> 00:12:40.742]  Then it became 10 weeks, then 12 weeks, then 20 weeks, then 30 weeks.
[00:12:41.522 --> 00:12:44.643]  We are now having to order product out 25-30 weeks.
[00:12:46.727 --> 00:12:57.371]  Most of the big, famous supplement companies that we use to private label are now telling us they're just getting ready to either shut down or they've been bought to then be shut down by these big combines that have unlimited money.
[00:12:58.151 --> 00:13:14.677]  And so you have supported us and bought the products, but because we can't even buy enough product out to get it, and because we don't have the money to get one order coming in, let's say 10 weeks out that we put in 10 weeks before, to then order one 25 weeks out, we just don't have the money.
[00:13:16.556 --> 00:13:25.484]  And so we're gonna have to make it up with t-shirt sales, make it up with donations at InfoWarsTore.com.
[00:13:25.824 --> 00:13:32.550]  You can go there where it says support and then click on that button and go give a one-time gift or a recurring gift.
[00:13:33.888 --> 00:13:47.299]  Whatever it is we've got in stock, whether it's shortwave radios or whether it's books or films, whatever it is we've got in stock, we need you to go there and buy it because we need the funds to continue on.
[00:13:47.439 --> 00:14:00.049]   And at a certain point, I don't know what we're going to do because even we reach out to sponsors like our satellite phone sponsor that They're running out and can't get supplies or anything anymore.
[00:14:00.769 --> 00:14:09.355]  This is the breakdown of civilization by design where then only the big mega combines, only the big Amazons, only the big Walmarts, only the targets can be able to operate.
[00:14:09.895 --> 00:14:11.396]  And with that comes total control.
[00:14:11.456 --> 00:14:15.618]  So please, go to MFOWorksTour.com today.
[00:14:16.564 --> 00:14:22.489]  We'll also put a link below here at Bandot Video to the Become a Sponsor page is what it is technically.
[00:14:22.689 --> 00:14:24.531]  You're really sponsoring us, viewers like you.
[00:14:24.911 --> 00:14:26.392]  We'll put a link specifically there.
[00:14:26.412 --> 00:14:33.458]  I'm going to start adding a link to the live show feed every day where you can go become a sponsor one time or recurring, canceling time.
[00:14:33.879 --> 00:14:46.062]   But whatever you do, realize You took us this far through all the adversity, through all the attacks, through all the lies, through all the attempts to put us in prison, through all the Democratic Party lawsuits and rigged, you know, systems, and we're going to keep fighting.
[00:14:46.102 --> 00:14:47.642]  And right now the world's finally waking up.
[00:14:48.022 --> 00:14:51.803]  So it's like a video game where we're winning but just by a little and they're right on our heels.
[00:14:52.263 --> 00:14:53.883]  We need that financial support.
[00:14:53.923 --> 00:14:57.064]  So infowarestore.com or 888-253-3139.
[00:14:57.124 --> 00:14:57.864]  I almost forgot.
[00:14:57.884 --> 00:14:57.924]  888-253-3139.
[00:14:57.764 --> 00:15:03.643]  I almost forgot, 888-253-3139.
[00:15:03.643 --> 00:15:06.644]   Something we do have in stock, because of the biggest company in the U.S.
[00:15:06.614 --> 00:15:08.715]  because they have the best service and people love them.
[00:15:08.795 --> 00:15:13.498]  And so they started 15 years ago and now they're the biggest company for the last four or five years.
[00:15:13.838 --> 00:15:16.600]  My Patriot Supply does have a giant supply of food.
[00:15:16.960 --> 00:15:19.582]  They bought massively into the future.
[00:15:20.202 --> 00:15:25.545]  And so they've been able to keep their prices very, very competitive compared to anybody else out there for quality food.
[00:15:25.565 --> 00:15:26.946]  You just can't beat them for the price.
[00:15:27.266 --> 00:15:30.868]  They're ready to ship to you and they've not done 25% off since early 2018, four years ago.
[00:15:33.630 --> 00:15:45.357]  They are doing 25% off until February 13th exclusively only for InfoWars listeners in our family because they want to thank us for everything that you've done over the years.
[00:15:45.517 --> 00:15:56.964]  They're Christian and they just literally called up and said, even though we've got tons of business, we want to give you this sale exclusively 25% off their entire catalog at InfoWarsStore.com or AAA253-3139.
[00:16:00.146 --> 00:16:02.887]  They are ready to ship to you right now.
[00:16:02.987 --> 00:16:16.052]  Preparewithalex.com takes you right to the sub page of mfulworthstore.com or just go to mfulworthstore.com and type in storable food and it's all there and with the supply chain breakdowns and now the globalists are planning cyber attacks and new viral releases.
[00:16:16.492 --> 00:16:26.215]  This is a box you need to have checked for preparedness along with water filtration, along with a bug out plan, along with self-defense, along with friends and family you can trust.
[00:16:26.495 --> 00:16:28.316]  Right in the middle of that is food.
[00:16:29.156 --> 00:16:30.819]  So prepare with alex.com.
[00:16:30.980 --> 00:16:36.150]  All right, I want to thank you all for watching, and I want to ask you again, Band-Odd Video.
[00:16:37.032 --> 00:16:37.613]  Future News.
[00:16:38.620 --> 00:16:41.860]  news can only get out there if you share it.
[00:16:41.860 --> 00:16:48.379]   So please take this report with a lot of positive news, a lot of negative news, a lot of incredible information,
[00:16:48.379 --> 00:16:51.058]   and share it because the people perish for lack of knowledge.
[00:16:51.058 --> 00:16:54.379]  And then those you give it to, tell them, hey, share this.
[00:16:54.379 --> 00:16:57.499]   And then tell others to share it, and that causes the chain reaction.
[00:16:57.499 --> 00:17:02.658]   I know you know that, but if you'll just put that into action, it's going to change the world.
[00:17:02.658 --> 00:17:05.740]  (electronic beeping)
[00:17:05.740 --> 00:17:08.499]  (dramatic music)
[00:17:09.338 --> 00:17:10.579]  A riotous mob.
[00:17:10.579 --> 00:17:14.940]   Whether they were present that day or were otherwise criminally responsible
[00:17:14.940 --> 00:17:16.500]  for the assault on our democracy.
[00:17:16.500 --> 00:17:17.579]  Insurrection.
[00:17:17.579 --> 00:17:20.940]  We will follow the facts wherever they lead.
[00:17:20.940 --> 00:17:22.180]  Domestic terrorists.
[00:17:22.180 --> 00:17:24.180]  (rock music)
[00:17:23.962 --> 00:17:26.244]  The days of independent media are numbered.
[00:17:26.545 --> 00:17:28.987]  The government has made it illegal to oppose them.
[00:17:29.667 --> 00:17:32.090]  They are now debanking us behind the scenes.
[00:17:32.550 --> 00:17:35.553]  They want to bankrupt us and make us go away quietly.
[00:17:36.294 --> 00:17:40.958]  With practically half the population wanting to lock the unvaccinated up in camps.
[00:17:41.479 --> 00:17:44.001]  The traitors know they can shut us down by force.
[00:17:44.762 --> 00:17:47.324]  But that would accelerate the awakening exponentially.
[00:17:47.985 --> 00:17:48.485]  So be it.
[00:17:49.446 --> 00:17:51.207]  Make them silence us by force.
[00:17:51.847 --> 00:17:54.308]  This is the final battle of the information war.
[00:17:54.849 --> 00:17:55.489]  Give now.
[00:17:56.149 --> 00:17:56.970]  Buy products.
[00:17:57.630 --> 00:17:58.110]  Donate.
[00:17:58.831 --> 00:18:00.071]  Before everything changes.
[00:18:00.672 --> 00:18:03.033]  We need you to carry us through to the end.
[00:18:03.493 --> 00:18:04.413]  Victory or death.
[00:18:04.854 --> 00:18:07.315]  Go now to infowarrestore.com
