[00:00:00.000 --> 00:00:02.000]  [static]
[00:02:56.039 --> 00:03:00.841]  Massive, massive demonstrations to being locked up now for more than a hundred days.
[00:03:02.221 --> 00:03:07.743]  Welded into their houses to starve to death with armed combat robots overseeing everything.
[00:03:08.944 --> 00:03:15.414]   And now many of the bunny suited Biomedical tyrants are now carrying machine guns.
[00:03:16.134 --> 00:03:21.295]  The whole thing is just exploding as they refuse to pay people at major Apple Foxconn factories.
[00:03:21.315 --> 00:03:27.397]  People have been welded into their houses and burned up in giant fires and the communists just let them die.
[00:03:27.417 --> 00:03:31.498]  They're building giant camps at rapid space all over the country.
[00:03:31.518 --> 00:03:34.418]  It has nothing to do with COVID.
[00:03:34.798 --> 00:03:36.159]  Nothing to do with protecting everybody.
[00:03:36.239 --> 00:03:41.000]  It's all about total martial law and communist China.
[00:03:42.398 --> 00:03:46.582]  Being the model of this entire takeover.
[00:03:48.584 --> 00:03:53.689]  So when we talk about Communist China, it is the Rosetta Stone.
[00:03:53.729 --> 00:03:59.401]   It is the blueprint For what globalist plan they have in store for us.
[00:03:59.421 --> 00:04:13.866]  There's even a controversy now in the Washington Post and CNN and others where many of the leftists are criticizing other leftists and other writers for being against the lockdowns and saying they're tyrannical because they want to bring all of that here.
[00:04:16.267 --> 00:04:21.009]  But a lot of people, even in the system, are going, OK, this is actually going to lock me and my family up in the future.
[00:04:21.609 --> 00:04:23.049]  I don't want to take these poison shots.
[00:04:23.709 --> 00:04:24.710]  I want to resist this.
[00:04:25.785 --> 00:04:34.276]  So even CNN and the Associated Press are now reporting on China's authoritarianism and admitting it's not about COVID for the first time in almost three years.
[00:04:34.296 --> 00:04:38.381]  They're admitting it's about power and control.
[00:04:40.063 --> 00:04:43.867]  So how far will humanity let the globalists take us before we finally come up for air?
[00:04:44.775 --> 00:04:54.098]  Well, it's really up to us, all of us, to understand that you can pretend you're part of the New World Order and go along with it, but you're just being a fool, a schmuck, an idiot.
[00:04:54.638 --> 00:04:58.500]  You're deluding yourself, because this thing will destroy you and your future.
[00:04:59.000 --> 00:05:25.692]   The only way To survive is to resist.
[00:05:26.076 --> 00:05:37.604]  Contained within the sale, you will find things like Brain Force Plus at 60% off or Brain Force Ultra at 50% off, each of which are a great way to try the next level in advanced neural activation.
[00:05:38.104 --> 00:05:46.792]  If your body is in need of a recharge or a boost, then our products Knockout, Alpha Power, and Bodies can help you get to sleep and ready to take on the next day.
[00:05:47.232 --> 00:05:49.715]  All of which can be found at a 50% discount.
[00:05:50.095 --> 00:05:53.018]  Perhaps you're in need of some vitamins your body is deficient in?
[00:05:53.038 --> 00:05:57.822]  Then check out Vitamin Mineral Fusion or the Vitamin D3 Gummies at a discount of 50%.
[00:05:58.923 --> 00:06:04.129]  Also, you'll find our Whole Food Multivitamins and Vitamin C with Zinc at 40% off.
[00:06:04.529 --> 00:06:09.574]  Fizzy Magnesium, a newer offering on the store, is discounted at 50% off.
[00:06:10.035 --> 00:06:15.821]  And one of the most powerful InfoWars Life offerings, DNA Force Plus, is also on sale at a 50% discount.
[00:06:17.162 --> 00:06:26.549]  On top of getting one of our best offers in the history of the InfoWars store, if you order now, we'll throw in one free item for every purchase, regardless of size.
[00:06:27.150 --> 00:06:38.519]  This will be the first and possibly last time we will include a free gift that could be anything from a koozie to a flag, a book, DVD, sunglasses, stickers, and even RFID protection.
[00:06:38.939 --> 00:06:42.382]  This is part of our appreciation to you for supporting the InfoWars.
[00:06:42.942 --> 00:06:49.605]  So when we say it's a 360 win, we're actually giving you a 180 on top of that, with a little something extra this time.
[00:06:49.865 --> 00:06:58.865]   Help launch this war on information to the next level by purchasing one or more of these high quality items at InfoWarsStore.com
[00:06:58.865 --> 00:07:09.985]  It's Sunday, November 27, 2022.
[00:07:09.985 --> 00:07:11.985]  You found me.
[00:07:11.215 --> 00:07:12.596]  You found it.
[00:07:13.136 --> 00:07:15.936]  A tip of the spear.
[00:07:16.717 --> 00:07:18.177]  You want to stop tyranny?
[00:07:18.417 --> 00:07:19.537]  Well, so does he.
[00:07:20.078 --> 00:07:24.779]  Live from the InfoWars.com studios, it's Alex Jones.
[00:07:27.274 --> 00:07:44.599]  All over the world, at the behest and at the designed blueprint of the United Nations, giant cupboard camps are being built from Australia to Canada, from the United States to Germany, building them to hold hundreds of millions of people.
[00:07:46.699 --> 00:07:54.991]   They tried to build camps for political dissidents openly, The public would awaken, rally, and we would overthrow the criminal governments that have seized control.
[00:07:55.791 --> 00:08:11.277]  But under the guise of COVID, the UN admitted two years ago, they're building the structure to arrest their political opposition when the global financial collapse takes place and the new central bank digital currencies are announced.
[00:08:12.093 --> 00:08:25.845]  Which the head of the European Union, Central Bank has announced, the head of the Federal Reserve has announced, the U.S., all the major heads have already announced in the last month that indeed the old global financial system, the old Ponzi scheme they had, is coming to an end.
[00:08:25.865 --> 00:08:31.890]  They're going to crash it all soon and offer you pennies on the dollar of your money back.
[00:08:33.131 --> 00:08:42.978]   But if you accept and go on to cashless on your cell phone with the Central Bank Digital Currency, you'll only lose part of your money.
[00:08:43.778 --> 00:08:44.879]  So you'll be incentivized.
[00:08:44.939 --> 00:08:53.282]  And then they can track everything you do, control what you can buy, control where you can go, track and control everything in their own words.
[00:08:54.402 --> 00:08:57.063]  That all fits into the Global Medical ID.
[00:08:57.723 --> 00:09:02.765]  And I've got countless clips out of the G20 and the UN and the Davos Group just this week.
[00:09:04.125 --> 00:09:12.189]  All announcing in the last seven days the official plan completely vindicating everything we warned you about decades ago from their own blueprints.
[00:09:13.610 --> 00:09:16.031]  But that's why they had to demonize us.
[00:09:16.671 --> 00:09:17.832]  That's why they had to lie about us.
[00:09:17.872 --> 00:09:23.415]  That's why they had to move heaven and earth to censor us and try to shut us down.
[00:09:25.176 --> 00:09:29.558]  Is because we've been directly over the target laying out the plans for their new world order.
[00:09:31.348 --> 00:09:31.989]  You will own nothing.
[00:09:32.009 --> 00:09:32.709]  You will have nothing.
[00:09:33.130 --> 00:09:34.030]  We will own your body.
[00:09:34.070 --> 00:09:35.431]  We will inject you with what we want.
[00:09:35.892 --> 00:09:39.955]  You will die and you will like it because you won't be alive anymore to complain.
[00:09:41.396 --> 00:09:48.482]  So let me hit the massive developments, the biggest since the late 1940s, when the Communist Chinese took over China.
[00:09:49.183 --> 00:09:54.788]  They already had most of China by 47, but by 49 they were in complete control of China, backed by Western elites.
[00:09:56.005 --> 00:10:01.091]  And these demonstrations dwarf what you saw in Tiananmen Square back in 1989.
[00:10:01.271 --> 00:10:09.079]  They're in every major city from the mainly populated east all the way to the sparsely populated west.
[00:10:09.500 --> 00:10:16.828]  90% of the Chinese population lives in the eastern half of their country, not the western half, but all over the nation.
[00:10:18.331 --> 00:10:25.914]  Millions of people per city have hit the streets and are overrunning the police and the bunny-suited medical tyranny operatives.
[00:10:26.294 --> 00:10:27.674]  Everybody knows it's not about COVID.
[00:10:27.694 --> 00:10:28.635]  It's not about protecting them.
[00:10:29.055 --> 00:10:36.438]  It is about locking them in their houses, putting them in camps, and training them for full, bore, absolute martial law.
[00:10:36.838 --> 00:10:38.158]  And you could ask, why are they doing that?
[00:10:38.178 --> 00:10:39.639]  Well, China's the model for the world.
[00:10:40.019 --> 00:10:41.219]  They have to show the world how to do it.
[00:10:41.259 --> 00:10:50.585]   But whether you're in, again, England or Canada or Australia or even the U.S., All the federal agencies of these countries have been building the same blueprinted giant camps.
[00:10:51.726 --> 00:11:00.433]  And they admitted in Australia and Canada last year and this year, oh, the UN says this will be for political dissidence when the Great Reset comes here.
[00:11:01.054 --> 00:11:09.381]  And suddenly, all over the world, the bunny-suited medical tyrants aren't just holding deadly injectors in their hands, they're now carrying machine guns.
[00:11:10.689 --> 00:11:19.356]  So the mask is the symbol of your slavery and the white bunny suits is the new uniform of the global U.N.
[00:11:19.396 --> 00:11:20.016]  stormtrooper.
[00:11:20.617 --> 00:11:20.977]  The U.N.
[00:11:20.997 --> 00:11:23.539]  was never going to show up in blue helmets and announce they were taking over.
[00:11:23.999 --> 00:11:27.162]  They were going to do it with the cover of a biomedical emergency.
[00:11:27.182 --> 00:11:31.505]  And how did I know that in 2011 and put out that viral video?
[00:11:31.525 --> 00:11:33.247]  It was viral then, but even more viral now.
[00:11:33.727 --> 00:11:38.711]  Hundreds of millions of views of the video, different permutations across the Internet in the last two years.
[00:11:40.814 --> 00:11:58.723]  From 12, 13 years ago, where I repeatedly warned on air that they were going to use a virus as the pretext for lockdowns and masks and quarantine camps and the pretext for a global financial reset and global digital currency rollout, because they had it 12 years ago.
[00:11:59.643 --> 00:12:00.404]  How did I know that?
[00:12:00.464 --> 00:12:05.927]  Did I look into a crystal ball on the side of the highway at a gypsy wagon?
[00:12:06.207 --> 00:12:06.327]  No.
[00:12:08.228 --> 00:12:15.033]  It's in Operation Lockstep 2011, Rockefeller Foundation, and it's in a bunch of their other documents that they were going to use this.
[00:12:15.073 --> 00:12:29.083]  So we've been waiting for this, we've been knowing it's going to happen, and then here we are making films, doing countless shows, having countless guests on, prestigious guests, former Chief War Crimes Prosecutor of the UN, the man that wrote the U.S.
[00:12:29.163 --> 00:12:31.705]  Biological and Chemical Weapons Law.
[00:12:32.551 --> 00:12:39.673]  The man that helped write the world's law telling you in February of 2020 exactly what would happen.
[00:12:39.914 --> 00:12:43.955]  We could play those interviews from almost three years ago.
[00:12:44.875 --> 00:12:48.817]  And it literally all came true because he's an expert.
[00:12:49.077 --> 00:12:49.757]  It's what he does.
[00:12:50.277 --> 00:12:51.117]  He's not on their side.
[00:12:52.038 --> 00:12:52.838]  He worked for them.
[00:12:54.298 --> 00:12:58.340]  One man a year gets a special PhD that was a big Nebraska first guy.
[00:12:59.397 --> 00:13:00.517]  Then Henry Kissinger got it.
[00:13:01.218 --> 00:13:08.140]  And many years later, what, 12 classes ahead of Kissinger, Dr. Francis Boyle got a special degree.
[00:13:09.780 --> 00:13:10.780]  He was the ultimate mole.
[00:13:13.661 --> 00:13:16.122]  And since then, since he graduated, he's been fighting them.
[00:13:16.622 --> 00:13:22.244]  So the whole point is, is that this is the reality of what we understand.
[00:13:23.140 --> 00:13:24.541]  Harvard runs the FTX.
[00:13:25.281 --> 00:13:26.662]  Harvard runs the digital currency.
[00:13:26.722 --> 00:13:27.923]  Harvard runs the pedophilia.
[00:13:28.243 --> 00:13:29.364]  Harvard runs the open borders.
[00:13:29.884 --> 00:13:36.167]  China sends all its top CCP people, over 200 of them, including Xi Jinping's daughter, go to Harvard.
[00:13:37.588 --> 00:13:39.089]  Harvard is the cancer.
[00:13:39.409 --> 00:13:42.491]  It is the heart of the emanation of the world government criminal operation.
[00:13:43.612 --> 00:13:44.412]  It didn't set it up.
[00:13:44.992 --> 00:13:47.094]  Cecil Rhodes, the British Empire did on record.
[00:13:47.334 --> 00:13:48.774]  He wrote books about his plan 130 years ago.
[00:13:50.925 --> 00:13:52.285]  At a country in Africa named after him.
[00:13:52.305 --> 00:13:52.666]  Look it up.
[00:13:53.166 --> 00:13:58.727]  But the point is, is that they are the ones that quarterback it and organize it.
[00:13:58.947 --> 00:14:02.889]  They've got spinoff groups and other organizations, but the heart of it is Harvard.
[00:14:03.929 --> 00:14:08.410]  Jeffrey Epstein, every one of these guys, ran Harvard operations.
[00:14:09.091 --> 00:14:10.711]  Harvard is the real mafia.
[00:14:11.671 --> 00:14:14.852]  But Hollywood has you think of Italians as mafia.
[00:14:14.992 --> 00:14:16.893]  Oh, only Italians have a mafia.
[00:14:18.456 --> 00:14:22.657]  The Italians mafia was a tinker toy compared to the space shuttle.
[00:14:23.097 --> 00:14:29.959]  Nothing against Italians, great people, but the idea that Italians are the organized criminals is a joke.
[00:14:30.399 --> 00:14:32.400]  What, running liquor and hookers?
[00:14:33.440 --> 00:14:34.060]  And gambling?
[00:14:36.601 --> 00:14:37.921]  Harvard runs the pedo ranks.
[00:14:38.702 --> 00:14:41.760]   Harvard runs the No.
[00:14:42.381 --> 00:14:44.542]  Harvard runs the Ponzi schemes.
[00:14:45.202 --> 00:14:47.903]  Harvard runs China and the Communists.
[00:14:48.744 --> 00:14:54.607]  Harvard runs the eugenics operation and the forced injection operation with the Rockefeller Foundation.
[00:14:56.688 --> 00:14:58.489]  So look it up, ladies and gentlemen.
[00:14:58.829 --> 00:15:03.951]  All the social credit scores, all the lockdowns, everything Xi Jinping's doing comes right out of Harvard.
[00:15:04.191 --> 00:15:12.946]   And that's why Harvard And the Washington Post and all these other globalist organizations are defending Xi Jinping and the lockdowns tonight.
[00:15:13.886 --> 00:15:15.787]  Over 100 million Chinese under lockdown.
[00:15:16.328 --> 00:15:17.248]  Basically no COVID.
[00:15:17.328 --> 00:15:20.049]  It's all made up under total complete martial law.
[00:15:20.129 --> 00:15:22.110]  It's all coming up next segment.
[00:15:23.531 --> 00:15:32.687]   But before I get to that, I wanted to hit this incredible Incredible stack I've got right here.
[00:15:32.707 --> 00:15:35.829]  In fact, we'll get to the China situation at the bottom of the hour.
[00:15:35.910 --> 00:15:41.314]  Next segment, I'm just going to hit all this because when I say the wheels are coming off, it's coming off big time.
[00:15:45.078 --> 00:16:04.512]   Joseph Mingala was questioned last week by the Attorney Generals of Louisiana and Missouri in a joint seven-hour, I'm sorry, not the Angel of Death, Not the guy that did forced medical stuff on people in Nazi Germany, the head of the Nazi secret medical program, because he was lightweight compared to Fauci.
[00:16:04.832 --> 00:16:05.873]  I just get them mixed up, I'm sorry.
[00:16:06.674 --> 00:16:08.995]  Dr. Anthony Fauci, not Joseph Mengele.
[00:16:09.716 --> 00:16:11.617]  That's like the little angel of death.
[00:16:12.778 --> 00:16:14.419]  The little A.D.
[00:16:15.120 --> 00:16:17.521]  Fauci may be short, but he's the big A.D.
[00:16:17.541 --> 00:16:22.425]  when it comes to mass scale, mass death, violations of the Nuremberg Law, medical tyranny.
[00:16:23.427 --> 00:16:26.809]  The little angel of death died a long time ago, World War II.
[00:16:27.469 --> 00:16:31.051]  The big angel of death, Anthony Fauci, was questioned.
[00:16:31.071 --> 00:16:33.113]  The little angel of death flying free.
[00:16:33.913 --> 00:16:37.455]  And he said he didn't remember anything he was involved in with COVID.
[00:16:37.475 --> 00:16:38.156]  He remembered nothing.
[00:16:38.976 --> 00:16:40.457]  First he had all the emails that the criminal did.
[00:16:41.184 --> 00:16:42.045]  So that's all coming up.
[00:16:42.065 --> 00:16:47.929]  We're going to hit the wheels coming off all the major studies, major governments coming out against the shots, and then they'll protect you and kill you.
[00:16:48.289 --> 00:16:52.152]  And then we're going to look at Klaus Schwab saying China and its lockdowns are the model for the world.
[00:16:52.472 --> 00:16:56.856]  We're going to look at China and their people battling back against tyranny on such a massive scale.
[00:16:57.176 --> 00:16:58.217]  Stay with us in full wars.com.
[00:17:00.094 --> 00:17:01.535]  I've got some good news and bad news.
[00:17:02.435 --> 00:17:07.298]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[00:17:07.638 --> 00:17:12.641]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[00:17:13.181 --> 00:17:21.265]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[00:17:21.706 --> 00:17:22.646]  X3 sold out.
[00:17:23.046 --> 00:17:26.330]   Our great American Coffee Blend has sold out.
[00:17:27.031 --> 00:17:28.493]  Biotricillinium has sold out.
[00:17:28.773 --> 00:17:41.810]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Bobby's Ultimate Turmeric Formula, Whole Food Multivitamin, Brain Force Ultra, Super Mel Vitality, and so much more.
[00:17:42.250 --> 00:17:47.551]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[00:17:47.771 --> 00:17:52.173]  Don't fight the crowds, don't fight the traffic, don't do all your Christmas shopping in a month like a fool.
[00:17:52.593 --> 00:17:57.754]  Do it now, get it all over with, get a great deal, and keep InfoWars on the air while empowering your body.
[00:17:57.834 --> 00:17:59.834]  info or store.com.
[00:17:59.834 --> 00:18:02.413]  (upbeat music)
[00:18:02.413 --> 00:18:26.394]  So, here's the bottom line here on the Alex Jones Show.
[00:18:26.690 --> 00:18:28.931]  And if you let this burn into your brain, it'll save your life.
[00:18:29.351 --> 00:18:33.312]  If you don't listen to me, you're going to be in lockdown, too, very soon.
[00:18:34.472 --> 00:18:36.013]  And it's going to be a lot worse than the first one.
[00:18:37.393 --> 00:18:39.374]  And then after that, the big one comes.
[00:18:39.954 --> 00:18:44.455]  They're just testing, locking us down before they release the real bioweapons and actually kill billions.
[00:18:45.646 --> 00:18:49.947]  Now don't be dying in your house a year or two from now wishing you'd listen to me.
[00:18:50.507 --> 00:18:51.347]  This is all real.
[00:18:51.407 --> 00:18:53.308]  I'm telling you exactly what I know is going on.
[00:18:53.708 --> 00:18:54.668]  You don't need me to tell you.
[00:18:54.688 --> 00:18:56.629]  You can see it being prepared everywhere.
[00:18:57.889 --> 00:19:10.752]  So, Anthony Fauci, Joseph Mingala, Angel of Death, war criminal, 2.0, violating every national, international law you can imagine, lying about the shots, everything.
[00:19:11.252 --> 00:19:14.113]  He was deposed because it's come out in court documents and emails.
[00:19:15.134 --> 00:19:17.495]  And he was quarterbacking, we already told you this, but now it's admitted.
[00:19:18.955 --> 00:19:21.796]  With Big Tech, with the media, with everybody, through the UN.
[00:19:23.357 --> 00:19:24.978]  The UN said it's gone on national TV.
[00:19:25.298 --> 00:19:31.040]  We played it a month ago and said, yeah, we tell Big Tech and the media what to say and what to do and what's allowed to be said.
[00:19:31.700 --> 00:19:34.901]  Not just by people online or talk show hosts, but by their own employees.
[00:19:36.642 --> 00:19:48.578]   Like one NBC reporter locally reported what the police said that The wife of Pelosi, the husband of Pelosi, opened the door and let him in and they were both in underwear.
[00:19:48.978 --> 00:19:50.219]  He got suspended.
[00:19:50.939 --> 00:19:51.739]  Turns out it was true.
[00:19:51.779 --> 00:19:53.060]  He just reported what the cops told him.
[00:19:53.881 --> 00:19:54.821]  But he didn't take his orders.
[00:19:56.322 --> 00:20:02.385]  About John, the husband of Pelosi.
[00:20:03.666 --> 00:20:04.327]  John Pelosi.
[00:20:04.587 --> 00:20:07.329]  So that's how controlled this is, ladies and gentlemen.
[00:20:07.349 --> 00:20:08.710]  That's why they can't have us on air.
[00:20:08.730 --> 00:20:13.633]  They can't have anybody able to say anything that countermands or goes against the ridiculous narratives they're giving us.
[00:20:14.154 --> 00:20:19.238]  So Fauci is in a deposition over all this with two attorney generals.
[00:20:19.258 --> 00:20:22.280]  They combined them, Missouri and Louisiana.
[00:20:24.693 --> 00:20:30.815]  And here's the headline, Louisiana AG slams Fauci for not answering questions during deposition about his handling of COVID-19.
[00:20:31.435 --> 00:20:39.598]  AG Jeff Landry of Louisiana says, wow, it was amazing to spend seven hours with Dr. Fauci, the man who single-handedly wrecked the U.S.
[00:20:39.618 --> 00:20:49.282]  economy based upon the science, only discovered that he can't recall particularly anything dealing with his COVID response, and doesn't remember coordinating the media.
[00:20:51.300 --> 00:20:55.924]  To block treatments or to block news that any of it was a fraud.
[00:20:57.485 --> 00:20:58.306]  So that's a big deal.
[00:20:59.467 --> 00:21:00.327]  Let's move on from that.
[00:21:00.347 --> 00:21:14.078]  Pfizer's CEO who says I'm the quote most evil man on earth last week and that I'm quote an agent of evil has gotten a lot of trouble by regulators for making misleading statements about children and vaccines and saying they're safe and effective and protect you.
[00:21:16.420 --> 00:21:17.621]  That's the London Telegraph.
[00:21:20.014 --> 00:21:22.835]  They got an EU criminal investigation of him going right now.
[00:21:24.335 --> 00:21:29.877]  Another study finds heart inflammation higher among Moderna vaccinations versus Pfizer.
[00:21:30.137 --> 00:21:30.317]  Why?
[00:21:30.357 --> 00:21:34.059]  Because all the Moderna is, is the equivalent of four Pfizer shots.
[00:21:35.639 --> 00:21:39.521]  So it's four times stronger than Pfizer, the exact same injection.
[00:21:42.802 --> 00:21:44.282]  And of course, it's worse for you.
[00:21:45.423 --> 00:21:46.303]  Really didn't know that.
[00:21:47.205 --> 00:21:48.286]  I told you that two years ago.
[00:21:48.786 --> 00:21:53.788]  COVID-19 researcher blows the whistle on data integrity issues in Pfizer's vaccine.
[00:21:54.148 --> 00:21:56.470]  Robert Kennedy Jr., Robert Barnes are involved in the lawsuit.
[00:21:56.930 --> 00:22:05.654]  It's now confirmed that they covered up the deaths and illnesses in their study, but even their fixed study admitted more people died that had the shot than didn't have a shot.
[00:22:06.114 --> 00:22:08.435]  Huge, giant, major news.
[00:22:08.776 --> 00:22:23.737]   The British Medical Journal, that's what this is, has come out with a bunch of studies the last two weeks confirming That the vaccine isn't a vaccine, destroys your immune system, causes all sorts of blood clots, creates nanotech, basically prions.
[00:22:24.037 --> 00:22:25.678]  That's what causes mad cow disease in the body.
[00:22:25.999 --> 00:22:26.479]  It goes on and on.
[00:22:26.499 --> 00:22:27.740]  That's the British Medical Journal.
[00:22:30.361 --> 00:22:31.742]  I got literally like 50 of these.
[00:22:31.782 --> 00:22:33.743]  I can't go over them all.
[00:22:33.863 --> 00:22:35.464]  Operation Lockstep doubles down.
[00:22:35.504 --> 00:22:45.090]  That's a powerful John Bowne report on their new lockdown plans coming out to bring in the whole global digital currency control grid.
[00:22:45.130 --> 00:22:46.211]  That's coming up last segment.
[00:22:47.247 --> 00:22:47.588]  You know what?
[00:22:47.628 --> 00:22:54.400]  Actually, next segment, I'm going to hit the China rebellion that's going on.
[00:22:54.420 --> 00:22:54.881]  It's so huge.
[00:22:54.901 --> 00:22:58.567]  In the last segment of this hour, I'm going to hit this and so much more.
[00:23:00.040 --> 00:23:05.782]  As an oncologist, I'm seeing people with stable cancer rapidly progress after being forced to have a booster.
[00:23:06.102 --> 00:23:23.747]  We have a year-and-a-half-old study by Germany's top cancer research institute, based at their biggest university, where the director of the institute had cancer in remission, lymphoma, took the shot, it came back really bad, took the next shot, killed him in two weeks.
[00:23:23.887 --> 00:23:26.068]  Before he died, he wrote a study how it killed him.
[00:23:28.643 --> 00:23:30.304]  But this is another oncologist.
[00:23:30.504 --> 00:23:34.287]  I mean, there's just literally hundreds of studies that this thing grows cancer.
[00:23:35.988 --> 00:23:36.729]  But that's okay.
[00:23:36.749 --> 00:23:37.549]  Another big report.
[00:23:37.909 --> 00:23:39.771]  It goes along with the John Bowne Report and Gregory's Report.
[00:23:40.171 --> 00:23:41.232]  It's up on Bandot Video.
[00:23:42.392 --> 00:23:45.715]  Canadian Psychiatric Association triggers anti-vaxxers.
[00:23:46.937 --> 00:23:50.119]  Canadian Psychiatric Association targets anti-vaxxers.
[00:23:50.760 --> 00:23:51.941]  They all need to be arrested.
[00:23:51.981 --> 00:23:52.801]  There's no problem.
[00:23:52.841 --> 00:23:53.562]  The shots work.
[00:23:53.942 --> 00:23:58.545]  Anybody questioning it should be locked up in a mental institution, even though the facts are all in.
[00:23:59.906 --> 00:24:06.731]  Medical Journal claims anti-vaxxers cause deadly clots in vaccinated people by scaring them about vaccine dangers.
[00:24:07.451 --> 00:24:09.493]  Yes, that's why the blood clots are exploding.
[00:24:10.033 --> 00:24:11.014]  It's psychosomatic.
[00:24:11.414 --> 00:24:12.135]  It's placebo.
[00:24:12.915 --> 00:24:13.055]  U.S.
[00:24:13.075 --> 00:24:16.198]  military biological activity is a threat to the world.
[00:24:17.219 --> 00:24:17.859]  Says Russia.
[00:24:19.721 --> 00:24:21.502]  And it goes on and on.
[00:24:23.724 --> 00:24:26.405]  SASC woman dies allegedly after COVID booster.
[00:24:26.786 --> 00:24:27.846]  Daughter in shock.
[00:24:30.048 --> 00:24:33.670]  But Buttigieg, the head of the Transportation Department, is back in the news.
[00:24:34.171 --> 00:24:43.844]   He says in this video clip I'm showing TV viewers, he says That it works 100% and protects you and you can't get sick if you have the shot.
[00:24:44.144 --> 00:24:46.385]  So they're back to the same lies of two years ago.
[00:24:47.086 --> 00:24:47.446]  Why not?
[00:24:47.466 --> 00:24:48.386]  They didn't get in trouble for it.
[00:24:49.527 --> 00:25:05.195]  Meanwhile, the former chief scientist at Pfizer, who retired a year before this all happened three years ago, three and a half years ago, has now looked at all the data and he says in early 2020 after the lockdowns, people were being admitted to hospital and dying in large numbers.
[00:25:05.275 --> 00:25:06.356]  I think they were being murdered.
[00:25:06.676 --> 00:25:07.837]  Then he goes over all the evidence.
[00:25:09.613 --> 00:25:13.293]   teens death three weeks after Pfizer vaccine triggers investigation.
[00:25:13.293 --> 00:25:20.292]   There's another headline even Washington Post admits that COVID is now a pandemic of the vaccinated.
