[00:00:00.000 --> 00:00:01.000]  [BEEP]
[00:06:35.340 --> 00:06:36.840]  Steve Quill joins us today.
[00:06:36.860 --> 00:06:38.221]  He was already set up a week ago.
[00:06:38.241 --> 00:06:41.101]  This is synchronicity, serendipity of the Lord at work.
[00:06:41.682 --> 00:06:42.682]  I want to get to that with him.
[00:06:43.632 --> 00:06:46.933]  I want to get to FDX and how it can bring down the whole house of cards.
[00:06:46.973 --> 00:06:49.074]  I agree with him and his expert analysis on that.
[00:06:49.114 --> 00:06:49.614]  We'll get that.
[00:06:50.414 --> 00:06:55.676]  There's only a few people out there that expose the New World Order at a greater level than I did before I did.
[00:06:55.716 --> 00:07:00.437]  It's not about the credit, but it's about understanding who was awake first so we can understand who has the discernment.
[00:07:01.077 --> 00:07:02.738]  And it was Steve Quayle and David Icke.
[00:07:03.738 --> 00:07:07.059]  Both great minds, both ahead of their times, and both living legends.
[00:07:07.179 --> 00:07:09.440]  And Steve Quayle obviously needs an introduction.
[00:07:09.480 --> 00:07:12.461]  He's here with us for the rest of the hour today.
[00:07:13.729 --> 00:07:16.030]  But the first thing I wanted to hit was this.
[00:07:16.650 --> 00:07:22.372]  Two years ago, they had the official ADL Summit in D.C.
[00:07:23.372 --> 00:07:28.594]  and Sacha Baron Cohen, who made his money off absolutely horrible, disgusting comedy.
[00:07:28.874 --> 00:07:31.015]  Some of it's funny, some of it's just really disgusting.
[00:07:32.235 --> 00:07:33.656]  But all granted, he's funny sometimes.
[00:07:34.156 --> 00:07:35.136]  Free speech allowed him to do it.
[00:07:35.176 --> 00:07:39.558]  He called for my arrest for talking about replacement theory.
[00:07:40.238 --> 00:07:41.158]  Well, it's not a theory.
[00:07:41.618 --> 00:07:42.059]  The U.N.
[00:07:42.079 --> 00:07:54.806]   has an official plan of the replacement migration program since the 60s and they admit and French presidents talk about it and British prime ministers and American presidents and I have all the UN documents.
[00:07:56.226 --> 00:08:02.389]  This is why they sell euthanasia, abortion, sterile chemicals in the food and water so we can't have children.
[00:08:03.729 --> 00:08:07.371]  So poor third world populations can be brought in as a permanent underclass.
[00:08:09.736 --> 00:08:18.744]  So, now, Chuckie Schumer came out today, this just broke an hour ago, and calls for amnesty for all 11 million undocumented migrants in the U.S.
[00:08:18.764 --> 00:08:23.427]  because the American population is not reproducing on its own at the same level as it used to.
[00:08:23.808 --> 00:08:26.150]  So, direct replacement migration statement.
[00:08:26.170 --> 00:08:26.950]  We'll play the clip in a moment.
[00:08:28.311 --> 00:08:29.873]  Jamie White, powered out.
[00:08:30.959 --> 00:08:32.100]  A quick article on this.
[00:08:32.200 --> 00:08:32.940]  Great replacement.
[00:08:33.560 --> 00:08:38.443]  Schumer calls for a blanket amnesty of millions of illegals to offset declining U.S.
[00:08:38.483 --> 00:08:39.043]  population.
[00:08:39.423 --> 00:08:42.385]  Here's another article we wrote five years ago.
[00:08:42.505 --> 00:08:43.285]  Revealed U.N.
[00:08:43.325 --> 00:08:47.287]  plan to flood America with 600 million migrants for replacement migration.
[00:08:47.367 --> 00:08:47.968]  Their word.
[00:08:47.988 --> 00:08:49.088]  It has the documents in it.
[00:08:49.468 --> 00:08:50.289]  But don't believe me.
[00:08:51.369 --> 00:08:51.729]  The U.N.
[00:08:51.769 --> 00:08:54.791]  is pushing the dangerous replacement migration conspiracy theory.
[00:08:56.440 --> 00:08:57.220]  On their website.
[00:08:57.741 --> 00:09:00.202]  And here is the actual documents.
[00:09:00.582 --> 00:09:01.302]  Ladies and gentlemen.
[00:09:01.982 --> 00:09:05.184]  Population, division, department, economic and social affairs, United Nations, 2000.
[00:09:05.524 --> 00:09:09.185]  And that was in the year 2000.
[00:09:09.585 --> 00:09:11.066]  And there's a bunch of others.
[00:09:11.126 --> 00:09:16.768]  So, the ADL says if you criticize forced injections, you're a Nazi and should be banned, debanked and arrested.
[00:09:16.808 --> 00:09:17.489]  Literally arrested.
[00:09:18.476 --> 00:09:25.081]  All of this, FTX is involved, blocking therapeutics and helping run censorship with the ADL, same deal.
[00:09:25.721 --> 00:09:29.764]  So it all ties together, ladies and gentlemen, is a big deal.
[00:09:30.084 --> 00:09:37.589]  Here is Chuckie Schumer literally announcing replacement migration, but if you talk about it, you get destroyed.
[00:09:37.970 --> 00:09:39.170]  These people are incredible.
[00:09:39.431 --> 00:09:39.751]  Here it is.
[00:09:40.976 --> 00:09:43.738]  Now more than ever, we're short of workers.
[00:09:44.939 --> 00:09:51.405]  We have a population that is not reproducing it on its own with the same level that it used to.
[00:09:51.985 --> 00:10:07.238]   The only way we're going to have a great future in America is if we welcome and embrace immigrants, the dreamers, and all of them, because our ultimate goal is to help the dreamers but get a path to citizenship for all 11 million or however many undocumented There are here.
[00:10:07.318 --> 00:10:08.960]  And all the smuggled kids they bring in.
[00:10:09.361 --> 00:10:10.842]  So a big, big deal.
[00:10:10.862 --> 00:10:12.064]  I wanted to start with that first.
[00:10:12.144 --> 00:10:16.489]  Obviously, the strikes out of Ukraine attacking Poland.
[00:10:17.010 --> 00:10:21.355]  Lloyd Austin saying, yeah, Ukraine attacked Poland, but it's Russia's fault.
[00:10:21.475 --> 00:10:22.616]  Actual video, that's coming up.
[00:10:23.458 --> 00:10:24.299]  F-T-X, all of it.
[00:10:24.319 --> 00:10:27.504]  But Steve Quayle, SteveQuayle.com, best-selling author and researcher.
[00:10:27.544 --> 00:10:28.646]  We sell some of your amazing books.
[00:10:29.107 --> 00:10:31.691]  DimpleWarStore.com, you can find all your books at SteveQuayle.com.
[00:10:32.052 --> 00:10:33.875]  Steve, wow, what a time to be alive.
[00:10:34.035 --> 00:10:37.641]  Everything you predicted 30-plus years ago now is here.
[00:10:38.959 --> 00:10:56.829]   Well, Alex, I think the topic of obviously Schumer's request to we're not reproducing ourselves just because they're they're basically the government is killing off American citizens through, in my opinion, obviously, vaccinations, obviously, Through abortion, infanticide.
[00:10:57.150 --> 00:11:01.052]  But most importantly, I think the people in this country have got to understand this.
[00:11:01.492 --> 00:11:03.573]  Liberty once lost is lost forever.
[00:11:03.913 --> 00:11:05.274]  And that was John Adams.
[00:11:05.374 --> 00:11:06.935]  And this is the bigger issue.
[00:11:07.255 --> 00:11:09.356]  Because liberty, we used to have freedom of speech.
[00:11:09.776 --> 00:11:15.660]  And I would say this, that anybody who thinks that is still in existence, really has been mind controlled.
[00:11:15.760 --> 00:11:23.184]  And what this whole theater of the political realm, in my opinion, I just make it kind of like pig Latin, but it's politicus distracticus.
[00:11:23.604 --> 00:11:32.866]  Because they just are distracting and obviously preoccupying the American people with, I would call this, trivial pursuit.
[00:11:32.966 --> 00:11:37.887]  Trivial pursuit is how can anything change in the midterms?
[00:11:37.947 --> 00:11:47.268]  And as you know, I'm on record, I said the midterms will change nothing because the same forces that stole the presidency would steal the midterms.
[00:11:47.709 --> 00:11:49.789]  No offense, but that couldn't be any more accurate.
[00:11:50.389 --> 00:11:52.289]  Hold on, you just had a Freudian slip.
[00:11:52.629 --> 00:11:53.970]  You called them the mid-chains.
[00:11:54.470 --> 00:11:56.150]  Which is, the chains are still on.
[00:11:56.830 --> 00:11:57.410]  Of election fraud.
[00:11:57.430 --> 00:11:57.610]  Yes.
[00:11:58.511 --> 00:12:00.051]  Well, and here's the thing.
[00:12:00.571 --> 00:12:04.792]  Again, people are looking for a political solution to a spiritual problem.
[00:12:05.152 --> 00:12:14.253]  It's my contention that obviously the United States has declared, the Democrats specifically, and the Republican whores, have declared war on God.
[00:12:14.313 --> 00:12:17.374]  They've declared war on everything that made our country great.
[00:12:17.874 --> 00:12:26.596]  The destruction of the family, the destruction of a grateful nation versus the one that's basically, we're in a rape, pillage, and plunder.
[00:12:26.877 --> 00:12:28.997]  The United States has been taken under.
[00:12:29.417 --> 00:12:41.901]  And you know, when we watch what's going on, the heartbreak, why is it all these immigrants come in and they get huge amounts of government stipends, yet we have veterans sleeping and dying on the streets.
[00:12:41.961 --> 00:12:45.162]  And more so now... And being encouraged in Canada and the U.S.
[00:12:45.202 --> 00:12:46.062]  to kill themselves.
[00:12:47.250 --> 00:13:00.744]  Yep, and ladies and gentlemen, you know, the nation, and I want to say this, I'm responsible, don't get mad at the Alex's, but we are watching a nation that is dead on the inside expecting to change things on the outside.
[00:13:02.030 --> 00:13:04.992]  We have lost our gratefulness to the living God.
[00:13:05.032 --> 00:13:06.593]  We have lost our freedom, liberty.
[00:13:06.673 --> 00:13:08.894]  And again, John Adams nailed it.
[00:13:08.934 --> 00:13:11.216]  Liberty once lost is lost forever.
[00:13:11.616 --> 00:13:17.819]  But again, the political distraction, if you will, what I used to call circus ridiculous.
[00:13:18.580 --> 00:13:28.045]  We've got three rings going on continually, and that's to keep us off guard because we just have the most evil assemblage in the world at COP 27 in Egypt.
[00:13:29.827 --> 00:13:39.756]  And I think, Alex, everybody forgets what you've done, what I've done, all the those of us who have been around for decades on talk radio and obviously podcasting, broadcasting now.
[00:13:40.236 --> 00:13:43.039]  But we've quoted ad nauseum.
[00:13:43.139 --> 00:13:46.922]  These guys want to deliver the planet from pretty close.
[00:13:47.002 --> 00:13:49.324]  Ninety five percent of the people you and I covered.
[00:13:49.364 --> 00:13:50.125]  And this is important.
[00:13:50.845 --> 00:13:52.388]  Covered the Deagle Report.
[00:13:52.789 --> 00:13:56.936]  You can see the acceleration to get to 2025 in the Deagle Report.
[00:13:56.996 --> 00:14:02.265]  And explain from insurance corporate actuaries of a massive depopulated America.
[00:14:02.285 --> 00:14:04.129]  Tell people about the Deagle Report they don't know.
[00:14:05.413 --> 00:14:07.915]  Well, the Deagle Report was put out by John Deagle.
[00:14:08.155 --> 00:14:14.680]  It's like a think tank, but it was a Rockefeller-controlled and Rockefeller Foundation-controlled mouthpiece.
[00:14:15.080 --> 00:14:29.051]  And by 2025, they're showing the population of the United States of America, and they've been doing this now for the past four or five years, maybe even longer than that, but by 2025, the American population would be brought down to 100 million or less.
[00:14:29.651 --> 00:14:31.773]  A hundred million or less.
[00:14:32.194 --> 00:14:36.819]  Ladies and gentlemen, that means 260 million plus people have got to be done away with.
[00:14:37.279 --> 00:15:04.075]   And what's problematic and provocative is when you understand that the zero population people and what we're seeing that just took place in Egypt We're seeing, in my opinion, the absolute Luciferian introduction to globalism to destroy every nation-state, obviously United States, Western Europe, obviously big-time Russia, and they hate Russia the most because Russia believes in their own country.
[00:15:04.415 --> 00:15:14.422]   I wish we would be as jealous for our country as all of these Disgusting politicos seem to want to help everybody else but make war on us.
[00:15:14.782 --> 00:15:28.575]  And how is it, Alex, seriously, how is it that with the FTX, and this is important, that the kleptocurrency, forget crypto, it was kleptocurrency, that tied to the Democratic Party, $37 billion.
[00:15:28.595 --> 00:15:30.237]  By the way, that's only face value.
[00:15:30.597 --> 00:15:32.539]  That's not, that's notional value.
[00:15:32.659 --> 00:15:34.581]  That's not the derivative value.
[00:15:35.001 --> 00:15:40.545]  Within days, there's a new cry to give Zelensky in the Ukraine another $37 billion.
[00:15:40.865 --> 00:15:46.969]  And so, what I think people have got to understand now, they no longer want to withhold the pillaging.
[00:15:47.289 --> 00:15:49.751]  It's going on, and people don't think anymore.
[00:15:50.131 --> 00:15:51.011]  Stay right there.
[00:15:51.032 --> 00:15:51.592]  Stay right there.
[00:15:51.612 --> 00:15:54.754]  I think what you're saying is, we're not in beta, they're in operational now.
[00:15:54.774 --> 00:15:56.575]  We're inside the new world order now.
[00:15:57.035 --> 00:15:59.157]  Like that old Johnny Cash song, you're in the jailhouse now.
[00:16:00.657 --> 00:16:07.101]  For only the second time in the entirety of the InfoWars store, we are announcing a selling out mega blowout sale.
[00:16:07.582 --> 00:16:16.008]  Many of our top selling items are included in this sale and are in limited supply, so once they're out, they will probably not be back in stock until next year.
[00:16:16.388 --> 00:16:20.511]  Everything is listed at deep discounts of up to 60% off market price.
[00:16:20.631 --> 00:16:26.275]  Plus, if you order now, we will include a free gift from the store for every order, regardless of what you buy.
[00:16:26.855 --> 00:16:33.498]  This item will be chosen at random from a hand-picked selection of our DVDs, books, stickers, and so much more.
[00:16:33.938 --> 00:16:38.760]  This is our gift to you for supporting the InfoWars and the Voice of Freedom worldwide.
[00:16:39.100 --> 00:16:49.885]  After the seemingly never-ending barrage of attacks on us, Alex and the rest of the crew here at InfoWars needs all the help we can get to allow the message of a pro-human future to reach the masses.
[00:16:50.385 --> 00:16:59.571]  Hurry to the store of InfoWars now to check out the mega blowout sale because some of these items are already selling out at InfoWarsStore.com.
[00:17:00.531 --> 00:17:07.135]  In the modern world where they convince a woman to get a job, the man to get a job, they inflate the currency so nobody can exist any other way because it's too expensive.
[00:17:07.415 --> 00:17:08.816]  The parents are out working all day.
[00:17:08.836 --> 00:17:11.658]  The school and the internet and the matrix raise your children.
[00:17:11.738 --> 00:17:15.062]  Your children go to school all day and be told things that you may not want them to learn.
[00:17:15.182 --> 00:17:18.566]  Then they sit on the internet and read things and watch things you may not want them to watch.
[00:17:18.586 --> 00:17:21.068]  You talk to them for 10 minutes at the end of the day, they go to bed.
[00:17:21.108 --> 00:17:28.116]  You're fighting with your 10 minutes against endless hours of the most entertaining programming or the most forceful programming.
[00:17:28.156 --> 00:17:30.399]  In school it's forceful, on the internet it's entertaining.
[00:17:30.659 --> 00:17:33.182]  Convincing them of ideas that you perhaps don't agree with.
[00:17:33.482 --> 00:17:34.643]  I've seen it myself on YouTube.
[00:17:34.703 --> 00:17:39.167]  I've seen a guy in America driving his car and his kids were in the backseat and he was arguing with them about an issue.
[00:17:39.687 --> 00:17:40.909]  And he was like, where did you hear that?
[00:17:41.129 --> 00:17:41.429]  School?
[00:17:41.629 --> 00:17:43.110]  He's like, why did the school tell you that?
[00:17:43.150 --> 00:17:43.631]  That's not true.
[00:17:43.651 --> 00:17:46.694]  And his own children are arguing with him because they learned it in school.
[00:17:46.714 --> 00:17:48.195]  Have you ever tried to take your children out of school?
[00:17:48.395 --> 00:17:48.956]  You'll get fined.
[00:17:48.976 --> 00:17:49.596]  You'll get in trouble.
[00:17:49.656 --> 00:17:50.857]  No, your kids have to go to school.
[00:17:51.017 --> 00:17:52.599]  You have to give your kids away to the school.
[00:17:52.859 --> 00:17:55.842]  If you don't give your kids away to the brainwashing, you'll get in trouble.
[00:17:56.222 --> 00:18:07.850]   As an all-star fighter, Businessman, motivational speaker and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[00:18:08.251 --> 00:18:13.394]  He is consecutively the most googled man in the world in the last two years.
[00:18:13.634 --> 00:18:18.258]  And that's because his message is about human and specifically male empowerment.
[00:18:18.738 --> 00:18:24.463]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[00:18:25.004 --> 00:18:27.386]  Introducing Top G Supplements.
[00:18:27.966 --> 00:18:32.971]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[00:18:33.251 --> 00:18:38.856]  Now you have the chance to benefit in body, mind and soul with the same supplements that Andrew Tate takes himself.
[00:18:39.236 --> 00:18:43.460]  Learn more about these amazing products at andrewtatepower.com.
[00:18:44.020 --> 00:18:50.467]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements that are the highest quality on the market.
[00:18:50.487 --> 00:18:59.376]  I think there's a whole bunch of men in the world who understands my value and if men grow up to be like me you're gonna have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[00:19:01.172 --> 00:19:03.054]  Thanksgiving 2022 is here.
[00:19:03.074 --> 00:19:05.737]  We've got the biggest sale of the year going right now.
[00:19:06.098 --> 00:19:11.464]  Now the good news is I'm going to extend this sale up to 60% off right through Christmas.
[00:19:11.884 --> 00:19:16.109]  The bad news is by Christmas almost every product in the store will be sold out.
[00:19:16.389 --> 00:19:18.110]  We won't get more for months and months and months.
[00:19:18.470 --> 00:19:22.672]  So now is the time to take action to support the Info War and get the biggest sales of the year.
[00:19:22.892 --> 00:19:28.575]  We've already sold out of X2 and X3 and BioTruth Selenium and our Wake Up America award-winning coffee.
[00:19:28.855 --> 00:19:33.017]  And now, DNA Force Plus, Vitamin Refusion, Body's Ultimate Turmeric Formula.
[00:19:34.037 --> 00:19:39.160]  So many other great products like Ultimate Krill Oil, Ultimate Finish Oil, Vaz-O-Beats, Secret 12.
[00:19:39.881 --> 00:19:43.783]  They are all going to sell out in the next few weeks or in the next month.
[00:19:44.183 --> 00:19:46.384]  Again, more stuff's going to sell out today.
[00:19:46.764 --> 00:19:50.547]  So every hour you wait, more stuff will be sold out at mfullworldstore.com.
[00:19:51.127 --> 00:19:57.611]  Promo code 1776 and you get an additional 10% off the already giant savings at mfullworldstore.com.
[00:19:57.851 --> 00:19:58.951]  Thank you so much for your support.
[00:19:59.152 --> 00:19:59.552]  God bless.
[00:20:01.769 --> 00:20:08.769]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:08.769 --> 00:20:22.448]   Look, Steve Quayle here on the Alex Jones Show on this November 16th Wednesday broadcast.
[00:20:23.314 --> 00:20:25.816]  He's not here for praise.
[00:20:25.856 --> 00:20:26.596]  He doesn't care about that.
[00:20:26.616 --> 00:20:35.422]  But it's very important to note that this guy is the trailblazer of trailblazers that predicted before anybody else exactly what we're now living through.
[00:20:35.442 --> 00:20:38.799]   A man way before It's time.
[00:20:38.839 --> 00:20:39.840]  A man in the wilderness.
[00:20:40.520 --> 00:20:41.761]  So I want to get into FTX.
[00:20:41.841 --> 00:20:43.282]  I want to get into the war in Ukraine.
[00:20:43.302 --> 00:20:44.443]  I want to get into the missile strike.
[00:20:44.823 --> 00:20:45.824]  They admit Ukraine launched.
[00:20:45.844 --> 00:20:47.285]  The Pentagon says it's still Russia's fault.
[00:20:47.325 --> 00:20:47.965]  Incredible clip.
[00:20:48.365 --> 00:20:50.126]  I want to get into Trump vs. DeSantis.
[00:20:50.547 --> 00:20:52.108]  What you think is coming next with the Globalist.
[00:20:52.208 --> 00:20:53.849]  Obviously we don't have two years to get Trump in.
[00:20:54.349 --> 00:20:54.989]  All of it with you.
[00:20:55.030 --> 00:20:56.831]  You'll be 15 minutes with us in the next hour.
[00:20:57.211 --> 00:20:59.432]  Then Kate Daly takes over ahead of Owen Schroeder at 3 p.m.
[00:20:59.452 --> 00:21:00.613]  Central with the War Room.
[00:21:00.633 --> 00:21:01.774]  But you were getting into FTX.
[00:21:01.814 --> 00:21:04.876]  Take your time here because this is so big.
[00:21:05.436 --> 00:21:10.258]  Upwards of $100 billion leverage capital to Ukraine, money laundering, all of it going on.
[00:21:10.318 --> 00:21:20.001]  Money goes to Ukraine from the Treasury with Biden, comes back through FTX, the Democrats, and then Patriots online and a lot of others that were exposing FTX the last few months.
[00:21:20.121 --> 00:21:22.782]  I see this as a big victory that it's been exposed.
[00:21:23.262 --> 00:21:27.283]  They've tried to recycle it now and say, oh, we need to regulate all cryptocurrencies if it's all bad.
[00:21:27.684 --> 00:21:30.324]  No, what they did was bad, using it for money laundering, in my view.
[00:21:30.604 --> 00:21:31.865]  Steve Quayle, what's your expert view?
[00:21:33.140 --> 00:21:46.099]   Well, FTX is a great example of what I would call a private railroad for ill-gotten gains Grease the palms of all those that were in the money chain.
[00:21:46.199 --> 00:22:03.187]  And obviously, the poster child, this is interesting, Alex, his name is Bankman Fried, and this thing has the potential, his middle name and last name, has the potential to fry all the bankmen, just like when Bernie Madoff did what he did, he basically made off with everybody's money.
[00:22:03.267 --> 00:22:05.488]  And this is way bigger than Madoff, though, right?
[00:22:06.209 --> 00:22:07.069]  Oh, absolutely.
[00:22:07.290 --> 00:22:21.155]  This is beyond huge because so many people were tied in to FTX because let's face it, most of the techno billionaires, not all, but the majority of them are, are like they have a tight communication channel.
[00:22:21.175 --> 00:22:32.280]  So they were using their holdings and FTX to leverage, you know, and when you've got a little bit of money and you can use a whole lot of leverage, you can get yourself a whole lot of money or a whole lot of trouble.
[00:22:32.860 --> 00:22:39.248]  The true actuarial state of what FTX's meltdown means is being hush-hushed.
