[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[00:02:35.879 --> 00:02:43.127]  Coming up today, we have got a who's who of huge guests on the broadcast, from David Icke to Stephen Bannon.
[00:02:44.929 --> 00:02:53.141]  Roger Stone, Owen Schroyer, Robert Barnes, Ali Alexander, the list goes on and on.
[00:02:53.742 --> 00:02:56.867]  Thank you so much for joining us today.
[00:02:57.147 --> 00:02:58.850]  Wow, let's get into it.
[00:03:01.019 --> 00:03:17.470]  They knew that people were watching them trying to run a replay of the fraud of two years ago, and so they waited until about a week before the election to start with the Red Mirage talk, and, oh, the election won't be known for a few days, now a week, maybe a few weeks, in all the key battleground states of Arizona.
[00:03:18.250 --> 00:03:19.631]  That shouldn't be a battleground, but they steal it.
[00:03:19.972 --> 00:03:26.017]  And Michigan and Pennsylvania, they're having the machines malfunction and shut down in the key districts.
[00:03:26.537 --> 00:03:28.359]  And they're having all sorts of problems.
[00:03:28.439 --> 00:03:35.224]  And, oh, and the federal courts are ruling that ballots that are mismarked and dated wrong and all torn up, they're good too.
[00:03:36.806 --> 00:03:40.249]  They're running the exact same play they ran two years ago.
[00:03:41.229 --> 00:03:46.414]  The question is, will they have enough dead people on the rolls and enough people that moved out of state who had their names harvested?
[00:03:48.072 --> 00:03:55.827]  It'll then be put on these ballots they've got in reserve in warehouses ready after the numbers come in and show a huge Republican tsunami.
[00:03:55.847 --> 00:03:56.949]  54 to 56 Senate seats.
[00:04:00.316 --> 00:04:03.457]  A massive increase in the House of Representatives as well.
[00:04:03.857 --> 00:04:06.637]  That's what all the scientific polling shows.
[00:04:06.997 --> 00:04:18.520]  Even the Washington Post is predicting in the Senate, 54 Republicans, Democrats, 46 in the House, 246 Republicans to 189 Democrats.
[00:04:18.900 --> 00:04:22.261]  That's a 60 plus increase in the House, exactly what I've been predicting.
[00:04:22.801 --> 00:04:28.745]   But ladies and gentlemen, They are going to steal as many of these as they can.
[00:04:29.045 --> 00:04:32.768]  This is one hell of a time to be alive, I can tell you.
[00:04:33.188 --> 00:04:40.414]  ABC News said Red Mirage will look like big Republican win, but vote count could take weeks.
[00:04:41.115 --> 00:04:41.595]  Weeks.
[00:04:42.236 --> 00:04:47.140]  Here's the actual ABC News article where they say it could take weeks with a S.
[00:04:48.373 --> 00:04:50.154]  Meaning plural, meaning multiple weeks.
[00:04:50.635 --> 00:04:54.278]  Early election night results might not indicate final tallies.
[00:04:55.819 --> 00:04:56.980]  Red Mirage.
[00:04:57.601 --> 00:05:04.226]  Or an actual GOP red lead will likely reoccur but will be taken away, says ABC News.
[00:05:04.286 --> 00:05:08.189]  And Federman says it'll look like he loses but he's going to win.
[00:05:08.269 --> 00:05:10.411]  You better believe he is, of course.
[00:05:12.172 --> 00:05:15.395]  We also have the press secretary out there saying the exact same thing.
[00:05:15.435 --> 00:05:16.276]  That clip's coming up.
[00:05:17.598 --> 00:05:24.070]  Next segment, Fetterman campaign issues memo, warning of a long week for a process that takes several days before results are in.
[00:05:24.531 --> 00:05:25.452]  Lashes out!
[00:05:27.095 --> 00:05:30.121]  Fetterman campaign issues memo, warning of the election being delayed.
[00:05:30.942 --> 00:05:34.025]  Fetterman's PA Senate campaign sued and won.
[00:05:34.305 --> 00:05:43.634]  Pennsylvania voters line up to cast new ballots as GOP loses lawsuit to block voters from fixing mail-in ballots and incorrect dates.
[00:05:44.374 --> 00:05:48.758]  Two years after election turmoil, GOP voters remain skeptical of election vote counts.
[00:05:48.918 --> 00:05:50.580]  Shouldn't you be skeptical?
[00:05:50.880 --> 00:05:51.441]  Polls.
[00:05:51.461 --> 00:05:54.563]  61% of Republicans still believe Biden didn't win fair and square.
[00:05:54.884 --> 00:05:57.106]  And they believe bears go to bathroom in the woods.
[00:05:57.766 --> 00:06:08.156]  It goes on and on, we're going to be laying it all out, and then all the magic problems all over the country as the key districts, the machines, fail.
[00:06:08.256 --> 00:06:13.401]  And then they get specially booted right at the last minute, and magically the Democrats win.
[00:06:13.821 --> 00:06:15.603]  They're such good people.
[00:06:15.963 --> 00:06:18.906]  They're so loving and liberal.
[00:06:19.506 --> 00:06:23.070]  Alright, ladies and gentlemen, gigantic broadcast coming up today.
[00:06:24.742 --> 00:06:33.845]  Well, we were supposed to already be off the air, and the Deep State threw everything they had at InfoWars in the last five years.
[00:06:34.585 --> 00:07:00.351]   But thanks to you, the listeners and viewers of this transmission, and this great crew, and our amazing guest, And my determination, given to me by God, my will, given to me by my Heavenly Father, we are still on air and in many ways more influential and more powerful, all glory to God, than we've ever been before.
[00:07:02.072 --> 00:07:02.512]  Woo!
[00:07:05.353 --> 00:07:10.715]  The Republicans would win every Senate seat that's up for a vote right now.
[00:07:11.934 --> 00:07:18.316]  They would win basically every House seat if there wasn't systemic fraud that's been documented.
[00:07:19.076 --> 00:07:33.979]  But the red wave's so big, I do predict, even when they try to stuff the ballots in the next few weeks and shut things down, that it's not going to work and the Republicans will narrowly take the Senate and we'll get a big win in the House.
[00:07:35.420 --> 00:07:37.140]  Even the Washington Post predicts.
[00:07:40.362 --> 00:07:44.946]  In the Senate, 54 Republican wins against 46 Democrat.
[00:07:45.006 --> 00:07:52.753]  In the House, 246 Republicans versus 189 Democrats.
[00:07:52.793 --> 00:07:58.098]  And I think that is a very conservative estimate if it wasn't for the fraud.
[00:07:58.138 --> 00:08:06.546]  But I think you'll actually see less than this because the power structure is not completely unified.
[00:08:07.338 --> 00:08:12.904]  And there's a lot of Democrats and city machines that are going to steal the election, even if the higher-ups aren't wanting that.
[00:08:13.244 --> 00:08:18.690]  And what I'm saying is to be very clear, the deep state doesn't want a big Republican majority.
[00:08:19.330 --> 00:08:25.637]  They want to be able to still control things and run things, and they're scared of a new populist beachhead and caucus forming.
[00:08:26.398 --> 00:08:29.140]  They want to work with the neocons and the deep state Democrats.
[00:08:30.191 --> 00:08:49.516]  And the RINOs, but they don't want too big a Republican victory, but they're going to allow somewhat of a victory, A, because there's such a tsunami, it's hard to steal, but B, they want to blame Republicans for the diesel shortages and the power outages and the depression that we are accelerating over the edge into.
[00:08:50.397 --> 00:08:54.318]  So that's my best analysis and calculus of what's about to happen.
[00:08:55.238 --> 00:09:16.209]   If they didn't steal a bunch of the election, different races tonight, With a replay of what they did two years ago, you would see a massive realignment, the biggest political slaughter, non-violent slaughter, metaphoric slaughter we've ever seen since we've had voting in this country the last 250 years.
[00:09:17.589 --> 00:09:22.252]  This, ladies and gentlemen, is the New World Order fighting for its life.
[00:09:23.493 --> 00:09:27.133]  That said, they'll mitigate it with fraud.
[00:09:27.133 --> 00:09:37.512]   And the Republicans will not get enough in to have a swing vote of patriots in the house
[00:09:37.512 --> 00:09:43.012]   that'll be able to not just block deep state legislation, but it would be able to push good legislation
[00:09:43.012 --> 00:09:46.532]   to bring the globalists to justice on a raft of issues like gain of function,
[00:09:46.532 --> 00:09:54.212]   bioweapons and open borders and human smuggling and fentanyl and just all the things that are going on
[00:09:54.212 --> 00:09:55.413]  around the country.
[00:09:55.690 --> 00:10:07.360]  And we see a complete replay of two years ago, ABC News and all the other globalist mouthpieces are saying, oh, it'll look like Republicans are winning massively, but expect a lot of those races to go for Democrats.
[00:10:07.921 --> 00:10:11.244]  So you can see the scripting and you can see the scripting in the last speech of Biden.
[00:10:12.472 --> 00:10:19.377]  Well, he's done a bunch of speeches the last few days, but the big one last Friday, where he said, we can't have them attacking democracy!
[00:10:19.457 --> 00:10:23.720]  Why, they want to hurt us, and they want to put us in camps, and they want to kill our kids.
[00:10:23.740 --> 00:10:30.325]  You've heard that talking point just totally made up, and that if you challenge the election, you are a terrorist.
[00:10:30.465 --> 00:10:41.033]  But they're going to challenge the election, and are challenging the election, and have Politico out there saying they think that the RNC's trying to steal races with the voting machines.
[00:10:41.954 --> 00:10:47.795]  Total oxymoronic murder of common sense, murder of logic, upside down world.
[00:10:47.855 --> 00:10:49.355]  You can't talk about election fraud.
[00:10:49.595 --> 00:10:50.776]  You can't question elections.
[00:10:50.796 --> 00:11:00.478]  You shouldn't investigate, even though the State Department for 80 years or more has sent delegates around the world to observe elections and grade them.
[00:11:01.478 --> 00:11:07.659]  And if you compare our elections to other countries, we have amongst some of the worst elections in the world.
[00:11:08.550 --> 00:11:10.252]  Or an international watchdog group show.
[00:11:10.712 --> 00:11:15.678]  Oh, don't trust foreign elections, but you can trust ours and don't ask any questions.
[00:11:16.959 --> 00:11:22.946]  ABC News says Red Mirage will look like big Republican win, but vote count could take weeks.
[00:11:23.526 --> 00:11:27.651]  Early election night results might not indicate final tallies.
[00:11:27.771 --> 00:11:28.752]  For weeks, ABC News.
[00:11:30.034 --> 00:11:35.317]  And it goes on and on and on with Michigan Democrat officials saying it's expected to take weeks.
[00:11:36.017 --> 00:11:40.279]  And the White House Press Secretary will play in a moment saying it could take weeks.
[00:11:40.359 --> 00:11:42.740]  And Fetterman saying it could take weeks.
[00:11:43.020 --> 00:11:49.163]  And a federal judge ruling that yes, they've got to count ballots that are mislabeled or torn up or have the wrong dates on them.
[00:11:50.144 --> 00:11:51.184]  It goes on and on.
[00:11:52.225 --> 00:11:58.418]   And let's look at some of those headlines dealing with The quote, outages and things.
[00:11:58.938 --> 00:12:01.639]  Voting machines down in New Jersey's Mercer County.
[00:12:01.659 --> 00:12:10.561]  Where we just always seem to see the swing vote for Democrats in a state that's normally Democrat swinging heavily Republican just like New York.
[00:12:10.661 --> 00:12:15.682]  Michigan pollster says expect red mirage on election night but Democrat victories.
[00:12:15.722 --> 00:12:16.082]  Fox.
[00:12:16.682 --> 00:12:19.243]  The M campaign sounds alarm about red mirage.
[00:12:20.023 --> 00:12:20.543]  Axios.
[00:12:21.752 --> 00:12:25.234]  Trump calls on Republicans to go out and vote, crush the Communist ballot box.
[00:12:25.714 --> 00:12:27.415]  Love that rhetoric, it's absolutely true.
[00:12:27.956 --> 00:12:35.820]  Election Day tabulators across Maricopa County, again that key place that keeps happening, where the Republicans win in all the other counties, but not there.
[00:12:36.461 --> 00:12:39.643]  Oh, and in Maricopa County, they're not working again!
[00:12:41.738 --> 00:12:45.661]  Tabulators in Texas, a key Democrat controlled area, is not working again.
[00:12:46.402 --> 00:12:47.563]  Just like before.
[00:12:48.283 --> 00:12:51.266]  Votes in key Arizona counties are being misread.
[00:12:51.666 --> 00:12:53.648]  Of course, accidentally for the Democrats.
[00:12:54.308 --> 00:12:55.149]  Here we go again.
[00:12:55.229 --> 00:12:58.612]  Dominion Machines in Mercer, New Jersey, experiencing programming glitch.
[00:12:59.412 --> 00:13:02.635]  It's happening again in New York City polling stations with a pipe bomb threat.
[00:13:03.416 --> 00:13:07.259]  The same as a broken water main that didn't actually happen there in Atlanta.
[00:13:07.679 --> 00:13:11.022]  A last minute change is already delaying vote counting in Philadelphia.
[00:13:13.547 --> 00:13:17.010]  Judge Nye's request to sequester military ballots in Wisconsin.
[00:13:17.030 --> 00:13:22.435]  68% say they'll be thinking about inflation a lot when casting their ballots.
[00:13:23.976 --> 00:13:26.738]  Governor Witch Whitmer got confronted about her lockdowns.
[00:13:27.039 --> 00:13:29.220]  She just said her headphones didn't work anymore.
[00:13:31.302 --> 00:13:33.204]  Biden pledged to shut down coal plants.
[00:13:33.264 --> 00:13:35.626]  Twisted by media, says the White House press secretary.
[00:13:37.027 --> 00:13:37.908]  And more gaslighting.
[00:13:38.208 --> 00:13:47.738]   Here's the press secretary talking about It may take a while to actually tell you who won the election, because again, they only have so many votes in warehouses, pretty filled out.
[00:13:47.778 --> 00:13:59.643]  They only got so many bullets in their gun to steal key areas, and the party bosses wanted to be able, when the rubber meets the road, because they don't have enough votes to seal it everywhere, to pick the key places where they do want to keep their operatives in place.
[00:13:59.863 --> 00:14:00.183]  Here it is.
[00:14:01.032 --> 00:14:03.093]  It took two weeks to call every state.
[00:14:03.574 --> 00:14:08.497]  In modern elections, more and more ballots are being cast in early voting and also by mail.
[00:14:09.077 --> 00:14:16.823]  And many states don't start counting those ballots until after the ballots, after, pardon me, after the polls close on November 8th.
[00:14:17.663 --> 00:14:20.306]  So you heard the president say this the other night.
[00:14:20.366 --> 00:14:22.287]  He has been very clear on this as well.
[00:14:22.367 --> 00:14:26.331]  We may not know all the winners of elections for a few days.
[00:14:26.711 --> 00:14:31.115]  It takes time to count all legitimate ballots in a legal and orderly manner.
[00:14:31.235 --> 00:14:34.919]  That's how this is supposed to work and it's important for us.
[00:14:36.680 --> 00:14:38.102]  So that's how it's supposed to work?
[00:14:39.081 --> 00:14:45.481]   If you go back 50 years ago, 80 years ago, 100 years ago, every little precinct would count the ballots.
[00:14:45.481 --> 00:14:49.961]   They would then phone it in or call it in or before we really even had telephones,
[00:14:49.961 --> 00:14:54.802]   they would then go down to the city's square area and they would then tabulate them all together.
[00:14:54.802 --> 00:14:57.921]   You'd have poll watchers that would go and make sure that number that was at the precinct
[00:14:57.921 --> 00:14:58.760]  was correct.
[00:14:58.760 --> 00:15:01.241]   We had pretty fair elections on average, still some problems.
[00:15:01.241 --> 00:15:06.741]   But now with all the computers, all the fancy gadgetry, well, we just can't know for weeks.
[00:15:06.982 --> 00:15:09.905]  That's just the way it works, ladies and gentlemen.
[00:15:10.566 --> 00:15:21.599]  Now, a big part of this activism exposing these people is never giving up, even when they steal elections, and coming back and enforcing the issue as it angers voters who don't give up and only double down.
[00:15:21.859 --> 00:15:22.680]  And that's what scares them.
[00:15:22.700 --> 00:15:23.941]  They want you to give up, never give up.
[00:15:24.687 --> 00:15:33.292]  And they also don't want you to say, hey, there's live, real coverage of what's going down and what they don't want you to know about the election as they try a replay of the theft of two years ago.
[00:15:33.572 --> 00:15:42.357]  Here's the forbidden link, Alex Jones and Infowars.com and Infowars.com forward slash show and band dot video.
[00:15:43.098 --> 00:15:44.279]  We'll be right back.
[00:15:44.319 --> 00:15:45.639]  But you are the Paul Revere's.
[00:15:46.120 --> 00:15:48.481]  Spread the live transmission now.
[00:15:49.962 --> 00:15:52.844]  Live midterm bloodbath.
[00:15:53.906 --> 00:15:56.226]  Red wave coverage.
[00:15:58.027 --> 00:16:00.547]  And when I say bloodbath, I mean that metaphorically.
[00:16:02.008 --> 00:16:03.248]  We don't want any violence.
[00:16:04.108 --> 00:16:07.049]  Biden keeps saying we're all about to be a bunch of terrorists.
[00:16:07.089 --> 00:16:11.309]  Republicans are about to be violent when they try to steal the election.
[00:16:12.150 --> 00:16:14.290]  When they have the history of being violent.
[00:16:14.750 --> 00:16:18.251]  And there's a bunch of news articles about the CIA all over the news.
[00:16:18.311 --> 00:16:19.671]  I'll cover this coming up next segment.
[00:16:20.794 --> 00:16:31.983]  Saying it's time to use the CIA on the American people, which they're already doing, that broke in the last few weeks in The Intercept, to censor you, to surveil you, to control you, working with the ADL.
[00:16:32.383 --> 00:16:33.604]  This is completely illegal.
[00:16:34.004 --> 00:16:35.285]  It's absolutely outrageous.
[00:16:35.686 --> 00:16:37.887]  We don't even need new laws or investigations.
[00:16:38.107 --> 00:16:38.628]  They've done it.
[00:16:39.028 --> 00:16:40.149]  It's on the books it's illegal.
[00:16:40.429 --> 00:16:41.150]  They need to be arrested.
[00:16:42.622 --> 00:16:51.269]  Coming up today, David Icke, George Christensen is going to be on, Member of Parliament in Australia about the massive miscarriages.
[00:16:52.554 --> 00:16:53.114]  that are happening.
[00:16:53.134 --> 00:16:56.295]  We're going to be covering the election, all the latest numbers right through past midnight tonight.
[00:16:56.315 --> 00:16:59.377]  We're going to be covering the big issues they don't want us to focus on as well.
[00:16:59.937 --> 00:17:13.722]  We're going to have Owen Troyer, Harrison Smith, Ali Alexander, Steve Bannon, Robert Barnes, and a bunch of other big guests like Roger Stone, Darren Beattie, and others right through past midnight tonight.
[00:17:14.242 --> 00:17:16.445]  You definitely do not want to miss any of this.
[00:17:16.906 --> 00:17:21.532]  The live show headline has the feed in it on the front page of InfoWars.com for you to share.
[00:17:21.912 --> 00:17:23.675]  Live Election Day coverage with Alex Jones.
[00:17:24.015 --> 00:17:28.881]  The Deep State is attempting to steal the midterms using the exact same criminal tactics from 2020.
[00:17:31.514 --> 00:17:34.155]  And we've got a big transmission lined up.
[00:17:34.195 --> 00:17:48.542]  Yours truly, Alex Jones and his team and an ensemble of insightful guests and broadcasters will be transmitting deep into the night as we chronicle the incredible spectacle of the American people trying to retake control of the nation from the transhumanist globalists.
[00:17:48.982 --> 00:17:57.665]  Watch and share this tremendous live broadcast that will be a marathon of vital election coverage and exclusive analysis found nowhere else.
[00:17:58.065 --> 00:18:01.547]  Stay tuned for special guests and more that will also be out of the list.
[00:18:01.887 --> 00:18:03.688]  The Blueprint to Defeat the New World Order is now here.
[00:18:04.388 --> 00:18:07.169]  Thank you so much for joining us and I want to be very clear.
[00:18:09.039 --> 00:18:11.722]  They're going to try to spin their attempt at steel tonight.
[00:18:12.122 --> 00:18:17.608]  That's why we're not just going to chronicle like we're passive observers here what they're trying to do to us.
[00:18:17.648 --> 00:18:28.539]  We're going to be tracking it with your calls from what you've seen at the polls or what you're witnessing in key battleground states like Michigan, like Pennsylvania, like Wisconsin, like Arizona.
[00:18:29.488 --> 00:18:42.203]  We are going to be, unlike Georgia, we're going to be just blasting through today and taking a ton of calls throughout the night, not just the special guests that are joining us.
[00:18:42.863 --> 00:18:48.870]  And I may even do something tonight where we don't even get your name or where you're calling from, and we just air you live on air.
[00:18:49.831 --> 00:18:53.214]  That's something I used to do a long time ago when I was running a show with only one border operator.
[00:18:53.615 --> 00:18:55.176]  That's real talk radio right there.
[00:18:55.877 --> 00:19:04.605]  But that'll be later into the wee hours of the evening and it won't be fully decided tonight because they don't care if Republicans win about 5-10 points.
[00:19:04.765 --> 00:19:06.366]  They've got warehouses full of fake ballots.
[00:19:06.386 --> 00:19:07.527]  They're going to go cram them in.
[00:19:07.547 --> 00:19:09.429]  They're going to pull in with trucks in the middle of the night when it's closed.
[00:19:09.449 --> 00:19:10.990]  They're going to cover the windows up again.
[00:19:11.331 --> 00:19:13.152]  They're going to say water mains broke again when they don't.
[00:19:13.172 --> 00:19:14.093]  They're going to try to steal it.
[00:19:14.233 --> 00:19:15.515]  I mean, this is a hardcore criminal group.
[00:19:16.215 --> 00:19:19.179]  They're going to try to intimidate, attack, and sue anybody that challenges it.
[00:19:19.199 --> 00:19:20.500]  But it doesn't matter.
[00:19:20.560 --> 00:19:21.561]  In the end, we're winning.
[00:19:21.922 --> 00:19:25.646]  And you see the whole world turning against the New World Order.
[00:19:26.727 --> 00:19:29.571]  But I want to cover the tactics with David Icke.
[00:19:30.862 --> 00:19:33.323]  Who's been listed as a level three terrorist.
[00:19:33.343 --> 00:19:38.264]  You know, I saw that last week when it broke and then I went and looked at the actual EU letter.
[00:19:38.844 --> 00:19:42.805]  It said, well, he believes the government's corrupt and planning to put you in camps.
[00:19:43.265 --> 00:19:45.485]  And that's scary and can make people not like the government.
[00:19:45.785 --> 00:19:47.586]  So he's banned from Europe for two years.
[00:19:49.386 --> 00:19:50.706]  That's the model for the rest of the world.
[00:19:51.587 --> 00:19:54.187]  But then they're doing everything David Icke says they're doing.
[00:19:54.467 --> 00:19:55.847]  This ties into everything we've been covering.
[00:19:57.088 --> 00:19:57.968]  That's next segment.
[00:19:59.653 --> 00:20:02.675]  Then, as I said, later in the next hour, we'll open the phones up.
[00:20:02.695 --> 00:20:04.976]  We'll have another guest pop in from Australia for 30 minutes.
[00:20:07.257 --> 00:20:08.078]  We'll take calls again.
[00:20:08.118 --> 00:20:14.321]  Then Mike Adams is loaded for bear with critical information, breaking news that he's tracking in the fourth hour.
[00:20:14.381 --> 00:20:17.283]  And then Owen Schroer in the War Room is just loaded with guests.
[00:20:17.303 --> 00:20:19.404]  We'll be taking calls, all the latest numbers.
[00:20:20.645 --> 00:20:25.908]  And then at about six central, we'll start getting a real clear picture of what's going on.
[00:20:26.048 --> 00:20:31.543]   And I'm going to be here From about 6.30 right through to 2 a.m.
[00:20:31.583 --> 00:20:41.668]  tonight, Owen Schroer and Harrison Smith are going to be in another studio, and every 15 minutes we're going to cut to them, and they're going to give us news and analysis and the latest breaking information.
[00:20:42.669 --> 00:20:43.369]  And that's critical.
[00:20:43.409 --> 00:20:44.650]  So starting at 6 p.m.
[00:20:44.690 --> 00:20:53.395]  tonight, we'll air a few reports and a few promos and a few special reports and maybe a few ads, but it's going to be very commercial light.
[00:20:54.095 --> 00:20:56.757]  I would imagine you'll probably get three minutes of ads an hour.
[00:20:57.717 --> 00:21:01.621]  Yeah, everybody's addicted to podcasts, and so am I. I was one of the first podcasters out there.
[00:21:01.641 --> 00:21:05.484]  I've always done a podcast, you know, on top of the show until they banned me off most podcasting.
[00:21:05.945 --> 00:21:08.887]  But we're still on air because of our great AM and FM affiliates.
[00:21:08.907 --> 00:21:10.969]  There's 14 minutes of ads an hour, Standard Talk Radio.
[00:21:11.470 --> 00:21:18.016]  But when we shift into our coverage tonight at 6 p.m., we're going to go very commercial light.
[00:21:19.329 --> 00:21:31.636]  And our affiliates everywhere are not just welcome, I'm asking them respectfully to carry our live coverage or go back and forth with our live coverage and your local station's coverage or other national coverage as well.
[00:21:31.656 --> 00:21:34.718]  We're free to air, meaning no contracts needed to carry our shows.
[00:21:35.078 --> 00:21:37.420]  Some stations want contracts, but we do that when they want it.
[00:21:37.720 --> 00:21:42.923]  We have an affiliate relations team, great folks to do that, Scott Bronson and John Harmon.
[00:21:43.543 --> 00:21:49.607]   But we are free to air, meaning carry the show, carry an eclipse, Anything you want, we're free to air.
[00:21:49.687 --> 00:21:52.689]  It belongs to the people of America and the world.
[00:21:52.989 --> 00:21:55.230]  And I want to just ask listeners again to spread all the live feeds.
[00:21:56.491 --> 00:21:57.631]  You're the force multipliers.
[00:21:57.671 --> 00:22:00.913]  We always, on elections, get an extra 5, 6, 7 million viewers.
[00:22:01.514 --> 00:22:08.177]  On the 2016 election, we had over 35 million people tune in, in just 24 hours.
[00:22:08.678 --> 00:22:10.559]  And over 87 million people that week.
[00:22:12.677 --> 00:22:23.060]  That's conservatively, so that's what scared them so bad when our broadcast was the biggest thing in the world in 2016 and why we became public enemy number one because we're the model of what they fear.
[00:22:23.400 --> 00:22:29.321]  So at the same time, please remember, financially we're in your hands, plus we've got amazing products you need, so don't miss out on these products.
[00:22:30.001 --> 00:22:32.442]  The biggest sell of the year always peaks in November.
[00:22:33.062 --> 00:22:40.964]  We've got all the products in, or most of them in, and it's up to 60% off with promo code 1776, and these deals will continue through Christmas.
[00:22:41.892 --> 00:22:45.414]  But, a lot of stuff in the next week's gonna be sold out.
[00:22:46.254 --> 00:23:06.104]  And so if you wanna do your Christmas shopping now, or stock up on great things like X3, or Vitamin Mineral Fusion, or DNA Force Plus, or Brain Force Ultra, or Brain Force Plus, or the ultimate krill oil, highest rated krill oil, incredible, it does for your whole cardiovascular, your brain, just, I tell you before I go to sleep, just gives you the best deep dreams, best sleep, major studies out on that.
[00:23:07.153 --> 00:23:08.574]  Ultimate fish oil, highest grade as well.
[00:23:08.995 --> 00:23:11.296]  It's all up to 60% off.
[00:23:11.396 --> 00:23:12.257]  Everything's 40-50% off.
[00:23:12.277 --> 00:23:15.380]  You get an additional 10% off promo code 1776.
[00:23:15.940 --> 00:23:18.322]  That's up to 60% off.
[00:23:18.442 --> 00:23:22.706]  Some of these products we're making 10% on at that sale level.
[00:23:22.726 --> 00:23:23.766]  So you're getting a really good deal.
[00:23:24.007 --> 00:23:27.589]  These are all grade A, you know, beyond prime.
[00:23:28.070 --> 00:23:29.271]  The best we can find.
[00:23:30.171 --> 00:23:31.773]  Take our body's ultimate turmeric formula.
[00:23:33.223 --> 00:23:34.383]  It's 95% Humanoid.
[00:23:34.964 --> 00:23:37.825]  We went out to top developers and said, what's the highest Humanoid?
[00:23:38.085 --> 00:23:38.705]  They go 75.
[00:23:38.765 --> 00:23:39.585]  Nobody goes past that.
[00:23:39.945 --> 00:23:40.786]  Most folks do 5%.
[00:23:40.826 --> 00:23:41.346]  It still works great.
[00:23:41.886 --> 00:23:43.026]  Ours is 95% Humanoid.
[00:23:43.467 --> 00:23:44.367]  That's why people love it so much.
[00:23:44.767 --> 00:23:50.749]  That's the type of stuff you get at InfoWarsStore.com or by calling toll-free, 888-253-3139.
[00:23:50.929 --> 00:23:57.131]  If you want to fund our legal defense to stay on air, go to SaveInfoWars.com and make a donation.
[00:23:57.151 --> 00:23:58.312]  I want to thank you all for your support.
[00:24:00.478 --> 00:24:02.780]  This is Uncle Sam with music and the truth until dawn.
[00:24:03.380 --> 00:24:07.003]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:24:07.463 --> 00:24:09.104]  The chair is against the wall.
[00:24:09.685 --> 00:24:11.326]  John has a long mustache.
[00:24:11.366 --> 00:24:13.908]  This is the heart of 1776!
[00:24:14.749 --> 00:24:15.990]  It's 12 o'clock, Americans.
[00:24:16.070 --> 00:24:17.491]  Another day closer to victory.
[00:24:17.570 --> 00:24:21.890]   And for all of you out there on or behind the lines, this is your song.
[00:24:21.890 --> 00:24:28.890]  [Music]
[00:24:28.890 --> 00:24:31.890]  [Music]
[00:24:31.890 --> 00:24:37.890]   Well, the globalist social engineers are trying to overwhelm us and break our will
[00:24:37.890 --> 00:24:43.890]   while normalizing a corporate world government, a world ID, carbon taxes, social credit scores,
[00:24:43.890 --> 00:24:50.102]   bankrupting us so we're all on social Credit score controlled universal basic incomes.
[00:24:51.002 --> 00:25:09.026]  And whether you're in Europe or whether you're in the UK or Australia or Canada or the US, they had military psyops, they bragged the last two years, interfacing with the media and directing them to use mind control and fear and to quote brainwash the public.
