[00:00:00.000 --> 00:00:16.480]  [outro music]
[00:03:04.314 --> 00:03:07.016]  Biden is even unsettling to the stupid.
[00:03:07.737 --> 00:03:11.099]  And this entire operation requires stupidity.
[00:03:11.820 --> 00:03:14.021]  So things are going to keep getting stranger.
[00:03:14.882 --> 00:03:16.904]  But it probably won't last much longer.
[00:03:17.504 --> 00:03:20.786]  Because the global financial reset is now imminent.
[00:03:21.707 --> 00:03:23.808]  Sri Lanka was just the beginning.
[00:03:24.628 --> 00:03:26.929]  And it looks like South Africa could be next.
[00:03:27.670 --> 00:03:29.230]  Followed by everyone.
[00:03:29.851 --> 00:03:35.393]  The fiat fractional reserve banking scheme has been robbing the people blind for decades.
[00:03:36.173 --> 00:03:38.434]  But eventually, all the money runs out.
[00:03:39.515 --> 00:03:43.116]  And the financial pundits are all saying it's this year.
[00:03:43.797 --> 00:03:46.438]  The dollar has just reached parity with the euro.
[00:03:47.398 --> 00:03:49.787]  And fudging the numbers will no longer work.
[00:03:50.530 --> 00:03:53.580]  They have only one solution left, and that's war.
[00:03:54.975 --> 00:03:59.018]  War has often been used to save failing fiat currencies.
[00:03:59.578 --> 00:04:08.944]  And having no other options, the psychotic bureaucrats in charge will go to war with Russia, which will only hasten the financial collapse of the West.
[00:04:09.765 --> 00:04:15.729]  If it comes to World War III, then it will be the final death blow, making way for a new system.
[00:04:16.629 --> 00:04:21.613]  Which means that, unless you're holding on to real money, you will soon be broke.
[00:04:22.313 --> 00:04:28.498]  Because all that paper in our wallets and numbers on our screens is going to soon be worthless.
[00:04:29.679 --> 00:04:32.120]  Reporting for InfoWars, this is Greg Reese.
[00:04:32.281 --> 00:04:44.810]  All right, ladies and gentlemen, I want you to get ready because I've been on air 28 years and I'm about to cover the biggest news we've ever broken on this show.
[00:04:45.971 --> 00:04:49.034]   And This is going to change the whole world.
[00:04:49.174 --> 00:04:54.635]  Call everybody you know, whether you're listening on local AM and FM stations, TV stations, or on the internet, and spread the links now.
[00:04:55.236 --> 00:04:56.016]  Wait till you hear this.
[00:04:58.416 --> 00:05:02.877]  All right, my friends, we're live on this Sunday, July 17th, emergency transmission.
[00:05:04.978 --> 00:05:07.518]  The bill was introduced about five days ago.
[00:05:07.958 --> 00:05:09.578]  It didn't hit the news until Friday.
[00:05:11.539 --> 00:05:16.180]  I covered the news articles about the legislation, but I hadn't read the legislation until this weekend.
[00:05:17.402 --> 00:05:26.612]  And knowing what I know about the globalists, the police state, the design collapse, and then going and reading the legislation itself, it's 100% cut and dry.
[00:05:26.632 --> 00:05:29.355]  No ifs, ands, or buts what it is.
[00:05:30.195 --> 00:05:35.801]  And something this big needs to be built up.
[00:05:36.222 --> 00:05:39.962]   I've learned if We just come right on air and tell you what's going on.
[00:05:40.142 --> 00:05:40.963]  Nobody seems to care.
[00:05:41.003 --> 00:05:43.665]  It gets mixed in with all the other fantastical news.
[00:05:43.705 --> 00:05:44.665]  They do that on purpose.
[00:05:44.745 --> 00:05:45.166]  Oh, look!
[00:05:45.746 --> 00:05:50.189]  UPenn nominates transgender swimmer Liz Thomas for NCAA Woman of the Year award.
[00:05:50.569 --> 00:05:52.150]  That's all red meat to distract us.
[00:05:53.091 --> 00:05:55.932]  It's important, but it's still a distraction.
[00:06:00.015 --> 00:06:20.584]   Ladies and gentlemen, starting at the next segment, for the balance of this broadcast, I'm going to lay out, hands down, the most powerful, dangerous, horrible information we have ever covered in 28 years.
[00:06:21.565 --> 00:06:26.810]  This is five times worse than anything we've ever covered.
[00:06:29.372 --> 00:06:30.073]  I'll cover it in a moment.
[00:06:34.440 --> 00:06:42.307]  And if they are able to execute it, it is a thousand times worse than anything we've ever covered.
[00:06:43.568 --> 00:06:44.889]  It is HR 4350.
[00:06:45.690 --> 00:06:47.872]  Now, whoo!
[00:06:50.614 --> 00:06:51.235]  I get busy.
[00:06:51.295 --> 00:06:52.076]  I get distracted.
[00:06:52.436 --> 00:06:56.399]  I'm running around just trying to fund InfoWars and take care of the crew and run our operations.
[00:06:56.540 --> 00:07:01.204]  And in the past, I would read a bill like this, but instead I read the news headlines about it.
[00:07:02.329 --> 00:07:11.411]  And they were bad enough, and I said what it was, but I hadn't read the bill until a crew member said, hey, you better read this.
[00:07:12.891 --> 00:07:16.512]  Ladies and gentlemen, it's completely out in the open.
[00:07:18.293 --> 00:07:19.833]  They don't cover anything up.
[00:07:22.094 --> 00:07:24.834]  And what's key is they've already implemented this.
[00:07:26.075 --> 00:07:31.336]  They know that there's oversight hearings coming, so they want a legislation that it can't be looked at.
[00:07:33.140 --> 00:07:36.941]  Everybody knows, or at least you know history, you know, that Hitler was elected.
[00:07:38.502 --> 00:07:39.902]  They have a lower and upper house.
[00:07:39.962 --> 00:07:42.843]  They have two parliaments, lower and upper parliament.
[00:07:43.283 --> 00:07:45.924]  You have the president and you have the chancellor.
[00:07:46.464 --> 00:08:00.269]  Hitler was elected the president in 1933 and a few months later he firebombed the Capitol building and blamed it on his political enemies and then the government passed dictatorial power to him.
[00:08:00.629 --> 00:08:11.286]   So Hitler was elected But after the Reichstag fire on April 27, 1933, he was given dictatorial power and became a dictator.
[00:08:11.346 --> 00:08:14.650]  Now, I want to explain something.
[00:08:15.370 --> 00:08:18.233]  This is 100% cut and dry.
[00:08:18.814 --> 00:08:19.535]  They admit it.
[00:08:20.135 --> 00:08:20.696]  It's all here.
[00:08:23.086 --> 00:08:31.669]  The Democrat leadership, and they have the votes in the House and Senate, has introduced a bill to make Joe Biden a dictator or whoever else the president is.
[00:08:32.230 --> 00:08:34.050]  And you're like, okay, well, that's bad enough.
[00:08:34.190 --> 00:08:35.071]  We covered that Friday.
[00:08:35.971 --> 00:08:36.711]  No oversight.
[00:08:36.951 --> 00:08:39.192]  The president runs the military for domestic operations.
[00:08:39.692 --> 00:08:41.093]  Unbelievably illegal.
[00:08:41.613 --> 00:08:43.074]  Violates posse comitatus, you name it.
[00:08:43.554 --> 00:08:45.475]  This is what takes over all the third world countries.
[00:08:47.996 --> 00:08:53.144]   Ladies and gentlemen, It's any president.
[00:08:53.464 --> 00:08:55.565]  They're going to kill Biden or he's going to die in his sleep.
[00:08:55.585 --> 00:08:56.185]  They're going to kill him.
[00:08:57.526 --> 00:08:59.006]  And they're going to put Gavin Newsom in.
[00:09:00.507 --> 00:09:02.507]  That's, that's the word under Pelosi's control.
[00:09:04.088 --> 00:09:08.449]  And you ignore this at your peril.
[00:09:08.489 --> 00:09:09.690]  This is a hundred percent.
[00:09:12.491 --> 00:09:17.652]  And I feel a great weight lifted off of me because I knew this was coming and I fought it as hard as I could.
[00:09:17.692 --> 00:09:22.807]   And we had a former NFL Running back on who?
[00:09:23.467 --> 00:09:24.248]  Running for Congress.
[00:09:27.050 --> 00:09:29.852]  We talked about Vince Lombardi leaving it all on the field.
[00:09:30.872 --> 00:09:32.273]  Baby, I've left it all on the field.
[00:09:32.353 --> 00:09:39.859]  I've done everything I could to stop this, and I feel terrible about it, but you're not going to need Alex Jones to tell you any more about anything.
[00:09:40.099 --> 00:09:41.300]  I mean, you already think stuff's bad?
[00:09:42.420 --> 00:09:43.861]  They couldn't forcibly inoculate you?
[00:09:44.222 --> 00:09:45.883]  They're going to make Joe Biden a dictator.
[00:09:47.544 --> 00:09:48.625]  They're going to implode the economy.
[00:09:48.645 --> 00:09:50.146]  They're going to do new lockdowns in the fall.
[00:09:51.792 --> 00:10:02.440]  And then bigger than Dallas, either right before the midterms or during the general election, they're gonna blow his head off or truck bomb his ass and blame yours truly and Trump.
[00:10:03.901 --> 00:10:05.422]  Guaranteed!
[00:10:07.964 --> 00:10:10.646]  Now I'm not gonna get on an airplane and run to some other country.
[00:10:12.147 --> 00:10:13.889]  I pledged to stay here and go down with a ship.
[00:10:14.909 --> 00:10:17.772]  But I'm now on a suicide mission.
[00:10:18.412 --> 00:10:19.373]  Not that I'm gonna be violent.
[00:10:20.742 --> 00:10:22.842]  But it's like Obi-Wan Kenobi with Darth Vader at this point.
[00:10:26.103 --> 00:10:27.103]  They're going to take us out.
[00:10:28.563 --> 00:10:32.464]  But you've got to escape from the Millennium Falcon back to base and come back and take out the Death Star.
[00:10:32.944 --> 00:10:34.464]  And I'm just telling you that right now, folks.
[00:10:34.945 --> 00:10:36.105]  You're going to see it all unfold.
[00:10:36.125 --> 00:10:40.166]  Just like I told you Trump would announce in July, he announced last week that he's going to run.
[00:10:41.866 --> 00:10:42.826]  I don't make stuff up.
[00:10:43.106 --> 00:10:43.886]  I'm rarely wrong.
[00:10:44.366 --> 00:10:45.466]  There's no debate now.
[00:10:45.807 --> 00:10:47.827]  I don't need to have my opinions about this.
[00:10:48.857 --> 00:10:54.402]  When you know what's in the legislation, you know the groups and the backstory, the organization.
[00:10:54.903 --> 00:11:01.088]  When I read the bill, I felt like I got plugged into 10 trillion volts of electricity.
[00:11:02.690 --> 00:11:04.992]  I mean, it's total martial law.
[00:11:08.295 --> 00:11:13.380]  And they say they're going to target Trump voters and conservatives.
[00:11:15.632 --> 00:11:27.036]  And quote right wingers, and it is a literal declaration of war where they make Biden a dictator and then they declare all of us enemy combatants and come after us.
[00:11:27.456 --> 00:11:29.737]  Can you imagine that job for the military and the police?
[00:11:29.756 --> 00:11:38.596]  I mean just on that level, it's a suicide mission.
[00:11:38.596 --> 00:11:42.076]   This is the end of America and the end of the world as we know it.
[00:11:42.082 --> 00:11:43.582]  Governments are collapsing everywhere.
[00:11:44.483 --> 00:11:50.149]   Food is basically non-existent in many countries.
[00:11:51.390 --> 00:11:52.471]  There's no going back now.
[00:11:52.511 --> 00:11:53.371]  There's no reversing it.
[00:11:53.391 --> 00:11:54.612]  Let me just give you a little news flash.
[00:11:55.133 --> 00:12:05.642]  I said three years ago or two and a half years ago, I said when the UN comes out and says there's food shortages and look out that they'd be running their operation, they've done that now.
[00:12:07.363 --> 00:12:33.019]   And I'm going to try to comport myself As best I can, and just come back and go through this one point after another, but everyone watching on a local TV station, or listening on a local radio station, or watching an InfoWars.com forward slash show, or banned out video, or wherever you do it, you better take the live link of this show, and you better, once it's archived tonight, take clips out of it, and you better share it everywhere, because there's a way to stop this.
[00:12:34.397 --> 00:12:41.840]  But first I'm going to tell you what they've already done and what they're about to do and their own admissions in black and white and then how we stop them.
[00:12:42.360 --> 00:12:43.320]  But there's not much time.
[00:12:45.221 --> 00:12:55.525]  We've got a Hail Mary moonshot to stop them now if people really get serious and cut out all the clutter and get this.
[00:12:56.025 --> 00:12:57.966]  We can still stop this.
[00:12:59.204 --> 00:13:01.205]  It's a death sentence for me if this happens.
[00:13:01.745 --> 00:13:05.586]  It's a death sentence for the police officers and military and the FBI.
[00:13:05.966 --> 00:13:07.287]  I don't want to be in a war with you.
[00:13:07.367 --> 00:13:08.767]  I'm not going to be in a war with you.
[00:13:09.947 --> 00:13:13.309]  Not because I'm a coward, because I realize it's to bring the country down and have us all kill each other.
[00:13:16.049 --> 00:13:17.590]  But you will be destroyed.
[00:13:19.605 --> 00:13:22.047]  The people carrying this out will be destroyed.
[00:13:22.527 --> 00:13:24.909]  You're the detonator to bring down America.
[00:13:25.269 --> 00:13:29.972]  They've got the left ready and spoiling for a war with America and American gun owners and American veterans.
[00:13:30.292 --> 00:13:33.214]  And I'm just telling everybody right now because they'll kill me or whatever.
[00:13:33.254 --> 00:13:39.478]  And then say I'm, you know, some, you know, 3D, you know, deep fake Jones's commanding the rebel forces.
[00:13:39.979 --> 00:13:40.719]  None of that's true.
[00:13:41.079 --> 00:13:42.700]  And I've already seen every angle of this.
[00:13:43.001 --> 00:13:43.901]  And now it's crystal clear.
[00:13:43.921 --> 00:13:45.863]  I've got their whole battle plan and I know how to beat them.
[00:13:46.083 --> 00:13:47.744]  So this could be one of our last broadcast folks.
[00:13:47.804 --> 00:13:49.405]  I'm telling you any day now it's getting shut down.
[00:13:49.705 --> 00:13:50.665]  I felt it in my spirit.
[00:13:50.705 --> 00:13:51.105]  I've known it.
[00:13:51.905 --> 00:13:55.206]  We fought as hard as we could and I appreciate the crew, but it's all over now.
[00:13:56.426 --> 00:14:05.968]  Unless there is a giant complete awakening by governors and legislatures and others and just a total in the streets peacefully saying no to Biden being a dictator.
[00:14:06.628 --> 00:14:08.049]  And Biden doesn't even know who he is.
[00:14:08.069 --> 00:14:10.709]  They're going to kill him and they're going to put Newsom in.
[00:14:10.749 --> 00:14:12.430]  It's already been set up.
[00:14:13.290 --> 00:14:14.210]  They stole the election.
[00:14:14.250 --> 00:14:15.290]  That's the first part of the coup.
[00:14:15.630 --> 00:14:18.511]  The second part of the coup that's permanent is about to go down.
[00:14:19.693 --> 00:14:21.494]  And of course, Trump doesn't even know what's going on.
[00:14:21.534 --> 00:14:23.155]  He's a good guy overall, but he has no idea.
[00:14:23.515 --> 00:14:24.996]  And oh, by the way, they're going to kill Trump, too.
[00:14:25.376 --> 00:14:26.397]  They're going to kill him 100%.
[00:14:27.477 --> 00:14:29.538]  So when they kill Biden, they'll also kill Trump.
[00:14:32.300 --> 00:14:34.541]  It happened in ancient Rome.
[00:14:34.641 --> 00:14:35.502]  It happened in Russia.
[00:14:35.542 --> 00:14:36.562]  It happened in Nazi Germany.
[00:14:36.582 --> 00:14:39.444]  It happened in China and Venezuela and hundreds of other countries.
[00:14:40.953 --> 00:14:42.954]  And now it's happening in the USA.
[00:14:43.735 --> 00:14:45.155]  Martial Law Red Alert!
[00:14:45.355 --> 00:15:02.385]  Democrat leadership introduces bill to give by the powers of a dictator and use the military against quote right-wing with no congressional oversight and it specifically says it's run by the Southern Poverty Law Center, the Democratic Party and the ADL.
[00:15:05.247 --> 00:15:05.547]  Wow!
[00:15:07.901 --> 00:15:08.621]  I have the bill.
[00:15:08.721 --> 00:15:09.622]  I'm going to read it to you.
[00:15:09.682 --> 00:15:10.462]  I have the articles.
[00:15:10.562 --> 00:15:11.842]  I have the congressional clips.
[00:15:11.982 --> 00:15:13.943]  It's unbelievable.
[00:15:14.003 --> 00:15:15.483]  And we have the whole backstory on it.
[00:15:15.763 --> 00:15:17.644]  And I've researched every facet of this.
[00:15:18.164 --> 00:15:20.105]  And I'm not just saying that to say, oh, I'm smart.
[00:15:20.225 --> 00:15:21.305]  This is what we do.
[00:15:21.825 --> 00:15:28.507]  And again, Friday, oh, the bill's introduced to have no congressional oversight under domestic operations.
[00:15:28.847 --> 00:15:30.448]  And Congress gives power to the president.
[00:15:30.748 --> 00:15:32.168]  That's the end of posse comitatus.
[00:15:32.188 --> 00:15:33.369]  That's dictatorial powers.
[00:15:33.389 --> 00:15:34.229]  That's martial law.
[00:15:34.929 --> 00:15:38.072]  But I didn't read the bill because I was so distracted and busy.
[00:15:38.092 --> 00:15:45.118]  I read the bill, very long bill, read parts of it, and it just cut and dry in the first few pages.
[00:15:47.440 --> 00:15:53.344]  Says, Congress will no longer be over military operations inside CONUS, continental United States.
[00:15:54.628 --> 00:16:10.160]  And these organizations, and it lists governmental and non-governmental organizations, will run the military, and they will have the oversight, and Congress will give it to the Democrat Party and its organizations.
[00:16:10.821 --> 00:16:15.244]  I mean, I'm going to read the bill in a moment to you, the sections.
[00:16:15.324 --> 00:16:18.427]  I mean, this is unbelievable.
[00:16:18.747 --> 00:16:20.489]  And when I saw this, I said, this can't be right.
[00:16:21.408 --> 00:16:22.669]  We went to the congressional website.
[00:16:22.809 --> 00:16:28.353]  It's on the congressional website, and it's the leadership sponsoring it.
[00:16:30.214 --> 00:16:33.457]  And what's key here is they've already been doing this for a year and a half.
[00:16:34.277 --> 00:16:35.438]  We already have the pieces of it.
[00:16:36.179 --> 00:16:45.625]  Now they know there's oversight, and mainline Pentagon watchdog groups are really concerned, and senators are concerned, and House members.
[00:16:45.665 --> 00:16:46.486]  We have video of that.
[00:16:46.305 --> 00:16:49.585]  that and we're gonna play next segment.
[00:16:49.585 --> 00:16:56.305]   And they're saying to Milley, so you really took over the government the last month of
[00:16:56.305 --> 00:16:56.625]  Trump?
[00:16:57.400 --> 00:16:58.160]  Because they did.
[00:16:59.741 --> 00:17:11.966]  And so what we've had is a military dictatorship run by the globalist takeover, then we had to purge the military with the injections and critical race theory and transgenderism, and it's all here.
[00:17:12.146 --> 00:17:32.887]   We had the takeover, we had the operation, we had the purge, and now they say that the main war footing of the US military He's not the Russians or the Iranians or the Chinese or the Mexican Mafia or MS-13 or human smugglers.
[00:17:33.968 --> 00:17:42.512]  It says that Congress is giving up its power of oversight and the purse and giving it to the president.
[00:17:43.952 --> 00:17:46.113]  And then I thought, well, that's going to be used against us.
[00:17:46.353 --> 00:17:49.315]  And I read the bill and it says it's for us.
[00:17:52.079 --> 00:17:52.879]  Cut and dry.
[00:17:52.899 --> 00:17:54.420]  No debate.
[00:17:55.200 --> 00:17:55.820]  In your face.
[00:17:55.860 --> 00:17:57.521]  While a worldwide collapse goes on.
[00:17:57.821 --> 00:17:59.442]  While world leaders are assassinated.
[00:18:00.382 --> 00:18:01.542]  While borders collapse.
[00:18:01.622 --> 00:18:03.003]  While currencies implode.
[00:18:04.623 --> 00:18:06.544]  They're not going to do it.
[00:18:08.145 --> 00:18:09.325]  They've already done it.
[00:18:11.502 --> 00:18:15.546]  And now finally a few senators and house members are like, what's going on?
[00:18:16.147 --> 00:18:24.455]  And we now know the military and the FBI had thousands of military and FBI in plainclothes with weapons on January 6th, breaking into the Capitol.
[00:18:27.098 --> 00:18:28.199]  And that's their Reichstag.
[00:18:28.239 --> 00:18:32.644]  They intended to have people kidnap members of Congress, the rest of it, but it didn't go off the way they wanted.
[00:18:34.474 --> 00:18:43.039]  They intended to have people blow up the Capitol building, you remember the pipe bombs and the rest of it, but it didn't get carried out because the intel we have is a lot of people in the federal government.
[00:18:43.399 --> 00:18:44.420]  The federal government's not our enemy.
[00:18:44.840 --> 00:18:45.961]  It's been hijacked and run.
[00:18:45.981 --> 00:18:48.282]  Like, the Germans weren't the enemy in World War II.
[00:18:48.342 --> 00:18:49.363]  Hitler was in control.
[00:18:49.583 --> 00:18:50.344]  He told them to do it.
[00:18:50.604 --> 00:18:51.724]  Sure, they shouldn't have followed orders.
[00:18:52.465 --> 00:18:56.547]  But we know that the military and the police don't want to do this.
[00:18:56.567 --> 00:18:57.808]  That's why they're like, oh, you're not going to do it?
[00:18:57.828 --> 00:18:58.629]  We're going to purge you.
[00:18:59.049 --> 00:19:01.250]  Or, oh, you're cops?
[00:19:01.470 --> 00:19:02.331]  We're going to defund you.
[00:19:04.053 --> 00:19:19.379]  But it doesn't matter because they've got the media, they've got the courts, they've got the House, the Senate, and the presidency through fraud, and they're not going to let us take the country back from them without staging massive false flags as the pretext for this to happen.
[00:19:19.620 --> 00:19:24.422]  And I believe the main false flag will be the assassination of Biden, which I'm totally against happening.
[00:19:25.982 --> 00:19:29.664]  And they've got Governor Newsom ready to come in with Pelosi and all of them behind it.
[00:19:29.744 --> 00:19:43.926]   So, ladies and gentlemen, Ladies and gentlemen, there's almost no news coverage of this, but the House and Senate in hearings are talking about it.
[00:19:43.946 --> 00:19:44.646]  That's next segment.
[00:19:45.647 --> 00:19:46.647]  But they're only getting part of it.
[00:19:46.747 --> 00:19:50.470]  So, General Milley, you ignored the President for a month, and you were basically acting President.
[00:19:52.451 --> 00:19:59.755]  And their answer is a bill saying, hey, well now that we have the President, we're outside of Congress, and the President can do whatever he wants.
[00:20:00.356 --> 00:20:04.038]  And then the President becomes a puppet they control through this dictatorship.
[00:20:06.104 --> 00:20:07.865]  We have lived to see it, ladies and gentlemen.
[00:20:07.885 --> 00:20:12.107]  We are now here in July 17th, this Sunday broadcast.
[00:20:13.208 --> 00:20:17.611]  And what is incredible is we're like the frog in the boiling pot.
[00:20:18.231 --> 00:20:19.812]  It's incrementally turned up, we boil.
[00:20:20.252 --> 00:20:21.233]  I know all about this.
[00:20:21.253 --> 00:20:22.994]  I knew they were planning this under Clinton and others.
[00:20:23.314 --> 00:20:24.575]  Didn't have the balls to launch it.
[00:20:25.795 --> 00:20:26.956]  Obama wanted to do it too.
[00:20:27.336 --> 00:20:28.617]  And then I'm so close to the problem.
[00:20:28.637 --> 00:20:31.979]  Made four police state films about the impending martial law plan, all of it.
[00:20:32.319 --> 00:20:33.440]  And now we're in it.
[00:20:35.267 --> 00:20:40.091]  This bill was introduced five days ago and I just now discovered it and covering it.
[00:20:40.492 --> 00:20:42.313]  Imagine how much that freaks me out.
[00:20:42.814 --> 00:20:57.527]  I'm begging you for myself and my family and you and your family and all of us to go read the bill and to take the archive of this live show and share it and take clips out and get it out there because this is a life and death situation.
[00:20:58.567 --> 00:21:07.711]  And I'm telling members of Congress and legislatures and governors, if you don't come out against this now, when the border has already been collapsed by design, that's martial law.
[00:21:08.391 --> 00:21:48.911]   When we're being surveilled and censored and attacked, and we're being told domestic terrorists, Republicans are the number one terror threat, and the Democrats want to outlaw the Republican Party, and the headlines are, oh Schiff wants to block some oversight, Of some military operations in America and then you read the bill and it says we have centers and organizations that will advise us from the Democratic Party, the Southern Poverty Law Center, and the ADL that are declaring domestic enemies and the military with no oversight, the CIA, and Air, Land, and Sea, and all five branches of the military are preparing for war with the American people.
[00:21:49.351 --> 00:21:53.153]  You know they're going to trigger the pretext for that operation.
[00:21:56.513 --> 00:22:00.218]  Just like they did 600 years ago with Henry IV.
[00:22:03.142 --> 00:22:05.525]  Staging false flags in England to get him to go to war with France.
[00:22:08.108 --> 00:22:09.390]  It's all repeating.
[00:22:09.690 --> 00:22:10.892]  Hitler in their eyestack.
[00:22:12.265 --> 00:22:28.218]  So many other events, but this is domestically against the American people with the backdrop of the worldwide collapse and the inflation and the doddering idiot president and then he gets assassinated or he dies in his sleep and in comes the Savior.
[00:22:30.140 --> 00:22:43.317]   And that Savior is given dictatorial power handed by Congress Here, we're no longer in charge, and no one can oversight you, and we're like, I bet that'll be against the American people.
[00:22:43.337 --> 00:22:44.778]  And I'm like, let me read the bill.
[00:22:45.059 --> 00:22:45.840]  Oh, it is.
[00:22:46.560 --> 00:22:53.228]  It says the enemy isn't the Chicoms, isn't the Cubans, the communists.
[00:22:53.708 --> 00:22:54.529]  No, it's us.
[00:22:55.546 --> 00:22:57.587]  We have lived to see it.
[00:22:57.667 --> 00:23:02.770]  I'm going to go through it all in detail, word for word, when we come back.
[00:23:02.991 --> 00:23:05.952]  Biggest development ever in American history.
[00:23:06.913 --> 00:23:12.236]  They are trying to normalize and legalize the dictatorship they're already putting in place.
[00:23:12.516 --> 00:23:13.037]  God help us.
[00:23:16.559 --> 00:23:18.080]  So, I've lived to see it.
[00:23:18.140 --> 00:23:19.021]  You've lived to see it.
[00:23:20.041 --> 00:23:21.462]  It's already going on behind the scenes.
[00:23:21.482 --> 00:23:22.843]  They're just trying to legalize it.
[00:23:25.527 --> 00:23:26.347]  After they've already done it.
[00:23:28.348 --> 00:23:32.610]  But anything that violates our rights or basic freedoms under the Tenth Amendment is null and void.
[00:23:33.830 --> 00:23:40.833]  Legislation has been added to the new spending bill five days ago by shift, gotten no attention until over the weekend.
[00:23:42.934 --> 00:23:44.954]  The Democratic Party is backing this amendment.
[00:23:45.014 --> 00:23:49.716]  They control the House and Senate to say no oversight over the U.S.
[00:23:49.756 --> 00:23:57.353]   military and domestic operations, but more importantly, only the President Is in charge of the military.
[00:23:57.733 --> 00:23:59.154]  So that's martial law.
[00:23:59.554 --> 00:24:01.255]  That's dictatorial powers right there.
[00:24:02.015 --> 00:24:05.277]  Then you're like, oh, but I bet the bill doesn't admit they're going to do that.
[00:24:05.637 --> 00:24:06.678]  And then you read the bill.
[00:24:09.379 --> 00:24:12.221]  And it says all of that and more.
[00:24:16.503 --> 00:24:21.426]  The military industrial complex, the President Eisenhower warned us about his farewell speech in 1961, is now happening.
[00:24:25.367 --> 00:24:26.547]  They know they stole the election.
[00:24:26.887 --> 00:24:28.328]  They know they usurped power from Trump.
[00:24:28.708 --> 00:24:36.589]  They know they had elements of the military and the FBI help break in the building and command the groups that went in on January 6th, their Reichstag event that didn't go as bad as they hoped.
[00:24:37.509 --> 00:24:41.390]  So they had pre-written speeches saying it was worse than Pearl Harbor and worse than September 11th.
[00:24:43.410 --> 00:24:53.452]  And now they've introduced legislation added to the main spending bill that looks like it's going to pass to give Biden dictatorial power, but it shows they've already done it.
[00:24:55.950 --> 00:24:57.831]  Here's the headline, InfoWars.com.
[00:24:59.011 --> 00:25:00.471]  And I've got the bill, amendment right here.
[00:25:00.290 --> 00:25:03.710]   leadership introduces bill to give Biden the powers of a dictator and he's
[00:25:03.710 --> 00:25:10.010]   military against quote right-wing with no congressional oversight and no laws
[00:25:10.010 --> 00:25:15.970]   and I've got the bill amendment right here this is the amendment added five
[00:25:15.970 --> 00:25:22.090]   days ago to HR three five three four three five zero HR four three five zero
[00:25:22.090 --> 00:25:30.945]   4350 I am just speechless at this point And you see the headlines about it on Friday.
[00:25:31.325 --> 00:25:34.967]  Schiff seeks rule that would block oversight of some military operations.
[00:25:36.467 --> 00:25:37.188]  Washington Times.
[00:25:39.049 --> 00:25:39.769]  They're panicked.
[00:25:39.869 --> 00:25:42.510]  Adam Schiff moves to disrupt future investigations of U.S.
[00:25:42.550 --> 00:25:44.011]  military involvement January 6th.
[00:25:44.291 --> 00:25:45.712]  Gateway Pundit, but they're just looking at that.
[00:25:47.486 --> 00:25:55.251]  Pentagon watchdogs calling General Mark Milley to answer allegations he usurped President Trump after January 6th, and there's currently a military dictatorship.
[00:25:55.552 --> 00:25:57.013]  That's senators asking him about it.
[00:25:58.293 --> 00:25:58.834]  That's coming up.
[00:26:00.095 --> 00:26:04.057]  Tucker Carlson talks about the New York Times defending Ray Epps, running around saying, go in the Capitol.
