[00:00:00.369 --> 00:00:03.111]  I guess we all know Joe Biden is not running this country.
[00:03:21.232 --> 00:03:25.392]   council meeting or school board, when you go to Congress and knock on doors, when you go to meet
[00:03:25.392 --> 00:03:30.271]   and greets, when you go and support local candidates that are patriots, when you speak up and write
[00:03:30.271 --> 00:03:31.391]   letters to the editor, when you go to the state house and you go to the state house and you go
[00:03:31.477 --> 00:03:47.746]  When you protest in the streets, when you save money and don't give it to the globalist establishment, but actually support an independent media system, you can and will bring this tyrannical force to its knees.
[00:03:48.446 --> 00:03:52.308]  When you get off the fence, there's nothing on earth that can stop you.
[00:03:52.348 --> 00:04:09.525]   And that's why the globalists hate this broadcast, is because they know that we have the biggest Group of independent people coming together daily talking about the enemy and talking about how to defeat the enemy and more importantly talking about the better future we're going to build once the enemy has been defeated.
[00:04:10.025 --> 00:04:21.443]   The scientific dictators are using high-tech psychology and systems of manipulation to control people but once you're aware of the tactics It no longer has any effect.
[00:04:21.523 --> 00:04:23.643]  So I want to thank you all for tuning in today.
[00:04:23.663 --> 00:04:38.187]  I want to salute you again and just have you look in the mirror and realize how important you are that out of this whole world and seven and a half billion people and all the fake ideologies and all the political distractions and all the control institutions, you're a real person.
[00:04:38.547 --> 00:04:39.328]  You love truth.
[00:04:39.448 --> 00:04:40.208]  You love justice.
[00:04:40.248 --> 00:04:40.908]  You love God.
[00:04:40.988 --> 00:04:43.369]  You love freedom and you're willing to stand up.
[00:04:44.369 --> 00:04:53.152]  For your freedom and you're willing to stand up against tyrants and control freaks and all the destruction that they bring in their wake.
[00:04:53.692 --> 00:04:59.753]  And so I know you don't tune in to be patted on the back here, but I just want you to understand how serious and critical the situation is.
[00:04:59.773 --> 00:05:05.775]  I remember reading decades ago about the globalist plan for forced injections and depopulation and lockdowns.
[00:05:06.515 --> 00:05:14.657]   And I knew they were serious, but it still was hard to believe they actually really executed and carried it out.
[00:05:14.657 --> 00:05:19.217]   And now we know what comes next, an intensification of bioweapon releases,
[00:05:19.217 --> 00:05:23.496]   and radiological releases, and chemical releases, to be blamed on political enemies,
[00:05:23.496 --> 00:05:26.217]  and then to be used to basically depopulate.
[00:05:26.217 --> 00:05:33.016]   So it's a horrible truth, it's a horrifying fact that psychotic mass murdering criminals
[00:05:33.016 --> 00:05:39.257]   that literally worship Satan and are pedophiles, and worship selfishness and just corruption
[00:05:39.257 --> 00:05:43.536]   and going against God's plan, are in control, but they are in control.
[00:05:43.536 --> 00:05:46.817]   But God put us here to experience this and make the right choices,
[00:05:46.817 --> 00:05:51.177]   and then stand up with God's help and defeat these people through Christ.
[00:05:51.177 --> 00:05:52.997]  So this is a spiritual battle.
[00:05:52.997 --> 00:05:55.336]  We're gonna come back over the waterfront today.
[00:05:55.390 --> 00:06:02.142]  We're going to have a bunch of big guest hosts, Owen Schroyer, Robert Barnes, Mike Adams, a massive Thursday transmission.
[00:06:02.462 --> 00:06:03.424]  Thank you so much for tuning in.
[00:06:03.464 --> 00:06:07.090]  And again, share the live feeds from InfoWars.com forward slash show.
[00:06:07.110 --> 00:06:07.691]  We'll be right back.
[00:06:09.511 --> 00:06:11.592]  It's Thursday, October 27th, 2022.
[00:06:11.632 --> 00:06:23.516]  I'm your host, Alex Jones, and coming up on this live Thursday edition, we're going to have Owen Schroer, Robert Barnes, and Mike Adams all co-hosting throughout the next four hours.
[00:06:23.536 --> 00:06:26.517]  And then of course, Owen will be hosting the War Room at 3 p.m.
[00:06:26.937 --> 00:06:27.958]  Central Standard Time.
[00:06:27.978 --> 00:06:33.620]  You can find all the links and more details and share them at infowares.com forward slash show.
[00:06:34.580 --> 00:06:34.920]  All right.
[00:06:34.940 --> 00:06:40.524]  A lot of huge developments with only about two weeks out or less now from the midterms.
[00:06:41.285 --> 00:06:51.793]  The Democratic Party is in full panic mode as even their rigged polls show almost every Republican candidate 5, 10 or even 15 points ahead.
[00:06:52.673 --> 00:06:56.476]  Kerry Lake in Arizona is now over 10 points ahead in most polls.
[00:06:57.197 --> 00:06:59.859]  And again, those are polls that are skewed towards the Democrats.
[00:07:00.299 --> 00:07:15.407]   So the big question is, What are they going to do as the public awakens to this agenda of open borders, inflation, depression, defunding the police, crime, open pedophilia being promoted?
[00:07:15.427 --> 00:07:20.788]  How will the establishment try to stay in power?
[00:07:20.828 --> 00:07:25.150]  Well, we know they're doing mail-in ballots in many different areas of the country and battle around states.
[00:07:26.310 --> 00:07:30.112]  We know that they're promising to challenge the election, even when the Republicans win big.
[00:07:31.193 --> 00:07:42.378]  They are also obviously planning to provocateur or stage some major distractions or false flags, in my view, here in just the very, very near future.
[00:07:42.398 --> 00:07:43.279]  They have a history of it.
[00:07:43.799 --> 00:07:45.060]  They stand to gain from it.
[00:07:46.240 --> 00:07:49.262]  And we've seen them do this over and over and over again.
[00:07:49.302 --> 00:07:50.943]  So now is the time to really be focused.
[00:07:51.643 --> 00:07:55.145]  But they're also going to intensify censorship.
[00:07:55.965 --> 00:08:11.357]  There's a big article up on InfoWars.com, and it basically is just a compilation of mainstream media analysis of where the WEF has now appointed itself, self-appointed itself, with the UN.
[00:08:11.497 --> 00:08:13.138]  It now has UN official power.
[00:08:13.398 --> 00:08:24.106]  Three months ago it merged with the United Nations, so they're co-equal to each other, a corporate fascist Bilderberg Group mouthpiece and the authoritarian leftist United Nations.
[00:08:25.273 --> 00:08:27.735]  That never found a dictator it didn't love.
[00:08:29.136 --> 00:08:45.311]  And so they came out a few months ago and said, we've hired over a hundred thousand quote info warriors to counter people that criticize open borders or replacement migration, lockdowns, forced injections or election fraud.
[00:08:46.365 --> 00:09:02.528]  And the WEF said they were going to partner with people like Bill Gates and others to help censor populist movements in Africa, in Latin America, in the United States, in Canada, in Europe, in the UK, in Australia, in New Zealand.
[00:09:03.188 --> 00:09:07.549]  Now, that was their actual press release and their battle plan is to silence their critics.
[00:09:08.249 --> 00:09:25.243]   Now that they're trying to get governments to cede them governmental power, like the UN has already done, the unelected UN, Now they're going and trying to get the internet slash media sensor in the UK to give them government power.
[00:09:25.663 --> 00:09:30.127]  And they say, oh, we need this because of grooming of children.
[00:09:30.147 --> 00:09:34.691]  So you have the left protecting the groomers and the UK famously, the Muslim grooming gangs.
[00:09:35.311 --> 00:09:55.129]   You have the left protecting pedophiles online, you have them engaged in grooming for all sorts of, you know, pedophilic sex and transgenderism all over the world, being pushed by the governments and by the WEF, and now they want an internet ID to make sure kids don't see bad things.
[00:09:55.129 --> 00:09:58.370]  So it's being announced, oh, it's just internet ID for kids.
[00:09:58.370 --> 00:10:02.209]   But everybody's gotta be signed up to verify your age to go online,
[00:10:02.209 --> 00:10:06.568]   and now you've got the holy grail of censorship and control, and the way that they can ban you
[00:10:06.568 --> 00:10:08.969]  for the social credit score, the internet.
[00:10:08.969 --> 00:10:13.888]   ID is what Australia, the UK, and Canada have been pushing for years,
[00:10:13.888 --> 00:10:21.529]   and this is now their rollout attempt to do that, always for the children, of course.
[00:10:21.529 --> 00:10:28.009]   So here is the headline, WEF Report Explores Online Interventions,
[00:10:28.009 --> 00:10:32.329]   Including Content Removal, Warning Labels to Protect Children.
[00:10:32.449 --> 00:10:35.289]  The article's up on InfoWars.com.
[00:10:35.989 --> 00:10:49.392]  The good news is more and more people are waking up, not just here but around the world, to the global corporate hostile takeover of society and these public partnerships of Agenda 2021 and Agenda 2030.
[00:10:50.432 --> 00:10:55.013]  And so now I want to play a clip and we'll come back from break and talk more about it.
[00:10:56.113 --> 00:11:04.086]   This is Congressman who was on America's Voice Live, Republican Congressman Ralph
[00:11:05.126 --> 00:11:09.208]  Norman declared Wednesday that everyone knows Joe Biden isn't in charge of anything.
[00:11:09.228 --> 00:11:15.371]  And in reality, there is a secretive cabal of elitists that are running America, echoing Tulsi Gabbard's.
[00:11:15.711 --> 00:11:18.072]  We'll play the clip and come right back from break with analysis.
[00:11:18.852 --> 00:11:29.437]  Kevin McCarthy, most likely to be the Speaker of the House when you guys take over after the midterms, says he sees nothing that this president is doing or not doing that would lead to impeachment.
[00:11:30.297 --> 00:11:35.323]   How on earth could an open border Not lead to impeachment of Joe Biden.
[00:11:35.524 --> 00:11:37.164]  He's not protecting the country.
[00:11:37.584 --> 00:11:41.485]  He's sending billions of dollars to Ukraine for God only knows what purpose.
[00:11:41.525 --> 00:11:43.085]  But he's not protecting this country.
[00:11:43.325 --> 00:11:48.706]  He's ordering Arizona to remove shipping containers that are actually acting as a wall on the border.
[00:11:49.627 --> 00:11:50.867]  How is that not impeachable?
[00:11:51.107 --> 00:11:54.368]  How can Kevin McCarthy sit there with a straight face and say that?
[00:11:54.628 --> 00:11:59.689]  And how can he be elected leader of the Republican Party and become Speaker of the House?
[00:12:00.831 --> 00:12:03.293]  Well, I think what he's saying is, I mean, look who's behind him.
[00:12:03.694 --> 00:12:04.534]  Kamala Harris.
[00:12:06.356 --> 00:12:14.403]  You know, the lady is, you know, she may speak a little bit better, may be coherent, but look at what you get with her.
[00:12:14.964 --> 00:12:20.289]  And I think what he's saying is put the country through impeachment with what you get could be even worse.
[00:12:20.929 --> 00:12:21.910]  We've got our hands full.
[00:12:22.150 --> 00:12:27.235]  I don't, there's no question about that, but we're going to subpoena as many people as we can.
[00:12:28.102 --> 00:12:33.108]  We're going to hopefully have consequences, starting with Mayorkas, Ray with the FBI.
[00:12:33.168 --> 00:12:34.830]  I mean, a whole host of things.
[00:12:34.870 --> 00:12:37.333]  The whole administration is a rogue administration.
[00:12:37.774 --> 00:12:41.258]  And I guess we all know Joe Biden is not running this country.
[00:12:41.638 --> 00:12:45.363]  There is a cabal of unelected elitists who are running this country.
[00:12:45.843 --> 00:12:48.744]  Probably Barack Obama is involved.
[00:12:49.124 --> 00:12:51.885]  Probably Eric Holder.
[00:12:52.105 --> 00:12:52.705]  But who knows?
[00:12:52.985 --> 00:12:54.065]  We know it's not Biden.
[00:12:54.345 --> 00:12:59.467]  But the impeachment deal is a long, drawn-out thing.
[00:12:59.507 --> 00:13:04.768]  And if there's anybody that was coherent that could take over, that would not ruin the country.
[00:13:04.828 --> 00:13:06.589]  But it's not possible with Kamala Harris.
[00:13:07.831 --> 00:13:09.172]  Therein lies the problem.
[00:13:09.272 --> 00:13:18.119]  So, why is it, and I've asked a number of members of Congress, why is Kevin McCarthy a foregone conclusion to be Speaker of the House?
[00:13:18.299 --> 00:13:20.561]  Why is there nobody else willing to step up?
[00:13:20.581 --> 00:13:24.504]  Because there are a number of people that I think would be more effective at the job.
[00:13:24.544 --> 00:13:25.545]  You might even have a couple.
[00:13:25.565 --> 00:13:29.888]  I won't ask you to tell me what they might be, because I don't want to put you on the spot.
[00:13:29.908 --> 00:13:36.393]  But the fact is, why is he, why is he the foregone conclusion?
[00:13:37.754 --> 00:13:39.355]  I don't think he is a foregone conclusion.
[00:13:40.375 --> 00:13:44.356]  I think now Kevin has done a good job these last two years.
[00:13:44.396 --> 00:13:47.278]  He's raised money to elect Republicans.
[00:13:47.818 --> 00:14:07.525]  Now, I know the Freedom Caucus, we've got some issues that we're raising with him and hopefully he will implement them, like committing to closing the border down, like don't give us a 20 year budget to shoot for, five to seven years like the RSC has put forward, like supporting our police officers.
[00:14:08.486 --> 00:14:17.169]  Uh, and you know, we give the commitment to America that the group came up with is good, but we've got to put meat on it, and we've got to have action.
[00:14:17.209 --> 00:14:19.430]  One thing we can't do, Steve, is just have words.
[00:14:20.150 --> 00:14:22.050]  We've got to act, and I think we will.
[00:14:22.190 --> 00:14:23.491]  I think that's the positive part.
[00:14:23.931 --> 00:14:31.619]  Well, the Bill of Rights is a stumbling block on the way to shutting down speech that the left doesn't like, at least in government.
[00:14:31.899 --> 00:14:37.605]  But there's a new avenue for those who would like to censor what you say and think, and that's corporations.
[00:14:37.685 --> 00:14:39.827]  The left have wised up to this.
[00:14:40.048 --> 00:14:45.433]  If you want to stop someone from telling the truth, use companies to do it.
[00:14:45.453 --> 00:14:46.534]  The social media giants.
[00:14:46.794 --> 00:14:47.175]  And they are.
[00:14:47.535 --> 00:14:53.160]  For many on the left, the view seems to have become that if you can't beat them, prevent them from speaking.
[00:14:53.260 --> 00:14:57.963]  So far the most prominent casualty of the crusade against free expression has been the radio show host Alex Jones.
[00:14:58.104 --> 00:15:05.810]  There is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices.
[00:15:05.850 --> 00:15:11.674]  There's also guys on CNN that spend their whole day calling Facebook and saying, can you ban this person?
[00:15:11.694 --> 00:15:18.621]   He may be America's best known conspiracy theorist, But this week, Alex Jones' content will be a little harder to find.
[00:15:18.961 --> 00:15:28.732]  Shame on the mainstream corporate media for not defending the First Amendment, but instead attack-dogging, calling for federal regulators to shut down independent, free press, working with big tech.
[00:15:29.366 --> 00:15:30.647]  People know what's true.
[00:15:30.868 --> 00:15:31.628]  They can smell it.
[00:15:32.189 --> 00:15:37.074]  InfoWars, the most banned network in the world.
[00:15:37.615 --> 00:15:39.637]  In a free country, everyone can be heard.
[00:15:39.657 --> 00:15:44.022]  In totalitarian societies, only the powerful can be heard.
[00:15:45.023 --> 00:15:47.645]  Welcome back to this live Thursday edition.
[00:15:47.766 --> 00:16:04.713]   As I said, We've got a lot of really informed, hard-hitting intellects coming on the transmission today, starting off with Owen Schroyer, Robert Barnes, and then Mike Adams, and all the latest breaking news and analysis will be coming up next segment when we kick off the main live part of the broadcast.
[00:16:05.293 --> 00:16:06.893]  I, of course, am Alex Jones, your host.
[00:16:07.534 --> 00:16:09.454]  I will be back in Austin, Texas tomorrow.
[00:16:09.895 --> 00:16:13.476]  I've been spending some time with family and a much-needed vacation.
[00:16:14.116 --> 00:16:23.680]  Or at least partial vacation, but I will be doing a special three-hour broadcast Saturday that will go up at 3 p.m.
[00:16:23.720 --> 00:16:28.842]  Central that we're gonna tape Saturday morning and then I'll be back live Sunday 4 to 6 p.m.
[00:16:28.862 --> 00:16:32.064]  with a standard Sunday broadcast and of course right back in the saddle.
[00:16:32.984 --> 00:16:35.686]  Next Monday morning at 11 a.m.
[00:16:35.726 --> 00:16:41.391]  Central, when we kick off the Alex Jones Show every day, right after American Journal with Harrison Smith.
[00:16:42.032 --> 00:16:46.795]  Okay, I want to talk about something that really needs to be hammered on more, and that's being positive.
[00:16:47.216 --> 00:16:54.482]  As bad as the world is, as crazy as it is to have the globalists taking the mask off and the gloves off, they're doing that because they're behind schedule.
[00:16:55.062 --> 00:16:56.323]  Or schedules, they'd say, in the UK.
[00:16:57.565 --> 00:17:07.226]  And I see so many examples of good news that I don't end up covering on the air because I'm too busy exposing the bad stuff so we can get organized to fight it.
[00:17:08.021 --> 00:17:13.106]  But it's just as important, I think, to talk about positive things that are happening.
[00:17:13.146 --> 00:17:20.292]  So next week, I'm going to open the phones up quite a bit to talk about the worst things in the world and the best things in the world that are happening.
[00:17:20.312 --> 00:17:24.956]  And then also talk about why the bad things are happening and why the good things are happening.
[00:17:25.377 --> 00:17:28.239]  And you're going to find the bad things are happening where good people aren't involved.
[00:17:28.860 --> 00:17:32.223]  Where good people are involved, the good things are happening.
[00:17:33.564 --> 00:17:38.866]  Thomas Jefferson was right when he said, the only thing that evil men and tyrants seem to flourish is the good men do nothing.
[00:17:39.887 --> 00:17:42.068]  So here's a great example of that.
[00:17:42.188 --> 00:17:42.988]  And it's just huge.
[00:17:43.448 --> 00:17:48.971]  And we can't let this victory just fall by the wayside and we just move on and wait for the next crime these monsters are going to launch.
[00:17:49.471 --> 00:18:00.036]  We have to point out we were right, that we were vindicated, and these people committed serious Nuremberg Code and Geneva Convention Code violations of international, national, and local law.
[00:18:00.536 --> 00:18:17.458]   And of course, I'm talking about New York, California, and all these other states run by Democrats, where they created illegal mandates and said to go in a restaurant, or to go in a store, or to go on the subway, you've got to take these shots.
[00:18:18.198 --> 00:18:23.841]  Thousands of firefighters and police were fired for not complying with the experimental deadly shot.
[00:18:24.221 --> 00:18:27.583]  Thousands of medical workers and teachers just in New York City alone.
[00:18:27.943 --> 00:18:30.104]  Hundreds of thousands nationwide.
[00:18:31.144 --> 00:18:35.805]  And now federal and state courts unanimously across the board have been ruling it's unconstitutional.
[00:18:36.145 --> 00:18:36.725]  It's wrong.
[00:18:37.005 --> 00:18:38.426]  It was wrong to shut down the churches.
[00:18:38.746 --> 00:18:40.266]  It was wrong to shut down the businesses.
[00:18:40.526 --> 00:18:41.787]  But of course, leave the big ones open.
[00:18:42.547 --> 00:18:46.408]  And now in New York, another big ruling breaking.
[00:18:47.568 --> 00:18:59.191]  New York City ordered by court to reinstate all those fired over COVID vaccine mandates that were illegal, color of law, literal, medical, biological rape.
[00:19:00.632 --> 00:19:16.082]  New York State Supreme Court reinstates all fired unvaccinated employees, orders back pay, says the state violated rights, acted arbitrarily and capricious, notes being vaccinated does not prevent an individual from contracting or transmitting COVID-19.
[00:19:16.122 --> 00:19:18.303]  Yeah, it doesn't even work.
[00:19:18.864 --> 00:19:29.329]   Real vaccines, real original inoculation technology that's 500 years old, Developed in the Netherlands with smallpox.
[00:19:30.150 --> 00:19:30.970]  That is real.
[00:19:30.990 --> 00:19:42.274]  They take a toothpick, jab it in the sore of the cow, jab it in your arm when you were healthy, because if you weren't already run down, that's when you'd usually get sick, because you were run down, and then the virus could hurt you.
[00:19:42.334 --> 00:19:45.135]  But if you were healthy when you got jabbed, they knew that.
[00:19:45.175 --> 00:19:47.674]   They said, you know, poke them in the summer, don't do it in the winter.
[00:19:47.674 --> 00:19:50.793]   They thought the winter was cold and dreary and that vapors made you sick.
[00:19:50.793 --> 00:19:52.394]  No, it's 'cause you weren't getting vitamin D.
[00:19:52.394 --> 00:19:56.514]   So if you got in contact with smallpox when there wasn't any vitamin D, you would die.
[00:19:56.514 --> 00:20:00.835]   But if you were healthy in the summer getting sun, they knew sun killed bacteria and viruses.
[00:20:00.835 --> 00:20:02.954]  They didn't know what bacteria and viruses were.
[00:20:02.954 --> 00:20:07.595]   Again, they thought they were what they called vapors, but I'm ranting.
[00:20:08.457 --> 00:20:15.300]  Real vaccines can have side effects and can hurt you and can be contaminated and the globalists of the UN have been caught tainting them.
[00:20:15.920 --> 00:20:22.043]  This that they've rolled out is again a gene therapy, mRNA, that makes your body create a toxic spike protein.
[00:20:22.063 --> 00:20:32.427]  But regardless, if there was some rampaging, raging disease like the new COVID they've made in Boston with Fauci and Daszak that kills 80% of people.
[00:20:32.607 --> 00:20:33.788]  Yep, they should all be in jail right now.
[00:20:35.166 --> 00:20:37.468]  Then you can say either stay in your house or take the shot.
[00:20:38.309 --> 00:20:41.371]  If it was actually a real inoculation, if it was actually tested, if it actually worked.
[00:20:41.531 --> 00:20:45.154]  That's still unconstitutional, it's still dangerous, but you're in a martial law situation.
[00:20:45.374 --> 00:20:48.777]  No, they created a virus, they released it, and they gave you a shot.
[00:20:50.270 --> 00:20:55.353]  That doesn't protect you and erases your immune system and gives you all sorts of cardiovascular problems, infertility, and cancer.
[00:20:55.393 --> 00:20:58.735]  So, the good news is people are waking up fast.
[00:20:59.035 --> 00:20:59.755]  People stood up.
[00:20:59.835 --> 00:21:00.656]  They fought back.
[00:21:00.696 --> 00:21:01.376]  They spoke out.
[00:21:01.416 --> 00:21:02.357]  They filed lawsuits.
[00:21:02.677 --> 00:21:12.423]  This broadcast with our incredible guests and our incredible crew and our amazing listeners and viewers are the main reason worldwide that we push this over the edge.
[00:21:13.343 --> 00:21:21.906]  And then behind the scenes, I put a lot of pressure on other people, and I put pressure on them publicly, and helped get some key folks on some key podcasts that also pushed over the edge.
[00:21:22.266 --> 00:21:28.968]  And I don't sit there and say that, that, hey, I pushed to get this doctor and that doctor on Joe Rogan or on Tucker Carlson.
[00:21:29.388 --> 00:21:31.828]  I don't say things like that to say, oh, look, I'm important.
[00:21:31.968 --> 00:21:32.769]  Oh, aren't I great?
[00:21:32.809 --> 00:21:32.929]  No.
[00:21:33.849 --> 00:21:42.758]  I'd bug the hell out of people, not just on air, not just at grocery store checkout lanes, not just at church, not just when I'm walking down the street, no, no, not just when I'm on the air.
[00:21:43.118 --> 00:21:47.662]  I do it behind the scenes with major movers and shakers.
[00:21:48.183 --> 00:21:50.925]  And the good news is now I've been so demonized and so attacked.
[00:21:51.966 --> 00:21:58.231]  It's blown up in their face, and now even more movers and shakers are tuning in to hear what is it Alex Jones is talking about.
[00:21:58.251 --> 00:22:07.077]  And when they tune in, they hear about the victories we're having when we take action, they're hearing about the defeats we have when we don't take action, and they're understanding we've got to laze the target non-violently.
[00:22:08.240 --> 00:22:08.740]  Politically.
[00:22:09.401 --> 00:22:17.445]  We've got to expose the globalists, and we've got to show that they're authoritarian, tyrannical, and that they are controlling our governments and our media.
[00:22:17.826 --> 00:22:18.966]  And that's beginning to happen.
[00:22:19.406 --> 00:22:26.070]  And so, they can go after Kanye West, they can go after me, they can go after Carlson, but they cannot go after all of you.
[00:22:26.230 --> 00:22:33.815]  Not until they have the social credit score and the internet ID in place that the World Economic Forum, self-appointed, is in charge of.
[00:22:34.195 --> 00:22:41.019]  They're also with Bill Gates at the UN in charge of the world digital ID system that they're going to use to buy and sell.
[00:22:41.480 --> 00:22:43.841]  And Bill Gates just gave millions of dollars to that initiative.
[00:22:43.881 --> 00:22:49.340]   So this unelected group of master criminals that literally ran the bio
[00:22:49.340 --> 00:22:54.081]   attack of COVID-19 are preparing new bio attacks, new lock mounts,
[00:22:54.081 --> 00:22:56.961]  new wars, new cyber attacks.
[00:22:56.961 --> 00:23:03.259]   And until we identify them as literally James Bond villains on steroids, James
[00:23:03.259 --> 00:23:07.681]   Bond villains to the 10th power, we don't have a hope, but as soon as we
[00:23:07.681 --> 00:23:11.521]   unclog them and expose them and their arrogance, how they admit that they're
[00:23:11.521 --> 00:23:14.000]  doing all this, we can bring them down.
[00:23:13.964 --> 00:23:16.686]  And you say, well, why would they hide what they say but then admit it?
[00:23:17.106 --> 00:23:19.828]  In their books, in their publications to each other, they openly admit it all.
[00:23:20.269 --> 00:23:24.752]  But then they have their surrogates in the media through gaslighting, when we expose it, say it doesn't exist.
[00:23:25.232 --> 00:23:26.714]  No, the geoengineering exists.
[00:23:27.154 --> 00:23:28.355]  The bioweapons exist.
[00:23:28.615 --> 00:23:29.696]  The chemical weapons exist.
[00:23:29.936 --> 00:23:31.137]  The false flags exist.
[00:23:31.377 --> 00:23:41.476]   The fact that a bunch of Satan-worshipping, greedy pedophiles, selfish pedophiles run this world is true, and We are changing that and turning the tide.
[00:23:41.536 --> 00:23:44.359]  The devil's biggest trick was convincing the world he didn't exist.
[00:23:44.399 --> 00:23:53.788]  Whether you believe in a metaphysical devil or a archetypal devil or a space alien devil, whatever you want to believe, there is an evil force working through humans that wants to destroy us.
[00:23:54.228 --> 00:24:06.451]   And these evil people go out of their way to hurt fellow humans even though it ends up hurting them because they have a twisted uh... broadcasts are picking up a spirit
[00:24:06.451 --> 00:24:11.161]   that comes to kill still destroy will be right back with you gentlemen with all the story robert
[00:24:11.161 --> 00:24:12.692]   barnes mike adams and more
[00:24:12.692 --> 00:24:16.911]   i'm alex jones if you're watching this transmission you are the resistance
[00:24:16.911 --> 00:24:22.170]   info wars dot com and welcome back to segment four
[00:24:22.271 --> 00:24:23.612]  Again, I'm your host, Alex Jones.
[00:24:23.692 --> 00:24:31.718]  Ellen Schroer, Mike Adams, and Robert Barnes are about to take over here in just the next few minutes, the breaking news analysis.
[00:24:31.778 --> 00:24:39.063]  But I want to just settle down here for a minute, because I tend to get really wound up and start talking really fast.
[00:24:39.083 --> 00:24:40.144]  There's so much news to cover.
[00:24:41.405 --> 00:24:47.109]  And just pull back for a moment and think about the UN, the World Economic Forum, openly run by Big Pharma.
[00:24:48.482 --> 00:24:57.049]  At the international level, the corporate level, right now the local level, with the same talking points in the entire globalist-controlled Western world.
[00:24:57.769 --> 00:25:20.388]   From New Zealand to the United States, from Canada to Germany, the exact same propaganda, the unified brainwashing, the different defense departments and ministries of defense bragging that they were using, openly bragging that they were using high-tech psychological warfare to quote Terrorize and, quote, brainwash and mind control.
[00:25:20.428 --> 00:25:21.229]  These are all words.
[00:25:21.369 --> 00:25:25.953]  Mind control, brainwash, terrorize the public.
[00:25:26.214 --> 00:25:30.518]  But it was good for them to take the shots to save their lives.
[00:25:31.159 --> 00:25:35.823]  No, it was all a test to see how far they could push a poison shot.
[00:25:36.724 --> 00:25:37.885]  Wall blocking therapeutics.
[00:25:38.486 --> 00:25:40.288]  So it is such a crime against humanity.
[00:25:40.328 --> 00:25:47.896]  It is so massive that even if the UN was good, they shouldn't be in control of all our local governments, our local health departments.
[00:25:48.176 --> 00:25:48.957]  But they're not good.
