[00:00:00.000 --> 00:00:16.000]  (outtro music)
[00:05:03.831 --> 00:05:07.189]  Welcome to the Alex Jones Show, Robert Barnes guest hosting.
[00:05:07.769 --> 00:05:13.571]  Today we'll be discussing to what is going to be the next step in the deep states war on Trump and Trumpist.
[00:05:14.571 --> 00:05:20.053]  On the MAGA movement and on populist and those challenging the globalist agenda across the country.
[00:05:20.746 --> 00:05:46.547]  In what seems to be an escalation in what was originally intended from the January 6th operation to Biden's speech this week to the raid on Trump's home, where more details have come out, both exposing the degree and scale of corruption involved in that investigation and the intention of going after even the president's own family, maybe even his teenage son, as a way to try to limit President Trump's future political aspirations.
[00:05:46.967 --> 00:05:50.050]  We'll be discussing that and more a little bit later in the show.
[00:05:50.805 --> 00:06:08.295]  First up, a wide range of topics today to discuss, both Trump's rally in Pennsylvania, what it shows and how it scares the establishment, so much that presidential historian Michael Beschloss was on Twitter demanding during Trump's speech that Trump be jailed and that Trump go to prison.
[00:06:09.075 --> 00:06:13.397]  That's the degree of inanity and insanity gripping the deep state establishment.
[00:06:13.457 --> 00:06:36.285]  Indeed, one could argue that much of Biden's speech this past week wasn't just so much a speech targeting Trump and Trump supporters as it was a speech of the deep state's rage at their impotence and incompetence in being able to control and limit the ability of the MAGA movement to continue to grow across the nation and of populism to grow and expand across the globe.
[00:06:36.860 --> 00:06:51.986]  Clearly, when whoever designed the set for V for Vendetta thought that it would be a good idea to script it for Biden's speech, the same mindset and mentality previously gripped him as we saw Zelensky give a speech to Congress that looked something like right out of 1984.
[00:06:53.446 --> 00:07:03.812]  Apparently whoever read the two minutes of hate speech represented in the film in the book of George Orwell apparently thought that maybe they should just replicate it in general.
[00:07:03.932 --> 00:07:16.038]  They've seen movies like V for Vendetta and 1984 as scripts to follow rather than as something to be terrified of, to oppose, to try to refuse and reject.
[00:07:16.738 --> 00:07:32.340]  It shows the degree to which the deep state has lost its mind, and that's what makes the deep state so dangerous, is when it gets to the place where it feels its own existence is at risk, then it has been shown to be willing to do anything.
[00:07:32.820 --> 00:07:48.776]  Indeed, we could go back to the assassinations of President John Kennedy, presidential candidate Robert Kennedy, Martin Luther King, Malcolm X, the impeachment of President Nixon just in the United States in a 10-year span, where the deep state didn't think its agenda was being sufficiently implemented.
[00:07:49.455 --> 00:07:51.116]  Or we could look all around the world.
[00:07:51.556 --> 00:08:04.703]  People forget that Latin America was replaced with dictators throughout the 1960s to where pretty much the entire continent was aligned with deep state dictators rather than the local indigenous populist movements in many of those nations.
[00:08:05.143 --> 00:08:06.404]  Same with Central America.
[00:08:06.484 --> 00:08:17.890]  The overthrowing of Arbeniz was considered to be a major event that led to the radicalization of peasant and worker and civil rights movements across Central and Latin America, more towards the hard left.
[00:08:18.670 --> 00:08:25.973]  Because of the Deep State's unwillingness to accept any form of popular restraint or restriction on its institutional power.
[00:08:26.573 --> 00:08:42.038]  Indeed, as we will discuss later on, there is substantial evidence that what the Deep State is seeking is a legal imprimatur, a judicial approval and sanction that their power supersedes the President's constitutional power.
[00:08:42.578 --> 00:08:44.659]  This is the mindset that they are seeking.
[00:08:45.159 --> 00:08:52.380]  And Biden is an effective personality to represent the dementia candidate of these deep state policies.
[00:08:52.781 --> 00:09:01.603]  Policies that have long been out of step with both the American people, but increasingly just economic, geopolitical, military reality.
[00:09:02.063 --> 00:09:04.443]  We're seeing that same thing in Ukraine.
[00:09:04.923 --> 00:09:18.430]   For example, while the Western press And the sort of the current version of the Drudge Report, which is not like the old Drudge Report since Matt Drudge sold it some years ago, often will portray the deep state agenda as winning.
[00:09:18.870 --> 00:09:23.632]  They'll say Trump's in trouble, just like they say Ukraine is succeeding in the conflict.
[00:09:23.872 --> 00:09:43.829]   There was this great counteroffensive that was talked about For almost a month or so, weeks and weeks in advance, that Ukraine was going to launch against the Kherson region, which is a little bit north of Crimea, controlled by the Russians since the very beginning of this conflict, in at least this version of the conflict in 2021 and 2022.
[00:09:43.889 --> 00:09:48.152]  And how did the counter-offensive go?
[00:09:48.312 --> 00:09:58.004]   Well, it's such a disaster, such a debacle, They basically just put out their soldiers to, and many of them conscripts, to just be executed en masse by Russian artillery.
[00:09:58.425 --> 00:10:12.137]   Because of Russian artillery superiority, and Russian Air Force superiority, and air superiority in general, As well as superiority of trained and skilled soldiers rather than conscripts and recent trainees.
[00:10:12.677 --> 00:10:17.118]  Indeed the UK report about taking 10,000 or so Ukrainians and training them.
[00:10:17.538 --> 00:10:22.099]  The internal report leaked this week that showed these people are just going to die quickly on the battlefield.
[00:10:22.439 --> 00:10:25.480]  There's just no means to quickly, capably help them.
[00:10:26.084 --> 00:10:28.766]  So what happened with this major so-called counter-offensive?
[00:10:29.486 --> 00:10:46.836]  They left them abandoned in the fields and open territory with little protection against the opposing superior air power and artillery and so many deaths that in certain parts of Ukraine they're creating memorials in honor of the people who died just in this counter-offensive by the Ukrainians.
[00:10:47.236 --> 00:10:48.298]  To no great success.
[00:10:48.779 --> 00:10:51.504]  A few small towns they capture, they lose the next day.
[00:10:51.845 --> 00:10:56.453]  They end up ensnared in a certain place and just get taken out en masse.
[00:10:57.162 --> 00:11:35.498]   And so, what some wonder, with the Russians continually gaining more land in the Donbass, more land in the southern part of Ukraine, more capacity to go over towards Odessa, to be in a position to seize all of the farm-rich lands in Ukraine, seize all of the industrial-rich regions of Ukraine, seize all the seaside regions of Ukraine, including not only the Sea of Azov, which they now completely control, the Russians, But also the Black Sea, and basically leave Ukraine, a landlocked country stripped of its major oil, industrial, mineral, and agricultural resources.
[00:11:36.059 --> 00:11:46.285]  And large parts of these parts of the country also correspond, not coincidentally given Soviet and Russian history, to the strong Russian ancestral provision of parts of Ignatian.
[00:11:46.937 --> 00:12:04.371]  So what is likely what we are on pace for is a complete, utter debacle in Ukraine, comparable to what we just witnessed in Afghanistan a few months ago, to which we saw glimpses of this week in Iraq with major protests rocking even the Green Zone at different points in Iraq.
[00:12:05.569 --> 00:12:18.797]  These continuous with in Syria discussions between Syria's Bashar Assad and Erdogan of Turkey to cut a deal to come to a settlement resolution that would effectively push the U.S.
[00:12:18.857 --> 00:12:19.438]  out of Syria.
[00:12:19.518 --> 00:12:21.339]  What was that 10-year civil war for?
[00:12:21.919 --> 00:12:33.066]  So one more example of complete deep state disaster all around the globe and their response to it is to try to increase the level of repression here at home.
[00:12:33.587 --> 00:12:35.989]  They have almost no choice but to do so.
[00:12:36.569 --> 00:12:38.351]  And that is why they will continue to do so.
[00:12:38.891 --> 00:12:50.720]  But one of their tools of oppression, a tool of surveillance known as geolocation, discussed in Dinesh D'Souza's movie, 2000 Mules, about the election fornication that took place in 2020.
[00:12:52.508 --> 00:13:04.755]  D is actually also starting to come out in a wide range of legal action, including the FTC's legal action against the company, private suits that are brought against others related to the geolocation issues.
[00:13:05.235 --> 00:13:08.036]  And what is being exposed in these cases is two facts.
[00:13:08.797 --> 00:13:16.461]  One, Dinesh D'Souza's hypothesis and evidentiary presentation in 2000 Mules is being increasingly reaffirmed.
[00:13:17.020 --> 00:13:24.362]  What the evidence increasingly shows is that geolocation, easily and capably, can find you wherever you are at.
[00:13:24.962 --> 00:13:29.964]  And it can aggregate your personal history to where it knows everything you do.
[00:13:30.544 --> 00:13:33.185]  Indeed, this is the part that people didn't fully realize.
[00:13:33.265 --> 00:13:45.908]   They started to understand that programs like NEST, programs like The various Apple and Google apps in your home, the smart TVs, the little camera on your computer were all capable of recording you for information.
[00:13:46.408 --> 00:14:01.833]  What a lot of people underappreciated is that the reason why you get all those free apps on your cell phone and on your tablets is because they, in exchange for the freedom of that app, you're selling them your tracking and tracing information.
[00:14:02.353 --> 00:14:05.994]  And the net effect of that is that they're able to track everywhere you go.
[00:14:06.701 --> 00:14:10.183]  And from that, have a real detailed pattern about your lifestyle.
[00:14:10.863 --> 00:14:21.409]  In fact, one of the issues that we'll be discussing up next is it turns out local police all across the country are some of the key subscribers to these geolocation services.
[00:14:21.809 --> 00:14:26.972]  And they've been using it in investigative techniques, even though it's been considered illegal by the U.S.
[00:14:27.012 --> 00:14:30.514]  Supreme Court to use these kind of techniques for quite some time.
[00:14:31.129 --> 00:14:33.531]  They're following you everywhere you go.
[00:14:33.671 --> 00:14:36.633]  Church meetings, political meetings, personal activities.
[00:14:36.894 --> 00:14:39.276]  Did you visit an addiction recovery facility?
[00:14:39.676 --> 00:14:40.196]  You name it.
[00:14:40.677 --> 00:14:50.625]  We're going to discuss that on the other side of the break, as well as what the next risk for false flags or deep state strategies may be up next throughout the rest of the program.
[00:14:50.705 --> 00:14:56.009]  So come back and we'll be discussing each of those facts and factors and more after the break.
[00:15:00.979 --> 00:15:02.680]  Welcome back to the Alex Jones Show!
[00:15:02.700 --> 00:15:05.862]  This is Robert Barnes, guest hosting on this Sunday.
[00:15:06.342 --> 00:15:29.435]  We're going to be discussing a range of issues, including what are the greatest risks of red flags or the deep state's next steps in their desperate efforts to continue to maintain and control their monopoly on institutional influence in the United States against the populist resistance, against the MAGA movement, against President Trump, especially as their international adventurism continues to fall apart and collapse.
[00:15:30.055 --> 00:15:44.802]  As the attempts to sanction Russia backfire on the West, and as their various efforts at political control continue to slip right through their hands, as popular resistance continues to grow across the political landscape from left to right, from nation to nation.
[00:15:45.643 --> 00:15:53.847]  But up next we're going to be discussing, have you ever heard of something called a certain little program that has a fog reveal?
[00:15:54.707 --> 00:15:56.148]  That's the name of it, fog reveal.
[00:15:57.270 --> 00:16:00.472]  You might not have, but your local police agency probably has.
[00:16:00.492 --> 00:16:02.292]  Because what is Fog Reveal?
[00:16:02.632 --> 00:16:16.718]  Well, Fog Reveal is a surveillance program that gathers up all the data from various data brokers and vendors all across the globe, but particularly the United States of America, concerning your cell phone activity.
[00:16:17.358 --> 00:16:37.181]   What most people don't know Is that they effectively sign a secret contract, because it's secret to most of the people that get the free apps on their phone, is that in exchange they give up their rights to not have their information tracked, traced, and then sold.
[00:16:38.032 --> 00:16:50.625]  And the net effect of this, as a recent substantial report by the Electronic Frontier Foundation, joined with the Associated Press and others detail, is local police agencies are some of the big subscribers to this service.
[00:16:51.184 --> 00:17:02.246]  So what happens first is you, on your phone or your tablet, you put an app in it, you don't realize you've given up your private information, and now that phone is going to track every place you go.
[00:17:02.626 --> 00:17:12.168]  Not just track, people have understood that you're being spied on through your computer, through your phone can intercept your conversations, of course, your texts are being surveilled.
[00:17:12.448 --> 00:17:18.167]   They understood those aspects of centralized storage and various usage of smart technology.
[00:17:18.167 --> 00:17:26.168]   Most people underappreciated the significance and consequence of having your everywhere you go track.
[00:17:26.168 --> 00:17:30.928]   This is like having a personal tracer rather than on your car, it's on your body.
[00:17:30.928 --> 00:17:33.967]  Wherever your phone goes, it goes.
[00:17:33.967 --> 00:17:41.608]   Now, a lot of people in the press try to push away D'Souza's 2000 Mules movie on the grounds that,
[00:17:41.608 --> 00:17:44.527]  Hey, you can't really have that precise location.
[00:17:44.724 --> 00:18:00.158]  But as a recent Federal Trade Commission lawsuit brought against the company that's engaged in these activities, as these information from these investigative journalistic reports about what police agencies are up to, in fact, it creates extraordinarily accurate, precise information.
[00:18:00.698 --> 00:18:13.248]  Because there's a single device known to your phone and tablet that are then assigned and associated with various residential and other IP address activities of your computer.
[00:18:13.689 --> 00:18:17.131]  And they can combine it to create a personal roadmap of everything.
[00:18:17.532 --> 00:18:19.513]  They see every place you go online.
[00:18:19.894 --> 00:18:22.796]  They can track everywhere you go physically.
[00:18:23.176 --> 00:18:26.319]  Between the two, they have a perfect script of who you are.
[00:18:26.900 --> 00:18:27.981]  They know what you're about.
[00:18:28.121 --> 00:18:30.903]  So, if somebody went to an abortion clinic, they know it.
[00:18:31.383 --> 00:18:34.025]  If somebody went to a drug rehab facility, they know it.
[00:18:34.145 --> 00:18:37.727]  If somebody went to a popular place for the purchase of illegal items, they know it.
[00:18:38.068 --> 00:18:39.869]  Somebody went to a gun store, they know it.
[00:18:40.209 --> 00:18:41.770]  Somebody went to church, they know it.
[00:18:42.311 --> 00:18:51.056]  In fact, the old joke about Facebook used to be that if you've liked five things on Facebook, Facebook knows you as well as a casual friend.
[00:18:51.617 --> 00:18:56.100]  If you've liked ten things on Facebook, Facebook knows you as well as a good friend.
[00:18:56.670 --> 00:19:01.333]  If you've liked 20 things on Facebook, Facebook knows you as well as a family member.
[00:19:01.814 --> 00:19:06.197]  And if you've liked 50 or more things on Facebook, Facebook knows you better than your spouse.
[00:19:06.777 --> 00:19:07.998]  That's the old mantra.
[00:19:08.178 --> 00:19:20.307]  Now take all of that social media mind data, combine it with all the internet tracking data, aggregate that to all the purchase tracking data, and now put in your physical location tracking data.
[00:19:20.911 --> 00:19:30.723]  And what they have is an eye in the sky on everybody all the time that makes Enemy of the State look like a light-hearted romp of a film from 30 years ago.
[00:19:31.244 --> 00:19:33.326]  So that's the net effect of what's there.
[00:19:33.486 --> 00:19:36.550]  And this has always been there, but the government has tried to keep a lid on it.
[00:19:37.753 --> 00:19:58.042]  The good way that information can be used is the way DeSouza was able to show how you could use it in 2000 Mules to track how it made very little sense for people to be making multiple trips to multiple vote drop boxes and multiple trips to NGOs that were organizing the vote, so to speak.
[00:19:58.783 --> 00:20:11.301]  During the same compressed time frame in a highly unusual exceptional manner and suggested that these were mules people carrying ballots that were not constitutionally cast in order to influence and shape the presidential election of 2020.
[00:20:12.665 --> 00:20:18.691]  The flip the other side is, of course, police love this, but they love this because it creates minority report type powers.
[00:20:19.091 --> 00:20:22.354]  They're able to do a whole tracking and tracing of where anybody has been.
[00:20:22.755 --> 00:20:40.237]   In fact, probably the next foot, the next shoe to drop in all of this is going to be the various way this system is being used with algorithmic data to be able to predict Where they think criminal activities may occur or who they think may commit criminal activities.
[00:20:40.698 --> 00:20:45.181]  It's simply a logical extension of that old film Minority Report.
[00:20:45.641 --> 00:20:51.226]  Where the idea was you could take all of this aggregated data and predict what someone will do.
[00:20:51.646 --> 00:20:55.109]  That already happens to some degree in the advertising space.
[00:20:55.629 --> 00:20:59.032]  Because that's how, you know, you search for something and then suddenly it shows up.
[00:20:59.412 --> 00:21:01.013]  Or you simply went and visited it.
[00:21:01.373 --> 00:21:01.513]  Right?
[00:21:01.533 --> 00:21:02.174]  You went to a local mall.
[00:21:04.432 --> 00:21:18.004]  Or a local store where at that store certain things were for sale and all of a sudden those things are being advertised to you by text, by email, whenever you open up your web browser, whenever you pull up an app, etc.
[00:21:18.405 --> 00:21:21.027]  What people didn't realize is all of these apps were tricks.
[00:21:21.568 --> 00:21:24.390]  They were tricks to get you to say, oh, wouldn't that be cool?
[00:21:24.550 --> 00:21:25.611]  Oh, wouldn't that be fun?
[00:21:25.651 --> 00:21:26.732]  What a little game to play.
[00:21:26.772 --> 00:21:27.413]  I like that.
[00:21:27.773 --> 00:21:29.635]  Oh, I really like this extra little information.
[00:21:30.275 --> 00:21:37.700]  In an exchange, what you were actually doing was giving up your entire life, all of your privacy, all of your individual sovereignty.
[00:21:38.080 --> 00:21:41.602]  And privacy and anonymity are essential to political sovereignty.
[00:21:41.722 --> 00:21:50.147]  Indeed, so much so, that our United States Supreme Court has repeatedly held that you have a constitutional First Amendment right to anonymous speech.
[00:21:50.686 --> 00:21:53.809]  You have a constitutional First Amendment right of association.
[00:21:54.329 --> 00:22:05.419]  This means that, for example, when the NAACP was raising money in the 1950s, a bunch of the southern governors and governments tried to find out who was helping out the civil rights organizations.
[00:22:05.920 --> 00:22:11.785]  So the civil rights organizations refused to give up their donor list and their volunteer list.
[00:22:12.325 --> 00:22:13.407]  And so that went up to the U.S.
[00:22:13.427 --> 00:22:14.388]  Supreme Court and the U.S.
[00:22:14.428 --> 00:22:28.605]  Supreme Court said there is a right, constitutional First Amendment right, of association, also protected under the First Amendment, political association, political expression, association for religious beliefs, political beliefs, or simply private activities.
[00:22:29.205 --> 00:22:33.490]  And those First Amendment rights mean the state cannot find out who your donors are.
[00:22:33.910 --> 00:22:37.013]  The same is true in a political expression context.
[00:22:37.353 --> 00:22:47.504]  So a case went forward where somebody was doing pamphleteering and they were refusing to disclose who produced the pamphlets and who published the pamphlets or who was distributing the pamphlets.
[00:22:47.924 --> 00:22:48.204]  The U.S.
[00:22:48.244 --> 00:22:52.829]  Supreme Court again recognized that is a First Amendment constitutional right.
[00:22:53.402 --> 00:23:02.570]  So this is your right to privacy that has been effectively and is continually being eviscerated by these app programs, by big tech collusion.
[00:23:03.030 --> 00:23:07.193]  Now you might understand why DARPA was so interested in starting the Internet in the first place.
[00:23:07.654 --> 00:23:12.678]  Why big tech and big security and the big state have been colluding from the very get go.
[00:23:13.266 --> 00:23:29.925]  When we come back after the break, we'll discuss, in part, how Big Tech has recently been exposed in that collusion by the good federal lawsuit brought in Louisiana, brought by a range of other good people who are joining the suit, including the Attorney General of Louisiana, Missouri, but also private doctors and scientists and others.
[00:23:30.325 --> 00:23:39.813]  Which exposed the scale of big tech collusion with the state to suppress any independent dissonant information.
[00:23:39.973 --> 00:23:49.240]  We'll talk about that and what the deep state is up to after the break.
[00:23:49.260 --> 00:23:52.203]  Welcome back to the Alex Jones Show, Robert Barnes guest hosting.
[00:23:52.563 --> 00:23:59.889]  We're discussing big tech collusion as part of the deep state desire to control populations and direct its agenda.
[00:24:00.430 --> 00:24:19.721]  We'll be talking about a little bit later what the deep state may be up to next against Trump and Trump supporters or globally as its despairing attempts to seize and continue to control and maintain and sustain power against its continuing debacles in the court of public opinion happen on an unabated level.
[00:24:20.161 --> 00:24:24.104]  Will they allow a Donald John Trump to be president once again in 2025?
[00:24:25.204 --> 00:24:29.567]  What might they be up to that what could preclude or prevent that or try to preclude or prevent that?
[00:24:30.026 --> 00:24:38.018]  What risk does the president face from assassination itself as raised recently by the former New York City Police Commissioner as a real risk for Trump?
[00:24:38.539 --> 00:24:40.883]  We'll discuss that more a little bit later in the show.
[00:24:41.504 --> 00:24:44.909]  But now back to big tech pollution with big government.
[00:24:45.484 --> 00:25:08.902]  What the Louisiana and Missouri lawsuits have detailed is that the scale and scope of big tech collusion was far beyond what was even initially suspected or even alleged by some of the suits that were currently present, including Robert Kennedy's suit against Facebook for their efforts to target children's health defense and he personally for raising dissident information about COVID-19.
[00:25:09.867 --> 00:25:13.289]  Well, it turns out almost every agency was complicit.
[00:25:13.670 --> 00:25:30.521]  The effort to create that national directory that ultimately had to be scrapped at the last minute after it was publicly exposed was due to how broad and big this effort is, how coordinated and organized it is, how much of it was happening under the president's own nose, President Trump.
[00:25:30.922 --> 00:25:37.286]  And now, of course, done with the willing assistance, the aiding and abetting of the Biden administration, deliberately and directly.
[00:25:37.726 --> 00:25:45.331]  This includes the FBI, the CIA, the Human Health and Services Department, every major cabinet, Department of Education.
[00:25:45.692 --> 00:25:47.593]  If there's a cabinet department, it's involved.
[00:25:47.853 --> 00:25:49.634]  If there's a federal agency, it's involved.
[00:25:49.894 --> 00:25:52.456]  If there's a law enforcement agency, it's involved.
[00:25:52.756 --> 00:25:54.818]  If there's an investigation agency, it's involved.
[00:25:55.058 --> 00:25:56.739]  Parts of the Justice Department are involved.
[00:25:57.098 --> 00:26:01.897]   A whole bunch of people whose sole and whole objective was to prevent and preclude the
[00:26:01.897 --> 00:26:07.499]   public from finding out the truth about COVID-19, for the people finding out the truth about
[00:26:07.499 --> 00:26:12.457]   the 2020 election, from people finding out the truth about what was happening in Ukraine.
[00:26:12.457 --> 00:26:15.178]  The topic changes, but the methodology doesn't.
[00:26:15.650 --> 00:26:32.885]  And what the details show, in fact, this is the real reason, by the way, people had asked, why did Zuckerberg tell Joe Rogan and admit that the FBI was the one who directed him to suppress information concerning the Hunter Biden laptop story in 2020?
[00:26:34.087 --> 00:26:48.950]  Many people had justifiable suspicions of Zuckerberg given the history of targeting Children's Health Defense and Robert Kennedy on COVID issues and other aspects that now apparently he is also going to blame that on being directed to do so by Fauci.
[00:26:49.611 --> 00:26:52.972]  So why is he suddenly throwing other people under the bus?
[00:26:53.012 --> 00:26:59.074]  Is this just a last minute gasp to save himself from his illicit actions to influence the 2020 election?
[00:26:59.454 --> 00:27:15.480]  Given the huge amounts of money his foundation's flooded, Wisconsin and other states, in order to create this wave, this sea of mail-in ballots that were not constitutionally qualified ballots, often by people who are not even constitutionally qualified to vote.
[00:27:16.070 --> 00:27:23.618]  In a method that was not constitutionally qualified and how it was cast and how it was counted and how it was canvas or who it was that cast it in the first place?
[00:27:24.399 --> 00:28:09.664]   Well, the reason is because Zuckerberg was afraid that the embarrassing information coming out now from the civil lawsuit brought by the states of Missouri and Louisiana and joined by several high-profile members of the Great Barrington Declaration Was going to come out and he wanted to get ahead of the story by looking like he was volunteering The information to Joe Rogan to be able to jump a story that was going to come out anyway so the real reason Zuckerberg disclosed it is because this great lawsuit is Disclosing from the discovery the scale and scope to which big tech has basically been At the back and call of the government and the deep state now for several years in the censorship game
[00:28:10.440 --> 00:28:17.763]  In fact, this goes back even further, but it just accelerated in 2019, 2020, 2021, and now 2022.
[00:28:18.424 --> 00:28:20.785]  So the scope of that big tech collusion is extraordinary.
[00:28:20.905 --> 00:28:37.372]  It will raise new issues about the ability for people to sue on the grounds that what is actually happening is that Facebook, Google, YouTube is part of Google, Twitter, that all of these organizations are acting as agents of the federal government.
[00:28:38.052 --> 00:28:45.295]  And to the degree that they are, then they are as subject to the Constitution's rules and restrictions as anybody else.
[00:28:45.915 --> 00:28:48.676]  This goes back to the old company-town principle.
[00:28:49.096 --> 00:29:07.981]   The United States Supreme Court said if a company set up a town and controlled the public streets and the public squares and the public parks and the public places, Then they were bound by the same constitutional limitations as any government agency, even though private, the company was in, the town itself was in private hands.
[00:29:08.461 --> 00:29:25.446]  So if they are acting as the agent of the government, then people can, a lot more people can seek legal remedy and relief against them and to try to stop them from doing it because the government cannot achieve indirectly what the constitution precludes and prohibits it from getting directly.
[00:29:26.278 --> 00:29:42.888]  Indeed, in this context, this is part of the issues that are related to the Elon Musk Twitter fight that is currently occurring in a court in Delaware, where an expert witness is saying that up to 80% of Twitter's traffic is actually driven by bots.
[00:29:43.469 --> 00:29:48.552]  This is also, again, part of the same censorship package, because there's two ways to censor.
[00:29:49.152 --> 00:29:55.176]  One way to censor is to remove the poster or remove the post, remove the content or remove the content creator.
[00:29:55.788 --> 00:30:08.359]  But the other way to censor is actually more effective, as Robert Epstein and others have detailed, which is that you create a fake story and you push that fake story and you pretend that fake story is popular.
[00:30:08.940 --> 00:30:23.636]   So it's the big lie that is often one of the most effective means of censoring stories by promoting the opposite of the truth while you bury the truth through various algorithmic manipulations, which critically depend upon A lot of bots.
[00:30:24.156 --> 00:30:29.778]  The more bots there are, the more they're able to get a certain message out, the more they're able to promote that message.
[00:30:30.238 --> 00:30:40.501]  So the assumption has been that Twitter was lying about its bot presence because it was lying to advertisers saying, hey, you spend a dollar, you'll reach, say, a thousand people.
[00:30:40.982 --> 00:30:44.283]  And it turns out, no, you actually reach, you know, 800 bots and 200 people.
[00:30:46.064 --> 00:31:02.917]  Well, in fact, while that may have been their monetary incentive for it, it appears, given this discovery information about the collusion data, that the more likely explanation, or at least an equally powerful explanation, is that it helped facilitate the Deep State's agenda in manipulating the narrative across the world.
[00:31:03.478 --> 00:31:07.221]  The old programs like Operation Mockingbird had sort of faded.
[00:31:07.771 --> 00:31:12.175]  The Internet could break through their ability to limit and constrain abilities.
