[00:00:00.000 --> 00:00:16.480]  [Outro]
[00:04:14.557 --> 00:04:18.800]  Russia claims the Pentagon has over 30 biolabs in the Ukraine alone.
[00:04:19.541 --> 00:04:25.145]  China claims they are operating 336 biolabs in 30 different countries.
[00:04:26.186 --> 00:04:28.768]  And now, members of our corrupt U.S.
[00:04:28.828 --> 00:04:37.134]  government are saying this is all a Russian conspiracy and that we should soon expect a false flag attack from Russia.
[00:04:37.854 --> 00:04:46.483]  If there's a biological or chemical weapon incident or attack inside of Ukraine, is there any doubt in your mind that 100% it would be the Russians that would be behind it?
[00:04:46.864 --> 00:04:56.494]  There is no doubt in my mind, Senator, and it is classic Russian technique to blame on the other guy what they're planning to do themselves.
[00:04:56.954 --> 00:04:59.217]  Reporting for InfoWars, this is Greg Reese.
[00:05:02.679 --> 00:05:05.781]  Back at the gas station, you realize people want this solved.
[00:05:05.941 --> 00:05:07.982]  Anthony Okoko voted for the president.
[00:05:08.022 --> 00:05:08.782]  I'm a good Republican.
[00:05:09.002 --> 00:05:10.843]  The way things are going, something's got to be done.
[00:05:10.963 --> 00:05:25.551]  If you think phase one of the launch phase, COVID-19, was bad, the artificial cutting off of the world energy supply is a death sentence to hundreds of millions, and it is a poverty sentence for another billion people or so, and that's in the numbers.
[00:05:26.525 --> 00:05:32.089]  At this pivotal moment, I see several priorities for the global agenda.
[00:05:32.569 --> 00:05:39.774]  We must revitalize the global economy and accelerate its transition to net zero.
[00:05:39.814 --> 00:05:52.643]  Last month, we announced a $5 billion investment to build out a nationwide electric vehicle charging network so that people from rural to suburban to urban communities can all benefit from the gas savings of driving an EV.
[00:05:52.903 --> 00:05:55.725]   We're going to see gas prices That issue hasn't come up.
[00:05:55.704 --> 00:05:59.704]   What is the thinking within your caucus about how to deal with that issue?
[00:05:59.704 --> 00:06:00.904]  That issue hasn't come up.
[00:06:00.904 --> 00:06:02.104]  That issue hasn't come up.
[00:06:02.104 --> 00:06:07.865]   We have to move to clean energy solutions with great accelerating.
[00:06:07.865 --> 00:06:10.664]  But a clean conscience is worth a buck or two.
[00:06:10.664 --> 00:06:12.423]  I'm willing to pay.
[00:06:12.618 --> 00:06:15.421]  I'm willing to pay $4 a gallon.
[00:06:15.481 --> 00:06:19.424]  Hell, I'll pay $15 a gallon because I drive a Tesla.
[00:06:19.644 --> 00:06:24.568]  We should be investing right here at home in renewable energy technologies.
[00:06:24.608 --> 00:06:27.211]  We should be weaning ourselves of fossil fuels.
[00:06:27.331 --> 00:06:46.229]   The spectacle of Biden publicly asking Saudi Arabia to increase output Publicly asking Venezuela to increase output, and then blocking all new oil leases on public land and most of the other leases, and shutting down several thousand pipeline spurs, including the Keystone Pipeline.
[00:06:46.629 --> 00:06:48.910]  A foreign army couldn't shut our power off like this.
[00:06:49.750 --> 00:06:55.233]  It's simply not true that my administration or policies are holding back domestic energy production.
[00:06:55.949 --> 00:06:57.588]  That's simply not true.
[00:06:57.588 --> 00:07:03.989]   One of the biggest changes that we've seen between the Trump administration and the Biden administration is the
[00:07:03.989 --> 00:07:07.028]  volume of regulations that are now on the table.
[00:07:07.028 --> 00:07:13.028]   President Trump was correct. He wanted to dramatically reduce the number of regulations on the books that that
[00:07:13.028 --> 00:07:18.148]   would actually provide greater autonomy and freedom for these companies and for the American people.
[00:07:18.248 --> 00:07:20.008]  Biden's doing the exact opposite.
[00:07:20.268 --> 00:07:21.429]  And it's even worse than that.
[00:07:21.849 --> 00:07:23.489]  He's looking to have mission creep.
[00:07:23.829 --> 00:07:28.931]  So if there's a traditional authority that the EPA operates, he wants the Federal Reserve to get involved.
[00:07:29.151 --> 00:07:30.391]  He wants HHS involved.
[00:07:30.612 --> 00:07:32.212]  The Securities and Exchange Commission.
[00:07:32.592 --> 00:07:35.193]  That's not how our constitutional system works.
[00:07:35.393 --> 00:07:39.979]  There are 9,000 approved drilling permits that are not being used.
[00:07:40.319 --> 00:07:45.225]  So the suggestion that we are not allowing companies to drill is inaccurate.
[00:07:45.505 --> 00:07:51.893]  The suggestion that that is what is hindering or preventing gas prices to come down is inaccurate.
[00:07:52.153 --> 00:08:00.258]  That accusation is a complete red herring and it's really a distraction from the fact that this administration has paused leasing on federal lands.
[00:08:00.958 --> 00:08:04.561]  Something that we're concerned about and something that we think needs to continue right away.
[00:08:05.321 --> 00:08:13.506]  The fact is that industry is producing at a higher level on existing leases on federal lands than in the last 20 years.
[00:08:13.906 --> 00:08:19.570]  And these leases take many years to explore, to develop, and to produce on.
[00:08:19.650 --> 00:08:20.651]  It's not truthful, right?
[00:08:20.811 --> 00:08:22.412]  And it's not truthful at all.
[00:08:22.512 --> 00:08:33.581]  From day one, day one, this administration has been hell-bent with their anti-American energy holy war to shut down the production of American energy.
[00:08:34.021 --> 00:08:35.162]  She knows that, right?
[00:08:35.523 --> 00:08:36.844]  It's delaying leases.
[00:08:37.164 --> 00:08:43.409]  Look, you can get a lease and then they delay the permits for you to be able to do seismic and do work on it.
[00:08:43.809 --> 00:08:51.131]  In Alaska, they delay the ability to get a permit for an ice road, which is how we go and do exploration on these leases.
[00:08:51.451 --> 00:08:52.652]  They've shut that down.
[00:08:52.812 --> 00:08:55.172]  They've tried to kill pipelines.
[00:08:55.312 --> 00:09:04.155]  Day one, you saw Biden said he was going to produce on energy, on ANWR, even though it's in the law that he has to do it, says shall.
[00:09:04.575 --> 00:09:19.382]   And then you guys got, you have people like John Kerry and Gina McCarthy going around to the American financial community saying, don't invest In American energy, so day one, they have been focused on killing the production of American energy.
[00:09:19.201 --> 00:09:24.081]   Phase one is to release the virus, lock down society, destroy supply chains, introduce
[00:09:24.081 --> 00:09:29.841]   the idea of a global digital ID as a vaccine passport so they can then have a war and cyber
[00:09:29.841 --> 00:09:35.400]   attacks and then bring down the world currency and blame COVID and the war for it but offer
[00:09:35.400 --> 00:09:41.282]   everyone a universal basic income to survive on the new digital currency as the other currencies
[00:09:41.282 --> 00:09:41.782]  fail.
[00:09:41.782 --> 00:10:02.780]  [Music]
[00:10:02.651 --> 00:10:04.651]  Tomorrow's News Today.
[00:10:04.651 --> 00:10:16.651]  Ladies and gentlemen, thank you so much for joining us.
[00:10:17.329 --> 00:10:20.290]  It's Saturday, March 12, 2022.
[00:10:21.771 --> 00:10:26.993]  And I'm your host, Alex Jones, here with my intrepid crew, working seven days a week.
[00:10:27.093 --> 00:10:30.355]  So I salute them and thank them for the amazing job they do.
[00:10:30.695 --> 00:10:37.852]   And all of you, the viewers and listeners, who without you, we would not be here and I'm not bragging when I say this.
[00:10:37.972 --> 00:10:44.234]  Again, I'm saying this so you understand that you're getting a report card back on what your investment in InfoWars has done.
[00:10:44.954 --> 00:11:12.085]   We are the main organization that does the original hardcore research and then puts it out as factoids linked to the proof so that all the major talk show hosts basically now Have their crew, have their producers watching and listening to every show and going and checking what we say and then going on air with it in their own great ways.
[00:11:13.166 --> 00:11:17.047]  And in the process of that, they're learning about the New World Order and how it operates.
[00:11:17.667 --> 00:11:23.429]  And I'm seeing them no longer need us, which is my main mission is to make myself obsolete.
[00:11:25.191 --> 00:11:27.452]  We're still not there, but we're getting close.
[00:11:27.972 --> 00:11:29.332]  We're getting close, ladies and gentlemen.
[00:11:29.372 --> 00:11:30.532]  Obviously, we'll still have problems.
[00:11:30.552 --> 00:11:32.113]  We'll still be dealing with things.
[00:11:32.353 --> 00:11:34.313]  And I'm still going to have a talk show, if the board is willing.
[00:11:35.694 --> 00:11:44.316]  But we're either going to turn these globalists back, or it's just going to turn into beyond 1984, which we're almost at right now.
[00:11:44.396 --> 00:11:47.857]  So God is watching, and God helps those that help themselves.
[00:11:48.737 --> 00:11:48.997]  All right.
[00:11:50.377 --> 00:11:52.118]  I'm going to give you the real skinny.
[00:11:52.970 --> 00:12:01.938]  On Russia, and we know where this is going now, and we know how things are unfolding, and we know the different scenarios that run from horrible to apocalyptic.
[00:12:03.419 --> 00:12:09.064]  So we have that here, and an escalation that is just bone-chilling.
[00:12:11.786 --> 00:12:12.967]  World War III alert.
[00:12:14.028 --> 00:12:29.426]   Russia announces plans and has warned NATO that any Forces coming across the border with weapons, or they think have weapons, will be bombed from the air.
[00:12:31.567 --> 00:12:35.410]  And of course, there's massive amounts of weapons, and you know U.S.
[00:12:36.050 --> 00:12:37.351]  troops are in Ukraine.
[00:12:39.011 --> 00:12:39.932]  You know they're in Ukraine.
[00:12:39.952 --> 00:12:41.193]  You know they train Ukrainians.
[00:12:41.733 --> 00:12:43.254]  You know NATO forces are there.
[00:12:44.035 --> 00:12:45.076]  Australians are there.
[00:12:45.176 --> 00:12:45.877]  Brits are there.
[00:12:45.937 --> 00:12:46.737]  Germans are there.
[00:12:46.797 --> 00:12:47.398]  Dutch are there.
[00:12:48.279 --> 00:12:49.780]  And it is a full-on war.
[00:12:50.300 --> 00:12:53.723]  So when Tucker Carlson says we're at war with Russia last week, yeah.
[00:12:54.143 --> 00:13:00.208]  We're in a proxy war and $13.6 billion just got sent to Ukraine.
[00:13:00.588 --> 00:13:02.370]  That means into the Democratic Party coffers.
[00:13:02.650 --> 00:13:05.652]  They launder about half the money out back to themselves on record.
[00:13:06.013 --> 00:13:07.034]  Hell, they don't even launder it.
[00:13:07.864 --> 00:13:16.871]  Their family members, husbands, wives, daughters, sons, run the infrastructure of the poorest country in Europe.
[00:13:17.932 --> 00:13:24.277]  It also has, for any per capita size, the most resources of any country in Europe.
[00:13:25.379 --> 00:13:27.721]  Just stacked side by side with any country in Europe.
[00:13:28.322 --> 00:13:33.766]  It has better farmland, it has more rare earth minerals, it has just everything.
[00:13:33.926 --> 00:13:46.736]  But it's the poorest, just like Mexico, per capita has more wealth than we do, but the people are poor because their elites don't let them have any of the wealth and keep a caste system going to keep people in a position that can be managed quite well.
[00:13:47.317 --> 00:13:51.680]  And it's for the American experiment that tried to stop that worldwide, but that's being destroyed right now.
[00:13:52.261 --> 00:13:58.926]   Under the Great Reset, we're going back to a But I digress.
[00:13:59.947 --> 00:14:04.570]  That is just one article in one news piece we have.
[00:14:05.611 --> 00:14:10.334]  Russia threatens attack on NATO weapons shipments to Ukraine as legitimate targets.
[00:14:10.454 --> 00:14:22.683]  And I'm going to explain in a moment why that's so important and why that's such a big deal and how it ties into this story, this boil down, this breakdown from the online encyclopedia.
[00:14:23.584 --> 00:14:24.824]  The Lusitania!
[00:14:25.545 --> 00:14:40.570]  Why is the Lusitania sinking off the coast of England on May 7th, 1915, so important with what the Russians just announced?
[00:14:41.530 --> 00:14:43.931]  Because this is a Lusitania parallel.
[00:14:44.631 --> 00:14:50.393]  These two things parallel each other, side by side, and of course you know what the Lusitania sinking caused.
[00:14:51.033 --> 00:14:55.217]   The United States entry, Into World War One.
[00:14:56.518 --> 00:14:59.520]  So that's coming up here in just a few minutes.
[00:15:02.283 --> 00:15:03.604]  Let me tell you the other news we've got.
[00:15:04.104 --> 00:15:08.588]  There's a lot of Ukraine news that'll take at least 30-40 minutes, all of these stacks right here.
[00:15:10.349 --> 00:15:17.035]  And then I've got what it's causing in the energy markets and in commodities and starvation and where all that's going.
[00:15:19.895 --> 00:15:23.118]  We'll also get into this breaking story that broke yesterday.
[00:15:24.058 --> 00:15:37.809]  The Texas Tribune in Bastrop, a town just outside Austin, to the east, a state-run facility producing child porn and pimping out the children.
[00:15:41.191 --> 00:15:41.352]  Yep.
[00:15:42.633 --> 00:15:52.526]   And just like Sandusky and Penn State, they were already abused children as young as seven Being pimped.
[00:15:55.067 --> 00:15:55.747]  Child porn.
[00:15:56.528 --> 00:15:57.468]  Shooting child porn.
[00:16:00.370 --> 00:16:03.792]  And of course you know it's a hundred times worse than they're telling you, and then you wonder who these people are.
[00:16:03.812 --> 00:16:05.352]  Well, we know exactly who they are.
[00:16:07.333 --> 00:16:23.456]   Now, you'll either have facilities that are run excellent by good Christian people, and they don't let the bad people get in, or you'll have facilities like this where the bad guys get the contract, set it up, and no one believes these children until the scum running it Sell the videos and photos of them raping them.
[00:16:25.797 --> 00:16:26.978]  And that's why it's open and shut.
[00:16:27.678 --> 00:16:29.419]  Because they sold the footage.
[00:16:30.899 --> 00:16:33.781]  That's why it's in the news, like, they got caught raping kids.
[00:16:33.821 --> 00:16:35.521]  They got caught selling the child porn.
[00:16:35.561 --> 00:16:36.322]  They got caught.
[00:16:36.522 --> 00:16:38.022]  It's not even alleged.
[00:16:38.062 --> 00:16:39.143]  They got the frickin' video.
[00:16:42.901 --> 00:16:49.746]  Now what do you think happens when millions come across the border, half of them below the age of 18, some of them only six months old, and just disappear?
[00:16:49.986 --> 00:17:00.915]  I've been down at the so-called Catholic Charities in South Texas, where the people literally are working for the drug cartels, they all got the drug cartel tattoos, and they're handing babies off.
[00:17:01.826 --> 00:17:05.868]  To people with no IDs and men literally come in.
[00:17:06.008 --> 00:17:07.288]  We had an undercover inside there.
[00:17:07.548 --> 00:17:09.789]  He goes, I came from Pennsylvania.
[00:17:09.829 --> 00:17:10.710]  I want my women.
[00:17:10.730 --> 00:17:12.030]  I don't want any men.
[00:17:12.050 --> 00:17:13.751]  I want young women and girls.
[00:17:14.091 --> 00:17:16.372]  I'm going to teach them the way of the Lord.
[00:17:17.893 --> 00:17:19.813]  And then we had this undercover cop inside there.
[00:17:20.614 --> 00:17:24.095]  He follows her out because she's a little woman and runs into our people.
[00:17:25.116 --> 00:17:26.476]  And of course, we're on the outside.
[00:17:27.397 --> 00:17:29.437]  And he goes, hey, what's going on here?
[00:17:29.918 --> 00:17:30.578]  You've seen the video.
[00:17:31.260 --> 00:17:36.821]  We're like, hey, you were just in there saying that you're here to pick up the girls and women.
[00:17:38.742 --> 00:17:40.602]  With no ID, no paperwork, no nothing.
[00:17:42.342 --> 00:17:43.123]  He's like, yeah.
[00:17:44.223 --> 00:17:45.823]  They need to be made to work.
[00:17:46.043 --> 00:17:58.986]  I need to do... I mean, right out of Central Casting, ladies and gentlemen, that guy could go to Hollywood right now and get a job playing the same type of characters that Ron Stelter should be hired for.
[00:18:00.484 --> 00:18:03.687]  I mean, you want, you know, Rob Zombie, you want some scary people for your next movie?
[00:18:04.968 --> 00:18:05.428]  You got him.
[00:18:05.448 --> 00:18:11.433]  You go down there and you look at it, and then you know how I felt trying to stop the smuggler cars and everything?
[00:18:11.633 --> 00:18:12.694]  You know how I felt after I went and did that?
[00:18:12.934 --> 00:18:14.015]  I didn't feel like a good person.
[00:18:14.255 --> 00:18:15.496]  I felt like crap.
[00:18:16.557 --> 00:18:19.019]  I got very depressed going down to the border five or six times.
[00:18:19.399 --> 00:18:26.665]  And quite frankly, that's how evil works, is good people just can't handle it anymore and just kind of back off and run to the hills while the evil takes over.
[00:18:30.370 --> 00:18:46.469]   Ladies and gentlemen, our government publicly admits That they are trafficking children all over the world.
[00:18:46.550 --> 00:18:47.830]  It's not our government, it's a criminal group.
[00:18:48.371 --> 00:19:18.998]   And the CIA in Germany, starting after the occupation in 1945, until now, hundreds of thousands of small children are taken from Christians, that's who they target, and given to rapists at age 3 to be trained as sex slaves, and by age 6 or 7 they are then delivered to facilities, usually Catholic churches, where they rape the children on Friday night, Or Wednesday night when everybody's gone in the main cathedral area.
[00:19:21.042 --> 00:19:22.203]  Now, this has come out in the news.
[00:19:22.243 --> 00:19:23.504]  This is in DW.com.
[00:19:23.544 --> 00:19:24.645]  I mean, this is all confirmed.
[00:19:24.865 --> 00:19:26.186]  And you ask, well, why would they do that?
[00:19:26.467 --> 00:19:29.970]  Because Satanists want to desecrate Christ.
[00:19:30.430 --> 00:19:34.914]  So if you can have a satanic ceremony in a church, that is the best place to have it.
[00:19:34.934 --> 00:19:37.436]  You get, like, Super Mario Brother gets the mushroom.
[00:19:37.456 --> 00:19:38.797]  He gets, you know, invincibility.
[00:19:39.197 --> 00:19:41.139]  To the Satanists, that's what they do.
[00:19:41.199 --> 00:19:43.781]  All over the world, in every culture, you desecrate.
[00:19:43.821 --> 00:19:45.142]  I'm not going to tell you what they do.
[00:19:45.202 --> 00:19:45.943]  It's a little too graphic.
[00:19:47.177 --> 00:19:52.341]  Let's just say this, they're not just raping little boys and girls on the altar.
[00:19:54.342 --> 00:19:56.103]  They bleed them out with black sabbaths.
[00:19:58.064 --> 00:19:58.965]  They drink their blood.
[00:20:00.946 --> 00:20:03.408]  And they rip their throats out with their teeth.
[00:20:05.929 --> 00:20:09.892]  While other children watch, gagged, and then they march up the next child to be murdered.
[00:20:10.573 --> 00:20:15.696]  And what they're getting is the fear and the terror of the children watching the other one being tortured gives them pleasure.
[00:20:16.252 --> 00:20:18.732]  Now, you want to know who these judges are, some of them?
[00:20:18.752 --> 00:20:21.673]  You want to know who these corrupt politicians are?
[00:20:21.693 --> 00:20:23.113]  You want to know who they are?
[00:20:23.293 --> 00:20:25.574]  They are the minions of these forces.
[00:20:27.694 --> 00:20:34.875]  And you've got all the little bureaucrats who aren't even involved in it, but they know something's going on, and they're just delivering the children and moving the children around.
[00:20:36.556 --> 00:20:39.636]  And you can believe, ladies and gentlemen, that even the U.S.
[00:20:39.776 --> 00:20:53.932]   Senate report admits that came out six years ago, right before Trump got in, that Obama knowingly placed tens of thousands of children with known sex traffickers.
[00:20:53.952 --> 00:21:00.194]  If you're a new listener, a new viewer, and you're hearing all this, you're thinking, this is too much, go read the DW.com articles.
[00:21:00.214 --> 00:21:03.034]  30,000 pedophiles.
[00:21:03.054 --> 00:21:03.454]  10,000 children.
[00:21:03.474 --> 00:21:03.454]  30,000.
[00:21:03.494 --> 00:21:05.115]  20,000.
[00:21:03.313 --> 00:21:09.273]   10,000 pedophiles, 10,000 children, 30,000, 20,000, I mean we're talking over decades
[00:21:09.273 --> 00:21:10.473]  per city.
[00:21:10.473 --> 00:21:14.752]  And you go, oh potential suspects.
[00:21:14.738 --> 00:21:39.237]  And then you read the actual article, and it is a government program in Germany, and then you learn they have them in England, they have them here, everywhere, to create the new culture of love, where you have a man with a boy and a woman with a girl, and there's no more family, and then the children are raised into pedophilia to then be groomers and recruiters themselves after they've done their tour of service until they're 15 years old.
[00:21:41.630 --> 00:21:45.553]  There it is, the German experiment that placed foster children with pedophiles.
[00:21:45.933 --> 00:21:55.821]  Now, remember when you're watching CNN and they're saying none of this exists, that they know full damn well it does, and a bunch of CNN hosts have been busted trafficking children.
[00:21:56.962 --> 00:22:03.287]  And remember that when you see Atlantic Monthly, owned by Steve Jobs' wife, that her favorite place to hang out was Epstein Island, with Ghislaine Maxwell.
[00:22:03.567 --> 00:22:07.090]  Remember when they have articles about, oh, there's no such thing as pedophilia going on.
[00:22:07.310 --> 00:22:08.791]  There's no epidemic of pedophilia.
[00:22:10.026 --> 00:22:14.047]  That you are looking at the top of the pyramid of these people.
[00:22:15.467 --> 00:22:22.669]  Simultaneously, they've got news articles everywhere telling you that pedophilia is a good thing.
[00:22:27.270 --> 00:22:27.550]  Okay?
[00:22:29.471 --> 00:22:31.151]  So, they want to destroy innocents.
[00:22:32.111 --> 00:22:33.532]  Most of them were abused themselves.
[00:22:34.432 --> 00:22:38.153]  They can't form real relationships with a cognizant adult.
[00:22:39.731 --> 00:22:43.594]  And they want to react out everything that was done to them to more children.
[00:22:43.675 --> 00:22:46.097]  And that's on the, that's on the evil end.
[00:22:46.457 --> 00:22:47.518]  And it just gets worse from there.
[00:22:48.078 --> 00:22:48.899]  It starts with that.
[00:22:51.241 --> 00:22:51.942]  Starts with that.
[00:22:53.123 --> 00:23:01.630]  And then it just goes over the edge into the total abyss of just bloody orgies where people just go berserk, just ripping children apart.
[00:23:03.832 --> 00:23:04.452]  Indescribable.
[00:23:04.572 --> 00:23:05.093]  I've read them.
[00:23:06.184 --> 00:23:10.227]  Interpol and FBI reports, they've come out in court before, not many times.
[00:23:12.548 --> 00:23:14.470]  Any feds that have worked on that know what I'm talking about.
[00:23:15.070 --> 00:23:23.375]  I mean, like, you know, bringing like four or five little toddlers, rape them until their guts are hanging out their rear end, and the 357 Magnums just start blowing their heads off.
[00:23:23.415 --> 00:23:34.383]   I mean, I mean, snuff films, folks, that even reading the reports makes you want to throw up, and reportedly the law enforcement can't even Do this much.
[00:23:34.423 --> 00:23:37.284]  I mean, you do this a year or something at that level, the people have to retire.
[00:23:37.304 --> 00:23:38.684]  I mean, they're totally fried.
[00:23:38.904 --> 00:23:41.105]  And because, I mean, how could you watch this stuff?
[00:23:41.305 --> 00:23:48.167]  And there's thousands of known snuff films that are just being quietly swept under the rug.
[00:23:48.347 --> 00:23:48.567]  Why?
[00:23:48.607 --> 00:23:53.128]  Because they know you can't handle the truth, except you can handle the truth.
[00:23:53.368 --> 00:23:55.289]  You can handle the truth!
[00:23:56.729 --> 00:24:06.815]   And we're not going to change this world And we're not going to defeat these people until we admit they're evil, we admit it's going on, and we organize against them, and we stop them.
[00:24:08.197 --> 00:24:27.381]   And they know we're organizing to stop them, so they're setting up their global cashless society control grid, where they can cut the resources back to almost nothing, censor everybody so nobody knows what's going on, and then carry out the orderly roundup of their opposition so they can then turn their main attention To the destruction of the children.
[00:24:27.881 --> 00:24:33.144]  Because if you think chopping them up in blood orgies, sex orgies, is evil.
[00:24:33.725 --> 00:24:41.249]  Imagine the mass industrial scale giving them cancer, giving them blood clots, giving them a disease, giving them veins.
[00:24:41.970 --> 00:24:44.251]  Vaccine autoimmune deficiency syndrome.
[00:24:45.732 --> 00:24:46.793]  Which is now mainstream news.
[00:24:48.314 --> 00:24:50.335]  Told you two years ago it'll be record level HIV.
[00:24:50.435 --> 00:24:53.617]  Now it is record level HIV because it's a spike protein in the vaccine.
[00:24:55.699 --> 00:25:06.482]  I mean, again, it's defense is that it's so insane, it's defense mechanism, that people cannot believe it's happening and automatically go into Stockholm Syndrome.
[00:25:06.863 --> 00:25:11.344]  Hey guys, I sent this to you Thursday, it was on the list and I forgot to play it.
[00:25:11.824 --> 00:25:15.145]  You guys, there's actually two clips on Thursday's list.
[00:25:15.725 --> 00:25:18.466]  One of them is the fat lady and the raccoon chasing her.
[00:25:19.170 --> 00:25:23.693]  And then there's one other one that was right beside, I forget which one, it was another, people acting totally fearful.
[00:25:23.913 --> 00:25:32.358]  And I remember, you know, being a kid and watching Jason, you know, at the movie theater.
[00:25:32.398 --> 00:25:37.762]  I'd sneak off with my friends, my parents would let me watch and stuff like that, but we'd still, you know, they still let us in the movie theater when we were 10 years old.
[00:25:38.002 --> 00:25:44.126]  We'd walk a few miles in the movie theater and we'd go in and see Friday the 13th or Nightmare on Elm Street, stuff like that.
[00:25:45.146 --> 00:25:52.868]   And I always remember, When the killers come to the forest, the people, oh, they run and then they fall down and back up on their feet.
[00:25:54.289 --> 00:25:56.210]  And their hands go, please, no!
[00:25:56.690 --> 00:26:01.192]  And I just remember always seeing that, thinking, well, I wouldn't act like that.
[00:26:02.092 --> 00:26:19.215]   I've had a bull try to run me over and literally jumped over a seven-foot fence and everybody made a big joke about it and they said, The point is, is that because I had normal instincts, I wasn't a hero, I wasn't some badass, I just thought, this can't be real.
[00:26:20.916 --> 00:26:30.091]   People don't actually When a guy's chasing with a butcher knife, stumble and fall and then back up on their hands and butt saying, please no.
[00:26:30.351 --> 00:26:39.175]  But then I grew up and learned about crime scenes and criminology and history and found out a lot of women just fall down and start begging and a lot of men do it now too.
[00:26:39.195 --> 00:26:44.198]  A hundred years ago, almost no men, little skinny, you know, guy, not a tough guy.
[00:26:44.378 --> 00:26:45.899]  You pull a butcher knife out and say, I'm going to kill you.
[00:26:46.219 --> 00:26:46.859]  He's going to fight.
[00:26:47.640 --> 00:26:49.260]  You may still kill him, but he's going to fight you.
[00:26:49.821 --> 00:26:54.010]   But people have been programmed to Fall down.
[00:26:54.210 --> 00:26:57.251]  And there's been cases now in Canada, like one other in the U.S.
[00:26:58.931 --> 00:27:07.033]  And there's also been cases of puma that might weigh 50-60 pounds that kill somebody because they fall down and flop.
[00:27:08.173 --> 00:27:11.154]  That's the last thing you do is fall down and flop to a predator.
[00:27:11.474 --> 00:27:24.674]   So nowhere in modern history do you hear about raccoons chasing people until now, and now I was up in Virginia six months ago or so up there on business and stuff in D.C.
[00:27:25.654 --> 00:27:32.658]  We stayed in Virginia and we were out hiking by the river and this raccoon came down the thing.
[00:27:32.698 --> 00:27:37.220]  It was hissing at me and I just threw a log at it and it ran back up a tree and I threw more logs at it.
[00:27:37.380 --> 00:27:37.820]  And you know what?
[00:27:38.080 --> 00:27:40.141]  When we came back later and it saw us, it ran back off.
