[00:00:00.333 --> 00:00:01.674]  So it's all official.
[00:04:02.784 --> 00:04:10.427]  Meanwhile, Hillary Clinton is still threatening Russia with military action, following unconfirmed reports of further hacking.
[00:04:10.787 --> 00:04:13.128]  It's like she's not even concerned about the repercussions.
[00:04:13.448 --> 00:04:15.508]  Of course not, because she's... Hang on, guys.
[00:04:15.588 --> 00:04:18.109]  Look, there's a really loud noise.
[00:04:19.469 --> 00:04:21.870]  Alright, looks like we're having a little bit of technical difficulties.
[00:04:21.890 --> 00:04:24.111]  We'll try to get Leanne back on in a few minutes.
[00:04:27.814 --> 00:04:32.375]  When the president gives the order, it must be followed.
[00:04:52.774 --> 00:04:58.055]   Well, the Bill of Rights is a stumbling block on the way to shutting down speech that the
[00:04:58.055 --> 00:05:00.853]  left doesn't like, at least in government.
[00:05:00.833 --> 00:05:06.536]  But there's a new avenue for those who would like to censor what you say and think, and that's corporations.
[00:05:06.616 --> 00:05:08.757]  The left have wised up to this.
[00:05:08.977 --> 00:05:14.359]  If you want to stop someone from telling the truth, use companies to do it.
[00:05:14.379 --> 00:05:15.460]  The social media giants.
[00:05:15.720 --> 00:05:16.120]  And they are.
[00:05:16.460 --> 00:05:22.081]  For many on the left, the view seems to have become that if you can't beat them, prevent them from speaking.
[00:05:22.201 --> 00:05:27.002]  So far the most prominent casualty of the crusade against free expression has been the radio show host Alex Jones.
[00:05:27.022 --> 00:05:34.744]  There is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices.
[00:05:34.784 --> 00:05:40.545]  There's also guys on CNN that spend their whole day calling Facebook and saying, can you ban this person?
[00:05:40.845 --> 00:05:47.553]  He may be America's best-known conspiracy theorist, but this week, Alex Jones' content will be a little harder to find.
[00:05:47.894 --> 00:05:57.685]  Shame on the mainstream corporate media for not defending the First Amendment, but instead attack-dogging, calling for federal regulators to shut down independent, free press working with big tech.
[00:05:58.286 --> 00:05:59.586]  People know what's true.
[00:05:59.806 --> 00:06:00.607]  They can smell it.
[00:06:01.167 --> 00:06:06.068]  InfoWars, the most banned network in the world.
[00:06:06.528 --> 00:06:08.528]  In a free country, everyone can be heard.
[00:06:08.588 --> 00:06:12.969]  In totalitarian societies, only the powerful can be heard.
[00:06:13.789 --> 00:06:24.051]  Well, I'm going to make an announcement here on air just to lay down a marker point for Tuesday, March 29th, 2022 of where we are.
[00:06:27.947 --> 00:06:35.873]  We have all the evidence, we have the globalist statements, we have their white papers and now we have them putting it into action.
[00:06:35.893 --> 00:06:51.204]  100% the multinational megabanks headed up with BlackRock and Vanguard and the private Federal Reserve have set China up to replace the United States and to be an authoritarian model of technocracy and global cashless society.
[00:06:52.947 --> 00:07:02.177]  And we are 100% now being maneuvered into, and we're now entering the official phase of the end of the dollar.
[00:07:04.119 --> 00:07:16.031]  Now, for folks that aren't into the economy and into economics and into currencies and into what that means, this country will look like Venezuela in just a couple years if this actually happens.
[00:07:17.079 --> 00:07:26.601]  We will look like Zimbabwe or Weimar Republic Germany and that's all we had left was a giant military and the fact that we had the world reserve currency.
[00:07:27.502 --> 00:07:39.805]  All of the major banks and the CIA and the entire federal government at the top is doing exactly what you do to burn down the US economy and shut us down and use economic warfare on us.
[00:07:40.325 --> 00:07:46.951]   Like if you wanted to burn down let's say an old farmhouse that you didn't even want to pay to have a Demolitioned.
[00:07:47.572 --> 00:07:52.634]  You can wait until it's a rainy time, there's no burn ban, call the fire department out, and burn that sucker down.
[00:07:53.134 --> 00:07:56.696]  I've had family burn down their old farmhouse, that's cheaper than hauling it off.
[00:07:57.996 --> 00:08:03.358]  And what you do is you go in and you pour gasoline in all the rooms, you get it all set up and ready, and then you throw a match into it.
[00:08:04.119 --> 00:08:07.860]  So they've been pouring gasoline all over the country for a long time, and now they threw the match in.
[00:08:07.880 --> 00:08:15.584]  The match goes spinning through the air, and in the last month, it actually hit, and now the house is engulfed in flame, and it's gonna burn to the ground.
[00:08:17.065 --> 00:08:23.629]  And it's all been done by the Sun, it's being heralded from BBC to Al Jazeera to the Communist Chinese official daily.
[00:08:26.491 --> 00:08:29.013]  And of course the boogeyman in all of this is Russia.
[00:08:29.653 --> 00:08:38.579]  As I said, as General Flynn said, and as all the smart geopolitical analysts said, Dr. Paul Craig Roberts and others, we should get him back on this week by the way, former head of the Treasury Department under Reagan.
[00:08:39.830 --> 00:08:49.277]  If we'd have made an alliance with Russia and turned them into a capitalist society and expanded, then we would be dominant for sure and could promote American values.
[00:08:49.738 --> 00:08:56.002]  But no, instead we became communist China basically, because the globalists that run our nation want us to be like communist China.
[00:08:57.584 --> 00:09:05.362]   So it's all official and we have been directly Maneuvered into this.
[00:09:05.402 --> 00:09:15.486]  So, you know, let's say a hundred years ago it might have taken a few months to build an old farmhouse and then it took a hundred years for it to get rotting and old and it takes about five minutes for one full of gasoline to burn to the ground.
[00:09:18.027 --> 00:09:19.027]  An old wooden farmhouse.
[00:09:19.967 --> 00:09:22.428]  Goes up like a Roman candle.
[00:09:26.809 --> 00:09:34.252]   So, ladies and gentlemen, the house is on fire and They actually did it.
[00:09:34.593 --> 00:09:35.313]  They destroyed America.
[00:09:35.353 --> 00:09:35.874]  They took us down.
[00:09:36.354 --> 00:10:02.255]   Now, the only reason I'm being as blunt as I am is there's some hope to lessen how bad this is going to be if we admit that they shipped in tons of fentanyl, they deliberately bankrupted the cities, they deliberately annihilated the family, they deliberately destroyed the border, they are absolutely publicly killing the dollar right now, and Let's just get it out there.
[00:10:02.415 --> 00:10:04.181]  The good old days are over.
[00:10:07.699 --> 00:10:13.764]  And during the collapse of resources, do you think the average leftist is going to say, oh, I was wrong and try to change their policies?
[00:10:13.804 --> 00:10:35.260]  No, they're going to get more desperate, more insane, more feverish, demanding wealth redistribution by the government administered by BlackRock and others who are going to have the World Social Credit Score system and the guaranteed universal basic income and make everyone, quote, sign on their wealth into a new digital global pool with China.
[00:10:35.700 --> 00:10:41.724]  So for this new global system to rise, with China at the heart of it, America had to fall.
[00:10:42.945 --> 00:10:45.827]  And that's why Biden shut down in 14 months, 15 months.
[00:10:49.189 --> 00:10:56.975]  Over 2,000 pipelines, thousands of other sub-pipelines, and we are under industrial military attack.
[00:10:59.346 --> 00:11:00.407]  Now that's just the start.
[00:11:00.427 --> 00:11:05.792]  Would you like me to give you the evidence today that we talked about in the last month or so but was hard to believe?
[00:11:06.472 --> 00:11:32.809]   China and India, which collectively are 2.79 billion, or almost 2.8 billion people, almost half the world population, The largest part of the world economy combined have officially left the dollar.
[00:11:34.830 --> 00:11:35.710]  And the dollar's dropping.
[00:11:38.572 --> 00:11:40.193]  And the ruble's exploding.
[00:11:40.273 --> 00:11:41.593]  We have been completely betrayed.
[00:11:46.056 --> 00:11:52.439]  And instead the globalists have got it all set up to censor everybody and shut everybody down and cause a civil war while they finish the country off.
[00:11:53.462 --> 00:12:01.462]   Great job, trendies and mainline conservatives and all of you that sat there and allowed this to happen.
[00:12:01.462 --> 00:12:11.841]   So all you folks that had a chip on your shoulder about America, all you weird leftists that were pissed because
[00:12:11.841 --> 00:12:15.462]   your grandpa or whatever wasn't allowed in the WASP country club,
[00:12:15.462 --> 00:12:21.462]   and now you're Larry Fink so you're going to show America and destroy it.
[00:12:22.048 --> 00:12:24.049]  All because somebody was mean to your grandpa.
[00:12:24.549 --> 00:12:26.110]  That's where we are now, ladies and gentlemen.
[00:12:26.570 --> 00:12:26.990]  Okay!
[00:12:27.130 --> 00:12:28.351]  Larry Fink, you destroyed America.
[00:12:28.851 --> 00:12:29.651]  Mount our head on the wall.
[00:12:29.691 --> 00:12:30.732]  Congratulations, buddy.
[00:12:32.153 --> 00:12:32.853]  But here's the thing.
[00:12:33.093 --> 00:12:36.615]  They think they're gonna get away with what they've done to this nation.
[00:12:37.675 --> 00:12:39.136]  And they're not gonna get away with it in the end.
[00:12:40.216 --> 00:12:41.657]  And this isn't gonna go the way they planned.
[00:12:43.604 --> 00:12:51.810]  It's going to lead to massive famine, global collapse, they wanted that, but it's going to lead to war, and it's going to lead to them being exposed, and it's going to lead to them being in prison.
[00:12:53.291 --> 00:12:54.112]  Let me give you the news here.
[00:12:56.173 --> 00:12:57.974]  Ruble at the highest rate against U.S.
[00:12:58.015 --> 00:12:59.416]  dollars since February 28th.
[00:12:59.716 --> 00:13:01.657]  They tried to tank the ruble, it had the opposite effect.
[00:13:03.058 --> 00:13:05.760]  Russia's got more oil than anybody else on earth, more than the U.S.
[00:13:05.840 --> 00:13:07.621]  and Saudi Arabia and Venezuela combined.
[00:13:09.043 --> 00:13:10.524]  And now it's going to sell unlimited oil.
[00:13:11.971 --> 00:13:12.952]  To China and India.
[00:13:13.732 --> 00:13:27.201]  Because China and India don't take dollars anymore for oil, and that's the World Reserve currency, that's the Brenton Woods Agreement after World War II, that's the whole system of the New World Order after World War II.
[00:13:27.461 --> 00:13:28.162]  The New Order.
[00:13:28.542 --> 00:13:29.883]  America as the British Empire.
[00:13:30.543 --> 00:13:39.990]  And deliberately, the people that run the British Empire, the American Empire, are deliberately shutting us down to bring us to our knees.
[00:13:43.499 --> 00:13:46.020]  And let China and other authoritarian regimes take over.
[00:13:47.440 --> 00:13:58.644]  While they put in a rotting, disintegrating puppet, who can't even basically talk, even with cue cards in his hands, as the emblem of American weakness and death.
[00:13:58.684 --> 00:14:10.567]  And I said, them putting Biden in last year, I said, is the emblem of America's death, you would only put him in as the symbol of, hey, the old year's going out, it's New Year's Eve, 1159.
[00:14:13.906 --> 00:14:20.391]  And the year turns into a skeleton right in front of you, and that year is gone, and the new year begins with a little baby.
[00:14:21.912 --> 00:14:23.873]  And they are telling you it's over.
[00:14:24.474 --> 00:14:28.216]  They are telling you that they've done this.
[00:14:29.137 --> 00:14:33.880]  India refiners make fresh purchase of Russian oil despite U.S.
[00:14:33.980 --> 00:14:34.301]  warning.
[00:14:34.881 --> 00:14:39.004]  India will drop the dollar to trade with Russia, replacing Swift.
[00:14:42.998 --> 00:14:50.468]  You take a look at the map of the world, Russia and India and China, and you get those guys working together, it's game over, global domination.
[00:14:51.499 --> 00:14:54.941]  And that was done by design, and we were maneuvering into that.
[00:14:55.141 --> 00:14:56.602]  Oh, who was a four-year respite?
[00:14:56.922 --> 00:14:59.303]  They weren't just mad that Trump was taking charge.
[00:14:59.323 --> 00:15:02.485]  They weren't just mad that a few of their operatives were being kicked out of government.
[00:15:02.885 --> 00:15:10.730]  They were mad because he was going with an America First policy and made us the number one energy producer in the world overnight, and that wasn't going along with their plan.
[00:15:10.750 --> 00:15:13.111]  The world said, wow, America's not closed for business?
[00:15:13.331 --> 00:15:16.213]  That's why the day he got elected, the stock market exploded.
[00:15:16.613 --> 00:15:17.734]  Everybody started investing here.
[00:15:17.874 --> 00:15:21.497]  Because they've been told, don't come to America, you can't set businesses up here.
[00:15:23.038 --> 00:15:25.360]  You're not allowed to have factories, you're not allowed to do all that.
[00:15:25.780 --> 00:15:28.402]  And then Trump said, that's over, okay, everybody flooded back.
[00:15:29.723 --> 00:15:32.405]  And now, as soon as Biden came in, they flipped a switch and it's all off.
[00:15:34.707 --> 00:15:37.649]  And here we are, ladies and gentlemen, it makes me physically sick.
[00:15:38.613 --> 00:15:43.295]  I'm physically nauseous right now because I know what this means to my family.
[00:15:43.775 --> 00:15:44.555]  I know what this means.
[00:15:44.575 --> 00:15:50.137]  I mean, you understand your country is literally dying on the operating table right now.
[00:15:52.258 --> 00:15:54.239]  So we're now living in the future.
[00:15:55.840 --> 00:16:13.360]   In the year 2022, powerful world central banks led by BlackRock and others Publicly maneuvered the Western governments they controlled into policies that triggered the Russian invasion of Ukraine.
[00:16:15.721 --> 00:16:20.362]  And as Larry Fink said just a few months ago on Bloomberg TV, we prefer to work with dictators and criminals.
[00:16:23.442 --> 00:16:24.042]  Yeah, he said that.
[00:16:24.541 --> 00:16:31.541]  I will play the clip in a moment.
[00:16:31.541 --> 00:16:34.021]  And they're following everything you do.
[00:16:34.021 --> 00:16:44.021]  [BLANK_AUDIO]
[00:16:35.674 --> 00:16:51.782]  Like, if I was gonna make hamburgers, I'd go to the store, try to get some fresh good hamburger meat, get some buns, get some lettuce, tomatoes, make sure I had ketchup, mayonnaise, or... I'm getting hungry here, uh... Any other type of relish people like.
[00:16:52.022 --> 00:17:00.226]  And then I'd come home, and I'd fire up the grill, and I'd cook it, and I'd bring it into the family, and I'd put it on the buns, and we'd eat dinner.
[00:17:01.586 --> 00:17:02.647]  With a salad or something.
[00:17:04.288 --> 00:17:05.069]  And that's what they're doing.
[00:17:05.129 --> 00:17:08.711]  Everything they do is just how you go and set something up and prepare it and lay it out.
[00:17:08.731 --> 00:17:17.257]  It's like a surgery for amputating somebody's leg, but instead they're amputating our head.
[00:17:19.078 --> 00:17:29.766]  They've got all the lights and the tools and the nurses and the doctors in there, the surgeon, and they've got us strapped down and they're just draining our blood out slowly while we're awake laughing at us.
[00:17:31.906 --> 00:17:36.490]  And you see, I don't come in here and tell you how horrible this is, just to get you depressed.
[00:17:37.291 --> 00:17:45.958]  I want you to know what's going to come next if we don't take action so it lights a fire under all of our asses to stop this.
[00:17:46.018 --> 00:17:52.384]  Because we told you they were maneuvering the country towards collapse, while they claim they were doing it all for America.
[00:17:52.664 --> 00:18:02.102]   We told you they would end American energy dominance and actually shut us off and that you would have rolling power outages and massive inflation.
[00:18:02.342 --> 00:18:03.683]  I told you that years ago.
[00:18:03.984 --> 00:18:05.145]  That's the plan.
[00:18:05.405 --> 00:18:07.827]  They've done it in the third world over and over again.
[00:18:10.009 --> 00:18:14.474]  It's what the economic hit man and others came out and exposed many years ago.
[00:18:16.495 --> 00:18:17.336]  It's how they operate.
[00:18:17.356 --> 00:18:26.274]   And so you all ask yourselves, I asked two years ago, well, we know these shots, according to scientists that have researched what they're coming out with, are going to cause blood clots and mass death.
[00:18:26.554 --> 00:18:32.079]  What are they going to do to cover up all that death, that delayed death, that's going to happen?
[00:18:31.898 --> 00:18:40.218]  And I said big wars and economic collapse.
[00:18:40.218 --> 00:18:45.698]   Because they want a post-industrial world and they want to depopulate us 80 to 90 percent
[00:18:45.698 --> 00:18:47.098]  in the official documents.
[00:18:47.098 --> 00:18:49.737]  So how do you get from A to Z?
[00:18:49.917 --> 00:18:56.741]  What's the big cataclysm, the end-of-the-world event William Shatner was talking about, or AOC, or Beto, or all of them?
[00:18:57.141 --> 00:19:00.083]  Where soon, almost everybody's going to be dead!
[00:19:00.423 --> 00:19:05.286]  That's because they are turning the planet's industrial life support off.
[00:19:06.547 --> 00:19:07.548]  Just on time delivery.
[00:19:08.837 --> 00:19:13.520]  Modern civilization, fertilizers, all of it, medicine work real great when you've got it.
[00:19:13.600 --> 00:19:32.130]  But it is a long chain and any sustained disruption will fry the entire system, which then consolidates power and control for the likes of BlackRock, who openly brag in shareholder documents and others that have come out how great Ebola was when it came out.
[00:19:32.450 --> 00:19:35.372]  And Hunter Biden's company saying, oh, we're going to double our money on this.
[00:19:35.772 --> 00:19:36.853]  And the same thing for COVID.
[00:19:38.271 --> 00:19:49.519]  And then the UN points at the world famine exploding and mass death just accelerating and they say, oh, it was COVID and it was Russia and it was, but it was all the globalists.
[00:19:49.559 --> 00:19:50.399]  It was all the new world order.
[00:19:50.439 --> 00:19:53.741]  It was all their operation that did it.
[00:19:56.363 --> 00:20:00.586]  And so my great frustration is we're not getting there.
[00:20:04.349 --> 00:20:04.709]  We're here.
[00:20:06.561 --> 00:20:07.661]  We're not getting there.
[00:20:08.002 --> 00:20:08.642]  We've arrived.
[00:20:10.003 --> 00:20:11.383]  And I wish we could have stopped this.
[00:20:11.403 --> 00:20:16.225]  I knew they were gonna launch a bio attack to bring out forced inoculations because it was in their documents.
[00:20:16.866 --> 00:20:19.027]  Made prediction after prediction and on record made films about it.
[00:20:19.907 --> 00:20:21.928]  Films seen by 60, 70, 80 million people.
[00:20:22.248 --> 00:20:22.808]  Didn't stop them.
[00:20:24.289 --> 00:20:25.449]  And now we know the next phase.
[00:20:27.050 --> 00:20:33.033]  World economic collapse, civil war, turning the police departments off, letting criminals run around and murder whoever they want.
[00:20:34.672 --> 00:20:40.391]   While the globalists sit in their giant armored fortresses and their huge palatial estates, hundreds of thousands of
[00:20:40.391 --> 00:20:44.162]   acres, with their private security firms and private landing
[00:20:44.162 --> 00:20:47.672]   fields, just enjoying themselves while we all kill each other.
[00:20:47.672 --> 00:20:56.672]  So let me tell you what's going to come next here.
[00:20:56.672 --> 00:21:06.672]  [BLANK_AUDIO]
[00:20:59.443 --> 00:21:25.822]   If the sanctions aren't taken off Russia immediately, And if we don't start buying Russian oil and gas, it will continue to have China and India and hundreds of other countries switch to the ruble, which will then kill the dollar as the world reserve currency and the
[00:21:27.113 --> 00:21:34.615]  BRICS, Belt and Road Initiative Consortium trading system that they're now setting up will be the dominant system.
[00:21:34.655 --> 00:21:36.756]  It already is overnight.
[00:21:38.076 --> 00:21:51.540]  That's how America, after World War II at the Bretton Woods Agreement, they agreed that the world would buy and sell oil and coal and natural gas and the distillates of fossil fuels in the dollar.
[00:21:56.539 --> 00:22:02.484]  And now, the people running things, oh, they've got incompetent Biden and Psaki and them up front, but that's not who's running it.
[00:22:02.724 --> 00:22:05.227]  The people that did this knew damn well what they were doing.
[00:22:07.288 --> 00:22:10.631]  And they guaranteed let old Putin know, hey, you go ahead and do that.
[00:22:12.333 --> 00:22:13.814]  You're going to be sitting in a lot better position.
[00:22:17.777 --> 00:22:24.456]   And so understand the people that run our country are deliberately doing things that
[00:22:24.456 --> 00:22:30.177]   are destroying the value of your money and your investments and your life while they
[00:22:30.177 --> 00:22:35.257]   collapse every other facet of the nation after they de-industrialized us and now they're
[00:22:35.257 --> 00:22:37.655]  shutting off our energy and our pipelines.
[00:22:37.655 --> 00:22:42.976]  Can anybody think about what that spells for us?
[00:22:42.976 --> 00:22:44.417]  The long Venezuelan nightmare.
[00:22:44.736 --> 00:22:47.917]  Venezuela has more oil than anybody in Latin America.
[00:22:48.037 --> 00:22:49.257]  Probably more than the United States.
[00:22:49.277 --> 00:22:50.698]  They're one of the biggest oil producers in the world.
[00:22:51.238 --> 00:22:53.699]  They're in the top five oil-rich nations on Earth.
[00:22:54.079 --> 00:22:58.280]  And they can't even afford gasoline there because the communists stole it all.
[00:22:58.500 --> 00:22:59.581]  And they want people poor.
[00:22:59.781 --> 00:23:00.661]  And they want control.
[00:23:00.701 --> 00:23:03.422]  And they have IMF and World Bank agreements to do that.
[00:23:03.762 --> 00:23:09.524]  And the leaders in their Congress all have giant chateaus in places like Switzerland.
[00:23:11.488 --> 00:23:13.090]  It's done on purpose!
[00:23:14.752 --> 00:23:28.248]  Just like keeping Africa and Latin America locked down for two years and causing mass starvation was under IMF World Bank agreements that came out and then people starve and they flood up here and then they're organized into political groups to then help bring down the United States.
[00:23:28.508 --> 00:23:30.351]  This is a battle plan!
[00:23:33.450 --> 00:23:37.933]  And so if we don't turn this around, when we come back, I'm going to lay out what it's going to look like and what's going to happen.
[00:23:37.973 --> 00:23:48.519]  And again, I'm only telling you this like if you tell somebody, hey, you load that 12 gauge shotgun and you stick it in your mouth and you aim it at the top of your roof of your mouth, you pull the trigger, you're probably going to die or you're going to wish you were.
[00:23:48.539 --> 00:23:50.260]  It's going to blow your brains out the back of your head.
[00:23:52.641 --> 00:23:55.502]  Well, they've shoved the shotgun up in our mouth.
[00:23:57.484 --> 00:23:59.345]  And they're in the process of pulling the trigger right now.
[00:24:00.705 --> 00:24:01.466]  So you think about that.
[00:24:03.499 --> 00:24:06.140]  And this is such a spoiled, demonic, lazy nation on average.
[00:24:06.180 --> 00:24:12.261]  Can you even imagine what it's going to look like when people can't get food or water and can't get transportation?
[00:24:12.281 --> 00:24:17.682]  Well, they're going to scream and yell and beg and say, we'll do anything, just give us money again.
[00:24:17.722 --> 00:24:23.423]  And in comes BlackRock with the world social credit score and the universal basic income and everything else.
[00:24:23.503 --> 00:24:25.864]  And oh, we've got to hold the middle class hostage now.
[00:24:27.424 --> 00:24:33.032]   Now, I'm going to lay out the rest of the really bad news and I'm going to lay out the good news, how we can Stop it!
[00:24:34.092 --> 00:24:37.854]  But only if the people really awaken to the scam and realize what they've been hit by.
[00:24:38.174 --> 00:24:57.319]  There's a very narrow window where the dollar is not completely destroyed and we are not put into a crisis that will make the Great Depression look like a cakewalk because the globalists are doing it on purpose to bring us to our knees and have a communist revolution in America saying capitalism has failed.
[00:24:58.442 --> 00:25:04.843]  The communists, you know, all the lazy punks and everybody are dancing around the streets saying, the end of America is nigh, it's all about to go down.
[00:25:05.343 --> 00:25:05.823]  They know.
[00:25:06.824 --> 00:25:08.644]  Now they believe they're about to be given a bunch of free stuff.
[00:25:09.604 --> 00:25:13.545]  No, they're not going to get any free stuff once this authoritarian revolution takes place.
[00:25:14.885 --> 00:25:22.266]  Because the poison of the takeover was the LGBTP and all the drugs and all of the, you know, bizarreness.
[00:25:23.567 --> 00:25:39.653]   Once the true authoritarianism hits, That's all going to be thrown out the window and the new regime will blame all those people for what happened and persecute them and flush them out and then put competent people in with the new fascist order that's going to be set up.
[00:25:40.233 --> 00:25:45.358]  So we're going to give you full spectrum analysis of where this is going here in just a moment.
[00:25:46.859 --> 00:25:48.921]  Now let me just spend a few minutes on this.
[00:25:50.836 --> 00:26:00.624]  We cannot spend all our time and energy looking at how the globalists have shut down the country and de-industrialized us and just crawl in a hole.
[00:26:00.704 --> 00:26:02.165]  We've got to politically be engaged.
[00:26:02.185 --> 00:26:03.526]  We've got to spiritually be engaged.
[00:26:04.046 --> 00:26:12.433]  We've got to be reaching out and forming alliances and friendships with others and forming communities for this collapse, this organized collapse.
[00:26:13.723 --> 00:26:22.169]  And a lot of people are doing that, and there's been a major instinctive and spiritual discernment to move out of the major cities and get prepared.
[00:26:23.310 --> 00:26:30.676]  So, that's been happening for a long time, and it's really, again, exploded in the last few years.
[00:26:30.776 --> 00:26:38.101]  So, all those preppers and people that told everybody to get ready 25, 30 years ago, have they not been proven right?
[00:26:38.121 --> 00:26:40.203]  Because they saw the preparation to bring down America.
[00:26:40.243 --> 00:26:43.085]  They saw the preparation for gun confiscation and martial law.
[00:26:43.365 --> 00:26:50.887]  They saw the government training manuals that were confirmed to be real about they're going to outlaw constitutionalists and, you know, set up FEMA camps and everything.
[00:26:50.947 --> 00:26:59.770]  So military people particularly that were trained in this went public and good FBI agents and good members of Congress that were read into this went public.
[00:27:00.910 --> 00:27:07.432]  And some were killed and many were in prison and many were bankrupted and sued into oblivion so that we would know this was coming.
[00:27:08.464 --> 00:27:18.348]  So now we've gotten a really good chance to turn this back and stop it because of all of those great people that spread the word for so long.
[00:27:18.368 --> 00:27:28.512]  And of course, much of this audience are people older than I am who've been in the trenches and have been fighting to get the word out about this coming New World Order.
[00:27:28.992 --> 00:27:36.835]  So I salute you and I thank you for what you've done and what you persevered through and the criticism and the ridicule and the attacks.
[00:27:37.515 --> 00:27:41.299]  And the persecution and the demonization, you are trailblazers.
[00:27:42.080 --> 00:27:50.529]  And the only reason we've got hope is because through God inspiring you, through God inspiring you, my children have a chance.
[00:27:53.311 --> 00:27:57.396]  Because we've known this is coming for a long time, ladies and gentlemen, and it's now here.
[00:27:58.789 --> 00:28:01.433]  Toe-to-toe with the globalists with every dirty trick they've got.
[00:28:01.893 --> 00:28:04.016]  Bio-weapons with them posing as the saviors.
[00:28:05.237 --> 00:28:06.639]  Collapsing civilization.
