[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[00:06:58.945 --> 00:06:59.585]  It's Friday, July 29th.
[00:06:59.605 --> 00:07:00.586]  The year is 2022.
[00:07:01.787 --> 00:07:17.626]   It's Friday, July 29th, the year is 2022, and we really hit a nerve with the establishment yesterday.
[00:07:17.880 --> 00:07:30.884]  Scores of New World Order mouthpieces lashed out and said, Alex Jones claims he's Jesus Christ, which couldn't be further from the truth.
[00:07:32.104 --> 00:07:38.646]  I'm a lot closer to the devil than I am to Jesus in my flesh, but in my spirit I want to be Christ-like and I follow Christ.
[00:07:39.567 --> 00:07:56.223]   But what nerve did I hit when I really started pushing Twenty years ago, about endocrine disruptors in the food and water, sterilizing and feminizing men and hyper-feminizing women, and then causing cancer and accelerated aging, they flipped out very early on.
[00:07:56.243 --> 00:07:59.644]  Then of course, the last decade, they've obsessed over it.
[00:07:59.824 --> 00:08:00.784]  And of course, it's all true.
[00:08:00.824 --> 00:08:02.004]  Now it's the top story everywhere.
[00:08:02.024 --> 00:08:03.645]  And they just say, it's irreversible.
[00:08:03.665 --> 00:08:04.865]  Almost everybody's infernal.
[00:08:05.765 --> 00:08:06.945]  The life expectancy is dropping.
[00:08:06.985 --> 00:08:07.505]  Get used to it.
[00:08:08.966 --> 00:08:16.921]   Well, yesterday I talked about Human dominion and human supremacy over the earth.
[00:08:18.481 --> 00:08:24.763]  Because the globalists want to build their AI transhumanist supremacy.
[00:08:24.783 --> 00:08:28.384]  And I said the world's really divided into two camps.
[00:08:29.144 --> 00:08:51.166]   Those that believe in human supremacy as given to us by God in Genesis, and if you don't believe in that, even if you don't believe in that, You're just going to let other humans claim that they have supremacy over you and make you a slave.
[00:08:52.327 --> 00:09:01.934]  That's why the founders, even though some of them didn't believe in God, most of them did, said we're going to say we're endowed by our Creator with certain rights so that there's not a king above that.
[00:09:02.835 --> 00:09:07.899]  By putting God on top, and we're made in the image of God, we put ourselves on top.
[00:09:09.900 --> 00:09:13.267]   So this whole movement is Anti-human.
[00:09:13.647 --> 00:09:17.952]  And that's what Satan is, whether you believe Satan's a real thing or an archetype.
[00:09:18.533 --> 00:09:25.280]  These are manifestations of how humans behave and the different choices that we have in our world.
[00:09:27.182 --> 00:09:36.918]   So at the bottom of the hour, I'm going to try to do a very calm version of the rant I did for 10 minutes that you can see at InfoWars.com.
[00:09:37.038 --> 00:09:41.039]  Alex Jones, the human supremacist legendary speech.
[00:09:41.059 --> 00:09:41.980]  That's what the crew called it.
[00:09:42.680 --> 00:09:49.062]  And I think it really is a legendary speech because it lays down the two choices we have.
[00:09:49.522 --> 00:09:50.702]  We're made in the image of God.
[00:09:50.762 --> 00:09:51.982]  We have divine potential.
[00:09:52.282 --> 00:09:53.423]  We can do incredible things.
[00:09:53.463 --> 00:09:54.763]  We're building a better world.
[00:09:55.123 --> 00:09:58.044]  We're going to go interplanetary, intergalactic, interdimensional.
[00:09:59.301 --> 00:10:05.504]  Or we're just programmable blobs of flesh ruled by our overlords that tell us we don't have free will, even though we do.
[00:10:07.605 --> 00:10:10.306]  So there were a lot of articles, and I was sitting right before I went live.
[00:10:10.326 --> 00:10:13.728]  I almost got late getting on air because I was in my office reading.
[00:10:15.349 --> 00:10:17.890]  And I meant to run in and tell the crew, just type in Alex Jones.
[00:10:19.451 --> 00:10:21.612]  Without even looking this morning, I saw dozens of the articles.
[00:10:21.692 --> 00:10:23.893]  Alex Jones compares himself to Jesus.
[00:10:24.613 --> 00:10:27.455]  Alex Jones goes completely crazy on air.
[00:10:29.093 --> 00:10:30.474]  And talks about human supremacy.
[00:10:30.954 --> 00:10:32.575]  But I didn't compare myself to Jesus.
[00:10:32.655 --> 00:10:36.578]  I said that Christ said we'll be persecuted as He was if we follow Him.
[00:10:37.138 --> 00:10:39.240]  But that on the other side of that is transcendence.
[00:10:40.581 --> 00:10:42.022]  Just basic Christian ethos.
[00:10:44.143 --> 00:10:50.307]  So I'm going to lay this out, as I said at the bottom, at the bottom of the hour.
[00:10:50.327 --> 00:10:52.428]  Maybe you folks in there will print me a few of those articles.
[00:10:52.448 --> 00:10:53.969]  There's so many I forgot to send them to you.
[00:10:55.550 --> 00:11:04.947]   Because it really illustrates how panicked they are That we're pointing out what their cult is and what its ongoing plans for all of us are.
[00:11:05.668 --> 00:11:14.111]  And I've got some real illustrations that tie into all of this that we're going to be laying out as well here today on this live broadcast.
[00:11:15.632 --> 00:11:19.633]  But here's just one example of what I'm talking about.
[00:11:19.733 --> 00:11:20.654]  CBS News.
[00:11:22.735 --> 00:11:24.755]  And I've got one out of New Scientist.
[00:11:26.056 --> 00:11:43.030]   Scientists have created reanimated Necrobots that were formerly spiders that can lift 100 times their weight and are being programmed to go out and carry out missions.
[00:11:44.511 --> 00:11:50.557]  Now, imagine if I was just reading a research paper, which I read years ago about these developments and I did talk about it.
[00:11:51.257 --> 00:11:52.418]  They'd say, Jones is insane.
[00:11:52.438 --> 00:11:53.980]  He says they're creating zombie spiders.
[00:11:55.575 --> 00:12:05.638]  And I'm sure today when I do a whole breakdown of it, the establishment will clip it out, edit out where I show this is being done, the video, the articles, and they'll just say, he's insane.
[00:12:06.019 --> 00:12:08.159]  He says they're creating zombie robot spiders.
[00:12:11.120 --> 00:12:12.301]  And then why would they do that?
[00:12:12.361 --> 00:12:18.463]  Why would they, out of one side of their mouth, admit they're doing it, but on the other side, attack yours truly?
[00:12:21.238 --> 00:12:26.879]  And the answer is, they want to precondition you that it's a joke as they roll it out against you.
[00:12:27.959 --> 00:12:29.499]  Ha ha ha, Stephen Colbert!
[00:12:31.920 --> 00:12:39.181]  Jimmy Kimmel and all of them said in the last decade, Alex Jones is crazy, he thinks they're putting chemicals in the water that turn the frogs gay.
[00:12:39.281 --> 00:12:40.601]  Ha ha ha ha ha!
[00:12:41.041 --> 00:12:42.622]  Even though that's exactly what they're doing.
[00:12:42.642 --> 00:12:46.182]  Doesn't really turn them gay, it feminizes them and sterilizes them.
[00:12:48.443 --> 00:12:56.368]   So that's just one article Necrobot, that means dead creatures that are now robots.
[00:12:56.528 --> 00:13:04.554]  That's not a Star Trek episode where we are the Borg, you will be assimilated, resistance is futile.
[00:13:07.316 --> 00:13:08.316]  This is 2022, robot spiders.
[00:13:12.270 --> 00:13:15.013]  And again, I told you this not to act impressive.
[00:13:15.693 --> 00:13:16.774]  It wasn't that impressive.
[00:13:17.495 --> 00:13:20.658]  It was an industrial level operation in the early 1980s.
[00:13:22.591 --> 00:13:41.582]  Where pioneering oral surgeons and dentists, like my father, who were the first doing dental implants, were approached to go work at Site R in Maryland, underground, where they would work several months underground, and then a month out, several months underground, a month out.
[00:13:41.902 --> 00:13:46.085]  And I sat there, around the corner, my parents stayed late at the dinner table.
[00:13:47.850 --> 00:14:17.263]   And I learned that when I got done eating they'd sit at the dinner table sometimes for an hour drinking coffee or tea and talk about things and I many times sat around the corner listening to things I shouldn't have listened to and I since talked about that about it years later and he said it wasn't a big deal they got approached by the CIA and my dad as a Baylor medical school professor had done work for the CIA, but only because they had chosen
[00:14:17.263 --> 00:14:22.454]   that facility to have CIA officials have their dental work done because they'd have armed
[00:14:22.454 --> 00:14:24.944]   people in the room when they were doing the dental work.
[00:14:24.944 --> 00:14:25.944]  So they knew my dad, he'd done a lot of dental work.
[00:14:25.944 --> 00:14:27.864]  I'm a deputy director and people like that.
[00:14:27.864 --> 00:14:30.424]   And we had some family that had been to the CIA, so that's probably why they chose him
[00:14:30.424 --> 00:14:31.904]  to be their dentist.
[00:14:31.904 --> 00:14:34.784]   But he was trying to convince my mom because he wanted to do it.
[00:14:35.031 --> 00:14:37.092]  And plus it was like $400, $500,000 a year.
[00:14:37.152 --> 00:14:39.154]  Back then that'd be like $3, $4 million a year.
[00:14:40.014 --> 00:14:40.915]  He said, I want to go do it.
[00:14:40.935 --> 00:14:41.415]  It's exciting.
[00:14:41.435 --> 00:14:42.136]  She goes, well, what is it?
[00:14:42.156 --> 00:14:43.457]  He goes, well, I can't tell you, Carol.
[00:14:43.477 --> 00:14:44.858]  You know, it's classified.
[00:14:44.898 --> 00:14:47.260]  They haven't told me everything, but it's cybernetics.
[00:14:47.600 --> 00:14:48.260]  It's cyborgs.
[00:14:48.741 --> 00:14:57.287]  He goes, I'd imagine, you know, they kind of let me know they were going to be implanting volunteer soldiers and spies with things.
[00:14:58.533 --> 00:15:00.895]  Since I'm good at implanting things in bone, they told me.
[00:15:01.395 --> 00:15:03.437]  And he said, first we'll be practicing on animals.
[00:15:04.798 --> 00:15:11.383]  But there's a large project, and he said, you know, they've already recruited doctors such and such and such and such and such.
[00:15:11.423 --> 00:15:34.278]   So in like 1982 or three, I forget the exact year, maybe it was about 84, I'm around the corner listening to a 20-minute conversation about underground bases and cyborgs and how they were already recruiting dozens of Dallas Oral surgeons to be part of the project and that they wanted basically my dad to lead part of it in some expansion.
[00:15:34.939 --> 00:15:35.839]  And that's all they told him.
[00:15:36.980 --> 00:15:40.141]  But see, you know, you tell stories like that it sounds crazy, but now it's all out in the open.
[00:15:40.542 --> 00:15:51.227]  And if you think they were implanting soldiers with secret technology in 1984 at underground bases in Maryland, folks, what do you think they're doing now?
[00:15:54.089 --> 00:15:58.093]   What do you think They're doing now.
[00:15:59.934 --> 00:16:00.814]  We're not in the year 2022.
[00:16:00.894 --> 00:16:03.576]  We're like in the year 2050, technologically.
[00:16:03.596 --> 00:16:09.399]  And they're about to roll out this whole separate civilization, this breakaway civilization against us.
[00:16:09.639 --> 00:16:11.100]  And that's what everything's really about.
[00:16:11.300 --> 00:16:13.041]  This civilization, as you know, it's gone.
[00:16:16.562 --> 00:16:25.627]  But we chose to let our problems multiply because we're faithfully pursuing a policy of truth.
[00:16:27.486 --> 00:16:31.488]  And that's why they spend all their time trying to say we're wrong, we lie.
[00:16:31.508 --> 00:16:36.251]  They try to pick a few things we didn't get exactly right, or we question, so we're the devil.
[00:16:37.632 --> 00:16:42.774]  Because they want the power to silence your speech and what you're allowed to read, watch, or listen to.
[00:16:42.794 --> 00:16:46.156]  They're trying to control our reality.
[00:16:46.176 --> 00:16:51.819]  All right, let me just hit what's coming up today, because it's just an incredible time to be alive.
[00:16:52.620 --> 00:17:01.217]   Big tech is censoring Even mainline economists that say we're officially in a recession, even though we're officially in a recession.
[00:17:03.940 --> 00:17:05.341]  Think of the level of that gaslighting.
[00:17:05.381 --> 00:17:06.402]  Got a big stack on that.
[00:17:07.943 --> 00:17:14.128]  Had incredible announcements on the COVID front with them announcing, I told you it would happen.
[00:17:14.548 --> 00:17:19.828]   I told you this three years ago or 32 months ago, over two and a half years ago,
[00:17:19.828 --> 00:17:26.868]   is they have a similar virus that attacks chickens and other fowl, other poultry.
[00:17:26.868 --> 00:17:36.387]   And once they keep giving the chickens or the ducks or the turkeys these shots,
[00:17:36.387 --> 00:17:43.469]   because they stopped working, they then give them this super shot
[00:17:44.469 --> 00:17:49.388]   that totally changes their entire physiology and they basically become these bloated mutants
[00:17:49.388 --> 00:17:51.189]  full of tumors.
[00:17:51.189 --> 00:17:58.646]   This particular name for the vaccine induced disorder There's actually several big disorders.
[00:17:59.447 --> 00:18:09.731]  Well, I told you, if you take five or six of the first mutagenic shots, then they have a super shot that mutates you and makes all your joints basically double in size.
[00:18:11.212 --> 00:18:19.896]  And sure enough, they've announced a super shot that will fix everything because the other shot didn't work and erased your immune system.
[00:18:21.192 --> 00:18:24.013]  Biden administration unveil reformulated booster shot.
[00:18:24.293 --> 00:18:26.133]  Australia's calling it a super shot.
[00:18:27.313 --> 00:18:29.194]  This one shot will now suddenly work.
[00:18:29.214 --> 00:18:30.154]  The first four or five didn't.
[00:18:30.894 --> 00:18:33.315]  Biden administration unveil reformulated booster shot.
[00:18:35.855 --> 00:18:38.976]  We've got a bunch of compilations of Fauci and Bricks flip-flopping.
[00:18:42.597 --> 00:18:46.178]  Anthony Fauci is still funding China's military-run labs with U.S.
[00:18:46.218 --> 00:18:46.998]  taxpayer money.
[00:18:48.516 --> 00:18:51.138]  While the Biden administration accuses China of creating the virus.
[00:18:51.678 --> 00:18:53.800]  So you got censored for two and a half years for saying that.
[00:18:55.021 --> 00:18:56.922]  But now Biden's openly accusing China.
[00:18:58.483 --> 00:18:59.424]  They're accusing the U.S.
[00:18:59.464 --> 00:19:00.004]  military.
[00:19:00.484 --> 00:19:01.325]  It is man-made.
[00:19:01.885 --> 00:19:05.928]  But then we're still told, but for you, you can't say, oh, you were right.
[00:19:06.248 --> 00:19:06.909]  You were vindicated.
[00:19:06.929 --> 00:19:07.249]  No, no, no.
[00:19:07.289 --> 00:19:08.170]  You're still censored.
[00:19:09.711 --> 00:19:11.432]  As a general public, if you point that out.
[00:19:12.662 --> 00:19:19.366]  Rand Paul is up on Infowars.com has congratulated Biden for achieving real immunity after he's already had COVID three times in four shots.
[00:19:20.707 --> 00:19:23.769]  But if he hadn't taken the shots, he would have already gotten real immunity.
[00:19:24.770 --> 00:19:31.955]  Meanwhile, Tour de France cyclist who quit race says many people are suffering from breathing problems because they've been vaccinated and heart attacks.
[00:19:33.933 --> 00:19:36.814]  That's just a small smattering of the news.
[00:19:37.035 --> 00:19:38.175]  I kind of just got into that.
[00:19:38.235 --> 00:19:51.622]  But look at all the dehumanization news we're going to hit that ties in to whether we're going to have globalist AI supremacy or God-given Genesis supremacy.
[00:19:52.463 --> 00:19:55.584]  German cities turn off hot water, cut lighting at government buildings.
[00:19:56.044 --> 00:19:57.485]  Israel bans use of cash.
[00:19:58.246 --> 00:19:58.866]  Cash is banned.
[00:19:59.923 --> 00:20:01.124]  You will own nothing and be happy.
[00:20:01.184 --> 00:20:05.626]  PSA's being announced everywhere, including the school children, that you won't own a house, a car, anything.
[00:20:05.666 --> 00:20:06.487]  A new system's here.
[00:20:07.067 --> 00:20:09.448]  We're in a beautiful transition, you know, the collapse.
[00:20:09.949 --> 00:20:13.090]  World Economic Forum calls for an end of personal vehicle ownership.
[00:20:13.871 --> 00:20:17.793]  And now, I told you this was coming 20 years ago, because I could see where they were headed.
[00:20:19.854 --> 00:20:24.517]  Australia is now moving to make you wear a helmet to walk.
[00:20:26.298 --> 00:20:28.479]  They've already started saying no helmet, no running.
[00:20:31.135 --> 00:20:44.182]  But now they're saying they're going to start fitting children with helmets that, oh, because it might save a life, also have VR goggles that are AI that the system can hit a button and make the children go under VR control.
[00:20:44.822 --> 00:20:45.422]  That's been announced.
[00:20:46.143 --> 00:20:48.664]  They're going to fit them with VR helmets by law.
[00:20:49.795 --> 00:20:51.456]  So, that's the next phase of that.
[00:20:52.177 --> 00:20:58.681]  This is all happening, it's all rolling out, it's all being done to suck you out of reality and force you finally into the Matrix.
[00:20:59.441 --> 00:21:07.987]  Which is the final goal, a total 3D immersion Matrix to try to trick you into giving up your soul to these people.
[00:21:09.088 --> 00:21:10.589]  All joggers must wear a helmet.
[00:21:11.089 --> 00:21:12.070]  No helmet, no run.
[00:21:13.015 --> 00:21:17.797]  First they lock you down for a couple years with the COVID hysteria, and they go, oh, it's really to save the earth.
[00:21:18.538 --> 00:21:20.159]  And you got to wear helmets everywhere you go.
[00:21:20.399 --> 00:21:27.062]  Oh, and now we're going to make the children at public schools and elsewhere wear VR goggles in school.
[00:21:27.102 --> 00:21:30.323]  And then, oh, you got to wear them all the time for your safety.
[00:21:30.343 --> 00:21:33.685]  Because I told you years ago, they're going to make you wear a helmet to leave your house.
[00:21:33.705 --> 00:21:34.986]  You'd laugh, but now.
[00:21:36.266 --> 00:21:37.567]  Here it is.
[00:21:37.627 --> 00:21:38.928]  We've got that information.
[00:21:39.368 --> 00:21:45.172]  Mother loses custody of daughter for refusing transgender status, saying she's a girl right here in America.
[00:21:46.252 --> 00:21:47.253]  That all ties together.
[00:21:48.293 --> 00:21:53.677]  We have so much to get into on the military front that nobody's giving any coverage to now.
[00:21:54.077 --> 00:22:00.581]  In Ukraine, and China's heating up big time, China's army chief says, get ready for war.
[00:22:03.323 --> 00:22:03.823]  Over U.S.
[00:22:03.863 --> 00:22:04.764]  visit to Taiwan.
[00:22:05.816 --> 00:22:08.998]  That ties into Nancy Pelosi's visit and so much more.
[00:22:09.118 --> 00:22:13.440]  And Trump is really starting to get hardcore.
[00:22:14.021 --> 00:22:21.825]  On one side he's exposing pedophile rings and the Democratic Party are a bunch of pedophiles calling him sickos, pushing sexual content to kindergartners.
[00:22:22.505 --> 00:22:24.206]  He's come out and said nobody's gotten to the bottom of 9-11.
[00:22:24.306 --> 00:22:27.448]  He said there were bombs in the building two days after it happened.
[00:22:29.005 --> 00:22:29.686]  He's a smart guy.
[00:22:30.446 --> 00:22:38.973]  But similarly, though, he's done a lot of other really good things, exposing the open border and bad trade deals.
[00:22:39.774 --> 00:22:41.815]  But he's still pushing that poison shot.
[00:22:42.196 --> 00:22:47.260]  Even when Burks, his own top advisor, says, we knew it wouldn't work, but we told Trump it would.
[00:22:47.540 --> 00:22:50.542]  She admits, we knew it wouldn't work, but we told him it would.
[00:22:50.943 --> 00:22:52.484]  And so he listened to his science advisors.
[00:22:52.724 --> 00:22:57.608]  You got 20 doctors in the room, and you're somebody like Trump, you know, 77 years old or whatever he is.
[00:22:58.709 --> 00:23:00.330]  Especially old-timers believe doctors.
[00:23:01.111 --> 00:23:07.615]  So, I mean, I'll give a pass on being conned, but man, I'm not gonna give Trump a pass if he doesn't start coming out against this now.
[00:23:07.655 --> 00:23:10.858]  He should say, I was conned, I was manipulated, they lied.
[00:23:11.058 --> 00:23:16.001]  Because it's coming out that the shots don't help you and erase your immune system and really hurt you.
[00:23:16.442 --> 00:23:21.886]  So, this is a real deal killer for me.
[00:23:22.956 --> 00:23:28.659]  If Trump doesn't do what Bolsonaro did, he didn't support the shots, he just allowed it.
[00:23:29.300 --> 00:23:36.504]  He says, I apologize, it should have been outlawed, they were experimental, they've hurt and maimed and killed a lot of people, I apologize, I was lied to.
[00:23:37.124 --> 00:23:37.605]  Yes!
[00:23:38.205 --> 00:23:39.686]  That's the manly thing to do.
[00:23:40.106 --> 00:23:41.007]  That's leadership.
[00:23:41.527 --> 00:23:47.831]  Admit he was conned, not one-tenth as bad as Trump, and come out and deal with it, and then start saving people!
[00:23:49.622 --> 00:23:53.350]  Because if you were lied to and you're wrong, it's okay to change course.
[00:23:53.550 --> 00:23:58.840]  But then once you learn you're wrong, once you learn you got conned, now you become a party to it.
[00:24:00.106 --> 00:24:01.507]  Now you're aiding and abetting it.
[00:24:02.087 --> 00:24:04.148]  That's why when we're wrong, folks, we're the first to say it.
[00:24:04.408 --> 00:24:05.429]  Alex Jones is not always right.
[00:24:05.669 --> 00:24:11.932]  We try to be right, we have one of the best records of being right, and we're major trailblazers, and have broken tens of thousands of incredible stories.
[00:24:12.452 --> 00:24:20.436]  But we are wrong sometimes, and when we are, we admit to it, because that's all we've got is our credibility, not in front of the public, but in front of God.
[00:24:21.297 --> 00:24:23.238]  That's my audience one.
[00:24:24.824 --> 00:24:29.367]  You know, I'm going to get into human supremacy and what that really means next segment.
[00:24:29.387 --> 00:24:31.087]  It's the longest segment of the hour.
[00:24:31.107 --> 00:24:44.035]  I'm going to hit some other news dealing with the gaslighting and the great reset collapse of the human supporting infrastructure on this planet first and how that ties together with the master plan for the next segment.
[00:24:44.995 --> 00:24:48.457]  But first off, let me just say something here.
[00:24:49.357 --> 00:25:00.600]   I've had friends and family and people on the street Really support us during all this kangaroo court persecution that's going on.
[00:25:02.221 --> 00:25:13.806]  And I have had the staff at the courthouse tell me, almost all of them I walk by and talk to, we appreciate you.
[00:25:13.846 --> 00:25:14.847]  We understand what's happening.
[00:25:15.167 --> 00:25:15.887]  This is wrong.
[00:25:16.268 --> 00:25:16.988]  We're ashamed.
[00:25:18.189 --> 00:25:20.170]  They fist bump us and my crew.
[00:25:21.110 --> 00:25:37.223]   When I go to the little cafe next door, During a break, they give us free food and waitresses kiss us on the cheeks and say, hey, that New York Times reporter came over and asked me if we were drinking alcohol.
[00:25:37.263 --> 00:25:38.124]  I told her you weren't.
[00:25:38.804 --> 00:25:41.325]  I mean, it's like Fight Club where it's on.
[00:25:41.766 --> 00:25:43.366]  I'm at the grocery store yesterday.
[00:25:43.847 --> 00:25:44.847]  Shaked 20 hands.
[00:25:45.327 --> 00:25:46.688]  Probably walked by 50 people.
[00:25:47.248 --> 00:25:49.269]  They all said, we're so sorry for what's happening.
[00:25:49.309 --> 00:25:49.870]  It's wrong.
[00:25:50.570 --> 00:25:51.230]  Keep fighting.
[00:25:51.731 --> 00:25:52.491]  How do you take it?
[00:25:53.251 --> 00:25:56.893]  I had crew members, like a bunch of them coming to my office this morning and hug me.
[00:25:57.794 --> 00:25:59.034]  I had Owen come in here and hug me.
[00:26:01.035 --> 00:26:02.256]  And say a lot of people are praying for us.
[00:26:02.316 --> 00:26:04.357]  And I looked at Owen right before I went on the air today.
[00:26:05.557 --> 00:26:08.902]   And I said, Owen, We knew this was coming.
[00:26:09.302 --> 00:26:10.803]  This is a sign of our success.
[00:26:11.464 --> 00:26:13.785]  What's happening to us is nothing.
[00:26:16.527 --> 00:26:28.696]  In the big picture, you understand they're giving millions of six-month-old babies and up an experimental deadly shot we know destroys their immune system for life and causes cardiovascular problems and sterilization.
[00:26:28.716 --> 00:26:31.078]  I have stacks of news admitting it today, major studies.
[00:26:32.559 --> 00:26:42.932]   What I have nightmares about What stresses me out and what greys my hair is knowing I've got four children in this world and I have a responsibility to fight them.
[00:26:43.653 --> 00:26:45.213]  The globalists try to shut us down.
[00:26:46.194 --> 00:26:48.575]  The globalists try to put me in prison with the January 6th Committee.
[00:26:49.855 --> 00:26:53.857]  The globalists trying to put me on the street.
[00:26:54.037 --> 00:26:56.058]  That means nothing.
[00:26:56.378 --> 00:27:08.433]   I mean, do you understand how much I would love to drive a tractor and shred And bale hay and feed cows and ride horses and live in a trailer?
[00:27:09.314 --> 00:27:16.837]  You know how relaxing it is in a single wide little trailer with your family up on a hill overlooking beautiful oak trees and pine trees?
[00:27:17.837 --> 00:27:25.180]  You know how good it is to climb up on the back of your horse and ride out and check the cattle and check the fences where your ancestors have done it for 200 years?
[00:27:27.581 --> 00:27:29.922]  That's my pain is not being on the ranch.
