[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[00:06:51.608 --> 00:06:52.908]  The wheels are coming off.
[00:06:53.748 --> 00:06:56.029]  The House of Cards is collapsing.
[00:06:56.509 --> 00:07:02.251]  The New World Order is in deep, deep, deep, deep trouble.
[00:07:03.051 --> 00:07:04.672]  They knew their system was going down.
[00:07:05.493 --> 00:07:07.715]  You better know these people aren't going to give up.
[00:07:08.735 --> 00:07:10.817]  And they're going to stage false flags and blame it on people.
[00:07:11.317 --> 00:07:13.479]  And they're going to go blow up and shoot up black churches.
[00:07:13.839 --> 00:07:15.160]  And they're going to start war with Russia.
[00:07:15.520 --> 00:07:23.386]  And they're going to try to gut our economy as fast as they can because they know they're going down and they want to take us down with them.
[00:07:23.966 --> 00:07:27.689]  Here we are on the edge of thermonuclear war.
[00:07:29.570 --> 00:07:42.866]   When I saw this quote this morning, In the Daily Mail, I had trouble believing it so I went and searched some of the quotes and found it nowhere else in the Western news.
[00:07:44.787 --> 00:08:17.573]   So then our crew spent some time and found it in Russian and we checked it and had it translated and indeed we found a version that has subtitles where Vladimir Putin, the President of Russia, has threatened nuclear war and said within the blinking of an eye He says, you won't have time to blink your eye if NATO continues its Article 5 takeover, I've got the quotes right here in the video, of Ukraine in this proxy war, we're going to basically stop you.
[00:08:18.634 --> 00:08:19.354]  He's been very clear.
[00:08:19.875 --> 00:08:21.035]  And that's what the troops are there for.
[00:08:21.635 --> 00:08:32.021]  He has no intention of invading if they don't take over the country, which the West already has a lot of troops and weapons, and there's been a long time six-year proxy war going on in the East.
[00:08:33.615 --> 00:08:34.976]  Which is almost 100% Russian.
[00:08:36.596 --> 00:08:41.876]   So the headlines are all about Russia makes a fool of Macron by denying that Putin agreed to deal.
[00:08:41.876 --> 00:08:51.876]  But that's not what the headline really should state.
[00:08:52.048 --> 00:08:55.290]  Infowars got the headline right when we took the quote and posted it.
[00:08:55.729 --> 00:09:01.249]   Vladimir Putin warns a nuclear war could break out if Ukraine joins NATO.
[00:09:01.249 --> 00:09:08.929]  You don't have to believe me though.
[00:09:08.400 --> 00:09:11.222]  You can hear it directly from Putin.
[00:09:11.342 --> 00:09:12.843]  I'm, again, going to put this on screen.
[00:09:12.863 --> 00:09:14.244]  It's got subtitles for TV viewers.
[00:09:14.624 --> 00:09:22.409]  But for radio listeners, we're going to start and stop it so that everybody can really get an idea of what's unfolding here, because this is a big deal.
[00:09:23.009 --> 00:09:25.991]  This isn't invading some Middle Eastern country that doesn't have high-tech weapons.
[00:09:26.672 --> 00:09:30.114]  This isn't the regular globalist operations.
[00:09:30.154 --> 00:09:35.878]  This is potentially end-of-the-world-type stuff that is unfolding right now.
[00:09:37.597 --> 00:09:45.622]  So let's go ahead and roll that video of Putin.
[00:09:46.643 --> 00:09:48.224]  Take the cube down for me a second, Rita, please.
[00:09:49.284 --> 00:09:53.804]   I've been saying it, but I very much want you to finally hear me
[00:09:53.804 --> 00:09:57.524]  and deliver it to your audience in print, TV and online.
[00:09:57.524 --> 00:10:05.683]   I would like you to hear me, and deliver it to your readers and users on the Internet.
[00:10:05.683 --> 00:10:19.444]   Do you understand or not that if Ukraine joins NATO and attempts to bring Crimea back by military means,
[00:10:19.444 --> 00:10:23.363]   the European countries will be automatically pulled into a war?
[00:10:23.240 --> 00:10:25.240]  in conflict with Russia.
[00:10:25.240 --> 00:10:36.240]   Of course, NATO and Russia potentials are incomparable.
[00:10:36.240 --> 00:10:38.240]  We understand.
[00:10:38.240 --> 00:10:42.040]   NATO organization and Russia are not compatible. We understand.
[00:10:42.077 --> 00:10:42.737]  We understand it.
[00:10:43.017 --> 00:10:46.798]  But we also understand that Russia is one of the leading nuclear states.
[00:10:48.239 --> 00:10:52.460]  And by some modern components, it even outperforms many.
[00:10:52.560 --> 00:10:53.400]  There will be no winners.
[00:10:53.660 --> 00:10:55.281]  I'm going to pause there.
[00:10:55.100 --> 00:11:02.100]  There will be no winners.
[00:11:02.100 --> 00:11:09.980]   So he just threatened to use their hypersonic cruise missiles and ballistic missiles.
[00:11:09.987 --> 00:11:12.928]  And of course, the United States has even stuff more advanced than secret.
[00:11:13.008 --> 00:11:15.009]  But the point is, is that it doesn't matter.
[00:11:15.049 --> 00:11:15.849]  It's nuclear weapons.
[00:11:16.729 --> 00:11:22.431]  And they've got Russian suicide soldiers with suitcase nukes already in Europe and all over the place.
[00:11:22.851 --> 00:11:29.133]  Doesn't matter if space-based systems shoot down the Russian ballistic missiles or submarine launch missiles.
[00:11:29.513 --> 00:11:30.214]  It doesn't matter.
[00:11:30.574 --> 00:11:31.554]  The nukes are all over the place.
[00:11:32.699 --> 00:11:33.299]  Make no mistake.
[00:11:34.340 --> 00:11:34.941]  Make no mistake.
[00:11:36.101 --> 00:11:38.603]  And the United States has suicide troops as well all over the place.
[00:11:39.123 --> 00:11:40.624]  So this is not a good situation.
[00:11:40.965 --> 00:11:43.006]  And they're collectively bringing us all towards suicide.
[00:11:43.026 --> 00:11:43.847]  Let's go back to Putin.
[00:11:45.848 --> 00:11:47.149]  But we also understand...
[00:11:51.451 --> 00:11:54.315]  And by some modern components, it even outperforms many.
[00:11:54.335 --> 00:12:00.023]  There will be no winners.
[00:12:01.645 --> 00:12:09.966]  and you will be pulled into this conflict against your will.
[00:12:09.966 --> 00:12:16.125]   We won't even have time to blink your eye when you execute Article 5 collective defense of NATO members.
[00:12:16.311 --> 00:12:18.132]  But your President Macron, of course, doesn't want this.
[00:12:17.991 --> 00:12:25.991]  Mr. President, of course, doesn't want this.
[00:12:25.991 --> 00:12:36.991]  And I don't want it.
[00:12:36.991 --> 00:12:48.870]   And I don't want it, which is why he is here, touring with me for six straight hours.
[00:12:48.825 --> 00:12:57.290]  This is torturing me for six straight hours trying to get him to not go to war.
[00:12:57.411 --> 00:12:59.212]  So, there you have it.
[00:12:59.232 --> 00:13:01.293]  Let's go ahead since I ran through that.
[00:13:02.331 --> 00:13:03.892]  I want to stress this once again.
[00:13:03.912 --> 00:13:12.358]  I said it, but I'd like you to hear me, after all, and to convey it to your readers, viewers and users on the Internet.
[00:13:12.197 --> 00:13:22.197]   I would like you to hear me out and to convey this message to your readers and users on the Internet.
[00:13:22.197 --> 00:13:30.197]   Do you understand that if Ukraine joins NATO and returns Crimea by military means,
[00:13:30.197 --> 00:13:36.197]   European countries will automatically be drawn into a military conflict with Russia?
[00:13:36.197 --> 00:13:38.197]  Of course.
[00:13:37.612 --> 00:13:42.415]  Of course, the potential of the United Nations and Russia is indisputable.
[00:13:42.736 --> 00:13:43.536]  We understand.
[00:13:43.556 --> 00:13:47.179]  We also understand that Russia is one of the leading nuclear powers.
[00:13:47.219 --> 00:13:49.841]  In some aspects, even today, it is ahead of many.
[00:13:49.861 --> 00:13:51.823]  There will be no winners.
[00:13:51.923 --> 00:13:56.987]  And you will be drawn into this conflict, in addition to your will.
[00:13:59.355 --> 00:14:03.278]  So does Putin look cocky when he gets up there?
[00:14:03.299 --> 00:14:03.379]  No.
[00:14:03.218 --> 00:14:05.218]  the example of the Rome Treaty.
[00:14:05.218 --> 00:14:07.218]  The President, of course, doesn't want to develop it.
[00:14:07.218 --> 00:14:09.218]  And I don't want to.
[00:14:09.218 --> 00:14:11.218]  And I don't want to.
[00:14:11.218 --> 00:14:16.218]   That's why he's here and he's been torturing me for six hours in a row.
[00:14:16.218 --> 00:14:19.218]  So does Putin look cocky when he gets up there? No.
[00:14:19.218 --> 00:14:23.218]   He just comes up, matter of fact, like he's somebody in front of a firing squad
[00:14:23.218 --> 00:14:26.218]  and says, "You've already started a war in Ukraine.
[00:14:26.218 --> 00:14:28.218]  You've already moved your troops in.
[00:14:28.218 --> 00:14:30.218]  You're already bringing in heavy weapons.
[00:14:30.218 --> 00:14:38.218]   And if you accelerate your attacks on eastern Russia, I mean on eastern Ukraine,
[00:14:38.218 --> 00:14:41.218]  we're going to move military against that.
[00:14:41.218 --> 00:14:43.218]  And we're in the blink of an eye.
[00:14:43.218 --> 00:14:47.698]  Europe's gonna be drug into a nuclear war.
[00:14:48.133 --> 00:14:53.517]  Now what did I tell you back in October to show you who is behind this, the globalists?
[00:14:54.952 --> 00:15:18.904]  That high level sources in the Pentagon and at the highest levels of industry said that they have been told by late January through February is the battle plan time when they believe war is going to start because NATO is going to openly accelerate the conflict and expand into Ukraine.
[00:15:19.704 --> 00:15:21.845]  And I said that back then and here you are.
[00:15:25.000 --> 00:15:29.001]  And these are high-level folks who don't like what's happening.
[00:15:30.401 --> 00:15:34.842]  Because they'd rather have businesses and, you know, build a future and have families.
[00:15:36.302 --> 00:15:39.503]  But for the globalists, it's all about world domination.
[00:15:39.342 --> 00:15:43.342]  So that's where we are in 2022 on February 8th.
[00:15:43.342 --> 00:15:52.342]  And the globalist propagandists have set it up.
[00:15:52.361 --> 00:16:04.324]  Where if they continue to attack the Russians, and the Russians show footage of how they're being attacked, and as the campaigns escalate, then they will say, oh, it's a fake movie, oh, Russia attacks itself.
[00:16:04.805 --> 00:16:06.305]  That tells you all you need to know.
[00:16:06.365 --> 00:16:14.867]  Now, Joel Skousen is a really good geopolitical analyst, and he has his own views of Russia, and a lot of what he has said has turned out to be true.
[00:16:14.887 --> 00:16:26.870]   Remember when on my show, 20 years ago, predicting that by around this time, In the early 2020s and the mid 2020s, we would see the West pushing China and Russia into war.
[00:16:26.910 --> 00:16:27.991]  And now you see that happening.
[00:16:28.031 --> 00:16:30.253]  You see Xi Jinping and Putin being brought together.
[00:16:30.913 --> 00:16:33.235]  So this isn't about whose side you're on, folks.
[00:16:33.255 --> 00:16:35.717]  It's about not wanting to have a nuclear war.
[00:16:36.178 --> 00:16:40.941]  And you just saw the president of the second largest nuclear power in the world threaten nuclear war.
[00:16:42.102 --> 00:16:43.664]  End of the world alert!
[00:16:45.365 --> 00:16:47.607]  End of civilization as we know it alert!
[00:16:51.135 --> 00:16:56.977]  Vladimir Putin officially threatens to use nuclear weapons against Europe if NATO continues takeover of Ukraine.
[00:16:56.997 --> 00:17:10.322]  In an official press conference, Putin threw down the gauntlet, warning the West if NATO invokes Article 5 and absorbs Ukraine into NATO, within a blink of an eye, he said, the West will see a massive military response.
[00:17:11.062 --> 00:17:19.325]  Then he says NATO has the force to crush Russia with conventional weapons and he will use nuclear weapons and that he will strike Western Europe.
[00:17:20.948 --> 00:17:24.029]  Now, let me break down the timetable on this, if this starts.
[00:17:25.970 --> 00:17:41.517]  When the Russians get overwhelmed by the NATO forces arrayed against them and all that heavy weapons and high-tech weapons, Putin is saying that they're going to use tactical nuclear weapons in theater against those forces.
[00:17:43.058 --> 00:17:44.779]  That'll happen within about 10 minutes.
[00:17:48.040 --> 00:17:50.201]  At that point, the orders will go out.
[00:17:51.711 --> 00:17:58.510]   and cruise missiles all over Europe, hypersonic, will be fired at Russian military bases.
[00:17:58.510 --> 00:18:02.070]   Once the Russians make the decision to use tacticals, they'll have all their submarines
[00:18:02.070 --> 00:18:07.750]   surfacing, their cruise missiles ready, their ICBMs ready, and the minute they detect with
[00:18:07.750 --> 00:18:13.391]   their radar and satellites, Western missile launches, they will have a total commitment
[00:18:13.391 --> 00:18:14.911]  release of their weapons.
[00:18:14.913 --> 00:18:22.517]  Their submarines will come up off our coast, they will vaporize Manhattan, Los Angeles, all of the Russian cities will be vaporized as well.
[00:18:22.937 --> 00:18:24.518]  Western Europe will be vaporized.
[00:18:27.579 --> 00:18:38.685]  Where I live in Austin, Texas, we'll have MIRV-tipped missiles open, coming back into the atmosphere, launching dozens of warheads at military targets all over Central Texas.
[00:18:41.158 --> 00:18:53.564]  Most of us will just get knocked down and maybe the roof cave in on you but when you come outside you'll be breathing all that delicious radiation and of course the power won't be coming back on for years if you're lucky.
[00:18:54.504 --> 00:18:59.587]  So that's where we are and we're an evil decadent satanic society and I guess it's time to die.
[00:19:02.228 --> 00:19:02.708]  I mean really.
[00:19:04.669 --> 00:19:08.671]  And that's the level of brinksmanship that's going on right now.
[00:19:09.995 --> 00:19:28.541]  So in the time it takes you to load your children in the car and drive to the school five miles away, and then drive to your work 15 minutes away, and then go walk into your office and sit down at your computer, in 25 minutes, the world as we know it will be over once this starts.
[00:19:31.502 --> 00:19:35.043]  We won't hear about it for five, 10 minutes, if I was live on air when it went down.
[00:19:35.503 --> 00:19:41.825]   I would not have time to get in my car and go get my four-year-old daughter Before the mushroom clouds start.
[00:19:42.045 --> 00:19:43.086]  Before the shockwaves hit.
[00:19:44.007 --> 00:19:48.709]  Before the airburst hydrogen bombs detonated 2,000 feet in the air.
[00:19:53.452 --> 00:19:54.792]  And there goes your Netflix!
[00:19:57.954 --> 00:19:59.035]  And you ask, why does this happen?
[00:19:59.295 --> 00:20:08.227]   Because the type of psychotics that get in control over history Want global domination, ladies and gentlemen.
[00:20:08.387 --> 00:20:19.933]  Yeah, what do you think all those destroyers and missile cruisers are doing driving around in the Atlantic Ocean and the Mediterranean and the North Sea and all the rest of it?
[00:20:21.114 --> 00:20:22.795]  They're all carrying nuclear weapons.
[00:20:22.835 --> 00:20:31.900]  They're all carrying cruise missiles that fly along at 50 feet above the waterline and then detonate above their targets.
[00:20:34.261 --> 00:20:34.982]  And that's where we are.
[00:20:38.047 --> 00:20:40.128]  We're on Russia's doorstep.
[00:20:40.869 --> 00:20:42.569]  The West started the proxy war there.
[00:20:42.589 --> 00:20:59.738]  And if the Russians were pure communists and satanists like Hollywood was, again, back when the Hollywood-type crowd ran Russia, then I would be saying, oh, well, nuclear war is something I don't want to have, but the Russians are a threat.
[00:21:03.197 --> 00:21:09.520]  We're in a greater threat of war Russia today because it's more of a Christian nation and breaking with the globalist power structure.
[00:21:11.141 --> 00:21:18.364]  And so that's why Hollywood and the left hate Russia so much because for 80 plus years they could do whatever they wanted to Russia.
[00:21:18.404 --> 00:21:19.765]  It was their little playground.
[00:21:20.125 --> 00:21:24.447]  And the left, all the wealthy leftists from the Clintons to Bernie Sanders, they all went to Russia.
[00:21:25.615 --> 00:21:34.842]  For their honeymoons and visits, where they could go see a land where atheism and Satanism reigned, and where the people could be dominated by a horrible, evil megastate.
[00:21:36.003 --> 00:21:44.470]  But now, because Putin doesn't follow their orders, they are so upset because he stands in the way of their New World Order.
[00:21:44.790 --> 00:22:15.437]   And just as Joel Skousen said on my show 20 years ago, that the West would provoke and start fights with China and Russia in the future, And with feign weakness here, to trick China and Russia into a joint nuclear strike on the West, which is meant to knock out the original political system, and out of that comes a fascist system in the West, which will then have a war with Russia and China, which will be won, and then you'll have your worldwide New World Order system in place via that conflict.
[00:22:17.017 --> 00:22:19.719]  And I remember telling Skousen, well, the Chinese are on the globalist payroll.
[00:22:19.759 --> 00:22:20.559]  I mean, they're being built up.
[00:22:20.899 --> 00:22:22.300]  He's like, well, they're going to double-cross them.
[00:22:22.953 --> 00:22:27.415]  Sometime by 2023, 2024, 2025 is when I project this will happen.
[00:22:28.215 --> 00:22:36.539]  And he is a real researcher and a real historian, of course, a Marine Corps officer and a naval aviator.
[00:22:37.499 --> 00:22:38.120]  Smart guy.
[00:22:38.140 --> 00:22:40.220]  And I said, man, we got to get him on today.
[00:22:41.521 --> 00:22:42.441]  And he's not a Russophile.
[00:22:42.481 --> 00:22:43.362]  He doesn't like Putin.
[00:22:43.422 --> 00:22:44.462]  He calls it a predator state.
[00:22:45.263 --> 00:22:46.183]  He doesn't like Xi Jinping.
[00:22:46.203 --> 00:22:50.505]  Neither do I. But Xi Jinping is saying we're not going to cut our son's penises off.
[00:22:51.454 --> 00:22:52.655]  Like the kids are taught in school here.
[00:22:52.675 --> 00:22:54.717]  He says, we're not going to have sissy men on TV.
[00:22:54.737 --> 00:22:58.500]  We're not going to, we're not going to have abortions anymore.
[00:22:59.080 --> 00:23:00.361]  We're going to pay people to have kids.
[00:23:00.721 --> 00:23:01.842]  Same thing Putin's doing.
[00:23:01.922 --> 00:23:03.264]  So I judge a tree by its fruits.
[00:23:04.004 --> 00:23:07.927]  They understand that they want to have big, powerful systems that are dominant.
[00:23:08.187 --> 00:23:10.229]  And you don't do that with what America's doing.
[00:23:11.570 --> 00:23:12.931]  So the globalists are attacking us.
[00:23:12.971 --> 00:23:13.892]  They're attacking the Russians.
[00:23:13.912 --> 00:23:14.773]  They're attacking the Chinese.
[00:23:15.133 --> 00:23:16.214]  They're attacking everybody.
[00:23:18.928 --> 00:23:25.634]  So we're going to come back and I'm going to shift gears and all of the other huge news, but this is a big, big, big deal.
[00:23:27.895 --> 00:23:41.355]   Separately, I went to the grocery store yesterday, and it was almost empty of orange juice and
[00:23:41.355 --> 00:23:47.875]  of milk and of butter and of lettuce and of just everything.
[00:23:47.875 --> 00:23:50.796]   And Texas is a breadbasket compared to other parts of the country.
[00:23:50.796 --> 00:23:51.796]  Texas is like California.
[00:23:51.796 --> 00:23:54.434]  We have massive system.
[00:23:54.434 --> 00:23:56.836]  We have tropical areas down on the border.
[00:23:56.836 --> 00:23:57.955]  We have it all.
[00:23:57.955 --> 00:24:03.514]  Third largest producer in the U.S. of citrus is South Texas.
[00:24:03.514 --> 00:24:09.115]   And the fact that the store shelves look like a hurricane is about to hit and people cleaned
[00:24:09.839 --> 00:24:10.419]  Tells you something.
[00:24:10.459 --> 00:24:12.080]  In the Northeast, it's on the local news.
[00:24:12.381 --> 00:24:14.162]  They've been basically bare for months and months.
[00:24:16.023 --> 00:24:22.347]  And it's because farmers and people can't produce with the COVID shutdowns and lockdowns and the supply chains are broken down.
[00:24:24.608 --> 00:24:30.932]  And so everybody thinks it's fun to slack and fun to not go to work and fun to just kind of stand around all day and talk, even if you do go to work.
[00:24:33.476 --> 00:24:35.077]  That's how civilization collapses.
[00:24:35.097 --> 00:24:37.299]  That's what happened in Venezuela and Cuba.
[00:24:38.441 --> 00:24:41.323]  Because the communists take everything you produce, so why should you produce?
[00:24:41.363 --> 00:24:42.464]  So people stop producing.
[00:24:42.504 --> 00:24:53.374]  Well, with the globalists, they just don't let you produce, and they also devalue your currency, so that people that run businesses that supply the supply chain, they can't make ends meet anymore.
[00:24:54.455 --> 00:24:58.759]  Because if you raise the prices, people can't pay for it, but then you can't get the money to run your operation.
[00:24:59.418 --> 00:25:09.782]  So we're going into a depression, we're going into an economic collapse, we're going into hyperinflation, we're going into war, we're going into cyber attacks, we're going into staged terror attacks, we're going into hell.
[00:25:10.763 --> 00:25:12.283]  So just get ready and get right with Jesus.
[00:25:13.023 --> 00:25:17.303]   So it's really hard for me to cover any other news than this, but I'm going to be going
[00:25:17.303 --> 00:25:22.823]   into it in great detail in the third hour of the Alex Jones show today with Joel Skousen.
[00:25:22.823 --> 00:25:27.282]   But Vladimir Putin did say that if NATO continues their takeover of Ukraine, which is going
[00:25:27.282 --> 00:25:32.823]   on, that they're going to militarily move against it and that they expect that when
[00:25:32.823 --> 00:25:38.263]   NATO forces attack Russian forces, they're going to use nuclear weapons on them.
[00:25:38.263 --> 00:25:41.823]  And he said we're going to bring Europe into it.
[00:25:41.823 --> 00:25:43.783]  And it's just unbelievable.
[00:25:43.783 --> 00:25:47.303]   I'll be recapping some of that next hour and then going into it in depth in the third hour
[00:25:47.303 --> 00:25:52.223]  today ahead of Wayne Allyn Root in the fourth hour.
[00:25:52.223 --> 00:26:02.223]  [BLANK_AUDIO]
[00:25:53.282 --> 00:25:57.544]  And then I've got a really big announcement to make.
[00:25:57.564 --> 00:26:02.407]  It's some really important information that I'm going to get to at the bottom of the next hour.
[00:26:02.647 --> 00:26:06.469]  And it's so surreal to tell people this stuff.
[00:26:07.389 --> 00:26:10.691]  But I need listeners to know the inside stuff going on.
[00:26:11.211 --> 00:26:15.694]  So when you hear me say, hey, we're fighting to stay on air, you realize that's not a bluff.
[00:26:17.234 --> 00:26:18.835]  That's not something we're just saying.
[00:26:21.277 --> 00:26:37.021]  We've had the establishment literally say, we want unconditional surrender of you, and we want you to basically turn against everything you stand for and everything you've done, or we're not going to stop.
[00:26:37.761 --> 00:26:38.721]  And we're going to shut you down.
[00:26:39.261 --> 00:26:44.382]  Because the goal of all these fraudulent lawsuits and these rigged courts, and they are totally rigged.
[00:26:44.402 --> 00:26:46.203]  I mean, it's like living in Nazi Germany.
[00:26:46.223 --> 00:26:47.603]  I mean, look around, all the stuff we see here.
[00:26:48.063 --> 00:26:49.004]  Or old Soviet Russia.
[00:26:50.004 --> 00:26:50.964]  He's just completely rigged.
[00:26:51.781 --> 00:26:56.242]  And the whole exercise of this has not been about getting money from us.
[00:26:56.302 --> 00:26:59.303]  It's been about finding out how we operate and how we run and shutting us down.
