[00:00:00.129 --> 00:00:01.752]  Emergency Friday broadcast.
[00:07:13.420 --> 00:07:18.884]  And send them the live feed that's live on the Alex Jones section there at FutureNews.news.
[00:07:21.505 --> 00:07:38.260]  I didn't just get up here last month or last year or today and say they're going to roll out a new HIV that's basically airborne and that is much more deadly and that attacks your white blood cells.
[00:07:40.182 --> 00:07:48.449]  And that what they launched, what Fauci was program leader on, what they launched in the late 1970s, early 1980s, he was high level on the project, became the director later.
[00:07:49.941 --> 00:07:54.884]  was a beta test for the new group and batch of these viruses that they're releasing.
[00:07:57.606 --> 00:08:01.348]  And these viruses, of course, mutate over time and become less infectious.
[00:08:01.388 --> 00:08:16.697]  They're developed to be very deadly in the lab, but over time, even artificial viruses under God's system and plan degenerate and procreate into a system that is not as deadly.
[00:08:18.177 --> 00:08:24.342]  And that actually is able to live in the host organism, which is the real mission of the virus, not to actually kill its host.
[00:08:27.144 --> 00:08:32.708]  So we knew this in January and February, two years ago.
[00:08:33.068 --> 00:08:43.336]  And I have all the articles, you know, unlike Brian Stelter, unlike mainstream media, I will actually show you the articles when we wrote them, what we said, and then give you the new news.
[00:08:45.637 --> 00:08:46.438]  And it's very horrible.
[00:08:49.162 --> 00:08:51.543]  New HIV strain found in the Netherlands.
[00:08:52.044 --> 00:08:53.004]  Highly infectious.
[00:08:53.104 --> 00:08:57.086]  Variant makes people ill twice as quickly.
[00:08:59.087 --> 00:09:02.389]  Now, I don't just go off this as if it's true or you're believing it out of the Daily Mail.
[00:09:02.809 --> 00:09:04.050]  I already know about this project.
[00:09:04.070 --> 00:09:05.431]  I already knew this was coming.
[00:09:05.511 --> 00:09:35.026]   I told you, and we can get the archivist to find it, in January and February, two years ago, and March, laying out our predictions that the vaccine for COVID-19 would cause autoimmune deficiency disorder, autoimmune deficiency syndrome, and that they would then just say, oh really, suddenly everybody's just got HIV.
[00:09:35.406 --> 00:09:47.809]  Because I read the scientific reports, I read the scans of the man-made virus, COVID-19, and we know Fauci headed up the HIV bioweapon program against Africa, that blew back into the West by design.
[00:09:49.759 --> 00:10:01.802]  And into gay men with compromised immune systems from hundreds of partners and methamphetamine use that could also tip the T lymphocytes over to dying and being susceptible to colonization by the HIV.
[00:10:02.242 --> 00:10:05.303]  There's a lot of other factors that went into it, but that's the real science on it.
[00:10:07.363 --> 00:10:09.124]  So you study criminology.
[00:10:09.204 --> 00:10:11.845]  Criminals like to do the same thing over and over again.
[00:10:12.785 --> 00:10:17.126]  And Fauci was heavily involved in developing and deploying HIV against the world.
[00:10:18.168 --> 00:10:25.450]  I mean, he was known back then, it came out, and blocking good treatments and giving people deadly treatments that also then kill the sick.
[00:10:25.810 --> 00:10:27.030]  That's his added fun.
[00:10:27.351 --> 00:10:32.612]  Just like Rendezivir, but 37% of people, it kills them on record.
[00:10:32.832 --> 00:10:39.794]  So they don't let you have zinc or hydroxychloroquine or ivermectin or vitamin D. You don't get any of that.
[00:10:41.750 --> 00:10:42.911]  It's like, oh, you're drowning?
[00:10:42.931 --> 00:10:44.072]  Let me hold your head underwater.
[00:10:44.492 --> 00:10:50.236]  How about some randesivir that does nothing to stop the virus and literally eats your liver and kidneys?
[00:10:51.397 --> 00:10:52.638]  Hey, renal failure is fun, huh?
[00:10:52.658 --> 00:10:57.281]  A little gift from old Doc E. F. D. R. Fauci.
[00:11:01.124 --> 00:11:13.877]   And so we looked at COVID-19 and the man-made spike protein synthetic HIV delivery system, and we said it's going to give people False positives for HIV.
[00:11:14.037 --> 00:11:17.902]  And indeed, they go, Oh, some of the COVID vaccines cause false positives.
[00:11:17.922 --> 00:11:20.706]  Don't worry, wink wink, you don't really have HIV.
[00:11:22.228 --> 00:11:23.830]  And they just sit there and watch what it does.
[00:11:24.270 --> 00:11:55.002]   And then when you take the Pfizer, the Moderna or the J&J or AstraZeneca, they all have different mechanisms, but they're The same destination as Fauci told him in December before COVID was even announced two plus years ago, 25 months ago, 26 months ago, came out in documents via Peter Daszak's group and lawsuits that, oh, oh, get ready for this type of vaccine and your vaccine can do it however it wants, but it's got to create this spike protein in the body.
[00:11:56.576 --> 00:12:03.458]  Which is the alone, man-manipulated, man-made HIV delivery system.
[00:12:03.838 --> 00:12:04.238]  On record!
[00:12:04.258 --> 00:12:05.058]  This is not debatable.
[00:12:05.378 --> 00:12:05.838]  It's a fact.
[00:12:09.119 --> 00:12:12.480]  Like, what the molecular makeup of is water is a fact.
[00:12:12.520 --> 00:12:14.161]  Well, this is a fact.
[00:12:14.461 --> 00:12:18.402]  And then you look at it and you go, well, they're going to give you something that makes you sick and turns off your white blood cells.
[00:12:18.862 --> 00:12:21.823]  They're going to put a virus out that attacks your white blood cells.
[00:12:22.263 --> 00:12:26.609]   And then they're going to Sit back and try to cover this up.
[00:12:28.070 --> 00:12:28.751]  How are they going to do it?
[00:12:28.811 --> 00:12:35.335]  I've said last year and this year, thousands of times, they're going to have a new virus that shows up on the scene even worse.
[00:12:35.475 --> 00:12:36.155]  And guess what?
[00:12:36.715 --> 00:12:40.698]  It's the super HIV that's much easier to catch.
[00:12:42.546 --> 00:12:44.969]  And kills you a lot faster, they're saying.
[00:12:45.349 --> 00:13:04.768]  And then when you find out you're positive, when you're really just positive from the so-called vaccine, you will then go and Fauci, who owns the big patents on the stuff, will pump you full of the AZT and all the new chemicals and interferon disruptors and the rest of it, that will kill your ass.
[00:13:05.449 --> 00:13:06.390]  Just like Rendezvous.
[00:13:07.125 --> 00:13:11.826]  And so they will get you sick with the first phase, the bioweapon, and then it's binary.
[00:13:12.086 --> 00:13:14.947]  They will then hit you with the next phase of the bioweapon.
[00:13:17.008 --> 00:13:17.808]  And that's how it works.
[00:13:18.268 --> 00:13:18.828]  Just like that.
[00:13:19.629 --> 00:13:23.570]  And then they get all the money out of you while they kill you.
[00:13:23.930 --> 00:13:25.270]  See how that works.
[00:13:25.850 --> 00:13:27.231]  Learn about binary weapons.
[00:13:28.371 --> 00:13:29.331]  So that's at the bottom of the hour.
[00:13:29.351 --> 00:13:30.612]  I'm going to go through all that.
[00:13:30.652 --> 00:13:31.652]  It's a big deal.
[00:13:32.313 --> 00:13:35.474]  And we predicted it would show up, and they would do it exactly, and they have.
[00:13:35.754 --> 00:13:36.534]  Because we know the enemy.
[00:13:36.914 --> 00:13:37.434]  That's what we do.
[00:13:38.295 --> 00:13:40.435]  And that's why they want us off air, that's why they can't stand us.
[00:13:40.475 --> 00:13:44.336]  Now that leads me... That's one stack.
[00:13:46.136 --> 00:13:47.117]  One incredible stack.
[00:13:47.657 --> 00:13:49.457]  Let me tell you about the other incredible stacks.
[00:13:50.177 --> 00:14:04.053]   Amazing stuff happening in Canada and around the world with these truckers, triggering peaceful revolution everywhere, and letting all the weak-minded that have stayed quiet and felt alone, and been gaslit under Mass Stockholm psychosis is what I call it.
[00:14:04.413 --> 00:14:05.974]  Call it mass formation psychosis.
[00:14:06.274 --> 00:14:09.356]  Carl Jung and the clinical term would be mass psychosis.
[00:14:09.816 --> 00:14:11.697]  Mob rule, the madness of crowds.
[00:14:12.238 --> 00:14:14.399]  Those are the more arcane names for it.
[00:14:15.159 --> 00:14:16.320]  The founding fathers talked about.
[00:14:16.820 --> 00:14:18.021]  But here we are.
[00:14:20.222 --> 00:14:26.046]  And they're now announcing the Canadian news that the government's preparing to use the military against them.
[00:14:26.787 --> 00:14:28.528]  Boy, I sure hope they do that.
[00:14:28.668 --> 00:14:30.589]  That would really backfire on the New World Order.
[00:14:30.729 --> 00:14:34.211]  Except, if they do use the military, they will stage a false flag.
[00:14:35.812 --> 00:14:44.677]  All special operations at the captain level and above get taught how to stage false flags when you're outnumbered and can't defeat a group.
[00:14:45.357 --> 00:14:47.999]  And if they're given orders, they will stage a false flag.
[00:14:48.019 --> 00:14:48.699]  The military will.
[00:14:49.239 --> 00:14:51.741]  The public just has to be made aware of that.
[00:14:51.981 --> 00:14:52.201]  Okay?
[00:14:53.038 --> 00:15:05.833]  But it came out in the WikiLeaks, and I already knew this because I talked to family that was told this stuff when they were in the military, that it was captains and above in the Green Berets being taught how to stage a false flag.
[00:15:06.556 --> 00:15:09.179]  And that might mean killing a village kid and blaming it on the enemy.
[00:15:09.579 --> 00:15:14.725]  Or that might mean blowing up, you know, the food supply at the village and the water supply, the water tower to blame the enemy.
[00:15:14.985 --> 00:15:18.028]  If you gotta get people pissed and forced to multiply them, it's what you do.
[00:15:18.389 --> 00:15:20.852]  So the next big move will be a false flag against the truckers.
[00:15:21.091 --> 00:15:23.091]  We got all that stuff for you coming up as well.
[00:15:23.091 --> 00:15:47.091]  [Music]
[00:15:47.091 --> 00:15:50.091]  Emergency Friday Broadcast.
[00:15:50.036 --> 00:15:55.801]  Globalist-controlled hospitals are medically kidnapping patients and killing them all over the Western world.
[00:15:55.821 --> 00:15:59.325]  And that's just the first headline.
[00:16:00.105 --> 00:16:13.357]  Meanwhile, as predicted, new lab-grown version of HIV spiked with COVID-19 has been released in the Netherlands as part of phase two of the globalist depopulation operations.
[00:16:14.420 --> 00:16:23.786]  Dr. Peter McCullough will join Alex live to counter MSM lies that he put out disinformation on Joe Rogan.
[00:16:24.567 --> 00:16:26.768]  You do not want to miss that second hour.
[00:16:28.129 --> 00:16:28.429]  All right.
[00:16:29.710 --> 00:16:32.232]  Bottom of the hour, I'm going to hit the big HIV news.
[00:16:33.553 --> 00:16:37.115]  And people know I don't just put out fear porn.
[00:16:38.776 --> 00:16:41.398]  People used to tune in 20 years ago, they thought this is wildly entertaining.
[00:16:42.262 --> 00:16:44.503]  Even Harry Shearer, you know, went on national TV.
[00:16:45.163 --> 00:16:46.504]  He's a great actor, great comedian.
[00:16:46.564 --> 00:16:47.524]  You love the work he does.
[00:16:48.244 --> 00:16:49.965]  And Spinal Tap, The Simpsons, you name it.
[00:16:50.525 --> 00:16:52.346]  And said, man, Alex Jones is just incredible.
[00:16:52.366 --> 00:16:53.646]  He's one of the greatest writers ever.
[00:16:53.946 --> 00:16:56.967]  The stuff he comes up with, he's just a science-fixing genius.
[00:16:57.588 --> 00:16:59.769]  No, dude, I didn't come up with any of this.
[00:17:01.049 --> 00:17:02.149]  It's what they're doing to us.
[00:17:04.110 --> 00:17:05.911]  And I get that it sounds insane.
[00:17:07.031 --> 00:17:07.451]  Believe me.
[00:17:08.332 --> 00:17:08.972]  But they're doing it.
[00:17:11.420 --> 00:17:14.527]  And I've had a lot of friends and family get really sick or die from this crap.
[00:17:15.770 --> 00:17:19.638]  And the damn vaccine is not a vaccine and it attacks your white blood cells.
[00:17:19.999 --> 00:17:20.399]  On record!
[00:17:22.150 --> 00:17:23.051]  It's all confirmed now!
[00:17:23.612 --> 00:17:43.311]  And they've made their move, that's why they've paid out tens of billions of dollars from high-level influencers, movie stars, basketball players, football players, who get hundreds of thousands if not millions, right down to small YouTube channels with 100,000 members, with maybe 10-20,000 people watching their videos at a time, getting tens of thousands of dollars.
[00:17:44.632 --> 00:17:46.214]  Thousands of people have gone public!
[00:17:47.358 --> 00:17:59.266]  TikTok influencers, you name it, and said, look, here's the letter offering me $2,000 up to $50,000, $100,000, depending on the letters, for every time I mention and say I took the vaccine, I love it.
[00:18:01.868 --> 00:18:02.588]  I took the vaccine.
[00:18:02.808 --> 00:18:03.149]  I took it.
[00:18:03.329 --> 00:18:03.669]  It works.
[00:18:03.869 --> 00:18:04.249]  I loved it.
[00:18:04.409 --> 00:18:04.870]  It's wonderful.
[00:18:05.030 --> 00:18:06.251]  Oh my gosh, I want boosters.
[00:18:06.431 --> 00:18:06.911]  It's so great.
[00:18:07.231 --> 00:18:08.232]  Bing, bing, bing, cashier.
[00:18:08.272 --> 00:18:09.473]  Ching, ching, ching, ching, ching, ching, ching.
[00:18:10.683 --> 00:18:14.064]  They did all this, folks, to move against the public.
[00:18:14.084 --> 00:18:17.204]  And you can say, well, the dumbasses that believe it and take it, they deserve it.
[00:18:18.784 --> 00:18:33.687]  Do the children... Do the children deserve to be injected with something that the Pfizer, Moderna, J&J, and AstraZeneca all turn off the killer T?
[00:18:35.047 --> 00:18:38.668]  The killer T is the infantryman of the blood.
[00:18:40.033 --> 00:18:56.159]  HIV attacks the T lymphocyte, that is the general, that first approaches, sees what something is, and then goes and puts out, call it viruses, orders, whatever, chemical orders, to the other white blood cells to attack.
[00:18:58.080 --> 00:18:59.800]  So HIV takes out the generals.
[00:19:02.461 --> 00:19:07.163]  COVID injections, masquerading as vaccines, take out the troops.
[00:19:08.914 --> 00:19:11.355]  Jack Spratt could eat no fat, his wife could eat no lean.
[00:19:11.775 --> 00:19:15.036]  Between the two of them, they licked the platter clean.
[00:19:18.277 --> 00:19:20.498]  Yeah, what do you think killer Ts do all day?
[00:19:20.518 --> 00:19:23.880]  They just run around like Pac-Man, eating cancer viruses.
[00:19:24.960 --> 00:19:26.140]  Eating cancer cells.
[00:19:28.121 --> 00:19:31.982]  This is a direct attack on your defense system.
[00:19:34.123 --> 00:19:35.824]  They're basically amoebas.
[00:19:36.812 --> 00:19:43.635]  Programmed and grown in your bones, in your femurs, to kill the enemies of your body.
[00:19:45.075 --> 00:19:50.378]  And if you want to take your body down, you shut those little sweethearts down.
[00:19:51.278 --> 00:19:52.038]  Plus, they deserve to die.
[00:19:52.058 --> 00:19:52.439]  They're white.
[00:19:52.779 --> 00:19:53.539]  They are white in color.
[00:19:53.559 --> 00:19:53.879]  Very bad.
[00:19:55.260 --> 00:19:58.541]  So, ladies and gentlemen, this is where we are.
[00:20:00.782 --> 00:20:01.662]  And this is what we face.
[00:20:01.682 --> 00:20:05.244]  And I'm going to hit all the science next segment, but here's an example of what we're talking about.
[00:20:06.744 --> 00:20:12.587]  They had a State Department briefing yesterday, and an AP reporter is saying, we want to see proof.
[00:20:12.627 --> 00:20:15.989]  You know, like, Kennedy showed the nuclear missile launchers in Cuba.
[00:20:17.610 --> 00:20:24.474]  And at least with the fake WMDs in Iraq, they held up fake anthrax and at least said, well, here's a truck that makes anthrax, which it didn't.
[00:20:24.494 --> 00:20:31.879]  It was actually a truck that pumped up hydrogen balloons to direct artillery that the US and British had sold Saddam in the Iran-Iraq War in the 1980s.
[00:20:34.628 --> 00:20:38.551]  But the point is, is that the State Department thinks the public doesn't research or know any of this.
[00:20:39.011 --> 00:20:51.199]  So they just get up there and they say, hey, we're telling you this is a classified statement, we're not going to give you any evidence that Russia is making a movie about a false flag they're going to stage.
[00:20:51.219 --> 00:20:52.960]  And they're like, wow, you got those specifics?
[00:20:53.300 --> 00:20:53.660]  Tell us!
[00:20:54.020 --> 00:20:54.521]  Let us see it!
[00:20:54.801 --> 00:20:56.242]  Oh no, we can't let you see that.
[00:20:58.663 --> 00:21:05.341]   Now the truth is, Tens of billions of dollars of high-tech weapons, anti-tank, anti-aircraft have been shipped in the last two years.
[00:21:05.721 --> 00:21:07.262]  And Putin said, you're massing troops.
[00:21:07.582 --> 00:21:10.083]  I know army guys that just came back from there.
[00:21:10.103 --> 00:21:13.044]  They were literally in fights with the Russians, the little green men.
[00:21:13.444 --> 00:21:14.685]  We're losing troops, they're losing troops.
[00:21:14.965 --> 00:21:17.306]  We're in a proxy war with the Russians.
[00:21:17.806 --> 00:21:19.447]  And by the way, Trump basically expanded it.
[00:21:19.867 --> 00:21:21.127]  It was one of the bad things he did.
[00:21:22.568 --> 00:21:34.510]   And so, the Russians are massing troops in Belarus and other areas saying, listen, you keep saying You want to be peaceful, but you're moving people in and weapons in, and you've got proxy armies attacking us.
[00:21:35.991 --> 00:21:39.853]  That's all Western weird psyops, and they show, here's the poor Ukrainians.
[00:21:40.114 --> 00:21:41.595]  They've got wooden guns.
[00:21:41.935 --> 00:21:43.956]  They don't have any weapons or know how to use them.
[00:21:44.197 --> 00:21:45.237]  That's all made up.
[00:21:45.457 --> 00:21:47.119]  They've got warehouses full of weapons.
[00:21:47.699 --> 00:21:50.861]  They just don't have people willing to go start a fight with the Russians.
[00:21:52.422 --> 00:21:54.624]  So they're shooting at each other at a half mile away.
[00:21:55.302 --> 00:21:58.883]  And sabotaging warehouses and blowing up chemical plants.
[00:21:58.963 --> 00:22:06.524]  And both sides are tit for tatting back and forth on the borders of eastern and western Ukraine.
[00:22:08.144 --> 00:22:09.785]  And so I'm not lionizing Russia.
[00:22:09.805 --> 00:22:10.845]  I'm not saying Russia's perfect.
[00:22:11.465 --> 00:22:17.366]  I'm saying that you're watching this piece we'll get to a little bit later in the hour after I hit the big news.
[00:22:18.306 --> 00:22:21.367]  And the AP reporter thinks he scores this big Michael Jordan slam dunk.
[00:22:22.313 --> 00:22:25.535]  He goes, you're going into Alex Jones territory here with all your false flags.
[00:22:27.316 --> 00:22:30.178]  You and Psaki say they're going to stage a false flag.
[00:22:30.618 --> 00:22:31.859]  You don't have evidence of that.
[00:22:33.119 --> 00:22:35.781]  And the media is like, oh boy, got a big score in.
[00:22:35.801 --> 00:22:36.421]  Where's the proof?
[00:22:36.662 --> 00:22:37.302]  It's Alex Jones.
[00:22:37.502 --> 00:22:42.045]  The difference is when Alex Jones tells you something might be a false flag, I've got evidence and reasons.
[00:22:42.125 --> 00:22:49.029]  And I'm questioning because a lot of times stuff isn't real, whether it's Jussie Smollett or whether it's Bubba Wallace or whether it's the Gulf of Tonkin.
[00:22:50.894 --> 00:22:53.455]  Or whether it's Roe v. Wade, that baby never died.
[00:22:53.515 --> 00:22:54.495]  They now admit it was fake.
[00:22:57.677 --> 00:23:02.699]  And I'd say 80% of the time, hate crimes and stuff that starts wars, you name it, staged.
[00:23:03.679 --> 00:23:05.120]  And all major governments do it.
[00:23:06.140 --> 00:23:14.023]  It's in mainline history books that the French and the British constantly staged false flags on each other in the 500 years of wars they had.
[00:23:14.903 --> 00:23:15.564]  It's what you do.
[00:23:18.265 --> 00:23:21.803]   Because War's dirty.
[00:23:23.164 --> 00:23:24.465]  And I'm not defending dirtiness.
[00:23:24.545 --> 00:23:27.246]  I'm just telling you that people should actually know how war works.
[00:23:27.266 --> 00:23:28.587]  You should actually know how wars start.
[00:23:29.988 --> 00:23:30.968]  But instead they talk down to you.
[00:23:31.128 --> 00:23:36.731]  Oh, it's Alex Jones territory to think that if the Russians were going to invade, they'd stage a provocation.
[00:23:36.992 --> 00:23:38.332]  Yeah, you bet they would.
[00:23:38.732 --> 00:23:39.593]  And you bet the U.S.
[00:23:39.653 --> 00:23:41.794]  military would if they get the order to go in.
[00:23:42.775 --> 00:23:45.116]  You're just going to attack the Russians without staging something?
[00:23:46.519 --> 00:23:47.400]  What, you don't think the U.S.
[00:23:47.420 --> 00:23:51.503]  government had to stage plenty of stuff, like the USS Maine, to start the Spanish-American War?
[00:23:51.523 --> 00:23:54.985]  Grow up, people!
[00:23:55.005 --> 00:24:01.390]  It's like in The Godfather, when she says to Michael Kirlian, she goes, he goes, you know, presidents have people killed, I have people killed.
[00:24:01.410 --> 00:24:02.951]  She goes, presidents don't have people killed!
[00:24:03.931 --> 00:24:05.673]  He says, Kay, look who's being naive.
[00:24:06.473 --> 00:24:07.834]  Let's just stop being naive, people.
[00:24:08.034 --> 00:24:08.915]  We'll be right back, stay with us.
[00:24:10.012 --> 00:24:14.393]  So, we know that HIV was a lab-grown, developed weapon.
[00:24:14.693 --> 00:24:16.994]  The evidence scientists, all the information came out.
[00:24:17.934 --> 00:24:22.415]  Since then, top scientists with modern systems have scanned it and said, yes, it's man-made.
[00:24:23.455 --> 00:24:34.378]  Fauci owns, along with the consortium, but he's the majority owner, the patent on the isolated HIV spike protein.
[00:24:35.898 --> 00:24:52.672]   And so, All the different Wuhan lab testing and development of a whole class of viruses, of chimeric viruses, used that spike protein that they'd already developed as the main weapon system.
[00:24:53.706 --> 00:25:10.217]  A natural spike protein they'd found that they had then bred and through generations in animals and humans to create a particularly rhinoceros-like virus that just, half the virus is the giant spike that gets into those receptor sites into the cells.
[00:25:10.578 --> 00:25:15.161]  So it's the cannon that fires the poison.
[00:25:15.221 --> 00:25:17.422]  It's the fangs that inject it.
[00:25:19.163 --> 00:25:20.484]  So that's all there.
[00:25:20.985 --> 00:25:24.747]   I mean, this guy is a Modern Joseph Mingala.
[00:25:24.787 --> 00:25:27.089]  He makes Joseph Mingala look like an amateur.
[00:25:28.290 --> 00:25:28.750]  Amateur.
[00:25:31.112 --> 00:25:32.153]  Absolutely amateur.
[00:25:33.654 --> 00:25:35.655]  Compared to what Fauci's done and the scale he's done.
[00:25:35.675 --> 00:25:37.937]  In fact, it's not fair to call him Joseph Mingala.
[00:25:38.257 --> 00:25:40.138]  Joseph Mingala had nothing on him.
[00:25:41.179 --> 00:25:43.641]  And he's just one of the operatives of these mad scientists involved.
[00:25:43.661 --> 00:25:44.802]  They're all involved at the top.
[00:25:45.919 --> 00:25:47.340]  Google's chief scientist, all of them.
[00:25:47.800 --> 00:25:49.741]  So, let's look at this.
[00:25:50.241 --> 00:25:53.043]  New HIV strain found in the Netherlands.
