[00:00:02.366 --> 00:00:03.166]  This is America.
[00:02:39.903 --> 00:02:43.403]  [INAUDIBLE]
[00:02:43.403 --> 00:02:45.403]  [INAUDIBLE]
[00:02:45.403 --> 00:02:47.403]  [INAUDIBLE]
[00:02:47.403 --> 00:02:50.403]  [WATER SPLASHING]
[00:02:50.403 --> 00:02:53.403]  [INAUDIBLE]
[00:02:53.403 --> 00:02:56.403]  [WATER SPLASHING]
[00:02:56.403 --> 00:02:59.403]  [WATER SPLASHING]
[00:02:59.403 --> 00:03:02.403]  [INAUDIBLE]
[00:03:02.910 --> 00:03:04.211]  I need to get to the town mayor.
[00:03:04.251 --> 00:03:04.851]  She's in a meeting.
[00:03:05.412 --> 00:03:07.493]  Okay, let's go ahead and bring this to him.
[00:03:07.513 --> 00:03:17.513]  [BLANK_AUDIO]
[00:03:17.513 --> 00:03:27.513]  [INAUDIBLE]
[00:03:25.085 --> 00:03:35.085]  [BLANK_AUDIO]
[00:03:35.085 --> 00:03:48.305]  [SIREN]
[00:03:48.305 --> 00:03:50.585]  >> Attention, attention, attention.
[00:03:51.004 --> 00:03:51.545]  What'd you see?
[00:03:51.564 --> 00:03:57.085]  here to help. Remain calm. We will not tolerate civil disobedience.
[00:03:57.085 --> 00:03:58.604]  What'd you see? What'd you hear?
[00:03:58.604 --> 00:04:02.125]  Well, uh, there were, uh, throw in some, uh,
[00:04:02.439 --> 00:04:03.920]  Uh, bombs, you know?
[00:04:04.280 --> 00:04:04.740]  Bombing?
[00:04:04.940 --> 00:04:05.141]  Yeah.
[00:04:05.661 --> 00:04:10.283]  And some, uh... I think they were using some rifles, too, and the other kind of rifle, you know?
[00:04:10.303 --> 00:04:12.304]  The one you... Stuff like that?
[00:04:12.524 --> 00:04:17.803]  looking out your window seeing unmarked helicopters and troops dressed in ninja
[00:04:17.803 --> 00:04:20.684]  black suits with assault rifles. It's kind of spooky.
[00:04:20.684 --> 00:04:35.684]  [Helicopter sounds]
[00:04:35.684 --> 00:04:36.684]  Thank you.
[00:04:36.684 --> 00:04:36.684]  [applause]
[00:04:36.684 --> 00:04:46.683]  [BLANK_AUDIO]
[00:04:38.081 --> 00:04:45.081]  Hello, Huff and SS!
[00:04:44.865 --> 00:04:50.888]  Get the searchlights.
[00:04:50.908 --> 00:04:56.652]  Alright ladies and gentlemen.
[00:04:59.333 --> 00:05:01.414]  We are live and I'm trying to figure out which camera.
[00:05:01.574 --> 00:05:02.115]  It's this one.
[00:05:02.135 --> 00:05:03.776]  These lights don't work in here.
[00:05:05.176 --> 00:05:07.418]  We're live guys and
[00:05:11.673 --> 00:05:13.714]  We're about to get to a lot of really important news.
[00:05:13.754 --> 00:05:16.075]  The federal government is funding martial law.
[00:05:16.195 --> 00:05:26.781]  The appropriations for the end of this year and the start of next year for martial law are being put into action as we speak.
[00:05:29.962 --> 00:05:36.745]  Last week, we... Yeah, Mike, you see it right.
[00:05:36.765 --> 00:05:37.506]  That camera's crooked.
[00:05:38.586 --> 00:05:39.547]  You're seeing it right, yeah.
[00:05:40.382 --> 00:05:40.962]  It's okay.
[00:05:44.663 --> 00:05:45.003]  I love it.
[00:05:45.023 --> 00:05:48.244]  They've got another show in here before me, and we have a lot of fun doing this.
[00:05:48.764 --> 00:05:51.764]  Well, it's not that it's crooked in the angle, it's crooked like this, but it's alright.
[00:05:52.705 --> 00:05:53.565]  It's live television.
[00:05:54.145 --> 00:05:59.686]  But anyways, like I was saying earlier, guys, we have a lot of really important news for you.
[00:06:00.906 --> 00:06:04.667]  We work as hard as we can to bring you the information we do.
[00:06:05.567 --> 00:06:06.227]  It's all true.
[00:06:06.647 --> 00:06:09.008]  And it's bad, but it's human history.
[00:06:10.126 --> 00:06:12.168]  Hammer that point home enough to you.
[00:06:14.510 --> 00:06:20.235]  So we'll take your calls in the next 45 minutes, after I get to about 20 minutes of story, so we'll have some time for your calls.
[00:06:20.696 --> 00:06:22.337]  Or maybe I'll open it up with calls, I don't know.
[00:06:23.738 --> 00:06:34.348]  And then we'll hopefully wake some people up and let them understand what's happening in the world
[00:06:35.490 --> 00:06:36.651]  And here in America today.
[00:06:37.071 --> 00:06:46.817]  You just saw some excerpts from my newest documentary, Police State 2000, which you'll see airing in its entirety periodically in the next few months here on Austin Community Access Center.
[00:06:47.218 --> 00:06:49.379]  We take whatever avenues we can to get the information out.
[00:06:49.819 --> 00:07:02.067]  We're on to Dallas and San Antonio and so many other places, and the crew works so hard, just average good folks like myself out there in the community here in Austin, Texas, endeavoring to bring you this information.
[00:07:03.888 --> 00:07:06.689]  That's why I like to thank Mike Hanson, my camera guy out there in the field.
[00:07:06.730 --> 00:07:22.438]  I'd like to thank Scott and Lance and Colby and so many people that make this program what it is, make this program possible.
[00:07:23.138 --> 00:07:26.540]  So I'm about to get to the news, but first off, last week you saw a cake brought in here in the studio.
[00:07:26.560 --> 00:07:28.701]  This is becoming a regular occurrence, which is fine with me.
[00:07:28.741 --> 00:07:30.522]  We've got to thank some of the people that are here.
[00:07:31.483 --> 00:07:33.245]  And it's Mike Hansen's birthday.
[00:07:33.645 --> 00:07:36.647]  Last week it was both of us being congratulated for completing Police Day 2000.
[00:07:37.208 --> 00:07:45.135]  And Lance, our good former Marine Corps buddy that does a lot of good work, got this for Mike Hansen for his birthday.
[00:07:45.175 --> 00:07:47.216]  It's got a nice black helicopter on it.
[00:07:48.658 --> 00:07:50.379]  You can make that black helicopter out.
[00:07:51.040 --> 00:07:52.841]  And it's a cookie, really, is what it is.
[00:07:52.861 --> 00:07:54.242]  A huge, gigantic cookie.
[00:07:54.863 --> 00:07:58.486]  So a good happy birthday to Mike Hansen.
[00:08:00.772 --> 00:08:11.254]  May things always be as docile and happy as they are now as the new world order sinks its evil claws into this country even deeper here during the death of the Republic.
[00:08:11.274 --> 00:08:16.295]  Alright, let me go ahead and get to the news.
[00:08:17.576 --> 00:08:20.916]  The newest news is from the Sunday Times of London.
[00:08:22.236 --> 00:08:24.957]  Online, and we've got links to WorldNetDaily and
