[00:00:00.089 --> 00:00:07.089]  You can wait, you can make your demands, and you can take my gun from my cold dead hands.
[00:02:49.549 --> 00:02:56.075]  We'll also be giving you an update on the military maneuvers here inside the U.S., here inside Texas, mainly.
[00:02:56.135 --> 00:02:58.777]  Operation Last Dance ended Friday.
[00:02:58.797 --> 00:03:02.781]  The last actual operation, we're told, was at Fort San Houston.
[00:03:03.201 --> 00:03:10.087]  This was the event that garnered most of the media coverage out there.
[00:03:10.651 --> 00:03:15.651]  in television and radio land, but we should go back to the Friday before, what I see as
[00:03:15.651 --> 00:03:25.051]  the most key was when Port Aransas was attacked by elements of the Black Ops Squad, the expanding
[00:03:25.051 --> 00:03:30.691]  Delta Force, and, of course, brought in by the elite Knight Stalkers.
[00:03:30.691 --> 00:03:34.651]  There you see the only footage that we've been able to obtain from here locally on Fox.
[00:03:35.191 --> 00:03:48.706]  I supposedly have some long reports coming to me by the Texas NET, the NBC system that did a two-minute report that was carried by three news stations that we know of out there.
[00:03:50.313 --> 00:03:55.556]  Showing the fire in Kingsville, not this Monday, but last Monday.
[00:03:56.156 --> 00:04:03.080]  So a lot of, actually February 8th, even longer than that, time does fly when you're having so much fun.
[00:04:03.100 --> 00:04:13.686]  We'll cover the now-admitted, I have Associated Press articles here, I have news articles out of the Corpus Christi Caller-Times, and also the
[00:04:15.069 --> 00:04:21.475]  San Antonio Express News in the last two weeks talking about black helicopters, live fire, and explosions.
[00:04:22.176 --> 00:04:31.104]  All of the other four exercises, and the fifth was a little bit different, but the first four were conducted in civilian population centers in South Texas.
[00:04:31.645 --> 00:04:38.131]  San Antonio, their last finale, which they did tell some of the public about, which was a total change for the Delta Force in its history.
[00:04:39.038 --> 00:04:44.358]  in these operations was conducted at a military base, the smallest and most centrally located
[00:04:44.358 --> 00:04:49.598]  in San Antonio, Fort San Houston, as if, "Well, yes, the operations have been going on. Yes,
[00:04:49.598 --> 00:04:57.438]  live fire. Yes, black helicopters. But see, we do them on military bases." Well, Kingsville,
[00:04:57.438 --> 00:05:02.759]  Port Aransas, San Augustine, and New York.
[00:05:02.614 --> 00:05:06.575]  And of course, Corpus Christi, well, those are not military bases, are they?
[00:05:07.115 --> 00:05:26.282]  And they were done, again, in direct violation of the 10th Amendment, state's rights, and of course, posse comitatus that seeks to curtail military, federal intervention locally, or even training, when it's the local law enforcement.
[00:05:26.302 --> 00:05:29.523]  In one case that we have documented from the mainstream newspapers and people that we've
[00:05:31.588 --> 00:05:45.934]  Uh, is that in Corpus Christi, not this Wednesday, but last Wednesday, uh, they had a military exercise taking over the old courthouse in downtown Corpus Christi, working with local law enforcement with the Corpus Christi SWAT team.
[00:05:46.574 --> 00:05:48.615]  Uh, again, this is not portraying overseas.
[00:05:48.655 --> 00:05:54.217]  They're not going to take the Corpus Christi SWAT team overseas with them, any more so than the tape you've seen many times here on
[00:05:54.844 --> 00:06:11.067]  The Freedom Report and my other program exposing corruption of the Marines doing mock gun confiscations in Hebron, Maryland, September 3rd and 4th in 1998, where they asked the camera person to turn his camera off once it became nighttime and they were actually doing the mock gun confiscations.
[00:06:11.567 --> 00:06:12.787]  They had police working with them.
[00:06:12.807 --> 00:06:16.228]  They're not going to load squad cars on C-130s to take them overseas.
[00:06:16.968 --> 00:06:23.509]  This is all being done for right here in the good old United States of America.
[00:06:28.174 --> 00:06:37.596]  So, again, all, absolutely all, very, very important to each and every American out there to realize that number one, they're desensitizing you.
[00:06:38.345 --> 00:06:41.406]  Number two, they're training local law enforcement to accept this.
[00:06:41.466 --> 00:06:55.352]  Number three, in some cases, they're sending a person into black helicopters to attack oil refineries and do live fire and explosions of automatic weapons and real live hand grenades or flashbangs right in front of the authorities without them knowing.
[00:06:56.032 --> 00:07:02.295]  In Kingsville, they did it without some of the authorities at the Sheriff's Department in Clyburn County and, of course, the Fire Department.
[00:07:03.177 --> 00:07:08.718]  We are going to re-air that, not this hour, but at 10 o'clock Central Standard Time.
[00:07:11.160 --> 00:07:32.869]  At 10 o'clock this program goes off the air, the Freedom Report does, and at 10.30 we come back right here on Time Warner Cable Channel 10, that is 10.30, and we will be airing for you the military activity, we'll be airing for you citizens talking about the black helicopters,
[00:07:34.986 --> 00:07:50.437]  The city manager of Kingsville in South Texas talking about it, the fire chief talking about it, workers talking about it, and actually them restoring and fixing some of the damage to the detective's building there in Kingsville, Texas.
[00:07:52.992 --> 00:07:56.813]  So that should be quite interesting for all of you out there.
[00:07:56.853 --> 00:07:57.914]  Again, we are live.
[00:07:57.974 --> 00:08:04.756]  I'm about to go to your phone call if you'd like to get involved on air here on the Freedom Report.
[00:08:04.776 --> 00:08:07.297]  477-2288 is the telephone number.
[00:08:08.357 --> 00:08:12.619]  Okay, let's go first to the San Antonio Express News from this Saturday.
[00:08:12.919 --> 00:08:14.519]  Front page of the Business section.
[00:08:14.559 --> 00:08:16.980]  It's also in Saturday's Statement.
[00:08:17.080 --> 00:08:22.002]  Front page of Section A. OSHA, the Occupational
[00:08:24.193 --> 00:08:44.947]  The Standards Board is moving forward with an unprecedented takeover and nationalization of the corporations and businesses and workplaces here in America.
[00:08:44.986 --> 00:08:51.746]  For anyone that's worked in pretty much any business, you've dealt with the Occupational
[00:08:51.746 --> 00:08:54.187]  Standards and Hazard Agency.
[00:08:54.187 --> 00:09:01.906]  If you've dealt with them, you've seen them engage in ruthless activity, go after corporations
[00:09:01.906 --> 00:09:05.786]  that are smaller or businesses that are smaller, of course, at the behest of the old money
[00:09:05.786 --> 00:09:10.826]  corporations seeking to weed out the competition, the new little bad sons that are coming up,
[00:09:10.826 --> 00:09:17.766]  to use a gardening or arborist terminology for you, giving people $5,000, $2,000, $10,000
[00:09:17.766 --> 00:09:22.625]  fines arbitrarily, never really giving set standards, but at least giving you some code
[00:09:22.625 --> 00:09:24.786]  to follow.
[00:09:24.758 --> 00:09:30.483]  As if a city or a state or a county couldn't implement this according to the United States Constitution and Bill of Rights.
[00:09:31.484 --> 00:09:40.912]  Well, if you read the Saturday Statesman article, Associated Press, or if you read the variant of it in the San Antonio Express News,
[00:09:41.926 --> 00:09:55.431]  OSHA is now, according to ergonomics, that is, chairs and livability and workability of businesses, from manufacturing to offices, you name it, they're going to regulate open-ended bureaucratic terms.
[00:09:55.771 --> 00:09:57.972]  They're not going to tell the business what to do.
[00:09:58.012 --> 00:10:04.714]  In fact, they say that as if it's a wondrous favor what they're going to do for the businesses, they are going to
[00:10:06.934 --> 00:10:31.542]  Simply state that you need to have ergonomics and a worker-friendly atmosphere, which all sounds nice, but then they say if there is a single accident, it could be a factory of 10,000, 2,000, 20, a little print shop, it doesn't matter, if there's a single injury, then they're going to come in and make the business, redesign their entire workplace, change things, you name it.
[00:10:31.902 --> 00:10:33.383]  Well, this is the power to destroy.
[00:10:34.275 --> 00:10:40.917]  Because many businesses work on a very small profit margin and cannot adapt themselves to this.
[00:10:40.997 --> 00:10:53.460]  Now, the large elite corporations and banks in the European world that control this nation are able, repeat, are able, with their foundations and other things, to easily adapt and change their businesses.
[00:10:53.539 --> 00:10:58.659]  but thus it will only hurt the middle-sized and smaller corporations that only make, you
[00:10:58.659 --> 00:11:02.659]  know, between $200 million a year or $100,000 a year.
[00:11:02.659 --> 00:11:08.259]  That's the scale right there, until you get into really large corporations.
[00:11:08.259 --> 00:11:14.480]  But the really important little caveat to this whole discussion is that, if you look
[00:11:14.480 --> 00:11:19.099]  at the third world, where Europe and the Eastern establishment here in the U.S., their local
[00:11:19.099 --> 00:11:23.099]  governorship of the Federal Reserve and others, controlled by the I.M.S. and the World Bank
[00:11:23.099 --> 00:11:26.099]  and the International Bank of Settlements and the Ex-Im Bank.
[00:11:26.099 --> 00:11:32.979]  So, if you pull back and look at it, you can see most of the major elite corporation investment
[00:11:32.979 --> 00:11:38.979]  and foundation investment is in the third world, in China, India, Mexico, Indonesia,
[00:11:38.979 --> 00:11:46.219]  countries with no civil rights, no environmental standards, no workers' compensation, almost
[00:11:46.219 --> 00:11:50.739]  zero pensions, slave labor in some cases, 30 million political dissidents and slavery
[00:11:50.739 --> 00:11:53.739]  Inshallah.
[00:11:53.470 --> 00:12:05.215]  Mexico, which is tantamount to slavery, or slave wages in many cases, you see both of the investment going into those countries, which makes it easy during the anesthetizing period here in the U.S.
[00:12:05.235 --> 00:12:16.058]  to migrate cheaply, and it gives us the illusion of wealth while the fiat money system is printing tax, which is our number one product for export here in the U.S., then of course propaganda and armaments.
[00:12:17.759 --> 00:12:20.320]  So, to discuss this in an academic function,
[00:12:21.085 --> 00:12:31.938]  We all need to be conscious of the simple fact that, number one, and most importantly, this is highly destructive to our industrial base.
[00:12:34.782 --> 00:12:36.324]  It is then, secondly,
[00:12:37.219 --> 00:12:48.423]  It will force the flow of manufacturing jobs and even information technology jobs into other centers where labor is cheaper and there are not the other costs of doing business, such as environmental standards and things.
[00:12:48.443 --> 00:12:50.504]  We're talking about saying they're bad if they're serious.
[00:12:50.544 --> 00:12:53.645]  None of us want to die of cancer because of dioxins and other chemicals.
[00:12:55.405 --> 00:13:05.889]  But then the second point, of course, is it gives the power for the federal government, controlled by international treaty now, to literally shut down any business they wish if there's one injury.
[00:13:06.684 --> 00:13:12.587]  And many injuries are done simply through ignorance, simply through the employees not knowing what they're doing.
[00:13:12.627 --> 00:13:32.138]  Of course, there are job safety problems, and there are always, always civil suits that could be affected if our legal system had not been thoroughly infiltrated by corrupt bars, that is, the club that controls the lawyers, and to where frivolous suits are allowed and serious suits are many times shuffled away.
[00:13:33.996 --> 00:13:45.561]  So, simply, this is a statement of fact that we all have to deal with and understand that OSHA, the Occupational Safety and Hazard Administration, is engaging in.
[00:13:45.621 --> 00:13:59.587]  Of course, you can dig through your bin and read the Saturday San Antonio Express News article, front page of the business, or the Saturday front page of the actual A section of the statement, where OSHA admits, repeat, repeat, very important key point here,
[00:14:00.174 --> 00:14:22.064]  We're OSHA, an unelected, unaccountable bureaucracy, says, we're going to be nice to you, this is almost the exact statement, we're going to be nice to you, we're going to allow businesses to develop their own systems, and then if there is an injury, we're going to come in and make them, one injury, a single injury, front page of the statement, they're going to come in and make them redesign the entire factory or business office.
[00:14:22.645 --> 00:14:24.546]  That, that is criminal.
[00:14:24.626 --> 00:14:29.268]  To not tell you what their regulation is, number one,
[00:14:30.262 --> 00:14:39.549]  And then when you have a single injury over any span of time, OSHA gives itself full license to come in and make the business change whenever they wish.
[00:14:39.669 --> 00:14:41.470]  That is tantamount, that is criminal.
[00:14:41.831 --> 00:14:43.332]  And that's the problem with bureaucracy.
[00:14:43.712 --> 00:14:47.895]  A long time ago, people were falling into sausage machines at Rockefeller plants.
[00:14:50.077 --> 00:14:55.321]  Striking Ford workers were being shot by, not by the police, but by hired thugs.
[00:14:57.042 --> 00:14:58.503]  We saw this type of activity.
[00:15:00.557 --> 00:15:04.199]  Again, and the federal government came in and said, my gosh, we will help you, won't we?
[00:15:04.779 --> 00:15:13.165]  Meanwhile, the elite was puppeteering the agencies, just eyeing the new corporations that were threatening their monopolies, or their oligopolies.
[00:15:14.466 --> 00:15:22.451]  And this hurts creativity, it hurts GDP, it hurts the population, it hurts the creativity of just average humans here on planet Earth.
[00:15:24.014 --> 00:15:32.161]  It's...it's...things get more and more Orwellian, more and more science fiction-esque, and things become more bizarre daily.
[00:15:32.181 --> 00:15:37.186]  And I literally do feel my ego and the rest of it slipping away, and none of it really matters anymore.
[00:15:37.206 --> 00:15:41.510]  I can quit these shows and my two radio programs instantaneously now and be a happy man.
[00:15:41.550 --> 00:15:42.451]  I've done my job.
[00:15:42.511 --> 00:15:43.612]  I will never quit, though.
[00:15:44.045 --> 00:15:53.387]  Because it is my destiny and it is your destiny out there to be free thinking, natural human beings that are able to control some of their destiny, some of their environment.
