[00:00:00.189 --> 00:00:01.772]  Oh, no!
[00:08:08.587 --> 00:08:11.330]  That's www.fermentationfactor.com.
[00:08:17.025 --> 00:08:20.628]  If you like to gamble, I'll tell you how to win.
[00:08:20.648 --> 00:08:23.551]  You win some, lose some, and do the same to me.
[00:08:23.591 --> 00:08:24.892]  My fear is to blame.
[00:08:24.932 --> 00:08:27.875]  Life or death is what you say.
[00:08:44.028 --> 00:08:45.331]  The Ace of Spades!
[00:08:45.932 --> 00:08:47.154]  The Ace of Spades!
[00:08:48.757 --> 00:08:53.526]  The only god the politicians need is the Ace of Spades!
[00:08:58.328 --> 00:09:00.011]  We are live, ladies and gentlemen.
[00:09:00.051 --> 00:09:02.474]  Thank you so much for joining us.
[00:09:02.554 --> 00:09:08.704]  It is Monday, November 5th, 2012, and I am your host, Alex Jones.
[00:09:08.784 --> 00:09:12.169]  Bev Harris, probably the leading expert.
[00:09:12.429 --> 00:09:13.631]  In fact, hands down, she is.
[00:09:14.252 --> 00:09:37.539]  When it comes to actually proving election fraud, bipartisan, across the board, nationwide, the HBO documentary, of course, Hacking Democracy, in the last 15 years, you know, she's gone from having 90 plus percent of people in major polls saying election fraud is impossible, to now I've seen polls of 8 out of 10 people saying they know there's massive election fraud taking place.
[00:09:38.039 --> 00:09:40.960]  The only question is exactly who is in control of it,
[00:09:41.520 --> 00:09:55.308]  As Stalin famously stated, the Russian dictator, who Obama's policies more and more mirror, very creepy, said that it doesn't matter who casts the ballots, it matters who counts them.
[00:09:56.308 --> 00:09:58.409]  And so we're going to be looking at that today.
[00:09:58.449 --> 00:10:06.374]  Of course, they don't just rig elections to a great extent nationwide.
[00:10:06.854 --> 00:10:08.135]  There are some areas that have more
[00:10:11.175 --> 00:10:15.158]  Transparent voting, but other areas that have been proven to be total frauds.
[00:10:15.959 --> 00:10:18.882]  No, they also control both of the candidates, obviously.
[00:10:18.902 --> 00:10:22.905]  There's a lot of different globalist special interests, but they're all linked up.
[00:10:24.126 --> 00:10:35.355]  Pushing this global corporate, unelected, anti-free market, anti-family, post-industrial model of government that I call basically the siege government, or the total government.
[00:10:36.136 --> 00:10:37.417]  The authoritarian government 2.0.
[00:10:39.819 --> 00:11:01.319]  But we're going to be looking at every angle of this with Bev Harris with an update today just for about 10-15 minutes then she'll be on with us about 30 minutes obviously tomorrow on election day November 6th and then I think for an hour on Wednesday in the aftermath and she always travels the country and has a lot of different
[00:11:03.607 --> 00:11:13.065]  Sources out there that give her a very very important information So she's going to be joining us and we'll be on top of that situation with Bev Harris over the next three days
[00:11:14.324 --> 00:11:26.608]  Also, you know I do InfoWars Nightly News, 7 o'clock Central, 8 o'clock Eastern, 5 o'clock Pacific, 6 o'clock Mountain, every weeknight with my great crew of anchors and reporters here.
[00:11:27.289 --> 00:11:36.812]  And I will be hosting the news along with my reporters out in the field with live feeds getting voter response.
[00:11:38.300 --> 00:11:40.782]  Out there, on the streets of Austin, Texas.
[00:11:40.802 --> 00:11:43.063]  Kind of a nice snapshot of the rest of the country.
[00:11:43.724 --> 00:11:48.207]  A very diverse, eclectic city I live in, so we'll be having that tomorrow night.
[00:11:48.527 --> 00:11:55.812]  From 5 to midnight, and probably even longer, I'll do the 3-hour radio show, and then I'll be back 5 to midnight.
[00:11:57.893 --> 00:12:11.417]  And we're going to have Gerald Cilente on, Max Keiser, Wayne Madsen, Dr. Paul Craig Roberts, Lou Rockwell, Nomi Prince, Webster Tarpley, and I'm going to try to call a Washington Times reporter, Joe Curl, get his take.
[00:12:11.857 --> 00:12:14.458]  We're also working on getting Colonel Schaefer on.
[00:12:16.684 --> 00:12:21.547]  Uh, who went on Fox News over the weekend and pointed out what Joel Skousen said last Friday and what's now been confirmed.
[00:12:21.887 --> 00:12:27.930]  They had drones overhead with live video feeds over the five hours of the ambassador being killed.
[00:12:28.590 --> 00:12:30.291]  And that was definitely a stand down.
[00:12:30.311 --> 00:12:35.714]  And I'm going to ask Tarpley about this, maybe I can get Dr. Pachinik on, because I respect both these men.
[00:12:35.754 --> 00:12:36.755]  I think they have great minds.
[00:12:36.835 --> 00:12:38.476]  I think they legitimately say what they believe.
[00:12:39.775 --> 00:12:46.457]  But if they're saying it was a neocon hit on the ambassador, why didn't Obama send people in to defend him?
[00:12:48.238 --> 00:12:55.420]  I mean, I understand a false flag to make Obama look bad like he couldn't protect this guy, but Al-Qaeda was brought in by NATO and by the West.
[00:12:55.820 --> 00:12:57.921]  Obama says our military is under NATO control.
[00:12:57.941 --> 00:13:00.782]  That's in the executive orders, it's in the whole force structure.
[00:13:01.002 --> 00:13:03.383]  Just incredible things are happening in plain view.
[00:13:03.423 --> 00:13:03.743]  Treason!
[00:13:04.443 --> 00:13:05.303]  And it's bipartisan.
[00:13:05.884 --> 00:13:10.345]  So, I mean, does that mean neocons are actually running the Obama administration?
[00:13:10.365 --> 00:13:13.346]  And then they're blaming him with a coup from within?
[00:13:13.386 --> 00:13:15.327]  I mean, that just doesn't fly.
[00:13:15.747 --> 00:13:19.669]  The neocons are trying to knock down the door to get back in with their darling Mitt Romney.
[00:13:21.645 --> 00:13:46.128]  So we're gonna get into that as well tomorrow night with those guests We've also got some special guests joining us on the main radio show tomorrow, but there will be a free video We're also gonna send out over the audio feeds everybody out there Not just video feed some people like to listen instead of watch the main feeds at 5 o'clock We'll switch over from the rebroadcast of the radio show retransmission of that We'll switch over
[00:13:47.489 --> 00:13:53.572]  To the live coverage that we're going to have from five central past midnight.
[00:13:54.072 --> 00:13:59.355]  I have no doubt that I'll probably punch out at midnight and if things are still going on it may be contested.
[00:13:59.915 --> 00:14:01.336]  They may postpone the election.
[00:14:01.376 --> 00:14:04.737]  They've got the Board of Elections in New York City in NBC.
[00:14:07.379 --> 00:14:18.307]  And also, in other publications, CBS are reporting that the New York City Board of Elections, it's possible voting may be permitted beyond Tuesday.
[00:14:18.867 --> 00:14:27.093]  You've got large areas of the Jersey Shore that have declared martial law, like the town where they shot Jersey Shores has over the weekend calling it martial law.
[00:14:27.113 --> 00:14:31.957]  Aaron Dice wrote an article about that title, Jersey Shore declares martial law.
[00:14:32.967 --> 00:14:40.034]  You got a couple million in Jersey and a couple million in New York without power and hundreds of thousands and a smattering of other states, and they can't vote.
[00:14:41.955 --> 00:14:47.941]  They were saying that the marathon would go forward, but government couldn't get that together.
[00:14:48.581 --> 00:14:57.530]  And government is busy arresting people with baseball bats and bows and arrows in their homes, and arresting people that drive to a nearby state to fill up a bunch of cans of gas to bring it to their neighbors.
[00:14:58.493 --> 00:14:58.653]  I don't
[00:15:19.690 --> 00:15:25.133]  That came out and murdered people, including a mentally retarded man who was walking out.
[00:15:25.153 --> 00:15:40.361]  I remember I first reported that because we had witnesses there who heard the shots and asked what happened and walked up to the checkpoint and they'd shot several people in that case, but killed a mentally retarded man who just wanted food and water and wanted to walk out.
[00:15:41.081 --> 00:15:43.523]  You are to go to the Superdome to be raped and die.
[00:15:44.403 --> 00:15:45.704]  And again, government
[00:15:46.894 --> 00:15:48.875]  Could do a little better job helping people.
[00:15:48.975 --> 00:15:50.516]  They don't want to.
[00:15:51.017 --> 00:15:52.538]  They're there to dominate you.
[00:15:52.578 --> 00:15:58.842]  When a government goes bad, they put a culture of thugs in who cannot and will not help you.
[00:15:59.262 --> 00:16:04.365]  And it's the same thing with Chuckie Schumer going out with women on TV begging him for help.
[00:16:04.665 --> 00:16:05.326]  We're freezing.
[00:16:05.346 --> 00:16:06.046]  We're freezing.
[00:16:06.086 --> 00:16:07.067]  We don't have any food.
[00:16:07.467 --> 00:16:08.468]  We don't have any water.
[00:16:08.988 --> 00:16:10.048]  And I was watching the video.
[00:16:10.068 --> 00:16:11.989]  These are pretty nice houses these people are living in.
[00:16:12.329 --> 00:16:14.869]  I could see mentally disabled, whatever, needing help.
[00:16:15.189 --> 00:16:16.570]  That's who government's supposed to help.
[00:16:16.890 --> 00:16:18.290]  By the way, it's coming out in the news.
[00:16:18.330 --> 00:16:19.230]  I have it here in my stack.
[00:16:20.111 --> 00:16:23.411]  The churches are where everyone is congregating and organizing.
[00:16:23.892 --> 00:16:30.233]  And it is the churches that people that did put food and water behind are going and donating part of what they've got.
[00:16:30.813 --> 00:16:33.974]  And that's what's holding society together seven days into this.
[00:16:35.066 --> 00:16:40.951]  The churches are the ones, and the Red Cross, as usual, is taking the money and hoarding it, and will keep almost all of it.
[00:16:42.032 --> 00:16:42.712]  That's what they do.
[00:16:42.972 --> 00:16:44.494]  United Way, shame, ball of wax.
[00:16:46.015 --> 00:16:52.220]  Salvation Army is trying to help some people, but government is there directing everything, and they won't let you help them.
[00:16:52.240 --> 00:16:55.863]  You have to go get directions from them, and then they won't ever give you directions.
[00:16:57.592 --> 00:17:00.793]  And so there are just generators and piles of food and water.
[00:17:01.033 --> 00:17:01.714]  That's being reported.
[00:17:01.754 --> 00:17:04.495]  I have it here on the stack as people beg for help.
[00:17:04.615 --> 00:17:06.215]  And it is Katrina 2.0.
[00:17:07.976 --> 00:17:11.117]  It is Katrina 2.0 right now.
[00:17:12.498 --> 00:17:13.438]  Sandy is Katrina 2.0.
[00:17:13.978 --> 00:17:16.739]  Melissa Melton writing for InfoWars.com.
[00:17:17.560 --> 00:17:20.861]  Threats to riot by Obama supporters reach crescendo.
[00:17:22.190 --> 00:17:23.230]  I played these clips yesterday.
[00:17:23.250 --> 00:17:24.651]  I'm going to play them again today, back-to-back.
[00:17:25.031 --> 00:17:27.652]  Michael Moore running videos saying, burn down U.S.
[00:17:27.672 --> 00:17:31.614]  cities and Obama not re-elected, and rip Romney's genitals off.
[00:17:33.015 --> 00:17:35.075]  And then they go on to say in Spanish, yes we can.
[00:17:35.095 --> 00:17:40.338]  I mean, this is organized calling and saying, hey, it's good to riot if your guy doesn't win.
[00:17:41.827 --> 00:17:44.489]  We have Bill Maher on HBO saying the same thing.
[00:17:44.509 --> 00:17:47.451]  Black people are going to hunt down whites and attack them.
[00:17:48.471 --> 00:17:52.894]  Again, they're selling the idea that it's racist if people vote for Romney.
[00:17:52.934 --> 00:17:55.036]  And I'm not even a Romney supporter.
[00:17:55.116 --> 00:17:56.116]  I know he's a globalist.
[00:17:56.617 --> 00:18:07.924]  But when you watch the Democrats, who are the benchmark of going as low as they can go, I mean, it is incredible how they are pimping racial division and selling it.
[00:18:08.996 --> 00:18:11.639]  Because that's how they operate.
[00:18:13.120 --> 00:18:15.142]  They need to keep the old paradigm going.
[00:18:16.524 --> 00:18:18.766]  Because with young people, folks, I'm pretty young.
[00:18:19.026 --> 00:18:21.048]  And I grew up in more modern times.
[00:18:21.429 --> 00:18:24.612]  I mean, I did not really ever see any type of racial stuff.
[00:18:25.643 --> 00:18:26.903]  Growing up in Dallas, Texas.
[00:18:27.603 --> 00:18:30.624]  I mean, different groups of people didn't know each other, would beat each other up.
[00:18:31.024 --> 00:18:33.085]  Two different groups of black guys would beat each other up.
[00:18:33.485 --> 00:18:37.546]  White guys and black guys would get in a fight because they were just a different group of people.
[00:18:38.386 --> 00:18:40.706]  Different groups of Mexicans would get in fights with Mexicans.
[00:18:40.746 --> 00:18:42.507]  Different whites would get in fights with Mexicans.
[00:18:42.767 --> 00:18:47.568]  I mean, there was lots of that going on, but it wasn't, hey, we're going to beat you up because you're white, generally.
[00:18:48.288 --> 00:18:49.949]  Or we're going to beat you up because you're Mexican.
[00:18:49.989 --> 00:18:52.230]  It was people were getting in fights and they didn't know.
[00:18:52.270 --> 00:18:55.371]  I mean, you'd go to a bonfire, be a bunch of people in cowboy hats there.
[00:18:55.391 --> 00:18:56.572]  And well, who are you?
[00:18:56.592 --> 00:18:57.792]  I don't know who you are.
[00:18:57.832 --> 00:19:01.534]  You look just like me, but I'm going to break your nose because I just feel like getting in a fight.
[00:19:02.835 --> 00:19:07.757]  That kind of stuff went on, but racial type stuff, I never really ran into that.
[00:19:08.379 --> 00:19:12.021]  And the issue here is is that you turn on MSNBC.
[00:19:12.801 --> 00:19:13.802]  They are pushing it.
[00:19:14.362 --> 00:19:15.602]  You don't like government health care?
[00:19:15.703 --> 00:19:16.763]  You don't like socialism?
[00:19:16.803 --> 00:19:17.523]  You're a racist.
[00:19:18.364 --> 00:19:21.445]  And it is incredible what Paul Watson's put together.
[00:19:21.765 --> 00:19:24.167]  Threats for riot by Obama supporters reaches crescendo.
[00:19:24.547 --> 00:19:27.208]  Thousands of tweets on established tweets.
[00:19:27.268 --> 00:19:28.509]  So many we can't even count them.
[00:19:29.669 --> 00:19:32.551]  Literally saying they're going to kill Romney, they're going to do this and that.
[00:19:32.971 --> 00:19:34.072]  Racial type stuff.
[00:19:34.592 --> 00:19:41.056]  And what do you expect when you've got a white guy, a poverty pimp, a divide and conquer expert, an abortion lover.
[00:19:42.977 --> 00:19:48.981]  You've got a death lover, like Bill Maher gets up and says, hey, white folks, you vote for Romney, black people know where you're at.
[00:19:50.330 --> 00:19:58.597]  Imagine that level of garbage and Michael Moore and all of them pimping racial division because that's how they control people.
[00:19:59.438 --> 00:20:00.699]  Unbelievable.
[00:20:01.679 --> 00:20:02.740]  Unbelievable.
[00:20:02.820 --> 00:20:11.548]  So, God forbid Obama not win tomorrow because if there's an upset and Romney wins, we're probably going to see some rioting.
[00:20:12.984 --> 00:20:17.789]  Have you ever wanted to generate your own supply of electrical power, even save money on your electric bill?
[00:20:17.929 --> 00:20:21.032]  If so, this is going to be the most important message you will ever hear.
[00:20:21.212 --> 00:20:23.374]  Solar power generators are now available.
[00:20:23.634 --> 00:20:28.159]  These emergency backup systems provide life-saving electrical power when you need it most.
[00:20:28.399 --> 00:20:34.325]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:20:34.645 --> 00:20:37.808]  It's like having an electric power plant running quietly in your own home.
[00:20:38.148 --> 00:20:42.011]  Run some pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:20:42.272 --> 00:20:47.216]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through painful power outages again.
[00:20:47.476 --> 00:20:48.337]  And here's the best news.
[00:20:48.437 --> 00:20:56.023]  A remarkable fall truckload sale going on right now that gets you $1,700 in bonuses when you buy a solar generator.
[00:20:56.244 --> 00:20:59.647]  To find out why solar generators are the best generators and get $1,700 for doing so,
[00:21:01.348 --> 00:21:03.110]  Go to falltruckloadsale.com.
[00:21:03.150 --> 00:21:04.931]  That's falltruckloadsale.com.
[00:21:05.171 --> 00:21:07.253]  Generate your own supply of electricity.
[00:21:07.493 --> 00:21:09.475]  Go to falltruckloadsale.com.
[00:21:09.675 --> 00:21:11.537]  That's falltruckloadsale.com.
[00:21:13.564 --> 00:21:20.028]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:21:20.348 --> 00:21:24.830]  MyPatriotSupply.com is owned and operated by patriots just like you.
[00:21:25.110 --> 00:21:34.315]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:21:34.616 --> 00:21:40.539]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:21:40.799 --> 00:21:42.081]  Look for the deal of the day.
[00:21:42.381 --> 00:21:45.606]  Unique, affordable survival supplies that fit anyone's budget.
[00:21:45.786 --> 00:21:49.051]  Get same day shipping on all orders and free shipping on orders over $49.
[00:21:49.131 --> 00:21:49.352]  Call 866-229-0927.
[00:21:49.372 --> 00:21:49.412]  866-229-0927.
[00:21:57.083 --> 00:22:03.032]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:22:03.473 --> 00:22:06.177]  Shop with a name you know and a name you can trust.
[00:22:06.377 --> 00:22:09.122]  Before it's time to survive, it's time to prepare.
[00:22:09.402 --> 00:22:10.764]  MyPatriotSupply.com
[00:22:11.992 --> 00:22:19.138]  HempUSA.org has a revolutionary wonder food for detoxing the body and rebuilding the immune system.
[00:22:19.338 --> 00:22:27.665]  Microplant powder can help unclog arteries and soften heart valves while removing heavy metals, virus, fungus, bacteria and parasites.
[00:22:27.865 --> 00:22:31.408]  Plus, it cleans and purifies the blood, lungs, stomach and colon.
[00:22:31.568 --> 00:22:34.551]  Keep your body clean with Microplant Powder.
[00:22:34.851 --> 00:22:38.094]  Visit us at HempUSA.org or call 908-691-2608 today!
[00:22:41.585 --> 00:22:42.646]  Hi, this is Ted Anderson.
[00:22:42.826 --> 00:22:47.209]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:47.389 --> 00:22:53.093]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:53.193 --> 00:22:56.595]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:56.835 --> 00:22:59.437]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:59.557 --> 00:23:04.460]  Don't get left behind by rising inflation and low returns.
[00:23:04.620 --> 00:23:04.841]  Call 800-686-2237.
[00:23:04.861 --> 00:23:06.262]  Secure your future and call 1-800-686-2237.
[00:23:11.425 --> 00:23:11.520]  Yeah.
[00:23:13.646 --> 00:23:18.409]  That's what it sounds like when a burglar kicks in the door of a dark house that looks like no one is home.
[00:23:18.729 --> 00:23:20.590]  Don't let your home be the next target.
[00:23:20.870 --> 00:23:24.212]  Make it look like someone is home watching television with Fake TV.
[00:23:24.513 --> 00:23:28.795]  Fake TV is a small electronic device that makes the same light as a real television.
[00:23:28.995 --> 00:23:31.857]  So from outside, it looks like someone is home watching TV.
[00:23:32.117 --> 00:23:36.440]  Fake TV plugs in just like a lamp on a timer, but is far more convincing to burglars.
[00:23:36.720 --> 00:23:42.744]  Fake TV deters burglars, costs far less than an alarm, and is highly recommended by numerous police departments.
[00:23:43.064 --> 00:23:44.725]  Use it anytime you're away from home.
[00:23:44.965 --> 00:23:52.948]  To order your fake TV for only $34.95, go to Faketv.com or call 1-877-5-FAKE-TV.
[00:23:53.248 --> 00:23:54.829]  Each additional fake TV is only $29.95.
[00:23:56.269 --> 00:23:58.510]  So get one for you and one for a loved one.
[00:23:58.690 --> 00:24:01.451]  For safety, security, and peace of mind for both of you.
[00:24:01.671 --> 00:24:07.214]  Call 877-5-F-A-K-E-TV or go to Faketv.com.
[00:24:07.414 --> 00:24:08.734]  Faketv.com.
[00:24:09.014 --> 00:24:10.295]  The burglar deterrent.
[00:24:22.558 --> 00:24:38.926]  You see, I don't think, I know that the robber barons, the British, the Dutch royalty, the Rothschilds funded eugenics, funded Adolf Hitler, funded Kaiser Wilhelm before that and the Kaiser Wilhelm Institute.
[00:24:40.817 --> 00:24:57.021]  I know the Democratic Party decided in about 1910 to stop being racist towards blacks and other minorities so they could get control of their communities and destroy their communities and break up their families and imprison them and abort their children.
[00:24:58.120 --> 00:24:59.781]  Because Margaret Singer wrote letters about it.
[00:24:59.821 --> 00:25:01.782]  They're online, they're public, the scans of it.
[00:25:02.383 --> 00:25:03.684]  They're in her university papers.
[00:25:04.144 --> 00:25:12.370]  And so that's why when I watch MSNBC, and I watch Bill Maher, and he separately says, I want more abortion, more death, I know who he's talking about.
[00:25:12.390 --> 00:25:16.412]  And then when he tries to play whites and blacks off against each other, I know what he's doing.
[00:25:17.233 --> 00:25:18.734]  He is dividing and conquering.
[00:25:18.754 --> 00:25:19.795]  And let me tell you something, folks.
[00:25:20.811 --> 00:25:25.133]  If my children are going to be free, your children have got to be free, no matter what color they are.
[00:25:25.754 --> 00:25:27.495]  And I want you to be free.
[00:25:27.655 --> 00:25:38.141]  I want you to be wealthy, and successful, and dynamic, and I want our progeny to colonize the stars together, because we are humankind together.
[00:25:38.901 --> 00:25:45.085]  And I am so sick of the racist, social engineering, vicious Democratic Party,
[00:25:45.865 --> 00:25:54.904]  Waging unmitigated hellish war against minorities who sit there dumbed down just like the moron Democrat white people.
[00:25:56.778 --> 00:26:00.500]  And who sit there while they're being exterminated and dumbed down and domesticated.
[00:26:00.680 --> 00:26:06.364]  And then you got the Republicans, who on average are a little more informed, a little more successful.
[00:26:06.624 --> 00:26:15.189]  They at least know that free market's better, and that small businesses are better, and that government can't and won't deliver, and that there is no free lunch.
[00:26:16.089 --> 00:26:25.255]  But they hate the Democrats so much, they can't figure out the Republicans are totally bought and paid for by the same group, and are just there to play the part of the opposition.
[00:26:26.846 --> 00:26:33.810]  By the way, Mitt Romney does plan on trying to stir up war with Russia and others when he gets elected.
[00:26:35.171 --> 00:26:36.472]  Obama's been doing the same thing.
[00:26:36.752 --> 00:26:39.073]  He just puts out all this pro-Russia rhetoric.
[00:26:40.114 --> 00:26:44.397]  You will get the neocons who like to run around openly threatening people if Mitt Romney gets in.
[00:26:44.817 --> 00:26:46.438]  I'm not hoping Mitt Romney gets in.
[00:26:46.838 --> 00:26:47.959]  I'm going to tell you something, though.
[00:26:48.539 --> 00:26:53.902]  Intellectually, at a gut level, and it wasn't like this even a year ago, I know
[00:26:57.927 --> 00:27:02.152]  And I fear that things are going to accelerate really bad under Obama.
[00:27:04.033 --> 00:27:05.055]  And that's all I can say.
[00:27:05.295 --> 00:27:06.216]  And maybe that's a good thing.
[00:27:07.281 --> 00:27:17.889]  Because, you know, Romney in every poll, every national poll and in all the major swing states, had come to a dead heat or was three to five points, six points and some ahead of Obama.
[00:27:18.209 --> 00:27:32.399]  And the hurricane hit and I told you that it would let him grandstand, get the surge out of the news, get Benghazi out of the news, the Benghazi cover-up, which is now confirmed that they had live video feeds of it and stood down for five hours, that's confirmed.
[00:27:35.262 --> 00:27:42.876]  I said, and I'm not a rocket scientist here, I said this, if anything gets Obama in, this is it, along with election fraud.
[00:27:42.916 --> 00:27:46.823]  But both sides do it, so it's whoever can control the most machines and engage in the most cheating.
[00:27:47.702 --> 00:27:56.249]  And who knows when everything's so corrupted, it's just, it's like a hall of mirrors with a smoke machine going, you know, with the ceiling turned upside down.
[00:27:56.309 --> 00:27:57.810]  I mean, on a roller coaster.
[00:27:58.811 --> 00:28:04.796]  All I know is we got a bunch of crooks running things, and we can rearrange deck chairs on the Titanic all day long.
[00:28:05.902 --> 00:28:09.184]  And see, I desperately, I'm just like everybody else.
[00:28:09.304 --> 00:28:16.748]  I hoped Obama, I didn't support him because I wasn't stupid, but I said I hope Obama lives up to his promises four years ago, but I said his advisors are all globalist.
[00:28:17.229 --> 00:28:18.850]  He's going to break every promise, and he did.
[00:28:19.930 --> 00:28:29.256]  Except for giving you socialist health care, and that's not even socialist, it's written by the big megabanks that own the insurance companies, so I guess it was a fraud too, but he at least delivered on the surface with that.
[00:28:30.416 --> 00:28:32.518]  And he got in and it was just as bad as I thought it would be.
[00:28:33.493 --> 00:28:35.754]  Exactly what I said would happen, happen, because I know the agenda.
[00:28:36.354 --> 00:28:45.958]  And I'm here, even though I'm not supporting Romney or Obama, I've got to say, well, at least Romney says he's anti-abortion, at least he says he won't try to ban handguns and rifles, as Obama has said.
[00:28:47.058 --> 00:28:57.183]  And then I feel immoral for not endorsing and pushing Romney, because I go, well, what happens if Obama gets in and totally takes over, and it's ten times worse, and isn't facing re-election, and then it really gets bad?
[00:28:57.203 --> 00:28:57.963]  Well, I wish later.
[00:28:58.183 --> 00:28:58.743]  But you know what?
[00:28:58.843 --> 00:29:02.965]  It's just all evil, and that's the way it is, and we as a nation are being judged here.
[00:29:04.474 --> 00:29:14.259]  And I'm normally very decisive, but when you're rearranging deck chairs in the Titanic, the reason I can't figure out what's better, in my mind, of the two is because the whole ship is sinking!
