[00:00:41.150 --> 00:00:44.252]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:09:17.545 --> 00:09:25.330]  So it's okay for them to carry weapons when they're being forced into fourth, fifth, sixth tours, put into that meat grinder where anybody would go crazy.
[00:09:25.891 --> 00:09:31.855]  And in particular, they're going crazy all the more because they know there's not a real mission going on.
[00:09:32.255 --> 00:09:33.936]  This happened during Vietnam as well.
[00:09:34.036 --> 00:09:42.602]  So many soldiers lost faith, lost their sense of duty and purpose because they knew all of this was bogus based on lies.
[00:09:43.162 --> 00:10:08.617]  Basically, our foreign policy has been hijacked, and a lot of these people don't want to serve these nefarious agendas, and we're seeing the unfortunate results roll out as the state wants itself to be the only power monopoly, wants to demonize legal firearm ownership, starting with the veterans, supposedly the heroes that we've all put yellow ribbons on our cars and heralded as great folks when they're serving overseas, but when they come home, different story.
[00:10:09.147 --> 00:10:20.093]  So of course we're seeing this script come to life where white Al Qaeda, where regular Americans, where Tea Party members, where returning veterans, they're all demonized at the exact point in time when the U.S.
[00:10:20.293 --> 00:10:23.955]  and its foreign policy allies are openly working with Al Qaeda.
[00:10:24.435 --> 00:10:24.715]  I think?
[00:10:46.570 --> 00:11:06.671]  To a total Big Brother State, total takeover of technology, and the plan they've had all along under Homeland Security since the very beginning, before 9-11, rolled out officially, and the plans under the Patriot Acts 1 and 2, and all the other related legislation, and that is the trusted traveler program.
[00:11:07.151 --> 00:11:19.694]  And part of it has always been Irish scans, but we see fresh in the news today, as though it was just thought of last week randomly by a technology firm, is iScan technology the future of airport security?
[00:11:20.314 --> 00:11:32.657]  And they talk about AOptics Technology and their 42 million dollars in research to try to identify passengers within seconds through an Irish scan, supposedly scanning them through this database.
[00:11:33.257 --> 00:11:36.479]  Now, this doesn't protect anyone's safety, as I'm sure you can figure out.
[00:11:36.859 --> 00:11:40.180]  As I'm sure you realize, TSA is not there for safety.
[00:11:40.521 --> 00:11:44.803]  They're there for prisoner training, acclimation to this wider police state.
[00:11:45.283 --> 00:11:53.267]  If they wanted to profile people, they never would have let the suspected hijackers in on the visas during 9-11.
[00:11:53.587 --> 00:11:59.530]  They never would have let the underwear bomber on the plane, giving him State Department clearance to board without a passport.
[00:11:59.890 --> 00:12:01.631]  No, those facts don't matter.
[00:12:01.752 --> 00:12:04.274]  It's just about getting you to get into the system.
[00:12:04.614 --> 00:12:09.378]  And what's to keep someone with violent intentions from registering anyway under the Trusted Traveler Program?
[00:12:09.838 --> 00:12:11.880]  No, it's just about this new system.
[00:12:12.280 --> 00:12:28.273]  It's always been part of the plan, but now we're seeing it rolled out, being gradually accepted, and frankly, in a way, they like all the revolt against the pat-downs and the body scanners because it presents the false Hegelian option of this new Trusted Traveler Program's biometrics
[00:12:28.593 --> 00:12:31.494]  To be the only way you'll be allowed to travel in the future.
[00:12:31.914 --> 00:12:40.216]  All this was written about by the eugenicists and the other world domination schemers more than a hundred years ago, but I'm sure no one's interested in all of that.
[00:12:40.956 --> 00:12:46.257]  Also in technology news, scientists have successfully hacked the brain to obtain private data.
[00:12:46.658 --> 00:12:56.100]  They say they've used off-the-shelf emotive brain technology, which costs a mere $300, and they're able to use it to basically elicit
[00:12:56.460 --> 00:12:58.041]  At least in their practical principles.
[00:12:58.361 --> 00:13:02.004]  Things like pen numbers, memorized security numbers, passwords.
[00:13:02.364 --> 00:13:08.129]  It's all part of this familiar interface recognition inside the brain that they've learned to recognize.
[00:13:08.469 --> 00:13:20.698]  They call it the P300 signal and they say that signal, the P300, is typically given off when a person recognizes something meaningful such as someone or something they interact with on a regular basis.
[00:13:21.078 --> 00:13:22.339]  So you've got these researchers
[00:13:22.739 --> 00:13:33.701]  Basically, masterminding how to read your mind and especially to gather some of the most sensitive data, the stuff we've all learned to memorize to access our various accounts online.
[00:13:34.221 --> 00:13:44.224]  Now, that's all in danger with very cheap technology that obviously leaves it wide open to hackers and everyone else and governments who spy on us without warrants.
[00:13:44.824 --> 00:13:47.124]  Meanwhile, more prisoner training news.
[00:13:47.344 --> 00:13:50.645]  Austin Kids, the latest to be tracked with GPS technology,
[00:13:51.105 --> 00:14:01.389]  They're doing rollouts in nine schools here in Austin, Texas, where I live, as well as in San Antonio, Dallas, La Jolla, and this has already been done in places all across the country.
[00:14:01.709 --> 00:14:12.793]  They're going to carry a cell phone-like device that registers a GPS signal tracking each of the 1,700 students in this particular program at several intervals throughout the day.
[00:14:12.933 --> 00:14:18.855]  It registers them with a quote-unquote mentor who's going to check in with them and make sure they're doing what they're told.
[00:14:19.395 --> 00:14:39.192]  All of this erodes parental rights, not only to indoctrinate your kids with actual facts and knowledge from actual books instead of from government institutions with watered-down Big Brother rewritten history versions, but also to physically track you and treat you what public schools have long already felt like, well, a prison.
[00:14:39.625 --> 00:14:41.406]  Where they also track prisoners.
[00:14:41.466 --> 00:14:50.572]  Of course, many of the prisoners out on parole and other release programs have already been forced to wear GPS bracelets, ankle bracelets, and the like.
[00:14:51.013 --> 00:14:57.237]  And now basically the other vulnerable populations, like students, are being met with this as well.
[00:14:57.617 --> 00:15:06.023]  You've seen them also push it with the elderly, where they say, you know, they could have loss of memory, they could have dementia, what have you, and get lost.
[00:15:06.063 --> 00:15:09.165]  And that's a way to find them again and keep everyone safe.
[00:15:09.864 --> 00:15:12.065]  Everything must be accepted because of safety.
[00:15:12.445 --> 00:15:14.766]  Well, we know what Benjamin Franklin said about that.
[00:15:14.846 --> 00:15:19.227]  Those who give up their essential liberty for safety will, of course, get neither.
[00:15:19.908 --> 00:15:29.091]  And Paul Watson adds to his report on the GPS tracking device how they've already put private surveillance cameras into homes in the UK.
[00:15:29.451 --> 00:15:35.293]  There was the episode of the school district in Pennsylvania where the laptops were spying on kids in their homes.
[00:15:36.253 --> 00:15:36.533]  Why?
[00:15:36.613 --> 00:15:38.134]  To make sure they were eating right?
[00:15:39.741 --> 00:15:40.983]  Make sure they were doing their homework.
[00:15:41.544 --> 00:15:43.147]  This is getting really creepy, folks.
[00:15:43.167 --> 00:15:47.795]  We've got to say no to this, but instead it's just another step in keeping everyone safe.
[00:15:47.855 --> 00:15:48.536]  No big deal.
[00:15:48.596 --> 00:15:49.758]  All the parents signed off.
[00:15:50.159 --> 00:15:51.441]  Everyone has permission.
[00:15:52.162 --> 00:15:55.964]  Now in fluoride news, Portland, Oregon is a major metropolitan city.
[00:15:56.304 --> 00:15:59.545]  It's been one of the last bastions holding out against fluoride.
[00:15:59.565 --> 00:16:06.949]  You've got a lot of activist people in Oregon, a lot of people aware of social issues, and certainly a lot of people opposed to fluoride.
[00:16:07.269 --> 00:16:18.494]  Although there's at least two key members of the city council there opposed to the fluoridation scheme, the mayor has joined in league with the other members of the council, and they are well on their way to pushing this through.
[00:16:18.894 --> 00:16:21.035]  That is, unless people stop them.
[00:16:21.756 --> 00:16:23.777]  They're going to vote on it in the near future.
[00:16:23.797 --> 00:16:29.540]  They don't have a date yet, but they've actually had a lot of controversy over the public water supply in recent years.
[00:16:29.981 --> 00:16:40.807]  On the one hand, they've been jacking up the rates, skyrocketing the prices of water and other essential wastewater and recycling utilities, but they've also been arguing over
[00:16:41.267 --> 00:16:51.369]  Some of the largest and last remaining open-air water reservoirs in the country saying those are unsafe because chemicals could get in, because dead animals could get in.
[00:16:52.069 --> 00:16:59.951]  And somehow the compromise there has been to deal with these open-air reservoirs until they put in a new system to cover them up because of the danger.
[00:17:00.331 --> 00:17:05.652]  Well, they're going to add another toxic chemical known as fluoride to help you, again, with your safety.
[00:17:05.732 --> 00:17:07.152]  Never mind those Harvard studies.
[00:17:07.212 --> 00:17:08.633]  Never mind the effect on the IQ.
[00:17:10.148 --> 00:17:11.529]  You know what direction that's all going.
[00:17:11.870 --> 00:17:13.531]  We'll turn now to our quote of the day.
[00:17:13.971 --> 00:17:15.593]  It comes from former U.S.
[00:17:15.633 --> 00:17:17.074]  Senator George Malone.
[00:17:17.154 --> 00:17:20.978]  He said this in 1957 about the banking system.
[00:17:21.538 --> 00:17:29.125]  I believe that if people of this nation fully understood what Congress has done to them over the last 49 years, they would move on Washington.
[00:17:29.565 --> 00:17:31.087]  They would not wait for an election.
[00:17:31.527 --> 00:17:35.471]  It adds up to a preconceived plan to destroy the economic and social
[00:17:35.931 --> 00:17:46.676]  Independence of the United States and surely he was talking very closely about the rise of the Federal Reserve banking system which was passed and implemented starting in 1913.
[00:17:47.636 --> 00:17:50.037]  But of course some of the legwork was done before that.
[00:17:50.537 --> 00:17:56.840]  One of those patriots who spoke out against the system but not for long because we are still under their thumb.
[00:17:57.361 --> 00:17:58.902]  It's time to fight back against them.
[00:17:59.222 --> 00:18:01.464]  We'll be back after this with Lloyd Chapman.
[00:18:01.504 --> 00:18:02.125]  Stay tuned.
[00:18:02.165 --> 00:18:04.106]  Keep watching the InfoWars Nightly News.
[00:18:04.146 --> 00:18:05.607]  We're growing bigger and stronger.
[00:18:05.647 --> 00:18:06.608]  We're adding reporters.
[00:18:06.948 --> 00:18:08.149]  What are you doing on your end?
[00:18:08.209 --> 00:18:10.191]  Are you using PlanetInfoWars.com?
[00:18:10.491 --> 00:18:11.652]  How are you getting the word out?
[00:18:11.752 --> 00:18:12.532]  Are you in the streets?
[00:18:12.572 --> 00:18:14.394]  Are you confronting people with video cameras?
[00:18:14.874 --> 00:18:18.697]  Well, we're going to watch and we're going to see and we're going to cover your reports when they're good.
[00:18:19.077 --> 00:18:20.498]  Stick around now after the break.
[00:18:20.518 --> 00:18:21.179]  We'll be right back.
[00:18:46.494 --> 00:18:52.599]  I really enjoy it when the globalists try to poison us and, well, we resist them via a free market system.
[00:18:53.519 --> 00:18:55.060]  Hello, my fellow info warriors.
[00:18:55.220 --> 00:19:00.464]  Alex Jones here, introducing you to the ProPure family of gravity-fed filters.
[00:19:00.925 --> 00:19:07.870]  Now, you know that the globalists are filling our water with radioactive isotopes, fluoride, lead, mercury, arsenic.
[00:19:08.570 --> 00:19:17.919]  And one of the few systems that can efficiently and economically remove or reduce down to non-detectable levels these poisons are gravity-fed filters.
[00:19:18.359 --> 00:19:20.641]  And ProPure is the top of the line.
[00:19:21.142 --> 00:19:23.724]  Their filters are impregnated with silver.
[00:19:24.545 --> 00:19:25.725]  A natural antibiotic.
[00:19:26.386 --> 00:19:29.747]  On top of that, they're bigger, so they filter faster.
[00:19:30.047 --> 00:19:33.148]  You don't have to prime these the first time you use them.
[00:19:33.528 --> 00:19:34.189]  It's amazing.
[00:19:34.229 --> 00:19:40.011]  Go to InfoWars.com and click on the shopping cart link to see the entire family of these babies.
[00:19:41.044 --> 00:19:46.047]  Now, the fluoride they add to our water is so tiny that most filters can't cut it out.
[00:19:46.307 --> 00:19:52.270]  But ProPure has their system that will, again, reduce it to non-detectable levels.
[00:19:52.410 --> 00:19:54.271]  Almost get all of it out of there.
[00:19:54.591 --> 00:19:55.572]  That's also available.
[00:19:55.892 --> 00:20:07.858]  And if you look at the different systems they offer, the ProPure big brush finish is on a stand, so it's easier on a table or at your restaurant or wherever you have it to go up with a glass or a mug and fill it up.
[00:20:07.978 --> 00:20:12.042]  Then there's this big baby right here, the Pro-Pure King large version.
[00:20:12.262 --> 00:20:14.364]  Got a lot of different options that come with it.
[00:20:14.744 --> 00:20:19.048]  Also, they have the Pro-Pure Big, probably one of the best values out there.
[00:20:19.328 --> 00:20:21.310]  And of course, it's burnished stainless steel.
[00:20:21.690 --> 00:20:29.077]  And then, what I use on my RV, something that's great for your hunting cabin or the back porch, is the Pro-Pure Traveler.
[00:20:29.597 --> 00:20:34.800]  Small and portable but packs a huge punch, cleans out all that garbage.
[00:20:35.180 --> 00:20:41.864]  They also have a glass site spigot so you don't have to take the top off and look in the bottom area to see how much water.
[00:20:41.904 --> 00:20:45.366]  You can see how fast it's filtering with this optional system.
[00:20:45.606 --> 00:20:46.267]  The Globalist
[00:20:46.727 --> 00:20:48.469]  Obviously, you're hitting us through our water.
[00:20:48.770 --> 00:20:50.452]  It's time to take control of our lives.
[00:20:50.712 --> 00:20:58.602]  It's time to not give our children and families these poisons, and these systems cut it down to non-detectable levels across the board.
[00:20:58.962 --> 00:21:01.205]  ProPure is the name.
[00:21:01.726 --> 00:21:03.728]  I only promote what I believe in.
[00:21:04.349 --> 00:21:07.912]  And I use ProPure in my home and my office.
[00:21:08.212 --> 00:21:12.476]  And I recommend that you check out the information on ProPure at Infowars.com.
[00:21:12.696 --> 00:21:18.921]  We already have the lowest price at Infowars.com on the ProPure gravity filter system.
[00:21:19.702 --> 00:21:27.689]  But when you add in the 10% off when InfoWarriors use the product code WATER at InfoWars.com, nobody can top it.
[00:21:28.090 --> 00:21:29.431]  So again, it's a win-win-win.
[00:21:29.491 --> 00:21:31.072]  Stop drinking the poison water.
[00:21:31.853 --> 00:21:34.115]  Checkmate the globalists when it comes to your health.
[00:21:34.696 --> 00:21:38.179]  And support InfoWars.com and the work we're doing here.
[00:21:38.519 --> 00:21:42.820]  You know, many revolutionaries rob banks and things and kidnap people for funds.
[00:21:43.221 --> 00:21:47.802]  We promote in the free market the products we use that are about preparedness.
[00:21:48.122 --> 00:21:58.306]  That's how we fund this revolution against the New World Order in our move to restore our constitutional republic and the spirit of 1776 worldwide.
[00:21:58.706 --> 00:22:00.346]  Check it out at InfoWars.com.
[00:22:00.746 --> 00:22:05.708]  ProPure, top of the line, number one, most powerful and effective
[00:22:05.748 --> 00:22:06.349]  Thank you.
[00:22:24.682 --> 00:22:29.206]  Alex Jones here with a message that could revolutionize health in this country.
[00:22:29.506 --> 00:22:35.331]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:22:35.731 --> 00:22:38.073]  Erin Dykes lost 92 pounds.
[00:22:38.453 --> 00:22:41.356]  We're going to show you some before and afters.
[00:22:41.776 --> 00:22:43.537]  Aaron, break down what happened.
[00:22:43.577 --> 00:22:44.138]  Your story.
[00:22:44.418 --> 00:22:49.481]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:22:49.521 --> 00:22:50.382]  It just didn't happen.
[00:22:50.682 --> 00:22:53.284]  Then I saw what you were doing with Infowarsteam.com.
[00:22:53.764 --> 00:22:57.567]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:22:57.607 --> 00:22:58.547]  I wanted that nutrition.
[00:22:58.567 --> 00:22:59.548]  Didn't even understand.
[00:22:59.688 --> 00:23:04.092]  How that could kickstart my own weight loss goals, but the products did that for me.
[00:23:04.432 --> 00:23:12.198]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods, and they don't even advertise it as weight loss!
[00:23:12.518 --> 00:23:16.081]  I want to challenge our radio listeners to go to Infowarsteam.com.
[00:23:16.601 --> 00:23:21.846]  Sign up as a distributor and get wholesale pricing discounts at Infowarsteam.com.
[00:23:30.717 --> 00:23:32.799]  We are back on the InfoWars Nightly News.
[00:23:32.839 --> 00:23:39.445]  We turn now to Lloyd Chapman, head of the American Small Business League at absl.com.
[00:23:39.765 --> 00:23:41.186]  Thanks for joining us, Mr. Chapman.
[00:23:41.526 --> 00:23:41.907]  Thank you.
[00:23:42.819 --> 00:24:01.745]  So we've got an election coming up, obviously the economy is one of the biggest issues around, and you've stumbled onto the story really no one wants to talk about, although it has been in the mainstream press, and that's the fact that small businesses are being kept from the kind of dollars that they're legally have been required to receive.
[00:24:02.185 --> 00:24:06.746]  And obviously, without a promotion of small business, we're never going to see true economic growth.
[00:24:07.106 --> 00:24:12.968]  It's just going to stagnate in those big corporate welfare circles that aren't really creating new jobs.
[00:24:13.768 --> 00:24:14.388]  Absolutely.
[00:24:14.888 --> 00:24:15.488]  Absolutely.
[00:24:15.808 --> 00:24:18.149]  Well, break down some of the key issues for us on this.
[00:24:18.689 --> 00:24:19.029]  All right.
[00:24:20.469 --> 00:24:31.012]  Well, most recently, I've seen on the news, I think it was last Thursday, the Congressional Budget Office came out and said that we're on the verge of another economic meltdown.
[00:24:32.798 --> 00:24:36.929]  People are now starting to admit that Europe is in a depression.
[00:24:40.805 --> 00:24:47.030]  The Census Bureau tells us very simply that small businesses are responsible for over 90% of all net new jobs.
[00:24:48.292 --> 00:24:51.074]  Small businesses employ over half of the private sector workforce.
[00:24:51.514 --> 00:24:53.736]  They're responsible for half the gross domestic product.
[00:24:53.756 --> 00:24:55.318]  90% of U.S.
[00:24:55.398 --> 00:24:56.639]  exporters are small businesses.
[00:24:57.339 --> 00:25:04.526]  So it's beyond refute that small businesses are the engine of economic growth in America.
[00:25:05.729 --> 00:25:10.473]  Secondly, federal law says a minimum of 23% of all federal contracts should go to small businesses.
[00:25:11.073 --> 00:25:11.834]  That makes sense.
[00:25:12.675 --> 00:25:27.066]  Small businesses create the overwhelming majority of all net new jobs, so it's a good idea to reinvest our tax dollars into the companies where most Americans work, where most of the gross domestic product is generated, over 90% of the exports, and most of the new jobs.
[00:25:27.607 --> 00:25:28.808]  And yet, for over a decade,
[00:25:29.895 --> 00:25:50.220]  We've seen over a dozen federal investigations that found that most of the money that, by law, should go to small businesses is being illegally diverted to the biggest corporations around the world, not just Fortune 500 firms in the U.S., but Rolls-Royce, British Aerospace, Finmeccanica in Italy with, I think, 76,000 employees.
[00:25:50.660 --> 00:25:52.280]  And about a month ago, it came out that the U.S.
[00:25:52.320 --> 00:25:58.622]  gave, I think, $370 million in small business contracts to an arms dealer owned by the Russian government.
[00:25:59.935 --> 00:26:06.179]  And it's just almost impossible to get this story in the mainstream media because of all the pushback from the government.
[00:26:07.079 --> 00:26:17.206]  Well, obviously these firms getting all the no-bid contracts and the insider information on these contracts are loaded with lobbyists, which small businesses generally cannot afford to provide.
[00:26:18.026 --> 00:26:22.429]  No, plus, you know, the government has hired the biggest public relations firms in the world.
[00:26:22.489 --> 00:26:28.993]  We've done research and through the Freedom of Information Act been able to get the documents that shows
[00:26:30.124 --> 00:26:34.718]  That the SBA, for example, hired an international public relations firm that specializes in crisis management.
[00:26:35.552 --> 00:26:38.174]  So they spent a lot of time trying to keep this story out of the media.
[00:26:38.974 --> 00:26:41.096]  About three months ago, I did an interview with CBS.
[00:26:41.937 --> 00:26:46.800]  And when the interview was over, there was a cameraman, the producer, and a reporter on the phone.
[00:26:47.140 --> 00:26:50.342]  And I told them, I said, this story will never be seen.
[00:26:51.183 --> 00:26:52.804]  I said, you can't do a story about this.
[00:26:52.844 --> 00:27:01.250]  You can't put Lloyd Chapman on national television talking about how the Obama administration is giving billions of dollars a month in small business contracts to Fortune 500 firms.
[00:27:01.270 --> 00:27:02.651]  And they looked at me like I was crazy.
[00:27:03.051 --> 00:27:03.912]  Well, the story never ran.
[00:27:05.774 --> 00:27:09.936]  About a month ago, we worked with the Washington Post for over a month on this story.
[00:27:10.737 --> 00:27:20.682]  We gave them the names of people like Professor Charles Teefer, who is one of the nation's leading experts on federal contracting law to talk to, and Peg Gustafson, the Inspector General for the SBA.
[00:27:22.143 --> 00:27:24.065]  Um, but they never ran the story.
[00:27:24.385 --> 00:27:34.192]  So I've been to this, gosh, probably 100 times over the last 10 years, where I've worked with a major media outlet on this story.
[00:27:34.653 --> 00:27:38.395]  And for a variety of different reasons, the story always gets pulled.
[00:27:38.956 --> 00:27:40.077]  And if the story does run,
[00:27:41.454 --> 00:28:01.278]  I had a piece run at NBC about two months ago here in Northern California, and if you watch it on YouTube, even though there's been a number of reports that say this is fraud, they call it vendor deception, false certification, or proper certifications, if you watch the NBC piece, it closes with three levels of disclaimers that there's no fraud.
