[00:00:15.137 --> 00:00:16.518]  You want to fight?
[00:04:44.097 --> 00:04:48.419]  Bob Costas went on NBC to respond last night and said, hey, I'm doubling down.
[00:04:48.880 --> 00:04:51.101]  Nobody should be able to own a gun, a handgun.
[00:04:51.441 --> 00:04:53.822]  And men 20 to 30 should not be able to own guns.
[00:04:53.943 --> 00:04:55.523]  Men 20 to 30 are bad.
[00:04:55.543 --> 00:04:57.585]  And NFL players are gangbanger scum.
[00:04:58.265 --> 00:04:59.366]  Code 4 black people.
[00:04:59.466 --> 00:05:00.606]  So it's total racism.
[00:05:01.767 --> 00:05:04.510]  The first gun laws were against black people after the Civil War.
[00:05:04.570 --> 00:05:09.776]  The Ku Klux Klan got anti-gun laws to be only selectively enforced against blacks passed in the South.
[00:05:09.816 --> 00:05:10.417]  That's on record.
[00:05:10.437 --> 00:05:12.059]  We've written articles about it.
[00:05:12.079 --> 00:05:18.886]  But that didn't stop black sports writers for Fox Sports to come out and say the NRA is the new Ku Klux Klan.
[00:05:19.227 --> 00:05:22.891]  We covered that in detail at InfoWars.com, but here is the article.
[00:05:24.352 --> 00:05:28.876]  Bob Costas, young men can't own guns without something bad happening.
[00:05:29.316 --> 00:05:32.779]  He went on to say, these NFL players especially, they're just bad people.
[00:05:33.340 --> 00:05:40.146]  NBC Sports broadcaster claims there are no examples of athletes using guns to neutralize dangerous situations.
[00:05:40.366 --> 00:05:45.670]  Paul Watson, Alex Jones article, we've got dozens of examples of rich
[00:05:46.611 --> 00:05:56.033]  Ten million dollar a year, football players, black, white, hispanic, you name it, literally being attacked, being home invaded, and defending themselves with guns.
[00:05:56.514 --> 00:06:01.875]  Just example after example, after example, all right there in the article.
[00:06:02.095 --> 00:06:09.257]  Very important that everybody send this to at Bob Costas and NBC and say, look, don't just sit up there thinking your audience is dumb.
[00:06:11.457 --> 00:06:13.278]  Admit that guns frustrate crimes.
[00:06:14.571 --> 00:06:17.873]  More than 14 times for every crime committed with them.
[00:06:17.893 --> 00:06:19.575]  14 times for every crime.
[00:06:19.635 --> 00:06:20.755]  This is the FBI's own numbers.
[00:06:20.775 --> 00:06:21.896]  That's a conservative year.
[00:06:21.956 --> 00:06:23.377]  Sometimes it's over 20 times.
[00:06:23.978 --> 00:06:25.479]  People stop crime with guns.
[00:06:25.499 --> 00:06:26.439]  I mean, look at the crime maps.
[00:06:26.479 --> 00:06:29.661]  Chicago, New York, other areas that are restrictive of guns.
[00:06:29.681 --> 00:06:31.122]  Higher crime rates.
[00:06:31.182 --> 00:06:32.804]  I mean, it's very, very simple.
[00:06:33.860 --> 00:06:36.362]  And it's time for you to go look at all that right there.
[00:06:36.382 --> 00:06:37.603]  And that's just NFL players.
[00:06:37.623 --> 00:06:41.066]  I mean, you go through professional athletes, it absolutely will blow you away.
[00:06:42.087 --> 00:06:52.135]  All right, let's shift gears now to something that I have been covering for a long, long time that just really frustrates me.
[00:06:53.343 --> 00:07:03.596]  Al-Qaeda, through Saudi Arabian intelligence, controlled by British intelligence, the film Lawrence of Arabia is all about that, created the Wahhabist Al-Qaeda group.
[00:07:03.876 --> 00:07:08.502]  Not the entire Sunni majority Muslim, 80% of Muslims are Sunni.
[00:07:09.843 --> 00:07:14.206]  18% are Shiite, another 2% are other Alawite and other minority groups.
[00:07:14.627 --> 00:07:21.351]  80% roughly of all Muslims, 1.5 billion conservatively worldwide, so that's over a billion people, are Sunnis.
[00:07:21.751 --> 00:07:36.081]  But a minority, the group British Intelligence put in to kind of keep the Middle East backwards and uncivilized, talk about a coup d'etat against humanity, are these Wahhabis out of Saudi Arabia who run major black-op operations, disinfo operations against us.
[00:07:36.361 --> 00:07:39.123]  We've tracked it back to Saudi Arabia because I'm telling the big story here.
[00:07:40.044 --> 00:07:41.506]  The Saudi Arabians are under this tyranny.
[00:07:42.508 --> 00:07:48.216]  I mean, we've had videos on YouTube censored within minutes criticizing the Saudi royal family.
[00:07:49.798 --> 00:07:53.844]  I mean, I've never seen so much heat come down on us but when we cover these people.
[00:07:54.967 --> 00:07:56.808]  And hey, you're tough guys.
[00:07:56.868 --> 00:08:00.150]  You were the big cowboys of what is Saudi Arabia today.
[00:08:00.590 --> 00:08:05.773]  You were the tough, you know, kind of Pancho Villa out in the desert kicking everybody's butt.
[00:08:05.853 --> 00:08:11.416]  I'm not saying you're garbage, but I mean, you are British intelligence operatives.
[00:08:11.476 --> 00:08:12.117]  It's on record.
[00:08:12.597 --> 00:08:17.160]  And you did create Al-Qaeda to attack the Russians in 1979 through 1989.
[00:08:17.680 --> 00:08:21.483]  And you did use Al-Qaeda against the Serbs to attack them so they would respond.
[00:08:21.803 --> 00:08:24.485]  So NATO could come and bomb all of Serbia and take it over.
[00:08:25.145 --> 00:08:27.147]  And you have been used on 9-11.
[00:08:27.527 --> 00:08:29.568]  And you have been used with the underwear bomber.
[00:08:29.628 --> 00:08:30.369]  That was a setup.
[00:08:30.729 --> 00:08:34.332]  And you have been used now in Libya and Syria to just engage in bedlam.
[00:08:34.912 --> 00:08:37.133]  And Al-Qaeda is the sword of the new world order.
[00:08:37.153 --> 00:08:39.215]  And here's a document cam shot of this.
[00:08:39.735 --> 00:08:39.955]  U.S.
[00:08:40.015 --> 00:08:42.157]  aircraft carrier arrives off Syrian coast.
[00:08:43.498 --> 00:09:07.476]  And the whole report I've got here goes over all of this, that the fact that 70 fighter bombers and at least 17 warships, including the three Iowa Gemma amphibious craft and guided missile cruisers to invade Syria have shown up and arrived, and who are they planning to back up?
[00:09:10.666 --> 00:09:14.971]  Well, here is the PrisonPlanet.com, InfoWars.com story right here.
[00:09:15.031 --> 00:09:16.112]  We can document cam that.
[00:09:16.793 --> 00:09:24.321]  Syrian rebels, when we finish with Assad, that's the leader of Syria, we will fight U.S.
[00:09:24.441 --> 00:09:29.987]  And then links to McClatchy newspapers, Israeli newspapers, all linked.
[00:09:31.736 --> 00:09:38.384]  Where they admit that Al-Qaeda is the main force and is forcing Syrian families.
[00:09:38.424 --> 00:09:42.529]  They go into a house, they tell a dad, we're going to kill your five or six kids, we're going to kill your wife.
[00:09:42.569 --> 00:09:43.290]  This is on the news.
[00:09:43.710 --> 00:09:45.652]  Unless you go suicide bomb a government building.
[00:09:45.672 --> 00:09:46.714]  And the dad goes and does it.
[00:09:47.014 --> 00:09:47.755]  I'd probably do it.
[00:09:48.755 --> 00:09:53.019]  And, and, and, you know, if they had my guns to my kids' heads, I probably actually wouldn't.
[00:09:53.219 --> 00:09:54.961]  My God, I'm dedicated to liberty.
[00:09:54.981 --> 00:09:56.342]  But the point is, I'd think about it.
[00:09:56.883 --> 00:09:59.004]  And then they put it on the news and say, isn't it patriotic?
[00:09:59.024 --> 00:10:02.788]  You know, New York Times, they're forcing people to blow themselves up or kill their families.
[00:10:03.408 --> 00:10:04.289]  Torture is good.
[00:10:04.710 --> 00:10:06.051]  And so our government
[00:10:06.591 --> 00:10:20.960]  Our criminal banker government is running Al-Qaeda to take over Libya, now Syria, and has aircraft carrier and three amphibious landing ships and missile cruisers, and there's Russian spitsnats backing up the Assad regime.
[00:10:21.020 --> 00:10:22.241]  He wasn't attacking anybody.
[00:10:22.581 --> 00:10:26.543]  So we're in a proxy war against Russia because bankers have kidnapped our country.
[00:10:27.044 --> 00:10:28.965]  I mean, this is so devastating.
[00:10:29.585 --> 00:10:30.946]  And it's Ian McClatchy.
[00:10:32.424 --> 00:10:53.391]  A shocking report by McClatchy Newspapers, David Enders, I want him on, I want him on immediately, reveals that the militants now on the front lines of the rebel uprising in Syria, we've been reporting this for over a year, supported by the Obama administration and other western powers are Al-Qaeda terrorists who killed U.S.
[00:10:53.411 --> 00:10:57.232]  troops in Iraq and are openly espousing their desire to fight the U.S.
[00:10:57.392 --> 00:10:59.613]  after they toppled Bashar al-Assad.
[00:11:00.373 --> 00:11:23.888]  And back to Document Cam, these guys, and we've got dozens of reports, I mean it's like five reports a week, these guys out of Saudi Arabia, who they brought into Libya, next to Egypt, are now going up here, just north of Israel and Lebanon, they are now going into Syria, which is to get ready to go into Iran over here,
[00:11:24.711 --> 00:11:31.492]  They are openly with signs on the BBC saying, we're done with Libya, we're going to Syria.
[00:11:31.812 --> 00:11:33.433]  They do this.
[00:11:33.453 --> 00:11:33.813]  50,000 at least.
[00:11:34.573 --> 00:11:39.734]  They've been given, and here's the key, not 1,000, not 2,000, not 3,000, not 4,000, not 5,000, not 6,000, not 7,000, not 8,000, not 9,000, not 10,000, not 11,000, 20,000!
[00:11:51.363 --> 00:11:54.766]  Surface-to-air, heat-seeking, and radar-guided SAM missiles.
[00:11:55.987 --> 00:11:58.929]  And they are now saying that when... This is in the news.
[00:11:59.030 --> 00:12:00.251]  This is L.A.
[00:12:00.291 --> 00:12:01.872]  Times, McClatchy, you name it.
[00:12:02.472 --> 00:12:03.753]  Our government gave it to them.
[00:12:03.894 --> 00:12:04.914]  Our banker-run government.
[00:12:05.555 --> 00:12:06.936]  You understand how big this is.
[00:12:07.537 --> 00:12:13.622]  They are saying that they are going, let me repeat this again, to take over Libya.
[00:12:13.702 --> 00:12:14.222]  They did that.
[00:12:14.302 --> 00:12:15.223]  Next we're going to Syria.
[00:12:15.603 --> 00:12:17.325]  Now they say we're going
[00:12:18.894 --> 00:12:21.815]  To Iran, which is Shiite, the Muslim minority.
[00:12:22.316 --> 00:12:29.699]  They're going to go to Iran, and when they're done, they're going to USA.
[00:12:31.080 --> 00:12:46.948]  And the Feds, which are Federal Reserve bankers, they are absolutely going to arm them to come to America, attack us, and then they're going to take all our liberties.
[00:12:48.359 --> 00:12:50.399]  In the name of fighting Al-Qaeda that they run.
[00:12:50.739 --> 00:13:09.223]  The bankers run Al-Qaeda to take over Libya, to take over Syria, to take over Iran, to take over Iraq previously, and now Al-Qaeda, run by British intelligence for a hundred years, is going to attack America and shoot down aircraft with heat-seeking and radar-guided missiles.
[00:13:09.523 --> 00:13:13.644]  They stand two miles from... I'm like three miles from the airport.
[00:13:14.604 --> 00:13:15.804]  These guys could sit there
[00:13:16.920 --> 00:13:20.803]  And just wait till aircraft pull off, take off, blow them up, when they're coming in, blow them up.
[00:13:21.063 --> 00:13:21.923]  And they will do it.
[00:13:22.144 --> 00:13:27.827]  And the media thinks you're so dumb, they are going to do all this until you give your rights up because of Al Qaeda.
[00:13:28.088 --> 00:13:30.889]  And it may not even be Al Qaeda, it may be other mercenaries doing it.
[00:13:31.230 --> 00:13:32.811]  I mean, this is how you bring a country down.
[00:13:33.071 --> 00:13:38.935]  If you're bankers, you've got terrorists, extremists, whoever, you use them to stage stuff to scare everybody to take over.
[00:13:39.215 --> 00:13:40.316]  I mean, is this what
[00:13:40.896 --> 00:13:48.500]  The ruling class really wants, I mean, you really want to get this wild in a country with 170 million gun owners?
[00:13:49.361 --> 00:13:53.243]  You really want to try to put us in re-education camps, you dumb bastards.
[00:13:53.703 --> 00:13:55.164]  I mean, you think we don't know.
[00:13:55.424 --> 00:13:56.505]  I'm ready to die.
[00:13:56.625 --> 00:13:58.426]  I'm ready for you to come torture me and kill me.
[00:13:58.726 --> 00:13:59.646]  I'm peacefully sitting here.
[00:13:59.906 --> 00:14:02.268]  I went in a federal building and got in their face yesterday.
[00:14:02.288 --> 00:14:03.949]  We're going to hear that video tomorrow night.
[00:14:04.249 --> 00:14:05.069]  I'm not bragging.
[00:14:05.369 --> 00:14:06.070]  I'm just a man.
[00:14:06.150 --> 00:14:07.751]  I'm committed, like my ancestors.
[00:14:08.757 --> 00:14:14.041]  On the Mayflower in 1776 and 1836 against people trying to take their guns.
[00:14:14.141 --> 00:14:15.222]  I mean, it's in my blood.
[00:14:15.242 --> 00:14:15.863]  I'm not a slave.
[00:14:15.883 --> 00:14:18.084]  I'm not perfect, but I'm not bending over.
[00:14:18.965 --> 00:14:20.506]  Quite frankly, I love the challenge.
[00:14:21.707 --> 00:14:24.950]  I wasn't born to just be some coward down in the ditch licking your boots.
[00:14:25.250 --> 00:14:26.331]  And you're a bunch of bastards.
[00:14:26.811 --> 00:14:32.175]  It'd be one thing if our government was staging terror attacks to actually go defeat some enemy that was coming after us to get America motivated.
[00:14:32.215 --> 00:14:32.776]  That's evil.
[00:14:32.896 --> 00:14:34.798]  I wouldn't do it, but I know that's done.
[00:14:35.922 --> 00:14:44.526]  Global foreign banks are staging terror attacks to take our rights so they can enslave us and inject us with cancer viruses.
[00:14:44.867 --> 00:14:54.731]  I mean, this is McClatchy News, this is AP, this is Reuters, where our government, the CFR, three months ago came out and said, quote, we need Al Qaeda, we run Al Qaeda.
[00:14:59.254 --> 00:15:01.315]  And am I bad that I'm informed?
[00:15:01.475 --> 00:15:03.656]  I want to take my children on trips.
[00:15:05.595 --> 00:15:13.119]  But I can't physically get over some fat pedophile grabbing on my wife and children so they can't fly.
[00:15:15.140 --> 00:15:20.463]  And I've tried to fly once and it created a situation because I couldn't deal with it.
[00:15:21.530 --> 00:15:36.981]  I mean, and I'm the bad guy because I don't want to be enslaved and I don't want our government running Al-Qaeda while saying that I've got to give my rights up because of Al-Qaeda and my government is using Al-Qaeda to attack a country that didn't attack anybody but is it controlled by them?
[00:15:37.001 --> 00:15:39.403]  I mean, that is just crazy!
[00:15:39.923 --> 00:15:41.004]  So get this article out.
[00:15:41.405 --> 00:15:45.067]  Syrian rebels, when we finish with Assad, we will fight the U.S.
[00:15:45.147 --> 00:15:47.029]  We will fire missiles into your aircraft.
[00:15:47.549 --> 00:15:50.011]  And the Feds are like, awesome, please, immediately.
[00:15:50.331 --> 00:15:53.294]  We don't have to drug people up and put them on the plane, you know, to blow something up.
[00:15:53.334 --> 00:15:54.274]  Please, immediately.
[00:15:54.735 --> 00:15:55.195]  Come on over.
[00:15:55.215 --> 00:15:56.136]  We're going to get more power.
[00:15:56.176 --> 00:15:57.017]  We're going to get control.
[00:15:57.377 --> 00:15:58.237]  This is going to be great.
[00:15:58.878 --> 00:16:01.520]  And they think you're so dumb, you're not going to know this when it all happens.
[00:16:03.001 --> 00:16:03.642]  Continuing.
[00:16:04.952 --> 00:16:09.036]  Bureaucrat says it's wrong to advise citizens to arm themselves.
[00:16:10.057 --> 00:16:18.325]  And, you know, Steve Turner, president of San Bernardino Police Officers Association, said citizens arming themselves against criminals may lead to acts of vigilantism.
[00:16:18.666 --> 00:16:21.709]  Yeah, when somebody's breaking into your house, you're not supposed to protect yourself.
[00:16:22.109 --> 00:16:23.270]  Just call the specialist.
[00:16:24.772 --> 00:16:28.836]  For the city attorney to come out and make a statement like that is fear-mongering.
[00:16:29.257 --> 00:16:29.697]  Oh, really?
[00:16:29.857 --> 00:16:32.140]  The areas that have restricted guns have high crime rates.
[00:16:32.660 --> 00:16:37.446]  At its worst, and is unnecessary, especially at a time like this when we all should be working together.
[00:16:37.486 --> 00:16:40.669]  You mean while banks are imploding the country and enslaving us?
[00:16:41.730 --> 00:16:50.873]  San Bernardino County Attorney had to clarify comments he made about firearms and self-defense to members of the City Council who found his remarks inappropriate.
[00:16:51.173 --> 00:16:57.715]  You're not supposed to admit that the police can't and won't protect you and have no liability to do, and it's your responsibility.
[00:16:57.975 --> 00:17:02.436]  You're supposed to tell these sheep, bend over and get gang-raped and get carjacked!
[00:17:03.117 --> 00:17:04.077]  God Almighty!
[00:17:05.953 --> 00:17:07.414]  Let's continue on to the next report.
[00:17:07.654 --> 00:17:08.754]  No drama.
[00:17:08.774 --> 00:17:12.776]  Obama wants to raise debt limit without drama or delay.
[00:17:12.816 --> 00:17:14.137]  And he says he won't play games.
[00:17:14.477 --> 00:17:16.518]  He wants the power of the purse turned over to him.
[00:17:16.538 --> 00:17:17.379]  That's his proposal.
[00:17:17.459 --> 00:17:19.480]  Or he won't sign on to the new debt deal.
[00:17:20.060 --> 00:17:22.501]  He wants triple the taxes Republicans want.
[00:17:22.521 --> 00:17:25.283]  They want $990 billion on the middle class.
[00:17:25.703 --> 00:17:27.524]  Giant taxes on all investments.
[00:17:27.764 --> 00:17:29.905]  Getting rid of all IRS write-offs.
[00:17:31.846 --> 00:17:33.007]  So you can pay everything to foreign banks?
[00:17:33.268 --> 00:17:34.990]  And that's their place to act like.
[00:17:35.210 --> 00:17:37.152]  No, we only want to gang rape everybody.
[00:17:37.352 --> 00:17:43.459]  And Obama's like, I want to slit the American people's throat and hang their head on a pike for the foreign banks like we've done in Greece.
[00:17:44.240 --> 00:17:45.942]  They're like, all right, I guess we'll do it.
[00:17:46.242 --> 00:17:48.204]  He's like, I won't take anything else but that.
[00:17:49.185 --> 00:17:50.646]  The public's busy sucking their thumbs.
[00:17:50.666 --> 00:17:51.327]  They'll probably love it.
[00:17:51.707 --> 00:17:55.070]  Because Obama gave them a phone, and he's gonna do more.
[00:17:55.290 --> 00:17:57.412]  Yeah, the foreign banks that run the president.
[00:17:57.853 --> 00:17:58.793]  And they ran Romney, too.
[00:17:58.813 --> 00:17:59.894]  It's just he was their choice.
[00:18:00.435 --> 00:18:02.036]  They want to give you something free.
[00:18:02.076 --> 00:18:04.158]  That's why they run everything, because they're so nice.
[00:18:04.218 --> 00:18:04.879]  You're right.
[00:18:05.219 --> 00:18:06.180]  I've been an extremist.
[00:18:06.200 --> 00:18:11.064]  And I admit, owning guns is KKK, even though the KKK got the first anti-gun laws passed.
[00:18:11.084 --> 00:18:11.604]  You're right.
[00:18:11.645 --> 00:18:12.105]  You're right.
[00:18:12.125 --> 00:18:12.585]  You're right.
[00:18:12.966 --> 00:18:13.646]  I apologize.
[00:18:13.686 --> 00:18:15.067]  Let's move on to the next report here.
[00:18:15.908 --> 00:18:16.329]  Report!
[00:18:16.809 --> 00:18:19.952]  ATF Review Board recommends firings over Fashion Furious.
[00:18:20.633 --> 00:18:34.546]  Four senior managers are oversaw the ill-fated, ill-fated, only because they got caught on stage, an attack to blame the Second Amendment, gun-trafficking probe called Fashion Furious will be fired if recommendations from the disciplinary panel are accepted.
[00:18:35.720 --> 00:18:37.101]  Oh, they say it was a screw-up.
[00:18:37.181 --> 00:18:41.864]  Yeah, it was a screw-up like Hitler attacked Poland in a screw-up.
[00:18:41.924 --> 00:18:44.326]  I mean, it is just unbelievable.
[00:18:44.886 --> 00:18:50.510]  Continuing, sheriffs crowd-controlled spy drones suspended after privacy uproar.
[00:18:50.970 --> 00:18:55.413]  The Oakland Tribune reports people didn't like drones flying around spying on them, so they protested.
[00:18:55.673 --> 00:18:57.174]  So now they've backed off for now.
[00:18:57.214 --> 00:18:58.035]  They never want to fight.
[00:18:58.335 --> 00:19:00.677]  They want to just wait and roll it out when you're not paying attention.
[00:19:00.917 --> 00:19:04.940]  This is the military-industrial complex making us a new battle zone under NORTHCOM.
[00:19:06.320 --> 00:19:12.081]  Continuing, finally, doctors say genetically modified wheat a perfect chronic poison.
[00:19:13.561 --> 00:19:16.322]  Wheat itself, about a third of people are very allergic to it.
[00:19:16.442 --> 00:19:17.502]  Everybody knows about that.
[00:19:18.062 --> 00:19:19.202]  Gluten intolerant.
[00:19:20.363 --> 00:19:30.264]  And now it's been proven in major studies and Commonwealth Scientific Industrial Research Organization found that it now enters the human DNA, this toxic wheat.
[00:19:31.264 --> 00:19:34.125]  And they're saying it doesn't matter that you're going to be forced to eat it.
[00:19:34.565 --> 00:19:38.007]  See, all the major staple crops are now only here in the U.S.
[00:19:38.027 --> 00:19:39.908]  going to this because we are the guinea pigs.
[00:19:39.928 --> 00:19:41.509]  We were the people that didn't want to be slaves.
[00:19:41.829 --> 00:19:42.769]  We were the most aggressive.
[00:19:42.789 --> 00:19:46.151]  The globalists targeted us because liberty brought incredible wealth.
[00:19:46.511 --> 00:19:50.814]  They stole that wealth, the engine of the barbaric American people, let's admit it.
[00:19:51.494 --> 00:19:58.718]  We're pretty much animalistic, but also smart, to then empower their new world order while they mutate and poison all of us at the same time.
[00:19:59.219 --> 00:20:01.560]  And that brings us finally to today's quote.
[00:20:02.020 --> 00:20:05.242]  Our Constitution was made only for moral and religious people.
[00:20:05.923 --> 00:20:09.425]  It is wholly inadequate to the government of any other.
[00:20:09.785 --> 00:20:11.206]  That's what Ron Paul talks about.
[00:20:12.273 --> 00:20:22.645]  Coming up after the Lindsay Williams interview, it's also important, he talks about the fact that by moral, they make you think moral is what music or don't dance, that's the devil's trick.
[00:20:23.526 --> 00:20:29.072]  Moral means standing up to evil, being involved, being informed, being strong, and loving life.
[00:20:30.033 --> 00:20:30.994]  And loving justice.
[00:20:32.055 --> 00:20:34.676]  And immoral people will go into bondage.
[00:20:34.756 --> 00:20:36.057]  It's well known, it's a fact.
[00:20:36.418 --> 00:20:39.139]  Before we go to break, I want to remind you, a perfect Christmas gift.
[00:20:39.159 --> 00:20:42.902]  We've sold out of selling these in bulk in groups of ten up to a hundred.
[00:20:43.342 --> 00:20:48.766]  This man wants your guns, his anti-Second Amendment activities, and our battle plan to enslave us, all documented.
[00:20:49.146 --> 00:20:50.187]  Sixty-plus pages.
[00:20:50.627 --> 00:20:53.509]  Ron Paul's entire Fell Rowell address with a poster.
[00:20:53.529 --> 00:20:54.630]  It's four pages.
[00:20:55.431 --> 00:20:56.972]  The artistry of Mere One.
[00:20:57.832 --> 00:20:59.813]  This is the ultimate patriot magazine.
[00:21:00.894 --> 00:21:05.777]  You can get a gift subscription, 12 issues plus a few of the back issues, because the last two issues didn't sell out.
[00:21:06.417 --> 00:21:13.981]  In the first issue, 12 of these delivered to your police station, 12 of these delivered to your library, to your college, to your alumni, to your church, wherever it is.
[00:21:14.341 --> 00:21:15.362]  Nice little info weapon.
[00:21:15.382 --> 00:21:17.103]  Just go sign up for a subscription.
[00:21:17.163 --> 00:21:17.963]  Shipping is included.
[00:21:17.983 --> 00:21:17.963]  $59.95.
[00:21:19.424 --> 00:21:22.086]  Get more than 12 issues delivered to their door.
[00:21:22.706 --> 00:21:24.847]  Or, I guess they're saying there's still a few left.
[00:21:24.867 --> 00:21:26.048]  I was told they were almost sold out.
[00:21:26.068 --> 00:21:28.069]  20 packs, 50 packs, 100 packs.
[00:21:28.089 --> 00:21:29.949]  By the time you try to order, they're almost out.
[00:21:30.830 --> 00:21:31.290]  Get those.
[00:21:31.630 --> 00:21:32.651]  And fight the globalists.
[00:21:32.711 --> 00:21:34.171]  People will read this baby.
[00:21:34.592 --> 00:21:37.653]  It is powerful in every sense of the word.
[00:21:37.733 --> 00:21:38.833]  Infowarshop.com.
[00:21:40.434 --> 00:21:46.000]  And, if you go to PrisonPlanet.tv, ten people can log in with the same username and passcode.
[00:21:46.080 --> 00:21:46.340]  Ten.
