[00:00:14.190 --> 00:00:16.991]  It's time for you men to stand up in the info form.
[00:02:53.749 --> 00:03:04.543]  This guy who physically cannot smile because he's got Parkinson's disease is sitting watching a cycle race and the cops arrest him for not visibly enjoying the event.
[00:03:06.977 --> 00:03:08.958]  That it was an actual breach of the peace.
[00:03:09.038 --> 00:03:15.382]  They said he was actually protesting because he wasn't smiling, you know, like a smiley face slave throughout the event.
[00:03:15.863 --> 00:03:27.290]  And it's par for the course because this Olympic Games in London has been used to hijack a sporting event and basically turn it into a huge pageant and worship of the state.
[00:03:29.091 --> 00:03:31.594]  You know, there's Union Jacks everywhere, there's St.
[00:03:31.634 --> 00:03:38.263]  George's Cross flags everywhere, because the people have been permitted, they've been authorised by the government to fly them.
[00:03:38.663 --> 00:03:45.352]  You know, so long as it's worshipping the state, worshipping the royal family, if you fly those same flags,
[00:03:45.772 --> 00:03:53.019]  Outside of the authorised, permitted time period where the government says it's okay, then you can be branded a racist.
[00:03:53.039 --> 00:04:05.311]  There's actual cases in Britain where people have flown the St George's Cross flag and been ordered by their local councils to take it down because the flag was deemed offensive to minorities.
[00:04:06.283 --> 00:04:27.216]  So, now it's official, if you don't exhibit the behavior of a slave who's lost the ability to think for himself and hasn't been completely brainwashed in this pageant worship of the state called the Olympic Games, with all its attendant Nazi-like rituals, you know, carrying the flame through the towns and all that, as we've spoken about before.
[00:04:28.203 --> 00:04:37.845]  You know, if you don't fawn over people who throw big sticks and jump into sand pits and ride bicycles, then you will be targeted by the thought police.
[00:04:37.945 --> 00:04:41.726]  Man arrested for not smiling during the Olympic Games.
[00:04:41.786 --> 00:04:45.926]  Can it get any crazier and more North Korea-like than that?
[00:04:47.247 --> 00:04:48.947]  Here's another crazy story.
[00:04:49.107 --> 00:04:54.128]  Abortionists sees aborting ugly black babies as a service to the taxpayers.
[00:04:55.353 --> 00:05:00.213]  Now they've got this video of a pro-life Christian group confronting an abortion doctor.
[00:05:01.280 --> 00:05:10.366]  The doctor says his abortions save taxpayers money, prevent shootings like the one in Colorado, and rid the world of ugly black babies.
[00:05:10.426 --> 00:05:11.427]  So let's go to the clip.
[00:05:31.400 --> 00:05:32.240]  Yeah, go ahead.
[00:05:32.320 --> 00:05:34.101]  Adopt those babies, okay?
[00:05:34.141 --> 00:05:36.421]  Take them off the taxpayers' money, okay?
[00:05:36.441 --> 00:05:38.082]  Give us a chance to adopt them.
[00:05:39.982 --> 00:05:40.743]  So there you have it.
[00:05:41.083 --> 00:05:45.944]  Basically, they confront the abortionist and he says, why do you want all these ugly black babies?
[00:05:46.044 --> 00:05:47.825]  Taxpayers are just going to have to pay for them anyway.
[00:05:48.125 --> 00:05:51.606]  And then, of course, they all go on to commit mass shootings like the one in Colorado.
[00:05:51.646 --> 00:05:52.686]  Makes perfect sense, right?
[00:05:53.732 --> 00:06:03.566]  Well it goes right to the heart of what we've discussed many times which is what abortion is all about at its foundational level which is modern day eugenics and racism.
[00:06:03.967 --> 00:06:09.595]  Of course you can trace it back to Marie Stokes and even before that Marie Stokes was this
[00:06:10.416 --> 00:06:14.178]  Big women's rights activist who is celebrated in Britain.
[00:06:14.218 --> 00:06:16.459]  They put a face on the stamps and everything.
[00:06:17.039 --> 00:06:23.163]  And she was the person who helped open the first abortion clinics in Britain back in the 1920s.
[00:06:23.803 --> 00:06:29.446]  And by the 1930s, she kept herself busy by writing love letters to Adolf Hitler.
[00:06:30.307 --> 00:06:38.657]  While advocating compulsory sterilization of non-whites and other people with, quote, bad character.
[00:06:39.098 --> 00:06:44.885]  This is the woman that's the big denizen of the women's rights movement in Britain.
[00:06:45.908 --> 00:06:59.518]  And now her charity, Marie Stokes International, advertises in women's magazines through these public relations articles encouraging women under 30 years old to be sterilized so they can't have kids.
[00:07:00.258 --> 00:07:05.101]  And all the women read this and it's all very trendy now to get sterilized before the age of 30.
[00:07:07.603 --> 00:07:13.988]  And basically she, while she was busy writing love letters to Hitler and saying how great his population control policies were,
[00:07:14.967 --> 00:07:19.190]  She was setting up all these abortion clinics in poor areas of Britain.
[00:07:19.610 --> 00:07:22.252]  And who did she leave her estate to when she died?
[00:07:22.352 --> 00:07:36.922]  Well, the Eugenics Society, better known today as the Galton Institute, which, according to its own website, promotes funding, quote, for the practical delivery of family planning facilities, especially in developing countries.
[00:07:37.813 --> 00:07:57.085]  So in other words, the same organization that once advocated sterilizing black people to achieve racial purity in the same vein as the Nazis, as Marie Stowe wrote her love letters to Adolf Hitler, is now bankrolling the abortion of black babies in the third world.
[00:07:57.645 --> 00:08:04.610]  And of course you can trace the same trajectory back to Margaret Sanger and Planned Parenthood, of course they're in the United States.
[00:08:05.350 --> 00:08:10.075]  They also set up all the abortion clinics in the poor areas, in the areas where black people live.
[00:08:11.316 --> 00:08:16.181]  And Sanger was on record as a racist to advocate the sterilization of black people.
[00:08:16.861 --> 00:08:22.126]  And of course she was also part of the Galton Institute, formerly the Eugenics Society.
[00:08:22.767 --> 00:08:26.891]  So no surprise that modern-day abortionists now cite the
[00:08:28.012 --> 00:08:35.636]  It's a necessity to get rid of, quote, ugly black babies as part of their job, because that's the bottom line about abortion.
[00:08:35.656 --> 00:08:55.368]  It has its roots in racism in the elite's war against the poor, which makes it all the more ironic that today abortion is supported by the loving, liberal, trendy left who accuse everyone else of being racist, while upholding something that has its very foundations in racism.
[00:08:56.499 --> 00:08:58.000]  Moving on to global news now.
[00:08:58.340 --> 00:09:01.842]  Russian General denies reports he was killed by FSA.
[00:09:02.362 --> 00:09:07.525]  Russian General Vladimir Petrovich denied reports he was killed by Syrian rebels on Wednesday.
[00:09:07.885 --> 00:09:11.687]  Quote, I wish to confirm that I am live and well, he told reporters in Moscow.
[00:09:12.127 --> 00:09:15.089]  He did not mention when he last visited Damascus.
[00:09:15.569 --> 00:09:19.932]  Quote, my phone hasn't stopped ringing all day, he told Russia's Interfax news agency.
[00:09:20.572 --> 00:09:34.144]  The Free Syrian Army, of course, run, commanded by Al-Qaeda forces, the new good guys, announced Wednesday that its men had killed a Russian general who was an advisor to former Syrian Defence Minister Dawood Raj.
[00:09:34.204 --> 00:09:37.206]  Raj himself was killed in an attack in Damascus several weeks ago.
[00:09:38.027 --> 00:09:53.395]  And once again you've got to hand it to the London Guardian because of course after that glowing article last week in which they celebrated and praised the fact that Al-Qaeda is now running the rebels, you know, training them to make bombs, meeting with the FSA quote every day.
[00:09:53.895 --> 00:10:00.098]  Well today the Guardian had a headline which read something like, you know, Syrian rebels kill Russian general.
[00:10:01.260 --> 00:10:17.286]  So they've gone from basing events in Syria off of random anonymous tweets sent in by dubious activists, you know, and adding the proviso, this cannot be confirmed or verified, to just brazenly now reporting false events that top Russian generals have been killed!
[00:10:17.306 --> 00:10:24.928]  Because they're so desperate to big up these Syrian rebels, who in actual fact are losing most of the major battles.
[00:10:24.948 --> 00:10:27.449]  They lost another one in Aleppo today.
[00:10:27.469 --> 00:10:29.250]  Media isn't keen on reporting that.
[00:10:29.750 --> 00:10:34.557]  So they've just now resorted to pumping out outright lies and known disinformation.
[00:10:34.977 --> 00:10:37.641]  This Russian general turns up and says, what are you talking about?
[00:10:37.721 --> 00:10:39.022]  I'm alive, I'm in Moscow.
[00:10:40.004 --> 00:10:47.053]  So it's funny, isn't it, that when the Syrian rebels announced they've killed TV reporters like they did last week,
[00:10:47.984 --> 00:10:50.345]  The Guardian isn't really that interested in it.
[00:10:50.385 --> 00:11:04.449]  You know, when the Syrian rebels go into tribal areas and slaughter whole tribes who won't bow down to these al-Qaeda, NATO-backed rebels, the loving, lefty, interventionist media isn't so interested in that.
[00:11:04.749 --> 00:11:10.991]  When they actually don't kill anybody, but just lie about it and claim they did, then they report it as gospel.
[00:11:11.972 --> 00:11:12.372]  So again,
[00:11:13.715 --> 00:11:20.521]  The Guardian playing its role as a 24-hour rolling mouthpiece for the NATO-backed insurgency in Syria.
[00:11:21.682 --> 00:11:29.809]  And don't forget, of course, that now according to The Guardian, the Council on Foreign Relations and Brand Corporation, Al-Qaeda are now our allies.
[00:11:30.009 --> 00:11:31.871]  You know, we were never at war with Eurasia.
[00:11:32.371 --> 00:11:34.373]  The terrorist attacks are good and moral.
[00:11:34.433 --> 00:11:36.274]  Slaughtering people in cold blood is good.
[00:11:37.255 --> 00:11:38.917]  And they're basically getting the job done.
[00:11:39.838 --> 00:11:57.242]  Of course, they won't mention the fact that the Al-Qaeda fighters were put there by NATO, by the puppet Libyan government in the first place, others coming in from Iraq and Turkey, but simultaneously they're citing the presence of Al-Qaeda fighters in Syria as a reason to invade.
[00:11:57.262 --> 00:12:01.963]  So it's all, you know, completely Orwellian again, down is up, black is white.
[00:12:03.168 --> 00:12:08.531]  But so-called Russian general killed turned out to be a completely bogus story.
[00:12:08.651 --> 00:12:12.654]  No retraction whatsoever from the pro-NATO media.
[00:12:14.412 --> 00:12:14.772]  U.S.
[00:12:14.832 --> 00:12:15.292]  news now.
[00:12:15.372 --> 00:12:18.853]  Gun owner saves cop's life by shooting deranged gunman.
[00:12:19.373 --> 00:12:20.914]  This is out of guns.com.
[00:12:21.454 --> 00:12:22.574]  Now here's another story.
[00:12:23.295 --> 00:12:32.957]  Basically of a citizen using a gun in a positive way to prevent a potential massacre, which is why you'll never hear about it on the network mainstream media.
[00:12:33.477 --> 00:12:35.058]  It all began innocently enough.
[00:12:35.438 --> 00:12:38.059]  Let's face this report as a squabble over dogs.
[00:12:38.339 --> 00:12:45.983]  David Michael House, 58, and Iris Valentina Kalachi, 53, were both residents of the Peach House RV Park in Central Texas.
[00:12:46.543 --> 00:12:54.026]  They were also dog owners and their poochers allegedly had a nasty habit of relieving themselves on the lawn of neighbor Charles Ronald Connor, 58.
[00:12:55.827 --> 00:12:57.548]  And so briefly what happened was...
[00:12:58.621 --> 00:13:08.910]  The poochers relieve themselves, shock horror on his property, and Connor goes absolutely nuts, grabs his gun, shoots dead his neighbour.
[00:13:09.551 --> 00:13:17.177]  The woman, the other neighbour who was the woman, goes off running and screaming, he guns her down cold blood execution style.
[00:13:18.158 --> 00:13:26.362]  So when the cop arrives shortly after, Sergeant Stephen Means, he's also coming under fire from this deranged nutcase.
[00:13:27.003 --> 00:13:32.786]  He's shielded behind his car, whereas Connor is more protected as he stands behind a nearby tree.
[00:13:34.335 --> 00:13:47.665]  So basically, another neighbour comes out with his gun, Vic Stacey, and it looks like the nutcase is actually going to kill the cop, because he's bearing down on him, he's got better protection, looks like he's going to waste the cop.
[00:13:48.826 --> 00:14:02.337]  So this other neighbour takes out his legally owned firearm, and basically guns the nutcase down, saves the cop's life, and probably saves more people's lives, based on the insanity of where this situation was leading.
[00:14:03.479 --> 00:14:07.222]  So, of course, when the police arrived, they arrested the guy who saved the cop's life.
[00:14:08.343 --> 00:14:16.148]  But he explained to the other police that this guy had actually saved his life, stopped the murderer, and potentially stopped a massacre.
[00:14:16.689 --> 00:14:20.412]  So, again, it's just like the old guy in, you know, the Florida library where he...
[00:14:21.192 --> 00:14:40.190]  He gets his concealed carry-out and chases off the armed intruders, shoots at them, and it's another case of a positive use of the gun, which is why the media are never going to touch it, because they're locked in this campaign to demonise the Second Amendment in the aftermath of these shootings, which is why these stories...
[00:14:40.951 --> 00:14:52.677]  See them, you know, almost every week, but you will never see them covered on the big news networks because they just don't want people to know that a gun is a neutral object, believe it or not, and it can be used for good or bad.
[00:14:53.458 --> 00:14:58.160]  And in many cases, it's used for good and to stop potential massacres.
[00:14:58.200 --> 00:14:59.401]  That's what they don't want you to know.
[00:15:01.081 --> 00:15:04.564]  Five ways you don't realize movies are controlling your brain.
[00:15:04.604 --> 00:15:06.445]  This is out of cracked.com.
[00:15:06.886 --> 00:15:09.228]  This isn't some paranoid conspiracy theory.
[00:15:09.368 --> 00:15:12.230]  It's a fundamental part of how human culture came about.
[00:15:12.710 --> 00:15:16.593]  Ask yourself, why do we go and watch superhero movies?
[00:15:16.974 --> 00:15:22.718]  After all, variations of these stories about brave superhuman heroes predate recorded history.
[00:15:23.239 --> 00:15:27.202]  We used to tell them around campfires before written language even existed.
[00:15:28.547 --> 00:15:32.389]  They were created as a way to teach you how to behave.
[00:15:32.930 --> 00:15:46.579]  And basically it talks about, you know, thousands of years ago, before parchment, before written record, these campfire stories were told in order to encourage the other members of the tribes to go and fight the other tribe.
[00:15:47.119 --> 00:15:57.606]  From the article, they were taught, you know, why we hate the tribe across the river, why our tribe is better than that tribe, why it's important to go off and fight in the next war, no matter how scared you are.
[00:15:58.266 --> 00:16:11.057]  So this article illustrates how basically archetypes and role models which have been used throughout human history for good, for the protection of a tribe, to fight the next tribe over, have basically been hijacked.
[00:16:12.238 --> 00:16:18.143]  Hijacked by the movie industry and by the entertainment industry in general to brainwash the public.
[00:16:19.127 --> 00:16:28.530]  And it's a point I've made over and over again, which is, why do you think the public is engaging in increasingly, you know, aberrant and bizarre behaviour?
[00:16:29.150 --> 00:16:32.151]  Why do we see more and more mass shootings?
[00:16:32.271 --> 00:16:36.112]  Why are kids acting like, you know, the droogs out of Clockwork Orange?
[00:16:36.712 --> 00:16:44.034]  Well, it's because in entertainment, movies, media in general, our positive role models have been taken away.
[00:16:44.074 --> 00:16:45.254]  They've been eviscerated.
[00:16:46.095 --> 00:16:46.975]  Deliberately so.
[00:16:48.169 --> 00:17:09.379]  And on top of that, it's now common knowledge that to borrow all that military equipment to make an action movie like, you know, Transformers or something with lots of explosions, lots of military vehicles in it, you don't only need the consent of the Pentagon, the military-industrial complex, to make that movie, you need to give them a role in actually writing the script.
[00:17:09.839 --> 00:17:12.380]  This is all admitted now, it's not a conspiracy theory.
[00:17:12.681 --> 00:17:15.262]  So that's why you see every major action movie
[00:17:16.002 --> 00:17:20.704]  It's pro-US military, it's pro-intervention, pro-invasion, pro-war.
[00:17:21.845 --> 00:17:40.513]  So this article basically exemplifies how not only do they take the archetypes and role models and make them pro-war, basically everything about the movie is intended to hark back to that ancient tribalism and gear people up to accept, to support the next war, whatever war that may be.
[00:17:41.943 --> 00:17:50.187]  And they give another example of how these movies are not only used to brainwash people to change their thought patterns, but their actual behaviour.
[00:17:50.747 --> 00:17:51.568]  Consider this.
[00:17:51.908 --> 00:17:59.172]  After Jaws hit theatres, we nearly drove sharks to extinction with feverish hunting, to the point that their populations may never recover.
[00:17:59.812 --> 00:18:05.595]  Every single person who saw that movie knew that it was fiction, knew the characters were just actors.
[00:18:06.550 --> 00:18:09.953]  But in real life, they knew there isn't a shark big enough to eat your boat.
[00:18:10.354 --> 00:18:17.821]  When the genius science character in the movie agreed that killing the shark was the only way to prevent dead tourists, we assumed that part was true.
[00:18:18.562 --> 00:18:23.507]  So we killed all the sharks based on what the make-believe movie told us.
[00:18:23.987 --> 00:18:25.589]  So they're basically making the point that...
[00:18:26.550 --> 00:18:28.050]  And there's other examples in there.
[00:18:28.771 --> 00:18:43.615]  These movies not only shape patterns of thought, they not only brainwash people into supporting modern-day tribalism, the hijacked version of it, which of course is war, but they also actually directly alter and shape people's behavior.
[00:18:44.215 --> 00:18:49.717]  So I urge you to read that, Five Ways You Don't Realize Movies Are Controlling Your Brain, at crack.com.
[00:18:49.757 --> 00:18:50.957]  Very interesting article.
[00:18:52.608 --> 00:18:55.849]  Now, Kurt Haskell, this is Kurt Nimmo out of Infowars.com.
[00:18:56.049 --> 00:18:59.570]  Kurt Haskell wins House of Representatives primary in Michigan.
[00:19:00.050 --> 00:19:05.932]  Michigan attorney Kurt Haskell has beaten his opponent in the August 7th primary for a seat in the House of Representatives.
[00:19:06.472 --> 00:19:12.254]  Haskell defeated fellow Democrat Ruben Marquez and Mulvaney Republican Tim Wahlberg in November.
[00:19:12.594 --> 00:19:16.595]  Wahlberg is the current representative for Michigan's 7th Congressional District.
[00:19:17.415 --> 00:19:36.267]  And of course, as you know from his many appearances on the Alex Jones Show and InfoWars Nightly News, Kurt Haskell was the eyewitness who blew the lid off the staged underwear bomber case where of course he tried to, or he was set up as a patsy to smuggle the underwear bomb on the plane.
[00:19:37.327 --> 00:19:42.691]  Haskell saw him being helped on the plane despite the fact he had no passport by a well-dressed man.
[00:19:43.552 --> 00:19:48.384]  And of course, all the other inconsistencies with that story that we've exposed at length.
[00:19:49.066 --> 00:19:50.791]  So basically just a bit of good news.
[00:19:50.811 --> 00:19:51.914]  I mean, this is a guy that's...
[00:19:53.004 --> 00:19:55.124]  He's had his battles with the system.
[00:19:55.384 --> 00:19:57.465]  They've tried to silence him at every turn.
[00:19:57.825 --> 00:20:01.686]  But he's got back onto the field and now he's starting to kick some butt.
[00:20:01.706 --> 00:20:11.227]  He's beaten his Democratic opponent in the primary and now he's going on to have a shot at becoming a Congressman if he defeats this Republican.
[00:20:11.908 --> 00:20:19.089]  So basically all of us here at InfoWars.com wish Kurt Haskell the best of luck in defeating his opponent because of course he will be
[00:20:20.009 --> 00:20:25.294]  Become, hopefully, one of the precious few moral and upstanding members of Congress.
[00:20:25.334 --> 00:20:32.039]  So, exciting and positive news there with Kurt Hastel potentially becoming a congressman.
[00:20:32.059 --> 00:20:48.153]  Now we're going to throw to David Knight, who's going to talk about free speech zones and how they're increasing the use of them, as well as an interesting story about how the GSA was told by the Obama administration in the early days of the Occupy Wall Street movement not to interfere.
[00:20:48.553 --> 00:20:50.093]  With the Occupy protesters.
[00:20:50.113 --> 00:20:51.674]  So here we go to David Knight.
[00:20:54.214 --> 00:20:54.714]  Thank you, Paul.
[00:20:54.974 --> 00:20:56.695]  This is David Knight reporting for InfoWars.
[00:20:57.495 --> 00:21:01.576]  George Washington once said, the British walked about freely, but between high walls.
[00:21:02.156 --> 00:21:04.696]  Well, that's quite literally true today in America.
[00:21:05.336 --> 00:21:12.418]  Today, at political events, free speech is restricted to political zones, free speech zones, sometimes to caged areas.
[00:21:13.598 --> 00:21:18.159]  This is what free speech looks like in 2004 at the Republican National Convention.
[00:21:19.082 --> 00:21:24.723]  And in a case that goes back to that convention, an appeals court today has upheld corralling free speech into zones.
[00:21:25.583 --> 00:21:31.184]  A federal appeals court has upheld the creation of no-demonstration zones which prohibit free speech in certain public areas.
[00:21:31.824 --> 00:21:38.026]  A second court of appeals ruled yesterday upholding a lower court's decision that declared such zones as being permissible.
[00:21:38.706 --> 00:21:45.167]  A federal appeals court has upheld the creation of no-demonstration zones which prohibit free speech in certain public areas.
[00:21:46.044 --> 00:21:51.446]  The 2nd Court of Appeals ruled yesterday upholding a lower court's decision that declared such zones as being permissible.
[00:21:52.427 --> 00:21:57.409]  Back in 2004, two pro-life demonstrators were protesting at the Republican National Convention.
[00:21:57.989 --> 00:22:04.192]  They were protesting the fact that there were too many pro-abortion speakers, people such as Giuliani, Schwarzenegger.
[00:22:04.652 --> 00:22:10.955]  They were told that they could not stand on a public sidewalk holding a sign and they had to go to a remotely located free speech zone.
[00:22:12.085 --> 00:22:23.290]  Well, the so-called free speech zone had, as I put it, individuals of varying and opposite opinions forced to stand together in one consolidated caged area, which included a stage with a microphone.
[00:22:24.331 --> 00:22:27.052]  Well, as unconstitutional as this was, they didn't refuse to go.
[00:22:27.672 --> 00:22:32.255]  But as they were walking, they questioned the officers and recorded the questions.
[00:22:32.315 --> 00:22:35.196]  And for doing this, they were arrested for not relocating fast enough.
[00:22:36.007 --> 00:22:41.952]  They said they took us to an abandoned warehouse where they funneled hundreds of people into cages that they'd set up for this purpose.
[00:22:42.793 --> 00:22:43.894]  They treated us like cattle.
[00:22:45.015 --> 00:22:47.718]  Well, they treated them like cattle because they think of them as cattle.
[00:22:47.918 --> 00:22:50.780]  They don't think of them as American citizens with recognized rights.
[00:22:51.381 --> 00:22:54.283]  At no time did these defendants have their case heard by a jury.
[00:22:55.144 --> 00:23:01.430]  Their lawsuit was thrown out by a single judge and the appeal was heard by a three-judge panel who sided with the government.
[00:23:02.190 --> 00:23:02.991]  No surprise there.
[00:23:03.251 --> 00:23:10.375]  The New York Civil Liberties Union has another case relating to the same events, but not to these particular abortion protesters.
[00:23:10.395 --> 00:23:16.659]  And Christopher Dunn says that that case should not be affected by this recent ruling for the two abortion protesters.
[00:23:17.540 --> 00:23:28.367]  This decision involving two anti-abortion protesters has no bearing on the major convention litigation now pending in federal district court, said Christopher Dunn, Associate Legal Director for the New York Civil Liberties Union.
[00:23:29.346 --> 00:23:38.928]  In that litigation, the New York Civil Liberties Union is challenging mass arrests, detentions at Pier 57, and the blanket fingerprinting of protesters.
[00:23:39.468 --> 00:23:39.768]  Get that?
[00:23:39.968 --> 00:23:41.768]  Blanket fingerprinting of protesters.
[00:23:42.468 --> 00:23:45.529]  The appeals case decided yesterday has nothing to do with any of these issues.
[00:23:46.669 --> 00:23:55.591]  Well, things are going to get more dangerous for citizens who want to exercise their free speech at this year's convention, because earlier this year, Congress passed the Federal Restricted Buildings and Grounds Improvement Act.
[00:23:56.505 --> 00:23:58.426]  Well, what exactly does that improve?
[00:23:58.787 --> 00:24:03.951]  Well, it just improves the chances that our leaders can now do whatever they wish without anyone complaining about it.
[00:24:04.531 --> 00:24:09.435]  Because if you protest an event where the Secret Service is guarding someone, it is now a federal crime.
[00:24:10.415 --> 00:24:19.662]  This new law permits Secret Service agents to designate any place they wish as a place where free speech, association, petition of the government are prohibited.
[00:24:20.443 --> 00:24:24.746]  It permits the Secret Service to make these determinations based on the content of the speech.
[00:24:26.283 --> 00:24:26.643]  That's right.
[00:24:26.683 --> 00:24:29.586]  If they don't like what you're saying, they can deny you the right to say it.
[00:24:29.886 --> 00:24:34.990]  Cheering crowds are fine, but if the Secret Service arbitrarily doesn't like what you're doing, it's a federal crime.
[00:24:35.010 --> 00:24:41.855]  And as we saw yesterday, the Obama White House has already told GSA to step down on Occupy protesters.
[00:24:42.656 --> 00:24:46.739]  So if the government finds what you're saying is useful to their agenda, they tell enforcement to step down.
[00:24:47.480 --> 00:24:52.624]  But if they don't like what you're saying, they use the full force of unconstitutional laws against you.
[00:24:54.136 --> 00:24:56.777]  So our quote for the day is the First Amendment itself.
[00:24:57.657 --> 00:25:00.278]  This is David Knight reporting for InfoWars Nightly News.
[00:25:00.318 --> 00:25:01.259]  Back to you, Paul.
[00:25:24.520 --> 00:25:25.301]  Thanks, David.
[00:25:25.381 --> 00:25:28.703]  Now we're going to go to a clip, a video we put together earlier today.
[00:25:28.744 --> 00:25:30.125]  We really want this to go viral.
[00:25:30.425 --> 00:25:34.408]  It's entitled, Full Spectrum Evil, Secrets of Global Domination.
[00:25:35.009 --> 00:25:48.860]  And in this video, Alex Jones uses the games of chess, monopoly, and risk to illustrate and explain the classic modes of control used by our rulers and how they use these different techniques to enslave us.
[00:25:48.900 --> 00:25:49.921]  So let's go to the clip.
[00:26:00.222 --> 00:26:05.244]  Alex Jones here to cover a topic, an issue, that is one of the most important I've ever discussed.
[00:26:05.905 --> 00:26:10.707]  This information is very closely held by governments and elite corporations.
[00:26:11.027 --> 00:26:14.009]  They do not want you understanding this.
[00:26:14.809 --> 00:26:22.973]  Now, many of you that are already aware of this, it'll seem simple, but large swaths of the global population have no idea
[00:26:23.593 --> 00:26:26.816]  The real geopolitical paradigm that we're living in today.
[00:26:27.157 --> 00:26:33.443]  Today we will look at the real forces, the real players in the battle for 21st century global hegemony.
[00:26:33.863 --> 00:26:45.955]  I'm going to break down who really rules the world, how they control the planet, and how they are trying to usher in a world war that is really pointed at the general population.
[00:26:46.556 --> 00:26:49.417]  To begin my illustration, I have three different board games here.
[00:26:49.897 --> 00:26:54.638]  Chess, the classic game of risk, as well as Monopoly.
[00:26:55.018 --> 00:26:58.158]  And we're going to look at these systems of stylized warfare.
[00:26:58.398 --> 00:27:02.479]  And between these three systems, we find the truth of the system that we're living under.
[00:27:02.919 --> 00:27:04.000]  How do we know that system?
[00:27:04.460 --> 00:27:09.661]  Well, books written by people like Carol Quigley at Georgetown, Bill Clinton's mentor.
[00:27:10.521 --> 00:27:12.842]  They think we're stupid, and so we have their own documents.
[00:27:13.643 --> 00:27:23.949]  To begin with, I'm going to use a Lego chess set as a illustration to break down primitive forms of government, warfare, and domination.
[00:27:24.509 --> 00:27:27.390]  If you look at this set, you notice there are two sides.
[00:27:27.450 --> 00:27:29.291]  There is the red, and there is the green.
[00:27:29.392 --> 00:27:31.353]  Or there is the black, there is the white.
[00:27:32.213 --> 00:27:42.602]  From the beginnings of civilization more than 6,000 years ago, until about 1700, this was the model of warfare between nations.
[00:27:42.942 --> 00:27:51.469]  There were occasional alliances, but by and large, warfare in politics was carried out in a very two-dimensional way, like a chess set.
[00:27:51.809 --> 00:27:56.073]  You have the ruling class, the royalty, the priest class,
[00:27:57.199 --> 00:28:07.105]  The military elite, the generals, and in front of them you have basically their conscripts or the lower class fighters who can also represent just the general population.
[00:28:07.505 --> 00:28:20.112]  And these two groups are engaged in warfare and base domination against each other to control larger areas of land and the vassal populations living in serfdom upon it.
[00:28:20.752 --> 00:28:36.447]  One area that we see from the ancient chess model that is still used in statecraft by the globalist is the fact that sometimes wars were launched, in the case of the French and the British, against each other when they had rebellions at home.
[00:28:36.868 --> 00:28:39.310]  They soon learned it was a way to turn
