[00:00:22.233 --> 00:00:24.815]  Welcome, it's Wednesday, February 22nd, 2012.
[00:02:02.751 --> 00:02:04.953]  Also, they can announce Mitt Romney as the winner.
[00:02:05.333 --> 00:02:06.494]  It happened in Iowa too.
[00:02:06.534 --> 00:02:10.156]  They admitted they didn't have a real vote count, but they just agreed.
[00:02:10.436 --> 00:02:20.983]  The Republican Party agreed behind closed doors to announce Romney, then later Santorum, as the victor, giving them a too-close-for-statistical-tie count.
[00:02:21.403 --> 00:02:28.693]  Only a few votes apart somehow, and Ron Paul magically, forgettably in third place even though he had nearly as many votes as well.
[00:02:29.214 --> 00:02:36.123]  And most suspiciously of all, Nevada, a heavily libertarian state, a leave me alone and get out of my life state.
[00:02:36.924 --> 00:02:50.431]  That Ron Paul did very well in and came in second place in 2008, yet in 2012 Ron Paul got barely any more votes and was nowhere to be seen as Mitt Romney somehow quote-unquote swept it.
[00:02:50.791 --> 00:02:52.512]  No, these are all signs of fraud.
[00:02:52.572 --> 00:02:53.853]  It's been taken from Ron Paul.
[00:02:53.893 --> 00:02:57.195]  The system is scared, but he's not out of the race yet.
[00:02:57.315 --> 00:02:58.435]  Things can still happen.
[00:02:58.796 --> 00:03:03.158]  Anyway, let's go to Alex Jones now and see his in-depth coverage on this issue.
[00:03:04.301 --> 00:03:08.143]  There's no doubt that there's election fraud going on in this country.
[00:03:08.543 --> 00:03:14.606]  There's been countless examples of it, going back to Kennedy in 1960, and the fraud up in Illinois.
[00:03:14.806 --> 00:03:18.127]  We know about LBJ in Texas to get into Congress and fraud.
[00:03:18.948 --> 00:03:20.909]  We know about what happened in the 2000 election.
[00:03:21.309 --> 00:03:24.430]  It's been certified in Ohio that it was fraud in 2004.
[00:03:25.471 --> 00:03:27.892]  But now with Ron Paul, it is undoubted.
[00:03:28.772 --> 00:03:31.033]  He clearly won in Iowa.
[00:03:31.393 --> 00:03:38.757]  And a month after that election, they just threw the whole thing out and haven't said what they're going to do now, but admitted that a bunch of the precincts had their records disappear.
[00:03:39.257 --> 00:03:45.280]  Everywhere like Ames, where he was showing 55-60% in the polls, all those college-university areas.
[00:03:45.960 --> 00:03:53.844]  Then we saw the incredible fraud that took place in Nevada, where Ron Paul in most polls was number one, but came out number three.
[00:03:55.100 --> 00:03:57.002]  And then, of course, we saw what happened in Maine.
[00:03:57.042 --> 00:04:02.026]  There's many other examples, but in Maine, he was polling number one in almost every poll.
[00:04:02.066 --> 00:04:02.946]  Some polls, number two.
[00:04:03.527 --> 00:04:06.789]  And then he came out, of course, losing in Maine.
[00:04:07.170 --> 00:04:13.775]  And now he's challenged it, and so they're having to go back and say, oh, we did say that Romney had won with only a few percentage points in.
[00:04:14.055 --> 00:04:21.261]  And, oh, a whole bunch of counties, the counties that were college areas and others that were polling the highest, they just didn't get counted that night.
[00:04:22.264 --> 00:04:28.666]  That's exactly what happened in Iowa, exactly what happened in Nevada, it's exactly what's happening all over this country.
[00:04:28.686 --> 00:04:31.067]  And finally, Ron Paul is challenging it.
[00:04:31.107 --> 00:04:35.189]  Listen, Stalin said, I don't care who votes, I care who counts the votes.
[00:04:35.589 --> 00:04:40.311]  We have a government that lied about WMDs, a government caught stealing and lying constantly.
[00:04:40.831 --> 00:04:44.232]  We'd be idiots to believe no liars have been caught engaged in fraud.
[00:04:44.252 --> 00:04:47.093]  We've had Diebold programmers come out and say it's a scam.
[00:04:47.593 --> 00:04:49.514]  We've seen so much evidence of this.
[00:04:50.114 --> 00:04:58.160]  But the reason we got behind Ron Paul was so he could put out the message of liberty and freedom and ending the private Federal Reserve and stopping this empire that we pay for.
[00:04:58.941 --> 00:05:04.265]  So he's won by running and he's winning by illustrating how much fraud there is.
[00:05:04.305 --> 00:05:08.508]  But let me get into more evidence of the fact that Ron Paul is really number one.
[00:05:09.049 --> 00:05:10.269]  First off, they told us he couldn't win.
[00:05:11.030 --> 00:05:12.291]  They told us he was going to lose.
[00:05:12.791 --> 00:05:17.875]  They told us that it would throw away our vote if we supported him, and he wasn't even the running.
[00:05:18.675 --> 00:05:20.416]  And still, he won all the straw polls.
[00:05:20.476 --> 00:05:25.980]  Still, he got the most overall donations from small, independent donors, showing true grassroots support.
[00:05:26.480 --> 00:05:32.324]  And despite that controlled corporate media mantra that he couldn't win, that worked four years ago, it failed.
[00:05:32.684 --> 00:05:34.005]  And he was still in that top tier.
[00:05:34.386 --> 00:05:36.187]  But here's the biggest piece of evidence of fraud.
[00:05:37.873 --> 00:05:44.358]  Not just the fact that he was given the least amount of time in the debates, 89 seconds in the CBS, so that when he does get coverage, it's incredibly negative.
[00:05:44.578 --> 00:05:44.758]  No.
[00:05:45.459 --> 00:05:54.906]  It's that, consistently in the last year, he's gotten more money, even though there were eight Republican candidates early on, and it still shows the numbers today with only four left.
[00:05:55.767 --> 00:05:56.408]  Ron Paul.
[00:05:57.594 --> 00:06:08.197]  in the last year has gotten over 70% of all total donations from the military for all Republicans and Obama.
[00:06:08.517 --> 00:06:10.718]  And that's the big secret they don't want you to know about.
[00:06:10.978 --> 00:06:11.958]  Now what does that illustrate?
[00:06:13.599 --> 00:06:22.882]  That where it's a straw poll, or where it's a scientific poll, or where it's flat-out donations, he's winning in every indicator that they haven't been able to game or corrupt yet.
[00:06:23.834 --> 00:06:30.360]  They can only game their electronic voting machines, or in the case of Iowa or other areas, he even wins the precincts, but then they don't report him in.
[00:06:30.601 --> 00:06:31.822]  And say the truck got lost.
[00:06:32.002 --> 00:06:33.223]  There were no trucks in Iowa.
[00:06:33.383 --> 00:06:35.706]  They vote right there, they post the results, call it in.
[00:06:36.046 --> 00:06:37.467]  But they said a bunch of trucks got lost.
[00:06:37.928 --> 00:06:39.669]  Everywhere he was winning by double digits.
[00:06:40.350 --> 00:06:42.451]  Same thing now happened in Maine.
[00:06:42.892 --> 00:06:43.992]  So, he's winning.
[00:06:44.332 --> 00:06:49.716]  And that last piece of evidence, getting all those military donations, people like Adam Kokesh and other veterans had a march.
[00:06:50.176 --> 00:06:52.377]  Thousands and thousands showed up of active duty.
[00:06:52.577 --> 00:06:54.719]  Almost no corporate or media coverage.
[00:06:55.019 --> 00:06:56.520]  Again, showing they'll gain things.
[00:06:56.920 --> 00:06:57.961]  Showing they'll cover things up.
[00:06:58.261 --> 00:07:00.562]  In the debates, they attack him and say, you don't support the wars.
[00:07:00.902 --> 00:07:01.963]  You don't support the military.
[00:07:02.243 --> 00:07:04.665]  Implying the military supports all these illegal wars.
[00:07:05.205 --> 00:07:06.586]  When all the polls show they don't.
[00:07:06.946 --> 00:07:11.009]  Imagine if another candidate who was a warmonger had this type of military support.
[00:07:11.169 --> 00:07:12.350]  That's all you'd hear about.
[00:07:13.470 --> 00:07:15.952]  So it shows that the military is waking up.
[00:07:16.032 --> 00:07:16.813]  So are the police.
[00:07:17.173 --> 00:07:19.354]  They understand that criminals have taken over our government.
[00:07:19.875 --> 00:07:20.835]  And so it's a process.
[00:07:20.895 --> 00:07:24.718]  Even if Ron Paul doesn't win because of fraud, he is America's real president.
[00:07:25.078 --> 00:07:30.682]  And it shows that the ideas of sovereignty and anti-globalism and true freedom worldwide, 1776 worldwide is the answer.
[00:07:32.663 --> 00:07:35.724]  Now, I'm on the road traveling to Orlando to speak this next Sunday.
[00:07:36.164 --> 00:07:37.585]  I'll be doing reports for the Nightly News.
[00:07:37.605 --> 00:07:40.406]  I'll be doing my radio show live on the road every day at 11 a.m.
[00:07:40.426 --> 00:07:41.706]  Central, 12 noon Eastern.
[00:07:41.947 --> 00:07:50.170]  But we, when I get back, I'm going to compile a huge report with all the evidence of fraud, with all the graphs and numbers to show this to you and break it down.
[00:07:50.190 --> 00:07:51.830]  But you've all seen it for yourself.
[00:07:51.890 --> 00:07:52.971]  But get the word out.
[00:07:53.251 --> 00:07:55.251]  We know that there's massive election fraud.
[00:07:55.572 --> 00:07:57.312]  We know the black boxes are kicking in.
[00:07:57.612 --> 00:07:59.893]  We know the scams are taking place.
[00:07:59.913 --> 00:08:01.274]  And our entire process
[00:08:02.154 --> 00:08:06.576]  Being a constitutional republic, and the people being able to vote, is in deep trouble.
[00:08:06.656 --> 00:08:10.638]  But look, Congress has a 9% approval rating for two years running now, lowest in history.
[00:08:11.118 --> 00:08:12.159]  And it's only going to get lower.
[00:08:12.459 --> 00:08:13.559]  Of course it's fraud!
[00:08:14.000 --> 00:08:27.586]  Most people are awake and angry, but still, the corporate welfare, the wars, the corruption, the gun grabbing, the fast and furious, all of it, the socialist healthcare, it only gets worse regardless of what we do, because the fix is in in many areas.
[00:08:28.046 --> 00:08:29.367]  They don't have these machines in everywhere.
[00:08:29.747 --> 00:08:31.887]  And where they don't, they just don't count the caucus votes.
[00:08:32.748 --> 00:08:40.169]  They've got their people in everywhere, and everywhere Libertarians and Constitutionalists try to run locally, the feds' minions are there trying to block them.
[00:08:40.189 --> 00:08:42.650]  But more and more they're failing, in the case of Rand Paul and others.
[00:08:42.670 --> 00:08:44.690]  That's why you've got to run for local office.
[00:08:44.710 --> 00:08:45.750]  You've got to be a watchdog.
[00:08:45.970 --> 00:08:50.631]  You've got to take over the bureaucracy yourself, so that more and more we can expose what they're doing.
[00:08:51.071 --> 00:08:52.411]  So look how far we've grown.
[00:08:52.431 --> 00:08:55.232]  Ron Paul, ten years ago, couldn't get one co-sponsored off the fed.
[00:08:55.452 --> 00:08:57.233]  He passed the House last year, killed in the Senate.
[00:08:57.494 --> 00:08:59.155]  He's almost got the votes again this year.
[00:08:59.215 --> 00:09:00.476]  The idea is out.
[00:09:01.057 --> 00:09:01.817]  The liberty is there.
[00:09:01.857 --> 00:09:05.320]  That's why top globalist Brzezinski says the elite has never been in this much trouble.
[00:09:05.640 --> 00:09:08.202]  Alright, I'm Alex Jones reporting for InfoWars.com.
[00:09:08.563 --> 00:09:12.226]  Please get this video out to everybody because knowing is half the battle.
[00:09:12.306 --> 00:09:17.650]  Being aware of what they're doing is half the battle and getting out of our denial and saying no and waking up.
[00:09:18.511 --> 00:09:19.151]  Here's the evidence.
[00:09:19.191 --> 00:09:19.692]  You've seen it.
[00:09:20.132 --> 00:09:21.313]  Now the rest is up to you.
[00:09:21.393 --> 00:09:23.335]  Get out there and expose what's happening.
[00:09:24.542 --> 00:09:28.225]  And of course, we all know why they would cheat Ron Paul out of the nomination.
[00:09:28.265 --> 00:09:32.769]  The constitutional congressman, who they said is on a quixotic bid, who couldn't win.
[00:09:33.110 --> 00:09:38.815]  And even as he wins, they just keep turning the cameras away, ignoring him, looking at all other issues.
[00:09:39.035 --> 00:09:41.557]  It's because he deals with things like the Federal Reserve.
[00:09:42.018 --> 00:09:46.802]  And so, what is up with the Federal Reserve lately, as they approach the end of their 100-year charter?
[00:09:47.282 --> 00:09:51.905]  As somehow they're going to sell us on a hundred more years of their pure tyranny.
[00:09:52.185 --> 00:09:56.028]  Well the Fed is writing sweeping rules from behind closed doors.
[00:09:56.388 --> 00:10:07.995]  That is a headline in the Wall Street Journal and they report that the Federal Reserve has operated almost entirely behind closed doors as it rewrites the rule book governing the US financial system.
[00:10:08.416 --> 00:10:15.280]  They're calling it the most dramatic revision since the Great Depression and it's been almost completely without public meetings.
[00:10:15.760 --> 00:10:26.125]  Since the Dodd-Frank financial overhaul became law in July 2010, the Fed has had 47 separate votes on financial regulation and scores more to come.
[00:10:26.425 --> 00:10:30.427]  And 45 of those 47 votes were totally behind closed doors.
[00:10:30.787 --> 00:10:38.951]  They secretly emailed in the votes later and even failed to report the few people within the Fed system who dissented on their decisions.
[00:10:38.991 --> 00:10:40.352]  That's the kind of things happening.
[00:10:40.732 --> 00:10:48.354]  They have so-called sunshine laws, but apparently that's just been interpreted as opening the window as they meet behind doors in the smoky room.
[00:10:48.814 --> 00:10:51.914]  Someone really had better shine a gigantic light on the Fed.
[00:10:52.215 --> 00:11:03.797]  Look what came out from the partial audit that they finally got after decades of hammering home this issue, after Ron Paul bought his entire career in Congress to try to bring this up to audit the Fed fully.
[00:11:04.097 --> 00:11:07.178]  They found that they were lending to all the familiar big banks.
[00:11:08.098 --> 00:11:14.141]  And so what are the decisions they're making behind closed doors in these 47 mostly secret meetings?
[00:11:14.441 --> 00:11:23.225]  Well, they're meeting on how much capital a bank must hold, what kind of trading banks can engage in, what kind of fees banks can charge on debit card transactions.
[00:11:24.165 --> 00:11:34.999]  All the kind of crazy stuff, and they've got a chart here on the Volcker Rule, which is a really dumbed-down version under the Dodd-Frank Bill, which was made to appear as though they're reining in the banks when really they're not.
[00:11:35.880 --> 00:11:37.863]  A dumbed-down version of Glass-Steagall.
[00:11:38.444 --> 00:11:40.807]  Glass-Steagall, of course, the rule that prevented banks
[00:11:41.547 --> 00:11:48.010]  That held just general regular money from speculating and investing and going crazy on that derivatives market.
[00:11:48.350 --> 00:11:50.691]  The other set of meetings were all on derivatives.
[00:11:51.171 --> 00:11:53.952]  And who had the most meetings in both cases?
[00:11:54.012 --> 00:12:02.355]  It was JP Morgan Chase, Bank of America, Deutsche Bank and Goldman Sachs, of course, up there as well, along with the other familiars Barclays and Morgan Stanley.
[00:12:02.715 --> 00:12:06.176]  Why JP Morgan Chase at 16 meetings for the Volcker Rule?
[00:12:06.537 --> 00:12:09.838]  Why JP Morgan Chase at 14 meetings for the Volcker Rule?
[00:12:10.518 --> 00:12:22.943]  Well, you guessed it, because Jamie Dimon is the number one person on the Federal Reserve Board of Directors, and he's the current CEO of JPMorgan Chase, the Rockefeller and Rothschild-owned bank.
[00:12:23.303 --> 00:12:26.444]  That's right, JPMorgan was just a frontman for the Rothschilds.
[00:12:26.804 --> 00:12:37.728]  The Rockefellers merged their Chase banking operations some years ago into that super mega bank, which has more than $90 trillion in derivatives, and that's a huge, huge issue.
[00:12:37.768 --> 00:12:38.789]  Of course, they're meeting on it.
[00:12:39.269 --> 00:12:42.752]  So Jamie Dimon is on the board of the Federal Reserve.
[00:12:43.373 --> 00:12:44.214]  We've got it right here.
[00:12:44.334 --> 00:12:46.336]  In fact, the board has three classes.
[00:12:46.416 --> 00:12:47.757]  He's a Class A member.
[00:12:48.797 --> 00:12:53.378]  Other vultures in that class of board of directors include Richard L. Carrion.
[00:12:53.778 --> 00:12:55.179]  No, I'm not making up the name.
[00:12:55.219 --> 00:12:57.519]  He's Carrioneater, a little vulture.
[00:12:57.819 --> 00:13:04.381]  And then they have people represented to represent the public, elected and appointed to represent the public.
[00:13:04.681 --> 00:13:10.863]  People like the chairman of Macy's and other big institutions, Silver Lake, the big tech institution.
[00:13:12.003 --> 00:13:14.764]  So, why was JP Morgan chasing all these meetings?
[00:13:14.804 --> 00:13:18.566]  Because anytime Jamie Dimon shows up, he represents both of them.
[00:13:18.866 --> 00:13:19.846]  They meet in private.
[00:13:20.126 --> 00:13:26.808]  The Rothschilds and Rockefellers set up the Federal Reserve and they have controlling shares in it, along with other big bankers.
[00:13:26.848 --> 00:13:28.029]  How disgusting is that?
[00:13:28.349 --> 00:13:34.131]  And how important is it that we bring true accountability to the Fed and move to shut it down?
[00:13:34.491 --> 00:13:38.793]  Just another reason to support Ron Paul, because no one else is even close on that issue.
[00:13:39.053 --> 00:13:39.613]  Not even close.
[00:13:40.737 --> 00:13:58.157]  Meanwhile, following popular outrage over SOPA and PIPA and ACTA and other attempts to strong-arm, control the internet, chill free speech and shut down websites on a whim, now the globalists are pushing an internet control freak treaty through the United Nations.
[00:13:58.558 --> 00:14:00.140]  That's a report by Kurt Nimmo.
[00:14:00.980 --> 00:14:10.330]  The International Telecommunication Union, abbreviated to ITU, is a treaty-based organization under the auspices of the United Nations.
[00:14:10.670 --> 00:14:23.383]  The ITU is working to globalize the radio spectrum, the latest generation wireless devices, aeronautical maritime navigation, radio astronomy, satellite-based meteorology, along with the Internet, the big one.
[00:14:23.843 --> 00:14:30.891]  It is positioning itself to control the next generation networks, the technology that will replace the current free and open internet.
[00:14:30.931 --> 00:14:32.934]  Of course, it is a long-standing plan.
[00:14:33.254 --> 00:14:38.340]  You've heard Alex talk about it many times over many years, and here it comes.
[00:14:38.820 --> 00:14:43.863]  In addition to imposing cybersecurity mandates, it will also outlaw peer-to-peer technologies.
[00:14:44.243 --> 00:14:47.365]  And who meets at the Bilderberg meeting for the past several years?
[00:14:47.745 --> 00:14:53.989]  None other than the head of cybersecurity, the co-current head of the NSA, General Keith Alexander.
[00:14:54.349 --> 00:14:58.272]  He met with all the big tech heads, all the digital agenda.
[00:14:58.792 --> 00:15:13.017]  People from the EU, the counterparts in the United States, the anti-monopoly, anti-trust people, all those people met at Bilderberg and just so happened to be the year we saw SOPA, PIPA, ACTA, and now this disgusting United Nations treaty.
[00:15:13.077 --> 00:15:18.559]  Just something else to keep an eye on because they're trying to crack down on the web one way or another.
[00:15:20.797 --> 00:15:27.100]  Meanwhile, counterterrorism and northern border drug strategy is tied to perimeter security deal.
[00:15:27.401 --> 00:15:33.283]  That's from Dana Gabrielle, really one of the only people still writing about the North American Union.
[00:15:33.764 --> 00:15:35.444]  We exposed this issue years ago.
[00:15:35.504 --> 00:15:44.769]  People were up in arms about it as they tried to put in the super NAFTA highways and all the rest of it merging our countries between Canada, the US and Mexico.
[00:15:45.569 --> 00:15:48.252]  But what's happened now in the years since that's been exposed?
[00:15:48.292 --> 00:15:54.376]  Well, we've seen the Fast and Furious thing attempting to bring greater coordination between the US and Mexico.
[00:15:54.477 --> 00:16:01.922]  Meanwhile, they just passed the Beyond Borders deal under the North American Union agenda between Canada and the United States.
[00:16:02.263 --> 00:16:11.210]  The whole thing is outlined to control drugs and you've got people like Senator Chuck Schumer saying, I can't wait till we stop the flow of drugs on the northern border.
[00:16:11.570 --> 00:16:11.650]  Yes.
[00:16:31.647 --> 00:16:32.407]  We're good to go.
[00:17:00.942 --> 00:17:02.243]  And you should check out the issue too.
[00:17:02.283 --> 00:17:04.025]  You'll be amazed at the stuff you find.
[00:17:04.385 --> 00:17:13.114]  Mike Adams has a news story how pasteurized milk is 150 times more contaminated with blood, pus, and feces than fresh milk.
[00:17:13.574 --> 00:17:17.158]  And that's right, they do have all those things in that so-called pasteurized milk.
[00:17:17.578 --> 00:17:18.859]  That you get from stores.
[00:17:19.840 --> 00:17:32.048]  This is a response, actually, to the CDC putting out the stunning propaganda claim that raw dairy milk is, quote, 150 times more dangerous than pasteurized milk.
[00:17:33.029 --> 00:17:33.509]  Yeah, right.
[00:17:33.609 --> 00:17:36.531]  Actually, it has almost all the essential amino acids.
[00:17:36.791 --> 00:17:38.673]  It's got unbroken protein chains.
[00:17:38.713 --> 00:17:41.975]  Incredibly good for the body as long as the farm is clean.
[00:17:42.295 --> 00:17:44.417]  And most of those farms still do raw milk.
[00:17:45.037 --> 00:17:50.839]  Although they're afraid of being shut down by these terrible federal regulators, actually keep very clean farms.
[00:17:51.220 --> 00:18:05.806]  The whole thing with pasteurization is to allow, as Mike Adams points out in the article, to allow dirty dairy to do what they want, to allow this blood, pus, all this dirt, all this disgusting stuff, even feces, to be in your milk.
[00:18:06.186 --> 00:18:13.809]  Then they just heat it up, destroy all the nutritional proteins in there, and so-called kill the dangerous things that might be in the milk.
[00:18:14.349 --> 00:18:17.651]  And that's what they push on the public as they arrest Amish people and more.
[00:18:19.252 --> 00:18:31.380]  In completely different news, Strauss Kahn, the former head of the IMF, was arrested by French police for, quote, complicity and pimping after he admits to attending sex parties all over the world.
[00:18:32.120 --> 00:18:34.982]  Yes, it is a story basically out of eyes wide shut.
[00:18:35.342 --> 00:18:36.983]  Great graphic we got there from the crew.
[00:18:38.024 --> 00:18:50.268]  The disgraced former head of the International Monetary Fund, who lost his job amid claims he tried to rape a New York chambermaid, could face jail time over the, quote, sex parties he's admitted to attending around the world.
[00:18:50.629 --> 00:19:02.233]  Strauss-Kahn, 62, whose wife, Anne Sinclair, is standing by him, has made the extraordinary claim he was unaware the women at the orgies were prostitutes, because, quote, they were naked at the time.
[00:19:02.952 --> 00:19:06.274]  Look, actually, I don't care what DSK does in his private life.
[00:19:06.415 --> 00:19:13.380]  Obviously, I'm against raping anyone, including maids, even though those allegations were dropped.
[00:19:13.600 --> 00:19:18.584]  What I'm really against is the heads of the IMF raping entire nations, because that's what they do.
[00:19:18.704 --> 00:19:27.530]  Unfortunately, when DSK was driven out of office and made into a celebrity scandal, he was replaced by someone at least as wicked, Christine Lagarde.
[00:19:28.171 --> 00:19:31.293]  Meanwhile, at the World Bank, the sister twin organization,
[00:19:31.713 --> 00:19:51.039]  You got a toss-up between Larry Summers who wants to pollute the third world as he rapes us economically here at home, or you've got Hillary Clinton who pushes vaccines and population control in the third world, Hillary Clinton who is on the board of Walmart, Hillary Clinton who was in the legal representation for Monsanto.
[00:19:51.539 --> 00:19:52.300]  Those are our leaders.
[00:19:52.320 --> 00:19:53.740]  That's the real raping going on.
[00:19:53.840 --> 00:19:55.461]  Forget about these little scandals.
[00:19:55.861 --> 00:19:58.342]  And sure, they do terrible things in their personal lives.
[00:19:58.742 --> 00:19:59.062]  Whatever.
[00:20:00.313 --> 00:20:02.914]  Other nice news here, a U.S.
[00:20:02.974 --> 00:20:09.376]  government program secretly injected people with plutonium, as well as uranium, the article goes on to discuss.
[00:20:09.976 --> 00:20:13.317]  This came out earlier in February, there's fresh reporting on it today.
[00:20:13.697 --> 00:20:18.439]  You've also got Anthony Giussiardi, who really learned to speak Italian.
[00:20:19.159 --> 00:20:20.401]  It's been revealed the U.S.
[00:20:20.441 --> 00:20:24.626]  government program secretly injected citizens with plutonium and uranium.
[00:20:24.927 --> 00:20:36.702]  They took unwitting subjects in the 1940s, injected them with uranium to test the effects, all while telling them they were being treated for other kinds of things.
[00:20:37.382 --> 00:20:41.584]  In one particular case, the first man injected was Eb Cade in early 1945.
[00:20:43.044 --> 00:20:45.665]  He was a worker at the Oak Ridge Nuclear Facility.
[00:20:45.965 --> 00:20:47.226]  He later got in a car wreck.
[00:20:47.266 --> 00:20:50.107]  He survived and was bed-bound with a broken arm and leg.
[00:20:50.767 --> 00:21:06.073]  Doctors interviewed him, gave him reassurances, told him how nice everything would be, then ascertained that the 53-year-old, oh, African-American man, I guess he's disposable and disenfranchised and on the fringes, so no one will pay attention if we inject uranium in him,
[00:21:06.793 --> 00:21:11.299]  They found he was otherwise healthy, eating well, drinking well, had no other serious illnesses.
[00:21:11.739 --> 00:21:18.047]  So, they realized they had a healthy subject and juiced him up with 4.7 micrograms of plutonium.
[00:21:18.427 --> 00:21:19.168]  Isn't that nice?
[00:21:20.237 --> 00:21:23.618]  Not clear who ordered the injection, but it's clear it wasn't for the health.
[00:21:24.038 --> 00:21:38.304]  The article quips, uh, they continued to experiment on him, they pulled 15 teeth, they tested his bone tissue, never told him what was going on, although he had some idea, because according to the reports, he escaped from the, uh, hospital one night.
[00:21:38.944 --> 00:21:41.125]  Uh, anyway, he died later, like,
[00:21:41.565 --> 00:21:44.869]  Less than 10 years later, when he was still a, quote, healthy man.
[00:21:44.909 --> 00:21:46.371]  They tested plenty of other people.
[00:21:46.672 --> 00:21:49.335]  They eventually investigated this in 1974.
[00:21:49.996 --> 00:21:58.266]  But this was done first through the Manhattan Project secretly, then later somewhat less secretly through the Atomic Energy Commission, all to find out what the...
[00:21:59.107 --> 00:21:59.787]  We're good to go.
[00:22:22.119 --> 00:22:28.525]  And the article goes on, they tested lots of other people, never told them, lied to them, they all found out decades later, if at all.
[00:22:28.845 --> 00:22:29.686]  Just disgusting.
[00:22:30.006 --> 00:22:32.549]  So just remember, your government's out for your own good.
[00:22:32.609 --> 00:22:34.971]  They know what's best for your safety.
[00:22:35.392 --> 00:22:40.496]  As we turn to the next issue, TSA questioning body scanner opt-outs.
[00:22:41.437 --> 00:22:47.579]  Steve Watson writes at Infowars.com, refusing to be irradiated, now treated as suspicious behavior.
[00:22:47.599 --> 00:22:57.982]  And of course they've already deployed the quote, behavior detection officers to watch for nervousness or people who don't like going through security because that's suspicious terrorist activity.
[00:22:58.562 --> 00:23:09.190]  Instances of TSA agents demanding to know why travelers are opting out of walking through x-ray firing body scanners and treating the action as suspicious continue to be reported.
[00:23:09.670 --> 00:23:17.156]  Here's an account in LewRockwell.com who is also a great defender of civil liberties and has also been covering the TSA issue for many years.
[00:23:17.816 --> 00:23:24.161]  They've got an account from traveler Ryan Alford, who writes how he was asked by an agent, why did you opt out?
[00:23:24.602 --> 00:23:26.983]  To which he replied, am I required to answer?
[00:23:27.004 --> 00:23:31.587]  The agent mumbled and continued groping and poking, then asked, why are you traveling to?
[00:23:31.607 --> 00:23:35.010]  He again answered, am I required to answer?
[00:23:35.450 --> 00:23:40.715]  And then of course they brought over the supervisors and asked him more questions and then finally let him go.
[00:23:42.165 --> 00:23:59.188]  And that's just what you can expect because they planned all along to make everyone go through the body scanners and to refuse the ability to travel to anyone who didn't submit to the body scanner or to the new Trusted Traveler program, which is guaranteed not to stop any terrorism.
[00:23:59.548 --> 00:24:02.028]  Of course, that's already a guarantee of the TSA.
[00:24:02.308 --> 00:24:03.749]  They didn't stop the underwear bomber.
[00:24:03.789 --> 00:24:06.869]  They've never stopped or caught any terrorist whatsoever.
[00:24:07.269 --> 00:24:11.130]  At the very best, they've showed us some probably cooked up images of the
[00:24:11.650 --> 00:24:13.912]  9-11 hijackers, well after the fact.
[00:24:14.452 --> 00:24:19.336]  Now, of course, they were playing the body scanners well before the underwear bomber incident.
[00:24:19.716 --> 00:24:32.005]  I, myself, was encouraged to go through one before the body scanner thing happened after Abdulmutallab, who's now pleaded guilty, is now back in the news to help legitimize the body scanners.
[00:24:32.385 --> 00:24:36.808]  And you know what happened when I told them, no, I'm not going to the body scanner, I don't want to be radiated?
[00:24:37.208 --> 00:24:40.391]  Well, before I got the pat down, I was told, you read too much.
