[00:00:08.382 --> 00:00:13.790]  So what's the secret of the Italian ship disaster and all those that died?
[00:03:03.311 --> 00:03:07.013]  And they're always going to try to protect themselves from any type of risk.
[00:03:07.033 --> 00:03:09.876]  And they're going to do that at the expense of the general public.
[00:03:10.616 --> 00:03:14.599]  The secret of this disaster is you're never 100% safe.
[00:03:15.480 --> 00:03:18.503]  No one can protect you better than yourself.
[00:03:19.403 --> 00:03:23.487]  And government and big institutions can't and won't protect you.
[00:03:24.502 --> 00:03:39.273]  When you count on someone else for your welfare, for your security, for your future, when you hand over authority for your life, it always results in one thing societally, and that is corruption and tyranny.
[00:03:40.194 --> 00:03:48.821]  And the controllers that are providing for the general public and directing the general public, basically seeing us as cattle and feeding on us.
[00:03:50.177 --> 00:03:55.541]  Government takes taxes from the American people and then claims that they're providing for us.
[00:03:56.421 --> 00:03:58.223]  So you see it's another cruel lie.
[00:03:58.783 --> 00:04:15.654]  They take Social Security from the public for decades and then basically steal the money without investing it and then later hold everyone hostage and say we've got to raise taxes or Social Security will go belly up and then they only steal that new money.
[00:04:16.655 --> 00:04:19.537]  But this system that seeks to turn us into
[00:04:21.004 --> 00:04:35.272]  Creatures that are totally dependent on the system is always at odds and eternally at war with rugged individualism and true independence.
[00:04:36.273 --> 00:04:41.116]  And every couple days I see articles out of Oklahoma, California, Texas.
[00:04:42.526 --> 00:04:58.065]  Where women are in their home alone, and men with guns and knives are busting down their doors, coming in to attack them, and the women call 911 and ask permission to shoot the armed intruders.
[00:04:59.045 --> 00:05:07.090]  Just today, I saw an article that was in the Galveston newspaper, down in South Texas, where a 15-year-old girl got out of the shower.
[00:05:07.130 --> 00:05:07.891]  Her parents were gone.
[00:05:08.271 --> 00:05:09.852]  There were two burglars inside the house.
[00:05:10.392 --> 00:05:15.175]  She ran to her dad's desk, got his handgun, went and menaced them with the firearm.
[00:05:15.596 --> 00:05:24.961]  And I heard local talk show hosts, who were supposedly conservative, here in independent Texas, saying, should she have had that gun?
[00:05:25.282 --> 00:05:26.823]  Should her father have let her
[00:05:27.975 --> 00:05:29.375]  Have that gun at her fingertips.
[00:05:30.616 --> 00:05:32.557]  This idea that she's the criminal.
[00:05:33.057 --> 00:05:37.058]  You look at England where they charge people who defend themselves in home invasions.
[00:05:37.818 --> 00:05:38.819]  Even with their bare hands.
[00:05:39.599 --> 00:05:44.060]  A nanny state does not want you to defend yourself.
[00:05:44.100 --> 00:05:48.362]  They do not want you to even know that you legally have a right and a duty to do that.
[00:05:49.335 --> 00:05:52.536]  They want you to think that it's the state that has to protect you.
[00:05:53.256 --> 00:06:00.137]  And as the state takes over the role of protector, like in Chicago and New York, the crime rates only explode.
[00:06:01.337 --> 00:06:02.478]  And then what does the system do?
[00:06:03.738 --> 00:06:08.339]  They come out and say the answer is more police, more surveillance, more control.
[00:06:09.259 --> 00:06:13.280]  The bigger the drug war gets, the more drugs are shipped in because the price is higher.
[00:06:14.500 --> 00:06:21.043]  The more checkpoints, the more home invasions, the more warrantless searches you supposedly have to go through.
[00:06:21.524 --> 00:06:26.246]  This is how the tyrants convert our society into an oppressive system.
[00:06:27.267 --> 00:06:36.932]  And the hallmark of an oppressive despotic tyranny is that it always seeks to disarm the population and to punish those that seek to defend themselves.
[00:06:38.186 --> 00:06:40.109]  You know, I'm an 8th generation Texan.
[00:06:40.149 --> 00:06:41.631]  My children are 9th generation.
[00:06:41.691 --> 00:06:45.436]  We were Texans before it was even Mexico, back when it was Spain.
[00:06:46.677 --> 00:06:50.462]  And growing up, as a very young age, I was taught to use firearms.
[00:06:51.023 --> 00:06:55.008]  And I was taught to use a firearm if anybody ever tried to assault me.
[00:06:55.819 --> 00:07:14.392]  And it's so alien to someone like myself that was brought up with basic freedom to see domesticated populations on the news and calling into talk radio saying that the young girl should have just begged the robbers to not rape her instead of actually chasing them out of the house.
[00:07:15.253 --> 00:07:24.279]  It just shows how those of us that love freedom truly are from a completely different dimension from those that love servitude and the nanny state.
[00:07:25.501 --> 00:07:28.043]  I've got a few examples of this here.
[00:07:28.344 --> 00:07:34.049]  Oklahoma teen mom asked 9-11 for permission, fatally shoots intruder on New Year's Eve.
[00:07:34.590 --> 00:07:42.657]  And here's the 15-year-old girl is safe after police say she turned a gun on two men who broke into her home, according.
[00:07:43.658 --> 00:07:45.159]  To the Galveston Daily News.
[00:07:46.020 --> 00:07:50.963]  But let me show you what the nanny state is doing in the U.S., England, and Canada.
[00:07:51.683 --> 00:07:53.744]  Here is an unbelievable article.
[00:07:54.185 --> 00:07:59.128]  Homeowner fined $5,200 for growing cucumbers.
[00:07:59.608 --> 00:08:00.609]  Plans lawsuit.
[00:08:01.549 --> 00:08:12.536]  That's right, I saw one of the city council members in Tulsa, Oklahoma a few years ago come out and say, we need inspections of backyard gardens because you might be growing marijuana.
[00:08:13.359 --> 00:08:18.301]  The idea that growing things on your own property, that you're guilty until proven innocent.
[00:08:18.642 --> 00:08:19.862]  But there's a pre-crime there.
[00:08:21.043 --> 00:08:27.566]  But reading this article, they fly over in Canada, the U.S., and England with helicopters.
[00:08:27.746 --> 00:08:36.050]  And if they see a heat resonance, they use that, without a warrant in many cases, to break into your house.
[00:08:37.054 --> 00:08:40.497]  In England, in one case, it was a guinea pig heater.
[00:08:41.297 --> 00:08:46.541]  My son has a lizard and has a little heat lamp, and I'm told that'll get you a good SWAT team raid.
[00:08:46.861 --> 00:08:47.662]  But it gets worse.
[00:08:47.902 --> 00:08:51.625]  All over the Western world, police analyze your power consumption.
[00:08:52.205 --> 00:09:02.530]  I was talking to an Austin cop more than a decade ago, and he said, yeah, one time we broke in without a warrant during the day to this 90-something-year-old retired UT fish scientist.
[00:09:02.890 --> 00:09:03.950]  I forget the technical name.
[00:09:04.771 --> 00:09:11.514]  And she had all these fish tanks in her house, and it was using more power than, quote, one woman should, according to the census in her house.
[00:09:11.854 --> 00:09:14.455]  So we broke in and saw that it was fish tanks and just left.
[00:09:15.523 --> 00:09:25.511]  Well, right here in this article out of Canada, it says you can be fined more than $10,000 for growing vegetables in your house.
[00:09:25.911 --> 00:09:26.712]  And do you know why?
[00:09:28.073 --> 00:09:32.697]  Because it might be drugs sometime.
[00:09:34.639 --> 00:09:39.603]  And you know why they fine you tens of thousands of dollars or more?
[00:09:40.632 --> 00:09:43.873]  For simply growing vegetables on your own house?
[00:09:44.593 --> 00:09:46.594]  Well, because it's not out in plain view.
[00:09:47.434 --> 00:09:48.814]  And that just can't be trusted.
[00:09:48.854 --> 00:09:53.655]  Kind of like the woman with the garden up in Michigan who had to be criminally charged.
[00:09:53.916 --> 00:09:55.716]  Like the Amish who were being SWAT-teamed.
[00:09:55.756 --> 00:09:58.057]  Or people selling pumpkins being arrested.
[00:09:58.097 --> 00:09:59.217]  Or people selling lemonade.
[00:10:00.635 --> 00:10:05.157]  Under Stalin, in Russia and Ukraine, they went after the small farmers.
[00:10:05.197 --> 00:10:06.077]  They shut them down.
[00:10:06.417 --> 00:10:07.578]  Mao Zedong did it.
[00:10:07.958 --> 00:10:14.300]  The enemy of the nanny state is anybody that's self-sufficient or even quasi-self-sufficient.
[00:10:14.600 --> 00:10:19.442]  They want you in this plastic, artificial system totally under their control.
[00:10:19.982 --> 00:10:27.325]  They need you only going to the big box stores, like Louisiana passing a law that you can't take cash unless you're a box store.
[00:10:28.416 --> 00:10:33.099]  It's off the charts what we've turned into, and it's only getting worse by the minute.
[00:10:33.600 --> 00:10:34.901]  This article continues.
[00:10:36.142 --> 00:10:39.144]  What's worse, inspectors don't even have to find any marijuana.
[00:10:39.724 --> 00:10:47.270]  If they find what they deem residual evidence, such as high mold readings, they can charge homeowners search fees.
[00:10:47.850 --> 00:10:57.257]  So it's kind of like Brazil, the dystopic remake of 1984 by Terry Gilliam, where when they come and arrest your husband with a black bag and he disappears forever, they charge you for it.
[00:10:58.328 --> 00:11:11.295]  And so it goes on, though, that if you refuse to have home inspectors in your home to see if you're growing any vegetables, that you then have your home condemned and taken from you.
[00:11:12.616 --> 00:11:18.519]  So they come to your house without warrants all over Canada, and this is now starting in the U.S., and they say, we want to come in without warrants.
[00:11:19.299 --> 00:11:22.081]  And if you say no, they just condemn your house and then take it outright.
[00:11:23.186 --> 00:11:25.188]  Thousand dollar fines for three inch grass.
[00:11:25.528 --> 00:11:26.849]  It's happening all over the U.S.
[00:11:27.369 --> 00:11:29.611]  It is tyranny on steroids.
[00:11:30.192 --> 00:11:32.514]  And lastly, here's the nanny state right here.
[00:11:32.994 --> 00:11:42.742]  After the feds take over your state, give it all these unfunded mandates that you can never fund, and take whatever money you do raise and pay it in bank or bailouts, tens of trillions to offshore corporations.
[00:11:43.443 --> 00:11:50.769]  After all of this has happened, the Associated Press reports Central Falls, Rhode Island, a once prosperous city,
[00:11:52.102 --> 00:12:08.984]  is now bankrupt following state and federal mandates and will now no longer have a right to vote and will be corporately owned and will be run by a corporate administrator who will raise any fines or fees they wish on the public and there's no law.
[00:12:10.205 --> 00:12:13.987]  Total corporate fascism right here.
[00:12:14.367 --> 00:12:22.410]  And if you think I'm joking, when the state stepped in to take over the financially struggling Central Falls in 2010, Rhode Island's smallest city lost something fundamental.
[00:12:22.790 --> 00:12:24.031]  Its democratic government.
[00:12:24.891 --> 00:12:28.032]  The mayor would be forced to give back the key to the city hall.
[00:12:29.513 --> 00:12:36.436]  And the city council was relegated to advisory status, unsure for months whether it was even allowed to convene.
[00:12:37.156 --> 00:12:39.837]  That's what the whole Congress is now, is just ceremonial.
[00:12:41.169 --> 00:12:52.072]  The article goes on, they're being governed without elected representation, said Senator Elizabeth Crowley, said of Sindertal Falls 19,000 residents, and it goes on from there.
[00:12:52.553 --> 00:12:56.374]  Our highways are being seized by megacorporations that are already paid for by citizens.
[00:12:57.574 --> 00:12:59.175]  Our whole infrastructure is being taken over.
[00:12:59.635 --> 00:13:06.577]  We've got reports pouring in where they're now forcibly inoculating children in California and other states without parental consent.
[00:13:09.349 --> 00:13:11.350]  The government can't and won't protect you.
[00:13:11.490 --> 00:13:22.638]  It is nothing but a dangerous criminal organization now bought and paid for by offshore corporations that are looting and subdividing and usurping our society.
[00:13:23.398 --> 00:13:24.399]  Prepare yourselves.
[00:13:25.039 --> 00:13:27.181]  Engage in radical evil.
[00:13:27.581 --> 00:13:28.502]  Plant gardens.
[00:13:29.242 --> 00:13:30.143]  Own firearms.
[00:13:30.583 --> 00:13:31.764]  Don't eat GMO.
[00:13:32.244 --> 00:13:33.265]  Eat healthy food.
[00:13:34.065 --> 00:13:35.386]  Spend time with your family.
[00:13:35.786 --> 00:13:37.387]  Don't watch as much television.
[00:13:37.868 --> 00:13:39.529]  Read the Bill of Rights and Constitution.
[00:13:40.810 --> 00:13:53.698]  I know that that sounded like a joke saying that's radical, but actually that's listed as terrorism in the different MIAC and Homeland Security documents, because the criminals have now declared good, wholesome behavior as evil.
[00:13:54.839 --> 00:13:58.302]  America's in a lot of trouble, but it's always darkest before the dawn.
[00:13:59.093 --> 00:14:01.614]  And the public is now really ready to be awakened.
[00:14:02.374 --> 00:14:04.515]  So please get this message out to everybody you know.
[00:14:05.236 --> 00:14:06.917]  The nanny state isn't here to protect you.
[00:14:07.577 --> 00:14:10.098]  It's here to rob the living daylights out of you.
[00:14:11.499 --> 00:14:15.981]  And the nanny state crooks and their corporate controllers now know that you're awake.
[00:14:16.561 --> 00:14:25.465]  So they're pulling out all the stops and trying to get their system in place before the sleeping giant that is America fully awakens.
[00:14:27.008 --> 00:14:28.710]  This contest is for all the marbles.
[00:14:30.031 --> 00:14:31.332]  It's up to you who wins.
[00:14:31.812 --> 00:14:34.535]  These chicken-neck criminal control freaks are humanity.
[00:14:35.676 --> 00:14:37.798]  I know you're gonna wake up and we're gonna kick their butt together.
