[00:00:00.029 --> 00:00:01.213]  Correct from Austin.
[00:06:09.124 --> 00:06:14.668]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:06:15.148 --> 00:06:17.710]  You're listening to the Alex Jones Show!
[00:06:48.106 --> 00:06:53.048]  Monday through Friday I am live 12 noon to 3 p.m.
[00:06:53.128 --> 00:07:00.252]  Eastern with the weekday show and then I come back live every single Sunday 4 to 6 p.m.
[00:07:00.452 --> 00:07:08.776]  Central Standard Time 5 to 7 Eastern that is 2 to 5 or I guess that would be 2 to 4
[00:07:10.612 --> 00:07:14.253]  In the Pacific, three to five mountain, but it's all academic.
[00:07:14.733 --> 00:07:21.715]  Again, thank you so much for joining us on this Sunday, the 25th day of November 2012.
[00:07:23.475 --> 00:07:29.937]  And we have, again, just a ton of key information that we're going to be covering today.
[00:07:30.697 --> 00:07:38.079]  Coming up later in the hour, I just wanted to read a small stack of just the police state news today.
[00:07:40.046 --> 00:07:44.434]  Just the out-of-control government news today.
[00:07:45.822 --> 00:07:52.246]  Where violent criminals are allowed to go free, but the general public is savagely abused by the system.
[00:07:53.026 --> 00:07:55.728]  Because the system sees you as the food.
[00:07:56.248 --> 00:07:57.989]  Soylent Green is made out of people.
[00:07:58.589 --> 00:08:00.830]  They don't want to physically eat you, at least not yet.
[00:08:01.571 --> 00:08:12.197]  But the bureaucracy and the megacorporations that are anti-free market, monopolistic, that control us through government, and shut down their competition through government, they extract your labor and your energy.
[00:08:13.371 --> 00:08:23.936]  And to control you, they've distorted the educational process to where we have a dumbed-down, arrested development population that does not have any idea how this world even operates.
[00:08:23.956 --> 00:08:25.717]  Let me just give you a few of these headlines.
[00:08:26.097 --> 00:08:27.398]  First off, some good news.
[00:08:29.579 --> 00:08:30.740]  Some sanity here.
[00:08:30.920 --> 00:08:36.843]  Piedmont officer is fired over public urination ticket.
[00:08:37.643 --> 00:08:42.929]  The three-year-old was seen running around the front yard and peed up against a tree.
[00:08:44.688 --> 00:08:48.851]  I mean, I thought you weren't a red-blooded southerner unless you peed in your backyard.
[00:08:50.531 --> 00:08:53.313]  But the point is, is the good neighbor called the police, of course.
[00:08:53.853 --> 00:08:56.035]  Can't pass up any reason to call the police.
[00:08:56.655 --> 00:09:00.977]  And the police came and knocked on the door and gave her a $2,500 ticket.
[00:09:01.358 --> 00:09:04.319]  And they'd like to, of course, make the child a sex offender if they could.
[00:09:05.240 --> 00:09:10.083]  But the police chief has fired the officer who ought to move to North Korea.
[00:09:11.237 --> 00:09:13.159]  Don't worry though, the union will get him reinstated.
[00:09:13.460 --> 00:09:14.861]  This is all just for show.
[00:09:15.522 --> 00:09:16.403]  That's up in Oklahoma.
[00:09:16.744 --> 00:09:18.606]  Florida woman arrested on charge.
[00:09:18.666 --> 00:09:19.687]  She rode manatee.
[00:09:20.108 --> 00:09:21.670]  Manatees come up and want to swim with you.
[00:09:21.690 --> 00:09:22.611]  That's NBC.
[00:09:23.332 --> 00:09:26.956]  And they want to put her in jail for a couple of years for that.
[00:09:27.901 --> 00:09:39.273]  But don't worry, more heads were found this week on the Texas-Mexico border, and there's all sorts of incredible crime going on and stabbings and murders that aren't even investigated, but the person riding the manatee will get in a lot of trouble.
[00:09:39.933 --> 00:09:42.896]  New York City storm victims' homes looted over Thanksgiving.
[00:09:43.357 --> 00:09:45.399]  What is it, three weeks after the hurricane?
[00:09:45.499 --> 00:09:46.480]  And looting is...
[00:09:47.561 --> 00:09:49.903]  Is ongoing, but hey, don't worry.
[00:09:50.744 --> 00:09:55.667]  They are arresting people that try to truck in gas for their neighbors if it's in an improper container.
[00:09:56.228 --> 00:09:59.310]  So, California man jailed for four days for courting police.
[00:10:00.171 --> 00:10:01.512]  That's in the local news there.
[00:10:01.552 --> 00:10:05.054]  It's also, his photography is on a crime.com that chronicles this.
[00:10:05.535 --> 00:10:08.457]  And the guy's about 30 feet away, legally lawfully videotaping.
[00:10:08.937 --> 00:10:14.622]  I saw a video this week where they arrested people, what was it, in Chicago videotaping an illegal checkpoint.
[00:10:15.523 --> 00:10:17.406]  You don't do that and land in the free home of the brave.
[00:10:18.248 --> 00:10:21.694]  Continuing, health care workers fired for failing to get flu shot vaccinations.
[00:10:23.591 --> 00:10:29.075]  Even though it doubles your chances of getting the flu that year in major government studies, and doesn't protect you and gives you brain damage.
[00:10:30.115 --> 00:10:45.347]  And over in the UK, they're now taking people's children, who are members of the UK Independence Party, which is the third largest party in the country, extremely mainline, and simply wants the EU out of British politics and have sovereignty UK-wide.
[00:10:45.367 --> 00:10:50.411]  It's the fastest growing party too, and they say that being against the Euro is illegal.
[00:10:51.071 --> 00:10:52.412]  And your children will be taken.
[00:10:52.432 --> 00:10:53.273]  That's the London Guardian.
[00:10:54.314 --> 00:10:56.396]  Continuing, it's authoritarianism is what it's called.
[00:10:57.196 --> 00:11:00.359]  Saudi husbands alerted by text of their wives leave the country.
[00:11:01.360 --> 00:11:10.047]  The GPS tracking that's in all cell phones globally under standardization that they use to track and trace us illegally here in the U.S.
[00:11:10.107 --> 00:11:13.410]  and in Europe and North America as well and Australia, Canada.
[00:11:13.670 --> 00:11:16.873]  Well there it's used, the government tracks the women for the husbands with it.
[00:11:17.513 --> 00:11:18.113]  So there you go.
[00:11:18.454 --> 00:11:19.174]  They don't feel bad.
[00:11:19.214 --> 00:11:20.294]  They do it to all of us here.
[00:11:20.674 --> 00:11:27.037]  Laptops, they issue the free laptops that taxpayers pay for from California to Pennsylvania.
[00:11:27.637 --> 00:11:29.898]  They watch you at home and the government's now announced that.
[00:11:30.658 --> 00:11:35.620]  And you must wear RFID trackers around your necks in San Antonio or you're expelled.
[00:11:36.081 --> 00:11:37.361]  That's been now national news.
[00:11:38.542 --> 00:11:40.703]  Here's some of the other police state news I thought I'd
[00:11:42.170 --> 00:11:44.972]  Get out here for you, but then I'll get into more detail on those.
[00:11:45.393 --> 00:11:48.175]  United Nations wants to use drones, weekly standard.
[00:11:48.595 --> 00:11:56.622]  I mean, everybody's getting the new drones and the global government wants some drones as well.
[00:11:58.143 --> 00:12:01.125]  And so the French news agency is also reporting that.
[00:12:01.646 --> 00:12:05.229]  And the UN runs giant mass murder operations all over the world.
[00:12:05.629 --> 00:12:06.249]  I was talking to a
[00:12:07.478 --> 00:12:12.201]  Young lady this weekend, and she was telling me her dream to be a high commissioner in the UN to save people.
[00:12:12.741 --> 00:12:14.942]  And I said, do you know about who founded the UN?
[00:12:14.962 --> 00:12:16.543]  Do you know about the Rockefellers?
[00:12:16.563 --> 00:12:17.544]  Do you know about eugenics?
[00:12:17.564 --> 00:12:21.206]  Do you know the UN runs murdering operations and white slavery?
[00:12:21.226 --> 00:12:23.267]  No sex kidnapping worldwide?
[00:12:23.868 --> 00:12:25.809]  She just didn't want to hear about it, because you know what?
[00:12:25.849 --> 00:12:30.011]  The television said the UN were great people, so they must be!
[00:12:31.372 --> 00:12:33.834]  Shipping containers to become condos in Detroit
[00:12:34.594 --> 00:12:36.535]  It's being reported on by ABC News.
[00:12:36.555 --> 00:12:38.036]  That's where the folks are moving in there.
[00:12:38.977 --> 00:12:42.339]  We paid $20-plus billion to move General Motors to China.
[00:12:43.159 --> 00:12:44.020]  Shipping containers.
[00:12:44.340 --> 00:12:45.300]  But hey, don't feel bad.
[00:12:45.741 --> 00:12:55.246]  In New York and in San Francisco, this is out of CBS News, San Francisco's supervisors approved 220-foot, square-foot apartments.
[00:12:55.826 --> 00:12:57.587]  That's smaller than most jail cells.
[00:12:58.008 --> 00:13:01.970]  That includes the bathrooms, the bathroom and the kitchen and the closet.
[00:13:03.596 --> 00:13:05.438]  And there's barely room to lay down in it.
[00:13:06.499 --> 00:13:07.880]  And it's a 10 to 1 vote.
[00:13:08.040 --> 00:13:11.443]  And they say it's for the earth to cut our carbon footprint.
[00:13:11.463 --> 00:13:15.727]  And of course, what this is really about is, see, they can raise the taxes.
[00:13:16.467 --> 00:13:20.611]  They're talking about making you in San Francisco pay $10,000 a year if you own a 200, excuse me, 220 foot prison cell.
[00:13:29.459 --> 00:13:30.359]  And see, that's the model.
[00:13:30.379 --> 00:13:39.602]  They're going to raise property taxes on everyone until you cannot live anything but this.
[00:13:40.003 --> 00:13:42.543]  But then the globalists, they're all exempt from the taxes.
[00:13:42.764 --> 00:13:55.888]  Did you know in the EU, the EU bureaucrats who run elected, who actually run the EU and make 81% of UK laws now, even though the UK isn't officially part of it, did you know they're exempt from the EU wide VAT?
[00:13:56.508 --> 00:14:01.734]  You don't believe me, just type in EU bureaucrats exempt from their own taxes.
[00:14:01.994 --> 00:14:04.137]  In fact, if you type that in, we'll show people a headline.
[00:14:04.397 --> 00:14:07.381]  We're also streaming video at PrisonPlanet.tv.
[00:14:07.401 --> 00:14:10.825]  We like to have a video record of that.
[00:14:10.865 --> 00:14:16.010]  And by the way, if you want to have a video record of this show, you can go to PrisonPlanet.tv.
[00:14:17.572 --> 00:14:18.493]  A membership is $0.59 a week.
[00:14:18.533 --> 00:14:19.113]  What is it?
[00:14:19.133 --> 00:14:21.415]  10 memberships for $5.95 a month.
[00:14:21.435 --> 00:14:22.876]  Whatever that comes down to.
[00:14:22.896 --> 00:14:26.038]  Create a username, passcode, just pays for the van.
[00:14:26.579 --> 00:14:27.540]  Yeah, yeah, yeah, $0.59.
[00:14:27.580 --> 00:14:28.821]  You get 10 memberships.
[00:14:40.899 --> 00:14:43.560]  You get... So, I mean, how much is that a month?
[00:14:44.401 --> 00:14:45.461]  Folks, do the math out there.
[00:14:45.861 --> 00:14:48.663]  Ten memberships for $5.95 a month.
[00:14:48.683 --> 00:15:05.631]  So you just buy one membership for $5.95, the same username and passcode, you can share with ten people, so they can be simultaneously logged in and read my book, Paul Watson's book, see all 25 of my films, dozens of other films, the nightly news, and the live stream six days a week of the TV show.
[00:15:05.651 --> 00:15:09.193]  The point is, we have that there as an archive of all
[00:15:09.873 --> 00:15:12.134]  The footage and material of 17 years.
[00:15:12.674 --> 00:15:13.694]  The site's been up for close to 10.
[00:15:13.834 --> 00:15:20.216]  And it just gets better and better all the time and it does finance a lot of what we're doing here to have a PrisonPlanet.tv membership.
[00:15:20.757 --> 00:15:25.318]  My point is, the reason I say that is we also then a day or so later post this stuff to YouTube for everybody.
[00:15:26.038 --> 00:15:31.080]  Those that are supporters at PrisonPlanet.tv kind of pay it forward and help get the word out.
[00:15:31.140 --> 00:15:35.381]  But YouTube just deleted 20 plus of the last week's videos.
[00:15:35.401 --> 00:15:36.081]  We didn't do it.
[00:15:36.182 --> 00:15:36.962]  They just deleted them.
[00:15:38.615 --> 00:15:40.217]  Uh, and they say we deleted it.
[00:15:40.437 --> 00:15:47.062]  So, I mean, you know, you just can't trust the new Web 2.0 system is where you're on their platforms, and they control what you do.
[00:15:47.082 --> 00:15:51.665]  And the New American Magazine reported, as well as the Associated Press last week, the U.N.
[00:15:51.725 --> 00:15:58.470]  is set to be given control of the Internet and domain registry, as well as, um, the DNS server numbers.
[00:15:59.170 --> 00:16:06.516]  And, uh, Obama has signed a secret order that Congress isn't even allowed to see, uh, taking over the Internet with the Internet kill switch.
[00:16:07.336 --> 00:16:10.139]  Have you ever wanted to generate your own supply of electrical power?
[00:16:10.399 --> 00:16:12.101]  Even save money on your electric bill?
[00:16:12.381 --> 00:16:15.704]  If so, this could be one of the most important messages you will ever hear.
[00:16:16.004 --> 00:16:18.086]  Solar power generators are now available.
[00:16:18.206 --> 00:16:21.650]  These emergency backup systems provide life-saving electrical power.
[00:16:21.850 --> 00:16:27.675]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:16:27.936 --> 00:16:31.319]  It's like having an electrical power plant running quietly in your own home.
[00:16:31.619 --> 00:16:36.244]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:16:36.385 --> 00:16:42.111]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[00:16:42.351 --> 00:16:43.412]  And here's the best news.
[00:16:43.633 --> 00:16:46.516]  A remarkable fall truckload sale is going on right now.
[00:16:46.796 --> 00:16:50.597]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:16:50.697 --> 00:16:58.419]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:16:58.560 --> 00:17:00.400]  That's falltruckloadsale.com.
[00:17:00.640 --> 00:17:02.681]  Generate your own supply of electricity.
[00:17:02.801 --> 00:17:04.741]  Go to falltruckloadsale.com.
[00:17:04.861 --> 00:17:06.662]  That's falltruckloadsale.com.
[00:17:09.312 --> 00:17:16.979]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:17:17.419 --> 00:17:21.043]  Alex and his staff have used these pure soap products for years.
[00:17:21.503 --> 00:17:28.309]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:17:28.809 --> 00:17:31.612]  See them on the web at 5starsoap.com.
[00:17:31.812 --> 00:17:36.315]  Or call 800-340-7091 for a free catalog.
[00:17:36.655 --> 00:17:42.319]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:17:42.599 --> 00:17:47.703]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:17:48.003 --> 00:17:49.624]  This is an amazing deal.
[00:17:49.985 --> 00:17:54.588]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:17:55.228 --> 00:17:57.390]  See them on the web at 5starsoap.com
[00:17:57.950 --> 00:17:59.693]  Or call 800-340-7091 for a free catalog.
[00:18:06.963 --> 00:18:10.985]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:18:11.065 --> 00:18:12.186]  Don't be one of them!
[00:18:12.286 --> 00:18:17.829]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:18:17.989 --> 00:18:27.614]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:18:27.794 --> 00:18:34.457]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:18:34.577 --> 00:18:38.700]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:18:38.920 --> 00:18:47.885]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:18:48.025 --> 00:18:51.468]  The Science Digest Journal says, silver is our mightiest germ fighter.
[00:18:51.688 --> 00:18:55.310]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:18:55.510 --> 00:19:01.778]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:19:01.918 --> 00:19:05.383]  That's SupernaturalSilver.com and like us on Facebook.
[00:19:07.068 --> 00:19:13.292]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:19:13.692 --> 00:19:16.094]  Renowned author and expert, Joel Skousen.
[00:19:16.174 --> 00:19:16.474]  The U.S.
[00:19:16.534 --> 00:19:20.637]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:19:20.757 --> 00:19:23.339]  They know that a massive nuclear attack is coming.
[00:19:23.739 --> 00:19:24.980]  They want that attack to come.
[00:19:25.220 --> 00:19:31.404]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:19:31.789 --> 00:19:34.252]  What I tell people is that you do have time.
[00:19:34.472 --> 00:19:39.257]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:19:39.437 --> 00:19:46.865]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town, because there'll be absolute panic.
[00:19:47.165 --> 00:19:49.727]  There is no preparedness without strategy.
[00:19:49.927 --> 00:19:52.569]  This Christmas, give the gift of preparedness.
[00:19:53.030 --> 00:19:57.253]  Strategic Relocation Film with Joel Skousen and Alex Jones.
[00:19:57.593 --> 00:20:02.677]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:20:03.018 --> 00:20:09.583]  Coast to Coast.
[00:20:09.963 --> 00:20:11.364]  Direct from Austin.
[00:20:12.005 --> 00:20:15.207]  You're listening to the Alex Jones Broadcasting Network.
[00:20:17.611 --> 00:20:22.554]  From the front lines of the information war, it's Alex Jones.
[00:20:25.916 --> 00:20:35.002]  By the way, if you are a new listener, and you're tuning in for the first time, and you hear some things that sound crazy, we are not joking.
[00:20:35.222 --> 00:20:42.186]  When I am engaged in satire, which I do occasionally, I will tell you up front, and at the end of it, that it's satire.
[00:20:42.227 --> 00:20:43.467]  This is not satire.
[00:20:44.308 --> 00:20:45.829]  I do agree with you though, it's crazy.
[00:20:47.133 --> 00:20:51.756]  But I get called crazy a lot because I'm covering insane things.
[00:20:53.237 --> 00:20:55.758]  You know, Hitler did a lot of really crazy stuff.
[00:20:56.259 --> 00:21:00.061]  Doesn't mean you're crazy if you wrote about what Hitler did.
[00:21:00.501 --> 00:21:05.164]  Though, I've read some books on Hitler that read like a horror novel.
[00:21:06.225 --> 00:21:08.886]  Same thing on a book I read about Caligula.
[00:21:09.386 --> 00:21:11.308]  I read several books about Roman Emperors.
[00:21:12.518 --> 00:21:20.365]  You know, marrying their horses, ordering people murdered for no reason, dressing up like vampires at night and going out and murdering people.
[00:21:21.787 --> 00:21:24.910]  It's crazy, but we're not crazy for being informed.
[00:21:25.816 --> 00:21:37.583]  And a lot of kind of the yuppie class out there, they believe it's a sacrament of goodliness to be ignorant, to be foolish, and to be easily bamboozled.
[00:21:38.223 --> 00:21:49.911]  But when I get up here and explain that a world government is being formed, a private corporate world government, that the globalist crime syndicate bosses, this worldwide mafia themselves,
[00:21:50.951 --> 00:21:52.713]  Calls a new world order.
[00:21:53.333 --> 00:21:54.674]  That is not my opinion.
[00:21:54.714 --> 00:21:55.895]  That is not my view.
[00:21:56.656 --> 00:21:59.318]  That is a certified public fact.
[00:22:00.218 --> 00:22:08.665]  There are hundreds of videos online with heads of state of every major country calling for a private corporate global government.
[00:22:09.938 --> 00:22:18.889]  And we made the film, I produced the film a few years ago that's on DVD that's excellent called Invisible Empire that Jason Burma's directed.
[00:22:19.389 --> 00:22:23.895]  It's got to have over a hundred clips in it with different world leaders calling for global government.
[00:22:25.246 --> 00:22:27.808]  And it is an unelected global government.
[00:22:27.828 --> 00:22:43.678]  You know, I have so many, quote, liberals come up to me and say, well, hey, you know, didn't we go from hunter-gatherers to agrarian farmers to small civilization city-states?
[00:22:44.438 --> 00:22:51.859]  To regions, to countries, to empires, and now it's time for Star Trek, one world government?
[00:22:52.519 --> 00:23:05.162]  Well, this is a one world government run by very nasty social engineers who think the general public are a bunch of dumb animals and have engineered things so that that is a self-fulfilling prophecy.
[00:23:06.022 --> 00:23:12.983]  And so I find that so many people that sign on to the New World Order, they kind of are make-believing that they're part of the system.
[00:23:14.720 --> 00:23:19.021]  And that, well, yes, we are carrying out eugenics.
[00:23:19.081 --> 00:23:20.942]  Well, yes, they are putting things in the water.
[00:23:21.282 --> 00:23:22.923]  You know, there are too many people, Alex.
[00:23:24.063 --> 00:23:26.023]  And I'm like, but they're doing it to you, too.
[00:23:27.604 --> 00:23:37.387]  So what it is is a bunch of idiots who kind of follow along with the globalist juggernaut overrunning society, and they kind of run in front of it like they're part of it.
[00:23:38.727 --> 00:23:41.048]  Even though it's going to suck them in as well.
[00:23:42.672 --> 00:23:46.375]  But here is the Daily Express.
[00:23:46.435 --> 00:23:49.277]  It's also in the Sunday Express newspaper.
[00:23:49.357 --> 00:23:53.440]  Eurocrats told keep dodging taxes.
[00:23:53.921 --> 00:23:57.804]  European Union court rules they do not have to pay any income taxes.
[00:23:59.105 --> 00:23:59.505]  There it is.
[00:23:59.905 --> 00:24:02.067]  Everybody else has to pay it and has to pay VAT.
[00:24:02.447 --> 00:24:04.489]  They are exempt because they're dictators.
[00:24:05.630 --> 00:24:08.772]  And who got the countries of Europe to sign on back in 1967?
[00:24:13.390 --> 00:24:14.471]  They had a meeting every 10 years.
[00:24:14.491 --> 00:24:14.471]  47, 57, 67.
[00:24:14.571 --> 00:24:16.473]  You can debate when the Euro got really set up.
[00:24:16.493 --> 00:24:17.754]  Or you can fast forward to 97.
[00:24:17.874 --> 00:24:18.855]  Every 10 years they met.
[00:24:18.875 --> 00:24:18.855]  47, 57, 67, 77, 87, 97.
[00:24:19.816 --> 00:24:20.657]  And then they had the... What was it?
[00:24:20.677 --> 00:24:21.397]  The 60th anniversary of the Euro in 2000.
[00:24:21.437 --> 00:24:23.499]  So you can see where they think it began.
[00:24:40.970 --> 00:24:46.293]  If they had the 60th anniversary in 2007, well, then you know when they believe the Euro began.
[00:24:46.553 --> 00:24:48.294]  But the general public's told it began in 2000.
[00:24:49.255 --> 00:24:52.997]  But it started by getting the countries, oh, we're just signing on to an economic deal.
[00:24:53.277 --> 00:24:55.618]  We're just signing on to a trade pact, kind of like NAFTA again.
[00:24:56.659 --> 00:24:58.740]  And then the public's like, well, let us see us.
[00:24:58.920 --> 00:25:00.321]  Well, it's a secret order.
[00:25:00.761 --> 00:25:06.445]  Kind of like Bush's order creating the North American Union with Vicente Fox and Mexico.
[00:25:08.450 --> 00:25:11.911]  Also, the Canadian Prime Minister was part of that at Waco, Texas in 2005.
[00:25:12.351 --> 00:25:20.073]  That order is still secret, though parts of it have been released under four-year lawsuits by Judicial Watch of all people, of all groups.
[00:25:21.713 --> 00:25:29.675]  And right there, we are under a North American Union, and it's already signed a deal with the European Union, and we're already under a global government right now.
[00:25:31.275 --> 00:25:35.356]  And that's what's so frustrating, is that we're so far down this thing
[00:25:36.847 --> 00:26:05.795]  And we've already lost so much sovereignty that Obama, this year, in two different speeches, and then in three different congressional hearings, the Joint Chiefs and the Chairman told Congress, we've played the clips here at Nauseam, you can type in, Congress told NATO and UN over military, the President said, not only is Congress not over war now, even though over the purse and the power to declare war and everything, and over taxes, it's right there in the Constitution,
[00:26:08.032 --> 00:26:27.004]  First they say the states don't count or exist, and then now the Congress doesn't exist, and they told our military, and they tell the officer corps this, and they tell the Congress, they say, hey, the president's over the military, and he gets his authority, not as a dictator, that'd be bad enough, but from the UN.
[00:26:30.635 --> 00:26:35.177]  And then I read Newsweek, Time Magazine, Financial Times of London, The Economist Magazine.
[00:26:35.457 --> 00:26:36.497]  I read these quotes here.
[00:26:36.717 --> 00:26:38.738]  We wrote the article three months ago now.
[00:26:39.558 --> 00:26:44.680]  First big cover story in the Infowars magazine when the physical magazines started coming out three months ago.
