[00:00:00.009 --> 00:00:02.050]  Broadcasting Network.
[00:04:47.822 --> 00:04:51.785]  All right, when we get back, they're now announcing it is KKK to own guns.
[00:04:52.246 --> 00:04:56.449]  This is mainstream news being promoted, and we're going to break it all down straight ahead.
[00:04:56.509 --> 00:04:58.010]  It's bombshell information.
[00:04:58.030 --> 00:04:58.531]  Stay with us.
[00:05:04.275 --> 00:05:11.941]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:12.381 --> 00:05:16.004]  Alex and his staff have used these pure soap products for years.
[00:05:16.464 --> 00:05:23.269]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:23.770 --> 00:05:26.572]  See them on the web at 5starsoap.com.
[00:05:26.792 --> 00:05:31.294]  Or call 800-340-7091 for a free catalog.
[00:05:31.614 --> 00:05:37.277]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:37.557 --> 00:05:42.659]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:42.959 --> 00:05:44.580]  This is an amazing deal.
[00:05:44.940 --> 00:05:49.562]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:50.183 --> 00:05:52.344]  See them on the web at 5starsoap.com.
[00:05:52.904 --> 00:05:54.771]  Or call 800-340-7091 for a free catalog.
[00:06:02.253 --> 00:06:06.275]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:06:06.355 --> 00:06:07.476]  Don't be one of them!
[00:06:07.576 --> 00:06:13.119]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:06:13.279 --> 00:06:22.904]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:06:23.084 --> 00:06:29.767]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:06:29.867 --> 00:06:33.990]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:06:34.210 --> 00:06:43.176]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:06:43.316 --> 00:06:46.758]  The Science Digest Journal says, silver is our mightiest germ fighter.
[00:06:46.978 --> 00:06:50.641]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:06:50.821 --> 00:06:55.364]  Go to supernaturalsilver.com today and use the promo code silver2012 for 20% off.
[00:06:57.205 --> 00:07:00.707]  That's supernaturalsilver.com and like us on Facebook.
[00:07:03.309 --> 00:07:08.172]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:07:08.892 --> 00:07:11.694]  The most devastating economic condition since the Great Depression.
[00:07:12.134 --> 00:07:14.496]  America's worst drought in agricultural history.
[00:07:14.956 --> 00:07:17.498]  And now the economic results of the presidential election.
[00:07:17.958 --> 00:07:20.980]  This perfect storm is a huge threat to everyone's food supply.
[00:07:21.460 --> 00:07:26.106]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:07:26.666 --> 00:07:28.809]  It's time to get your own supply from eFoodsDirect.
[00:07:29.350 --> 00:07:32.413]  I know I won't be standing in a bread line trading my freedom for food.
[00:07:33.014 --> 00:07:36.738]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:07:36.758 --> 00:07:40.403]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:07:40.683 --> 00:07:44.045]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:07:45.085 --> 00:07:47.266]  Remember, I can warn you, but I can't feed you.
[00:07:47.286 --> 00:07:48.446]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:48.466 --> 00:07:50.888]  Would you rather prepare six months too early or one day too late?
[00:07:50.908 --> 00:07:52.468]  409-5633 or efoodsdirect.com forward slash Alex.
[00:08:05.180 --> 00:08:11.502]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:13.223 --> 00:08:18.085]  I know you can see me now, here's a surprise.
[00:08:20.546 --> 00:08:24.167]  I know that you have cause there's magic in my eyes.
[00:08:25.583 --> 00:08:30.506]  Ladies and gentlemen, I am Alex Jones, your host.
[00:08:30.586 --> 00:08:32.647]  It is already the fourth day of December 2012.
[00:08:33.567 --> 00:08:45.314]  Our news websites are InfoWars.com, InfoWarsNews.com, PrisonPlanet.tv, PrisonPlanet.com.
[00:08:45.334 --> 00:08:48.416]  That's just some of our news sites out there.
[00:08:49.016 --> 00:08:52.198]  We've got a ton of reports that I will get into.
[00:08:53.198 --> 00:09:14.830]  Dealing today with the fact that mainstream media worldwide, that is corporate, state-run, globalist, bankster-controlled, New World Order, cartel, crime syndicate, mouthpiece, propagandist, dehumanizing, weaponized, brainwashing systems that spew cess and distorted propaganda at us 24-7 are imploding in mass.
[00:09:15.510 --> 00:09:27.355]  Worldwide, the route of these people is accelerating, while the alternative media in all of its stripes is turbo-surging, exploding, going mega-supernova.
[00:09:30.736 --> 00:09:35.378]  Now, in fact, just because I mention that, let me just give you some of those headlines here.
[00:09:36.919 --> 00:09:40.100]  TheWeek.com, the New York Times' latest cutbacks, proof
[00:09:41.283 --> 00:09:43.244]  Its digital strategy is failing.
[00:09:44.225 --> 00:09:45.286]  French news agency.
[00:09:45.666 --> 00:09:47.487]  Murdoch iPad daily failure.
[00:09:47.527 --> 00:09:48.968]  A lesson for digital news.
[00:09:50.109 --> 00:09:51.890]  Murdoch's the daily to shut down.
[00:09:53.351 --> 00:09:53.731]  Kurtz.
[00:09:55.492 --> 00:09:57.193]  Worry about fate of CNN.
[00:09:57.353 --> 00:09:59.595]  Last bastion of television journalism.
[00:09:59.615 --> 00:10:01.216]  You mean CIA run?
[00:10:02.977 --> 00:10:03.317]  Belcher.
[00:10:03.337 --> 00:10:05.299]  We're going to be getting into some of that.
[00:10:06.431 --> 00:10:09.033]  And then I've got other articles here, speaking of propaganda.
[00:10:09.254 --> 00:10:10.054]  Yeah, that's news.
[00:10:10.114 --> 00:10:17.101]  What's not dying is propaganda in Hollywood movies and sitcoms and dramas, paid for with taxpayer money.
[00:10:18.162 --> 00:10:25.829]  Tens of billions of dollars a year, on record, spent to put anti-gun, anti-family, pro-abortion, anti-male.
[00:10:25.849 --> 00:10:29.893]  I mean, you see all these messages in dramas, sitcoms, medical dramas.
[00:10:31.849 --> 00:10:32.569]  It's everything.
[00:10:32.909 --> 00:10:41.672]  My wife tries to watch television sometimes, and she says every show she watches is just, you know, you're a terrorist if you don't want to take vaccines.
[00:10:42.152 --> 00:10:44.653]  Anybody who's a homeschooler is a child molester.
[00:10:44.933 --> 00:10:47.073]  Ron Paul is a drug addict.
[00:10:47.113 --> 00:10:48.294]  Just on and on and on.
[00:10:48.474 --> 00:10:53.815]  Yeah, that's government run by foreign banks engaging in psyops against you.
[00:10:53.995 --> 00:10:55.876]  And that's not rhetoric I just put out.
[00:10:56.156 --> 00:10:57.376]  That's what it is!
[00:10:58.096 --> 00:10:59.477]  That is sensational!
[00:11:00.282 --> 00:11:01.844]  But we've got this normalcy bias.
[00:11:03.365 --> 00:11:04.687]  Here it is, new film critics.
[00:11:06.409 --> 00:11:08.291]  Zero Dark Thirty named best film.
[00:11:08.411 --> 00:11:09.832]  Lincoln wins multiple honors.
[00:11:10.859 --> 00:11:13.501]  All of this Lincoln stuff is getting everybody ready for a Federalist takeover.
[00:11:14.502 --> 00:11:16.004]  When these people are actually anti-Federalist.
[00:11:16.424 --> 00:11:18.386]  And then you've got Zero Dark Easter Bunny.
[00:11:18.446 --> 00:11:19.927]  I mean, a total fable.
[00:11:20.367 --> 00:11:22.890]  And then the White House is involved in the production.
[00:11:23.110 --> 00:11:26.473]  And there's the beautiful redhead with the spec ops guys.
[00:11:26.533 --> 00:11:27.854]  And oh, they're so incredible.
[00:11:27.874 --> 00:11:28.735]  And there's Superman.
[00:11:28.755 --> 00:11:31.037]  All pure bull.
[00:11:33.510 --> 00:11:35.651]  Just absolute baloney.
[00:11:36.352 --> 00:11:55.041]  I mean, they might as well have a movie, literally, where a Easter Bunny with a halo flies in from deep space as a Chinese jet pilot, lands, disgorges a hundred Keebler elves, and takes out a seven-headed Hydra dragon laying golden eggs in Obamabot.
[00:11:57.563 --> 00:11:59.264]  Jack and the Beanstalk, whatever you want.
[00:11:59.644 --> 00:12:01.565]  Fables, fairy tales, Hansel and Gretel.
[00:12:02.674 --> 00:12:03.774]  The tortoise and the hare.
[00:12:04.575 --> 00:12:05.375]  Santa Claus.
[00:12:05.515 --> 00:12:07.855]  I mean, it isn't real, ladies and gentlemen.
[00:12:08.135 --> 00:12:11.296]  And they blew up one helicopter full of seals to shut everybody up.
[00:12:11.316 --> 00:12:13.237]  Then they blew up the other helicopter full of them.
[00:12:13.497 --> 00:12:15.037]  And I talk to people and they go, really?
[00:12:15.097 --> 00:12:16.978]  I don't ever hear about the helicopters blowing up.
[00:12:17.258 --> 00:12:18.978]  I mean, they blow up helicopters full of them.
[00:12:19.138 --> 00:12:20.899]  They kill Pat Tillman to cover stuff up.
[00:12:21.139 --> 00:12:25.120]  They kill Private Lynch's most of her team because they said she was cowering in fear.
[00:12:26.283 --> 00:12:30.166]  And she had to go public or they were going to kill her probably so they could come out and get women to join the military.
[00:12:30.466 --> 00:12:35.049]  It's all PR because you sit there and take the position of small children.
[00:12:36.150 --> 00:12:39.052]  Here's McClatchy newspaper, Washington Bureau.
[00:12:40.473 --> 00:12:45.436]  Al-Qaeda-linked group, Syria Rebels, once denied, now key to anti-Assad victories.
[00:12:45.456 --> 00:12:45.816]  What do you mean?
[00:12:45.836 --> 00:12:52.361]  For the 21 months of this, they admitted like 18 months ago Al-Qaeda was the group they were shipping in and running the entire group.
[00:12:53.018 --> 00:12:54.638]  I mean, that's been admitted the entire time.
[00:12:55.019 --> 00:12:57.839]  The CFR three months ago said, of course we're running Al-Qaeda.
[00:12:57.939 --> 00:12:58.980]  Al-Qaeda's doing a great job.
[00:13:00.060 --> 00:13:04.441]  And literally, if you try to go anywhere now, cops come up and say you can't film.
[00:13:04.621 --> 00:13:10.263]  You can be on the side of a road, you can be... I had one of my photographers out last week.
[00:13:11.789 --> 00:13:12.449]  Taking photos.
[00:13:12.469 --> 00:13:15.411]  We said we need photos of a bunch of surveillance cameras for the magazine.
[00:13:15.852 --> 00:13:17.813]  So she's out taking stock photos for us.
[00:13:18.293 --> 00:13:19.034]  Great photographer.
[00:13:19.514 --> 00:13:21.896]  And they come over to a nicely dressed, clean-cut lady.
[00:13:22.316 --> 00:13:23.577]  And they say, you look shady.
[00:13:23.597 --> 00:13:25.318]  You're not allowed to take photos of the Federal Building.
[00:13:26.379 --> 00:13:27.059]  Get out of here.
[00:13:27.239 --> 00:13:28.360]  Bunch of guys around her.
[00:13:30.169 --> 00:13:35.754]  Meanwhile, it's like, come on man, you run Al-Qaeda, you run the drugs into the country.
[00:13:35.994 --> 00:13:38.396]  The feds even run child kidnapping ops.
[00:13:38.997 --> 00:13:40.578]  On record congressional testimony.
[00:13:40.899 --> 00:13:47.585]  Just leave me alone, you little idiot, you little nobody, posing like you're James Bond.
[00:13:47.785 --> 00:13:50.868]  The toilet attendants that work for the federal government think they're James Bond.
[00:13:51.448 --> 00:14:03.172]  And they festoon themselves in uniforms and outfits and little badges and little scan cards and they go to these big compartmentalized crime syndicates and all feel like they're official and all this baloney.
[00:14:03.792 --> 00:14:10.254]  Oh, you can't take photos or video in America because you might be a terrorist.
[00:14:10.334 --> 00:14:12.155]  Yes, a little blonde woman.
[00:14:14.290 --> 00:14:16.874]  Oh yes, you're so evil!
[00:14:17.234 --> 00:14:23.322]  I mean, what a grandstanding, drama-queening joke!
[00:14:23.823 --> 00:14:26.406]  You people blew up the World Trade Centers!
[00:14:26.786 --> 00:14:29.209]  You people shipping the narcotics on record!
[00:14:29.470 --> 00:14:30.852]  Just get off my back!
[00:14:34.403 --> 00:14:39.886]  And I know most people working with the federal government, you literally are just doing little menial jobs, but I mean, just give me a break.
[00:14:39.906 --> 00:14:43.168]  I mean, if you didn't get the memo, foreign banks already run this country.
[00:14:43.188 --> 00:14:48.230]  They're trying to mop up the alternative media because the mainstream media is imploding.
[00:14:48.750 --> 00:14:49.891]  Quite like it's the top news.
[00:14:51.352 --> 00:14:57.335]  Al-Qaeda-linked group Syria Rebels once denied now key to Assad, anti-Assad victories.
[00:14:58.115 --> 00:14:59.156]  I mean, it was admitted
[00:15:00.333 --> 00:15:06.321]  Six months ago, they'd go in and tell a father, we're gonna kill your wife and children if you don't go suicide bomb.
[00:15:07.723 --> 00:15:16.534]  And they would have the news media, the New York Times, CNN, BBC, film it, and they'd put it on the news like these guys were heroes!
[00:15:17.469 --> 00:15:22.632]  And then the public would freak out and go, they're making people suicide bomb and they kill their families?
[00:15:22.672 --> 00:15:23.172]  That's horrible!
[00:15:23.453 --> 00:15:26.575]  Oh yeah, so we're going to pull that video now, or pull this video.
[00:15:28.075 --> 00:15:33.699]  They've got Christians chopping their heads off, throwing them off the tops of buildings, lining up people, shooting them.
[00:15:33.979 --> 00:15:39.262]  Al-Qaeda killed tens of thousands of black Libyans, flying Al-Qaeda flags, slaughtering 24-7 still.
[00:15:43.183 --> 00:15:46.545]  I go to the airport and somebody walks over and goes, oh, you're Alex Jones, you're a troublemaker.
[00:15:46.645 --> 00:15:47.206]  Where are you going?
[00:15:47.226 --> 00:15:47.746]  What are you doing?
[00:15:47.946 --> 00:15:48.627]  What are you planning?
[00:15:48.687 --> 00:15:49.988]  I'm behavioral assessing you.
[00:15:50.308 --> 00:15:52.749]  I'm deciding if I'm going to allow you to board this aircraft.
[00:15:52.769 --> 00:15:55.491]  And I'm just like, you really are a tyrant.
[00:15:55.531 --> 00:15:56.712]  This is total fantasy land.
[00:15:57.092 --> 00:16:00.194]  You don't like me because I don't live in fantasy island, man.
[00:16:00.214 --> 00:16:02.676]  I just can't take it anymore.
[00:16:03.276 --> 00:16:04.257]  It's such a joke.
[00:16:05.646 --> 00:16:13.312]  They're announcing nationwide under federal grants, even though the state legislature of my state has said it's illegal under the Constitution, guilty until proven innocent.
[00:16:13.592 --> 00:16:18.176]  Checkpoints everywhere where they're going to search your car under the name of DWI checkpoints.
[00:16:19.096 --> 00:16:25.781]  All this country was built on whiskey, if you do your research, and I'm not even saying that's a good thing, and they've got liquor stores and bars everywhere.
[00:16:26.582 --> 00:16:39.452]  And they wait till you get in your car when you've had one or two drinks and they CPS your kids and they take you away to raise revenue for their now admitted in court huge quotas everywhere.
[00:16:40.132 --> 00:16:42.334]  Hell, the cop taking you to jail is probably drunk.
[00:16:43.191 --> 00:16:55.001]  And it's so insane, and it's so illegal, and the feds are announcing nationwide that the local police who've been federalized are asking that all your text messages be saved for two years.
[00:16:55.321 --> 00:17:00.665]  That's like saying, we need to take your letter out when you mail it, make a copy of it for two years in case you do something wrong.
[00:17:00.946 --> 00:17:03.768]  It's called guilty until proven innocent.
[00:17:07.651 --> 00:17:12.313]  Oh, but everything the government does that's supposed to be public, it's all secret under national security.
[00:17:12.393 --> 00:17:13.434]  And, of course, it better be.
[00:17:13.694 --> 00:17:15.955]  Because you're wondering where your kid disappeared out of the backyard?
[00:17:16.155 --> 00:17:21.858]  Well, it was flown years ago to Europe to be raped and have your child's head blown off for snuff films.
[00:17:22.674 --> 00:17:24.055]  And, you know, that even comes out in the news.
[00:17:24.115 --> 00:17:24.975]  It's back of the paper.
[00:17:25.195 --> 00:17:30.278]  Yeah, well, the government was involved, and yeah, DynCorp's involved, and it's no big deal, though.
[00:17:30.378 --> 00:17:35.541]  You know, we're going to set up a checkpoint and search your car and dig through everything, because it's a free country.
[00:17:35.601 --> 00:17:41.443]  I tuned into Local Talk Radio this morning, and they were endorsing how great it is, and it'll save lives.
[00:17:41.864 --> 00:17:42.624]  Oh, yeah.
[00:17:42.924 --> 00:17:51.929]  That's why our life expectancy is dropping and our cancer rate's up almost 3,000 percent, because the government wants to save our lives, because the government's real nice people.
[00:17:53.773 --> 00:17:57.263]  Folks, in fact, let me just back that up since I just mentioned those things.
[00:17:57.283 --> 00:18:00.172]  CNET News at CBS.
[00:18:01.385 --> 00:18:03.187]  CBS Net News is what it stands for.
[00:18:03.767 --> 00:18:04.788]  Cops to Congress!
[00:18:04.888 --> 00:18:07.070]  We need logs of Americans' text messages.
[00:18:07.330 --> 00:18:10.272]  Yeah, no warrants, no nothing, and we just get everything.
[00:18:10.292 --> 00:18:13.035]  They're already doing it with their threat fusion centers.
[00:18:13.415 --> 00:18:15.156]  They can just flip a switch on the cop screen.
[00:18:15.176 --> 00:18:17.939]  Everything you're doing, turn on cameras in your cars.
[00:18:18.019 --> 00:18:20.641]  Oh, they're calling for that federally and in the state where I live?
[00:18:21.141 --> 00:18:24.104]  I got to hear clips of that on the news this morning, driving in and it all being endorsed.
[00:18:24.464 --> 00:18:28.047]  That breathalyzer's on all cars, like France wants for everybody.
[00:18:28.564 --> 00:18:34.269]  First, it's, well, if you've ever been driving while intoxicated or even driving under the influence, you'll have a breathalyzer in your car.
[00:18:34.449 --> 00:18:37.271]  But now in Europe and areas, it's, oh, just everybody has one.
[00:18:38.472 --> 00:18:41.275]  Cops to Congress, we need logs of America's text messages.
[00:18:41.635 --> 00:18:48.421]  State and local law enforcement, that means federal goons, who go and say, oh, Satan, will you please enter my heart?
[00:18:49.602 --> 00:18:51.163]  When Satan's already runs them.
[00:18:51.583 --> 00:18:55.447]  They've already been taken over by the feds, and they're like, oh, we're inviting you in, vampire.
[00:18:57.009 --> 00:18:58.930]  Oh, the locals asked for us to come!
[00:18:59.431 --> 00:19:09.258]  State and local law enforcement groups, not peace officers, want wireless providers to store detailed information about your SMS messages for at least two years, in case they're needed for future criminal investigations.
[00:19:09.658 --> 00:19:11.399]  Yes, and we need cameras in your house.
[00:19:11.439 --> 00:19:17.984]  The Houston police chief four years ago said they want cameras in all of our houses, just in case something... Oh, by the way, they already do that in England now.
[00:19:18.304 --> 00:19:24.669]  For almost all new people that have kids, for six months there's a camera in there with the social workers watching you guilty until proven innocent.
[00:19:25.129 --> 00:19:29.633]  Texas police officials, not servants, want permanent DWI checkpoints.
[00:19:30.314 --> 00:19:32.236]  Oh yes, oh yes.
[00:19:32.636 --> 00:19:35.879]  Texas Deputy Police Chief wants DWI checkpoints.
[00:19:36.099 --> 00:19:37.801]  Yeah, Nazi Germany had them, why not?
[00:19:37.821 --> 00:19:40.984]  I remember when they had a federal grant to do this before the legislature banned it.
[00:19:41.224 --> 00:19:43.286]  They would shut down all of I-35.
[00:19:43.546 --> 00:19:45.308]  You'd have traffic for 30 miles back.
[00:19:45.808 --> 00:19:48.510]  With cops just pulling people out of cars, searching vehicles.
[00:19:48.851 --> 00:19:55.116]  Oh, and by the way, the TSA is announcing they'll be in all 50 states on all highways, searching your vehicle and groping you.
[00:19:55.416 --> 00:20:01.941]  That's in the news today, but when we come back, when we come back, if you're a gun owner, you're a member of the KKK.
[00:20:02.002 --> 00:20:02.302]  That's the...
[00:20:03.769 --> 00:20:08.615]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:09.276 --> 00:20:12.019]  The most devastating economic condition since the Great Depression.
[00:20:12.440 --> 00:20:14.783]  America's worst drought in agricultural history.
[00:20:15.223 --> 00:20:17.726]  And now the economic results of the presidential election.
[00:20:18.167 --> 00:20:21.131]  This perfect storm is a huge threat to everyone's food supply.
[00:20:21.611 --> 00:20:26.176]  I just doubled down and got even more supplies from eFoodsDirect and I recommend you do the same.
[00:20:26.736 --> 00:20:28.858]  It's time to get your own supply from eFoodsDirect.
[00:20:29.359 --> 00:20:32.381]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:32.962 --> 00:20:36.665]  I'm taking control of my future and you're nuts if you don't do the same.
[00:20:36.685 --> 00:20:40.249]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:20:40.509 --> 00:20:43.810]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:20:44.850 --> 00:20:48.791]  Remember, I can warn you, but I can't feed you.
[00:20:48.851 --> 00:20:52.192]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:52.672 --> 00:20:55.753]  Would you rather prepare six months too early or one day too late?
[00:20:55.773 --> 00:21:00.254]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:02.414 --> 00:21:05.775]  This is a high Christmas priority for the survivalist on your gift list.
[00:21:07.113 --> 00:21:15.379]  For a very limited time, MyPatriotsupply.com is offering 30% off a special Christmas preparedness package, now through December 14th only.
[00:21:15.539 --> 00:21:34.573]  Stuff a stocking with a preparedness package that includes a 72-hour, 16-serving food kit, an emergency quick stove with four fuel disks, plus a five-pack of replacement fuel disks, two LifeStraw personal water filters, one magnesium fire starter, a four-pack of waterproof matches, and a $25 gift certificate to MyPatriotsupply.com.
[00:21:34.853 --> 00:21:37.814]  Regularly over $140, but now only $99.
[00:21:39.014 --> 00:21:40.334]  With free shipping to the lower 48.
[00:21:41.174 --> 00:21:44.975]  Only from MyPatriotSupply.com and only through December 14th.
[00:21:45.155 --> 00:21:47.676]  Hurry to MyPatriotSupply.com or call 866-229-0927.
[00:21:47.736 --> 00:21:47.956]  That's 866-229-0927.
[00:21:47.976 --> 00:21:50.277]  Before it's time to survive, it's time to prepare.
[00:21:50.317 --> 00:21:52.257]  Merry Christmas from MyPatriotSupply.com.
[00:22:01.618 --> 00:22:07.259]  HempUSA.org has moved and expanded its operations for faster worldwide shipping.
[00:22:07.559 --> 00:22:12.800]  Our product line has grown from 5 to nearly 100 items in less than 5 years.
[00:22:13.080 --> 00:22:17.061]  Our food is grown naturally, always chemical free, not found in stores.
[00:22:17.481 --> 00:22:21.401]  Great for daily intake and perfect for your emergency storage shelter.
[00:22:21.681 --> 00:22:30.343]  Call 908-691-2608 or visit HempUSA.org and see what our powders, seeds and oil can do for you.
[00:22:30.743 --> 00:22:40.009]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:22:40.069 --> 00:22:40.810]  This capitalism?
[00:22:40.870 --> 00:22:47.014]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:22:47.134 --> 00:22:47.955]  Hi, Ted Anderson.
[00:22:48.015 --> 00:22:51.117]  I'm placing a silver dollar in a book explains our monetary system.
[00:22:51.257 --> 00:22:52.037]  Call for your copy 800-686-2237.
[00:22:52.057 --> 00:22:53.418]  It's time to understand the system.
[00:22:53.478 --> 00:22:53.758]  Call 800-686-2237.
[00:22:53.798 --> 00:22:54.079]  That's 800-686-2237.
[00:23:01.804 --> 00:23:04.665]  What looks good under your Christmas tree and tastes even better?
[00:23:04.965 --> 00:23:06.206]  Big Berkey water filters!
