[00:00:21.894 --> 00:00:25.575]  Welcome to the Groundhog Day edition of the Infowars Nightly News.
[00:05:37.236 --> 00:05:47.518]  Dillard, a Ron Paul supporter in his late 20s, showed up with a sign and found himself surrounded by Gingrich's little press corps where they were doing a stop.
[00:05:47.678 --> 00:05:56.840]  And Gingrich's own aides and security personnel started stepping on his toes, tried to intimidate him out of the area, and told everyone basically to get him.
[00:05:57.500 --> 00:06:06.702]  And he now has a broken foot, or a fractured foot, and other injuries and bruises just for holding up a Ron Paul sign in front of his lordship, Gingrich.
[00:06:07.222 --> 00:06:18.552]  Now the Ron Paul campaign is demanding an apology from Gingrich and even suggesting that Gingrich should pay for the medical bills of Dillard who does have a fractured foot according to reports.
[00:06:18.932 --> 00:06:28.580]  So just all kinds of nasty attacks on the Ron Paul campaign even as he supposedly can't win and but he's winning the hearts and minds and trying to change the whole
[00:06:28.980 --> 00:06:29.821]  We're good to go.
[00:06:47.657 --> 00:06:53.543]  They found two AK-47s at the scene, later linked to the government's own Fast and Furious gunrunning operation.
[00:06:54.003 --> 00:07:02.691]  Of course, as part of that wrongful death lawsuit, there will be a great amount of disclosure that is at least possible if they don't obscure the investigation.
[00:07:03.092 --> 00:07:12.541]  As the family seeks justice, they complain, among other things, that they were lied to in their face shortly after his death by various federal agencies, and that's
[00:07:13.001 --> 00:07:13.862]  Plenty disgusting.
[00:07:13.882 --> 00:07:20.046]  Of course, Kurt Nemo does the background homework on there, too, connecting the CIA's own involvement.
[00:07:20.126 --> 00:07:33.935]  According to the Washington Times, the mainstream press, in that larger Fast and Furious case, the agency helped arm the Sinaloa cartel, described in the Washington Times article as the, quote, preferred cartel on the street level near the American border.
[00:07:33.955 --> 00:07:42.741]  Of course, Wachovia Bank and others have been caught laundering massive amounts of money for the Sinaloa cartel, all tied in to that small
[00:07:43.361 --> 00:07:44.002]  We're good.
[00:07:59.739 --> 00:08:12.583]  NBCLA emphasizes amount of radiation could have escaped from the San Onofre nuclear generating station near San Diego after a water leak prompted operators to shut down the reactor according to officials.
[00:08:12.623 --> 00:08:14.984]  An extremely small amount of radiation.
[00:08:15.304 --> 00:08:16.705]  Where have we heard these lies before?
[00:08:17.125 --> 00:08:19.246]  Meanwhile, only days ago, January 30th,
[00:08:20.106 --> 00:08:25.252]  Illinois's nuclear reactor loses power venting steam in Byron, Illinois.
[00:08:25.492 --> 00:08:33.942]  Excel on Nuclear says a reactor at its Byron generating station has been shut down after losing power and steam is being vented to reduce pressure.
[00:08:34.342 --> 00:08:35.343]  However, they say...
[00:08:36.377 --> 00:08:43.664]  The steam contains low levels of tritium, which is a radioactive isotope of hydrogen, but not at unsafe levels.
[00:08:43.824 --> 00:08:45.786]  Everything's safe, they keep reminding you.
[00:08:46.086 --> 00:08:48.708]  We heard this all before at Fukushima for months.
[00:08:48.748 --> 00:08:50.370]  They denied anything was happening.
[00:08:50.730 --> 00:08:55.735]  Then you saw the head of TEPCO, the Prime Minister of Japan, all weeping on television.
[00:08:56.215 --> 00:09:03.180]  Sorry that they had lied to their own people and the whole world about the grossly dangerous levels of radiation.
[00:09:03.200 --> 00:09:08.444]  Now let's look back to an AP report from six or seven months ago in the summer.
[00:09:09.085 --> 00:09:16.351]  June 21st, 2011 in Illinois, right next to the Byron, excuse me, the Byron, Illinois nuclear reactor.
[00:09:17.051 --> 00:09:19.833]  Where they discuss how tritium is being leaked.
[00:09:20.074 --> 00:09:29.762]  Tritium, which is a radioactive form of hydrogen, has leaked from at least 48 of 65 sites, according to the US Nuclear Regulatory Commission.
[00:09:30.905 --> 00:09:46.878]  and their records leaks from at least thirty seven of those facilities contain concentrations exceeding the federal drinking water standards sometimes a hundreds of times the limit and a look at the caption over here in the story uh... you can see it on screen as well as behind me here
[00:09:48.840 --> 00:09:49.481]  Let's see.
[00:09:50.061 --> 00:10:00.231]  More than six million gallons of tritium-laden water in repeated leaks dating back to the 1990s exist, but were not publicly reported until 2005.
[00:10:01.212 --> 00:10:07.077]  But don't worry, the AP and NBC LA have told you the levels are safe.
[00:10:07.117 --> 00:10:08.359]  There's nothing to worry about.
[00:10:08.699 --> 00:10:09.860]  Just like at Fukushima.
[00:10:12.273 --> 00:10:20.436]  And we have a worldwide headline on that too, including the leaks in France and other parts of the country here in the U.S.
[00:10:20.476 --> 00:10:21.816]  and other parts across the world.
[00:10:22.136 --> 00:10:23.537]  It's just going on everywhere.
[00:10:23.597 --> 00:10:28.999]  Does it have something to do with Dr. Busby connecting the radiation levels with infertility?
[00:10:29.019 --> 00:10:29.999]  I don't know.
[00:10:30.079 --> 00:10:30.779]  Time will tell.
[00:10:30.839 --> 00:10:32.120]  But will it be too late then?
[00:10:32.660 --> 00:10:35.947]  And will officials warn people not to live next to nuclear reactors?
[00:10:36.007 --> 00:10:39.313]  Or will they keep telling them how safe it is and how it's no big deal?
[00:10:39.373 --> 00:10:42.840]  It's basically the same as not living next to a nuclear reactor.
[00:10:43.561 --> 00:10:43.661]  Hmm.
[00:10:45.069 --> 00:10:59.177]  Now, the same people who are telling you these kinds of lies about radiation are essentially the same basic regulatory agencies who tell you GMO foods are safe, or that aspartame is safe for consumption, and now there's a new false debate.
[00:10:59.537 --> 00:11:03.880]  Should the government regulate sugar just like it regulates alcohol and tobacco?
[00:11:05.031 --> 00:11:06.612]  Yeah, well, the short answer is no.
[00:11:06.832 --> 00:11:20.359]  Obviously, sugar is very dangerous, connected with a number of diseases, a number of bad conditions in our American and worldwide culture, and obviously, over-consumption of sugar is a major problem here.
[00:11:20.700 --> 00:11:27.243]  But here on the own CBS News Report, 68% of people said no, they don't want the government to regulate.
[00:11:27.263 --> 00:11:31.566]  32, though, are okay with the regulations, so maybe they figure they have some
[00:11:32.406 --> 00:11:33.847]  Public support to move forward.
[00:11:34.908 --> 00:11:41.273]  But the whole idea here is that the FDA approved aspartame, even though countless studies showed it was dangerous.
[00:11:41.613 --> 00:11:58.367]  The FDA has streamlined and created new positions in its own agency, bringing on people who work for Monsanto, including Michael Taylor, to rapidly approve and fast-track the approval of all kinds of GMOs from Monsanto and the other genetically modified producers.
[00:11:58.687 --> 00:11:59.788]  And get them on the market.
[00:11:59.948 --> 00:12:01.168]  Always telling you it's safe.
[00:12:01.328 --> 00:12:01.569]  Is it?
[00:12:01.689 --> 00:12:03.590]  These are the people who are going to regulate sugar.
[00:12:04.050 --> 00:12:05.511]  Yeah, we need to eat less sugar.
[00:12:05.571 --> 00:12:07.892]  We need to have a whole cultural discussion about that.
[00:12:08.212 --> 00:12:09.373]  I've been unhealthy myself.
[00:12:09.413 --> 00:12:10.513]  I've tried to make changes.
[00:12:10.873 --> 00:12:14.315]  And among those changes are cutting back my sugar exposure.
[00:12:14.675 --> 00:12:17.517]  But we can't do it at the federal regulation level.
[00:12:17.537 --> 00:12:19.098]  That's only going to cause more problems.
[00:12:19.438 --> 00:12:20.999]  Probably a black market for sugar.
[00:12:21.359 --> 00:12:23.060]  These aren't the kind of solutions we want.
[00:12:23.120 --> 00:12:27.142]  And we cannot trust the FDA, who just a few days ago was caught
[00:12:27.942 --> 00:12:38.871]  Essentially, trying to target their own whistleblowers from within the FDA when they were trying to warn about, what was it, a heart device that they believed was unsafe?
[00:12:38.911 --> 00:12:46.638]  They spied on and then tried to persecute their own employees when they tried to blow the whistle on the unsafe things being approved at the FDA.
[00:12:47.038 --> 00:12:48.559]  Somebody's got to rein in that power.
[00:12:49.320 --> 00:12:51.802]  But in other news, Zbigniew Brzezinski
[00:12:52.702 --> 00:13:02.128]  I think more than a year ago, he gave a speech at the Montreal, Canada branch of the CFR, warning that a widespread global awakening was taking place.
[00:13:02.148 --> 00:13:05.971]  We're going to play that clip right now, but he has not backed off from that statement.
[00:13:05.991 --> 00:13:15.377]  For the first time in all of human history, mankind is politically awakened.
[00:13:15.897 --> 00:13:17.158]  That's a total new reality.
[00:13:17.836 --> 00:13:19.117]  Total new reality.
[00:13:19.457 --> 00:13:23.579]  It has not been so for most of human history until the last 100 years.
[00:13:24.240 --> 00:13:29.323]  And in the course of the last 100 years, the whole world has become politically awakened.
[00:13:29.803 --> 00:13:46.233]  And no matter where you go, politics is a matter of social engagement, and most people know what is generally going on, generally going on in the world, and are consciously aware of global iniquities,
[00:13:47.239 --> 00:13:51.301]  Inequalities, lack of respect, exploitation.
[00:13:53.341 --> 00:13:55.862]  Mankind is now politically awakened and stirring.
[00:13:56.503 --> 00:14:10.568]  The combination of the two, a diversified global leadership, politically awakened masses, makes a much more difficult context for any major power, including, currently, the leading world power, the United States.
[00:14:12.628 --> 00:14:20.255]  So, humanity is awake and staring, as the big news Brzezinski puts it, and the elite are concerned about this, they're dealing with it.
[00:14:20.595 --> 00:14:30.945]  If you're new to Zbigniew Brzezinski or this broadcast, he was the former National Security Advisor under Carter, and he's one of the true geo-strategic visionaries for the elite.
[00:14:31.345 --> 00:14:36.190]  He, like others, works towards the One World Government in the 70s, he covertly
[00:14:36.570 --> 00:14:47.794]  Help put the Taliban into power to oppose the Soviets, and he has this whole long game for the grand chessboard, as he calls it, and how the American superpower is going to stave off Russia and China.
[00:14:48.115 --> 00:14:50.536]  But he's admitted that basically is failing.
[00:14:50.576 --> 00:14:56.058]  There are new emerging world powers, India, Brazil, China, Russia, among others.
[00:14:56.558 --> 00:15:01.660]  And though those powers are themselves changing America's hegemony over the world,
[00:15:02.260 --> 00:15:15.969]  The British Anglo American Empire and the other players in NATO and so forth and that's all part of his new book Strategic Vision and we've got an excerpt here from it where he continues to talk about the awakening of humanity as a major factor.
[00:15:16.310 --> 00:15:26.857]  Indeed the changing distribution of global power and the new phenomenon of massive political awakening intensify each in its own way the volatility of contemporary international relations.
[00:15:27.557 --> 00:15:31.320]  That's a excerpt from his intro as is this quote
[00:15:32.680 --> 00:15:36.663]  With the four going in mind, this book seeks to respond to four major questions.
[00:15:36.683 --> 00:15:50.991]  So he's got four major questions in this book, and number one of these major questions is, what are the implications of the changing distribution of global power from west to east, and how is it being affected by the new reality of politically awakened humanity?
[00:15:51.471 --> 00:15:52.892]  Now what are we really talking about here?
[00:15:52.972 --> 00:15:57.914]  What are the elite concerned about when we talk about this global political awakening of humanity?
[00:15:57.954 --> 00:16:03.557]  We're talking about people who are aware of their covert, hidden agenda for a one world order.
[00:16:04.417 --> 00:16:10.160]  People have been talking about this for decades, since the 50s, the roots of it are even deeper, but now
[00:16:10.600 --> 00:16:14.782]  Thanks to the flow of information, thanks to the internet, a lot of people are awakened to it.
[00:16:14.842 --> 00:16:21.164]  These elitists are being confronted everywhere and this really is and always has been an information war.
[00:16:21.484 --> 00:16:33.389]  The only difference is in the past hundreds of years, the past thousands of years, it's always been the tiny niches of royalty, of kingships, of priest classes who held most of the important knowledge.
[00:16:34.129 --> 00:16:39.011]  Literacy was kept down amongst the masses in relation to this reason, but now
[00:16:39.691 --> 00:16:43.713]  We have worldwide literacy, even though a lot of people are pissing that away, and it's very sad.
[00:16:44.253 --> 00:16:48.255]  And that literacy comes at a time when we have this global internet age.
[00:16:48.295 --> 00:16:59.620]  We have a short window of time when a lot of people have the chance to know what's really going on with these global elites, see their power for what it is, and, if we can, seek to change the dimensions of those power.
[00:16:59.940 --> 00:17:04.782]  Now, of course, other foreign powers, China, Russia, they're not the friends of humanity either.
[00:17:04.862 --> 00:17:08.824]  They're on the chessboard, though, and it's going to be important what decisions they make as well.
[00:17:09.205 --> 00:17:12.507]  Let's play a clip from Hillary Clinton admitting that they're losing the Infowar.
[00:17:13.072 --> 00:17:15.633]  We are engaged in an information war.
[00:17:16.593 --> 00:17:20.834]  During the Cold War, we did a great job in getting America's message out.
[00:17:21.014 --> 00:17:24.535]  After the Berlin Wall fell, we said, OK, fine, enough of that.
[00:17:24.575 --> 00:17:25.075]  We've done it.
[00:17:25.155 --> 00:17:25.615]  We're done.
[00:17:26.375 --> 00:17:29.276]  And unfortunately, we are paying a big price for it.
[00:17:29.856 --> 00:17:33.377]  And our private media cannot fill that gap.
[00:17:33.537 --> 00:17:39.058]  In fact, our private media, particularly cultural programming, often works
[00:17:39.558 --> 00:17:44.822]  At counter-purposes to what we truly are as Americans and what our values are.
[00:17:45.002 --> 00:17:48.665]  We are in an information war and we are losing that war.
[00:17:48.965 --> 00:17:50.966]  I'll be very blunt in my assessment.
[00:17:51.707 --> 00:17:52.827]  Al Jazeera is winning.
[00:17:53.948 --> 00:17:59.752]  The Chinese have opened up a global English language and multi-language television network.
[00:18:00.153 --> 00:18:03.415]  The Russians have opened up an English language network.
[00:18:04.298 --> 00:18:08.641]  Now, she's talking on the one hand about foreign press and the whole U.S.
[00:18:09.461 --> 00:18:13.283]  strategy to put out propaganda and try to influence people around the world.
[00:18:13.604 --> 00:18:23.269]  That's all important, but it also has to do with this information war taking place with individuals in the age of the Internet, and that too is what the Info War is really all about.
[00:18:23.629 --> 00:18:27.692]  So I want to encourage everyone out there who's already recognized the Info War
[00:18:27.972 --> 00:18:28.633]  Not to give up.
[00:18:28.673 --> 00:18:29.895]  We're having a huge effect.
[00:18:30.215 --> 00:18:31.257]  Truth is on our side.
[00:18:31.337 --> 00:18:33.560]  Truth is more important than ever.
[00:18:33.701 --> 00:18:43.716]  And how ironic is it that as the mainstream media dies, as these dinosaur outlets, newspapers, and the mainstream networks are dying off and losing their influence,
[00:18:44.116 --> 00:18:48.180]  That these new foreign networks are also featuring patriots speaking the truth.
[00:18:48.580 --> 00:18:53.244]  Also featuring so-called conspiracy theorists trying to tell it like it really is.
[00:18:53.704 --> 00:18:56.607]  Why does Al Jazeera have gaining influence?
[00:18:56.647 --> 00:19:02.332]  Because the US and the Western forces are so full of lies on the Iraq War, the Afghanistan War.
[00:19:02.692 --> 00:19:05.755]  It doesn't really matter how credible Al Jazeera is.
[00:19:06.115 --> 00:19:09.698]  All they have to do is point out all the horrible things going on
[00:19:10.078 --> 00:19:10.298]  Thank you.
[00:19:28.430 --> 00:19:31.052]  Telling the truth is a revolutionary act.
[00:19:59.231 --> 00:20:02.236]  I have no idea if I'm saying that right, but it's up on the website.
[00:20:02.537 --> 00:20:07.705]  It's Sunday, February 26, and we have a great promo that was put together by Rob Jacobson.
[00:20:07.725 --> 00:20:10.570]  We're going to play it here in the break and come back with Jerome Corsi.
[00:20:10.610 --> 00:20:11.051]  Stay tuned.
[00:20:17.668 --> 00:20:19.469]  Greetings, fellow InfoWarriors.
[00:20:20.110 --> 00:20:27.835]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:20:28.135 --> 00:20:38.062]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:20:38.462 --> 00:20:42.205]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:20:42.505 --> 00:20:43.886]  What makes them tick and how to defeat them.
[00:20:44.187 --> 00:20:46.588]  So I'm titling this key speech I'm going to give.
[00:20:47.189 --> 00:20:48.790]  It'll run around two hours long.
[00:20:49.391 --> 00:20:51.172]  Blueprint to Defeat the New World Order.
[00:20:51.452 --> 00:20:57.197]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:20:57.637 --> 00:20:59.759]  First off, I'm going to be going to Dallas, Texas.
[00:21:00.159 --> 00:21:01.700]  Sunday, February 19th, 2012.
[00:21:01.860 --> 00:21:04.583]  To the historic Lakewood Theater.
[00:21:05.143 --> 00:21:09.348]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:21:10.009 --> 00:21:15.676]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:21:16.636 --> 00:21:20.058]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:21:20.678 --> 00:21:24.600]  So get your tickets early at InfoWars.com forward slash events.
[00:21:24.900 --> 00:21:26.861]  There's a lot of crazy stuff going on in this world.
[00:21:27.542 --> 00:21:30.083]  The craziest of all is this explosive awakening.
[00:21:30.763 --> 00:21:32.524]  I can't wait to meet you and shake your hand.
[00:21:32.964 --> 00:21:34.965]  I'll see you in Dallas and I'll see you in Orlando.
[00:21:35.606 --> 00:21:37.567]  InfoWars.com forward slash events.
[00:21:45.916 --> 00:21:47.917]  Yeah, I'm signing these evil 1776 flags.
[00:21:48.037 --> 00:21:58.144]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:21:59.164 --> 00:22:01.986]  It's pretty un-American, what we're doing here at InfoWars.com.
[00:22:04.447 --> 00:22:10.091]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:22:10.111 --> 00:22:11.552]  Now that...
[00:22:13.388 --> 00:22:14.569]  He's El Cater.
[00:22:32.549 --> 00:22:33.649]  We are back from break.
[00:22:33.669 --> 00:22:36.110]  We're joined now by Dr. Jerome Corsi.
[00:22:36.530 --> 00:22:38.530]  He's got a PhD from Harvard.
[00:22:38.890 --> 00:22:47.132]  He's been the author of Unfit for Command, the Swift Boat book against John Kerry, and a whole lot more, including a North American Union book and so much other coverage.
[00:22:47.452 --> 00:22:48.613]  Thank you for joining us, Doctor.
[00:22:49.133 --> 00:22:50.533]  A great pleasure to be back with you.
[00:22:50.573 --> 00:22:51.033]  Thank you.
[00:22:51.693 --> 00:22:57.815]  Now, you told us you've got a breaking story today just on money laundering and big Wall Street scandal stuff.
[00:22:57.835 --> 00:22:58.915]  Why don't you break it down for us?
[00:22:59.466 --> 00:23:04.168]  I said a very top story at WND.com, the Skyline story.
[00:23:04.188 --> 00:23:13.912]  There's a whistleblower that's contacted WND I've been working with out of HSBC Bank, which is one of the biggest banks in the world.
[00:23:14.792 --> 00:23:27.597]  And this whistleblower has brought 1,000 pages of internal bank documents which show a multi-billion, probably trillion-dollar scheme to money launder through the bank
[00:23:28.584 --> 00:23:32.827]  With the obvious compliance and knowledge of senior management.
[00:23:33.688 --> 00:23:38.932]  It looks like the bank has become a criminal, I mean it's like a criminal operation being run internally in the bank.
[00:23:38.972 --> 00:23:50.442]  The wire transfers coming into and out of accounts show millions of dollars of activity in accounts that were established through identity theft.
[00:23:51.282 --> 00:24:07.507]  Evidently what the bank has done is they've stolen the legitimate names and social security numbers of people who don't even know their names are being used to have accounts established at HSBC and then millions of dollars run through these accounts in money laundering.
[00:24:08.287 --> 00:24:17.990]  It's an incredible scandal and we have a thousand pages of the internal bank documentation that John Cruz, the whistleblower, took with him
[00:24:18.650 --> 00:24:23.477]  When he was basically fired from the bank for trying to get the bank's attention to this scandal.
[00:24:24.859 --> 00:24:30.306]  And you were talking yesterday with Alex about all the money laundering from the drug gangs.
[00:24:30.727 --> 00:24:34.812]  All that stuff has been through banks like Wachovia, by the hundreds of millions, if not billions.
[00:24:36.434 --> 00:24:37.475]  Well, I see this as a thing.
[00:24:37.515 --> 00:24:46.284]  I mean, if you think about it for a minute, the drug business and the drug cartel in Mexico, let's say they do $2 trillion in revenue annually.
[00:24:46.304 --> 00:24:49.327]  I mean, do you know how heavy $2 trillion is in $100 bills?
[00:24:52.469 --> 00:24:53.110]  It's worthless.
[00:24:53.831 --> 00:24:58.434]  It has to get into the banking system and the banks provide a vehicle for it.
[00:24:58.975 --> 00:25:04.119]  Then the federal government comes along when they catch a bank like HSBC, they give them a fine.
[00:25:04.179 --> 00:25:08.522]  Well, these major banks have two billion dollars reserved just to pay fines.
[00:25:08.583 --> 00:25:21.153]  As long as the bank is not considered a criminal bank and nobody goes to jail, the fine is just a cost of doing business and they go on their merry way laundering trillions of dollars of business around the world illegally.
[00:25:22.128 --> 00:25:31.720]  We've got such widespread corruption with Wall Street, a lot of anger obviously at Wall Street, but there's a big crony capitalism problem too, based in the Washington and the leadership there.
[00:25:32.080 --> 00:25:38.287]  What do you see as the guiding light to sort of reforming the larger scandal with the housing collapse and everything going on?
[00:25:38.648 --> 00:25:40.891]  How are we ever going to get out of this mess, Doctor?
[00:25:41.491 --> 00:25:44.352]  Well, I think we need to, first of all, get down to the honesty of it.
[00:25:44.372 --> 00:25:52.596]  I mean, a good idea would just be to fire everybody in Washington, reduce the size of the federal government, the corruption coming through the federal government.
[00:25:52.636 --> 00:25:57.218]  Anybody who doesn't think this is government-managed and government-complicit is crazy.
[00:25:57.778 --> 00:26:10.344]  I'm sure by the time we get down to this, the bottom of these money-laundering scandals that I'm investigating is not only going to be drug money and terrorist money, I'm sure we're going to find part of the stimulus money
[00:26:11.044 --> 00:26:12.885]  Going into money laundering.
[00:26:13.485 --> 00:26:21.089]  If they got $700 or $800 billion in stimulus money, I'm sure the politicians in Washington get a high level.
[00:26:21.109 --> 00:26:30.654]  The cronies setting up these fake Solyndra energy businesses can find a way to take 10% of that and skim it off through money laundering and pocket it.
[00:26:31.254 --> 00:26:32.074]  That's the problem.
[00:26:32.114 --> 00:26:33.095]  There's so much money.
[00:26:34.042 --> 00:26:46.812]  With trillions of dollars in deficits, we're so awash in money that we've set up an invitation for criminals in the government and banks to participate to have a field day and enrich themselves in the process.
[00:26:47.813 --> 00:26:48.053]  Sure.
[00:26:48.573 --> 00:26:53.897]  And then... See, the key realization is we're not in this global crisis by accident.
[00:26:54.878 --> 00:27:02.164]  The globalists, the banks, the government leaders, sure, borrow trillions, what difference does it make?
[00:27:02.464 --> 00:27:03.445]  They're never going to repay it.
[00:27:04.557 --> 00:27:06.759]  And while they're borrowing it, they could be stealing it.
[00:27:07.479 --> 00:27:10.041]  They could be running programs of giveaways.
[00:27:10.081 --> 00:27:20.128]  The giveaways, you know, when you take a look at the money on the border, two trillion dollars in the drug trade, the idea is to keep it open so the banks can continue to launder the money.
[00:27:20.508 --> 00:27:22.370]  The illegal immigrants are a detail.
[00:27:23.010 --> 00:27:24.431]  Nobody really cares about them.
[00:27:24.451 --> 00:27:29.774]  They're just kind of incidental to the whole operation, which is really about the drug war.
[00:27:30.294 --> 00:27:35.037]  Keep the border open so the drug war can flow and the good times can roll in the banks.
[00:27:35.898 --> 00:27:36.278]  Sure.
[00:27:36.478 --> 00:27:47.445]  Isn't it in the larger picture a game of musical chairs to use the increasingly worthless money until the music stops and buy up real assets and for those in power to position themselves?
[00:27:48.052 --> 00:27:58.314]  Right, in the meantime, the middle class gets destroyed, everybody who believes in the values of government is trying to live an honest life is in a diminished capacity, and the thieves are having a field day.
[00:27:58.914 --> 00:28:10.757]  And when the currencies collapse, the ones who will be having any wealth at all will still be the thieves, and then, like in the Depression, they'll run around and buy the hard assets that are left, re-ante, and do it all over again.
[00:28:11.557 --> 00:28:20.640]  When I wrote America Over Sale, I warned people that this globalism is a scheme devised by the globalists to further enrich the banks of the globalists.
[00:28:21.280 --> 00:28:25.442]  And the government officials that play along are going to get enriched in the process.
[00:28:27.149 --> 00:28:32.191]  Now, switching gears, Dr. Corsi, obviously there's a lot of cynicism towards the elections in general.
[00:28:32.231 --> 00:28:39.034]  We always seem to get the lesser of two evils to choose from, but an even bigger question is Obama even eligible?
