[00:00:22.045 --> 00:00:23.586]  It's fight time, ladies and gentlemen.
[00:02:46.690 --> 00:03:09.025]  Yeah, he's building two nuclear plants and planning two more to provide electricity for his country He knows the oil is running out more propaganda and time with it But he wouldn't build the plants now if he doubted their safety more propaganda He'd wait as many Americans want to do but the Shah knows that nuclear energy is not only economical It's enjoyed a remarkable 30-year safety record if it's good enough for him.
[00:03:09.085 --> 00:03:16.230]  It's good enough for Plymouth, Massachusetts, too And it just goes to show they can spend the facts any way they want anytime they want
[00:03:16.830 --> 00:03:18.552]  Depending on what the globalists want to do.
[00:03:18.592 --> 00:03:27.339]  We know Iran's been on the hit list, and we really hope the time isn't now, but it's kind of that feeling before World War I when all the countries line up.
[00:03:27.839 --> 00:03:29.821]  Now, meanwhile, we have in the news today, U.S.
[00:03:30.281 --> 00:03:33.604]  warplanes head to the Gulf at rate not seen in years.
[00:03:33.944 --> 00:03:38.988]  That's according to Debka File, another kind of shadowy, nebulous intelligence source.
[00:03:39.028 --> 00:03:41.951]  So take it with a grain of salt, but what are we dealing with here?
[00:03:42.031 --> 00:03:45.314]  Regional conflicts where the bankers back all sides of the war.
[00:03:47.210 --> 00:03:47.830]  As the U.S.
[00:03:47.870 --> 00:03:55.354]  and Israel carried on bickering over the right time to strike Iran's nuclear sites, Stepkafile writes, the war preparations continue to pace.
[00:03:55.414 --> 00:03:59.856]  Stepkafile's military sources report that flight after flight of U.S.
[00:03:59.896 --> 00:04:10.741]  warplanes and transports were seen this week cutting eastward through the skies of Sinai on their way to the Gulf destinations, presumably Saudi Arabia, at a frequency not seen in the Middle East for many years.
[00:04:11.141 --> 00:04:15.483]  Of course, we know there are many big cruise ships there, big
[00:04:16.323 --> 00:04:26.088]  Launching pads, ally bases, all the regional players have been tapped, and we really hope this doesn't become World War III or a wider regional conflict.
[00:04:26.468 --> 00:04:34.431]  But they have on their hit list Iran and Syria, as I've mentioned many times tonight and other times on this program, and they look like they're going to go forward.
[00:04:34.471 --> 00:04:35.412]  We hope they don't do it.
[00:04:35.772 --> 00:04:48.507]  Now, some have interpreted Obama's comment that I don't think Israel has made a decision on what they need to do as simply meaning he wants to wait until the sanctions have the appearance of having had their effect before having the strike.
[00:04:48.527 --> 00:04:50.209]  We don't know, of course, what's going to happen.
[00:04:50.669 --> 00:04:53.491]  No one knows the hour, but we know they're working steadily at it.
[00:04:53.591 --> 00:04:58.515]  Meanwhile, Mossad works with terror groups to assassinate Iranian nuclear scientists.
[00:04:58.835 --> 00:05:01.257]  That's Kurt Nemo's article up on InfoWars today.
[00:05:01.597 --> 00:05:08.643]  Of course, he points out it's obvious that the Western intelligence agencies would have full knowledge if this is proven to be going on as well.
[00:05:08.983 --> 00:05:12.946]  There's sources from Iran's Press TV citing the same, but...
[00:05:13.366 --> 00:05:16.107]  These articles have been ongoing for six months.
[00:05:16.127 --> 00:05:18.088]  They've had attempts on Khomeini.
[00:05:18.128 --> 00:05:21.270]  They've had attempts on Amin Ajad.
[00:05:21.330 --> 00:05:24.612]  They've been taking out these scientists, all these other explosions.
[00:05:24.852 --> 00:05:27.293]  And it's, yeah, it's intelligence officers' evidence.
[00:05:27.333 --> 00:05:28.714]  It's connected to the Israelis.
[00:05:29.054 --> 00:05:30.835]  And you can see it there in the quotes.
[00:05:31.375 --> 00:05:38.739]  And they are arming and training and backing the MEK, the Mojahedin-e-Khaliq organization, a known terrorist group.
[00:05:39.399 --> 00:05:43.762]  Listed with the State Department as a terrorist group and yet we have open ties with them.
[00:05:44.083 --> 00:05:44.843]  Well, what do you expect?
[00:05:44.883 --> 00:05:50.707]  We're openly working with Al-Qaeda, first in Libya, now those groups have been openly exported to Syria.
[00:05:51.208 --> 00:05:55.230]  They'll work with whatever they want and sell whatever lies are convenient to the public.
[00:05:55.611 --> 00:05:56.711]  It's just a sad day.
[00:05:57.052 --> 00:06:02.215]  Now turning to the homeland front, sources exposed FEMA training camp in Missouri.
[00:06:02.676 --> 00:06:05.778]  Alex had on this person today on the air, an anonymous source.
[00:06:06.258 --> 00:06:16.005]  Uh, who's been contracted to work inside a facility at Fort Leonard Woods, Missouri, where he explains how there's been a lot of activity building towards the FEMA training camps.
[00:06:16.345 --> 00:06:35.798]  Now, we've reported in the weeks past how they are activating these camps, how KBR has put out bids, seeking contractors, people to stand by on 72 hours notice, ready to man the camps at all levels, provide cleanup services, food, catering, but also the fencing services that they can roll out at rapid speed, get it ready to house people,
[00:06:36.198 --> 00:06:38.900]  And whatever kind of crisis or emergency might be coming.
[00:06:39.300 --> 00:06:42.302]  Of course with the economic crisis always on watch.
[00:06:42.402 --> 00:06:56.832]  He said also that he's describing it as a civilian inmate training camp and told InfoWars he spotted foreign troops as well in maroon and purple uniforms instructing troops on baton tactics and crowd control techniques.
[00:06:57.212 --> 00:07:05.678]  So again this is obviously some form of training of dealing with the American people once the economic crisis or a new war or whatever
[00:07:06.258 --> 00:07:06.658]  I think so.
[00:07:27.425 --> 00:07:32.971]  We'll have to testify before the House Subcommittee on Ignorance and Counterterrorizing in the House.
[00:07:33.792 --> 00:07:46.885]  EPIC, the Electronic Privacy Information Center Group, has gotten these hearings held after recently obtaining close to 300 pages of documents as the result of Freedom of Information
[00:07:47.325 --> 00:07:47.745]  I'm good.
[00:08:05.894 --> 00:08:19.002]  So here you have the Homeland Stasi Network no longer fighting terrorism, admittedly, if they even ever were, if there even are terrorists, always just spying on the American people, legitimizing the destruction of the Bill of Rights under various pretexts.
[00:08:19.382 --> 00:08:22.144]  They'll sell whatever they think they can to the Republic.
[00:08:23.164 --> 00:08:23.344]  I think.
[00:08:45.472 --> 00:08:46.513]  Infowars.com
[00:09:02.495 --> 00:09:10.381]  Trolling the trolls, of calling out an occupying force for what it is, of saying, hey, that's unconstitutional what that group is doing.
[00:09:10.762 --> 00:09:11.843]  I mean, how dare us?
[00:09:11.963 --> 00:09:14.104]  Now, it's great that EPIC got these hearings held.
[00:09:14.665 --> 00:09:17.687]  They've come out on free speech and civil rights grounds, of course.
[00:09:18.288 --> 00:09:19.909]  Most of their work has been very good.
[00:09:21.070 --> 00:09:23.911]  But we have a problem because they're just going to keep going.
[00:09:23.951 --> 00:09:25.351]  They show no signs of letting up.
[00:09:25.391 --> 00:09:37.573]  People inside this subcommittee have already commented that they want Homeland Security to be monitoring the internet, monitoring blogs, social media for signs of, quote, the current or emerging threats.
[00:09:38.353 --> 00:09:39.253]  That would be Reps.
[00:09:39.353 --> 00:09:41.274]  Jackie Speier and Reps.
[00:09:41.354 --> 00:09:46.835]  Patrick Meehan, among others, if you think it's good to still contact your members and tell them not to do it.
[00:09:47.415 --> 00:09:49.236]  Meanwhile, let's just watch for this hearing.
[00:09:49.296 --> 00:09:51.297]  It's going to be Thursday, February 16th.
[00:09:51.637 --> 00:09:58.161]  DHS monitoring of social networking and media, enhancing intelligence gathering and ensuring privacy.
[00:09:58.561 --> 00:10:07.566]  Admittedly, they have fusion centers set up all across the country, merging with local and state law enforcement to spy on the people, political groups, on and on.
[00:10:07.606 --> 00:10:08.186]  You know the deal.
[00:10:09.767 --> 00:10:12.188]  It's always fun to see the dung beetle on TV.
[00:10:12.909 --> 00:10:24.254]  And of course, there were reports in 2004 that Homeland Security actually hired the former Stasi spy chief Markus Wolf from East Germany to work for Homeland Security.
[00:10:24.895 --> 00:10:29.117]  There's kind of some speculation over whether or not that's true, but hey, that's how they're acting.
[00:10:29.217 --> 00:10:31.238]  It may as well be true if it's not literally true.
[00:10:31.258 --> 00:10:33.779]  They've obviously adopted that model.
[00:10:34.099 --> 00:10:39.868]  They're trying to turn the American people against each other to create a nationwide snitch network.
[00:10:39.888 --> 00:10:45.677]  They have a little InfraGard and the other entities and they really want to just create all-out paranoia.
[00:10:45.978 --> 00:10:48.381]  You've seen the reports this week from the FBI.
[00:10:49.523 --> 00:10:59.686]  Where they have page after page of mundane, ordinary American activity, using cash, going to internet cafes, using model airplanes, all kinds of stuff.
[00:10:59.746 --> 00:11:03.027]  Tattoo shops, going to cosmetic shops, beauty shops.
[00:11:03.467 --> 00:11:08.709]  Everything the American people do is considered suspicious and the act of potential terrorism.
[00:11:08.969 --> 00:11:10.110]  You've seen all the reports.
[00:11:10.490 --> 00:11:11.030]  Just let's...
[00:11:11.690 --> 00:11:12.611]  Face what this is.
[00:11:12.671 --> 00:11:13.872]  It's an occupying force.
[00:11:14.372 --> 00:11:16.054]  It's disgusting what they have going on.
[00:11:16.554 --> 00:11:17.895]  And we should all be worried about it.
[00:11:17.956 --> 00:11:26.443]  Meanwhile, Paul Joseph Watson has written about how Homeland Security is now launching, quote, insurgent tracking drones inside America.
[00:11:26.763 --> 00:11:29.085]  And they're going to ramp this up on a big $50 million budget.
[00:11:30.186 --> 00:11:31.587]  Have these drones all over.
[00:11:31.647 --> 00:11:35.150]  They've already tapped law enforcement agencies, encouraged their use.
[00:11:35.190 --> 00:11:42.775]  You've seen the cases where the news media reported in Houston and other places that they were already testing and using these things.
[00:11:43.296 --> 00:11:51.081]  And you, of course, heard about the case in North Dakota where they used the drone to spy on the family with all the acreage that supposedly stole six cows.
[00:11:52.162 --> 00:12:10.968]  I don't know if you did see the report also from this week where the European Union is now using drones to spy on and do farmland inspections because it's such vast farmland they have to use these drones to find finds and things that are against the EU's code of bureaucratic dictatorship for farmland.
[00:12:12.523 --> 00:12:17.607]  Turning to other matters, the economic collapse always does these great list articles.
[00:12:18.048 --> 00:12:25.594]  This one is good, especially if you're a newbie to the broadcast or if you're spreading this broadcast to new listeners, people who haven't heard this before.
[00:12:26.114 --> 00:12:30.138]  It is the 10 things every American should know about the Federal Reserve.
[00:12:30.478 --> 00:12:37.123]  Then kind of that Woody Allen asterisk, but we're afraid to ask or never knew or we're busy watching the football game and never asked.
[00:12:38.084 --> 00:12:39.105]  So, here's that list now.
[00:12:39.125 --> 00:12:39.845]  I'll read all ten.
[00:12:39.885 --> 00:12:43.408]  The Federal Reserve System is a privately owned banking cartel.
[00:12:43.748 --> 00:12:49.352]  The truth is, the privately owned central bank is owned by the banks that are members of the Federal Reserve System.
[00:12:49.732 --> 00:12:56.376]  We do not know how much people the system, how much of the system each bank owns because that has never been disclosed to the American people.
[00:12:56.516 --> 00:12:57.117]  No right to know.
[00:12:57.617 --> 00:13:01.261]  Number two, the Federal Reserve System is a perpetual debt machine.
[00:13:01.942 --> 00:13:07.447]  You probably heard about that too, how every dollar issued comes back to the Federal Reserve in the form of interest.
[00:13:07.827 --> 00:13:16.576]  But there's some interesting quotes in here I've never heard, maybe you've never heard them, from Thomas Edison of all people, back in the early part of the 20th century.
[00:13:16.897 --> 00:13:20.761]  He was in the New York Times at the time, saying, that is to say, under the old way,
[00:13:21.281 --> 00:13:26.824]  Anytime we wish we could add to the national wealth, we are compelled to add to the national debt.
[00:13:27.164 --> 00:13:29.405]  Now that's what Henry Ford wants to prevent.
[00:13:29.705 --> 00:13:42.352]  He thinks it's stupid, and so do I, that for the loan of $30 million of our own money, the people of the United States should be compelled to pay $66 million, that is what it amounts to, with interest.
[00:13:42.592 --> 00:13:45.874]  That's double the amount of the loan and a little bit extra in interest.
[00:13:46.274 --> 00:13:47.915]  And he says it's bad, but somehow,
[00:13:48.655 --> 00:13:49.515]  It's become accepted.
[00:13:49.555 --> 00:13:50.656]  We got used to it, didn't we?
[00:13:51.036 --> 00:13:56.478]  Number three, the Federal Reserve has destroyed more than 96% of the value of the dollar.
[00:13:56.498 --> 00:13:58.118]  I know we have a graph.
[00:13:58.138 --> 00:13:59.139]  I don't recall who made it.
[00:13:59.159 --> 00:14:05.601]  It's been out there for years with the design of the dollar bill showing that destruction of the purchasing power of your dollar.
[00:14:05.621 --> 00:14:08.142]  You've heard Ron Paul talking about it and it's true.
[00:14:08.542 --> 00:14:15.785]  You took what used to be the dollar when it was on a true gold standard, gold and silver standard in the early part of the 20th century and how since 1913
[00:14:17.205 --> 00:14:22.471]  It's had some ups and downs, but overall it's been a 96% decline of total value.
[00:14:22.931 --> 00:14:27.436]  Number four, the Federal Reserve can bail out whoever it wants with no accountability.
[00:14:27.937 --> 00:14:36.586]  And the partial audit they finally got in Congress revealed that it's all the big banks of Wall Street and pretty much all the big banks of Europe.
[00:14:38.066 --> 00:14:38.586]  Go figure.
[00:14:38.927 --> 00:14:42.609]  Number five, the Federal Reserve is paying banks not to lend money.
[00:14:43.009 --> 00:14:43.890]  Now what does that mean?
[00:14:44.471 --> 00:14:55.758]  Section 128 of the Emergency Economic Stabilization Act of 2008 allows the Federal Reserve to pay interest on excess reserves that the bank parks at the Fed.
[00:14:55.798 --> 00:14:56.499]  So what happened?
[00:14:56.799 --> 00:15:00.782]  You had no excess reserves up until that act was passed in 2008.
[00:15:00.942 --> 00:15:01.382]  That's right.
[00:15:24.614 --> 00:15:32.580]  Do you remember that their whole mandate for being created was that they were going to stop the fluctuations, the spikes, the bust and booms, the market crashes?
[00:15:32.960 --> 00:15:34.021]  They didn't do any of that.
[00:15:34.041 --> 00:15:41.846]  The greatest crash ever, the economic depression of the late 20s, of the 30s, was created by the Federal Reserve.
[00:15:41.886 --> 00:15:43.007]  It wasn't stopped by them.
[00:15:44.269 --> 00:15:53.035]  They contracted the money supply and some other fishy moves after they crashed Wall Street.
[00:15:53.936 --> 00:15:58.119]  Now that should be obvious at that point, especially after the partial audit.
[00:15:58.219 --> 00:16:01.882]  However, I believe Jamie Dimon is on the Board of Reserves.
[00:16:02.422 --> 00:16:03.283]  I think so.
[00:16:20.660 --> 00:16:32.611]  Both come into existence in 1913, so they could collect that interest money that Thomas Edison, Henry Ford, and so many other Americans, whether they're good, bad, indifferent, colored, corrupt themselves, whatever.
[00:16:32.631 --> 00:16:36.695]  It was 1913 they began to turn the lights out on the American dream.
[00:16:37.295 --> 00:16:45.203]  Not that we were ever perfect, not that we ever achieved that dream, but they turned us instead towards that Soviet model, toward the rule by central
[00:16:45.663 --> 00:16:46.183]  We're good.
[00:17:03.636 --> 00:17:04.437]  That can't be true.
[00:17:04.917 --> 00:17:05.417]  Number 10.
[00:17:05.457 --> 00:17:07.718]  The Federal Reserve has become way too powerful.
[00:17:08.299 --> 00:17:11.940]  Or was it always too powerful and completely unconstitutional?
[00:17:12.301 --> 00:17:12.661]  Crazy.
[00:17:12.701 --> 00:17:17.223]  But anyway, someone, a listener, sent us an interesting dollar here, some artwork.
[00:17:17.843 --> 00:17:21.385]  Ron Paul's face on a dollar bill and it says, and the Federal Reserve.
[00:17:21.405 --> 00:17:23.066]  I don't know if we could show that.
[00:17:23.106 --> 00:17:24.167]  Hopefully we can zoom in.
[00:17:25.464 --> 00:17:26.465]  Interesting artwork there.
[00:17:26.946 --> 00:17:29.449]  Just a little something extra for our viewers out there.
[00:17:29.469 --> 00:17:33.253]  We appreciate everyone supporting this broadcast and trying to spread the word.
[00:17:33.313 --> 00:17:35.155]  On the back it says, in gold we trust.
[00:17:36.216 --> 00:17:36.717]  Interesting there.
[00:17:38.286 --> 00:17:42.047]  Anyway, that's it for tonight's InfoWars Nightly News news segment.
[00:17:42.087 --> 00:17:46.749]  We, of course, have Dr. Paul Craig Roberts coming up, but first, I want to read you a daily quote.
[00:17:46.869 --> 00:17:51.850]  After reminding you, we're extending our special discounts on the Prison Planet TV membership.
[00:17:52.250 --> 00:17:55.591]  A lot of people like to sign up that way because it costs less, you can save money.
[00:17:55.931 --> 00:18:04.074]  Of course, you can share that membership with up to five other people, so you can give it to friends, family, other people who are awake, other people who you want to try to awaken.
[00:18:04.634 --> 00:18:07.835]  It's a great tool of giving information, of giving truth,
[00:18:08.255 --> 00:18:15.743]  As we try to reach enough people to turn this thing around, you know it's so important, and if you want to help this broadcast, please check that out and consider subscribing.
[00:18:16.263 --> 00:18:20.928]  Now, Marcus Tullius Cicero, of course from the Roman days, wrote,
[00:18:31.318 --> 00:18:32.439]  That's the kind of enemy we face today.
[00:19:01.218 --> 00:19:02.919]  Dr. Paul Craig Roberts after this break.
[00:19:09.382 --> 00:19:11.183]  Greetings, fellow InfoWarriors.
[00:19:11.823 --> 00:19:19.546]  Alex Jones here announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:19:19.846 --> 00:19:29.771]  And we get so busy here at InfoWarriors.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:19:30.191 --> 00:19:33.914]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:19:34.214 --> 00:19:35.595]  What makes them tick and how to defeat them.
[00:19:35.895 --> 00:19:38.277]  So I'm titling this key speech I'm going to give.
[00:19:38.297 --> 00:19:40.498]  It'll run around two hours long.
[00:19:41.098 --> 00:19:42.880]  Blueprint to Defeat the New World Order.
[00:19:43.160 --> 00:19:48.904]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:19:49.344 --> 00:19:51.445]  First off, I'm going to be going to Dallas, Texas.
[00:19:51.866 --> 00:19:53.427]  Sunday, February 19th, 2012.
[00:19:53.567 --> 00:19:56.289]  To the historic Lakewood Theater.
[00:19:56.849 --> 00:20:01.058]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:20:01.719 --> 00:20:07.391]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:20:08.342 --> 00:20:11.784]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:20:12.384 --> 00:20:16.306]  So get your tickets early at InfoWars.com forward slash events.
[00:20:16.606 --> 00:20:18.567]  There's a lot of crazy stuff going on in this world.
[00:20:19.248 --> 00:20:21.789]  The craziest of all is this explosive awakening.
[00:20:22.469 --> 00:20:24.230]  I can't wait to meet you and shake your hand.
[00:20:24.670 --> 00:20:26.671]  I'll see you in Dallas and I'll see you in Orlando.
[00:20:27.312 --> 00:20:29.273]  InfoWars.com forward slash events.
[00:20:37.625 --> 00:20:42.247]  Yeah, I'm signing these evil 1776 flags.
[00:20:42.888 --> 00:20:49.371]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:20:50.872 --> 00:20:53.353]  It's pretty un-American what we're doing here at InfoWars.com.
[00:20:53.513 --> 00:21:01.777]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:21:02.798 --> 00:21:03.278]  Now that...
[00:21:05.031 --> 00:21:05.772]  Thanks, Alcatraz.
[00:21:23.410 --> 00:21:24.591]  And we are back from break.
[00:21:24.631 --> 00:21:31.717]  Joining us now to discuss the large buildup for war as well as a number of economic issues is Dr. Paul Craig Roberts.
[00:21:32.138 --> 00:21:36.242]  He was Assistant Secretary of the Treasury for Economic Policy under Reagan.
[00:21:36.602 --> 00:21:41.426]  He's worked for the Wall Street Journal and a number of other publications and organizations.
[00:21:41.767 --> 00:21:44.629]  He now has his own blog at paulcraigroberts.org.
[00:21:44.989 --> 00:21:46.150]  Doctor, thank you for joining us.
[00:21:46.851 --> 00:21:47.552]  Pleased to be with you.
[00:21:48.909 --> 00:21:52.792]  I'm pleased to have you as well, but not too pleased about the apparent buildup to war.
[00:21:53.052 --> 00:21:59.377]  It's been said, obviously in a different context, no man knoweth the hour, but still we see quite the buildup.
[00:21:59.417 --> 00:22:00.818]  What do you see on the front, sir?
[00:22:02.239 --> 00:22:11.826]  Yes, buildup's been going on a long time, and it seems excessive if no attack on Iran is intended.
[00:22:12.586 --> 00:22:15.909]  You know, Juan Cole published a map showing that there are 44
[00:22:18.621 --> 00:22:21.445]  American military bases surrounding Iran.
[00:22:22.566 --> 00:22:27.792]  We've got two fleets assigned to the Persian Gulf along with NATO warships.
[00:22:29.450 --> 00:22:33.813]  We've got American troops posted to Kuwait and Israel.
[00:22:33.873 --> 00:22:38.156]  We've got a missile defense system up for Israel.
[00:22:38.317 --> 00:22:45.402]  We've got missiles in a variety of our Arab puppet states.
[00:22:46.142 --> 00:22:51.606]  So it looks like a war is intended or an attack is intended.
[00:22:51.626 --> 00:22:52.507]  You know, it used to be
[00:22:54.798 --> 00:23:03.903]  Military strategists would say that once mobilization had reached a certain point, war was inevitable.
[00:23:05.063 --> 00:23:11.006]  I don't know if they still teach that or not, but that was once the view.
[00:23:11.327 --> 00:23:15.589]  And in terms of that view, it certainly looks like war is inevitable.
[00:23:16.906 --> 00:23:17.306]  Yes, sir.
[00:23:17.526 --> 00:23:26.851]  Now, in the lead-up to the Iraq War, we saw a large propaganda effort to sell us on the ideas of mobile weapons labs and WMDs, all of which turned out to be false.
[00:23:27.671 --> 00:23:32.874]  Here, we've got basically the nuclear case, but they haven't even been hitting that as hard.
[00:23:33.194 --> 00:23:44.040]  Do you expect a further propaganda build-up prior to a movement, or should we be looking to things like false flag attacks and other coming conflicts short of all-out war?
[00:23:46.364 --> 00:23:49.645]  You know, I don't know how it will start.
[00:23:49.705 --> 00:23:54.667]  In fact, it may start despite the White House's opposition to the timing.
[00:23:54.687 --> 00:24:04.531]  There are so many people in position to start the war with a false flag attack or anything else.
[00:24:04.551 --> 00:24:06.952]  There have been several books published
[00:24:07.592 --> 00:24:23.200]  About how President John F. Kennedy came near to being sandbagged by the Joint Chiefs of Staff and the CIA into a Cuban invasion and into a nuclear preemptive first strike on the Soviet Union.
[00:24:24.521 --> 00:24:30.824]  He saw in time what they were boxing him into and rejected it.
[00:24:31.484 --> 00:24:32.165]  I don't think Obama
[00:24:47.409 --> 00:25:02.692]  He wants to take the risk of a war with Iran because of possible disruption of oil, the escalation in price, and this would have serious effects on the United States and European economies.
[00:25:03.232 --> 00:25:12.873]  I don't think he wants to take that risk unless polls show that he's losing the election with whoever the Republican candidate turns out to be.
[00:25:13.494 --> 00:25:15.714]  So I think he would prefer to wait.
[00:25:17.364 --> 00:25:29.590]  Others probably see the spring, early spring, as a prime time to attack because Russia may be in turmoil over its elections.
[00:25:30.600 --> 00:25:52.012]  You know, the Russian elections are in March, and the NGOs and non-governmental organizations funded with the American taxpayers' money from the National Endowment for Democracy, that's how much of the Russian opposition is financed.
[00:25:53.058 --> 00:26:00.862]  And so they're already having demonstrations accusing the upcoming elections of being fixed.
[00:26:01.742 --> 00:26:11.547]  So if Putin wins, you could see more demonstrations and they could easily turn violent and you could see Russia sort of paralyzed.
[00:26:12.427 --> 00:26:17.989]  By the kinds of upheavals that we've seen in other parts of the world recently.
[00:26:18.649 --> 00:26:29.193]  And this would make them ineffective, perhaps, in responding or attempting to block or forestall an attack on Iran.
[00:26:29.333 --> 00:26:38.236]  And I'm sure that those planning the war would be more comfortable if they had Russia preoccupied with
[00:26:39.517 --> 00:26:41.859]  With his own internal problems.
[00:26:42.660 --> 00:26:53.091]  So there'll be some conflict, I think, between what some people will see as an ideal time and what Obama would see as an ideal time.
[00:26:53.612 --> 00:26:53.972]  Right.
[00:26:54.192 --> 00:26:55.474]  Outcomes not predictable.
[00:26:56.636 --> 00:26:59.477]  I think that's a wise observation to put Russia in context.
[00:26:59.537 --> 00:27:06.240]  I mean, obviously there's geopolitical points on the map of interest, but you've also got the General Wesley Clark account.
[00:27:06.580 --> 00:27:10.682]  I don't know if you're familiar with it, but he cites a meeting with Paul Wolfowitz in, I believe, 1991.
[00:27:11.562 --> 00:27:17.264]  And Wolfowitz laid out a hit list of countries, Iran, Syria, they were all on the list.
[00:27:17.284 --> 00:27:26.028]  And his reason for the timing had to do with Russia and other superpowers not being in a position, at least of interest, to intervene in Middle Eastern interventions.
[00:27:28.049 --> 00:27:30.251]  Yes, I think they still think a lot about that.
[00:27:31.072 --> 00:27:37.637]  And of course, on February 14th, the Vice President Channer is coming to Washington.
[00:27:38.618 --> 00:27:44.383]  And how that meeting goes will probably also feed into the decision.
[00:27:47.245 --> 00:27:52.870]  But what we have to come back to is we've had all these years of propaganda.
[00:27:54.074 --> 00:27:59.161]  And the people making these propaganda claims against Iran know that they're not true.
[00:28:01.103 --> 00:28:11.877]  You may have seen some of the latest propaganda claims come from congressmen and senators in Washington who are talking about Iranian
[00:28:13.138 --> 00:28:13.358]  Thank you.
[00:28:33.630 --> 00:28:45.761]  And as we've already said, the organization of so many military forces being in place, that also implies intent.
[00:28:46.542 --> 00:28:47.783]  It's expensive to do that.
[00:28:49.585 --> 00:28:51.006]  There's even some speculation
[00:28:52.128 --> 00:29:03.571]  That the reason the United States is winding down the Iraq and Afghan wars is to free up the wherewithal to take on Iran.
[00:29:04.492 --> 00:29:18.656]  I don't know whether this speculation is right or not, but a lot of people see the movement toward preparing this massive force against Iran, and so something must lie behind it.
[00:29:19.960 --> 00:29:20.461]  Yes, sir.
[00:29:20.641 --> 00:29:31.394]  How do you see the operations in Syria, all the propaganda trying to topple Assad's regime, all the covert warfare going on there, playing into the wider regional war or the Iran crisis?
[00:29:32.696 --> 00:29:33.837]  Well, as part of the original...
[00:29:35.598 --> 00:29:36.258]  I don't know.
[00:29:57.512 --> 00:29:57.892]  Libya.
[00:29:59.334 --> 00:30:16.030]  I think there's been a lot of information that's probably reliable that shows that the United States is financing the rebels in Syria, certainly encouraging them, and so
[00:30:17.308 --> 00:30:32.517]  If the propaganda can reach the right level and somehow we can get around China and Russia, I think you would see NATO intervention in Syria along the lines that occurred in Libya.
[00:30:33.458 --> 00:30:36.860]  But so far, China and Russia have blocked that.
[00:30:37.841 --> 00:30:46.326]  And whether Washington will try to push despite that opposition, I don't know.
[00:30:47.386 --> 00:30:49.608]  And I guess two final questions on the Iranian front.
