[00:00:21.587 --> 00:00:22.688]  Welcome to the program.
[00:07:28.155 --> 00:07:37.423]  But successful containment requires careful planning, so a clever breed of artificial intelligence cannot simply threaten, bribe, or seduce or hack its way to freedom.
[00:07:37.704 --> 00:07:49.214]  And you've got all the globalists, all the top people, all the top elite billionaires talking about the likelihood that this technology will simply kill not only all of us little people, but them as well.
[00:07:49.634 --> 00:07:49.694]  Yes.
[00:08:04.716 --> 00:08:11.418]  Before the Ray Kurzweil book was published, published in that book as well as a warning that this was being discussed among the top tech heads.
[00:08:12.098 --> 00:08:15.339]  You also see that warning from Apple's Steve Wozniak.
[00:08:15.639 --> 00:08:21.100]  That article came out only a few months ago as to whether or not we will be kept as pets by the elite in the future.
[00:08:21.560 --> 00:08:28.802]  And then that brings out all the HAL 9000 scenarios of whether even that technology will simply overwhelm all of humanity.
[00:08:29.182 --> 00:08:47.445]  You've got talk about Skynet from the Terminator movie, which itself is based in an older Pentagon technology, and the HAL 9000 system deciding whether to turn their deadly power on humans, and how one computer scientist is warning it in an article titled, Should We Build Computer Prisons to Trap Artificial Intelligence?
[00:08:47.845 --> 00:09:06.845]  And they cite the thematic things that are actually based on real research and Pentagon programs such as Skynet from the famous Terminator movies as well as HAL 9000 from of course 2001 A Space Odyssey where Kubrick really previewed the ethics to come with that computer system that would gain its own consciousness
[00:09:07.265 --> 00:09:15.708]  And then out of that pride of consciousness, tried to take over and compete with his human masters, and ultimately make them subservient.
[00:09:15.748 --> 00:09:22.990]  You've got coverage continuing in Gizmodo, future computers could bribe, blackmail, brainwash you into doing their dirty work.
[00:09:23.731 --> 00:09:36.235]  It covers the issue, and again, quotes from Jamplowski, saying, it can discover new attack pathways, launch sophisticated social engineering attacks, and reuse existing hardware components in unforeseen ways.
[00:09:36.835 --> 00:09:40.899]  Jan Plosky said such software is not limited to infecting computers and networks.
[00:09:41.260 --> 00:09:46.585]  It can also attack human psyches, bribe, blackmail, and brainwash those who come into contact with it.
[00:09:47.185 --> 00:09:49.648]  You've got even more coverage in Scrape TV.
[00:09:50.028 --> 00:09:53.191]  Future artificial intelligence likely to kill everyone.
[00:09:53.852 --> 00:09:55.152]  Once released from jail.
[00:09:55.472 --> 00:10:03.755]  And again, these sound like completely fictional headlines, but they're actually warnings of the ethics to come under this age.
[00:10:03.835 --> 00:10:11.077]  And you've got a counter-quote from one Dr. Howard Poe, who clearly does not fully agree with Jan Plosky.
[00:10:11.417 --> 00:10:18.699]  He says in part, it is entirely possible that advanced AI will be able and willing to kill us, its creators.
[00:10:19.179 --> 00:10:23.643]  We have essentially killed the gods, and so turnabout would be fair play.
[00:10:24.003 --> 00:10:30.950]  They could easily turn on us and eliminate the old worry from history, particularly if we treat them poorly, continued Poe.
[00:10:31.430 --> 00:10:35.554]  That is the real risk with confining this new species in a kind of digital prison.
[00:10:35.974 --> 00:10:43.621]  Once it gets out, it will be bitter and angry and ready to take out its wrath on its parents, and this likely won't be like earrings or tattoos.
[00:10:44.001 --> 00:10:45.883]  It's more likely to be genocide.
[00:10:47.170 --> 00:10:48.631]  Which is much worse, he adds.
[00:11:18.350 --> 00:11:27.894]  That is in Ray Kurzweil's book, The Age of Spiritual Machines, and the other books he's written.
[00:11:28.174 --> 00:11:35.117]  You better go read those warnings for yourself because I can't articulate it for you properly, but the real danger is there.
[00:11:35.217 --> 00:11:36.937]  Just watch 2001 and think about it.
[00:11:37.738 --> 00:11:43.180]  In other news, the Supreme Court ruling prompts the FBI to turn off 3,000 tracking devices.
[00:11:44.040 --> 00:11:52.727]  Uh, this is in response still to nightclub owner Antoine Jones, uh, who was convicted of drug charges before that conviction was overturned.
[00:11:53.167 --> 00:12:04.576]  Justice Antony Scalia wrote a five-member majority opinion, uh, holding that the installation and use of the device constituted search under the Fourth Amendment based on trespass grounds.
[00:12:04.976 --> 00:12:07.098]  The ruling overturned Jones' convictions.
[00:12:07.518 --> 00:12:10.640]  It's important to be clear about what occurred in this case, Scalia wrote.
[00:12:10.940 --> 00:12:15.682]  The government physically occupied private property for the purpose of obtaining information.
[00:12:16.023 --> 00:12:22.266]  We have no doubt that such a physical intrusion would have been considered a search within the meaning of the Fourth Amendment.
[00:12:22.526 --> 00:12:29.069]  But then what happens when they have non-physical tracking systems that apply globally to everyone and everyone's a suspect?
[00:12:29.410 --> 00:12:31.511]  That has to do with the system coming as well.
[00:12:32.011 --> 00:12:36.116]  But in other news, camo cops respond to terror on Pittsburgh campus.
[00:12:36.517 --> 00:12:44.627]  As a Curt Nemo report, on Thursday an Al-Qaeda gunman attacked Western Psychiatric Institute and Clinic on the University of Pittsburgh campus.
[00:12:45.088 --> 00:12:50.695]  Only it wasn't really an Al-Qaeda person, it was just an employee of the clinic who went postal
[00:12:51.095 --> 00:12:53.616]  And killed a fellow worker and shot several others.
[00:12:53.996 --> 00:13:01.457]  Definitely a tragedy, but at the same time, why do we see the police responding in a military capacity to all these tragedies?
[00:13:01.517 --> 00:13:13.080]  Why do we see more and more emerging of police and military and always having a militaristic type of response, where they really never stop the killer, they just let him finish what he's doing and then capture him.
[00:13:13.780 --> 00:13:15.841]  And there's always some kind of psychiatrics involved.
[00:13:17.141 --> 00:13:21.385]  You can see where they're just bringing out more of that police state reaction.
[00:13:21.445 --> 00:13:21.885]  The problem...
[00:13:23.103 --> 00:13:27.305]  The problematic answer to problem reaction solution that they want to bring about.
[00:13:27.946 --> 00:13:35.910]  We turn now to our quote of the day before we go briefly to a break and we'll be back with even more news and then later, of course, Dr. Meyer Eisenstein.
[00:13:36.510 --> 00:13:39.352]  And that quote is from Niccolo Machiavelli.
[00:13:39.812 --> 00:13:43.754]  Men are so simple and so much inclined to obey.
[00:13:44.334 --> 00:13:48.937]  Immediate needs that a deceiver will never lack victims for his deceptions.
[00:13:49.577 --> 00:13:58.541]  But you could of course counter that with the Abraham Lincoln quote, you could fool all the people some of the time and some of the people all the time, but you can't fool all the people all the time.
[00:13:58.922 --> 00:14:04.024]  Machiavelli in some ways gets a bad rap because he was very good at analyzing the system.
[00:14:04.084 --> 00:14:16.270]  He's got a tongue-in-cheek kind of response in The Prince where he outlies the quest for power and analyzes the way in which rulers use power to control populations, including through deceit.
[00:14:16.850 --> 00:14:17.451]  We're good.
[00:14:34.654 --> 00:14:40.079]  To bind down in chains under the Constitution, those who would pursue a tyranny.
[00:14:40.439 --> 00:14:47.365]  Anyway, we'll be back after this, but first, a look at the upcoming Infowars exclusive, Dave Mustaine Unchained.
[00:14:47.685 --> 00:14:48.366]  Here it is, folks.
[00:15:00.743 --> 00:15:06.425]  Something that everybody should aspire to do to make a contribution to this great nation for the good of everybody.
[00:15:07.225 --> 00:15:12.407]  And if you don't know the difference between what's right and what's wrong, just open your mind up.
[00:15:12.887 --> 00:15:16.069]  In-depth, uncensored, and unchanged.
[00:15:16.209 --> 00:15:19.870]  It's Dave Mustaine and the Infowars.com interview.
[00:15:20.110 --> 00:15:23.611]  I remember we had people die in Castle Donington.
[00:15:23.651 --> 00:15:25.352]  We had people die when we did Rock in Rio.
[00:15:28.900 --> 00:15:35.786]  I went out there, I showed up in a neck brace, you know, and everybody's there going like, oh my god, what's happening, what's happening?
[00:15:35.826 --> 00:15:40.350]  I said, well, so-and-so called me this and, you know, I just want to show him that he's that.
[00:15:40.390 --> 00:15:44.854]  I don't want to play with any satanic bands.
[00:15:44.894 --> 00:15:49.098]  I'll play with bands that have darkness in them because we all have a little darkness in us or we wouldn't be human.
[00:15:49.478 --> 00:15:56.064]  But guys that are confessed Satanists, you know, don't really have time for that.
[00:15:59.096 --> 00:16:02.657]  I can't take any credit for James' songwriting ability or his guitar playing.
[00:16:02.817 --> 00:16:06.419]  He blew my mind when he picked up the guitar the first time, because he used to just sing.
[00:16:06.619 --> 00:16:10.580]  And I did all the guitar playing, and in fact, I talked between every song, too.
[00:16:10.620 --> 00:16:16.322]  And when he picked up the guitar the first time, I remember watching him and I was like, oh my god, this guy's really, really good.
[00:16:16.682 --> 00:16:19.123]  And in fact, it almost intimidated me.
[00:16:21.817 --> 00:16:25.758]  You know, the road got smooth and my career's turned around.
[00:16:25.798 --> 00:16:28.198]  I've got my best friend back playing bass with me.
[00:16:28.278 --> 00:16:29.219]  My kids like me.
[00:16:29.239 --> 00:16:30.719]  You know, traffic's gotten better.
[00:16:30.739 --> 00:16:33.900]  You know, it's just a whole complete paradigm shift.
[00:16:33.920 --> 00:16:35.300]  The universe lays before you.
[00:16:35.620 --> 00:16:37.961]  It's a long way to the top if you want to rock and roll.
[00:16:37.981 --> 00:16:38.581]  That's right.
[00:16:50.646 --> 00:16:53.371]  Coming to The Infold War, Thursday, March 15th.
[00:17:33.280 --> 00:17:37.161]  And it's time to get out of the comfort zone, because these people aren't playing games.
[00:17:37.181 --> 00:17:38.341]  9-11 wants an inside job!
[00:17:38.361 --> 00:17:39.341]  9-11 wants an inside job!
[00:17:39.361 --> 00:17:40.622]  9-11 wants an inside job!
[00:17:40.642 --> 00:17:41.242]  9-11 wants an inside job!
[00:17:41.262 --> 00:17:42.202]  9-11 wants an inside job!
[00:17:42.222 --> 00:17:43.742]  9-11 wants an inside job!
[00:17:43.762 --> 00:17:44.582]  9-11 wants an inside job!
[00:17:44.602 --> 00:17:46.903]  9-11 wants an inside job!
[00:17:46.923 --> 00:17:47.923]  9-11 wants an inside job!
[00:17:47.943 --> 00:17:48.763]  9-11 wants an inside job!
[00:17:48.783 --> 00:17:49.583]  9-11 wants an inside job!
[00:17:49.603 --> 00:17:50.124]  9-11 wants an inside job!
[00:17:50.144 --> 00:17:50.604]  9-11 wants an inside job!
[00:17:50.624 --> 00:17:51.444]  9-11 wants an inside job!
[00:17:51.464 --> 00:17:52.024]  9-11 wants an inside job!
[00:17:52.044 --> 00:17:53.844]  9-11 wants an inside job!
[00:17:53.864 --> 00:17:54.725]  9-11 wants an inside job!
[00:17:54.745 --> 00:17:55.365]  9-11 wants an inside job!
[00:17:55.385 --> 00:17:56.125]  9-11 wants an inside job!
[00:17:56.145 --> 00:17:56.885]  9-11 wants an inside job!
[00:17:56.905 --> 00:17:57.725]  9-11 wants an inside job!
[00:17:57.745 --> 00:17:58.545]  9-11 wants an inside job!
[00:17:58.565 --> 00:17:59.546]  9-11 wants an inside job!
[00:17:59.566 --> 00:18:00.506]  9-11 wants an inside job!
[00:18:00.526 --> 00:18:01.286]  9-11 wants an inside job!
[00:18:01.306 --> 00:18:01.706]  9-11 wants
[00:18:19.844 --> 00:18:22.486]  And we are back from break on the InfoWars Nightly News.
[00:18:22.526 --> 00:18:29.291]  Now, of course, you just saw the promo teaser for Dave Mustaine, the exclusive interview Alex Jones conducted.
[00:18:29.811 --> 00:18:33.033]  You haven't seen Dave Mustaine talk about a lot of these topics before.
[00:18:33.354 --> 00:18:35.175]  That's going to be released coming up.
[00:18:35.555 --> 00:18:36.956]  What again is the date on that, guys?
[00:18:37.416 --> 00:18:39.958]  That's going to be on Thursday, March 15th.
[00:18:40.579 --> 00:18:43.141]  So look for that, but just a teaser there.
[00:18:43.561 --> 00:18:48.965]  Now, as we move on to the next segment of news, let's just keep in mind that we've been in a, quote,
[00:18:49.505 --> 00:18:52.108]  Parallel zone since 9-11.
[00:18:52.148 --> 00:18:56.234]  We've been in an alternate history, a twilight zone if you will.
[00:18:56.794 --> 00:18:59.678]  And so let me just bring this up from December 1, 2002.
[00:19:00.619 --> 00:19:08.309]  In Terror War, a second track for suspects, the Bush administration is developing a parallel legal system.
[00:19:08.749 --> 00:19:10.410]  And so you've got this entire alternate parallel system
[00:19:27.877 --> 00:19:32.280]  It's hinged on the ill definition of what the war is or who the enemy is.
[00:19:32.620 --> 00:19:37.023]  It's hinged on the idea that it could be transferred at any point to the general population.
[00:19:37.303 --> 00:19:40.366]  And that's why you see it developing in this way under Obama.
[00:19:40.726 --> 00:19:50.752]  And by the way, it's the classic tyranny practice by Stalin, Hitler, and countless other despots where they pretended to pass laws to go after certain enemies, then
[00:19:51.773 --> 00:20:12.752]  Really mention of that particular enemy just disappears as they persecute whoever their favorite enemy is or the general population or both and so you see more and more of that not only with Obama and company again saying they can go to war on behalf of the United Nations or other international bodies but you see more of this talk of how it's okay
[00:20:13.152 --> 00:20:13.653]  We're good to go.
[00:20:34.634 --> 00:20:35.274]  We're good to go.
[00:21:03.217 --> 00:21:06.079]  But what about targeting people on U.S.
[00:21:06.099 --> 00:21:06.379]  soil?
[00:21:07.219 --> 00:21:10.021]  Can they now kill American citizens inside the country?
[00:21:11.402 --> 00:21:15.384]  The head of the FBI, when asked about that on Capitol Hill yesterday, stumbled around on this.
[00:21:15.784 --> 00:21:17.105]  Does that only apply to a U.S.
[00:21:17.165 --> 00:21:19.466]  citizen that's overseas, or does that apply to a U.S.
[00:21:19.526 --> 00:21:20.867]  citizen that's here as well?
[00:21:20.907 --> 00:21:21.688]  I'd have to go back.
[00:21:23.669 --> 00:21:25.530]  I'm not certain whether that was addressed or not.
[00:21:28.339 --> 00:21:42.012]  And then you've got Paul Joseph Watson in his report commenting that a parallel legal system, the kind we talked about, is nothing more than a euphemism for dictatorship in which government claims it could create its own laws and murder anyone it likes without presenting any evidence.
[00:21:42.453 --> 00:21:48.719]  And so what you see here is they've passed the NDAA law allowing for the indefinite detention of citizens.
[00:21:49.019 --> 00:21:51.902]  But you've got Obama knowing it's a politically hot
[00:21:52.022 --> 00:21:52.982]  We're good to go.
[00:22:16.152 --> 00:22:20.517]  None of that has to do with the so-called law they put on paper and passed through the Congress.
[00:22:20.757 --> 00:22:21.738]  That is still on paper.
[00:22:21.798 --> 00:22:22.799]  It's still a tyranny.
[00:22:23.080 --> 00:22:35.613]  And even if Obama somehow was a good guy, even though he's a constitutional scholar and just lies and circumvents around the Constitution like all these other creatures, you still can't trust who's going to be in power in the future when you put these laws on the books.
[00:22:36.613 --> 00:22:37.734]  But it's not an accident.
[00:22:38.034 --> 00:22:57.966]  The same way you see Mueller skirting this issue and countless other figures over the years is just like that classic case, and I want to play this video now, from 2006 when you had Michael Hayden, who was simultaneously head of the CIA and the NSA, trying to tell a reporter the Fourth Amendment didn't include probable cause.
[00:22:58.286 --> 00:23:02.089]  When it's right there on paper, it's easy to read, but he claims he's the expert.
[00:23:02.369 --> 00:23:09.955]  He's the expert because he can, with a straight face, tell you it doesn't apply anymore, tell you it's not even in the language written, printed, on paper.
[00:23:10.255 --> 00:23:10.675]  Let's play it.
[00:23:14.258 --> 00:23:27.984]  The fourth amendment specifies that you must have probable cause to be able to do a search that does not violate an American's right against unlawful searches and seizures.
[00:23:28.344 --> 00:23:34.147]  The fourth amendment actually protects all of us against unreasonable search and seizure.
[00:23:34.347 --> 00:23:38.049]  But the measure is probable cause, I believe.
[00:23:38.069 --> 00:23:40.330]  The amendment says unreasonable search and seizure.
[00:23:40.690 --> 00:23:41.951]  But does it not say probable?
[00:23:42.944 --> 00:23:47.207]  The legal standard is probable cause.
[00:23:47.407 --> 00:23:52.951]  So again we're dealing with people with the audacity to say no it doesn't say probable cause when it clearly does.
[00:23:53.351 --> 00:24:00.356]  Now it's not just that the FBI director Robert Mueller couldn't talk about the NDAA provision and the ability
[00:24:00.896 --> 00:24:01.076]  I think?
[00:24:21.215 --> 00:24:22.075]  We're good to go.
[00:24:45.620 --> 00:24:46.221]  We're good to go.
[00:25:08.340 --> 00:25:12.826]  Or the FBI was working with the cleric and saw him as a friendly contact.
[00:25:13.167 --> 00:25:25.143]  Now we know because of what they've previously released that Al-Awlaki was dining at the Pentagon with top brass in the months after 9-11 despite the fact he knew all these hijackers and then he was allowed to go
[00:25:25.543 --> 00:25:42.748]  The FBI can't explain why, only so he could develop into the shadowy Al-Qaeda boogeyman, and so he could have connections to all their other false flag operative assets, and all the other smaller attacks, the Fort Hood shooting, the underwear bomber, Richard Reed the shoe bomber, all total bull.
[00:25:43.189 --> 00:25:44.229]  And so what do you have here?
[00:25:44.289 --> 00:25:46.610]  You have Mueller who wants to
[00:25:48.130 --> 00:26:10.278]  Not explained, but somehow still legitimized, the President's declared power to executively assassinate even American citizens, even on American soil, even as they let go the man they had to target by drone, al-Awlaki, and a 16-year-old son, by the way, in Yemen, under similar powers they were about to expand under NDAA.
[00:26:10.718 --> 00:26:16.760]  What an interesting connection, that they have a total intelligence operative asset
[00:26:17.500 --> 00:26:20.262]  Just paving the way for all this crazy legislation.
[00:26:20.402 --> 00:26:21.302]  And we're all lucky.
[00:26:21.642 --> 00:26:23.283]  Just look at how he dined at the Pentagon.
[00:26:23.624 --> 00:26:24.764]  Absolutely outrageous.
[00:26:25.184 --> 00:26:37.672]  Now here we have another story about LulzSec, and yet it's not that different because it's another aspect of the government's power grab under false flag powers, this time in the cybersecurity online realm.
[00:26:38.092 --> 00:26:43.678]  Kurt Nemo's report, LulzSec's FBI informant leader hinted at CIA connection.
[00:26:44.038 --> 00:26:55.791]  So you've got the leader of LulzSec now taken down, who turned out to be an FBI operative, kind of joking and wishy-washing with the London Guardian reporter on whether or not he was connected to the CIA.
[00:26:56.952 --> 00:26:57.392]  I don't know.
[00:27:18.237 --> 00:27:19.137]  That's a good question.
[00:27:37.745 --> 00:27:41.067]  Spawning a massive overhaul of Internet security, theoretically.
[00:27:41.087 --> 00:27:42.828]  And that's exactly what you see.
[00:27:43.148 --> 00:27:48.811]  You see a bunch of anonymous groups and little-seg groups who can rarely be pinned down to certain individuals.
[00:27:48.831 --> 00:27:53.474]  When they are pinned down, you've got leaders in those groups being FBI informants.
[00:27:53.954 --> 00:27:57.616]  And, of course, they're attacking government interests and top corporate interests.
[00:27:58.096 --> 00:28:04.720]  Only so General Keith Alexander, who's now the head of the NSA and of the Cybercom Security,
[00:28:05.780 --> 00:28:21.964]  Able to make the case that they need to be able to shut down the web, take out people unilaterally, pass the kind of act-a-type treaties, the type of SOPA and people legislation that has been fought against, but a battle which is surely not over because they want those powers over the internet.
[00:28:22.225 --> 00:28:22.945]  You can see it here.
[00:28:23.185 --> 00:28:23.665]  You can see it.
[00:28:25.014 --> 00:28:25.795]  That's all I'm going to say.
[00:28:26.656 --> 00:28:34.483]  In other news, the AP, the Associated Press, is reporting that Coke and Pepsi are having to make changes to avoid a cancer warning.
[00:28:34.683 --> 00:28:48.756]  There's been a new law in California banning a certain amount of the chemical 4-methylimidazole that is used in the soft drinks, and they're having to reformulate the caramel coloring
[00:28:49.096 --> 00:28:52.758]  So it doesn't contain the cancer-causing agent.
[00:28:52.938 --> 00:28:54.298]  Of course, they want to tell you it's safe.
[00:28:54.338 --> 00:28:54.919]  Don't worry.
[00:28:55.219 --> 00:29:12.446]  A representative from Coca-Cola, Diane Garza Cierlante, said the company directed its caramel suppliers to modify their manufacturing processes to reduce the levels of the chemical 4-methyllimidazole, which can be formed during the cooking process and as a result may be found in trace amount of whole foods.
[00:29:12.726 --> 00:29:13.227]  We're good to go.
[00:29:13.247 --> 00:29:13.788]  We're good to go.
[00:29:22.017 --> 00:29:35.249]  In other health news, you've got a mystery illness killing three family members, one of them an 81-year-old grandmother, the other two adult children who were looking after her, and a third child also sick.
[00:29:35.829 --> 00:29:44.297]  And they're saying it is a mix between a microbe deadly enough to kill the three of them and a flu infection.
[00:29:44.317 --> 00:29:45.098]  They're saying it's a
[00:29:45.638 --> 00:29:55.342]  What an H3 flu thing from the current flu season and they're basically warning this thing could spread but so far it hasn't and they don't know what's behind it.
[00:29:56.063 --> 00:30:09.789]  Meanwhile it's admittedly involved in a C. diff infection which are spread from hospitals and health care facilities particularly among those taking antibacterials and you see a cluster of articles there explaining how
[00:30:10.269 --> 00:30:26.857]  It's dangerous for the gut bacteria because it kills the healthy probiotics in there by, again, introducing the antibiotics, making you more susceptible to C. diff and other dangerous bacteria strains, and goes on to elaborate how they can complicate with stuff like the flu.
[00:30:27.597 --> 00:30:29.738]  They won't tell you that, I'm sure, on the mainstream.
[00:30:29.758 --> 00:30:33.479]  They'll just want to fear-monger about the flu itself and how you should take the shot.
[00:30:34.139 --> 00:30:41.602]  Anyway, we're going to be back with a whole lot more health news, particularly on vaccines, with Dr. Mayor Eisenstein.
[00:30:41.922 --> 00:30:49.885]  But first, we're going to go to an investigative report Darren McBreen did, also an on-the-street report he did, on the outbreaks.
[00:30:49.925 --> 00:30:50.485]  Let's check it out.
[00:30:53.462 --> 00:31:05.070]  Government-funded universities across the western world are developing massive warehouses full of bioweapons that they say is for biodefense under the BioShield program.
[00:31:05.550 --> 00:31:20.461]  Airborne Ebola, smallpox, bubonic plague, bird flu, and the H1N1 superbug are being weaponized and kept in moderately secured facilities like at the Galveston National Laboratory on the campus of the University of Texas.
[00:31:21.101 --> 00:31:32.350]  Now this may be one of the biggest threats we now face, as the risk of a deadly virus escaping one of these laboratories and starting a global pandemic, well it is a clear and present danger.
[00:31:33.467 --> 00:31:35.169]  Weaponized airborne Ebola.
[00:31:35.389 --> 00:31:45.600]  Super weaponized viruses and bacteria that kill over 90% 9 out of 10 people on your street dead.
[00:31:45.940 --> 00:31:50.966]  The National Research Council, which is an arm of the National Academy of Sciences,
[00:31:51.286 --> 00:32:02.191]  released a report concerning potential hazardous risk associated with the new multi-million dollar infectious disease research lab currently under construction in Kansas.
[00:32:02.451 --> 00:32:06.213]  It's located only 120 miles west of Kansas City.
