[00:00:22.839 --> 00:00:24.646]  It's Thursday, September 27.
[00:02:26.348 --> 00:02:31.771]  They can also, under certain circumstances, cause epileptic seizures and even death.
[00:02:32.532 --> 00:02:45.980]  And the long-term problems which are caused by these devices include damage to brain tissue, cardiovascular and central nervous system damage, as well as a whole plethora of other goodies.
[00:02:46.580 --> 00:02:48.962]  So the cover in this story is basically that
[00:02:50.443 --> 00:02:58.429]  The deployment of these systems throughout America, and that's their word, throughout the whole country, is simply for, you know, communication during natural disasters.
[00:02:58.749 --> 00:03:15.583]  But the only time they've actually been used domestically inside America, I mean, these are routinely used to, you know, hunt down Somali pirates or insurgents in Afghanistan, but the only time they've been used domestically is to crush the First Amendment.
[00:03:16.623 --> 00:03:32.871]  In Pittsburgh, which was the first time that the LRAD was used in America, this is back in 2009, the cops actually rolled around the residential neighborhoods of people who weren't even involved in the G20 protest, basically just testing it out and torturing them with it.
[00:03:32.931 --> 00:03:35.033]  We've got the photos of that on Infowars.com.
[00:03:35.933 --> 00:03:39.635]  Because Rob Dew was there, he was covering it as an InfoWars.com reporter.
[00:03:40.335 --> 00:03:52.502]  And then also, in 2009, the Sheriff's Office in San Diego actually got the police to roll out one of these LRADs to be used against people attending a town hall meeting.
[00:03:52.802 --> 00:03:54.163]  Wasn't even a demonstration.
[00:03:54.203 --> 00:03:58.106]  They were just going to a town hall meeting to air their views.
[00:03:58.146 --> 00:04:07.373]  This, of course, was during the Tea Party uprising back in 2009 with all those scenes of scuffles and everything, raised voices, anger, all these town hall meetings.
[00:04:07.693 --> 00:04:12.657]  So they actually rolled out an LRAD torture device for a town hall meeting in San Diego.
[00:04:12.957 --> 00:04:16.020]  But now they're telling us it's for communication purposes.
[00:04:16.060 --> 00:04:17.481]  They're just going to put them throughout the country.
[00:04:18.624 --> 00:04:19.986]  So it's more preparation.
[00:04:20.366 --> 00:04:32.302]  Preparation for the civil unrest, which going by the amount of bullets that the Department of Homeland Security has purchased, is definitely coming and it's going to be very fruity indeed.
[00:04:32.342 --> 00:04:35.206]  Of course we've got the re-education camps
[00:04:35.586 --> 00:04:43.292]  The Army Civil Disturbance Program, which talks about going in and shooting American protesters, political dissidents.
[00:04:43.752 --> 00:04:45.774]  We've got the Homeland Security Patrols.
[00:04:45.794 --> 00:04:51.679]  We've got the special headgear being developed for US troops, again, for, quote, Homeland Security Patrols.
[00:04:52.239 --> 00:04:56.202]  And the biggest preppers out there are the government and the Army.
[00:04:56.642 --> 00:05:01.026]  And they're prepping for domestic disorder on a grand scale.
[00:05:01.346 --> 00:05:03.608]  And this LRAD story ties right into that.
[00:05:05.316 --> 00:05:09.317]  Bizarre TSA freeze security drill caught on camera!
[00:05:09.437 --> 00:05:13.339]  This is another InfoWars.com story picked up by the Drudge Report today.
[00:05:13.859 --> 00:05:21.601]  The TSA's bizarre new policy where it orders travellers who have already passed through security to freeze on command has been caught on camera.
[00:05:22.081 --> 00:05:32.765]  With a clip illustrating once more how the federal agency has implemented a series of ludicrous policies that seemingly have no other purpose than to act as an obedience test for the travelling public.
[00:05:32.805 --> 00:05:33.605]  Let's go to the clip.
[00:05:39.462 --> 00:05:40.443]  Stay right where you are.
[00:05:41.704 --> 00:05:42.565]  Stay right there.
[00:05:44.606 --> 00:05:48.649]  Stay right there.
[00:05:48.709 --> 00:05:56.616]  So there you see the last 20 seconds of this absurd TSA drill.
[00:06:02.185 --> 00:06:04.186]  Basically, they yell at everybody to freeze.
[00:06:04.246 --> 00:06:04.986]  Everybody does.
[00:06:05.006 --> 00:06:07.867]  Apart from one guy who's strolling through the airport.
[00:06:07.887 --> 00:06:10.428]  The TSA goon says, stop right where you are.
[00:06:11.188 --> 00:06:13.429]  And this is after they've already passed through security.
[00:06:13.469 --> 00:06:16.610]  This is supposedly the secure area of the airport.
[00:06:17.870 --> 00:06:19.871]  And they're basically stood there like statues.
[00:06:19.911 --> 00:06:23.092]  You know, like children playing some warped version of Simon Says.
[00:06:23.813 --> 00:06:27.414]  Until the uniformed goon tells them it's okay to move again.
[00:06:28.308 --> 00:06:33.510]  And it's all completely pointless, as everything is with the TSA, if you look at it from their perspective.
[00:06:33.970 --> 00:06:40.812]  Do you know, do you really think a terrorist is going to want to make himself stand out from the crowd by not freezing?
[00:06:41.253 --> 00:06:43.553]  No, he's going to freeze too, like everybody else.
[00:06:43.613 --> 00:06:48.515]  So, from that security perspective, it's completely moronic, like everything they do.
[00:06:49.555 --> 00:06:56.258]  And though the TSA has actually tried to avoid talking about it, they're remiss to go on the public record about it.
[00:06:57.492 --> 00:07:01.593]  It actually came out through different questions by mainly a New York Times writer.
[00:07:02.454 --> 00:07:06.915]  Its codename is Bravo Sierra, or BS for short, isn't that ironic?
[00:07:08.136 --> 00:07:19.900]  And they basically admitted to New York Times writer Joe Sharkey that, this is a quote, passengers are not required to freeze in place like statues, from TSA spokeswoman Kristen Lee.
[00:07:20.520 --> 00:07:25.082]  So they have no power to enforce it and it serves no rational purpose whatsoever.
[00:07:25.942 --> 00:07:43.653]  Except when you understand that everything the TSA does, from punishing those who opt out of the naked body scanner with more invasive broke downs, punishing reporters who speak out against the TSA, you know, testing drinks inside the airport after passengers have already passed through security.
[00:07:44.194 --> 00:07:47.556]  Everything they do is about obedience training.
[00:07:48.276 --> 00:07:51.798]  They're breaking Americans in, you know, like you would with a horse.
[00:07:52.919 --> 00:07:55.140]  It's about how much people will put up with.
[00:07:55.540 --> 00:07:59.802]  This is about making you obey, no matter how bizarre the order is.
[00:07:59.822 --> 00:08:14.688]  And in fact our own InfoWars reporters, Aaron Dykes and Rob Dew, experienced this very same ridiculous policy at first hand last year, I think it was earlier this year actually, when they were travelling through Austin Bergstrom Airport.
[00:08:14.708 --> 00:08:15.548]  So let's roll the clip.
[00:08:19.144 --> 00:08:19.704]  From where I am, over here.
[00:08:19.724 --> 00:08:20.705]  So the safest place for you to be is on this side.
[00:08:20.725 --> 00:08:20.945]  Right, ma'am?
[00:08:20.965 --> 00:08:21.265]  Makes no sense.
[00:08:21.285 --> 00:08:22.026]  Just a little bit of patience.
[00:08:22.086 --> 00:08:24.387]  I understand you have places to go, but let's make sure that you can... You're a safe piece of junk.
[00:08:24.407 --> 00:08:24.647]  Pardon me?
[00:08:24.667 --> 00:08:25.288]  You're a safe piece of junk, sir.
[00:08:47.360 --> 00:08:48.741]  I don't know.
[00:08:48.821 --> 00:08:49.701]  I don't know.
[00:09:09.568 --> 00:09:14.270]  Of course, nothing actually going on, just freaking out as Austin just put in body scanners.
[00:09:14.950 --> 00:09:16.251]  So it's kind of a new level.
[00:09:20.813 --> 00:09:25.655]  So basically if we put up with this, then we'll start to see Americans put up with everything.
[00:09:25.975 --> 00:09:36.440]  I mean, I did a satirical piece earlier in the week based off a South Park episode where the TSA is conducting cavity searches at public restrooms in fast food restaurants.
[00:09:37.060 --> 00:09:38.541]  And some people thought it was real.
[00:09:39.778 --> 00:09:50.648]  It's got so bad with the TSA that people can actually entertain the plausibility that TSA goons would carry out anal probes in restaurants.
[00:09:51.109 --> 00:09:52.430]  That's how bad it's got.
[00:09:53.911 --> 00:10:03.300]  And so for this reason, amongst many others, we're launching our exciting new campaign, Opt Out and Film Week, which is going to run during Thanksgiving week, November 19 to 26.
[00:10:05.680 --> 00:10:12.302]  And it's basically about opting out of the chat downs, the drinks test, the ridiculous freeze policy, the body scanners, all of it.
[00:10:12.862 --> 00:10:16.604]  Because the TSA admits that nobody's forced to do it.
[00:10:16.764 --> 00:10:17.744]  Nobody has to do it.
[00:10:17.764 --> 00:10:19.985]  They just do it because it's obedience training.
[00:10:20.465 --> 00:10:23.166]  It's dog training, it's horse training, whatever you want to call it.
[00:10:24.186 --> 00:10:26.727]  So it's about opting out and filming the grope downs.
[00:10:27.167 --> 00:10:33.770]  You know, stop being victims of obedience slave training and reclaim your right to privacy and your First Amendment.
[00:10:34.710 --> 00:10:38.212]  Because the TSA again admits on its own website it's not illegal to film them.
[00:10:38.672 --> 00:10:44.856]  So let's get in their faces, shine the light of exposure on how these cockroaches behave on a daily basis.
[00:10:46.097 --> 00:10:56.403]  And the answer to it all is not just don't fly, which is what a lot of people say over and over again every time we do a TSA piece, because the TSA are expanding everywhere.
[00:10:56.643 --> 00:11:02.267]  Highways, bus stations, political events, music concerts, even high school prom nights.
[00:11:03.027 --> 00:11:07.628]  So you don't just hand over your right to travel freely, you know, your right to mobility.
[00:11:07.668 --> 00:11:08.589]  That's giving in.
[00:11:08.669 --> 00:11:09.729]  That's not victory.
[00:11:09.969 --> 00:11:11.149]  That's giving them what they want.
[00:11:11.490 --> 00:11:13.290]  The answer is not just to stop flying.
[00:11:13.330 --> 00:11:22.633]  The answer is to stand up, get back in their faces, opt out, civil disobedience, and actually film what's going on with the TSA takeover.
[00:11:22.673 --> 00:11:26.334]  So you can get more information about that campaign at infowars.com.
[00:11:27.475 --> 00:11:28.735]  More TSA news now.
[00:11:29.196 --> 00:11:33.797]  TSA goon caught stealing iPad by ABC News blames his wife.
[00:11:34.358 --> 00:11:45.061]  When ABC News decided to investigate reported spate of thefts by TSA officers of passenger belongings, its news team purposefully left an iPad behind at a checkpoint in Orlando Airport.
[00:11:45.762 --> 00:11:53.845]  Barely two hours later, the device was tracked to the home of a TSA screener, who then blamed his wife for the theft when confronted.
[00:11:54.747 --> 00:11:58.888]  And so, this video, they basically go to the guy's home, they confront him.
[00:11:59.628 --> 00:12:02.329]  He lies, claims his wife brought the iPad home.
[00:12:03.130 --> 00:12:07.451]  They tell him they've got footage of him stealing the iPad on a security tape.
[00:12:07.891 --> 00:12:13.853]  They've installed a tracking app on the iPad, that's how they're able to locate it to his house.
[00:12:14.513 --> 00:12:17.394]  He basically just shuts the door in their face, he's being caught.
[00:12:19.235 --> 00:12:22.758]  And again, it all goes back to the point that TSA has nothing to do with security.
[00:12:23.078 --> 00:12:32.046]  TSA is actually harmful to real security because it's admitted that they don't conduct background checks on employees.
[00:12:32.686 --> 00:12:43.556]  I mean, this is why you have such a large contingent of TSA employees who apply for the job, simply because it puts them in the position of being able to grope people and steal things.
[00:12:45.100 --> 00:12:47.242]  They deliberately hire paedophiles and criminals.
[00:12:47.262 --> 00:12:57.153]  I mean, that's why you get constant stories of TSA goons, you know, stealing laptops, stealing cash, stealing jewellery, not to mention the sexual harassment and assault.
[00:12:58.154 --> 00:13:01.077]  Because almost every week there's a story like this.
[00:13:02.017 --> 00:13:09.740]  Almost every week there's a story about, you know, a TSA agent being a child molester, or being, you know, caught having a stash of kiddie porn.
[00:13:10.521 --> 00:13:16.303]  And these are the people that the federal government is empowering to man Checkpoint USA.
[00:13:17.263 --> 00:13:26.987]  Highways, musical concerts, political events, they were at the Mitt Romney event, the Paul Ryan event, they were at the RNC, the DNC, you know, high school prom nights.
[00:13:27.808 --> 00:13:28.488]  Where's it gonna end?
[00:13:29.707 --> 00:13:35.251]  You can't just get... not flying is not a solution when they're out at every public event.
[00:13:35.331 --> 00:13:36.252]  It's not a solution.
[00:13:37.352 --> 00:13:58.928]  And so this is why you've got to stand up in unison, you've got to counter the obedience training, you've got to counter the folks that they hire because they've got no proper practice for background checks, and you've got to get on board with this opt-out and film campaign that we've got going because there's a chance that the Republicans could defund this after November.
[00:13:59.628 --> 00:14:05.091]  They've already got major airports kicking out TSA screeners, replacing them with private security.
[00:14:06.172 --> 00:14:10.075]  And this is exactly what John Meeker said, the chair of the House Transportation Committee.
[00:14:10.315 --> 00:14:11.796]  This is the tip of the iceberg.
[00:14:11.836 --> 00:14:15.018]  It's an outrage to the public, outrage to the aviation system.
[00:14:15.658 --> 00:14:35.356]  So the Republicans, whether they follow through on it, are making noises about defunding the TSA, which is why this campaign arrives at the perfect time for everybody to get on board and try and bash that final nail in the coffin of this loathed federal agency that's just come to represent everything that's gone rotten about America since 9-11.
[00:14:37.512 --> 00:14:42.081]  Obama voter says, vote for Obama because he gives a free phone.
[00:14:42.782 --> 00:14:45.968]  And this clip pretty much speaks for itself.
[00:14:46.088 --> 00:14:47.150]  So let's roll the clip.
[00:14:48.004 --> 00:14:48.444]  Obama!
[00:14:48.504 --> 00:14:49.625]  You got Obama phone?
[00:14:49.665 --> 00:14:50.025]  Yes!
[00:14:50.145 --> 00:14:53.346]  Everybody in Cleveland, low minority, got Obama phone!
[00:14:53.606 --> 00:14:55.707]  Keep Obama in President, you know?
[00:14:56.187 --> 00:14:57.788]  He gave us a phone!
[00:14:57.808 --> 00:14:58.808]  He gave you a phone?
[00:14:58.828 --> 00:14:59.448]  He's gonna do more!
[00:14:59.849 --> 00:15:01.129]  How'd he give you a phone?
[00:15:01.189 --> 00:15:06.051]  You're on full stamps, you're on Social Security, you got low income, you disability!
[00:15:06.091 --> 00:15:07.231]  I have a question.
[00:15:07.471 --> 00:15:08.692]  Okay, what's wrong with Romney again?
[00:15:08.992 --> 00:15:09.452]  Romney?
[00:15:09.732 --> 00:15:10.373]  He sucks!
[00:15:10.473 --> 00:15:10.753]  He has!
[00:15:13.612 --> 00:15:24.220]  And of course, these were the same people who told us back in 2008 they were overjoyed to tell us that Obama was going to pay their mortgage and fill up their cars with gas.
[00:15:24.780 --> 00:15:25.661]  Remember that clip?
[00:15:25.701 --> 00:15:26.582]  Let's go to it again.
[00:15:26.602 --> 00:15:28.903]  I never thought this day would ever happen.
[00:15:28.943 --> 00:15:30.965]  I won't have to worry about putting gas in my car.
[00:15:31.045 --> 00:15:33.006]  I won't have to worry about paying my mortgage.
[00:15:33.327 --> 00:15:36.129]  You know, if I help him, he's going to help me.
[00:15:36.649 --> 00:15:37.550]  Stop complaining.
[00:15:38.030 --> 00:15:38.891]  Stop grumbling.
[00:15:39.391 --> 00:15:40.252]  Stop crying.
[00:15:41.345 --> 00:15:46.486]  Now this is one of those stories, one of those videos that, you know, after you've managed to stop yourself laughing...
[00:15:47.608 --> 00:15:53.571]  The awful truth sinks in, which is that this is the face of dependency on big government.
[00:15:53.851 --> 00:16:04.936]  This is the 47% that's being talked about who will, you know, just vote for anybody, vote for whoever gives them the most free stuff at taxpayer expense.
[00:16:05.676 --> 00:16:07.898]  And this is a confirmed program.
[00:16:08.538 --> 00:16:12.520]  People on food stamps, or fools stamps as this woman calls them,
[00:16:14.181 --> 00:16:20.425]  People on benefits, they can actually go to the government and not only get a free phone, but also get, you know, free minutes, free call packages.
[00:16:21.046 --> 00:16:22.006]  And who foots the bill?
[00:16:22.026 --> 00:16:25.088]  Of course, the hard-working, tax-paying American citizen.
[00:16:25.629 --> 00:16:32.494]  And it's a shining example of how dependency is used to exploit dumb people for their votes.
[00:16:33.194 --> 00:16:37.617]  Because under Obama, the poor have only got poorer.
[00:16:38.037 --> 00:16:39.639]  Poverty levels have increased.
[00:16:40.723 --> 00:16:51.435]  Obama didn't pay for your mortgage, he bailed out the mortgage companies, the predatory lenders, and then the Federal Reserve ordered them not to lend.
[00:16:52.236 --> 00:16:53.697]  He's not paying your mortgage.
[00:16:54.638 --> 00:16:56.440]  He didn't pay for your gas, did he?
[00:16:56.460 --> 00:17:00.284]  He paid for General Motors to ship your jobs over to China.
[00:17:01.311 --> 00:17:16.669]  He allowed Ben Bernanke to engage in QE infinity, driving up gasoline prices, driving down the value of the dollar, and the only people benefiting from Obama and the Federal Reserve's economic holocaust are the super-rich.
[00:17:17.229 --> 00:17:19.652]  The super-rich who are invested in the stock market.
[00:17:20.546 --> 00:17:25.172]  And the gap between rich and poor has never been greater than under Obama.
[00:17:26.033 --> 00:17:34.203]  The fraction of growth for the top 1% grew at 95% under Obama, compared to 65% under Bush.
[00:17:35.024 --> 00:17:37.346]  Obama has completely screwed the poor.
[00:17:38.427 --> 00:17:42.250]  But forget all that, Obama gives free phone, Obama gives free phone.
[00:17:42.951 --> 00:17:44.592]  That's what it's all about apparently.
[00:17:44.972 --> 00:17:55.941]  While their entire economic future is being sold down the river, these people have allowed their votes to be purchased for the cost of a free phone and some free texts and call minutes.
[00:17:57.583 --> 00:18:05.209]  So as I said, once you get over the hilarity of the video, the sober reality of what it represents really starts to hit home.
[00:18:06.817 --> 00:18:07.057]  End the Fed!
[00:18:07.077 --> 00:18:07.317]  End the Fed!
[00:18:07.337 --> 00:18:07.978]  End the Fed!
[00:18:08.058 --> 00:18:08.799]  End the Fed!
[00:18:09.179 --> 00:18:09.560]  End the Fed!
[00:18:09.580 --> 00:18:09.900]  End the Fed!
[00:18:31.846 --> 00:18:32.386]  As the U.S.
[00:18:32.426 --> 00:18:38.631]  economy continues to falter, a growing number of Americans are primarily blaming the Federal Reserve for the downturn.
[00:18:39.191 --> 00:18:50.079]  Recently, thousands of Americans gathered at various Federal Reserve locations nationwide to draw attention to this organization's polarizing practices as part of the National End the Fed Rally.
[00:18:50.659 --> 00:19:01.367]  In San Antonio, over 50 protesters participated in the event, which included a half-mile march from the Federal Reserve building to the Alamo, where literature was then handed out to members of the public.
[00:19:02.244 --> 00:19:15.166]  Well, the Federal Reserve has devalued the dollar 95% since its birth in 1913, and it continues to print money out thin air, not backing it by any metal, like gold or silver, like it should be, and that continues to devalue our dollar.
[00:19:15.946 --> 00:19:28.868]  A partial audit of the Fed in July of 2011 showed $16 trillion in banker bailouts across the world, and the American people never got to vote on this, and this was only a partial audit of the Federal Reserve.
[00:19:29.529 --> 00:19:31.069]  I wonder what a full one would turn out.
[00:19:31.989 --> 00:19:37.573]  President Woodrow Wilson stated that creating the Federal Reserve was a decision he greatly regretted.
[00:19:37.953 --> 00:19:42.657]  Currently, Ron Paul's Audit the Fed bill is in the Senate and has over 30 co-sponsors.
[00:19:43.037 --> 00:19:52.904]  However, Senate Majority Leader Harry Reid has surprisingly stated he will not put the bill up for a vote despite the fact that in past years he has heavily criticized the Federal Reserve.
[00:19:53.484 --> 00:19:56.446]  President Barack Obama rarely, if ever, talks about this issue.
[00:19:56.786 --> 00:20:00.408]  However, Mitt Romney has stated he does support the Audit the Fed bill.
[00:20:00.868 --> 00:20:06.531]  Now, do you think the Republicans will keep their promise to Audit the Fed and reintroduce the gold standard if elected?
[00:20:07.051 --> 00:20:11.674]  Seeing what they did in Tampa and what they did at our state convention, that they're not going to keep any promises.
[00:20:12.234 --> 00:20:16.857]  So, if they somehow miraculously do get elected as president, they will not keep that promise.
[00:20:16.917 --> 00:20:20.779]  I mean, if you look at somebody like our governor, who's a Republican, Rick Perry,
[00:20:21.599 --> 00:20:22.781]  He says one thing and does another.
[00:20:22.801 --> 00:20:28.088]  I mean, he may say Constitutional Liberty in a speech, but when it comes down to TSA and touching my daughter, he's all for it.
[00:20:28.689 --> 00:20:33.937]  So I doubt, I highly doubt they will get elected, and I know for a fact they will not keep that promise.
[00:20:34.718 --> 00:20:37.402]  Now, what are your thoughts on the fact that the media doesn't cover this event?
[00:20:38.497 --> 00:21:07.877]  I think it's not surprising but you know we did have coverage 2008-2009 we had local media out here for in the Fed rallies and they really did a good job of portraying us and then around that time the audit the Fed bill actually does pass the house and the media hasn't really come out since the local media hasn't really covered it so I think because you know the public is starting to make a difference is starting to make a headway and getting the Federal Reserve audited and possibly end it so I don't think they really want to help that grassroots movement grow any more than it already is
[00:21:08.985 --> 00:21:14.967]  A Rasmussen poll taken earlier this year revealed that 50% of those questioned are confident in the U.S.
[00:21:15.027 --> 00:21:18.888]  banking system, while 47% lack confidence in the system.
[00:21:19.608 --> 00:21:27.710]  Another poll taken earlier this year revealed, however, that 58% of Americans believe the Fed will not be able to keep inflation under control.
[00:21:28.251 --> 00:21:32.632]  According to protesters, it is important that citizens continue drawing attention to this cause.
[00:21:33.052 --> 00:21:41.735]  And then also the process of educating the public and informing the public when the Federal Reserve really is, is really beneficial because then it just adds more people who are going to put the pressure on the government.
[00:21:42.055 --> 00:21:45.816]  And you know, it's a process the New World Order uses, pressure from above and pressure from below.
[00:21:45.836 --> 00:21:51.918]  And we've got to use those tactics in our move to end the New World Order, to fight back this Illuminati banker scheme.
[00:21:51.959 --> 00:21:54.419]  We have to use pressure from above and pressure from below.
[00:21:54.699 --> 00:22:01.322]  And I think by understanding that we can make a difference and defeat this New World Order and cut it at the root with the Federal Reserve.
[00:22:02.362 --> 00:22:04.023]  Always fighting on behalf of liberty.
[00:22:04.323 --> 00:22:07.025]  For InfoWars Nightly News, I'm David Ortiz.
[00:22:09.686 --> 00:22:13.608]  Pennsylvania high school band commemorates Russian Revolution.
[00:22:13.768 --> 00:22:15.089]  Citizens outraged.
[00:22:15.189 --> 00:22:16.490]  This is out The New American.
[00:22:16.990 --> 00:22:30.017]  Pennsylvania's New Oxford High School marching band stirred controversy earlier this week after a halftime show that commemorated the Russian Revolution included olive military-style uniforms and giant hammers and sickles.
[00:22:30.717 --> 00:22:36.178]  There was an immediate public outcry against the performance, prompting the superintendent to issue an apology for the display.
[00:22:36.618 --> 00:22:41.340]  Additionally, the band has reportedly made significant changes to the halftime show.
[00:22:41.760 --> 00:22:43.020]  No more Hammers and Sickles.
[00:22:43.760 --> 00:22:46.701]  The theme for the New Oxford High School marching band was St.
[00:22:46.781 --> 00:22:48.642]  Petersburg 1917.
[00:22:48.982 --> 00:22:52.563]  The band's performance featured red flags, military uniforms and giant Hammers and Sickles.
[00:22:53.283 --> 00:22:57.384]  An angry parent notified Fox News to alert them to the school's antics.
[00:22:57.464 --> 00:22:58.404]  The parent, who asked
[00:22:58.664 --> 00:23:05.646]  Not to be identified, attended a football game at the school with his children on September 14th and was appalled by the performance he witnessed.
[00:23:06.086 --> 00:23:10.028]  He told Fox News, it was Glee meets the Russian Revolution.
[00:23:10.268 --> 00:23:11.068]  I'm not kidding you.
[00:23:11.348 --> 00:23:13.269]  They had giant hammers and sickles.
[00:23:13.689 --> 00:23:14.889]  They were waving them around.
[00:23:15.189 --> 00:23:16.630]  Who thought this was a good idea?
[00:23:18.976 --> 00:23:40.954]  So you've got to ask serious questions about who is running the education system, who's running these schools, when they think it's okay to have a ceremony with all the kids involved, dressed up in Russian military uniforms, celebrating Russian Communism, which was responsible for the deaths of over 100 million people.
[00:23:41.755 --> 00:23:43.977]  And they're out parading and celebrating the fact.
[00:23:45.137 --> 00:23:56.760]  And remember the videos we featured a couple of years back with the school children being forced to sing songs worshipping Obama as some, you know, Christ-returned figure.
[00:23:57.919 --> 00:24:21.434]  Um, but then kids who go to school on, you know, Cinco de Mayo or another one of these foreign holidays wearing a t-shirt with the US flag on it or the Constitution on it, you know, they're intimidated, they're treated like scum, but having the kids march around communist military garb in a parade celebrating communism, that's perfectly okay.
[00:24:23.001 --> 00:24:34.690]  And it's all about this process of, you know, everything that's good about America, what America is supposed to represent, is made to appear dirty while they exalt Marxism and Communism, etc.
[00:24:35.691 --> 00:24:37.252]  Just look at the impact it's had.
[00:24:37.292 --> 00:24:44.017]  I mean, the last study showed that in just a four-year period, there was a 36% rise in homeschooling.
[00:24:46.559 --> 00:24:49.841]  Just over the course of four years, a 36% rise.
[00:24:49.881 --> 00:24:51.782]  That was from 2003 to 2007.
[00:24:52.322 --> 00:25:08.250]  So parents are pulling their kids out of these government indoctrination centres, and the homeschool kids are proving their decision to be correct, because again, all the studies show they're smarter, they're better at math, they're better at reading, they routinely win the spelling bees.
[00:25:08.671 --> 00:25:08.991]  So again,
[00:25:10.393 --> 00:25:23.021]  School in Pennsylvania making kids march around in Russian military communist garb celebrating a political system that in the past 100 years alone has killed 100 million people.
[00:25:23.741 --> 00:25:26.143]  Another great reason to homeschool your kids.
[00:25:27.343 --> 00:25:35.748]  Now we're going to go to break but when we come back Alex Jones talks to Ryan Toohey about corruption and rigging in modern sports in light of the latest scandal.
[00:25:35.788 --> 00:25:36.449]  Stay tuned.
[00:25:41.443 --> 00:25:46.425]  Hello, this is Linda West with a special report for InfoWars.com.
[00:25:47.266 --> 00:25:52.508]  A new DVD has come out by GMO expert and scholar Jeffrey Smith.
[00:25:53.229 --> 00:25:54.910]  It's entitled Genetic Roulette.
[00:25:56.210 --> 00:26:05.855]  It exposes the shockingly unbelievable connection between the proliferation of GMOs by huge agri-corporations
[00:26:06.638 --> 00:26:09.820]  And a huge increase in disease in America.
[00:26:10.120 --> 00:26:12.082]  Things we're seeing today aren't normal.
[00:26:13.703 --> 00:26:16.224]  We didn't see them 30 years ago or 50 years ago.
[00:26:16.244 --> 00:26:19.166]  Illnesses that weren't epidemic before are now epidemic.
[00:26:19.646 --> 00:26:34.416]  With this new comprehensive information, we can finally solve the mystery between the rising disease, cancer, allergies, Alzheimer's, premature aging, and even autism.
[00:26:38.829 --> 00:26:50.254]  I'm concerned about all the health issues that I'm seeing, but the one that I am most alarmed about is autistic spectrum, which is literally skyrocketed.
[00:26:50.774 --> 00:26:57.137]  We can't say for sure that GMOs have anything to do with autism, but we can say for sure that it doesn't.
[00:26:57.970 --> 00:27:11.501]  In fact, there's been an increase in autism since GMOs were introduced, and animals that eat GMOs, both in laboratory and in livestock situations, have shown some tell-tale signs that some practitioners say are linked with autism.
[00:27:11.801 --> 00:27:24.652]  Jeffrey Smith has done the scientific research that finally reveals the truth about GMOs that Big Agricorps and the government has tried so hard to cover up.
[00:27:25.913 --> 00:27:27.354]  This food conspiracy
[00:27:28.280 --> 00:27:31.729]  is making them billionaires and us sick.
[00:27:32.287 --> 00:27:37.230]  He said he lost about 90% of his miniature steers.
[00:27:37.770 --> 00:27:45.275]  What the problem was is I guess he said that they weren't able to process the food correctly and they would bloat up and die from it.
[00:27:45.555 --> 00:27:48.577]  Now that we have the real information, we can make changes.
[00:27:48.937 --> 00:27:57.062]  Now we know exactly why diseases are on the rise, surgeries are on the rise, and so many small minds are being stolen from autism.
[00:27:57.302 --> 00:28:00.304]  I know today we all have a lot on our plate.
[00:28:01.547 --> 00:28:04.833]  But what's on our plate today is killing us.
[00:28:05.875 --> 00:28:10.343]  This is Linda West wishing your family a happy
