[00:00:21.673 --> 00:00:26.738]  Hello and welcome to InfoWars Nightly News on this February 23rd edition.
[00:03:38.743 --> 00:03:48.713]  So they can keep their partners in the pharmaceutical industry, you know, keep that slush fund going with the partnership with the CDC, which is what they do on a routine basis.
[00:03:48.793 --> 00:03:55.840]  So now, again, they're attacking raw milk because they're afraid of Americans reclaiming their food freedom.
[00:03:57.153 --> 00:04:01.434]  Fed sick IRS attack dog on anti-war activist Cindy Sheehan.
[00:04:01.974 --> 00:04:08.615]  The feds are attempting to silence anti-war activist Cindy Sheehan by suing her for what it says are back taxes she owes the government.
[00:04:08.996 --> 00:04:16.537]  In a federal filing in Sacramento, an IRS bureaucrat claimed that Sheehan had refused to provide financial information for the 2000 and 2006, 2005-2006 tax years.
[00:04:20.738 --> 00:04:29.484]  On Tuesday, Cindy wrote on her blog that she learned of the government's case against her when a reporter told her about it at a cafe in Vassaville, California.
[00:04:30.185 --> 00:04:41.673]  She had talked with the reporter on camera but, quote, I did not tell him anything that I haven't been publicly and loudly saying since my son was killed in this bloody empire's illegal and immoral war in Iraq.
[00:04:42.273 --> 00:04:46.934]  I made a moral decision to refuse to fund the Empire's crimes, tortures and wars.
[00:04:47.254 --> 00:04:51.295]  I have not been hiding from anybody and I'm fully accessible and easy to find.
[00:04:51.996 --> 00:04:52.816]  Sheehan writes.
[00:04:53.356 --> 00:05:00.978]  And of course, Sheehan is one of the few prominent leftists who railed against Bush during the height of the Iraq invasion.
[00:05:02.031 --> 00:05:16.540]  and the aftermath, but is still vocal today in her admonition of Barack Obama, the so-called Nobel Peace Laureate, and the IRS, who she categorizes as a state-sponsored terrorist organization.
[00:05:17.641 --> 00:05:19.943]  They left her alone during the Bush years when she
[00:05:21.223 --> 00:05:38.286]  Was on the record as publicly withholding taxes as a protest against the wars, but now that the majority of the left has gone to sleep as Obama intensifies the invasions, occupations and drone attacks, only now has the system decided to take on Sheehan.
[00:05:38.366 --> 00:05:47.968]  Presumably acting under the assumption that she won't be able to count on enjoying as much publicity as when she was at the height of her prominence during the Bush years.
[00:05:49.639 --> 00:06:08.674]  And we know that Obama has rapidly expanded the IRS, we know that he's now directing them to go against his political enemies, of which Sheehan has obviously become one, because unlike most leftists, she's remained vocally critical of the war as it continues under Obama in numerous different guises.
[00:06:09.174 --> 00:06:19.182]  Quote, the Feds have thrown down the gauntlet against someone who has absolutely not one ounce of fear of them, and when it's over they'll know they'll have been in a fight, said Sheehan.
[00:06:20.498 --> 00:06:25.241]  Unvaccinated kids banned from Indiana school due to measles outbreak.
[00:06:25.842 --> 00:06:36.529]  Mass hysteria over a measles outbreak in Hamilton County, Indiana has led county health officials to irrationally prohibit all unvaccinated children from attending two public schools.
[00:06:36.909 --> 00:06:50.078]  According to reports, 21 preschool-age students, 7 elementary-age students, and 26 intermediate-age students will not be allowed to attend either White River Elementary School or Noblesville Intermediate School.
[00:06:50.658 --> 00:07:12.109]  The two schools where there have been confirmed cases of measles, unless they either get the combination measles, mumps and rubella, MMR vaccine, which of course has been linked with deaths and side effects and the people who have spoken out against it have been vilified and demonised, or wait until 21 days after the last confirmed case of the disease is remediated.
[00:07:14.269 --> 00:07:19.171]  And so they're basically telling these kids, if you don't get vaccinated, you're not coming back to school again.
[00:07:19.411 --> 00:07:24.092]  It's the hoax of mandatory vaccinations, which is not legal, it's not lawful.
[00:07:24.933 --> 00:07:34.856]  In the collective mind of the state, refusal by some students to get vaccinated somehow represents a threat to the other students, even though those other students have been vaccinated.
[00:07:35.336 --> 00:07:40.898]  Prohibiting unvaccinated students from attending school on the grounds that they will spread the disease further makes no sense.
[00:07:41.698 --> 00:07:46.342]  As those who are vaccinated are said to already have protection against the disease.
[00:07:46.743 --> 00:07:50.226]  So more vaccine school tyranny going on there.
[00:07:51.775 --> 00:07:53.336]  Next story out, the LA Times.
[00:07:53.737 --> 00:07:57.540]  LAPD chief backs driver's license for illegal immigrants.
[00:07:58.100 --> 00:08:08.149]  Wading into a divisive, politically charged debate, Los Angeles Police Chief Charlie Beck said Wednesday that California should issue driver's licenses to illegal immigrants.
[00:08:08.429 --> 00:08:15.795]  The chief becomes one of the most prominent local figures to support the idea that state lawmakers have battled over repeatedly in the last 15 years.
[00:08:17.316 --> 00:08:27.204]  And Beck's stance is certain to further inflame critics who are already angry at the Chief for his efforts to liberalize rules on how his officers impound the cars of unlicensed drivers.
[00:08:27.784 --> 00:08:46.579]  So, while Obama shuts down all the programs to catch illegal aliens, um, another example of, you know, how American citizens are being treated like absolute scum under the facet of regulation after regulation affecting their every behavior and existence, the illegal aliens are given
[00:08:47.878 --> 00:08:51.861]  Drivers licenses even though they've broken the law and they're in the country illegally.
[00:08:53.122 --> 00:09:03.811]  Anyone who engages in, you know, political activism or criticism of the government is being demonized as a terrorist by the DHS, by numerous federal agencies, the FBI.
[00:09:04.251 --> 00:09:07.134]  You know, buy a cup of coffee with cash and you may be a terrorist.
[00:09:08.376 --> 00:09:09.237]  The D.O.D.
[00:09:09.417 --> 00:09:21.844]  characterizes low-level protest as terrorism, so while American citizens who exercise their rights are being demonized as terrorists, illegal aliens are being given a free reign.
[00:09:21.924 --> 00:09:25.086]  What does that tell you about the attitude of the federal government?
[00:09:26.564 --> 00:09:30.828]  Has Ron Paul formed a political alliance with Mitt Romney?
[00:09:31.408 --> 00:09:33.710]  And this is obviously from Infowars.com today.
[00:09:33.830 --> 00:09:34.591]  Big story.
[00:09:34.931 --> 00:09:52.566]  The suggestion that Ron Paul and Mitt Romney are in cahoots because Paul is in the frame to become Romney's VP pick has again surfaced following last night's Republican debate in Mesa, Arizona, after which Rick Santorum claimed the two candidates were coordinating attacks against his campaign.
[00:09:53.226 --> 00:09:58.671]  Quote, you have to ask Congressman Paul and Governor Romney what they've got going together, Santorum told reporters.
[00:09:58.951 --> 00:10:01.913]  Their commercials look a lot alike, and so do their attacks.
[00:10:02.574 --> 00:10:11.241]  Santorum's campaign strategist, John Brabender, repeated the charge, stating, quote, clearly there's a tag-team strategy between Ron Paul and Mitt Romney.
[00:10:11.621 --> 00:10:14.964]  For all I know, Mitt Romney might be considering Ron Paul as his running mate.
[00:10:15.265 --> 00:10:19.808]  Clearly there is now an alliance between those two, and you saw that certainly in the debate.
[00:10:20.825 --> 00:10:24.046]  Now, of course, this didn't begin with Rick Santorum.
[00:10:24.086 --> 00:10:26.207]  This is not an invention of Rick Santorum.
[00:10:26.227 --> 00:10:29.789]  This story's been around for a few weeks now, if not a couple of months.
[00:10:30.249 --> 00:10:34.010]  And as far as we can work out, basically what's happened is this.
[00:10:34.670 --> 00:10:36.811]  This has not come from Ron Paul himself.
[00:10:36.891 --> 00:10:38.132]  It's not Ron Paul's doing.
[00:10:38.812 --> 00:10:47.916]  You're never going to see Ron Paul endorse Mitt Romney, you know, the ultimate establishment candidate, who of course, as we know, is the elite's pick for the Republican nomination.
[00:10:49.076 --> 00:11:04.909]  If you see, check out some of the links we've posted in this article, it becomes clear that the GOP establishment itself has attempted to some degree of success to infiltrate Ron Paul's campaign and push him towards this alliance with Romney.
[00:11:06.750 --> 00:11:11.731]  And it's mainly because the establishment does not want Ron Paul to go third party.
[00:11:11.771 --> 00:11:14.012]  They don't want him on that Libertarian ticket.
[00:11:14.912 --> 00:11:21.473]  Because it could lead to a Ross Perot situation, which is largely out of their control.
[00:11:21.513 --> 00:11:31.276]  I mean, that's when the establishment gets nervous, is when they're unable to completely be in control of all the political candidates in the race coming down to the final furlong.
[00:11:32.316 --> 00:11:37.137]  So, they're basically pushing either Ron Paul or his son, Senator Rand Paul.
[00:11:38.177 --> 00:11:41.918]  And to be fair, Rand Paul's come out and said he'd be honoured to be Romney's VP.
[00:11:43.098 --> 00:11:47.599]  Jesse Benton, Ron Paul's campaign manager, said words to the same effect.
[00:11:47.979 --> 00:11:51.760]  So they're pushing either Ron Paul or Rand Paul to be Romney's VP.
[00:11:51.860 --> 00:11:56.261]  This is coming from within the Ron Paul campaign, as far as we can work out.
[00:11:58.789 --> 00:12:03.836]  And this is the establishment GOP's attempt to co-opt and control the Ron Paul revolution.
[00:12:04.577 --> 00:12:09.464]  They're terrified that Paul's message could eventually take over the Republican Party.
[00:12:10.125 --> 00:12:14.070]  So they're trying to be proactive and subvert Ron Paul's campaign.
[00:12:15.854 --> 00:12:42.630]  And according to Justin Raimondo, whose article we've got linked up in ours, it's coming from this guy called Traig of Olsen, who is one of these pro-interventionist regime change specialists, National Endowment of Democracy and all that, behind the colour revolutions, who now, bizarrely, given his pro-interventionist foreign policy ideas, is an advisor to the Paul campaign.
[00:12:44.699 --> 00:12:50.182]  So he's the one pushing Paul towards being, you know, having this alliance with Mitt Romney.
[00:12:50.983 --> 00:12:57.066]  Now, on the flip side, you could argue, you know, wouldn't it be fantastic for Ron or Rand Paul to be VP?
[00:12:57.106 --> 00:12:59.367]  That'd be one step away from the Oval Office.
[00:12:59.968 --> 00:13:05.151]  And you can certainly see it from that perspective, especially given the fact, as we've covered, that
[00:13:05.811 --> 00:13:15.104]  Ron Paul's basically being cheated out of primary wins and second place finishes in at least three states by the Republican establishment, as we covered yesterday.
[00:13:16.274 --> 00:13:27.542]  But what I know for a fact is this, amongst all this speculation about a Ron Paul-Mitt Romney alliance, most Ron Paul supporters absolutely hate the idea.
[00:13:28.083 --> 00:13:36.709]  And that's going off not just respondents to the article on our website, but the general sentiment across pro-Paul supporter websites.
[00:13:37.910 --> 00:13:46.936]  And you can bet that the establishment media is going to push this story, as they already are, because it certainly works to create divisions within the Ron Paul movement.
[00:13:47.496 --> 00:13:58.203]  But as Republican strategist Jack Berkman predicted last week, which we featured on Infowars.com, he said there would be a Paul on the Republican ticket.
[00:13:58.243 --> 00:13:59.944]  He was talking about a brokered convention.
[00:14:00.985 --> 00:14:19.074]  And so if that does indeed happen as a result of an alliance with Mitt Romney, the ultimate establishment candidate, you can bet your bottom dollar that a lot of people are not going to be happy about it and it's going to cause a great degree of controversy amidst the Ron Paul movement.
[00:14:19.134 --> 00:14:28.438]  Now, Lou Rockwell, who of course is close to the Paul campaign, was on the Alex Jones Show earlier today and he had some interesting comments on this subject, so let's hear from him now.
[00:14:29.098 --> 00:14:29.479]  Is it good
[00:14:31.229 --> 00:14:44.994]  Instead of just losing and being cheated or whatever, to take a VP run from Mitt Romney and bring all those voters in, defeat Barack Obama, and now have Ron Paul with a bully pulpit.
[00:14:46.875 --> 00:14:48.575]  To be able to at least inject some sanity.
[00:14:48.615 --> 00:14:49.956]  Well, three things come into play.
[00:14:50.462 --> 00:14:58.564]  I don't think Mitt Romney's going to do that, even though this is what the evidence shows being discussed behind the scenes and being offered to Ron Paul if he plays ball and doesn't run third party.
[00:14:59.044 --> 00:15:00.385]  I think they'll betray Ron Paul.
[00:15:00.805 --> 00:15:02.986]  Let me just say, I think this is all a bad idea.
[00:15:03.286 --> 00:15:04.346]  My gut tells me that.
[00:15:04.986 --> 00:15:07.447]  But I know why the Paul campaign is looking at all options.
[00:15:07.707 --> 00:15:08.527]  And they clearly are.
[00:15:08.947 --> 00:15:11.508]  Does that mean Ron Paul is going to go with the bad idea?
[00:15:11.588 --> 00:15:11.788]  No.
[00:15:12.228 --> 00:15:18.250]  But it means some of the people below him who are younger and don't have his wisdom are certainly chomping at the bit at this.
[00:15:18.590 --> 00:15:19.570]  Because they get to go on.
[00:15:19.810 --> 00:15:21.451]  They get to be in the Vice President's office.
[00:15:22.331 --> 00:15:23.111]  If you're Jesse Benton.
[00:15:24.571 --> 00:15:25.791]  If you're Rachel Mills.
[00:15:26.571 --> 00:15:27.272]  If you're these people.
[00:15:27.312 --> 00:15:28.912]  You get to be in the White House.
[00:15:29.372 --> 00:15:31.792]  So what are you going to advise Ron Paul on?
[00:15:31.992 --> 00:15:35.633]  And I know he's wise enough to still take counsel to bounce ideas around.
[00:15:36.773 --> 00:15:38.814]  But they think it's enough of a discussion.
[00:15:40.474 --> 00:15:41.934]  Not Mills, I'll use her as an example.
[00:15:41.994 --> 00:15:44.995]  Benton does, to have said things like this repeatedly about Rand Paul.
[00:15:45.991 --> 00:15:47.232]  And maybe that is a step up.
[00:15:47.272 --> 00:15:48.633]  Maybe Benton's right.
[00:15:49.334 --> 00:15:50.975]  I'm just stating all angles here.
[00:15:51.295 --> 00:15:53.357]  Because I can tell you that's what's going on in their brains.
[00:15:53.937 --> 00:15:55.719]  This isn't, oh my gosh, Ron Paul's bad.
[00:15:56.019 --> 00:15:57.740]  Some people are discussing him running as VP.
[00:15:57.940 --> 00:16:00.662]  When he hasn't done that, it's some of his people have.
[00:16:01.083 --> 00:16:04.085]  When asked, over and over again, was it out of turn?
[00:16:04.565 --> 00:16:05.106]  Is it wrong?
[00:16:05.366 --> 00:16:05.926]  We don't know.
[00:16:06.026 --> 00:16:08.588]  We'll ask Ron Paul next time he's on with us.
[00:16:08.608 --> 00:16:09.269]  You better believe it.
[00:16:09.369 --> 00:16:10.450]  I've put my cards on the table.
[00:16:10.810 --> 00:16:18.616]  Lou, what do you say about what I've said, and what's your gut on this, and what's the inside baseball on this subject, because I haven't been able to get Ron on in the last month or so.
[00:16:19.292 --> 00:16:24.056]  Well, Alex, remember I'm not a spokesman for Ron or for the campaign, so I'm just giving you my own view.
[00:16:24.357 --> 00:16:25.337]  But I think it's all a trick.
[00:16:25.638 --> 00:16:31.023]  It's just another establishment trick to make it look like Ron Paul is a sellout like all the rest of them.
[00:16:31.063 --> 00:16:32.744]  Ron Paul has never sold out.
[00:16:32.824 --> 00:16:34.165]  Ron Paul will never sell out.
[00:16:34.706 --> 00:16:37.468]  And so this has two pieces.
[00:16:37.508 --> 00:16:42.913]  You said to bring down Ron Paul to make him seem like he's just one of the regular criminal bunch.
[00:16:43.314 --> 00:16:45.716]  And the other is to make Ron Paul supporters like Ron
[00:16:46.176 --> 00:16:50.097]  Well, if he's willing to consider Ron Paul as a VP, Romney must be a pretty good guy.
[00:16:50.457 --> 00:17:03.061]  Because Romney, exactly like Gingrich and Santorum, even though Romney's a more pleasant person, and I'm sure his wife is a nice person, his kids are nice, and all those kinds of questions, but really he's, as you say, he's a globalist.
[00:17:03.601 --> 00:17:04.942]  He's a big government guy.
[00:17:04.962 --> 00:17:10.443]  He believes in corporatism and fascism and the partnership between big government and big business.
[00:17:11.003 --> 00:17:11.764]  He's a warmonger.
[00:17:11.784 --> 00:17:12.684]  He's an imperialist.
[00:17:13.364 --> 00:17:16.967]  Uh, he's a protectionist, he's a big government guy, big spender, bail out the banks.
[00:17:17.367 --> 00:17:19.528]  I mean, he's bad on virtually everything.
[00:17:19.568 --> 00:17:22.791]  I guess, you know, he was against the bailout of GM.
[00:17:23.311 --> 00:17:27.694]  But my guess is if he were president, he would have done it, and he would have made a lot of money out of it, because that's the kind of guy he is.
[00:17:27.734 --> 00:17:29.935]  He makes a lot of money out of government projects.
[00:17:30.256 --> 00:17:35.099]  So no, I think this is just another trick, and they would never let Ron Paul be vice president.
[00:17:35.379 --> 00:17:42.764]  Ron Paul has a chance, we all hope and pray, to push his way into office by the people putting him there.
[00:17:43.164 --> 00:17:47.749]  However, the idea that the regime would invite him into office is just science fiction.
[00:17:49.261 --> 00:17:54.283]  Document proves DHS is monitoring social media for government criticism.
[00:17:54.484 --> 00:17:55.544]  Infowars.com.
[00:17:56.104 --> 00:18:16.574]  The Homeland Security Training Manual belies claims made by DHS representatives during a congressional hearing last week that the federal agency is only monitoring social media outlets for quote, situational awareness and proves the fact that Big Sis is also tracking online criticism of government including discussion of airport body scanners.
[00:18:17.354 --> 00:18:18.055]  And yet again,
[00:18:18.655 --> 00:18:24.041]  The Department of Homeland Security has been caught lying to the American people, would you believe it?
[00:18:24.781 --> 00:18:38.476]  Despite the release that we had a couple of weeks ago now of 300 documents that showed how the federal agency was monitoring Twitter and Facebook for comments critical of government and the operations of the DHS,
[00:18:40.698 --> 00:18:55.551]  We saw its representatives last week go before a congressional hearing and brazenly lie in claiming that the DHS was only interested in monitoring and tracking information about banal things like extreme weather events.
[00:18:55.631 --> 00:18:57.833]  They said that's the only thing they were interested in.
[00:18:58.614 --> 00:19:01.857]  They were interested in situational awareness.
[00:19:02.257 --> 00:19:04.239]  Turns out to be total BS.
[00:19:05.200 --> 00:19:06.141]  To explain it,
[00:19:06.741 --> 00:19:26.954]  This document was released as a result of a Freedom of Information Act request to EPIC, Electronic Privacy Information Center, and it's basically a training manual which tells DHS analysts what keywords to search for when they're trawling and monitoring social media networks.
[00:19:28.206 --> 00:19:41.293]  And as I said, during last week's hearing we had Mary Callaghan, this DHS representative, claiming that these keywords they were searching for were restricted to, quote, you know, flood, tornado, and things like that.
[00:19:41.553 --> 00:19:43.535]  That's what they said they were interested in.
[00:19:44.335 --> 00:20:01.449]  But in reality, the manual also directs DHS analysts to search for terms such as, quote, China, cops, hacking, illegal immigrants, Iran, Iraq, marijuana, organized crime, police, pork, and radicals.
[00:20:02.455 --> 00:20:12.443]  Also the words, quote, militia, riot, body scanner and nationalist were also included in the list of keywords that the DHS is tasked with monitoring.
[00:20:13.063 --> 00:20:17.887]  So not only are they tracking criticism of government, which came out in the original 300 document leak,
[00:20:21.223 --> 00:20:29.314]  They're even tracking not only other federal agencies, but agencies and organizations outside of the US government, such as the UN and the Red Cross.
[00:20:29.754 --> 00:20:33.960]  And they're also tracking what people are saying about naked body scanners in airports.
[00:20:34.986 --> 00:20:39.048]  So again, their testimony last week has been proven to be a complete lie.
[00:20:39.208 --> 00:21:03.262]  They are tracking government criticism, they are tracking individual trends, including the backlash against airport body scanners, and it all boils down to the effort to create this chilling effect, this atmosphere where people are afraid to express their First Amendment for fear of, you know, some little DHS spy is going to be recording and cataloguing their dissent, which is all the more reason, of course, to
[00:21:04.122 --> 00:21:20.357]  Increase your dissent exponentially, shove it back in their face and proudly assert your right to freedom of speech by engaging in increased vitriolic criticism of the DHS because we certainly know it deserves it.
[00:21:22.128 --> 00:21:29.632]  Coming up now, we're going to throw to this interview with Flight 253 passenger and eyewitness Kurt Haskell.
[00:21:29.652 --> 00:21:45.441]  Of course, he was the eyewitness to the manufactured underwear bomber attack and robbed you traveled to Michigan to get part two of this interview, which focuses on the aftermath of what he witnessed and the government cover-up relating to the underwear bomber incident.
[00:21:45.481 --> 00:21:46.782]  So let's go to that clip now.
[00:21:56.983 --> 00:22:05.070]  An intelligence agency gave Abdulmutallab an intentionally defective bomb and put him on the plane to stage a fake terrorist attack.
[00:22:08.113 --> 00:22:15.439]  Continuing now with our breaking news coverage, new facts on the table tonight about just how hard the father of the alleged Christmas bomber tried to warn U.S.
[00:22:15.479 --> 00:22:17.480]  intelligence about his son.
[00:22:18.521 --> 00:22:21.444]  One thing I'd like to point out is that the system worked.
[00:22:28.644 --> 00:22:31.986]  Mainstream media, anyway, is nothing but a fourth branch of the government.
[00:22:32.046 --> 00:22:34.587]  Whatever the government says, the media reports.
[00:22:34.627 --> 00:22:35.528]  They don't question it.
[00:22:35.668 --> 00:22:38.669]  They just accept whatever the government says as fact.
[00:22:39.990 --> 00:22:43.111]  And I really found that out during this case.
[00:22:43.171 --> 00:22:55.658]  I didn't know anything about that before this, but I would see it firsthand where different reporters would interview me and they would think I had something important to say, only to figure out that their higher-ups would
[00:22:56.656 --> 00:23:02.378]  You know, not let them report the story, and then I would talk to them and it wouldn't appear in the press anywhere.
[00:23:02.418 --> 00:23:04.758]  This happened many times with me in the free press.
[00:23:04.858 --> 00:23:11.100]  I did three, four interviews with them, and they would never ever report anything on me.
[00:23:11.120 --> 00:23:18.102]  It got to be just, you know, I'd see the free press reporter at a court hearing, and I'd be like, hey, are you ever going to report anything on me?
[00:23:18.602 --> 00:23:22.603]  No, but I still have all my notes on the case, would be the response, and I'd be like, okay.
[00:23:22.623 --> 00:23:25.024]  You know, we'll talk next time, I guess.
[00:23:27.642 --> 00:23:28.543]  You know, that kind of thing.
[00:23:28.743 --> 00:23:37.950]  Up until they were forced to cover me right before the trial happened, then the media was kind of forced to talk about me because I was named as the only witness for the defense.
[00:23:37.990 --> 00:23:42.273]  So, you know, you will see the media talking about me if you go back to October.
[00:23:42.733 --> 00:23:52.881]  But from, say, January 2010 until October 2011, you'll see basically nothing of me in the mainstream media except for
[00:23:53.641 --> 00:24:00.363]  Two Fox News interviews that I did in January 2011, which I was very shocked that they aired.
[00:24:01.083 --> 00:24:08.685]  Fox News local here in Detroit actually did an interview with me outside the courthouse in January 2011.
[00:24:09.766 --> 00:24:17.168]  I had about 10 reporters, or maybe 10 to 20 reporters standing by me, and I said, look, this is what happened.
[00:24:17.208 --> 00:24:18.668]  I know none of you are going to report it.
[00:24:18.688 --> 00:24:21.209]  And I told them the story of what had happened.
[00:24:22.526 --> 00:24:27.308]  I was shocked when Fox News actually did report it on their 5 o'clock news here in Detroit.
[00:24:27.388 --> 00:24:34.430]  And then, not only that, they came to my office the next day to do a follow-up interview, and I actually heard that on the 5 o'clock news.
[00:24:34.810 --> 00:24:40.892]  Was the man known as the Underwear Bomber a pawn in a larger plan by our own government?
[00:24:41.492 --> 00:24:47.534]  We told you about the two local attorneys, both passengers on board that plane on Christmas Day of 2009.
[00:24:48.034 --> 00:24:50.695]  They believe the government was behind the scare in the air.
[00:24:51.195 --> 00:24:51.515]  The U.S.
[00:24:51.555 --> 00:24:54.898]  government gave Mutalab an intentionally defective bomb.
[00:24:55.178 --> 00:25:00.941]  It's a shocking allegation, but Kurt Haskell remembers seeing Abdulmutallab at their gate at the airport in Amsterdam.
[00:25:01.222 --> 00:25:07.726]  He didn't have a passport, but Haskell says a man with an American accent in a tan suit helped him board anyway.
[00:25:08.246 --> 00:25:13.929]  What he said was, first of all, this man needs to get on a flight and he doesn't have a passport.
[00:25:14.210 --> 00:25:15.190]  He's from Sudan.
[00:25:15.390 --> 00:25:16.411]  We do this all the time.
[00:25:16.651 --> 00:25:17.792]  That's a word for word quote.
[00:25:17.932 --> 00:25:23.135]  That was basically the only mainstream media coverage I had from January 2010 through October 2011.
[00:25:23.415 --> 00:25:31.540]  Yeah, you know, I went to a lot of the hearings in the case because I found out early on that
[00:25:33.431 --> 00:25:36.112]  The media wasn't reporting what was going on at the trial.
[00:25:36.152 --> 00:25:47.916]  I would go and see things, and then I'd read the newspaper the next day, and the things I read in the paper wouldn't necessarily be the things that I think they should be reporting on or were reporting on.
[00:25:47.936 --> 00:25:49.556]  It was really kind of strange.
[00:25:50.497 --> 00:25:54.398]  I went to a hearing, I think it was in July,
[00:25:56.456 --> 00:25:56.596]  of 2011.
[00:25:57.858 --> 00:26:05.332]  That was the hearing to determine whether Anthony Chambers, who by then was appointed standby attorney,
[00:26:06.374 --> 00:26:10.975]  Remember, Abdulmutallab fired his initial court-appointed attorneys pretty early on.
[00:26:12.076 --> 00:26:19.578]  Judge Edmonds then gave him a stand-by attorney, Anthony Chambers, who was just kind of a helper, is basically what a stand-by attorney is.
[00:26:19.678 --> 00:26:26.400]  So, this hearing was to decide if Anthony Chambers would have access to all the evidence in the case.
[00:26:27.580 --> 00:26:30.401]  And I listened to the prosecutors argue, and what they said was,
[00:26:32.459 --> 00:26:36.984]  We don't think Anthony Chambers should have the evidence in this case, but only Abdulmutallab.
[00:26:37.104 --> 00:26:47.515]  And the reason they gave was, if we give the evidence to Anthony Chambers, third parties can subpoena it and get the evidence to use it to sue us.
[00:26:51.260 --> 00:27:02.807]  Because Anthony Chambers doesn't have the attorney-client privilege, which would shield the giving of the evidence, you know, by any subpoena he would receive, because he's not an attorney on the case, but only a standby attorney.
[00:27:03.487 --> 00:27:05.028]  And I thought that was pretty telling.
[00:27:07.169 --> 00:27:15.574]  You know, it raised red flags with me, number one, why does Abdulmutallab not have a Raylor attorney?
[00:27:15.814 --> 00:27:16.374]  And number two,
[00:27:17.645 --> 00:27:20.826]  Why is the government concerned about being sued in this case?
[00:27:20.986 --> 00:27:23.307]  What had they done to get sued?
[00:27:24.328 --> 00:27:28.410]  Maybe put Abdulmutallab on the plane with an intentionally defective bomb?
[00:27:28.710 --> 00:27:30.371]  I don't know, but I thought it was pretty telling.
[00:27:30.991 --> 00:27:40.575]  And Judge Edmonds decided, well, I'm only going to give the evidence to the defendant, Abdulmutallab, and then he'll have to decide what Chambers gets, if anything, from there.
[00:27:40.995 --> 00:27:44.717]  So the government won that hearing, and it was just kind of pretty telling.
[00:27:46.058 --> 00:27:46.718]  To me anyway.
[00:27:46.918 --> 00:27:50.240]  And that didn't get reported in the media as I thought it should either.
[00:27:50.320 --> 00:27:53.421]  No mention of the government being sued or anything like that.
[00:27:54.962 --> 00:28:03.326]  And another hearing I went to was again in, I believe it was mid-2011 or so.
[00:28:08.024 --> 00:28:11.447]  Anthony Chambers of this hearing requested that the trial be delayed.
[00:28:11.527 --> 00:28:13.649]  I think it was set for early October.
[00:28:14.210 --> 00:28:17.292]  So there was maybe three more months until the trial started.
