[00:00:22.193 --> 00:00:22.673]  Good evening.
[00:17:14.455 --> 00:17:23.439]  Rick Santorum endorsement and it goes to Santorum acknowledged in an interview with CNN that he talked with Vander Plaats.
[00:17:24.360 --> 00:17:30.903]  What we talked about was he needed money to promote the endorsement and that that would be important to do that, Santorum told CNN.
[00:17:31.243 --> 00:17:35.145]  There was never a direct ask for me to go out and raise money for it.
[00:17:35.845 --> 00:17:45.051]  But then later in another ABC News on Monday night interview, you had Santorum's National Communications Director Hogan Gidley who said,
[00:18:06.365 --> 00:18:06.646]  I think so.
[00:18:24.039 --> 00:18:34.945]  A former staffer for Mitt Romney's 2008 presidential bid, who is currently unaffiliated with the campaign, said Vander Plaats came to them seeking money for backing if he supported the former Massachusetts governor.
[00:18:35.485 --> 00:18:37.486]  He wanted to be paid, the former staffer said.
[00:18:37.526 --> 00:18:39.207]  He was clearly looking for a paycheck.
[00:18:39.907 --> 00:18:45.530]  There was a conversation about him getting a title, but being a pay consultant was much more important.
[00:18:46.573 --> 00:18:52.735]  So you have this religious leader in Iowa who's looking for money, and with that money, he's going to go out and get influence.
[00:18:52.996 --> 00:19:07.041]  And I think if you follow the money, that's where you'll see it will lie to Vander Plaats, helping out Rick Santorum, especially in those rural counties where it's all done gentlemanly, like what we heard from Karl Rove last night, which we're going to play right now.
[00:19:07.631 --> 00:19:10.593]  Romney is going to win the Iowa caucuses by 14 votes.
[00:19:10.933 --> 00:19:12.754]  How solid is your evidence?
[00:19:13.395 --> 00:19:15.036]  From a pretty good, reliable source.
[00:19:15.096 --> 00:19:23.100]  They made the correction in Story County, which moved it from an 18 point margin for Santorum to a 4 vote margin for Santorum.
[00:19:23.140 --> 00:19:37.029]  Clinton County, you have the one outstanding precinct in the state, and that it will show an 18 vote victory in that precinct for Mitt Romney, which will give him a statewide victory of 14 votes over Romney.
[00:19:37.509 --> 00:19:40.111]  From out of nowhere, it's Rick Santorum!
[00:19:40.151 --> 00:19:44.113]  You're saying that they basically have come to an agreement as to what the vote's gonna be?
[00:19:44.193 --> 00:19:48.556]  The official, the person who's got the official piece of paper is missing.
[00:19:49.217 --> 00:19:54.000]  But the Romney and Santorum people who are monitoring it agree on what the number is.
[00:19:54.280 --> 00:20:02.806]  They apparently have rounded up the representatives of the camps who have agreed, yes, we were there, we know exactly what the vote total was, and we both agree to what it was.
[00:20:03.326 --> 00:20:06.108]  So the official was Edith Pfeffer.
[00:20:07.745 --> 00:20:08.886]  She was at her home sleeping.
[00:20:09.327 --> 00:20:15.113]  She had already called in the results, or so she claimed, so she reported on NPR, yet there was a computer glitch.
[00:20:16.220 --> 00:20:17.441]  There you go, that's how it happens.
[00:20:17.941 --> 00:20:25.906]  Even though Ron Paul got third place in Iowa, he seems to be blowing out everybody else, including Barack Obama in merchandise sales.
[00:20:26.567 --> 00:20:34.772]  Cafe Press, which allows you to build merchandise and sell them kind of as you sell it, they make it type thing.
[00:20:34.792 --> 00:20:36.933]  54% of the items sold in 2011 were Ron Paul.
[00:20:40.225 --> 00:20:46.992]  Eighteen went to President Obama, eleven percent went to Rick Perry, and nine percent went to Mitt Romney.
[00:20:47.653 --> 00:20:49.295]  Mittens Romney, as they call him.
[00:20:49.976 --> 00:20:54.360]  And just to let you know, we offer a few t-shirts, Ron Paul t-shirts, here at InfoWars.
[00:20:54.640 --> 00:20:58.445]  So if you want to support Ron Paul, support our operation,
[00:20:59.636 --> 00:21:00.096]  There you go.
[00:21:00.116 --> 00:21:01.257]  Pick up a Ron Paul t-shirt.
[00:21:01.397 --> 00:21:02.597]  Let people know out there.
[00:21:02.617 --> 00:21:04.138]  Let's keep putting up signs.
[00:21:04.178 --> 00:21:06.519]  Let's keep putting up bumper stickers.
[00:21:06.559 --> 00:21:09.540]  Let's keep showing people that Ron Paul is the people's candidate.
[00:21:09.600 --> 00:21:14.783]  He's not bought by these giant corporations that want to warmonger and tell the rest of the world what to do.
[00:21:15.303 --> 00:21:16.083]  So we're going to go to break.
[00:21:16.103 --> 00:21:16.704]  We're going to come back.
[00:21:16.724 --> 00:21:22.346]  We're going to show a little clip last night from Cobra Commander, who visited us, and a whole bunch more.
[00:21:22.386 --> 00:21:27.989]  We got some GlaxoSmithKline news, and then we got Alex's amazing interview with Edward T. Haslam.
[00:21:28.689 --> 00:21:29.653]  Hooray Dr. Mary's monkey!
[00:21:29.673 --> 00:21:32.404]  It's InfoWars Nightly News and I'm your host Rob Doo.
[00:21:36.283 --> 00:21:37.464]  America is in trouble.
[00:21:37.584 --> 00:21:39.466]  Washington is a disgrace.
[00:21:39.706 --> 00:21:41.087]  Government has become too big.
[00:21:41.167 --> 00:21:42.948]  It's overtaxing, overspending.
[00:21:43.088 --> 00:21:44.509]  We need to change direction.
[00:21:44.549 --> 00:21:45.650]  We really need change.
[00:21:45.670 --> 00:21:48.452]  We can't afford to make the same mistakes we've made in the past.
[00:21:48.572 --> 00:21:50.754]  Mitt Romney's reputation is a flip-flop.
[00:21:50.794 --> 00:21:54.017]  He went the other way when he got paid to go the other way.
[00:21:54.037 --> 00:21:55.978]  There is need for economic stimulus.
[00:21:56.018 --> 00:21:57.699]  It's about serial hypocrisy.
[00:21:57.740 --> 00:21:59.521]  This election is about trust.
[00:21:59.721 --> 00:22:03.044]  There's been one true consistent candidate, and that's Dr. Ron Paul.
[00:22:03.124 --> 00:22:06.106]  Ron Paul has been so consistent from the very beginning.
[00:22:06.346 --> 00:22:08.187]  He seems like a more honest candidate.
[00:22:08.227 --> 00:22:10.869]  He tells the truth about what he believes, whether you like it or not.
[00:22:10.909 --> 00:22:15.672]  He's never once voted for a tax increase, never once voted for an unbalanced budget.
[00:22:15.692 --> 00:22:18.533]  Ron Paul's plan is bold, cuts five departments.
[00:22:18.874 --> 00:22:19.574]  It's what we need.
[00:22:19.734 --> 00:22:23.336]  When he says he's gonna cut a trillion dollars in the first year, I believe it.
[00:22:23.356 --> 00:22:28.559]  If you don't like how things are going, you're tired of politicians, he's something different.
[00:22:28.840 --> 00:22:29.420]  Ron Paul.
[00:22:29.500 --> 00:22:30.100]  Ron Paul.
[00:22:30.140 --> 00:22:30.821]  Ron Paul.
[00:22:30.961 --> 00:22:31.641]  Ron Paul.
[00:22:31.741 --> 00:22:33.322]  Is the one we've been looking for.
[00:22:33.342 --> 00:22:35.804]  I'm Ron Paul and I approve this message.
[00:22:41.348 --> 00:22:41.968]  And we are back.
[00:22:42.008 --> 00:22:43.649]  It's InfoWars Nightly News.
[00:22:43.749 --> 00:22:47.071]  If you're watching this on YouTube, please consider becoming a subscriber.
[00:22:47.111 --> 00:22:47.711]  It's easy to do.
[00:22:47.771 --> 00:22:51.093]  Go to PrisonPlanet.tv or InfoWarsNews.com.
[00:22:51.493 --> 00:22:54.135]  And right now we're having a 15-day free trial.
[00:22:54.155 --> 00:22:56.476]  So you can try it out for 15 days, see if you like it.
[00:22:56.856 --> 00:22:57.857]  We're doing this every night.
[00:22:57.877 --> 00:22:59.358]  We're putting other special reports up.
[00:22:59.678 --> 00:23:02.719]  Alex also has a special rant page that he does.
[00:23:03.300 --> 00:23:04.781]  It's just filled with a lot of stuff.
[00:23:04.801 --> 00:23:05.381]  Go check it out.
[00:23:05.501 --> 00:23:08.783]  InfoWarsNews.com or PrisonPlanet.tv.
[00:23:09.943 --> 00:23:14.005]  And don't forget we had that interview with author Edward T. Haslam.
[00:23:14.405 --> 00:23:15.766]  Dr. Mary's Monkey is coming up.
[00:23:16.286 --> 00:23:19.848]  But first, let's talk some Cobra Commander.
[00:23:21.188 --> 00:23:25.590]  Last night we had a special visit from international terrorist Cobra Commander.
[00:23:25.690 --> 00:23:30.693]  The actual Cobra Commander appeared and declared his intent to run for the presidency and
[00:23:31.809 --> 00:23:34.352]  I thought it was so great, I'm just going to play a clip from it.
[00:23:34.392 --> 00:23:37.957]  Here he is announcing his bid for presidency of the United States.
[00:23:38.758 --> 00:23:43.523]  Miss Napolitano, I'm sorry to reveal your identity, I mean forget that, Cobra Commander.
[00:23:44.839 --> 00:23:47.061]  Why are you agreeing to this interview?
[00:23:47.101 --> 00:23:49.762]  You said you had some special announcement for us.
[00:23:50.503 --> 00:23:52.924]  Please tell us what that is, sir.
[00:23:53.685 --> 00:23:54.565]  I am the leader.
[00:23:55.026 --> 00:23:56.487]  I am Cobra Commander.
[00:23:56.867 --> 00:24:08.214]  I have agreed to this interview so that you might know that I have decided to go public and to have a public stock offering in Cobra Global Enterprises.
[00:24:08.875 --> 00:24:11.756]  I intend to issue my own fiat currency.
[00:24:12.177 --> 00:24:13.618]  But before I do that,
[00:24:14.578 --> 00:24:22.465]  I intend to sue Homeland Security for copyright and trademark infringement.
[00:24:23.026 --> 00:24:24.547]  Black uniforms.
[00:24:25.047 --> 00:24:26.248]  Black uniforms.
[00:24:26.969 --> 00:24:27.810]  Ski masks.
[00:24:28.150 --> 00:24:29.011]  Checkpoints.
[00:24:29.331 --> 00:24:31.533]  Black armored tanks on the streets.
[00:24:32.014 --> 00:24:33.175]  Preemptive war.
[00:24:33.755 --> 00:24:34.396]  Torture!
[00:24:34.796 --> 00:24:36.698]  Wireless wiretapping!
[00:24:37.099 --> 00:24:42.144]  Total tyranny is the new freedom that Cobra has taught the world!
[00:24:42.645 --> 00:24:54.778]  And now Joe and the Pentagon have stolen my plan and hired Al-Qaeda to carry out their operations in Libya, which they formerly did for me!
[00:24:55.979 --> 00:25:03.021]  Now clearly America and the rest of the system has realized that I am the true visionary.
[00:25:03.541 --> 00:25:12.803]  And so I now announce to you and the world the greatest moment in the history of Cobra!
