[00:00:02.011 --> 00:00:03.131]  We've got it better.
[00:05:17.841 --> 00:05:21.043]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:21.303 --> 00:05:22.724]  There's no priming required.
[00:05:22.985 --> 00:05:25.006]  It's NSF 42 certified.
[00:05:25.246 --> 00:05:27.748]  Optional fluoride filters can reduce fluoride up to 95%.
[00:05:28.809 --> 00:05:30.149]  Easy to set up and use.
[00:05:30.329 --> 00:05:31.630]  Doesn't require electricity.
[00:05:31.770 --> 00:05:34.610]  Purify water from lakes, streams, ponds, and wells.
[00:05:34.911 --> 00:05:38.091]  This filter system leaves in beneficial minerals, which is key.
[00:05:38.311 --> 00:05:40.092]  Save money by not buying bottled water.
[00:05:40.212 --> 00:05:42.292]  And avoid BPA that leaches from the plastic.
[00:05:42.432 --> 00:05:45.033]  ProPure is the best gravity-fed filter out there.
[00:05:45.173 --> 00:05:46.493]  It's what my family uses.
[00:05:46.753 --> 00:05:49.974]  Infowars.com already has the lowest price on ProPure.
[00:05:50.054 --> 00:05:55.696]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:05:55.916 --> 00:05:57.056]  You can also call to order.
[00:06:04.880 --> 00:06:08.923]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.464 --> 00:06:15.367]  If you are receiving this transmission, you are the Resistance.
[00:06:22.995 --> 00:06:31.485]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:36.792 --> 00:06:46.995]  We are live here on this Sunday, August 19th, 2012 at the Alex Jones Show in the Alex Jones Studios, I should say the InfoWars Studios here in Austin, Texas.
[00:06:47.515 --> 00:06:52.457]  This is Mike Adams, the health ranger, filling in for Alex today and thank you for joining us.
[00:06:52.477 --> 00:06:56.398]  We've got a lot of breaking news today, some truly shocking news.
[00:06:56.438 --> 00:06:59.599]  This article now just posted on InfoWars.com.
[00:07:00.694 --> 00:07:15.233]  Freedom of Information Act documents reveal that the Department of Homeland Security monitored InfoWars.com, monitored the user posts on the website, and monitored opposition to its so-called See Something Say Something program.
[00:07:16.240 --> 00:07:17.160]  Which is really interesting.
[00:07:17.200 --> 00:07:24.882]  I mean, if you think about it, they want you to, if you see something that might be a terrorist, then you should say something.
[00:07:25.222 --> 00:07:26.062]  But, oh, wait a minute.
[00:07:26.282 --> 00:07:30.183]  What if you're a member of the free press and you see the government doing something fishy?
[00:07:30.703 --> 00:07:31.984]  Then you're going to be censored.
[00:07:32.344 --> 00:07:33.284]  Then you're going to be shut down.
[00:07:33.304 --> 00:07:34.224]  Then you're going to be tracked.
[00:07:34.244 --> 00:07:35.585]  You're going to be surveilled.
[00:07:35.665 --> 00:07:37.285]  That's what's happening.
[00:07:37.345 --> 00:07:41.206]  So, oh, so it's really a selective, if you see something, say something.
[00:07:41.946 --> 00:07:45.027]  If you see the government doing something, keep your mouth shut.
[00:07:45.207 --> 00:07:46.968]  That is the message from DHS.
[00:07:47.308 --> 00:07:49.829]  But I'm going to go through this story in some details with you.
[00:07:49.849 --> 00:07:53.330]  And by the way, for just joining us, we've got a lot of great information coming up today.
[00:07:53.350 --> 00:07:57.032]  We're going to be covering the Julian Assange speech and the attempted...
[00:07:58.334 --> 00:08:15.741]  Oh, an armed raid was threatened against the Ecuadorian embassy by the British government, the UK, threatening to commit acts of war and to literally raid that embassy at gunpoint, which is a total violation of international law, and to kidnap Julian Assange.
[00:08:15.781 --> 00:08:17.362]  So we'll be talking about that story.
[00:08:18.022 --> 00:08:24.545]  We've also got the big media lie about the US government's purchase of over 1 billion rounds of anti-personnel ammunition.
[00:08:24.565 --> 00:08:27.346]  You notice the mainstream media is trying to shut down that story.
[00:08:28.166 --> 00:08:55.684]  By distracting you with only the 174,000 rounds of ammo that the Social Security Administration has requisitioned, while you're supposed to ignore the 8,000 times larger stockpile of 1.4 billion rounds that the Department of Homeland Security has been acquiring, at the same time that it is surveilling alternative news websites such as Infowars.com, PrisonPlanet.com, DrudgeReport.com, and others.
[00:08:55.865 --> 00:08:57.726]  Also, another big story today we're going to cover
[00:08:58.847 --> 00:09:00.528]  We published this over at naturalnews.com.
[00:09:00.949 --> 00:09:05.113]  Is Google shopping blocking all vitamins and natural products?
[00:09:05.653 --> 00:09:15.963]  If you're in the USA only and you search for natural products in Google, when you go to the shopping section of their search engine, all the results are gone.
[00:09:16.844 --> 00:09:18.205]  They're in the memory hole now.
[00:09:18.565 --> 00:09:19.245]  Ancient history.
[00:09:19.285 --> 00:09:23.906]  You can't search there for vitamin C or camu camu or vitamin D or anything.
[00:09:23.926 --> 00:09:24.547]  They're all gone.
[00:09:24.567 --> 00:09:25.527]  They've been memory holed.
[00:09:26.067 --> 00:09:29.228]  Now, you can find them on the regular web search, but not in the shopping search.
[00:09:29.268 --> 00:09:31.389]  And again, this only applies in the USA.
[00:09:31.429 --> 00:09:33.690]  So my question is, is this a glitch?
[00:09:34.510 --> 00:09:36.070]  Or is this deliberate censorship?
[00:09:36.191 --> 00:09:38.971]  What is going on over at Google?
[00:09:39.232 --> 00:09:39.912]  We'll get into that.
[00:09:40.672 --> 00:09:55.190]  Plus, we've got six sovereign citizens linked to a, oh man, they're being called an extremist sovereign citizens group, and they're being linked to a deputy killing in New Orleans, or just outside of New Orleans, and get this,
[00:09:56.232 --> 00:10:05.476]  The mainstream media describes this quote sovereign citizens group as being extremist because they quote are impersonating police officers.
[00:10:06.176 --> 00:10:07.537]  Oh, you mean like the TSA does?
[00:10:08.758 --> 00:10:10.138]  They're using fake currency.
[00:10:10.758 --> 00:10:13.700]  Oh, you mean like the fiat currency that we're all using?
[00:10:14.500 --> 00:10:16.361]  That's printed by the Federal Reserve?
[00:10:17.722 --> 00:10:26.628]  Let's see, they're being accused of conducting so-called, quote, paper terrorism, which involves using frivolous lawsuits and fake documents.
[00:10:26.768 --> 00:10:41.177]  Oh, you mean the kind of thing that has been done against James Stewart, the raw milk man from California, who sits right now, today, in the Ventura County Jail, an innocent victim, his only crime, selling fresh milk.
[00:10:42.037 --> 00:10:52.706]  And they have no case against him, no real evidence against him whatsoever, but he's sitting there in jail because the Ventura County DA has been ordered to do this by the FDA.
[00:10:53.166 --> 00:11:10.820]  So, gee, it's funny because every time they attack these sovereign citizens groups, and I'm not defending every sovereign citizens group, and that's not a label I use to describe myself, but every time I see them attacking these groups, the things that they're blaming them for are the things that the government's doing!
[00:11:11.340 --> 00:11:11.941]  I don't get it!
[00:11:12.761 --> 00:11:18.007]  How can it be right for the government to do these things, but then it's criminal if a citizen does it?
[00:11:18.167 --> 00:11:21.030]  See, that contradiction doesn't make sense to me.
[00:11:23.328 --> 00:11:39.361]  And again, the big overall theme here today is that the Department of Homeland Security is surveilling, surveilling InfoWars, tracking, monitoring user comments, and they have been describing InfoWars as a right-wing terrorist type of organization.
[00:11:39.882 --> 00:11:43.204]  It's right here, it's all up at InfoWars.com in this article by Paul Joseph Watson.
[00:11:43.725 --> 00:11:48.028]  So let's get into that detail right here, right now, on the show.
[00:11:49.079 --> 00:11:51.700]  And by the way, if you've just joined us, this is the Alex Jones Show.
[00:11:51.720 --> 00:11:54.462]  You probably realize you're not hearing Alex Jones' voice.
[00:11:54.802 --> 00:11:55.723]  My name's Mike Adams.
[00:11:55.843 --> 00:11:59.985]  I'm a frequent fill-in host for Alex, and I appreciate you joining us today.
[00:12:00.345 --> 00:12:01.066]  But check this out.
[00:12:01.246 --> 00:12:01.606]  Here it is.
[00:12:01.966 --> 00:12:06.208]  So a sticker, this came out of the FOIA documents, the Freedom of Information Act documents.
[00:12:06.789 --> 00:12:12.712]  A sticker was placed on the mirror inside a restroom at the Mitchell Courthouse in the Baltimore City Circuit Court.
[00:12:12.732 --> 00:12:16.534]  The sticker read, quote, 9-1-1 was an inside job.
[00:12:16.554 --> 00:12:16.574]  9-11.
[00:12:19.035 --> 00:12:22.878]  Learn the truth at Infowars.com, PrisonPlanet.com, JonesReport.com.
[00:12:23.698 --> 00:12:30.263]  The courthouse is in contact with the DHS because I guess a bumper sticker is an act of terrorism now.
[00:12:31.043 --> 00:12:37.127]  And they asked for advice on whether other partners have reported similar activities.
[00:12:37.167 --> 00:12:38.348]  So this was documented by DHS.
[00:12:41.109 --> 00:13:00.264]  And the internal email from DHS, get this, responded to this request by saying, quote, oh, this is a promotional sticker from Prison Planet and InfoWars, saying Alex Jones is a conspiracy theorist from back in the late 90s that gets some airplay, but no one else takes him seriously.
[00:13:00.344 --> 00:13:01.325]  Oh, really?
[00:13:01.525 --> 00:13:01.825]  Really?
[00:13:02.305 --> 00:13:06.048]  Let's see, InfoWars is many times larger than MSNBC.
[00:13:07.149 --> 00:13:09.070]  Traffic is skyrocketing.
[00:13:09.090 --> 00:13:11.610]  It's like 400% more traffic than MSNBC.
[00:13:12.171 --> 00:13:14.651]  It is listened to by millions of people every day.
[00:13:14.931 --> 00:13:17.052]  Tens of millions of people in a month.
[00:13:17.132 --> 00:13:18.873]  Maybe 50 million people in a month.
[00:13:19.693 --> 00:13:23.334]  Hundreds of millions of views of its videos on YouTube.
[00:13:23.354 --> 00:13:25.195]  And that's even with the censorship going on.
[00:13:26.535 --> 00:13:30.376]  I think more people actually listen to InfoWars than listen to the DHS.
[00:13:32.877 --> 00:13:35.958]  Because, I don't know, maybe I'm a terrorist because I can do math.
[00:13:36.678 --> 00:13:44.260]  You know, I can actually do math in this country, which means I understand debt, which means I understand the derivatives fraud.
[00:13:44.340 --> 00:13:51.081]  It also means I understand that this system that we're living under today, this system of fraud, cannot continue indefinitely.
[00:13:52.061 --> 00:14:00.343]  And if you understand the laws of mathematics, you know that that means anything that cannot continue indefinitely must, by definition, come to an end.
[00:14:01.809 --> 00:14:08.676]  Yes, we're going to talk about that more with John B. Wells in the next, well, coming up in about half an hour, but continuing with this article.
[00:14:08.736 --> 00:14:12.459]  Again, this is a Paul Joseph Watson article on InfoWars.com right now.
[00:14:13.300 --> 00:14:21.188]  Another document that was acquired from the government through FOIA requests was entitled, quote, right-wing terrorism.
[00:14:22.265 --> 00:14:28.811]  And it identified what it calls race hate groups such as the Oath Keepers organization.
[00:14:29.632 --> 00:14:32.034]  Yeah, really, seriously, I'm not making this up.
[00:14:32.234 --> 00:14:34.216]  This is not an April Fool's broadcast.
[00:14:34.857 --> 00:14:44.586]  Now, Oath Keepers, for those of you who know Oath Keepers or you've heard from Stuart Rhodes, you know, hey, this is an organization that simply says we're going to abide by the oath that we all took
[00:14:45.126 --> 00:14:51.672]  To protect and defend the Constitution of the United States against all threats, both foreign and domestic.
[00:14:52.132 --> 00:14:54.794]  And the Oath Keepers Group just says, let's stick with our oaths.
[00:14:55.575 --> 00:14:57.476]  I guess that's a crime in America today.
[00:14:57.817 --> 00:15:01.840]  I guess it's a hate crime to say, let's defend our oath.
[00:15:01.900 --> 00:15:06.944]  Let's defend humanitarian freedoms that are outlined in the Bill of Rights.
[00:15:06.984 --> 00:15:09.746]  I guess that's hate now, if you love freedom.
[00:15:10.507 --> 00:15:14.050]  But I guess if you worship the government, oh, then everything's fine.
[00:15:14.090 --> 00:15:18.653]  But if you want to protect and defend freedom, then you're a hate group.
[00:15:19.213 --> 00:15:33.063]  So, it goes on to say, this document, again, acquired from the government, through freedom of information, it goes on to say that conspiracy theorists believe this hardened town is the location for the FEMA camp.
[00:15:34.025 --> 00:15:36.406]  Oh, and yeah, I guess FEMA camps don't exist either.
[00:15:36.947 --> 00:15:43.890]  Which is why they memory hold the Jesse Ventura episode of Conspiracy Theory that exposed all the FEMA camps.
[00:15:43.910 --> 00:15:47.372]  That's why they erased that off all the networks, erased it off all the TiVo devices.
[00:15:47.632 --> 00:15:49.913]  You're not supposed to know about these FEMA camps.
[00:15:50.514 --> 00:15:51.154]  Go figure.
[00:15:51.554 --> 00:15:52.174]  Do they exist?
[00:15:53.475 --> 00:15:54.496]  Of course they do, folks.
[00:15:54.836 --> 00:15:55.536]  Of course they do.
[00:15:56.077 --> 00:15:57.557]  Anyway, a lot more straight ahead.
[00:15:57.577 --> 00:15:59.138]  Stay with us here on the Alex Jones Show.
[00:15:59.218 --> 00:16:00.639]  We'll be right back after this break.
[00:16:03.900 --> 00:16:11.567]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:16:12.007 --> 00:16:15.631]  Alex and his staff have used these pure soap products for years.
[00:16:16.091 --> 00:16:22.897]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:16:23.397 --> 00:16:26.220]  See them on the web at 5starsoap.com.
[00:16:26.420 --> 00:16:30.902]  Or call 800-340-7091 for a free catalog.
[00:16:31.242 --> 00:16:36.904]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:16:37.184 --> 00:16:42.285]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:16:42.586 --> 00:16:44.206]  This is an amazing deal.
[00:16:44.566 --> 00:16:49.168]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:16:49.808 --> 00:16:52.269]  See them on the web at 5starsoap.com.
[00:16:52.549 --> 00:16:54.414]  Or call 800-340-7091 for a free catalog.
[00:17:02.341 --> 00:17:08.308]  Alex Jones here with a great way to beat the blackouts, get off the grid, and generate your own supply of electrical power.
[00:17:08.328 --> 00:17:13.614]  Folks, with what's been going on in this country, I don't have to tell you about the power grid and just how vulnerable it is.
[00:17:13.934 --> 00:17:15.716]  That's in the mainstream news every day.
[00:17:16.176 --> 00:17:23.665]  Millions of people have lost their power in the last few weeks because of dangerous storms and killer heat that's pushing the grid beyond its capacity.
[00:17:24.165 --> 00:17:27.587]  I've always said that every family needs to be ready for blackouts.
[00:17:27.967 --> 00:17:31.929]  And if you don't have a backup system in place, I've got a great opportunity for you.
[00:17:32.309 --> 00:17:38.733]  Right now, our good friends at Solutions from Science are offering huge savings on their best-selling Power Hub unit.
[00:17:39.193 --> 00:17:41.815]  In fact, I think it's the best deal I've ever seen them make.
[00:17:42.235 --> 00:17:44.796]  It's literally thousands of dollars in savings.
[00:17:45.337 --> 00:17:48.778]  Remember, these backup systems don't need gas because they're solar-powered.
[00:17:49.059 --> 00:17:51.540]  That means there's no dangerous fumes and no noise.
[00:17:52.080 --> 00:17:56.886]  InfoWars listeners can get all the details at BeatTheBlackouts.com.
[00:17:57.187 --> 00:17:58.829]  That's BeatTheBlackouts.com.
[00:18:01.192 --> 00:18:07.337]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:18:07.698 --> 00:18:10.100]  78% of the Midwest corn belt is in drought conditions.
[00:18:10.300 --> 00:18:15.384]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:18:15.684 --> 00:18:20.408]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:18:20.649 --> 00:18:27.955]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods or meat foods direct now.
[00:18:28.275 --> 00:18:31.981]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:18:32.161 --> 00:18:33.723]  Now is the time to get your supply.
[00:18:33.944 --> 00:18:37.830]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[00:18:37.970 --> 00:18:40.614]  You know about their delicious long-term storable foods.
[00:18:40.874 --> 00:18:43.478]  The fact is you can eat it anytime to save money today.
[00:18:43.638 --> 00:18:48.061]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[00:18:48.201 --> 00:18:48.721]  Don't wait!
[00:18:48.861 --> 00:18:51.202]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:18:51.323 --> 00:18:53.924]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:18:54.084 --> 00:18:55.925]  You can bet your life on eFoodsDirect.
[00:19:03.047 --> 00:19:10.729]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:19:11.149 --> 00:19:14.790]  Alex and his staff have used these pure soap products for years.
[00:19:15.230 --> 00:19:22.032]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:19:22.532 --> 00:19:30.058]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:19:30.398 --> 00:19:36.062]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:19:36.342 --> 00:19:41.446]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:19:41.746 --> 00:19:43.387]  This is an amazing deal.
[00:19:43.747 --> 00:19:48.351]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:19:48.971 --> 00:19:51.133]  See them on the web at 5starsoap.com
[00:19:51.993 --> 00:19:56.617]  Or call 800-340-7091 for a free catalog.
[00:20:02.702 --> 00:20:03.883]  Coast to Coast.
[00:20:04.243 --> 00:20:05.564]  Direct from Austin.
[00:20:06.285 --> 00:20:09.507]  You're listening to the Alex Jones Broadcasting Network.
[00:20:20.084 --> 00:20:32.632]  You know, the more you look at the actions of our federal government today, the more it begins to resemble the dark empire in Star Wars.
[00:20:32.652 --> 00:20:32.992]  Doesn't it?
[00:20:43.758 --> 00:20:51.041]  I want to re-watch all those movies because now I'm really expecting that when they lift that helmet off Darth Vader's head, you know that scene where the helmet comes off?
[00:20:51.061 --> 00:20:56.484]  I'm expecting he's going to turn around like the Exorcist and it's going to be Janet Napolitano in there.
[00:20:58.425 --> 00:21:00.205]  You know, evil, darkness.
[00:21:00.386 --> 00:21:06.028]  In fact, we have a clip from Admiral Tarkin who's speaking about the Rebel Alliance.
[00:21:06.088 --> 00:21:09.009]  Go ahead and play that clip because it's relevant today more than ever.
[00:21:09.029 --> 00:21:09.930]  You have that ready?
[00:21:11.718 --> 00:21:12.639]  Got that, okay, here we go.
[00:21:12.960 --> 00:21:14.262]  This bickering is pointless.
[00:21:16.264 --> 00:21:21.612]  Lord Vader will provide us with the location of the Rebel Fortress by the time this station is operational.
[00:21:22.691 --> 00:21:25.492]  We will then crush the rebellion with one swift stroke.
[00:21:26.773 --> 00:21:30.095]  We will then crush the rebellion with one swift stroke.
[00:21:31.075 --> 00:21:32.336]  What a great line.
[00:21:32.356 --> 00:21:36.458]  And a movie that's relevant now more than ever before.
[00:21:36.498 --> 00:21:39.199]  In fact, I think we should all go back and watch that because it's funny.
[00:21:39.959 --> 00:21:50.625]  It's like the U.S., the DHS in particular, and again, I'm not saying everybody in government is bad, but the DHS in particular and the TSA, it's like they're reading the Star Wars script
[00:21:51.505 --> 00:21:54.426]  And they're trying to become the Dark Lord.
[00:21:54.466 --> 00:21:55.866]  They're trying to become Darth Vader.
[00:21:56.346 --> 00:22:02.128]  It's like they're taking the worst, most evil, most destructive parts of the movie and saying, how can we do that?
[00:22:02.768 --> 00:22:03.888]  And then that's what they roll out.
[00:22:03.948 --> 00:22:10.750]  Except, well, with a little bit of a pedophile, you know, recipe in the mix to make sure they're reaching down the pants of little boys and girls at the airports.
[00:22:11.070 --> 00:22:17.012]  You know, kind of like a Vader Sandusky kind of character with a little Neapolitano thrown in there in the mix.
[00:22:17.072 --> 00:22:17.392]  I mean, it's
[00:22:17.892 --> 00:22:19.092]  It's getting pretty gross.
[00:22:19.152 --> 00:22:19.973]  Let's change the subject.
[00:22:21.093 --> 00:22:31.036]  Coming up, by the way... Well, actually, let's go right to Julian Assange, because Mr. Assange gave a speech this morning, and we're going to play just a few seconds of that for you here in a second.
[00:22:31.056 --> 00:22:46.641]  But, look, this is a big deal, because, of course, the Ecuadorian embassy and Ecuadorian President Rafael Correa has given Assange political asylum and has granted him some safe haven right there in the embassy in London.
[00:22:47.581 --> 00:23:01.657]  But, of course, the UK government, being a dark empire, has threatened to raid the embassy at gunpoint and kidnap Julian Assange, and they didn't need to say the rest, which probably includes having him killed.
[00:23:02.318 --> 00:23:04.600]  So this is the UK today, alright?
[00:23:05.641 --> 00:23:27.031]  So, while Julian Assange has established the moral high ground of saying, let us have free journalism and free expression, let us have that humanitarian position of free speech, which is the First Amendment, the UK government says, we will crush the rebellion with one swift stroke by attacking the Ecuadorian embassy.
[00:23:27.091 --> 00:23:28.632]  I mean, it's that crazy.
[00:23:29.452 --> 00:23:42.162]  That is the tyranny, the terrorism, you might say, of the UK government today, which is a total police state, total runaway, 1984 Orwellian, cameras everywhere on every street corner, total police state.
[00:23:42.942 --> 00:23:46.705]  And of course, Paul Joseph Watson covers that on a daily basis.
[00:23:46.725 --> 00:23:47.706]  He can give you more details.
[00:23:48.306 --> 00:23:50.228]  But check this out.
[00:23:50.348 --> 00:23:52.369]  So I want to give you some inside information.
[00:23:52.389 --> 00:23:53.250]  But first, how about this?
[00:23:53.730 --> 00:23:56.292]  Play us a few seconds of Assange's speech.
[00:23:56.372 --> 00:23:58.594]  Just the intro there, if you would, so people can hear that.
[00:23:59.798 --> 00:24:00.578]  We're good to go.
[00:24:16.629 --> 00:24:21.191]  All right, so that was Julian Assange.
[00:24:21.211 --> 00:24:23.612]  I'm not going to play the whole speech, but let me give you the highlights of it here.
[00:24:23.772 --> 00:24:33.575]  Quote from Assange, the United States must pledge before the world that it will not pursue journalists for shining the light on the secret crimes of the powerful.
[00:24:34.335 --> 00:24:35.556]  Good quote, I agree with it.
[00:24:35.916 --> 00:24:45.419]  He also says, quote, there must be no more foolish talk about prosecuting any media organization, be it WikiLeaks or be it the New York Times, he says.
[00:24:47.316 --> 00:24:49.638]  And what about be it InfoWars, for that matter?
[00:24:49.958 --> 00:24:52.901]  Because InfoWars is being surveilled by the Department of Homeland Security.
[00:24:53.581 --> 00:24:56.064]  So, let me give you some inside information on this.
[00:24:57.545 --> 00:24:58.486]  And here's where it comes from.
[00:24:59.347 --> 00:25:02.169]  Many of you may know I used to live in Ecuador.
[00:25:02.930 --> 00:25:09.977]  And I have an Ecuadorian driver's license and I have a residency visa in Ecuador.
[00:25:10.557 --> 00:25:11.998]  And I own property in Ecuador.
[00:25:13.041 --> 00:25:14.722]  I don't anymore, but I did, but I did before.
[00:25:14.762 --> 00:25:21.626]  So, you know, I spoke pretty darn good Spanish at the time and interacted with the locals and interacted with the politicians down there.
[00:25:21.646 --> 00:25:23.608]  I got a lot of inside information on Correa.
[00:25:24.408 --> 00:25:27.430]  And overall, Correa is a pretty, he's a very smart guy.
[00:25:27.490 --> 00:25:32.673]  He was a professor of economics at the University of Illinois here in the States.
[00:25:33.934 --> 00:25:37.096]  He's not a typical Latin American leader.
[00:25:37.256 --> 00:25:37.897]  He's actually
[00:25:38.959 --> 00:25:42.460]  He's very well connected, and he has a backup plan.
