[00:00:00.089 --> 00:00:00.649]  Network.
[00:02:16.239 --> 00:02:16.699]  The U.S.
[00:02:16.740 --> 00:02:23.147]  government, of course, has purchased 1.6 billion rounds of ammunition to be used domestically.
[00:02:23.727 --> 00:02:29.331]  Including 40 caliber hollow point rounds that was covered by Info Wars earlier in the year.
[00:02:29.672 --> 00:02:42.862]  Those also include sniper rounds that are now being stockpiled, we confirmed yesterday here on the show, stockpiled at ammo depots around the country and it is now becoming very clear that that ammunition is to be used
[00:02:43.502 --> 00:02:45.303]  To kill Americans.
[00:02:45.543 --> 00:02:55.145]  To kill American patriots, American veterans, soldiers, and anybody else that the globalists can eliminate by causing a civil war.
[00:02:55.825 --> 00:03:00.147]  So, on this day, we are facing a very dark future.
[00:03:00.167 --> 00:03:03.688]  And we're going to bring you all those details here as the show unfolds.
[00:03:03.708 --> 00:03:07.329]  We've also got some other breaking news, and we've also got some solutions.
[00:03:07.869 --> 00:03:11.510]  So I know that this is a dark hour for America, but
[00:03:12.537 --> 00:03:13.457]  We've got some good news.
[00:03:13.817 --> 00:03:14.777]  We've got some solutions.
[00:03:14.797 --> 00:03:18.618]  I'll be breaking those down for you as we continue with the show.
[00:03:18.978 --> 00:03:36.681]  And by the way, one of those pieces of good news is the fact that Senator Feinstein, by just showing her cards and saying it is about gun confiscation, it is about nationwide gun registration, just like Adolf Hitler did in the 1930s, it is about fingerprinting you and building a government list of who owns your guns.
[00:03:37.321 --> 00:03:39.722]  By her putting that out yesterday,
[00:03:40.462 --> 00:03:48.866]  Now, all of those people who once thought that any talk of gun confiscation was conspiracy theory, they now are awakening.
[00:03:49.047 --> 00:03:49.467]  Yes!
[00:03:49.627 --> 00:04:04.635]  Thank you, Feinstein, for awakening tens of millions of patriots to reality, which is that they are coming for your guns, they're going to destroy your First Amendment, your Second Amendment, the Fourth Amendment is already destroyed thanks to the TSA at the airports.
[00:04:05.703 --> 00:04:06.804]  They're coming for everything.
[00:04:07.084 --> 00:04:21.054]  So we've got all of that news plus a lot more straight ahead, including there is teachers in Utah are now being given firearms training to carry concealed weapons to help protect children in the schools there in Utah.
[00:04:22.955 --> 00:04:42.348]  We've got also, check this out, the dead body of Adam Lanza, the supposed shooter at Sandy Hook, is now being harvested by scientists to create DNA profiling so that you can be labeled evil if you share DNA with that shooter.
[00:04:42.848 --> 00:04:45.910]  That's how insane things are getting now in America.
[00:04:47.171 --> 00:04:52.997]  All of that news, much more, plus those guests and your calls coming up right here on the Alex Jones Show.
[00:04:53.057 --> 00:04:53.637]  Stay with us.
[00:04:53.677 --> 00:04:57.842]  We'll be right back after this break with all those details and much more.
[00:04:57.862 --> 00:04:58.462]  Stay with us.
[00:05:02.549 --> 00:05:05.271]  Alex Jones here with a message to fellow freedom lovers.
[00:05:05.571 --> 00:05:10.375]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:05:10.575 --> 00:05:17.761]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:05:17.881 --> 00:05:23.307]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:05:23.527 --> 00:05:27.251]  These are items that I did research on, that I personally use.
[00:05:27.551 --> 00:05:32.076]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:05:32.276 --> 00:05:37.381]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:05:37.741 --> 00:05:40.802]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:05:40.962 --> 00:05:43.203]  When Disaster Strikes by Matthew Stein.
[00:05:43.483 --> 00:05:48.045]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:05:48.225 --> 00:05:50.685]  Hand cranked shortwave AM FM radios.
[00:05:51.126 --> 00:05:58.108]  Everything that we've researched and found to be the best is available at InfoWarshop.com and your purchase makes our InfoWar possible.
[00:05:58.328 --> 00:05:59.349]  We're getting prepared.
[00:05:59.589 --> 00:06:00.010]  Are you?
[00:06:00.250 --> 00:06:02.052]  Infowarsshop.com.
[00:06:02.432 --> 00:06:06.476]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:06:06.556 --> 00:06:07.657]  Don't be one of them.
[00:06:07.777 --> 00:06:13.323]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:06:13.483 --> 00:06:23.012]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:06:23.252 --> 00:06:34.175]  Supernatural silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases, such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:06:34.395 --> 00:06:43.357]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:06:43.497 --> 00:06:46.938]  The Science Digest Journal says, silver is our mightiest germ fighter.
[00:06:47.158 --> 00:06:50.779]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:06:50.999 --> 00:06:57.244]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:06:57.384 --> 00:06:59.505]  That's SupernaturalSilver.com.
[00:06:59.685 --> 00:07:00.886]  And like us on Facebook.
[00:07:02.207 --> 00:07:04.049]  This man wants your guns.
[00:07:04.229 --> 00:07:09.552]  That is the cover of the 60-page glossy magazine jam-packed with information.
[00:07:09.633 --> 00:07:12.635]  The December issue of InfoWars Magazine.
[00:07:12.735 --> 00:07:19.920]  InfoWars Magazine gives you a powerful tool to reach out to friends and family and neighbors and people in your community with the message of liberty.
[00:07:20.000 --> 00:07:23.204]  Give a gift subscription to your local police department.
[00:07:23.244 --> 00:07:26.629]  Give a gift subscription to your local state house, to your pastor.
[00:07:26.729 --> 00:07:28.191]  This is the perfect tool.
[00:07:28.291 --> 00:07:34.960]  Twelve of these delivered to the door of the institutions, groups, and individuals that you want to influence and wake up.
[00:07:35.180 --> 00:07:42.024]  Sign up for the free digital e-version at InfoWars.com forward slash newsletter and we send it out the week after the physical magazine goes out.
[00:07:42.144 --> 00:07:45.405]  Or go to InfoWarsStore.com today and sign up for a subscription.
[00:07:45.485 --> 00:07:52.409]  Give it as a gift subscription or buy them in bulk with Ron Paul, The Attack on the Second Amendment, The Police State, The GMO Takeover.
[00:07:52.489 --> 00:07:57.712]  It's all there and all available at InfoWarsStore.com or by calling 888-253-3139.
[00:07:57.732 --> 00:08:01.514]  Get your subscription or buy the magazines in bulk today.
[00:08:02.853 --> 00:08:07.907]  From the front lines of the Information War, it's Alex Jones!
[00:08:15.717 --> 00:08:18.379]  All right, welcome to the Alex Jones Show.
[00:08:18.419 --> 00:08:19.600]  This is Friday, December 28, 2012.
[00:08:21.281 --> 00:08:27.206]  Mike Adams, the Health Ranger, editor of NaturalNews.com, filling in for Alex today for the first two and a half hours.
[00:08:27.726 --> 00:08:30.568]  Alex will be joining us, taking over the studio.
[00:08:30.688 --> 00:08:32.309]  It is his studio.
[00:08:32.570 --> 00:08:36.553]  So he'll be here two and a half hours to continue the show and go into overdrive.
[00:08:36.613 --> 00:08:41.897]  And he's going to be interviewing Doug Hagman during that segment and also offering some additional commentary.
[00:08:43.001 --> 00:08:48.625]  Now, obviously, if you're just joining us, we are at red alert levels everywhere across America.
[00:08:48.665 --> 00:08:54.588]  The assault on our liberties, our freedoms, our Constitution, our Bill of Rights is intense.
[00:08:54.808 --> 00:08:56.630]  It has never been more intense.
[00:08:57.290 --> 00:08:59.771]  The situation has never been more dire.
[00:09:00.232 --> 00:09:01.573]  But there is
[00:09:02.353 --> 00:09:22.401]  A real justification for hope for solutions because so many Americans are already armed, and I mean law-abiding Americans, police officers, returning military veterans, active duty veterans, farmers, ranchers, Second Amendment supporters, competition shooters,
[00:09:23.061 --> 00:09:28.025]  People who just enjoy the hobby of shooting, they are armed like never before.
[00:09:28.045 --> 00:09:48.381]  And in fact, one of the most important realizations in all of this is that since the Sandy Hook shooting, which itself has all sorts of questions, for example, there's a video we're going to run later, guys, news announcing that the AR-15 Bushmaster was actually left in the car, wasn't even involved in the shooting.
[00:09:48.481 --> 00:09:51.924]  So that hoax that this was a, quote, assault rifle
[00:09:52.384 --> 00:09:52.944]  Massacre.
[00:09:53.224 --> 00:09:54.565]  We're going to expose that right here.
[00:09:54.765 --> 00:09:58.387]  It was actually carried out with handguns, not AR-15s.
[00:09:59.167 --> 00:10:21.219]  But one of the things that happened in the aftermath of that shooting is that it looks like about 10 million firearms are newly in possession of law-abiding American people since that shooting because there was such a mad rush to go out and buy AR-15s, to go out and buy bolt-action rifles and handguns and shotguns and everything you can imagine.
[00:10:22.319 --> 00:10:35.886]  The media, by hyping this up and engaging in their emotional fear manipulation campaign, they have actually succeeded in arming America to the teeth, which is good.
[00:10:36.306 --> 00:10:39.748]  It's good for patriots because it means more distribution of power.
[00:10:40.368 --> 00:10:44.431]  Less of a risk of a monopoly of violence in the hands of the government alone.
[00:10:44.911 --> 00:10:48.994]  We've got more firearms in the hands of people and also ammunition.
[00:10:49.334 --> 00:10:55.639]  Have you noticed that you can't buy magazines or ammunition now just about anywhere?
[00:10:56.139 --> 00:11:08.908]  Try all the online websites, you know, Ammo2Go, MidwayUSA, Brownells, all the sites, Cabela's, you name it, they're all completely wiped out of virtually every
[00:11:09.588 --> 00:11:10.149]  We're good to go.
[00:11:34.231 --> 00:11:36.853]  And that's been covered here on InfoWars.
[00:11:37.333 --> 00:11:42.676]  And most of those rounds are designated for domestic use against the American people.
[00:11:43.357 --> 00:11:44.297]  So now we know.
[00:11:44.317 --> 00:11:45.218]  Now we know.
[00:11:45.318 --> 00:11:47.439]  Thank you, Feinstein, for showing your cards.
[00:11:47.939 --> 00:11:50.201]  Now we know what that ammo is truly for.
[00:11:50.641 --> 00:11:53.983]  It's not a conspiracy theory to say, they're coming after your guns.
[00:11:54.423 --> 00:12:00.447]  It's not a conspiracy theory to say that ammunition is being stockpiled to be used against the American people.
[00:12:01.167 --> 00:12:05.609]  We now know that that is fact, because those are hollow point rounds.
[00:12:05.889 --> 00:12:07.230]  You can't use them in wartime.
[00:12:07.270 --> 00:12:09.171]  It's a violation of the Geneva Convention.
[00:12:09.471 --> 00:12:15.253]  They're mostly .40 caliber hollow points, which is not even used by most soldiers.
[00:12:15.293 --> 00:12:20.256]  They tend to use 9mm, for example, NATO sizes, NATO calibers.
[00:12:21.434 --> 00:12:23.216]  And they also include sniper rounds.
[00:12:23.837 --> 00:12:27.181]  So, here's a cartoon that we just released last night.
[00:12:27.661 --> 00:12:28.983]  Counterthink cartoon.
[00:12:29.563 --> 00:12:31.305]  I'm the creator of that series.
[00:12:31.766 --> 00:12:33.768]  But the cartoon is called Guns Are Bad.
[00:12:33.828 --> 00:12:36.531]  Now, I know those of you listening on the radio can't see this, but you can.
[00:12:36.852 --> 00:12:38.714]  I believe this is posted on Infowars.com.
[00:12:39.194 --> 00:12:40.416]  But let me just describe it to you.
[00:12:40.556 --> 00:12:41.557]  It's got Obama
[00:12:42.778 --> 00:12:56.907]  Standing on top of a massive pile, a massive mountain of firearms and guns and ammo boxes labeled D-E-A-T-S-A-A-T-F-D-H-S and other agency names.
[00:12:57.268 --> 00:13:07.914]  And it's got Obama pointing down from his mountain of firearms, pointing down at a farmer holding a ranch rifle, screaming, guns are bad!
[00:13:08.855 --> 00:13:25.460]  So this cartoon, which obviously I encourage you to just share this, post it anywhere you want, get the message out there, this shows the hypocrisy of the government saying, well you can't have guns, you the people can't have guns, because we have them all.
[00:13:25.500 --> 00:13:26.300]  We want to have them all.
[00:13:26.400 --> 00:13:28.221]  We have 1.6 billion rounds of ammo.
[00:13:28.281 --> 00:13:36.183]  We have all the advanced weaponry and full auto firearms in the hands of government, even though most American citizens only own semi-auto firearms.
[00:13:36.963 --> 00:13:42.570]  So the government already has a great imbalance of power in that realm of firearms, but it wants to make that complete.
[00:13:43.111 --> 00:13:46.155]  Hence, hence the gun confiscation.
[00:13:47.777 --> 00:13:53.063]  Now, do you guys have that video ready about that assault rifle being left in the car?
[00:13:54.727 --> 00:13:57.468]  All right, let's run that, because I want to get this point out there.
[00:13:57.768 --> 00:14:02.309]  This shooting in Sandy Hook was not carried out with a Bushmaster AR-15.
[00:14:02.389 --> 00:14:05.109]  It was carried out only with handguns.
[00:14:05.589 --> 00:14:06.850]  And why are there four handguns?
[00:14:07.590 --> 00:14:09.110]  Because there were at least two people, folks.
[00:14:09.910 --> 00:14:12.131]  I'm telling you, human beings don't have four arms.
[00:14:12.391 --> 00:14:16.532]  Unless you're eating genetically modified corn, you can't fire four handguns all at once.
[00:14:17.896 --> 00:14:22.062]  It's almost proof that there was more than one shooter involved, but let's go ahead and roll that video.
[00:14:22.082 --> 00:14:23.023]  It's only a minute and something.
[00:14:23.043 --> 00:14:23.945]  Go ahead, let's take a look.
[00:14:23.965 --> 00:14:27.570]  Pete Williams, our Chief Justice Correspondent, has got some new information as well.
[00:14:27.610 --> 00:14:28.211]  Pete, good morning.
[00:14:28.979 --> 00:14:30.000]  Matt, good morning to you.
[00:14:30.260 --> 00:14:33.861]  This continues to be a very complex investigation.
[00:14:33.881 --> 00:14:41.565]  There's a lot of contradictory information out there, but there is some new information this morning from a couple of federal officials and state officials.
[00:14:42.065 --> 00:14:51.490]  They say now that there were actually four handguns recovered inside the school, not just two as we were initially told.
[00:14:52.270 --> 00:14:57.012]  Four handguns and apparently only handguns that were taken into the school.
[00:14:57.112 --> 00:15:10.437]  We knew that Adam Lanza, the man said to be the gunman here, also had a assault-style, AR-15-style rifle that he had taken to the school that was in the car he drove there, his mother's car.
[00:15:10.757 --> 00:15:10.998]  In the car.
[00:15:11.018 --> 00:15:14.279]  But we've been told by several officials that he left that in the car.
[00:15:15.139 --> 00:15:17.860]  We're also told that on the 11th of December.
[00:15:17.960 --> 00:15:19.681]  He left the AR-15 in the car.
[00:15:19.961 --> 00:15:21.562]  It was not used in the shooting.
[00:15:22.142 --> 00:15:23.745]  That right there from NBC News.
[00:15:24.806 --> 00:15:25.447]  And there you go.
[00:15:25.527 --> 00:15:37.685]  But that's never going to be talked about in the mainstream media ever again because they've decided to go with the lone gunman theory and the AR-15 Bushmaster theory so that people like Feinstein
[00:15:39.113 --> 00:15:43.297]  The most wretched evil witch to ever set foot on the floor of the U.S.
[00:15:43.337 --> 00:15:54.286]  Senate, in my opinion, so that she can then call for the mass disarmament of the American people, first starting with gun registration and then, of course, inevitably ending up in gun confiscation.
[00:15:54.626 --> 00:16:02.353]  Now, there is a new petition that has been launched by InfoWars to try Dianne Feinstein for treason.
[00:16:03.715 --> 00:16:07.739]  Paul Joseph Watson has a story, now posted on InfoWars.com.
[00:16:08.619 --> 00:16:17.067]  The latest White House petition garnering attention demands that Senator Feinstein be tried in federal court for treason against the Constitution.
[00:16:17.827 --> 00:16:23.192]  For her role in introducing legislation that would go a long way to repealing the Second Amendment.
[00:16:23.272 --> 00:16:29.258]  Now, I'm not going to read the whole thing, but I urge you to go to InfoWars.com
[00:16:30.851 --> 00:16:35.576]  This is the top article, and you need to sign this petition.
[00:16:36.456 --> 00:16:40.020]  Don't be afraid of signing the petition, thinking, oh, they're going to find out who we are.
[00:16:40.060 --> 00:16:41.581]  They already know who you are, okay?
[00:16:41.942 --> 00:16:49.369]  They've got all your tax records, all your property records, all your instant background NICS, FBI gun purchase records.
[00:16:49.389 --> 00:16:50.049]  They've already got that.
[00:16:50.530 --> 00:16:51.511]  Sign the petition.
[00:16:51.971 --> 00:16:52.872]  Send a message.
[00:16:53.252 --> 00:16:58.377]  Now, obviously, they're probably, at least in this administration, never going to charge Feinstein for treason.
[00:16:58.837 --> 00:17:04.402]  But just having a lot of people sign the petition makes waves throughout the media.
[00:17:04.963 --> 00:17:15.012]  And if there is a collapse and a new society that comes out of it, perhaps a new society based on the Constitution, imagine that.
[00:17:15.732 --> 00:17:32.855]  Then it is very feasible that people like Feinstein could be tried for treason and that others who are involved in the deliberate destruction of the Second Amendment and the Bill of Rights could be arrested and prosecuted for their crimes against the American people and the Constitution.
[00:17:33.616 --> 00:17:36.737]  So this is not simply theater.
[00:17:37.077 --> 00:17:39.518]  This is a very serious issue.
[00:17:40.259 --> 00:17:56.845]  And anyone who goes out like Feinstein and attempts to destroy the Second Amendment and the Bill of Rights and take away these freedoms and liberties that the American people have fought and died for in previous generations, those people, those people that try to take these rights, in my view, they are criminals.
[00:17:57.526 --> 00:18:00.467]  And they need to be arrested and tried.
[00:18:01.167 --> 00:18:02.448]  For their crimes against America.
[00:18:21.437 --> 00:18:28.261]  Everyone that they can then label as being a future killer if they share any DNA with Adam Lanza.
[00:18:28.641 --> 00:18:29.142]  You got that?
[00:18:29.582 --> 00:18:39.027]  They're gonna harvest DNA from his dead body and use it to label you a potential future killer if you have common genetic traits.
[00:18:39.668 --> 00:18:44.351]  That is a story from Mail Online in the UK and scientists are working on this.
[00:18:44.751 --> 00:18:47.453]  Again, this is the kind of tyranny we are dealing with.
[00:18:47.513 --> 00:18:49.254]  So now, not only
[00:18:50.334 --> 00:18:52.254]  Are all gun owners supposedly evil?
[00:18:52.854 --> 00:19:02.796]  But if you even share a genetic code with Adam Lanza and the point is that 99.8% of all human genetic code is identical anyway.
[00:19:03.436 --> 00:19:06.597]  So you already share genetic code with Adam Lanza.
[00:19:07.377 --> 00:19:15.318]  Senator Feinstein shares genetic code with Adam Lanza and probably some lizard people as well.
[00:19:15.338 --> 00:19:16.779]  Let's get David Icke to comment on that.
[00:19:17.199 --> 00:19:18.279]  But for sure,
[00:19:19.359 --> 00:19:23.021]  For sure she shares genetic code with Adam Lanza, as do you.
[00:19:23.621 --> 00:19:25.902]  As does every human being on the planet.
[00:19:25.922 --> 00:19:36.086]  So this is the latest example of scientific tyranny, scientific dictatorship to be able to say that anyone, anyone could be a future killer.
[00:19:36.366 --> 00:19:37.527]  This is pre-crime.
[00:19:37.807 --> 00:19:39.028]  These are thought crimes.
[00:19:39.348 --> 00:19:46.591]  The hammer is being dropped, like just out of a dystopian sci-fi fiction film, where if you are even born,
[00:19:47.031 --> 00:19:54.637]  With some of this DNA, you are immediately labeled a terrorist and you could be sent to prison just based on your genetic profile.
[00:19:54.757 --> 00:19:56.199]  That's what America has come to.
[00:19:56.239 --> 00:19:56.679]  Stay with us.
[00:19:56.719 --> 00:19:59.842]  We'll be right back with more right here on the Alex Jones Show.
[00:20:04.096 --> 00:20:08.902]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:09.603 --> 00:20:12.346]  The most devastating economic condition since the Great Depression.
[00:20:12.767 --> 00:20:15.110]  America's worst drought in agricultural history.
[00:20:15.550 --> 00:20:18.073]  And now the economic results of the presidential election.
[00:20:18.494 --> 00:20:21.478]  This perfect storm is a huge threat to everyone's food supply.
[00:20:21.938 --> 00:20:26.503]  I just doubled down and got even more supplies from eFoodsDirect and I recommend you do the same.
[00:20:27.063 --> 00:20:29.185]  It's time to get your own supply from eFoodsDirect.
[00:20:29.686 --> 00:20:32.708]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:33.289 --> 00:20:36.992]  I'm taking control of my future and you're nuts if you don't do the same.
[00:20:37.473 --> 00:20:40.556]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:20:40.836 --> 00:20:44.140]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:20:45.181 --> 00:20:47.384]  Remember, I can warn you, but I can't feed you.
[00:20:47.644 --> 00:20:52.529]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:53.010 --> 00:20:56.074]  Would you rather prepare six months too early or one day too late?
[00:20:56.094 --> 00:20:57.655]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:02.213 --> 00:21:08.194]  HempUSA.org has a newly designed website and a new and improved detoxification product.
[00:21:08.394 --> 00:21:17.236]  Order our new Microplant Powder Gold loaded with vitamins, minerals, iodine, and probiotics and we'll send you our travel-size Microplant Powder absolutely free.
[00:21:17.476 --> 00:21:20.116]  Microplant Powder only at HempUSA.org.
[00:21:20.236 --> 00:21:21.716]  Call 908-691-2608.
[00:21:21.756 --> 00:21:23.637]  That's 908-691-2608.
[00:21:24.257 --> 00:21:29.758]  And see what our powders, seeds, and oil can do for you only at HempUSA.org.
[00:21:29.918 --> 00:21:31.098]  Only this offer ends January 31st.
[00:21:31.926 --> 00:21:33.007]  Hi, this is Ted Anderson.
[00:21:33.167 --> 00:21:37.550]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:21:37.730 --> 00:21:43.434]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:21:43.534 --> 00:21:46.956]  Gold has outperformed paper investments, yet no word about IRAs.
[00:21:47.176 --> 00:21:49.798]  If you would like to have gold for your retirement, call 800-686-2237.
[00:21:49.898 --> 00:21:54.821]  Don't get left behind by rising inflation and low returns.
[00:21:54.961 --> 00:21:55.182]  Call 800-686-2237.
[00:21:55.202 --> 00:21:56.603]  Secure your future and call 1-800-686-2237.
[00:22:03.267 --> 00:22:04.908]  Time and time again.
[00:22:05.228 --> 00:22:07.710]  You need to come here and help us.
[00:22:07.810 --> 00:22:08.910]  We need assistance.
[00:22:09.251 --> 00:22:09.811]  Please!
[00:22:10.071 --> 00:22:13.393]  Those we should be able to depend on let us down.
[00:22:13.653 --> 00:22:19.757]  Federal and state and local officials saying help is on the way, while the folks here in Bell Harbor say show me.
[00:22:20.037 --> 00:22:22.378]  Don't depend on the government to save you.
[00:22:22.578 --> 00:22:28.922]  Take action now so that you're prepared for the next disaster with MyPatriotsupply.com.
[00:22:29.222 --> 00:22:41.889]  Get the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books and more at MyPatriotsupply.com.
[00:22:42.069 --> 00:22:42.450]  Call 866-229-0927.
[00:22:42.670 --> 00:22:44.471]  We are hurting down here and we need help.
[00:22:48.854 --> 00:22:49.695]  Immediately!
[00:22:49.735 --> 00:22:54.081]  Before it's time to survive, it's time to prepare.
[00:22:54.521 --> 00:22:58.907]  MyPatriotSupply.com MyPatriotSupply.com
[00:23:01.513 --> 00:23:07.155]  Would it save you time to get the best quality water filters and the best quality storable foods from one company?
[00:23:07.535 --> 00:23:08.295]  You bet it would!
[00:23:08.555 --> 00:23:09.595]  And now you can!
[00:23:09.935 --> 00:23:20.138]  At BigBerkyWaterFilters.com, Big Berky Water Filter products and great tasting, long lasting, storable Wyze Foods are both now available on one website.
[00:23:20.398 --> 00:23:22.299]  BigBerkyWaterFilters.com.
[00:23:22.559 --> 00:23:23.239]  Wyze Foods.
[00:23:23.459 --> 00:23:28.481]  Ready-to-eat meals are packed in airtight nitrogen pouches and come with a 25-year shelf life.
[00:23:28.761 --> 00:23:34.802]  Big Berkey water filters are powerful enough to purify treated, untreated, or even stagnant pond water.
[00:23:35.063 --> 00:23:39.624]  Combine Berkey water filters with Wise Foods for an unbeatable preparedness combination.
[00:23:39.984 --> 00:23:46.529]  Get free shipping on every order over $50 and GCN listeners receive 5% off all ceramic filter systems.
[00:23:46.890 --> 00:23:52.194]  Visit bigberkeywaterfilters.com or call 877-99-BERKEY.
[00:23:52.254 --> 00:23:54.876]  That's 877-99-BERKEY or go to bigberkeywaterfilters.com.
[00:24:11.269 --> 00:24:12.230]  Alright, listen up folks.
[00:24:12.490 --> 00:24:13.971]  This is the Alex Jones Show.
[00:24:14.331 --> 00:24:19.795]  Mike Adams, the health ranger, filming in for Alex today, wearing the InfoWars Bullhorn shirt.
[00:24:19.815 --> 00:24:21.376]  I hope you can see that there.
[00:24:21.396 --> 00:24:26.900]  For those of you watching on PrisonPlanet.tv, they have a great selection of shirts in the warehouse back there.
[00:24:26.940 --> 00:24:28.381]  Go to InfoWarsStore.
[00:24:28.401 --> 00:24:29.962]  It's InfoWarsStore.com, right?
[00:24:30.923 --> 00:24:31.123]  Yeah.
[00:24:32.004 --> 00:24:35.066]  Okay, InfoWarsStore.com, where you can find all this great gear.
[00:24:36.192 --> 00:24:40.377]  Now, this is the most important segment that I'll probably talk about today.
[00:24:40.718 --> 00:24:43.241]  Listen, we have a solution for some of this.
[00:24:44.176 --> 00:24:48.219]  But to understand that, we've got to talk about the Facebook censorship that happened yesterday.
[00:24:48.319 --> 00:24:54.283]  Facebook has gone on a massive purge of all political speech that it does not agree with.
[00:24:54.663 --> 00:25:07.872]  This is a shutdown, a disabling of dozens of accounts of people who are posting political speech, the Bill of Rights, the Architects and Engineers for 9-11 Truth.
[00:25:07.932 --> 00:25:09.913]  I think their account was shut down yesterday.
[00:25:09.933 --> 00:25:13.356]  Some of these accounts may be back on, including ours is back on today.
[00:25:14.736 --> 00:25:19.118]  But we were given a final warning, too, after posting our Gandhi quote, which made news yesterday.
[00:25:19.178 --> 00:25:20.859]  Where is my Gandhi quote?
[00:25:22.020 --> 00:25:22.720]  Anyway, I'll find it.
[00:25:23.040 --> 00:25:26.702]  But the Gandhi quote... Oh, you have it right there.
[00:25:26.742 --> 00:25:27.042]  Thank you.
[00:25:28.062 --> 00:25:28.422]  Here it is.
[00:25:29.043 --> 00:25:34.945]  We posted this picture of Gandhi saying this, quote, among the many misdeeds of British rule in India,
[00:25:36.548 --> 00:25:41.894]  History will look upon the act depriving a whole nation of arms as the blackest.
[00:25:42.654 --> 00:25:44.256]  And of course by that he means the darkest.
[00:25:44.617 --> 00:25:46.358]  This is not about color.
