[00:00:22.415 --> 00:00:25.816]  Greetings, it's InfoWars Nightly News, it's your Friday edition.
[00:09:26.985 --> 00:09:29.247]  There's a recent study in Turkey.
[00:09:30.508 --> 00:09:35.292]  They concluded 66% of women will contract breast cancer.
[00:09:35.332 --> 00:09:37.414]  Your chances increase 66%.
[00:09:37.874 --> 00:09:44.339]  And simply because when you miscarry, when a woman miscarries, the brain knows it.
[00:09:45.101 --> 00:09:47.351]  And sends messages throughout the body shut down.
[00:09:48.034 --> 00:09:49.441]  When you surgically do it...
[00:09:50.679 --> 00:09:52.620]  And you abort the child surgically.
[00:09:52.640 --> 00:09:54.881]  The brain does not recognize that.
[00:09:55.181 --> 00:09:56.862]  And it continually sends signals.
[00:09:56.962 --> 00:10:01.885]  And what organ is affected by it the most is the breast of a woman.
[00:10:02.245 --> 00:10:09.628]  By the time it begins to shut down and realize there's no child, there's so many hormones and other things that are there.
[00:10:10.089 --> 00:10:12.230]  And they become cancerous later on.
[00:10:12.790 --> 00:10:18.733]  Now, African-American women now lead the country in pre-term deaths of their children.
[00:10:19.273 --> 00:10:23.856]  Because abortion is being sold to African American women as a contraceptive.
[00:10:24.637 --> 00:10:31.441]  Which is unquestionably the most detrimental thing other than the death of the child.
[00:10:31.521 --> 00:10:41.088]  Because you now have created a situation with this woman that she's not able to carry full term when she wants a child.
[00:10:41.688 --> 00:10:48.533]  And so pre-term deaths, once again, was not an issue in the African American community.
[00:10:49.373 --> 00:10:51.414]  And now they lead the country.
[00:10:52.955 --> 00:10:54.835]  And don't take it from Reverend Childress.
[00:10:55.616 --> 00:10:56.876]  Look up the information yourself.
[00:10:57.657 --> 00:10:59.437]  Look up the studies that have been done.
[00:10:59.557 --> 00:11:00.158]  Check that out.
[00:11:00.518 --> 00:11:02.879]  And regardless of what your position is on abortion.
[00:11:03.925 --> 00:11:17.816]  If girls 16, 17, 18, these young women who are going in there and using this as contraception, they need to be educated to the fact that their chances of cancer are going to go up and their chances of never having children are going to go up if they go through this procedure.
[00:11:18.696 --> 00:11:22.239]  And, you know, that's really what we have to look at.
[00:11:22.279 --> 00:11:25.702]  So I would ask Susan G. Komen to reconsider.
[00:11:25.762 --> 00:11:33.328]  If they really are interested in stopping cancers, they should not be funding an organization whose procedures actually lead to the increase of cancer.
[00:11:34.622 --> 00:11:37.283]  Moving on to Monsanto, another loving company.
[00:11:37.303 --> 00:11:39.464]  This is out of Natural News.
[00:11:40.044 --> 00:11:44.667]  Help stop former Monsanto VP from attaining top position at FDA.
[00:11:44.727 --> 00:11:45.607]  Sign the petition.
[00:11:46.287 --> 00:11:54.091]  And the one man who may be responsible for more food-related illnesses and deaths than anyone in history, Michael R. Taylor, has just been promoted from U.S.
[00:11:54.131 --> 00:11:56.012]  Food Safety Czar to Senior Advisor
[00:11:56.852 --> 00:12:10.084]  To the Commissioner of the FDA, a position which would enable the giant biotech company Monsanto to silently and legally feed cancer-causing vegetables to every living person who is not 100% strictly organic.
[00:12:10.865 --> 00:12:16.890]  President Obama has appointed the former Monsanto Vice President and lobbyist Michael R. Taylor to the throne.
[00:12:17.811 --> 00:12:23.214]  This is the same man who was food safety czar for the FDA when GMOs were allowed into the U.S.
[00:12:23.575 --> 00:12:27.197]  food supply without undergoing a single test to determine their safety risks.
[00:12:27.777 --> 00:12:30.299]  This is like putting terrorists in charge of the world's food supply.
[00:12:30.319 --> 00:12:32.940]  What do you think the cancer numbers are going to look like in 2016?
[00:12:33.621 --> 00:12:36.042]  So who is Michael Taylor?
[00:12:36.282 --> 00:12:37.763]  Probably somebody you've never really heard of.
[00:12:39.870 --> 00:12:41.271]  A quick search into his background.
[00:12:41.371 --> 00:12:47.096]  He started off as a staff attorney for the FDA back in the late 70s.
[00:12:47.757 --> 00:12:55.964]  By 1981, he went to a private practice at King and Spalding, a law firm that represented a biotech company, a little company, named Monsanto.
[00:12:56.857 --> 00:13:04.842]  Then in 1991, he left the law firm and went to the FDA, back to the FDA, and created the post of Deputy Commissioner for Policy.
[00:13:05.462 --> 00:13:11.266]  And between 94 and 96, he moved to the USDA, where he was Administrator of Food Safety and Inspection.
[00:13:11.966 --> 00:13:17.410]  Then he returned back to King and Spaulding, and then went on to Monsanto to become Vice President for Public Policy.
[00:13:17.710 --> 00:13:19.191]  Does this sound like a revolving door?
[00:13:20.212 --> 00:13:25.135]  He once again, in 2009, returned to government as Senior Advisor to the FDA Commissioner.
[00:13:26.275 --> 00:13:26.776]  All right.
[00:13:46.820 --> 00:13:52.722]  We've got Obama who wants to appoint this guy to one of the highest levels in our food safety.
[00:13:53.282 --> 00:13:59.024]  We've got a clip here from the video that we carry, The World According to Monsanto, and it's all about Michael Taylor.
[00:13:59.364 --> 00:14:00.805]  Let's go to that clip right now.
[00:14:01.892 --> 00:14:14.006]  Early on, a gentleman by the name of Michael Taylor became the Deputy Administrator of the Food and Drug Administration right at the time that they were about to set out their policy.
[00:14:14.787 --> 00:14:15.988]  Who is Michael Taylor?
[00:14:16.408 --> 00:14:19.432]  Today he heads a foundation called Resources for the Future.
[00:14:19.452 --> 00:14:21.614]  Hello, Mary Monique speaking.
[00:14:21.634 --> 00:14:23.056]  Hello, it's Mike Taylor.
[00:14:23.706 --> 00:14:30.932]  My questions are about your role when you were working at the FDA.
[00:14:31.712 --> 00:14:37.376]  Before being hired by the FDA, you worked as an attorney for Monsanto during seven years, didn't you?
[00:14:37.396 --> 00:14:42.160]  Well, I was a partner in a law firm of which Monsanto was a client.
[00:14:43.081 --> 00:14:45.983]  I worked on some Monsanto matters, yes.
[00:14:47.569 --> 00:14:56.753]  And apparently, if I understood well what I read, the FDA created a new position for you, Deputy Commissioner for Policy?
[00:14:57.814 --> 00:15:04.516]  Well... Because there was a special need at that time at the FDA because of the new GMOs?
[00:15:05.657 --> 00:15:07.838]  It had nothing to do with GMOs.
[00:15:08.778 --> 00:15:10.439]  Nothing at all to do with GMOs.
[00:15:10.959 --> 00:15:12.720]  I wasn't the author of these policies.
[00:15:13.320 --> 00:15:14.080]  But that's just false.
[00:15:16.849 --> 00:15:21.014]  He moved over to the FDA in July of 1991.
[00:15:21.815 --> 00:15:25.699]  Up until that time, he was at a law firm called King & Spalding.
[00:15:25.919 --> 00:15:31.005]  His personal clients included not only Monsanto, but the International Food Biotechnology Council.
[00:15:31.285 --> 00:15:33.868]  And he had drafted for them a proposal for
[00:15:35.349 --> 00:15:37.872]  How they were like to see genetically engineered foods regulated.
[00:15:38.332 --> 00:15:48.061]  And if you look at the proposal that was written for IFBC, that was Michael Taylor's, with the final one that was published, it looks very, very similar.
[00:15:48.622 --> 00:15:59.452]  So, if he didn't write it, it looks like somebody took what he wrote and changed it slightly for the policy.
[00:16:00.495 --> 00:16:09.979]  Mr. Taylor was the Deputy Commissioner at the time, and he provided the leadership for the project.
[00:16:10.407 --> 00:16:19.217]  And if you remember, this is the same Obama that said he wasn't going to hire any lobbyists or any government insiders, which, of course, we know he's done exactly the opposite.
[00:16:19.718 --> 00:16:24.383]  And even back in 2010, Obama gives key agriculture posts to Monsanto man.
[00:16:24.804 --> 00:16:27.727]  Today, President Obama announced that he will recess the point notice.
[00:16:27.787 --> 00:16:30.431]  He was doing this back in 2010, not just last year.
[00:16:31.431 --> 00:16:38.253]  He appointed Islam A. Sequity to the position of Chief Agricultural Negotiator, the Office of U.S.
[00:16:38.313 --> 00:16:39.093]  Trade Representative.
[00:16:39.613 --> 00:16:47.676]  Sequity is a pesticide lobbyist and vice president for science and regulatory affairs at CropLife America, an agribusiness lobbying group that represents, guess who?
[00:16:48.556 --> 00:16:49.616]  Monsanto.
[00:16:50.056 --> 00:16:56.998]  So as you can see, Monsanto is making their way into every facet of government, especially when it comes to overlooking food safety.
[00:16:57.338 --> 00:16:57.898]  And how is it?
[00:16:57.958 --> 00:16:59.038]  How are they able to do that?
[00:16:59.098 --> 00:17:02.479]  Well, let's look at their lobbying track over the past few years.
[00:17:02.499 --> 00:17:04.040]  We go to another Natural News article.
[00:17:04.640 --> 00:17:10.201]  Monsanto spends a whopping $2 million in the third quarter of 2011 lobbying the federal government.
[00:17:11.522 --> 00:17:20.008]  Later on in the article, they source OpenSecrets.org, and let's just look and see how much money they've given over the past few years.
[00:17:20.028 --> 00:17:20.928]  $5.1 million in 2011.
[00:17:21.769 --> 00:17:24.331]  In 2010, they spent over $8 million.
[00:17:24.711 --> 00:17:26.212]  And in 2009, $8.6 million.
[00:17:26.232 --> 00:17:27.333]  These are all for lobbying.
[00:17:27.953 --> 00:17:35.078]  But their largest year was 2008, when it spent nearly $9 million bribing the federal government to betray the American people.
[00:17:36.439 --> 00:17:38.561]  But look, this isn't just Obama.
[00:17:39.101 --> 00:17:40.322]  This isn't just the Democrats.
[00:17:41.892 --> 00:17:47.076]  Back in the days of good old George W. Remember Dan Quayle, Vice President?
[00:17:48.336 --> 00:17:49.857]  And I'm going to read along.
[00:17:49.897 --> 00:17:53.000]  You can go to the Seeds of Deception, page 130.
[00:17:54.461 --> 00:17:55.821]  First full paragraph.
[00:17:56.222 --> 00:18:03.907]  The biotech industry's success with these government leaders became apparent in May 26, 1992 at the Indian Treaty Room of the old Executive Building.
[00:18:04.528 --> 00:18:11.755]  There, Vice President Dan Quell announced the Bush Administration's new policy on genetically engineered food, and he said, I quote,
[00:18:22.364 --> 00:18:30.489]  We will ensure that biotech products receive the same oversight as other products instead of being hampered by unnecessary regulation.
[00:18:30.550 --> 00:18:31.870]  There it is, Seeds of Deception.
[00:18:31.910 --> 00:18:34.672]  You can get the book also at InfoWars.com.
[00:18:35.893 --> 00:18:36.694]  I would say check it out.
[00:18:36.714 --> 00:18:43.618]  It's a great book, especially when it talks about the gene gun and how they actually, the process of making these genetically engineered foods.
[00:18:43.658 --> 00:18:47.341]  They fire genes into other genes and see what sticks.
[00:18:47.401 --> 00:18:51.964]  I mean, I don't know if you could call that science, but they call it science and they spend a lot of money on it.
[00:18:53.145 --> 00:18:58.650]  And obviously we know it's for your health because they do lots of studies to check and see how these things react with you.
[00:18:59.171 --> 00:19:01.093]  Oh, that's right, they don't.
[00:19:02.014 --> 00:19:08.020]  What they do is go after the scientists who are doing those studies and ruin their lives, which you can see in Scientists Under Attack.
[00:19:09.281 --> 00:19:10.802]  Our food supply should be kept local.
[00:19:10.842 --> 00:19:12.102]  It shouldn't be big agribusiness.
[00:19:12.162 --> 00:19:15.123]  We did that experiment since the 1920s.
[00:19:15.203 --> 00:19:17.464]  We've been doing that experiment, and it hasn't worked.
[00:19:17.764 --> 00:19:18.484]  And we see that.
[00:19:18.544 --> 00:19:19.724]  We've depleted our soils.
[00:19:20.024 --> 00:19:21.385]  We're creating crappy food.
[00:19:21.945 --> 00:19:27.007]  We're creating giant farms, animals being packed in, and we know this doesn't work.
[00:19:27.647 --> 00:19:30.248]  We know there are alternatives, and we know it's about keeping it local.
[00:19:30.548 --> 00:19:32.848]  But they don't want the food supply to be kept local.
[00:19:33.169 --> 00:19:37.390]  People like Monsanto want to be in control of this so they can control your very lives.
[00:19:38.786 --> 00:19:40.768]  But we're not done with Monsanto yet.
[00:19:42.830 --> 00:19:45.672]  It seems they've come out with a new sweetener.
[00:19:45.772 --> 00:19:48.354]  Just like Aspartame, but it's called Neotame.
[00:19:49.155 --> 00:19:50.656]  New neurotoxic sweetener.
[00:19:50.816 --> 00:19:52.158]  FDA says no label needed.
[00:19:52.358 --> 00:19:53.439]  Not even in organics.
[00:19:54.099 --> 00:19:57.822]  A Monsanto-created chemical, Neotame, is likely more toxic than Aspartame.
[00:19:58.203 --> 00:20:06.090]  The FDA has quietly decided that we don't even have the right to know if it's adulterating our food, even if it's been labeled organic.
[00:20:07.418 --> 00:20:08.499]  Let's go to the next quote.
[00:20:20.450 --> 00:20:22.091]  It is that the public will try to avoid it.
[00:20:22.271 --> 00:20:24.092]  For the most part, that technique has worked.
[00:20:24.352 --> 00:20:38.080]  For now, very quietly, the FDA has decided that the public shouldn't be informed when Neotame is included in any product, even organic products, which are supposed to be unadulterated with the chemicals and are not required to state when Neotame is added.
[00:20:38.800 --> 00:20:39.520]  So there you go.
[00:20:39.680 --> 00:20:44.903]  Of course, this article from the group Gaia Earth, they do offer a solution.
[00:20:44.923 --> 00:20:47.665]  Their solution is very simple.
[00:20:47.685 --> 00:20:49.446]  If you want to avoid foods
[00:20:50.894 --> 00:20:54.136]  Adulterated with neotame and groom yourself.
[00:20:54.376 --> 00:20:55.437]  That's basically what they say.
[00:20:56.198 --> 00:21:02.762]  So that's one of your only choices or join a food co-op or keep it local as they say.
[00:21:04.103 --> 00:21:04.904]  Moving on to another
[00:21:06.303 --> 00:21:08.245]  Glorious topic of HPV vaccines.
[00:21:08.265 --> 00:21:13.769]  This comes from Kurt Linderman Sr., who writes articles from time to time, has been a guest on this show.
[00:21:14.590 --> 00:21:20.475]  HPV Vaccine Victims Advocacy Group sends open letter to HHS Secretary Kathleen Sebelius.
[00:21:20.935 --> 00:21:22.776]  She was a former governor of Kansas.
[00:21:23.717 --> 00:21:26.019]  And in it, the group is called SaneVax.
[00:21:26.079 --> 00:21:28.241]  You can find out more about them at SaneVax.org.
[00:21:29.702 --> 00:21:41.819]  They state that the studies 2.6 to 6.2 more HPV vaccinated young women experienced other high risks HPV infections than unvaccinated women.
[00:21:42.881 --> 00:22:04.811]  And when one considers the drastic number of adverse reactions and the lack of proof of any post-marketing studies showing for success of the vaccines, and outcry from patients regarding draconian measures from governments to force girls and now boys to get vaccinated, Secretary Sebelius, the HHS and the FDA should immediately stop the HPV vaccine recommendations and forcibly remove the product from market.
[00:22:04.831 --> 00:22:05.652]  This is a very
[00:22:06.212 --> 00:22:08.396]  Very strong cry, and I'd like to commend St.
[00:22:08.416 --> 00:22:09.237]  Vax for making this.
[00:22:09.778 --> 00:22:16.468]  By the way, it states that there's been over 24,000 documented adverse reactions to this vaccine, over 3,000 very serious.
[00:22:18.683 --> 00:22:19.143]  But wait!
[00:22:20.363 --> 00:22:25.585]  The National Vaccine Information Center claims that less than 10% of adverse reactions are actually reported.
[00:22:25.905 --> 00:22:31.506]  So this number is probably a lot higher than what is stated in this article.
[00:22:31.546 --> 00:22:39.888]  And this is very, very sad that a lot of women out there, a lot of our young women, are being told this is for their protection and it ends up hurting them really badly.
[00:22:40.908 --> 00:22:41.929]  Moving on to the economy.
[00:22:42.629 --> 00:22:47.671]  Ben Bernanke, this is out of USA Today, urges caution in overly rapid deficit cutting.
[00:22:48.212 --> 00:22:49.372]  And we also have a clip from him.
[00:22:49.773 --> 00:23:02.559]  But Federal Reserve Chair Ben Bernanke defended the central bank's decision to hold interest rates at record low levels so they could keep giving lots of free money to the bank so then they could lend it to you at higher interest rates, thereby making a profit while you pay out the nose.
[00:23:03.440 --> 00:23:07.261]  And for the next three years, during a contentious hearing Thursday before federal lawmakers.
[00:23:07.281 --> 00:23:08.022]  Let's go to the clip.
[00:23:08.683 --> 00:23:12.404]  Moreover, this sluggish expansion has left the economy vulnerable to shocks.
[00:23:13.765 --> 00:23:24.588]  Indeed, last year, supply chain disruptions stemming from the earthquake in Japan, a surge in the prices of oil and other commodities, and spillovers from the European debt crisis risk derailing the recovery.
[00:23:25.208 --> 00:23:29.950]  The outlook remains uncertain, however, and close monitoring of economic developments will remain necessary.
[00:23:31.274 --> 00:23:45.664]  We had Bob Chapman on today's radio show, and he explained that this is probably going to actually create growth in the government, maybe 2%, or it's going to be kind of sideways growth, which really means no growth at all, instead of the negative 2% they were expecting.
[00:23:45.684 --> 00:23:59.995]  And this is because they're just printing more money, and pretty soon QE3 is going to happen, and we're going to lead up to this next bubble that will then crash, and the cycle will repeat itself until people decide to end the Fed.
[00:24:01.240 --> 00:24:02.701]  Moving on to the United Nations.
[00:24:03.721 --> 00:24:06.942]  UN wants a world tax to help the poor.
[00:24:08.743 --> 00:24:13.304]  And this is coming from Deputy Director of the United Nations Development Program, Jens Wendel.
[00:24:13.364 --> 00:24:17.786]  He says he wants a minimal financial tax of .005% that will create $40 billion in revenue.
[00:24:21.701 --> 00:24:31.488]  And let me tell you, it's going to take a lot more than $40 billion in revenue to feed the poor with what he describes as people getting free housing, education, and health care.
[00:24:31.868 --> 00:24:35.451]  And what kind of free housing, education, and health care will you be getting?
[00:24:36.158 --> 00:24:37.959]  Will it be that you have to worship the UN?
[00:24:37.979 --> 00:24:40.260]  Will it be that you have to get a microchip in order to get this?
[00:24:40.741 --> 00:24:44.263]  I wonder how they're going to implement this type of program and then track all the people doing it.
[00:24:44.783 --> 00:24:45.683]  We know how they're going to do it.
[00:24:46.224 --> 00:24:56.770]  We know it has to do with microchips, and we know it has to do with forcing people onto vaccines, and has nothing to do with creating this free utopia that this article states that they're going to do.
[00:24:57.170 --> 00:25:00.052]  Obviously, Paul Joseph Watson knows that that's not what they want to do.
[00:25:01.383 --> 00:25:09.368]  It's just another case of the UN stepping in and trying to remedy a problem that they actually helped create in the first place.
[00:25:09.468 --> 00:25:15.832]  And if you think that bureaucracy is going to do anything with that money other than steal it for themselves, you've got another thing coming.
[00:25:16.912 --> 00:25:22.556]  Final article today, Fed sees over 300 websites on piracy charges.
[00:25:23.578 --> 00:25:26.400]  Federal agents charged with U.S.
[00:25:26.481 --> 00:25:33.627]  Immigration and Customs Enforcement, that's ICE, have seized hundreds of more websites and domain names in what is described as a piracy crackdown.
[00:25:33.847 --> 00:25:34.427]  What are they doing?
[00:25:34.447 --> 00:25:40.072]  They're going after places selling NFL merchandise that isn't licensed.
[00:25:41.033 --> 00:25:49.960]  And the Crackdown is part of a larger law enforcement initiative called Operation In Our Sites, which has seen a total of 669 domain names seized since its inception in 2010.
[00:25:50.501 --> 00:25:54.845]  And they're going to take this and use it for any reason to go after anybody.
[00:25:54.865 --> 00:26:00.089]  They're going to say, oh wait, you played a clip that's registered to the federal government, so we're going to take your website down.
[00:26:00.109 --> 00:26:01.870]  It doesn't matter if you're a news site.
[00:26:01.890 --> 00:26:05.353]  It doesn't matter if you're involved in commentary or discussing
[00:26:06.802 --> 00:26:09.983]  Our federal government seizing our rights and property in the process.
