[00:00:00.229 --> 00:00:01.151]  Welcome to GCN.
[00:03:52.136 --> 00:03:55.138]  But I'm not just there trying to get in the face of the federal government.
[00:03:55.238 --> 00:04:00.841]  I know it's an incredibly criminal, dangerous, horrible thing that runs Al-Qaeda publicly.
[00:04:00.881 --> 00:04:01.842]  That's in the news today.
[00:04:03.623 --> 00:04:13.569]  But if we let them operate like this is North Korea, pretty soon they'll be sending us to re-education camps if we don't cry at public events properly like in North Korea.
[00:04:14.530 --> 00:04:15.390]  And I'm not joking.
[00:04:15.430 --> 00:04:16.671]  That's how tyranny works.
[00:04:17.091 --> 00:04:17.872]  You give in to it,
[00:04:18.792 --> 00:04:19.714]  It takes you all the way.
[00:04:20.234 --> 00:04:24.660]  It's like tying a giant 10,000 pound lead weight to your ankle and throwing yourself into the ocean.
[00:04:25.481 --> 00:04:27.484]  With the lead weight, you're going to the bottom, you're dead.
[00:04:28.505 --> 00:04:29.387]  That's how turning works.
[00:04:29.467 --> 00:04:33.652]  It's got a big weight, it keeps going all the way until it hits resistance.
[00:04:34.980 --> 00:04:35.260]  Okay.
[00:04:35.820 --> 00:04:40.002]  And so I don't like being the tip of the spear because they are dangerous.
[00:04:41.282 --> 00:04:42.683]  But it's got to be done.
[00:04:42.703 --> 00:04:45.984]  That's why we went down to the NSA to say, hey, it's not illegal to film here.
[00:04:46.024 --> 00:04:47.724]  And they had to admit it.
[00:04:47.864 --> 00:04:53.426]  They detain and rob San Antonio Express News, newspaper reporters with cameras, TV stations.
[00:04:53.726 --> 00:04:57.668]  They take their stuff because they don't know how to say, hey, don't you engage in criminal activity?
[00:04:58.368 --> 00:05:00.609]  You gotta put the sunglasses on like they live.
[00:05:00.949 --> 00:05:04.151]  And once you can see, they go, I got one that can see.
[00:05:04.171 --> 00:05:05.031]  We'll be back.
[00:05:06.071 --> 00:05:08.873]  Have you ever wanted to generate your own supply of electrical power?
[00:05:09.133 --> 00:05:10.814]  Even save money on your electric bill?
[00:05:11.114 --> 00:05:14.415]  If so, this could be one of the most important messages you will ever hear.
[00:05:14.735 --> 00:05:16.796]  Solar power generators are now available.
[00:05:16.936 --> 00:05:18.417]  These emergency backup systems
[00:05:19.608 --> 00:05:20.368]  Electrical power.
[00:05:20.569 --> 00:05:26.392]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:05:26.652 --> 00:05:30.054]  It's like having an electrical power plant running quietly in your own home.
[00:05:30.374 --> 00:05:34.977]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:05:35.117 --> 00:05:38.199]  Whether it's hurricanes, ice storms, brownouts, or blackouts.
[00:05:38.379 --> 00:05:40.821]  You'll never suffer through painful power outages again.
[00:05:41.081 --> 00:05:42.142]  And here's the best news.
[00:05:42.362 --> 00:05:45.325]  A remarkable fall truckload sale is going on right now.
[00:05:45.525 --> 00:05:49.328]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:05:49.448 --> 00:05:57.175]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:05:57.295 --> 00:05:59.156]  That's falltruckloadsale.com.
[00:05:59.377 --> 00:06:01.438]  Generate your own supply of electricity.
[00:06:01.558 --> 00:06:03.500]  Go to falltruckloadsale.com.
[00:06:03.620 --> 00:06:05.402]  That's falltruckloadsale.com.
[00:06:07.995 --> 00:06:15.680]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:16.120 --> 00:06:19.742]  Alex and his staff have used these pure soap products for years.
[00:06:20.183 --> 00:06:27.007]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:27.487 --> 00:06:30.309]  See them on the web at 5starsoap.com.
[00:06:30.509 --> 00:06:35.013]  Or call 800-340-7091 for a free catalog.
[00:06:35.353 --> 00:06:40.998]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:41.298 --> 00:06:46.403]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:46.703 --> 00:06:48.324]  This is an amazing deal.
[00:06:48.685 --> 00:06:53.229]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:06:53.910 --> 00:06:57.119]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:07:05.700 --> 00:07:09.742]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:07:09.802 --> 00:07:10.923]  Don't be one of them!
[00:07:11.043 --> 00:07:16.566]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:07:16.746 --> 00:07:26.351]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:07:26.551 --> 00:07:33.214]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:07:33.334 --> 00:07:34.696]  We're good to go.
[00:07:54.258 --> 00:08:00.523]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:08:00.663 --> 00:08:02.765]  That's SupernaturalSilver.com.
[00:08:02.945 --> 00:08:04.146]  And like us on Facebook.
[00:08:14.574 --> 00:08:20.598]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:31.264 --> 00:08:31.764]  Oh yeah!
[00:08:34.626 --> 00:08:37.387]  We got 50,000 waters all over the country.
[00:08:37.887 --> 00:08:57.817]  Talk about 50,000 unstoppable watts of AM radio, FM radio, global shortwave 100,000 watts, WWCR worldwide service, XM-166 and InfoWars.com, PrisonPlanet.com with the free audio streams, video streams at InfoWarsNews.com
[00:08:59.318 --> 00:09:01.259]  And that is Clutch bringing us in.
[00:09:02.200 --> 00:09:17.611]  We are live, ladies and gentlemen, on this Wednesday, the fifth day of December 2012, and I was on Mancow's show this morning, and during a break, he's like, man, what's going on with your voice?
[00:09:17.651 --> 00:09:18.651]  Is it getting even deeper?
[00:09:18.671 --> 00:09:24.796]  Because I was on there with Jesse Ventura, and I'm like, no, my voice isn't getting deeper.
[00:09:26.553 --> 00:09:28.414]  I hope it doesn't or it won't have any voice.
[00:09:28.594 --> 00:09:33.016]  I yelled and screamed at the federal building here in Austin for about 30 minutes.
[00:09:33.036 --> 00:09:38.798]  It had a big confrontation yesterday and we were out until about 6.30 at night working on that.
[00:09:38.838 --> 00:09:42.520]  We're trying to download the footage right now and not really edit it.
[00:09:43.380 --> 00:09:47.982]  Cut it down some, because it's 30 minutes long or more, so we can get it on the radio.
[00:09:48.323 --> 00:09:49.843]  It'll probably be on the nightly news tonight.
[00:09:49.903 --> 00:09:51.064]  If not, it'll be on the radio tomorrow.
[00:09:51.804 --> 00:09:53.565]  But that is pretty powerful stuff.
[00:09:53.605 --> 00:09:54.766]  And why do we go down to the federal building?
[00:09:55.326 --> 00:10:00.629]  They told one of my photographers that she would go to jail for photography of the federal building.
[00:10:00.649 --> 00:10:01.709]  And we all know that's not true.
[00:10:01.749 --> 00:10:02.570]  We know it's a fraud.
[00:10:03.010 --> 00:10:04.351]  Well, at least inform people do.
[00:10:05.250 --> 00:10:07.431]  The Supreme Court just ruled last week you can't do that.
[00:10:08.452 --> 00:10:09.732]  They keep arresting people, though.
[00:10:10.233 --> 00:10:15.976]  Illinois State Court just ruled that it's illegal to arrest people for filming the police in public or government buildings.
[00:10:16.396 --> 00:10:18.137]  The NSA has lost lawsuits over it.
[00:10:18.157 --> 00:10:18.997]  I mean, think about it.
[00:10:19.017 --> 00:10:22.519]  The NSA is spying on you without warrants, on record now.
[00:10:22.699 --> 00:10:23.980]  Every time they do it, it's a felony.
[00:10:24.320 --> 00:10:25.001]  Government doesn't care.
[00:10:25.021 --> 00:10:25.581]  They're just doing it.
[00:10:25.941 --> 00:10:29.003]  The President says the military is now under NATO, UN command.
[00:10:29.063 --> 00:10:31.004]  Congress can just sit down and shut up.
[00:10:31.764 --> 00:10:34.666]  In public letters, statements, and three different congressional hearings.
[00:10:36.060 --> 00:10:42.042]  Uh, belligerence by the Joint Chiefs of Staff, arrogance towards Congress, and Congress is a bunch of criminals.
[00:10:42.942 --> 00:10:50.945]  But they are the, that is the rightful body that represents the people on legislative matters and on the power of the purse and declaration of war.
[00:10:50.965 --> 00:10:57.407]  My point is, is that you're in a lot of trouble, folks, when the feds and the local police tell you you can't videotape them.
[00:10:58.287 --> 00:10:59.568]  And it happens all the time.
[00:11:00.523 --> 00:11:05.377]  You know, I see videos every week where a cop pulls somebody over, they go, is that a camera you've got taping me?
[00:11:05.738 --> 00:11:06.520]  You're going to jail.
[00:11:07.162 --> 00:11:07.784]  That's illegal.
[00:11:09.437 --> 00:11:10.518]  And they try different things.
[00:11:10.558 --> 00:11:13.060]  They say obstruction of a police officer's duty.
[00:11:13.760 --> 00:11:16.001]  They say interfering with a police officer.
[00:11:16.702 --> 00:11:18.163]  Obstruction of justice.
[00:11:18.703 --> 00:11:19.604]  Wiretapping.
[00:11:19.924 --> 00:11:21.665]  And they know full well it's a fraud.
[00:11:22.205 --> 00:11:23.026]  And let me tell you something.
[00:11:23.146 --> 00:11:28.829]  When you misappropriate a law and twist it and put that into the court systems, that's official oppression.
[00:11:28.929 --> 00:11:30.390]  It's a civil rights violation.
[00:11:30.870 --> 00:11:32.351]  It's a violation of the Constitution.
[00:11:32.391 --> 00:11:33.612]  It's a violation of your oath.
[00:11:34.212 --> 00:11:36.014]  And it is beyond despicable.
[00:11:36.934 --> 00:11:41.516]  Let me tell you, the foreign banks that run this country are trying to convert this nation over to a North Korea-style system.
[00:11:41.957 --> 00:11:49.300]  Because they've stolen all the wealth, they've set up the police state, and they're all going to go to jail when this thing comes down.
[00:11:49.380 --> 00:12:02.207]  It's designed to come down and make us all poor third-world slaves with the mega-elite living in armored, gated, rural communities and central scientific government hubs in major mega-cities.
[00:12:03.308 --> 00:12:05.369]  And that's the stated plan of Agenda 21.
[00:12:07.703 --> 00:12:09.185]  And they're doing it.
[00:12:09.846 --> 00:12:13.731]  And so all of you that serve the system need to know.
[00:12:14.867 --> 00:12:17.468]  That you are destroying yourselves.
[00:12:17.568 --> 00:12:19.068]  It's called killing yourself to live.
[00:12:19.809 --> 00:12:29.952]  And the globalists want to get us to a point where we're so bankrupt, so de-industrialized, where our farming communities and our agrarian system is so defunct that we're absolutely dependent on them.
[00:12:30.212 --> 00:12:32.773]  They've doubled the number of food stamps the last three and a half years.
[00:12:32.833 --> 00:12:34.013]  It's set to double again.
[00:12:35.193 --> 00:12:39.455]  You've got over 100 million people totally dependent on the government, one form or another.
[00:12:39.475 --> 00:12:43.776]  This is the process of going into bondage right now.
[00:12:45.866 --> 00:12:51.772]  And it's going to get horrible, but everyone needs to just speak out and point out this is premeditated.
[00:12:52.773 --> 00:12:56.376]  And yeah, it's not fun to go confront the feds and even go into the building.
[00:13:00.120 --> 00:13:04.884]  That's right, they opened the gate up and brought us in.
[00:13:05.865 --> 00:13:07.346]  And what a story this is.
[00:13:07.407 --> 00:13:09.388]  It was the security guards, we're listeners,
[00:13:10.247 --> 00:13:13.389]  And the head security guard, after they finally came out, said, no, you got a right to filming.
[00:13:13.409 --> 00:13:14.810]  Hey, you want to go file a complaint?
[00:13:15.290 --> 00:13:17.431]  Opens the gate up and we go in there.
[00:13:17.772 --> 00:13:21.774]  And the federal police that were hiding inside went completely ape.
[00:13:25.396 --> 00:13:27.318]  The wicked flee when none pursue.
[00:13:27.818 --> 00:13:28.618]  I gotta tell you.
[00:13:29.139 --> 00:13:35.382]  I mean, you guys came out to a little lady and said you'd throw her in jail and that she looked shady and could be a terrorist and all the rest of it.
[00:13:35.803 --> 00:13:39.085]  And so we went down there, I mean, and just said, look, this isn't North Korea.
[00:13:40.560 --> 00:13:45.067]  I mean, you know, you have a five foot four or five little blonde.
[00:13:47.130 --> 00:13:50.575]  You guys are telling her she's going to go to jail and freak her all out that she's a terrorist.
[00:13:50.615 --> 00:13:51.316]  I mean, just come on.
[00:13:51.356 --> 00:13:52.557]  Is that really what you want to be?
[00:13:53.635 --> 00:13:57.057]  You really want to play drama queen all day like there are real terrorists out there?
[00:13:57.077 --> 00:13:58.598]  Your bosses run the terrorists.
[00:13:59.438 --> 00:14:12.805]  FBI Deputy Director O'Neill, John O'Neill, gave a London Telegraph interview and a few others saying the government was going to stage a terrorist attack or allow Al-Qaeda to do it to take our liberties and attack Afghanistan.
[00:14:13.166 --> 00:14:14.126]  I've made films about it.
[00:14:14.166 --> 00:14:14.766]  It's on record.
[00:14:14.806 --> 00:14:17.048]  Any journalist listening can pull that up.
[00:14:17.968 --> 00:14:20.469]  And he still wasn't that smart, though.
[00:14:20.489 --> 00:14:25.271]  He's a smart guy and a patriot, showing the whole federal government's not criminals, but at the very top they are.
[00:14:25.351 --> 00:14:27.512]  It's the folks that ran Fast and Furious and others like that.
[00:14:28.292 --> 00:14:32.734]  And he got given the contract that ended September 10th.
[00:14:33.774 --> 00:14:36.075]  His first day on the job was September 11th.
[00:14:38.496 --> 00:14:40.077]  This is like New York Times, folks.
[00:14:40.097 --> 00:14:40.937]  You can go look this up.
[00:14:42.588 --> 00:14:43.769]  Guess who had the contract?
[00:14:44.789 --> 00:14:49.112]  Marvin Bush had the contract and said he was in the attack on the subway when it happened.
[00:14:49.412 --> 00:14:50.493]  It was so interesting.
[00:14:50.913 --> 00:14:52.094]  That was actually an AP interview.
[00:14:52.114 --> 00:14:52.574]  You can look it up.
[00:14:52.594 --> 00:14:53.575]  It was also Leningradian.
[00:14:54.035 --> 00:14:56.857]  It was so interesting that he was in the subway.
[00:14:56.917 --> 00:15:02.541]  He cleaned his stuff out that morning, handed it over to O'Neal at about 8.30 in the morning and left.
[00:15:03.627 --> 00:15:05.208]  Unbelievable.
[00:15:05.988 --> 00:15:09.149]  You cannot make that type of stuff up.
[00:15:09.910 --> 00:15:10.770]  You cannot.
[00:15:11.250 --> 00:15:13.831]  And if you're a new listener, folks, you can just search what I just said.
[00:15:14.171 --> 00:15:15.952]  Marvin Bush, head of World Trade Center Security.
[00:15:16.752 --> 00:15:17.453]  Or John O'Neill.
[00:15:19.253 --> 00:15:22.135]  Deputy FBI director, head of counterterrorism, dead in the towers.
[00:15:23.055 --> 00:15:24.976]  Cover in New Yorker Magazine even covered it.
[00:15:25.456 --> 00:15:26.516]  And said, isn't it interesting?
[00:15:26.576 --> 00:15:27.577]  Isn't it a coincidence?
[00:15:28.257 --> 00:15:30.058]  Isn't it a coincidence that the Bushes
[00:15:31.597 --> 00:15:38.064]  Former President Bush was meeting at the Carlyle Group private shareholder meeting in D.C.
[00:15:38.685 --> 00:15:44.270]  a mile or two from the Pentagon when it got hit at the Bin Laden table.
[00:15:44.310 --> 00:15:45.412]  They even like to tell you that.
[00:15:45.732 --> 00:15:49.936]  Oh, he was at the Bin Laden table with Sheikh Bin Laden, the head of the family.
[00:15:52.694 --> 00:15:52.874]  I don't
[00:16:07.654 --> 00:16:08.214]  We're good to go.
[00:16:37.344 --> 00:16:44.850]  Sports, or watching action-adventure movies that are just ridiculous, where special forces are like Superman.
[00:16:44.870 --> 00:16:46.011]  It's not real, folks.
[00:16:47.432 --> 00:16:50.175]  If you weren't living in the fake projection reality,
[00:16:51.351 --> 00:16:52.832]  And have you studied the real reality?
[00:16:53.153 --> 00:16:57.196]  Read all the CFR, New World Order stuff, where they communicate like we don't even exist.
[00:16:57.436 --> 00:17:07.885]  They write books about how they're putting cancer viruses in the vaccines and laugh at us, how they're putting sodium fluoride in the water, how they're dumbing us down, what they're going to do, how they're going to turn the power plants off, how they're only going to shut off U.S.
[00:17:08.646 --> 00:17:13.130]  energy, and now they've got all the colleges getting ready to move and shut down the energy sector.
[00:17:13.911 --> 00:17:14.991]  And what an idiot you are.
[00:17:16.072 --> 00:17:27.155]  And I'm sitting here going, man, there's like hundreds of books, I've read them all, by all these world leaders, how they're setting up this German Chancellor, this British Prime Minister, this head of Harvard, this science czar.
[00:17:27.996 --> 00:17:31.297]  And I'm sitting here while they just, and I watch everything they say they do.
[00:17:31.777 --> 00:17:33.197]  I read stuff they wrote 100 years ago.
[00:17:33.577 --> 00:17:34.217]  They've done it all.
[00:17:34.798 --> 00:17:37.558]  I read stuff they wrote 50 years ago, they've done 70% of it.
[00:17:38.079 --> 00:17:41.440]  I read stuff they said 10 years ago, they've already implemented 30-40% of it.
[00:17:41.700 --> 00:17:42.700]  I mean, they're doing it.
[00:17:43.652 --> 00:17:45.733]  And when they don't succeed, they try, try again.
[00:17:45.753 --> 00:17:50.195]  And we've got them held back 7, 8, 9, 10 years, depending on which actuary you look at.
[00:17:50.435 --> 00:17:52.296]  And the globalists give prospectus reports on that.
[00:17:52.556 --> 00:17:58.439]  Their war against humanity, their war against the family, the war against... Have you turned on the sitcoms, the dramas, the movies?
[00:17:59.119 --> 00:18:10.564]  Every message is fathers are scum, fathers are trash, fathers are rubes, fathers are schmucks, fathers are suckers, they're lazy, they're scum, they're trash, the single mother's the boss.
[00:18:10.764 --> 00:18:18.547]  And then I go out and I see these single mother women march up and just walk in front of your car and order you to stop, walk up to you in a store, tell you you got too many kids.
[00:18:18.867 --> 00:18:21.789]  They're just, yes, man, boy, they're in... Programmed!
[00:18:23.149 --> 00:18:24.870]  House slaves of the New World Order.
[00:18:26.897 --> 00:18:29.318]  Oh, you don't think they just had black women who were house slaves.
[00:18:29.338 --> 00:18:30.299]  That comes from Rome.
[00:18:30.359 --> 00:18:32.720]  You bring the women in the house, keep the men out there.
[00:18:33.300 --> 00:18:36.641]  You beat them and you torture them and you don't let them learn how to talk.
[00:18:38.882 --> 00:18:43.004]  You take the women and you set them up as the bosses, and boy, they're going to carry it out.
[00:18:43.585 --> 00:18:46.646]  We're following a 2,000-year-old Roman slave manual.
[00:18:47.066 --> 00:18:47.526]  Literally.
[00:18:48.107 --> 00:18:50.728]  They've got university studies on that, I've discovered from the 70s.
[00:18:52.363 --> 00:19:03.524]  Did you know the slave manuals in the Americas from the Caribbean sugarcane fields to the cotton fields of Georgia were re-translated Roman slave manuals from Latin?
[00:19:05.336 --> 00:19:07.057]  Better learn about the real world.
[00:19:07.437 --> 00:19:08.937]  See, I know about slave manuals.
[00:19:08.957 --> 00:19:13.919]  I don't know about your stupid football and a bunch of roid heads on cocaine running around killing each other.
[00:19:14.479 --> 00:19:15.600]  I could care less about that.
[00:19:15.940 --> 00:19:22.242]  I've been around some of these professional athletes and they are so arrogant and on power trips really believing they're rock stars.
[00:19:23.499 --> 00:19:25.242]  In a false paradigm, you're nobody.
[00:19:25.462 --> 00:19:27.665]  If you were king of a dream, what would that mean?
[00:19:27.885 --> 00:19:29.908]  If you were the king of a fantasy, what would that mean?
[00:19:30.569 --> 00:19:36.819]  And I've got trouble dealing with their false reality because it is the reality for most people, and as I more and more don't care about it.
[00:19:39.315 --> 00:19:43.476]  I don't even care about combing my hair or putting makeup on this zit I've got on my head right now.
[00:19:43.896 --> 00:19:46.537]  All I care about is getting through to your brain and waking you up.
[00:19:46.977 --> 00:20:03.181]  Now the scumbag, technocratic, wannabe control freak, Bob Costas has told you gun owners to go to Hades and he's come out and doubled and tripled down against the Second Amendment because he's got globalist backing and more mainstream news admits our government runs Al Qaeda.
[00:20:03.541 --> 00:20:05.422]  It's all coming up today in your phone calls.
[00:20:07.662 --> 00:20:12.488]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:13.169 --> 00:20:15.913]  The most devastating economic condition since the Great Depression.
[00:20:16.333 --> 00:20:18.676]  America's worst drought in agricultural history.
[00:20:19.117 --> 00:20:21.620]  And now the economic results of the presidential election.
[00:20:22.061 --> 00:20:25.025]  This perfect storm is a huge threat to everyone's food supply.
[00:20:25.505 --> 00:20:30.070]  I just doubled down and got even more supplies from eFoods Direct, and I recommend you do the same.
[00:20:30.631 --> 00:20:32.753]  It's time to get your own supply from eFoods Direct.
[00:20:33.254 --> 00:20:36.277]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:36.858 --> 00:20:40.542]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:20:40.562 --> 00:20:44.126]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:20:44.406 --> 00:20:47.707]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:20:48.747 --> 00:20:50.948]  Remember, I can warn you, but I can't feed you.
[00:20:51.208 --> 00:20:56.089]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:56.569 --> 00:20:59.650]  Would you rather prepare six months too early or one day too late?
[00:20:59.670 --> 00:21:04.071]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:06.758 --> 00:21:09.599]  What looks good under your Christmas tree and tastes even better?
[00:21:09.899 --> 00:21:11.159]  Big Berkey Water Filters!
[00:21:11.460 --> 00:21:13.060]  Yes, the gift of clean water.
[00:21:13.420 --> 00:21:17.622]  A gift that provides a great foundation for achieving good health in the lives of your loved ones.
[00:21:18.102 --> 00:21:21.703]  A Big Berkey Water Filter gives them protection from bacteria, heavy metals,
[00:21:21.983 --> 00:21:25.486]  Chlorine, fluoride, pesticides and herbicides, VOCs and more.
[00:21:25.746 --> 00:21:31.070]  And best of all, a big Berkey water filter is a gift that lasts for many years with no additional investment.
[00:21:31.310 --> 00:21:35.053]  And that saves time and money in filter replacements that other water filters require.
[00:21:35.373 --> 00:21:40.417]  And are even powerful enough to purify treated, untreated or even stagnant pond water.
[00:21:40.797 --> 00:21:47.162]  As always, all orders over $50 are shipped free, and GCN listeners get 5% off all ceramic filter systems.
[00:21:47.482 --> 00:21:54.888]  Order online at BigBerkeyWaterFilters.com, spelled B-E-R-K-E-Y, waterfilters.com.
[00:21:55.248 --> 00:21:57.830]  Or call 877-99-BERKEY.
[00:21:58.131 --> 00:22:01.673]  That's 877-99-BER-K-E-Y.
[00:22:02.074 --> 00:22:03.254]  Gift well this Christmas.
[00:22:03.475 --> 00:22:04.916]  Give a Big Berkey Water Filter!
[00:22:05.709 --> 00:22:12.853]  HempUSA.org has a revolutionary wonder food for detoxing the body and rebuilding the immune system.
[00:22:13.053 --> 00:22:21.398]  Microplant powder can help unclog arteries and soften heart valves while removing heavy metals, virus, fungus, bacteria and parasites.
[00:22:21.578 --> 00:22:25.120]  Plus, it cleans and purifies the blood, lungs, stomach and colon.
[00:22:25.300 --> 00:22:28.262]  Keep your body clean with Microplant Powder.
[00:22:28.562 --> 00:22:31.803]  Visit us at HempUSA.org or call 908-691-2608 today!
[00:22:35.305 --> 00:22:36.366]  Hi, this is Ted Anderson.
[00:22:36.546 --> 00:22:40.929]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:41.109 --> 00:22:46.813]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:46.913 --> 00:22:50.315]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:50.555 --> 00:22:53.157]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:53.377 --> 00:22:58.180]  Don't get left behind by rising inflation and low returns.
[00:22:58.320 --> 00:22:58.561]  Call 800-686-2237.
[00:22:58.601 --> 00:22:59.982]  Secure your future and call 1-800-686-2237.
[00:23:05.345 --> 00:23:10.669]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:23:10.809 --> 00:23:15.833]  Choose 100% pure heirloom seeds in the Survival Seed Vault from mypatriotsupply.com.
[00:23:15.994 --> 00:23:16.834]  Why spend more?
[00:23:16.974 --> 00:23:24.741]  The Survival Seed Vault from mypatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:23:25.021 --> 00:23:25.501]  Yes, only $37.95.
