[00:00:07.008 --> 00:00:07.548]  Be heard.
[00:05:01.855 --> 00:05:06.061]  It's not just a dismissive contempt, it's blood boiling rage.
[00:05:06.942 --> 00:05:13.710]  And again, this mainly comes out of this Guardian article which came out today, which has some other juicy little titbits.
[00:05:14.571 --> 00:05:20.697]  Again, they've all come from the hotel staff because they're routinely treated rudely by Bilderberg members.
[00:05:20.737 --> 00:05:21.778]  It happens every year.
[00:05:22.218 --> 00:05:33.109]  So whereas they're sworn to secrecy in the first place, they're treated like crap by Henry Kissinger, and they eventually want to blow the whistle on their behaviour inside the hotel.
[00:05:33.149 --> 00:05:35.311]  So this is where all this has come from.
[00:05:36.587 --> 00:05:37.367]  And just picture it.
[00:05:37.407 --> 00:05:39.768]  These are some of the richest people on the planet.
[00:05:40.388 --> 00:05:46.951]  You know, we're talking heads of Google, Microsoft, top CEOs of top corporations.
[00:05:47.031 --> 00:05:48.612]  These guys aren't short of money.
[00:05:49.432 --> 00:05:53.033]  And yet, how many tips did the hotel staff get?
[00:05:53.073 --> 00:05:55.334]  The answer is, not a single one.
[00:05:55.434 --> 00:06:01.596]  Not a single tip given by a Bilderberg member according to this source who worked inside the hotel.
[00:06:02.077 --> 00:06:02.457]  So again,
[00:06:03.257 --> 00:06:09.123]  Richest people on the planet don't even give anyone a tip, showing their contempt for the scum public.
[00:06:10.404 --> 00:06:14.688]  We also learned from this inside source the police didn't like what they were doing.
[00:06:14.728 --> 00:06:15.509]  Here's another quote.
[00:06:16.029 --> 00:06:21.875]  I was helping a cop move a security cordon near some trees when he lowered his voice and casually let slip.
[00:06:22.436 --> 00:06:24.738]  We don't support Bilderberg, trust me.
[00:06:25.278 --> 00:06:27.661]  That's what one of the cops told Charlie Skelton.
[00:06:29.005 --> 00:06:32.386]  So again, you know, it's very well saying it after the fact.
[00:06:33.026 --> 00:06:38.587]  If they don't like Bilderberg, why are they arresting people for stepping off the curb for a matter of seconds?
[00:06:39.367 --> 00:06:41.388]  I mean, join us!
[00:06:41.628 --> 00:06:42.928]  Become an American hero!
[00:06:42.968 --> 00:06:49.710]  The jobs are probably toast anyway within a year, two years, because Bilderberg deliberately wrecked the US economy.
[00:06:50.430 --> 00:06:54.711]  So it's amazing why some of these people don't, you know, break the barriers and come forward.
[00:06:55.851 --> 00:06:59.512]  But this has got to be the best one out of this inside source from the hotel.
[00:07:00.432 --> 00:07:10.194]  While the likes of Kissinger and his friends were slurping their soup, all the hotel staff were actually in the back watching our Ustream channel.
[00:07:10.775 --> 00:07:20.077]  Quote, we had a load of the hotel staff gathered around a computer in the back office watching Alex Jones and they're all rooting for him, said one source.
[00:07:20.717 --> 00:07:32.169]  So, all the hotel staff, treated like scum by Bilderberg, who calls us cockroaches, gave us the data dump on their behaviour and then started watching our Ustream channel in the back room.
[00:07:33.510 --> 00:07:38.235]  And this is perhaps the most interesting leak again out of this inside hotel source.
[00:07:40.305 --> 00:07:43.206]  Quote, they don't just sit together in a big room.
[00:07:43.846 --> 00:07:47.488]  You've got the picture of them all in a huge conference room, that's not what happens.
[00:07:48.368 --> 00:07:52.330]  They have tons of separate rooms and they split up for the meetings.
[00:07:52.630 --> 00:07:54.250]  The first ones are after 4.30 on Thursday.
[00:07:55.811 --> 00:08:05.021]  So again, this lends credence to the fact of what we've been saying all along, which is that Bilderberg is broken up into all these little working groups on different issues.
[00:08:05.562 --> 00:08:15.372]  This is where they create the consensus to implement policy, as former NATO Secretary General Willy Claes admitted in a 2010 radio interview.
[00:08:16.013 --> 00:08:24.197]  So you've got one workshop on Syria, you'll have one on the Euro, one on China and Russia, another one on the carbon tax agenda.
[00:08:24.837 --> 00:08:30.080]  Each little agenda is split up into different working groups taking place in different conference rooms.
[00:08:30.380 --> 00:08:37.023]  This is how they communicate the consensus to be then implemented by the individual attendees.
[00:08:38.328 --> 00:08:47.114]  So, you know, Kagan, Romney's foreign policy advisor, said it's just people getting together for a nice dinner and a nice chat.
[00:08:47.334 --> 00:08:48.155]  I don't think so.
[00:08:48.215 --> 00:08:53.918]  People don't jet halfway across the world for a nice dinner, game of golf, and a nice chat.
[00:08:54.259 --> 00:09:02.204]  And this revelation in particular shows that they are creating the consensus to implement policy in the global arena.
[00:09:02.244 --> 00:09:03.205]  That affects us all.
[00:09:03.685 --> 00:09:08.168]  Major, major revelations from this inside source, and it's all contained in that article.
[00:09:09.469 --> 00:09:14.232]  Well, they call us all cockroaches, which we'll go on to discuss more in this show.
[00:09:14.252 --> 00:09:17.594]  I'm going to go to a video now out of Bilderberg.
[00:09:18.274 --> 00:09:21.917]  Alex Jones calls end to diplomatic immunity at Bilderberg.
[00:09:22.617 --> 00:09:33.344]  And in this clip, Alex explains how the purpose of diplomatic immunity, as it was initially defined by the government, is now being abused by the likes of Bilderberg.
[00:09:33.364 --> 00:09:34.205]  Let's go to the clip.
[00:09:35.017 --> 00:09:45.722]  There was a bunch of us standing there in the corner, and a couple of them ran, or one of them ran the lights, it was red, and went through.
[00:09:45.982 --> 00:09:48.183]  The cops sat there and watched them do it.
[00:09:48.543 --> 00:09:49.284]  And then there was another.
[00:09:49.304 --> 00:09:49.724]  Do you know why?
[00:09:49.744 --> 00:09:50.764]  I'm going to make a point.
[00:09:51.365 --> 00:09:56.227]  I want a federal law, we used to have this, where you can't have diplomatic immunity except in your embassy.
[00:09:56.667 --> 00:09:58.028]  It started out where countries said,
[00:09:58.548 --> 00:10:02.129]  We have embassies with our state secrets under treaties.
[00:10:02.229 --> 00:10:05.610]  If you'll let us have an embassy, it means you can't come in and it's our sovereign land.
[00:10:06.250 --> 00:10:17.694]  Then, about 60 years ago, the Rockefellers pushed for it to get Interpol and other systems set up within Interpol where the diplomats, the head diplomats, couldn't have their pouches messed with.
[00:10:17.954 --> 00:10:19.314]  Okay, then it was their suitcase.
[00:10:19.814 --> 00:10:20.735]  Then it was their car.
[00:10:21.095 --> 00:10:22.215]  Now it's their person.
[00:10:22.275 --> 00:10:24.856]  They've had cases where they run people over.
[00:10:25.436 --> 00:10:28.618]  In New York, it's happened in Houston, and they don't even get in trouble killing people!
[00:10:28.958 --> 00:10:34.502]  They've been caught with sex slaves, they've been caught dealing drugs, they've been caught doing whatever they want.
[00:10:34.702 --> 00:10:38.544]  That's why the police can't stop them, because they have diplomatic immunity!
[00:10:39.264 --> 00:10:39.545]  Okay?
[00:10:40.425 --> 00:10:45.669]  Now, you guys, everybody keeps wondering why the police can't stop these people.
[00:10:45.689 --> 00:10:49.352]  Everybody keeps... Hey, I want to make a point, guys.
[00:10:49.372 --> 00:10:50.894]  This is very important.
[00:10:51.294 --> 00:11:00.381]  Everybody keeps wondering why the limousines for these diplomats can almost run people over and why they're above the law, because they are, until we change the law.
[00:11:00.802 --> 00:11:03.684]  These people, most of them, have diplomatic immunity.
[00:11:04.245 --> 00:11:06.707]  Now, diplomatic immunity started
[00:11:07.427 --> 00:11:18.858]  Hundreds of years ago, when countries like France and England said, OK, you can have a consulate, but it's our sovereign land, and you agree to never come in there, or we won't build a consulate in your country for diplomatic reasons.
[00:11:19.438 --> 00:11:24.944]  Then in the last hundred years, it was diplomatic pouches for just-had diplomats.
[00:11:25.965 --> 00:11:28.048]  Now it's for all the sub-diplomats.
[00:11:28.088 --> 00:11:29.149]  Then it's their cars.
[00:11:29.489 --> 00:11:30.711]  Then it's their persons.
[00:11:31.111 --> 00:11:34.135]  And they have been caught all over the United States, but especially New York.
[00:11:34.736 --> 00:11:38.020]  This is the UN diplomats and all these countries' diplomats and all their minions.
[00:11:38.521 --> 00:11:45.149]  With sex slaves in their houses, with drugs, with all sorts of crimes.
[00:11:48.883 --> 00:11:49.824]  We're good to go.
[00:12:17.682 --> 00:12:26.846]  They're trying to expand it to carbon taxes, where the private companies are dealing in carbon taxes, and that needs to change!
[00:12:27.086 --> 00:12:29.927]  Everybody out there watching, diplomatic immunity!
[00:12:30.087 --> 00:12:32.408]  Think about the New World Order, the UN, these global banks.
[00:12:32.848 --> 00:12:33.889]  Why do they ever get in trouble?
[00:12:34.169 --> 00:12:36.470]  Why do they try to coercive civilians at MF Global?
[00:12:36.870 --> 00:12:41.992]  Because it's all done under globalist agreements where they say they're above the law,
[00:12:43.157 --> 00:12:44.838]  We're good to go.
[00:13:13.786 --> 00:13:15.307]  We're good to go.
[00:13:34.773 --> 00:13:43.058]  They've been forced to in the Associated Press, they've been forced to in the Washington Post, and hundreds of other papers, and thousands more online.
[00:13:43.098 --> 00:13:45.379]  We have exposed these criminals!
[00:13:45.479 --> 00:13:50.062]  We have blown their criminal operation wide open!
[00:13:58.826 --> 00:14:00.448]  This is a big victory for humanity!
[00:14:00.708 --> 00:14:01.489]  I salute you!
[00:14:13.729 --> 00:14:14.530]  Jim Tucker.
[00:14:15.390 --> 00:14:18.693]  Bilderberg wants Mitch Daniels as Romney's VP.
[00:14:19.213 --> 00:14:31.222]  According to veteran Bilderberg sleuth Jim Tucker's inside source, Indiana Governor Mitch Daniels' presence at the 2012 Bilderberg Group meeting indicates that he is the elite's choice pick to become Mitt Romney's running mate.
[00:14:32.276 --> 00:14:49.430]  According to the source, Bilderberg members are eager to dissuade the Romney camp from choosing Kentucky Senator Rand Paul as VP, fearing that Paul's constitutionalist stance will act to derail the agenda for increased centralization of power into a system of global governance.
[00:14:50.291 --> 00:14:59.339]  So it looks like it's now in the veep stakes, a straight race between Daniels and Rubio, who of course was discussed before the Bilderberg meeting.
[00:15:00.160 --> 00:15:15.854]  Now Mitch Daniels, as we've talked about, former Eli Lilly head during the 90s, instrumental in being the head of a PR campaign that deflected all the negative press attention about the horrible side effects and suicides from Prozac.
[00:15:16.494 --> 00:15:22.399]  Of course, he's also intimately tied in with the George Bush, Dan Quayle, Neocon power structure.
[00:15:22.860 --> 00:15:25.762]  So, according to Tucker's source, he's the current favorite.
[00:15:25.782 --> 00:15:33.089]  Then, of course, we've got Marco Rubio, Florida Senator, who's proven his worth as a globalist attack dog.
[00:15:33.629 --> 00:15:34.009]  I don't think so.
[00:15:52.935 --> 00:16:14.220]  Position with seven to two whereas Daniels is quite a way down the list at 16 to 1 so it's something of a long shot according to Tucker's source But I mean according to according to what he's saying Daniels is favorite to be Romney's VP I still think it looks more like Rubio because he's been the choice for a long time.
[00:16:14.240 --> 00:16:18.881]  He's also given speeches at several internationalist confabs
[00:16:20.021 --> 00:16:29.227]  So we'll wait to see who it is, but Romney's expected to announce a few weeks before the RNC in August, and those two look like the prime choice candidates for the elite.
[00:16:29.987 --> 00:16:44.916]  Of course, Bilderberg picked vice-presidential candidates in the last two US elections, 2004 with John Edwards, of course, and 2008 when Bilderberg member James A. Johnson picked Obama's running mate.
[00:16:45.256 --> 00:16:45.597]  So again,
[00:16:46.477 --> 00:16:50.859]  Just a game of golf, just a nice dinner, according to Romney's foreign policy advisor.
[00:16:51.200 --> 00:16:52.360]  Nothing to see here.
[00:16:52.800 --> 00:16:55.302]  Just picking vice-presidential candidates once again.
[00:16:55.802 --> 00:16:56.922]  Gonna go to another clip now.
[00:16:57.483 --> 00:17:00.584]  And this is some of the loudest bullhorning you've ever heard.
[00:17:00.604 --> 00:17:04.126]  Uh, literal cascading booming effect.
[00:17:04.626 --> 00:17:07.988]  Alex Jones bullhorns Bilderberg at night.
[00:17:08.048 --> 00:17:09.049]  Let's go to the clip.
[00:17:10.029 --> 00:17:11.310]  It's absolutely gotta be done.
[00:17:14.741 --> 00:17:16.503]  Just some nighttime strafing.
[00:17:16.783 --> 00:17:17.924]  You know, that's what we're doing.
[00:17:18.004 --> 00:17:18.605]  It's very fun.
[00:17:25.131 --> 00:17:28.754]  I'm gonna come back one more time and I'll jump out with these folks through that hole in my wood and then we'll go.
[00:17:28.774 --> 00:17:30.716]  But right now, let's go ahead and drive by.
[00:17:33.919 --> 00:17:36.121]  Those are true patriots right there.
[00:17:36.641 --> 00:17:38.943]  Battling the globalists until they get what they're coming for.
[00:17:38.963 --> 00:17:39.424]  Don't worry.
[00:17:40.342 --> 00:17:43.846]  New World Order, we are aware of your criminal activities.
[00:17:43.926 --> 00:17:46.589]  We are aware of your world government.
[00:17:46.709 --> 00:17:49.251]  We are aware of your New World Order.
[00:17:49.732 --> 00:17:53.736]  And no amount of technocratic garbage is going to protect you.
[00:17:54.497 --> 00:17:56.759]  No amount of bureaucracy.
[00:17:56.960 --> 00:17:58.882]  No amount of police state.
[00:17:59.042 --> 00:18:01.244]  No amount of flora in the water.
[00:18:01.424 --> 00:18:02.606]  No amount of
[00:18:03.516 --> 00:18:10.842]  Vaccine, mercury, and cancer viruses is going to stop humanity from exposing you.
[00:18:11.022 --> 00:18:14.525]  You are criminals, and we know it!
[00:18:14.885 --> 00:18:19.509]  And your world government is defeated!
[00:18:20.109 --> 00:18:22.411]  You will fall, New World Order!
[00:18:22.992 --> 00:18:24.333]  You will fall!
[00:18:38.674 --> 00:18:40.875]  You new world order's going down!
[00:18:41.636 --> 00:18:42.996]  There's no doubt of that!
[00:18:43.656 --> 00:18:46.037]  Your world government will be defeated!
[00:18:46.997 --> 00:18:48.858]  Humanity is awakening!
[00:18:49.018 --> 00:18:49.418]  Yeah!
[00:18:49.698 --> 00:18:52.259]  Look at you out here at night!
[00:18:52.279 --> 00:18:54.000]  The die-hards!
[00:18:54.300 --> 00:18:57.701]  Alright, Ali!
[00:18:57.781 --> 00:18:58.202]  People!
[00:19:01.087 --> 00:19:04.090]  The answer to 1984 is 1776.
[00:19:04.470 --> 00:19:06.552]  Bilderberg scum!
[00:19:08.213 --> 00:19:19.984]  Be aware that we are fully aware of you and your names are being chronicled to be brought to justice for crimes against humanity in Nuremberg 2.
[00:19:20.144 --> 00:19:25.869]  And all of you short in the graph system just following orders will not
[00:19:26.636 --> 00:19:27.736]  Suffice!
[00:19:27.956 --> 00:19:33.118]  Your evil always grows too big and too fast, and bites off more than it can chew.
[00:19:33.578 --> 00:19:38.440]  And just like all other tyrannies before you, YOU WILL FALL!
[00:19:38.800 --> 00:19:43.582]  YOUR NEW WORLD ORDER WILL FALL, AND HUMANITY WILL DEFEAT YOU!
[00:19:44.773 --> 00:19:46.953]  So again, amazing footage from Bilderberg 2012.
[00:19:47.013 --> 00:19:49.894]  Some of the loudest bullhorning you've ever seen.
[00:19:50.034 --> 00:19:51.755]  Record protesters.
[00:19:52.395 --> 00:19:59.216]  They got right up close to the hotel where Bilderberg had their little working group meeting, so I'm sure disrupted their agenda.
[00:19:59.236 --> 00:20:02.517]  And we're going to go to some more videos soon, but moving on, Bilderberg 2012.
[00:20:03.377 --> 00:20:05.778]  Protesters hail their hero, Alex Jones.
[00:20:05.818 --> 00:20:06.838]  This is out the Guardian.
[00:20:07.478 --> 00:20:17.870]  As the demonstrators targeting the Bilderberg Conference of International Leaders in Chantilly, Virginia drew to a close on Sunday, dozens of protesters gathered around one man hoping for a picture or an autograph.
[00:20:17.910 --> 00:20:23.837]  God bless you, Alex, said a number of others as they stood outside a service entrance to a heavily guarded Marriott.
[00:20:24.478 --> 00:20:24.638]  So...
[00:20:26.027 --> 00:20:27.908]  Again, Guardian with fair coverage.
[00:20:27.948 --> 00:20:35.030]  Of course, we had Alex Jones still today on the cover of the Drudge Report with the word, you know, hero underneath.
[00:20:35.090 --> 00:20:36.951]  That's certainly going to help our Info Wars.
[00:20:37.731 --> 00:20:40.572]  Biggest driver of news traffic in the world, of course.
[00:20:40.952 --> 00:20:43.553]  Outranks Twitter and Facebook combined.
[00:20:44.654 --> 00:20:53.097]  And obviously picking up the Guardian story as well, which is a general appraisal of the protest movement as it was witnessed over this past weekend.
[00:20:53.777 --> 00:20:55.898]  So again, the Guardian should be applauded.
[00:20:55.938 --> 00:21:13.123]  They've actually done the job of a real news outlet and provided some balanced coverage of an event of international importance, unlike the fake alternative media wannabe websites like The Daily Caller and Glenn Beck's The Blaze.
[00:21:13.663 --> 00:21:15.404]  I mean, look at Beck, for example.
[00:21:16.024 --> 00:21:19.307]  You know, he's got hundreds of thousands of paying subscribers.
[00:21:19.687 --> 00:21:22.830]  He's got a multi-million dollar media empire.
[00:21:23.330 --> 00:21:26.733]  He could have sent two, three, four writers to Bilderberg.
[00:21:27.074 --> 00:21:28.915]  He could have got bombshell revelations.
[00:21:28.955 --> 00:21:30.737]  He could have been all over the Drudgee Report.
[00:21:31.477 --> 00:21:32.518]  What did he choose to do?
[00:21:32.578 --> 00:21:32.738]  Well...
[00:21:33.993 --> 00:21:44.385]  You got some hack to write some pathetic four-paragraph blog droning on about Alex doing an analogy about gold-leaf-covered babies.
[00:21:45.306 --> 00:21:47.289]  Then you've got Daily Caller, on the other hand.
[00:21:47.529 --> 00:21:50.112]  I wrote an article about this on Friday.
[00:21:51.280 --> 00:21:54.024]  Some Tucker Carlson minion shows up at the protest.
[00:21:55.065 --> 00:22:03.556]  Instead of asking questions as to why 120 global power brokers are meeting in secret, he turns it on Alex and tries to ambush Alex.
[00:22:04.337 --> 00:22:08.062]  And even the Daily Caller's own readers, in response to the article,
[00:22:09.127 --> 00:22:12.870]  Just droves of them, hundreds, pointing out how pathetic it was.
[00:22:13.971 --> 00:22:16.973]  And this is, you know, the website run by Tucker Carlson.
[00:22:17.013 --> 00:22:22.017]  This is the guy who thinks Bilderberg is a bunch of retired State Department officials.
[00:22:22.738 --> 00:22:36.028]  You know, the completely irrelevant bowtie-wearing moron who freely chastises Alex when he's at a safe distance when Alex comes to DC, doesn't want anything to do with him, sends out his minions to try and harass him.
[00:22:36.926 --> 00:22:42.248]  And again, Colston, Daily Caller, Glenbeck's the blaze.
[00:22:42.288 --> 00:22:50.771]  It's just the fake right hand of the equation with, you know, Lawrence, I'm too lazy to do anything but read a teleprompter O'Donnell on the fake left.
[00:22:51.271 --> 00:23:00.555]  So, at the end of the day, it's not the blaze, it's not the Daily Caller being linked on the Powerhouse Drudge Report website, biggest driver of global news traffic in the world.
[00:23:01.155 --> 00:23:03.816]  It's Alex Jones, it's InfoWars.com.
[00:23:04.276 --> 00:23:08.838]  You know, it's all these other great alternative media websites, because they actually covered the event!
[00:23:09.058 --> 00:23:18.182]  They actually covered the event of 120 global power brokers, because they thought that was kind of more important than asking stupid sophomoric questions and trying to ambush people.
[00:23:18.942 --> 00:23:31.506]  So I think that tells you all you need to know about who's got the pathetic coverage on one hand and who's getting the job done on the other, breaking all the big stories, getting all the inside scoops.
[00:23:31.946 --> 00:23:46.770]  It's Alex Jones, it's Infowars, it's Guardian, it's all the other great websites that have actually bothered to cover the meeting of 120 power brokers instead of making childish jokes about it and trying to ambush people with stupid questions.
[00:23:47.330 --> 00:23:50.692]  So, the proof's in the pudding of who got all the traffic on the coverage.
[00:23:51.193 --> 00:23:53.434]  And I think it's obvious who that was.
[00:23:54.315 --> 00:23:55.616]  Here's another one out of the Guardian.
[00:23:56.376 --> 00:23:58.938]  Bilderberg 2012, guess who's coming to dinner?
[00:23:59.478 --> 00:24:05.202]  Yesterday at 4pm, a limousine with a police motorcade entered the rear entrance of the Bilderberg hotel.
[00:24:06.023 --> 00:24:08.385]  Heavy security, heavyweight politician.
[00:24:09.252 --> 00:24:10.494]  Let the guesses commence.
[00:24:10.534 --> 00:24:13.137]  Was it Romney getting the green light for presidency?
[00:24:13.478 --> 00:24:17.263]  Was it Hillary nipping in to sign off on Iran?
[00:24:18.324 --> 00:24:19.666]  So again, just as back in 2008,
[00:24:21.516 --> 00:24:26.919]  When for a brief time the security was stepped up for the arrival of some important guests.
[00:24:26.959 --> 00:24:30.241]  Of course, we soon found out that was Obama and Hillary.
[00:24:31.061 --> 00:24:32.882]  It happened again this year.
[00:24:33.082 --> 00:24:36.024]  We've yet to discover who that important guest actually was.
[00:24:37.465 --> 00:24:38.485]  Doubt it was Romney.
[00:24:38.525 --> 00:24:40.927]  I think he was over in Los Angeles doing a speech.
[00:24:41.447 --> 00:24:42.748]  Could have been Obama.
[00:24:43.248 --> 00:24:45.049]  He was definitely in D.C.
[00:24:45.109 --> 00:24:49.772]  giving this ridiculous portrait unveiling with George W. Bush and his wife.
[00:24:50.552 --> 00:24:51.733]  So it could have been Obama.
[00:24:51.753 --> 00:24:54.696]  It could have definitely been somebody from the Obama administration.
[00:24:54.736 --> 00:24:57.519]  Of course, they're routinely represented at Bilderberg.
[00:24:57.539 --> 00:25:02.444]  Back in 2009, an Obama representative went and met with Bilderberg.
[00:25:02.484 --> 00:25:11.652]  So, definitely an important guest arrived during the event, and we'll probably get to find out who that was at some point in the near future.
[00:25:12.346 --> 00:25:13.186]  Another video now.
[00:25:13.747 --> 00:25:17.449]  Bilderberg 2012, Alex talks with Webster Tarpley.
[00:25:18.169 --> 00:25:21.311]  And this is causing quite the storm on YouTube.
[00:25:22.292 --> 00:25:29.956]  Because apparently, unbeknownst to us all, Ron Paul has become the centre of all evil, according to Webster Tarpley.
[00:25:29.976 --> 00:25:30.977]  So let's go to the clip.
[00:25:31.644 --> 00:25:34.585]  I was out of the gate on the 10th of January with this.
[00:25:34.646 --> 00:25:35.546]  The 10th of January.
[00:25:35.886 --> 00:25:47.052]  My proof is, if you watch those Republican debates, and you can't see that Romney is there, is being helped by Ron Paul, you don't have any political judgment.
[00:25:47.312 --> 00:25:49.673]  Ron Paul ran five different ads against me.
[00:25:49.973 --> 00:25:52.754]  That was an establishment Democratic talking point.
[00:25:54.477 --> 00:25:55.437]  It was mild.
[00:25:55.517 --> 00:25:56.838]  It was that he was a flip-flopper.
[00:25:56.898 --> 00:25:58.958]  Everybody else was a criminal or whatever he was.
[00:25:59.138 --> 00:25:59.439]  They are.
[00:25:59.779 --> 00:26:01.379]  But Romney was only a flip-flopper.
[00:26:01.659 --> 00:26:03.120]  Let's take the Michigan primary.
[00:26:03.780 --> 00:26:12.202]  The function of Ron Paul is to take 10 or 15 percent of anti-ablishment Republican voters and put them in the deep freeze.
[00:26:12.262 --> 00:26:15.063]  Put them in the candidate who's never going to win.
[00:26:15.123 --> 00:26:16.244]  Can't get the nomination.
[00:26:16.884 --> 00:26:19.685]  Romney's problem was that the Republicans, maybe 40 percent
[00:26:21.005 --> 00:26:24.588]  People, you know, country club, plutocrats, whatever, who would vote for Romney.
[00:26:24.848 --> 00:26:28.931]  That leaves 50-60% who would vote for an anti-establishment candidate.
[00:26:29.271 --> 00:26:37.257]  So what Ron Paul does is take 15%, sometimes 17% of the anti-establishment Republican votes off the table.
[00:26:37.757 --> 00:26:40.519]  Now, Michigan primary, look at a couple of others, but Michigan is the clearest.
[00:26:41.380 --> 00:26:44.202]  Romney won Michigan by a paper-thin margin.
[00:26:44.862 --> 00:26:46.163]  That's the Ron Paul effect.
[00:26:46.223 --> 00:26:54.465]  Now, Ron Paul didn't go to Michigan, but he did pay with his money for anti-Santorum election ads.
[00:26:54.525 --> 00:26:57.847]  So, you're in the presence of a dissent operation.
[00:26:57.907 --> 00:26:58.747]  This is not real.
[00:26:59.247 --> 00:27:01.608]  Ron Paul is famous as a nepotist.
