[00:00:00.209 --> 00:00:01.229]  Mainstream media.
[00:03:14.201 --> 00:03:18.165]  Unfortunately, they turned people away at both events.
[00:03:18.866 --> 00:03:23.512]  And so next time we do venues, well, I guess we've got to get venues that hold more than a thousand people.
[00:03:24.273 --> 00:03:26.016]  And I could have done more venues as well.
[00:03:26.096 --> 00:03:28.098]  We're just testing it, hitting two locations.
[00:03:29.039 --> 00:03:32.704]  And it's always buoying to get to meet like-minded people.
[00:03:34.261 --> 00:03:34.822]  Go ahead and kill it.
[00:03:35.443 --> 00:03:35.783]  Thanks.
[00:03:36.584 --> 00:03:46.958]  Uh, to, uh, meet like-minded people, and it's always great to be able to, you know, we can just mess with it while I'm on air, because we do this during the breaks, trying to fix it.
[00:03:46.978 --> 00:03:47.559]  It'll never happen.
[00:03:47.579 --> 00:03:49.481]  We'll just do this all out in the open on air.
[00:03:50.802 --> 00:03:51.823]  That way it'll actually get fixed.
[00:03:52.383 --> 00:03:53.963]  Anyways, back to what I was saying.
[00:03:55.564 --> 00:03:57.705]  It is booing to get to meet people.
[00:03:57.865 --> 00:04:08.629]  It is amazing to go out and actually see info warriors of every race, color, creed, and religion out there who all bleed red and who have the love of freedom and dignity in their hearts.
[00:04:09.990 --> 00:04:10.210]  See?
[00:04:10.230 --> 00:04:10.890]  Problem solved.
[00:04:11.290 --> 00:04:11.931]  It's like magic.
[00:04:15.011 --> 00:04:16.451]  And I want to say the crew's done a great job.
[00:04:16.491 --> 00:04:26.054]  Again, this is our exploratory operation here as we travel out in the Info Wars command vehicle across the United States.
[00:04:26.694 --> 00:04:33.156]  Now, when we come back from break, I'm going to give you the big headlines, and boy are they big.
[00:04:33.176 --> 00:04:36.937]  We're going to break it all down straight ahead.
[00:04:38.117 --> 00:04:43.499]  From the government releasing the blueprint for biological Armageddon to admitting FEMA camps
[00:04:45.891 --> 00:04:48.892]  For displaced persons, too much more, we'll be right back.
[00:04:48.932 --> 00:04:49.372]  Stay with us.
[00:04:54.193 --> 00:04:55.454]  Hi, this is Alex Jones.
[00:04:55.494 --> 00:05:00.855]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:05:01.075 --> 00:05:05.716]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:05:06.117 --> 00:05:11.138]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:05:11.678 --> 00:05:16.381]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:05:16.902 --> 00:05:18.823]  They call it a Survival Seed Bank.
[00:05:19.203 --> 00:05:23.826]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:05:24.006 --> 00:05:24.907]  And here's the best part.
[00:05:25.127 --> 00:05:27.909]  These seeds have not been genetically modified in any way.
[00:05:28.189 --> 00:05:31.511]  And you actually get enough seeds to plant a full acre crisis garden.
[00:05:31.832 --> 00:05:34.673]  So visit them today at SurvivalSeedBank.com.
[00:05:35.014 --> 00:05:36.895]  That's SurvivalSeedBank.com.
[00:05:37.235 --> 00:05:38.156]  Or give them a call at 877-327-0365.
[00:05:41.798 --> 00:05:45.500]  That's 877-327-0365.
[00:05:46.020 --> 00:05:50.541]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:05:50.862 --> 00:05:53.303]  This is Alex Jones for SurvivalSeedBank.com.
[00:05:54.783 --> 00:06:09.229]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:06:10.259 --> 00:06:13.960]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:06:14.941 --> 00:06:26.946]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:06:27.706 --> 00:06:34.969]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:06:35.669 --> 00:06:45.274]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:06:46.035 --> 00:06:49.297]  As well, we are always ready to answer any questions you may have.
[00:06:49.957 --> 00:06:53.079]  That's www.SilverLungs.com
[00:06:54.301 --> 00:06:59.006]  Folks, Iran and the Mideast nuclear mess is already ballooning our gas prices.
[00:06:59.306 --> 00:07:13.901]  Whether you're struggling with food costs, which are being blown up by gas costs now, or know that when the Mideast showdown explodes, whatever food supply you have is all you'll get because of huge panic demand, eFoods Direct Family Packs are the answer.
[00:07:14.241 --> 00:07:20.747]  Now the most affordable best food is saving you up to 50% compared to other poor quality food companies.
[00:07:21.108 --> 00:07:28.835]  The new Alex Jones Quick Fix Family Pack saves you so much money, the savings from eating this food will actually help you pay your other bills.
[00:07:29.255 --> 00:07:36.342]  No matter what effect the Mideast crisis or the crashing economy have, you'll have food as delicious tonight as 25 years from now.
[00:07:36.723 --> 00:07:41.487]  Order now for 50% savings and free shipping on these affordable family packs.
[00:07:41.727 --> 00:07:44.070]  Call 800-409-5633 or efoodsdirect.com slash Alex.
[00:07:44.090 --> 00:07:47.053]  Call 800-409-5633 or efoodsdirect.com slash Alex.
[00:07:59.025 --> 00:08:03.206]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:03.846 --> 00:08:04.647]  You want answers?
[00:08:05.427 --> 00:08:06.307]  Well, so does he.
[00:08:06.987 --> 00:08:10.588]  He's Alex Jones on the GCN Radio Network.
[00:08:11.189 --> 00:08:15.230]  And now, live from Austin, Texas, Alex Jones.
[00:08:34.130 --> 00:08:35.311]  We are live.
[00:08:35.411 --> 00:08:41.116]  I'm Alex Jones coming to you from the road from the panhandle of Florida.
[00:08:41.136 --> 00:08:44.319]  I will be back in Austin, Texas tomorrow night.
[00:08:46.130 --> 00:08:53.496]  And then we will be back in studio on Thursday, but I'm coming to you live from the road.
[00:08:54.097 --> 00:09:10.931]  I am coming to you from Florida, and I'm here on the Info Wars command vehicle, here on the bus, here on the RV, and we couldn't have done any of this trip without the amazing crew back in Austin, Texas, and Richard Reeves, who has absolutely busted his hind end.
[00:09:11.451 --> 00:09:13.232]  I want to thank the great folks
[00:09:14.475 --> 00:09:16.096]  I don't think so.
[00:09:41.761 --> 00:09:54.915]  And to have countless current serving military personnel coming forward talking about how the military is waking up en masse to what the New World Order is up to.
[00:09:55.075 --> 00:09:56.777]  So the awakening is certainly happening.
[00:09:56.857 --> 00:10:00.299]  And people kept using the term, InfoWars saves lives.
[00:10:00.779 --> 00:10:09.725]  I mean, I wasn't there talking about vitamin and mineral replacement from natural sources like I do maybe once a month on the radio show or something.
[00:10:10.485 --> 00:10:23.814]  And in Dallas and in Orlando, I had person after person after person come up to me in person or up to the microphone during the question and answer and say, hey, I had lupus.
[00:10:24.634 --> 00:10:33.738]  And they said I was going to die, but a year ago I started taking, you know, vitamins and minerals and getting off aspartame and getting off GMO and I'm better, I'm well.
[00:10:34.218 --> 00:10:41.902]  This was not like some Holy Roller, you know, convention where they ask people at the back of the, you know, entrance when they come in, hey, what's wrong with you?
[00:10:42.742 --> 00:10:47.764]  And then the preacher says, I know there's somebody out there in the crowd who just had their gallbladder removed.
[00:10:47.784 --> 00:10:48.884]  The woman's like, that's me!
[00:10:49.124 --> 00:10:49.544]  That's me!
[00:10:49.624 --> 00:10:50.205]  How did they know?
[00:10:50.265 --> 00:10:52.665]  Because she filled out a questionnaire entering the place.
[00:10:53.346 --> 00:10:54.726]  This was not a health conference.
[00:10:54.746 --> 00:10:55.866]  This was not about any of that.
[00:10:56.307 --> 00:11:03.269]  And it was just so many of the listeners were coming out saying, my wife was going to have to have surgery, but she heard your guest and got off aspartame.
[00:11:03.829 --> 00:11:07.752]  Or, I was going blind and I got off aspartame and my vision has come back.
[00:11:08.653 --> 00:11:17.461]  Or, I had cancer and juiced and lost a hundred pounds and it's in total remission and gone and they said the surgery wasn't even going to help me and radiation wouldn't save me.
[00:11:17.821 --> 00:11:20.604]  I mean, it was just blowing me away and I was not even there.
[00:11:20.624 --> 00:11:27.249]  I was there to talk about the threat of the New World Order and a blueprint to defeat them and it was, I'd say, a third of the people coming up to me in person.
[00:11:40.223 --> 00:11:41.063]  That's alright.
[00:11:41.083 --> 00:11:47.806]  They'll go to... That's it!
[00:11:47.846 --> 00:11:48.966]  Well... A lie!
[00:11:49.386 --> 00:11:51.107]  No man is obsolete!
[00:11:51.387 --> 00:11:53.228]  You have no function, Mr. Wordsworth!
[00:11:53.268 --> 00:11:56.149]  You're an anachronism, like a ghost from another time!
[00:11:56.509 --> 00:12:01.631]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages!
[00:12:01.951 --> 00:12:03.592]  You're a bug, Mr. Wordsworth!
[00:12:03.652 --> 00:12:04.772]  A crawling insect!
[00:12:05.132 --> 00:12:09.194]  An ugly, misformed little creature who has no purpose here, no meaning!
[00:12:09.794 --> 00:12:10.896]  I am a human being!
[00:12:11.296 --> 00:12:18.264]  Words, Mr. Wordsworth, that have no substance and no dimension.
[00:12:18.284 --> 00:12:22.469]  I've been asking students all day about the recently passed NDAA legislation.
[00:12:22.929 --> 00:12:26.634]  I was surprised to learn where the real denial is coming from.
[00:12:27.924 --> 00:12:36.109]  Just one look at mainstream news will make any rational thinker conclude that Americans are in a hyper state of denial.
[00:12:36.829 --> 00:12:41.632]  Public opinion is in a stranglehold when it comes to real, open, honest debate.
[00:12:42.152 --> 00:12:53.179]  Whether it's the looming war in Iran based on fear-mongering and little fact, or the blind eye given to Ron Paul's agenda to get the country back to its constitutional values.
[00:12:53.635 --> 00:13:00.160]  The New Suffolk University Poll shows him with a commanding lead in New Hampshire at almost 30 points above his rivals.
[00:13:00.601 --> 00:13:04.143]  At the same time, Newt Gingrich and John Huntsman have faltered.
[00:13:04.824 --> 00:13:13.351]  Rick Santorum, who polls in single digits here, is looking to give Romney a run in the Granite State after his near victory in Iowa.
[00:13:14.235 --> 00:13:24.659]  Are people aware that they could be kidnapped, detained without trial, and sent away to a torture facility for an untimely death simply based on the description of domestic terrorism?
[00:13:25.639 --> 00:13:29.141]  Denial comes in three forms according to Sigmund Freud.
[00:13:29.501 --> 00:13:30.281]  Simple denial.
[00:13:30.862 --> 00:13:33.923]  Deny the reality of the unpleasant fact altogether.
[00:13:34.043 --> 00:13:36.904]  Do you feel like you get all the information you need from mainstream media?
[00:13:37.515 --> 00:13:38.075]  No, I don't.
[00:13:38.116 --> 00:13:39.537]  I hardly watch the news anyway.
[00:13:39.937 --> 00:13:41.898]  And I'm in a lying and deception class right now.
[00:13:42.439 --> 00:14:00.272]  And we talked about media and, like, news, and how most of it is just... They take, like, the smallest thing possible, it's not a big deal, and blow it out of proportion so you at least feel like something important's going on, when in fact, like, there are other things that could be covered that, I mean, they don't want to cover or they don't.
[00:14:01.012 --> 00:14:01.753]  Minimization.
[00:14:02.514 --> 00:14:05.456]  Admit the fact, but deny its seriousness.
[00:14:05.896 --> 00:14:22.909]  I just wanted to ask you if you've heard about the NDAA legislation, the bill that allows the president to detain American citizens, wish them away off to a torture facility and never be seen again, that that's been legalized as of this year.
[00:14:22.989 --> 00:14:23.649]  Are you aware of this?
[00:14:24.050 --> 00:14:25.411]  Um, I actually have heard of that.
[00:14:25.431 --> 00:14:28.133]  That's like how they weren't going to close Guantanamo.
[00:14:28.253 --> 00:14:30.815]  That was like the legislation that like decided that, I believe.
[00:14:31.593 --> 00:14:40.925]  If you're labeled a domestic terrorist, which could include the fact that you're missing fingers, that you bought beer at a store with cash, that you bought baby formula.
[00:14:41.065 --> 00:14:46.793]  Do you take that seriously, or would you feel like, yes, that may be happening, but it's probably for a good reason?
[00:14:48.138 --> 00:14:49.779]  Um, because I don't know the details.
[00:14:49.799 --> 00:14:53.120]  Like, I want to say that it could possibly be for a good reason.
[00:14:53.720 --> 00:14:54.401]  Projection.
[00:14:55.021 --> 00:15:00.283]  Admit both the fact and the seriousness, but deny responsibility.
[00:15:00.743 --> 00:15:07.526]  Once the war against Saddam begins, we expect every American to support our military, and if they can't do that, to shut up.
[00:15:08.047 --> 00:15:13.509]  Would you be more prone to say, yeah, that's happening, but there's nothing you can do about it?
[00:15:14.486 --> 00:15:17.530]  Um, I don't think that there's nothing that can be done.
[00:15:17.570 --> 00:15:26.342]  I think enough people are informed about it, then the more people that are informed, the more people can, you know, have an input and say, and one voice, you know, adds to that change.
[00:15:26.362 --> 00:15:28.966]  So, I mean, what's the entire point of this bill?
[00:15:29.747 --> 00:15:30.608]  Domestic terrorism.
[00:15:30.628 --> 00:15:33.210]  They want to quiet their critics.
[00:15:33.310 --> 00:15:35.071]  We represent the alternative media.
[00:15:35.512 --> 00:15:37.954]  Mainstream media didn't even cover NDAA.
[00:15:38.174 --> 00:15:46.501]  I have an idea that the media is sponsored by certain political parties and also certain people with power within this country.
[00:15:46.781 --> 00:15:51.385]  They don't allow certain information to be transmitted to the masses.
[00:15:51.865 --> 00:15:56.309]  It just wouldn't be right for the normal person's psyche.
[00:15:58.217 --> 00:16:03.460]  American citizens are distracted by a number of worthless time-consuming outlets.
[00:16:04.261 --> 00:16:07.082]  We are all addicted to our own self-importance.
[00:16:07.663 --> 00:16:15.947]  The only way to begin to treat addiction, whether it is alcohol or drugs, for example, is to break the cycle of denial.
[00:16:16.768 --> 00:16:24.332]  The mainstream media delivers a skewed reality, manipulating the American landscape with their theater of denial.
[00:16:25.513 --> 00:16:33.320]  Isn't it amazing that we're denying our own slavery to a system fueled by that very denial?
[00:16:34.301 --> 00:16:36.563]  John Bowne, InfoWars Nightly News.
[00:16:39.005 --> 00:16:45.631]  Okay folks, I was planning to do a whole talk today on air about denial and then get to John Bowne's piece that was excellent.
[00:16:46.192 --> 00:16:51.457]  On denial, Alex Jones coming to you via cell phone here on the InfoWars command bus while we're trying to get our
[00:16:52.606 --> 00:16:54.787]  System connected back up to the network.
[00:16:54.867 --> 00:16:57.068]  Aaron Dykes is waiting in the wings as well.
[00:16:57.928 --> 00:17:01.890]  Speaking of denial, I wanted to go over a few articles dealing with that.
[00:17:02.330 --> 00:17:03.131]  Look at this article.
[00:17:03.291 --> 00:17:08.033]  Utah lawmakers urge Congress to repeal indefinite detention law.
[00:17:08.973 --> 00:17:13.175]  Latest state to revolt against kidnapping provisions of NDAA.
[00:17:13.816 --> 00:17:21.179]  But I thought it was the conspiracy theory that the NDAA allowed the secret arrest of citizens and the secret disappearance to black torture sites.
[00:17:22.312 --> 00:17:23.393]  I don't know.
[00:17:41.175 --> 00:17:45.338]  And Graham, all bragged, yes, we won't just arrest you with no charges.
[00:17:45.438 --> 00:17:47.160]  We will kill you!
[00:17:47.880 --> 00:17:53.845]  Oh, Alex Jones, you're a fear monger, saying the government wants to use the military against us and will secretly arrest us and kill us.
[00:17:54.865 --> 00:17:57.267]  Ladies and gentlemen, they've got black sites all over the country.
[00:17:57.287 --> 00:18:08.856]  The Washington Post, two weeks ago, three weeks ago, had a big article about, oh, some people in the town, there's controversy over the rendition camp where they take people and fly them out on the jets.
[00:18:09.508 --> 00:18:15.071]  There's a torture center, and there's an area, some hangers, and they hold them.
[00:18:15.691 --> 00:18:18.512]  And there's some activists who don't think it's very good!
[00:18:19.713 --> 00:18:21.934]  I mean, it's camps hitting it in your face.
[00:18:22.334 --> 00:18:27.236]  And still I have people that come up to me at my events and say, look, I like your show, but are you serious?
[00:18:27.277 --> 00:18:28.197]  There's really camps?
[00:18:28.217 --> 00:18:29.217]  I don't know.
[00:18:29.237 --> 00:18:31.198]  They have the Emergency Centers Establishment Act.
[00:18:31.218 --> 00:18:32.639]  I don't know.
[00:18:32.659 --> 00:18:33.099]  They have RECS 84.
[00:18:33.339 --> 00:18:34.920]  I don't know.
[00:18:34.980 --> 00:18:36.481]  They have the Emergency Centers.
[00:18:37.439 --> 00:18:40.301]  Uh, program set up under the John Warner Defense Authorization Act.
[00:18:40.722 --> 00:18:48.208]  They had REC-84 congressional hearings on plans to arrest political dissidents, and the program already in place in Congress in 1986.
[00:18:48.668 --> 00:18:53.632]  I have all the video clips of that in my films, and people say, well, I want to see a copy of that.
[00:18:54.272 --> 00:18:57.154]  And I'm standing there in a hallway, and I go, but I just gave you the name of it.
[00:18:57.174 --> 00:18:57.695]  Go look it up.
[00:18:58.476 --> 00:19:00.577]  They're like, I don't know if I believe you.
[00:19:01.118 --> 00:19:07.942]  Because there's this childlike denial that the government can't and won't and wouldn't do something bad to them.
[00:19:08.502 --> 00:19:10.603]  Oh, the government's not shipping guns into Mexico.
[00:19:10.943 --> 00:19:13.905]  Okay, they are, but they're not going to do it to blame the Second Amendment.
[00:19:14.185 --> 00:19:16.106]  Yeah, they are, and the documents come out that it is.
[00:19:17.087 --> 00:19:21.289]  So there's one big, giant, humongous piece of denial.
[00:19:22.816 --> 00:19:24.256]  Here's another one.
[00:19:24.396 --> 00:19:24.937]  Ethicists.
[00:19:25.037 --> 00:19:25.937]  That's the bioethicists.
[00:19:26.637 --> 00:19:28.898]  They don't have the Hippocratic Oath anymore.
[00:19:30.378 --> 00:19:36.000]  Ethicists argue killing newborn babies should be allowed, including healthy babies, in America.
[00:19:36.400 --> 00:19:36.920]  Kill them!
[00:19:37.600 --> 00:19:40.901]  This is American Medical Association-sponsored paper.
[00:19:41.202 --> 00:19:42.582]  Says kill babies.
[00:19:43.462 --> 00:19:45.423]  In fact, kill children up to the age of three.
[00:19:45.843 --> 00:19:47.323]  Because they're dumb.
[00:19:47.824 --> 00:19:48.624]  We'll be right back.
[00:19:48.944 --> 00:19:49.404]  Stay with us.
[00:19:49.724 --> 00:19:50.804]  You're not eugenics, though.
[00:19:51.085 --> 00:19:52.085]  I'm a conspiracy theorist.
[00:19:56.932 --> 00:20:00.974]  Folks, have you lost your power and wanted to simply flip a switch to get the lights back on?
[00:20:01.394 --> 00:20:04.396]  If so, this is going to be the most important message you'll ever hear.
[00:20:04.756 --> 00:20:08.818]  Because there's never been a better time to get ready for the winter power outages ahead.
[00:20:09.138 --> 00:20:09.738]  Here's why.
[00:20:10.138 --> 00:20:15.941]  Solar power generators are now available from our friends at Solutions from Science, one of our oldest sponsors.
[00:20:16.281 --> 00:20:20.783]  Their emergency backup systems provide life-saving electrical power when you need it most.
[00:20:21.143 --> 00:20:24.545]  Unlike gas generators, a solar generator runs quietly amidst
[00:20:24.625 --> 00:20:27.206]  No fumes and produces electricity from the sun.
[00:20:27.486 --> 00:20:31.127]  It's like having an electric power plant running quietly in your own home.
[00:20:31.367 --> 00:20:36.908]  Whether it's ice storms, brownouts or blackouts, you'll never have to suffer through painful power outages again.
[00:20:37.288 --> 00:20:42.670]  When the power goes out this winter, you'll be ready with a solar-powered generator from Solutions from Science.
[00:20:42.910 --> 00:20:45.751]  Go to MySolarBackup.com for more information.
[00:20:45.911 --> 00:20:48.171]  That's MySolarBackup.com or call 877-327-0365.
[00:20:54.062 --> 00:20:59.066]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:20:59.266 --> 00:21:08.413]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:21:08.633 --> 00:21:22.684]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:21:22.944 --> 00:21:28.210]  Order the Berkey Light System today, complete with two black Berkey elements for only two hundred and thirty one dollars.
[00:21:28.370 --> 00:21:30.893]  And the Berkey Guy will ship your order free of charge.
[00:21:31.093 --> 00:21:37.961]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only thirty nine ninety nine.
[00:21:38.101 --> 00:21:40.204]  That's over 30% off the retail price.
[00:21:40.424 --> 00:21:44.707]  Call the Berkey guy at 1-877-886-3653.
[00:21:44.747 --> 00:21:47.809]  That's 1-877-886-3653.
[00:21:47.829 --> 00:21:51.292]  Or order online at GoBerkey.com.
[00:21:51.412 --> 00:21:53.373]  That's GoBerkey.com today.
[00:21:53.753 --> 00:22:00.378]  Iodine Protection Packs from HempUSA.org are now in stock for immediate delivery worldwide.
[00:22:00.678 --> 00:22:11.406]  Our Iodine Protection Packs include Micro Plant Powder, Green Life Kelp, Red Palm Oil, and our clear Roll-On Iodine that will feed the body the iodine it needs.
[00:22:11.686 --> 00:22:17.250]  All Iodine Protection Packs are in stock, save you money, and ship for free in all 50 states.
[00:22:17.510 --> 00:22:19.892]  Visit hempusa.org or call 908-691-2608 today!
[00:22:23.194 --> 00:22:32.460]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:22:32.500 --> 00:22:33.241]  This capitalism?
[00:22:33.301 --> 00:22:39.445]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:22:39.585 --> 00:22:40.406]  Hi, Ted Anderson.
[00:22:40.446 --> 00:22:43.548]  Unplacing a silver dollar in a book explains our monetary system.
[00:22:43.708 --> 00:22:44.468]  Call for your copy 800-686-2237.
[00:22:44.488 --> 00:22:45.549]  It's time to understand the system.
[00:22:45.569 --> 00:22:46.189]  Call 800-686-2237.
[00:22:46.229 --> 00:22:46.510]  That's 800-686-2237.
[00:22:53.394 --> 00:22:54.895]  Hey there, you've reached Claire.
[00:22:54.995 --> 00:22:55.736]  Leave me a message.
[00:22:56.316 --> 00:22:57.417]  Claire, it's Ann.
[00:22:57.597 --> 00:23:00.439]  Hey, you know that hormone-balancing product we talked about before?
[00:23:00.539 --> 00:23:01.319]  The all-natural one.
[00:23:01.580 --> 00:23:01.900]  Ambrin?
[00:23:02.040 --> 00:23:03.161]  Well, I gotta tell you this.
[00:23:03.461 --> 00:23:10.686]  Not only did Ambrin stop my hot flashes, but since I started the Ambrin program, I have lost so much weight.
[00:23:10.846 --> 00:23:12.567]  Seriously, even my belly fat.
[00:23:12.667 --> 00:23:13.147]  It's gone.
[00:23:13.167 --> 00:23:15.429]  I haven't been this thin in years.
[00:23:15.629 --> 00:23:16.269]  I feel great.
[00:23:16.289 --> 00:23:16.950]  Give me a call.
[00:23:17.110 --> 00:23:20.592]  The leading cause of weight gain in women over 40 is hormonal imbalance.
[00:23:20.772 --> 00:23:24.314]  Until you balance your hormones, it can be practically impossible to lose weight.
[00:23:24.574 --> 00:23:28.776]  Ambarin restores hormonal balance naturally, so the weight can just fall off.
[00:23:28.977 --> 00:23:31.098]  Yes, even that stubborn belly fat.
[00:23:31.318 --> 00:23:34.179]  Plus, Ambarin eliminates other symptoms of hormonal aging too.
[00:23:34.379 --> 00:23:38.702]  So with your hormones in balance, you can feel great and finally lose the weight.
[00:23:38.842 --> 00:23:44.225]  Be one of the first 50 callers right now, and they'll send you a complimentary risk-free trial with a 30-day supply.
[00:23:44.545 --> 00:23:44.685]  Free!
[00:23:44.745 --> 00:23:44.986]  Call 1-800-839-2959.
[00:23:45.006 --> 00:23:45.266]  That's 1-800-839-2959.
[00:23:45.286 --> 00:23:45.346]  1-800-839-2959.
[00:24:11.894 --> 00:24:16.459]  Okay, here's the four or five big news stories I've got for you today.
[00:24:17.240 --> 00:24:23.387]  And then Cindy Sheehan is going to be joining us, who's being persecuted by the system.
[00:24:25.865 --> 00:24:44.977]  We're also going to have an activist out in San Diego where they're very close to getting the deadly so-called sodium fluoride that is a cover name for different types of toxic acids, lead, mercury, arsenic, and hundreds of other chemical weapons that are added to your water supply and that we all pay to be assaulted with.
[00:24:45.798 --> 00:25:06.708]  As the different muscular and bone and joint degenerative diseases explode, as the neurological disorders explode, as the cancer explodes, as the diseases of the organs and diabetes explodes, as the blood diseases explode, as the curses of the eugenics death cult New World Order straight out of Hades unfold.
[00:25:07.829 --> 00:25:12.971]  Now, here are just four or five of the stories I have here today.
[00:25:13.959 --> 00:25:20.885]  And then separately, I talked to Dave Mustaine this morning about his Santorum comment.
[00:25:20.945 --> 00:25:30.273]  And quite frankly, when it happened a few weeks ago, I had not been checking my phone a lot and just get so busy that I didn't know that Dave had been calling me and texting me.
[00:25:30.754 --> 00:25:33.696]  I've got to where I don't really read my email, answer my phone, or check anything anymore.
[00:25:34.757 --> 00:25:36.599]  I'm so busy just covering news all the time.
[00:25:37.714 --> 00:25:46.237]  And it turns out I could have had Dave on right after that happened instead of him basically putting a press release out to explain he didn't endorse Santorum.
[00:25:47.758 --> 00:25:48.938]  But that's a side issue.
