[00:00:00.009 --> 00:00:02.070]  Alex Jones Broadcasting Network.
[00:02:29.517 --> 00:02:33.239]  But still, it pretty much has the same goal in the final equation.
[00:02:34.039 --> 00:02:37.782]  A week or so ago they had a report on the National Defense Authorization Act.
[00:02:38.542 --> 00:02:41.225]  And I meant to play it, we're going to play it today.
[00:02:41.265 --> 00:02:44.068]  Jon Stewart makes jokes about it.
[00:02:44.749 --> 00:02:48.132]  It's not a laughing matter, the end of the Bill of Rights, the end of the Constitution.
[00:02:48.833 --> 00:02:54.159]  This is earth-shattering type stuff that is happening, so we're going to get to that first.
[00:02:54.879 --> 00:02:58.203]  But the total free number to join us on air here on the
[00:03:03.010 --> 00:03:04.512]  Sunday transmission is 877-789-ALEX-877-789-2539.
[00:03:11.502 --> 00:03:23.372]  And we don't screen your calls, but if you'd like to tell us some of the basics, maybe one line of what you're calling it about, or one word that, like, I disagree, then you go to the head of the line.
[00:03:24.253 --> 00:03:27.315]  The toll-free number, again, is 877-789-2539 here on this live Sunday edition.
[00:03:33.562 --> 00:03:35.544]  Obviously, big developments every day.
[00:03:35.584 --> 00:03:40.029]  There's huge developments in the economy, in Iran, in Syria.
[00:03:40.189 --> 00:03:46.355]  Russia is saying they take it as a military threat to their national interest if Syria or Iran are struck.
[00:03:47.756 --> 00:03:55.904]  Within a day of Russia saying that, the United States cancelled its drill in the Strait of Hormuz, menacing Iranian forces.
[00:03:57.245 --> 00:04:10.956]  So, still the Russkies and their big ICBM baseball bat have some effect because the Russians are not known to make threats without being ready to follow through with them.
[00:04:11.916 --> 00:04:15.840]  In fact, even during the Cuban Missile Crisis, they were not threatening to use nuclear weapons.
[00:04:16.720 --> 00:04:23.485]  When the United States backed Jordan forces with NATO attack, Russian-held Adkhazia and South Ossetia
[00:04:24.488 --> 00:04:28.592]  The Russians did roll in medium-range mobile missile launchers.
[00:04:29.073 --> 00:04:33.537]  Their Chairman of Joint Chiefs of Staff did come out and he said,
[00:04:34.815 --> 00:04:36.657]  If you don't stop landing U.S.
[00:04:36.717 --> 00:04:41.441]  troops and NATO troops at these airports, we're going to fire nuclear weapons at you.
[00:04:42.002 --> 00:04:47.927]  Needless to say, Cheney blinked, bionic heart and all, and they loaded the troops back up on the aircraft.
[00:04:48.328 --> 00:04:52.011]  But they still engaged in a probing exercise.
[00:04:52.592 --> 00:04:56.596]  I guess as old, wicked men, it's the only thing that gets their hearts beating.
[00:04:57.316 --> 00:04:58.137]  We'll be right back.
[00:04:58.177 --> 00:04:58.698]  Stay with us.
[00:05:01.138 --> 00:05:02.398]  Hi, this is Alex Jones.
[00:05:02.438 --> 00:05:07.780]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:05:08.020 --> 00:05:12.662]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:05:13.042 --> 00:05:18.104]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:05:18.604 --> 00:05:23.306]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:05:23.826 --> 00:05:24.667]  We're good to go.
[00:05:38.743 --> 00:05:41.585]  So visit them today at survivalseedbank.com.
[00:05:41.925 --> 00:05:43.827]  That's survivalseedbank.com.
[00:05:44.167 --> 00:05:45.087]  Or give them a call at 877-327-0365.
[00:05:45.107 --> 00:05:45.408]  That's 877-327-0365.
[00:05:45.428 --> 00:05:48.250]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:05:48.730 --> 00:05:50.471]  This is Alex Jones for survivalseedbank.com.
[00:06:05.396 --> 00:06:09.457]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.978 --> 00:06:16.019]  If you are receiving this transmission, you are the resistance.
[00:06:23.501 --> 00:06:32.164]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:40.222 --> 00:06:55.391]  Welcome my friends, welcome to all of you out there listening on the AM and FM dial, via the internet at InfoWars.com and PrisonPlanet.tv and those listening on Global Shortwave as well as the weekday radio listeners that listen on XM.
[00:06:55.851 --> 00:06:58.153]  Thank you so much for joining us.
[00:06:59.033 --> 00:07:07.358]  While others are watching football this Sunday afternoon and while others are going to the topless bars or
[00:07:09.111 --> 00:07:10.312]  Doing whatever people do.
[00:07:10.452 --> 00:07:15.134]  We are here live on the radio and a lot of you are listening to us as well.
[00:07:17.475 --> 00:07:26.600]  Because we understand that the future of human civilization is in the balance right now and is being decided.
[00:07:29.215 --> 00:07:32.697]  And the tyrannies that we face as a society are not a joke.
[00:07:33.398 --> 00:07:51.489]  In every case in history, when governments remove checks and balances, remove the common right of the people, and assail the right of the family and property and the right of self-defense, giant wars, subjugation, enslavement, always, invariably follow.
[00:07:54.246 --> 00:08:02.471]  And we can see that we are on that road to perdition, that road to tyranny, that road to oppression, that road to bondage, serfdom, slavery.
[00:08:03.252 --> 00:08:22.984]  We are being usurped by highly competitive combines of megacorporations that control government and are anti-free market, what is known as crony, monopoly capitalists who use socialism and fascism and other forms of command and control to control populations.
[00:08:23.644 --> 00:08:24.605]  Now here's what I'm going to do.
[00:08:25.245 --> 00:08:26.386]  Shaking the show up.
[00:08:27.307 --> 00:08:37.916]  We're going to start going to your phone calls in the next segment today, and then I'll do the main news in the first 30 minutes of the next hour, and then go back in to your calls.
[00:08:39.417 --> 00:08:41.079]  Coming up in the second hour, U.S.
[00:08:41.619 --> 00:08:43.160]  warns Israel on strike.
[00:08:43.320 --> 00:08:47.664]  Officials lobby against attack on Iran as military leaders bolster defense.
[00:08:48.625 --> 00:08:49.365]  15,000 U.S.
[00:08:49.385 --> 00:08:52.108]  troops additionally are added to the Kuwait forces.
[00:08:53.612 --> 00:08:54.412]  More than 2,000 U.S.
[00:08:54.692 --> 00:08:56.613]  troops now on the ground in Israel.
[00:08:58.154 --> 00:09:05.457]  Jericho, medium-range ICBMs, nuclear-tipped, are fueled on the Israeli tarmac and gantries.
[00:09:06.357 --> 00:09:08.138]  Iran says it has evidence the U.S.
[00:09:08.198 --> 00:09:13.721]  is behind scientists' killing, along with the other now-admitted covert war inside Iran.
[00:09:14.081 --> 00:09:16.702]  Haratz out of Israel reports Israel and U.S.
[00:09:16.762 --> 00:09:21.324]  postpone massive defense drill in fear of escalation with Iran.
[00:09:22.549 --> 00:09:28.331]  Iran, until about two weeks ago, has denied their bases are getting blown up and all this is happening because it makes them look weak.
[00:09:29.011 --> 00:09:37.093]  Now their public knows they've got forces all over their country, including four al-Qaeda groups, blowing up dams, shooting police.
[00:09:37.953 --> 00:09:40.254]  Of course, al-Qaeda works for the banks that run the U.S.
[00:09:40.294 --> 00:09:44.635]  They've been given Libya, Amr al-Awlaki, the former number three in al-Qaeda.
[00:09:44.655 --> 00:09:45.655]  They claim they've killed now.
[00:09:46.095 --> 00:09:48.116]  I predicted they would have a staged killing of him when it came out.
[00:09:48.136 --> 00:09:51.617]  He really worked for the CIA and the Pentagon, as Fox News reported.
[00:09:52.967 --> 00:09:55.229]  But, uh, Israel and U.S.
[00:09:55.269 --> 00:09:58.391]  postponed massive defense drill in fear of escalation with Iran.
[00:09:58.711 --> 00:10:03.834]  They were, uh, later next week to have ships steam right up, Israeli and U.S.
[00:10:04.215 --> 00:10:06.996]  ships, right up to the Iranian ships.
[00:10:07.036 --> 00:10:12.680]  And the Iranians had said, as you know, a week and a half ago, okay, go ahead and come back through with your fleet.
[00:10:13.221 --> 00:10:14.521]  This is your only warning.
[00:10:14.581 --> 00:10:15.122]  Don't do it.
[00:10:15.362 --> 00:10:16.563]  We are going to attack you.
[00:10:19.345 --> 00:10:21.706]  And the Iranians, uh, are well known.
[00:10:21.746 --> 00:10:22.607]  They do not make threats.
[00:10:24.121 --> 00:10:24.762]  They don't make threats.
[00:10:25.402 --> 00:10:27.183]  If they tell you they're going to do something, they pretty much do it.
[00:10:27.884 --> 00:10:28.985]  Same thing with the Russians.
[00:10:29.025 --> 00:10:32.628]  And again, I'm not on the side of the Russians or side of the Iranians.
[00:10:32.688 --> 00:10:41.315]  I'm giving you facts here, not what I want to think or what I want to believe geopolitically or analyzing different countries as I do with my obsession with reality.
[00:10:43.066 --> 00:10:44.147]  But what will happen?
[00:10:45.068 --> 00:10:46.949]  The Russians do not make threats.
[00:10:46.969 --> 00:10:50.012]  They didn't during the Cuban Missile Crisis use nuclear weapons.
[00:10:50.052 --> 00:11:04.384]  They did in 2008 on 888 when the Olympics kicked off when Cheney decided, that was later declassified, through NATO to launch a sneak attack on South Ossetia and Abkhazia in Georgia, Russian-controlled areas.
[00:11:06.747 --> 00:11:07.207]  As U.S.
[00:11:07.247 --> 00:11:15.991]  forces began to land en masse to back up the Georgians, the head of the Russian Joint Chiefs of Staff, who was all over BBC, wasn't on U.S.
[00:11:16.031 --> 00:11:23.374]  TV, went out and gave a speech and said, we have rolled missile launchers in with medium-range nukes on the big trucks.
[00:11:23.755 --> 00:11:26.336]  We're preparing to fire them at Georgian bases.
[00:11:27.375 --> 00:11:29.757]  You have 12 hours to pull out, and the U.S.
[00:11:29.777 --> 00:11:30.157]  pulled out.
[00:11:30.557 --> 00:11:35.380]  Now, you have to ask yourself, why is our government trying to start World War III with the Russians?
[00:11:36.261 --> 00:11:46.868]  Why are they trying to start the shutdown of the Strait of Hormuz with the Iranians, when China says that is a military attack on them, that's their ally, and where they get 20% of their oil?
[00:11:47.528 --> 00:11:51.831]  The Russians say that's on their doorstep, because Iran does border Russia.
[00:11:52.872 --> 00:11:55.374]  And you notice the United States announced this about
[00:11:56.380 --> 00:12:21.477]  What, 15 hours or so ago, that they're going to stop and cancel this big naval engagement with the Iranians, basically, that now the Russians have come out and said, well, here's the headline from RT, which is Russian television, Russia Today, should anything happen to Iran, this will be a direct threat to our national security.
[00:12:22.585 --> 00:12:23.945]  They said the same thing on Iran.
[00:12:24.265 --> 00:12:27.126]  The full quote and video of their foreign minister is there.
[00:12:27.746 --> 00:12:29.186]  And so he tells the U.S.
[00:12:29.206 --> 00:12:33.127]  yesterday, listen, if you attack them, it's an attack on us.
[00:12:33.147 --> 00:12:35.047]  It's an attack on our sovereignty.
[00:12:35.087 --> 00:12:41.189]  And suddenly, the fleet's cruising right up to the Iranians, and all the war talk stops.
[00:12:42.049 --> 00:12:48.130]  Because now China and Russia are signaling that they are going to take this as an attack on them.
[00:12:51.107 --> 00:12:51.888]  Could it be a bluff?
[00:12:53.809 --> 00:12:55.490]  Chinese don't bluff either, folks.
[00:12:57.852 --> 00:13:00.754]  It's kind of like the walk-softly-carry-a-big-stick.
[00:13:01.114 --> 00:13:06.458]  It's not China racing around the world invading all these countries and bombing people and doing all this.
[00:13:06.498 --> 00:13:08.260]  China's taking over their economic development.
[00:13:08.660 --> 00:13:13.684]  And by the way, I don't like the Communist Chinese leadership and all their fat generals shucking off the Chinese people.
[00:13:14.457 --> 00:13:16.558]  I don't like the corruption in Russia.
[00:13:16.578 --> 00:13:17.779]  I don't like who runs Iran.
[00:13:18.179 --> 00:13:21.701]  The point is, America isn't run by America either.
[00:13:22.162 --> 00:13:35.129]  America is run by the Fortune 100 megabanks, the six big megabanks that finance the Fortune 100, who have gotten the United States and Europe to sign on to their $1,500 trillion.
[00:13:35.369 --> 00:13:39.632]  The Washington Post says $646 trillion.
[00:13:40.172 --> 00:13:42.694]  Six hundred plus trillion of that is, quote, our debt.
[00:13:43.424 --> 00:13:49.731]  Now the American people, in government, only owe $15 trillion, $100 and something billion.
[00:13:50.232 --> 00:13:50.552]  What is it?
[00:13:50.572 --> 00:13:52.554]  $15.143 trillion.
[00:13:52.635 --> 00:13:55.638]  You can go look it up.
[00:13:55.798 --> 00:13:57.220]  That's the latest number as of Friday.
[00:13:57.240 --> 00:13:58.822]  $15 trillion, .143.
[00:13:58.862 --> 00:13:59.282]  $143 bill.
[00:14:05.262 --> 00:14:15.287]  And I'm told I'm in debt and I've got to have my taxes raised and everything cut with potholes everywhere because I'm in debt and I didn't pay enough taxes, I didn't work enough.
[00:14:15.627 --> 00:14:17.748]  Truth is, our country's incredibly wealthy, folks.
[00:14:18.749 --> 00:14:23.691]  But almost all the tax money now goes in banker bailouts that aren't really banker bailouts.
[00:14:24.151 --> 00:14:29.194]  The mega banks get the government to sign on to their 600 plus trillion, just for the U.S.
[00:14:29.254 --> 00:14:29.554]  alone.
[00:14:30.074 --> 00:14:31.775]  Globally, it's 1.5 trillion and growing.
[00:14:32.819 --> 00:14:35.300]  And I know I say this every week because it's so important.
[00:14:35.340 --> 00:14:36.580]  It's the answer to the riddle.
[00:14:36.980 --> 00:14:38.320]  It's why all this is happening.
[00:14:39.661 --> 00:14:49.183]  And then they say, OK, we've got to raise your taxes and cut everything and have the age of austerity and cut the military and cut everything because everything's got to go to the bankers.
[00:14:53.284 --> 00:15:01.546]  And then the bankers themselves, the big mega banks, blame the free market so they can use government to knock out all their competition when this is not free market that did all of this.
[00:15:05.626 --> 00:15:07.207]  Now here's the Russian Foreign Minister.
[00:15:07.908 --> 00:15:10.610]  Iran is our close neighbor just south of the Caucasus.
[00:15:10.630 --> 00:15:17.175]  Should anything happen to Iran, should Iran get drawn into any political or military hardships, this will be a direct threat to our national security.
[00:15:19.857 --> 00:15:21.458]  And that's the, there's two quotes here.
[00:15:21.498 --> 00:15:26.682]  That's Dmitry Rogozin, Russian Deputy Prime Minister and former envoy to NATO.
[00:15:26.702 --> 00:15:28.564]  And there's another quote in here by their foreign
[00:15:30.322 --> 00:15:32.003]  They're, they're, they're ambassador of the U.S.
[00:15:32.443 --> 00:15:33.524]  There's a whole bunch of these quotes.
[00:15:33.564 --> 00:15:35.505]  I mean, this is, this is dangerous.
[00:15:35.525 --> 00:15:38.386]  And just like World War I or World War II, it's not even a big news item.
[00:15:38.806 --> 00:15:44.909]  People are talking about this cruise ship sinking in the Mediterranean, off the coast of Italy, and five dead.
[00:15:45.409 --> 00:15:49.371]  They're talking about, you know, the Washington Redskins, the San Francisco 49ers.
[00:15:50.692 --> 00:15:58.054]  And then meanwhile, folks, if there's a war with Iran, bare minimum you're paying $7 a gallon for gas in a couple weeks.
[00:15:58.674 --> 00:16:00.815]  Alright, your phone call's coming up, then the big news.
[00:16:03.195 --> 00:16:17.639]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:16:18.652 --> 00:16:22.354]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:16:23.355 --> 00:16:27.417]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[00:16:28.021 --> 00:16:35.364]  It also comes equipped with the proper applicators and devices needed to deliver your Silver Solutions directly to key target areas.
[00:16:36.104 --> 00:16:43.407]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:16:44.088 --> 00:16:53.652]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:16:54.432 --> 00:16:57.714]  As well, we are always ready to answer any questions you may have.
[00:16:58.354 --> 00:17:01.555]  That's www.silverlungs.com.
[00:17:02.336 --> 00:17:06.157]  Did you ever think you'd be where you are, a decade into the 21st century?
[00:17:06.458 --> 00:17:10.219]  Record foreclosure rates for homes, if not yours, your neighbor's.
[00:17:10.600 --> 00:17:13.121]  Thankful for the unemployment checks since you were laid off.
[00:17:13.581 --> 00:17:20.064]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[00:17:20.564 --> 00:17:23.786]  Did you ever think your future would feel this out of control?
[00:17:23.806 --> 00:17:28.728]  The fact is, in all this craziness, there's only one thing you can control.
[00:17:29.009 --> 00:17:30.269]  Your greatest dependency.
[00:17:30.549 --> 00:17:31.590]  Your food supply.
[00:17:31.970 --> 00:17:35.812]  Make 2012 the year you take control by getting prepared.
[00:17:36.152 --> 00:17:40.435]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[00:17:41.375 --> 00:17:44.138]  Get a 21 day supply of food free with purchase.
[00:17:44.379 --> 00:17:46.000]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:17:46.081 --> 00:17:46.761]  Take back control in 2012.
[00:17:46.801 --> 00:17:50.085]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:17:50.385 --> 00:17:51.947]  Remember, you can bet your life on efoods direct.
[00:18:02.540 --> 00:18:07.964]  When you're out on the road, the last place you want to be is on the road.
[00:18:09.205 --> 00:18:13.969]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:18:14.349 --> 00:18:21.134]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:18:23.076 --> 00:18:25.278]  They sew pride in every stitch.
[00:18:27.139 --> 00:18:29.100]  Guarantee you love the way they fit.
[00:18:31.551 --> 00:18:38.234]  Put a diamond gusset in the crotch where you need it most blue diamond gussets.
[00:18:38.354 --> 00:18:39.274]  Got it.
[00:18:39.974 --> 00:18:40.795]  Others don't.
[00:18:41.215 --> 00:18:43.096]  We turn jeans inside out.
[00:18:43.356 --> 00:18:47.698]  Diamond gusset jeans made in the USA with unparalleled quality.
[00:18:48.038 --> 00:18:54.280]  Our defender motorcycle jeans combined gusset comfort with Kevlar protection so you can ride all day with confidence.
[00:18:54.660 --> 00:18:56.881]  Order yours at gusset .com.
[00:18:57.361 --> 00:18:58.782]  Diamond gusset jeans.
[00:18:58.942 --> 00:18:59.382]  Got it.
[00:18:59.722 --> 00:19:00.583]  Others don't.
[00:19:02.413 --> 00:19:05.236]  You may be arrested and or subject to other police action.
[00:19:06.076 --> 00:19:07.017]  Tyranny is here.
[00:19:07.338 --> 00:19:10.901]  The grim future foretold in 1984 has become reality.
[00:19:10.941 --> 00:19:13.483]  It really says that the state is God.
[00:19:13.503 --> 00:19:18.948]  The United States is now recognized globally as one of the most oppressive police states on earth.
[00:19:19.368 --> 00:19:25.614]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[00:19:26.014 --> 00:19:31.559]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:19:31.999 --> 00:19:35.682]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:19:36.182 --> 00:19:40.186]  Prepare to enter the secretive world of emergency dictatorship.
[00:19:40.466 --> 00:19:45.970]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:19:46.431 --> 00:19:49.393]  It's only the beginning of the New World Order's hellish plan.
[00:19:49.974 --> 00:19:51.395]  The police state isn't coming.
[00:19:51.955 --> 00:19:52.396]  It's here.
[00:19:53.036 --> 00:20:00.098]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:20:03.119 --> 00:20:04.260]  Coast to Coast.
[00:20:04.640 --> 00:20:05.980]  Direct from Austin.
[00:20:06.701 --> 00:20:10.802]  You're listening to the Alex Jones Broadcasting Network.
[00:20:12.263 --> 00:20:18.965]  What we've got here is failure to communicate.
[00:20:19.265 --> 00:20:22.106]  Some men you just can't reach.
[00:20:23.303 --> 00:20:28.505]  So you get what we had here last week, which is the way he wants it.
[00:20:28.545 --> 00:20:29.626]  Well, he is.
[00:20:29.746 --> 00:20:38.369]  I don't like it any more than you do.
[00:20:38.749 --> 00:20:41.070]  Waging war on corruption.
[00:20:41.390 --> 00:20:42.771]  It's Alex Jones.
[00:20:46.351 --> 00:20:48.593]  In the final equation, it's really simple.
[00:20:48.673 --> 00:20:58.539]  The New World Order is a group of finance oligarchs that control the issuance of currency and credit through fractional reserve money-changing fraud.
[00:20:59.640 --> 00:21:01.181]  The derivatives are an example of that.
[00:21:01.241 --> 00:21:08.967]  Just absolutely worthless, but they have governments sign you on to pay taxes to back up the derivatives, so now they have value.
[00:21:09.958 --> 00:21:30.494]  Instead of going to jail, the big mega banks, all six of them that created this fraud, take over the world and abolish national sovereignty and sell everyone on the fact that your taxes have to go up and your liberties have to go away in the new age of austerity so that they, the technocratic bankers who engineered all this, can run your life.
[00:21:31.255 --> 00:21:37.421]  And because the general public has been raised in front of a television set, believing who wins the football game is all that matters.
[00:21:37.941 --> 00:21:41.925]  It's not even a language that people speak, and so they're like dodo birds.
[00:21:42.085 --> 00:21:53.156]  I like to use this analogy of sailors arriving on the island, and the dodo birds have never had natural predators, so they just sat there and let the sailors club them in the head and eat them.
[00:21:54.346 --> 00:21:58.110]  That's kind of like people in America or folks that are under Western mind control.
[00:21:58.631 --> 00:22:01.575]  We just have no idea what tyranny looks like because we never lived under it.
[00:22:02.456 --> 00:22:13.889]  And I'm going to go to your calls, but I was at a barbecue joint last night that I like, Pokey Joe's in South Austin with my wife and children.
[00:22:14.810 --> 00:22:18.014]  And they had the little back room closed off for a group of people.
[00:22:18.755 --> 00:22:19.836]  But there was a curtain right there.
[00:22:19.856 --> 00:22:22.218]  I could see what was going on because it was only partially closed.
[00:22:22.579 --> 00:22:28.565]  Howling and screaming for an hour over a football game, an NFL football game.
[00:22:28.585 --> 00:22:30.888]  And of course, I don't pay attention.
[00:22:30.928 --> 00:22:31.709]  I'm not cool.
[00:22:31.749 --> 00:22:34.612]  But I could see through the crack in the...
[00:22:36.656 --> 00:22:36.716]  And
[00:22:54.678 --> 00:23:15.934]  These men were coming in and out, and their children and wives were, and the wives all had incredibly serious looks on their faces, and they were praying for field goals to make it, and you would think that their family was in a gladiatorial fight for their lives with battle axes or something.
[00:23:17.130 --> 00:23:23.993]  And I'll guarantee you, if I walked up to those folks and said, hey, did you know that most major vaccines have cancer viruses added to them?
[00:23:24.013 --> 00:23:24.733]  Here's some documents.
[00:23:24.813 --> 00:23:26.594]  Or, would you like to know that all over the U.S.
[00:23:26.674 --> 00:23:30.136]  in the last eight months, radiation levels have gone off the charts?
[00:23:31.376 --> 00:23:35.558]  And here's a new report about it today, but the government's not saying take precautions.
[00:23:36.178 --> 00:23:38.279]  They look at me like I had a hundred heads.
[00:23:38.879 --> 00:23:44.442]  Or if I said, hey, did you know the government has just passed a law to allow the secret arrest
[00:23:45.484 --> 00:23:45.884]  Of U.S.
[00:23:45.904 --> 00:23:47.566]  citizens, or even the killing of U.S.
[00:23:47.586 --> 00:23:50.148]  citizens, and no one even knows you're arrested or killed.
[00:23:50.468 --> 00:23:51.649]  The essence of tyranny.
[00:23:51.869 --> 00:23:54.711]  The total overthrow of our Declaration of Independence and Constitution.
[00:23:55.772 --> 00:23:59.275]  Guaranteed they would have looked at me like I was a man from Mars.
[00:24:00.196 --> 00:24:04.539]  But if I'd have walked in there, because they were cheering for the 49ers, and said, how about them 49ers?
[00:24:04.579 --> 00:24:10.744]  That would have been an embrace of family, of tribalism, of love.
[00:24:11.864 --> 00:24:13.125]  All completely shallow.
[00:24:13.765 --> 00:24:15.125]  All completely fake.
[00:24:15.706 --> 00:24:17.886]  All completely just a veneer.
[00:24:18.167 --> 00:24:18.487]  Cheap.
[00:24:18.927 --> 00:24:19.607]  Means nothing.
[00:24:19.667 --> 00:24:21.928]  Globalist propaganda pumped in.
[00:24:23.089 --> 00:24:24.169]  Fake tribalism.
[00:24:24.489 --> 00:24:28.091]  People don't have a Bill of Rights, a Constitution, a free market, a family.
[00:24:28.531 --> 00:24:30.051]  None of that is what you'll fight for.
[00:24:30.512 --> 00:24:41.356]  No, because all day you can wear your favorite team's jersey and strut around and bug your eyes out and primitively jump up and down like a gorilla for your team.
[00:24:43.632 --> 00:24:44.673]  It's pure mind control.
[00:24:45.333 --> 00:24:47.894]  And these people are not even living in the real world.
[00:24:50.736 --> 00:25:04.404]  Coming up later, I'm going to get into the draconian legislation, the internet censorship, what we face, and the reason we have hardship, and the reason that our prosperity is leaving the building.
[00:25:05.327 --> 00:25:06.288]  Elvis has left the building.
[00:25:06.688 --> 00:25:08.449]  Freedom and prosperity are leaving the building.
[00:25:08.749 --> 00:25:11.671]  Because see, when freedom leaves, you never have prosperity.
[00:25:12.111 --> 00:25:19.616]  Freedom, economic, social, religious, all of it.
[00:25:20.376 --> 00:25:21.257]  It's the bellwether.
[00:25:21.377 --> 00:25:22.277]  It's the hallmark.
[00:25:22.397 --> 00:25:23.238]  It's the indicator.
[00:25:23.338 --> 00:25:24.879]  And it's leaving the building.
[00:25:26.735 --> 00:25:27.916]  Kind of like at the dog pound.
[00:25:28.056 --> 00:25:29.337]  Dogs that people don't want.
[00:25:29.377 --> 00:25:36.463]  At the dog pound, they don't strap them down and give them shots to kill them like your little puppy whenever you come into the vet.
[00:25:36.503 --> 00:25:38.605]  That's too expensive to give them a $5 shot.
[00:25:38.946 --> 00:25:47.133]  They just fill a big chamber, cram them full of animals, and then flip a lever and the oxygen is sucked out and they suffocate them.
[00:25:48.013 --> 00:25:49.054]  It's essentially free.
[00:25:51.636 --> 00:25:52.597]  It's a pressure chamber.
[00:25:53.098 --> 00:25:54.239]  They just suck the oxygen out.
[00:25:56.428 --> 00:26:05.014]  But you know, when you go to kill your dog, because it's in pain or whatever, I understand, when you go to euthanize it, you want to hold it and everything, and they give it the shot and everything, and there's that moment.
[00:26:05.255 --> 00:26:12.700]  They don't throw Sparky in the chamber where you can see it screaming and yelping and begging.
[00:26:15.322 --> 00:26:17.204]  Some of them use carbon monoxide too.
[00:26:18.915 --> 00:26:22.178]  I mean, you don't want to see it begging and gnashing and all of that.
[00:26:22.498 --> 00:26:27.663]  No, no, it's the America that's kind of being given a lethal injection too.
[00:26:30.145 --> 00:26:31.867]  And there's a whole ceremony to it.
[00:26:33.688 --> 00:26:35.570]  But my point, the analogy of
[00:26:38.635 --> 00:26:46.880]  The euthanasia is that our country is just slowly having its liberties, its freedoms sucked out like oxygen.
[00:26:47.601 --> 00:26:49.342]  And so we're now blue in the face.
[00:26:49.982 --> 00:27:00.249]  And you'll find in Rome and Nazi Germany and so many other corrupt, declining systems run by thugs, that as things get worse, people will cling to sports even more.
