[00:00:00.009 --> 00:00:01.980]  Visit GCNLive.com today!
[00:13:04.833 --> 00:13:10.418]  If... I don't talk about the big picture.
[00:13:13.821 --> 00:13:14.781]  I mean, what is the point?
[00:13:16.523 --> 00:13:18.124]  Let me just read you a few headlines here.
[00:13:18.484 --> 00:13:21.627]  US follows Russia in using drones to spy on protesters.
[00:13:23.489 --> 00:13:24.189]  Trendy alert!
[00:13:24.249 --> 00:13:27.692]  How the global elite constructed an army of Agenda 21 advocates.
[00:13:30.046 --> 00:13:30.646]  Very important.
[00:13:30.986 --> 00:13:34.627]  The assault on the Second Amendment, precursor to martial law in America.
[00:13:43.750 --> 00:13:44.590]  There it all is.
[00:13:45.670 --> 00:13:51.632]  Up at InfoWars.com and our auxiliary system PrisonPlanet.com as well as PrisonPlanet.tv.
[00:13:54.716 --> 00:13:58.178]  Obama's greenies to cause power blackouts and rate hikes.
[00:13:58.298 --> 00:14:01.680]  Told you about that years ago, now it's here.
[00:14:04.222 --> 00:14:06.923]  DHS prepares face-off with American public.
[00:14:09.024 --> 00:14:18.030]  Yeah, they take our money and they are arming to the teeth against us while teaching the police and military that we are absolute trash and filth.
[00:14:19.185 --> 00:14:27.771]  And all the new promo videos and training manuals has white shooters shooting up minorities and bombing things, and they say it's all coming.
[00:14:28.151 --> 00:14:30.173]  Theaters are about to be hit, and magically they are.
[00:14:31.754 --> 00:14:36.837]  By the way, the suspected Aurora shooter, James Holmes, gets 24 murder charges.
[00:14:37.557 --> 00:14:45.143]  Now they won't show video of it, but the court sketcher says that he is completely
[00:14:48.084 --> 00:14:52.748]  Unable to talk and looks completely confused like he doesn't know where he is.
[00:14:52.808 --> 00:14:55.090]  Yeah, and you can't, you can't copy this.
[00:14:55.390 --> 00:14:58.633]  Folks, they can commit mass shootings and just drug somebody up and roll in their patsy.
[00:15:00.234 --> 00:15:04.698]  And of course, you never hear any discussion of the top Pentagon psychiatrist that was over him.
[00:15:05.899 --> 00:15:14.006]  Oh yeah, he was assigned to the former head of the Air Force psychiatric program in San Antonio.
[00:15:15.916 --> 00:15:17.977]  San Antonio's a very special place down there.
[00:15:17.997 --> 00:15:19.497]  That's one of the places they kill U.S.
[00:15:19.537 --> 00:15:19.857]  troops.
[00:15:20.638 --> 00:15:22.619]  Army, Air Force.
[00:15:24.639 --> 00:15:26.220]  That's where they nerve gas them.
[00:15:27.060 --> 00:15:36.584]  I even had Rick Perry's, what was he, press secretary one time came down to the, six years ago, came down to the end game.
[00:15:37.443 --> 00:15:39.024]  I recognize the guy, I've seen him on television.
[00:15:39.044 --> 00:15:42.106]  He said, oh yeah, he's 10 years ago, I was a medic down at Fort Sam Houston.
[00:15:42.506 --> 00:15:45.608]  Yeah, we'd bring in troops, give them shots, they'd all die, the special forces.
[00:15:45.628 --> 00:15:47.509]  I was like, oh, that's very nice.
[00:15:51.971 --> 00:15:55.653]  And he wanted me to know that Rick Perry was a good guy and liked the show.
[00:15:56.074 --> 00:15:57.314]  I didn't know what that message was.
[00:15:59.710 --> 00:16:03.692]  Again, I mean, I just sit here marveling at the New World Order.
[00:16:03.892 --> 00:16:05.033]  Have I even given the number out?
[00:16:05.053 --> 00:16:06.373]  Notice the phone lines are loaded.
[00:16:06.694 --> 00:16:07.734]  Whatever, I'll give the number out.
[00:16:07.754 --> 00:16:08.054]  800-259-9231.
[00:16:08.074 --> 00:16:08.114]  800-259-9231.
[00:16:08.154 --> 00:16:10.836]  At a certain point, everything is just window dressing.
[00:16:10.856 --> 00:16:13.537]  I mean, I've got articles here that are sensational.
[00:16:33.100 --> 00:16:34.040]  I mean, look at this article.
[00:16:35.301 --> 00:16:38.782]  They're arresting people in England now if they insult someone on Twitter.
[00:16:39.022 --> 00:16:39.842]  There's no free speech.
[00:16:40.662 --> 00:16:41.122]  But look at this.
[00:16:41.202 --> 00:16:45.264]  DOJ suggests criticism of Islam could be criminalized.
[00:16:45.284 --> 00:16:48.345]  And there's a video of this in congressional testimony.
[00:16:49.325 --> 00:16:51.486]  And yeah, this is the plan.
[00:16:56.167 --> 00:16:58.968]  Refuses to rule out Sharia-style law in the United States.
[00:16:59.028 --> 00:17:01.188]  And Watson lives now in London.
[00:17:01.489 --> 00:17:02.709]  His brothers lived there for a long time.
[00:17:05.100 --> 00:17:10.641]  But they actually have Sharia law now in many parts of England.
[00:17:10.681 --> 00:17:12.682]  And the government encourages it.
[00:17:12.982 --> 00:17:17.703]  And again, my point is, the government's running Al-Qaeda in Libya and Syria and all these places.
[00:17:19.063 --> 00:17:21.763]  But I'm supposed to give my rights up because Al-Qaeda's about to attack me.
[00:17:22.123 --> 00:17:25.184]  But they've already flipped the script and said, no, no, no, Al-Qaeda's the good guy.
[00:17:25.624 --> 00:17:26.504]  It's the patriots.
[00:17:26.544 --> 00:17:28.485]  They're going to attack everybody.
[00:17:28.985 --> 00:17:33.906]  And then you have these mass shooters who are always under psychiatric care, are big Democrats.
[00:17:35.345 --> 00:17:45.072]  And then, no one knows where they've been for months, and then they... ...supposedly commit a mass shooting.
[00:17:47.093 --> 00:17:50.716]  But this article's up at InfoWars.com right now.
[00:17:50.736 --> 00:17:53.978]  We're gonna be going over it.
[00:17:58.848 --> 00:18:02.450]  DOJ suggests criticism of Islam could be criminalized.
[00:18:03.170 --> 00:18:06.872]  But when you look at something like this, how do you even break down how political correctness works?
[00:18:07.373 --> 00:18:09.174]  It's not even political correctness.
[00:18:14.157 --> 00:18:16.858]  It's tyranny under the name of a nanny state.
[00:18:17.578 --> 00:18:19.079]  Oh, look at this, a Hollywood reporter.
[00:18:19.159 --> 00:18:23.262]  Nielsen sued for billions over allegedly manipulating TV ratings.
[00:18:24.142 --> 00:18:24.502]  Really?
[00:18:24.582 --> 00:18:25.243]  You think so?
[00:18:27.435 --> 00:18:28.016]  You think so?
[00:18:28.076 --> 00:18:29.377]  You think they manipulate the ratings?
[00:18:29.417 --> 00:18:34.864]  Folks, the entire television system is a paper tiger fraud.
[00:18:35.184 --> 00:18:38.969]  They have a fraction of the viewers that people think they do.
[00:18:39.990 --> 00:18:41.892]  I've been all over national television.
[00:18:42.533 --> 00:18:45.397]  I've been all... Basically, you name it, I've been on it.
[00:18:46.488 --> 00:18:48.689]  If it's a news program or a talk program or whatever.
[00:18:49.269 --> 00:18:56.190]  I've been on Nightline, The View, CNN, probably 15 times, Fox News, on and on and on.
[00:18:56.630 --> 00:18:57.491]  You name it, I've been on it.
[00:18:58.311 --> 00:19:00.631]  No response to speak of.
[00:19:01.011 --> 00:19:07.133]  I mean, The View, I had a lot of women say they saw me on it, so that's actually a pretty big show, but these other shows, no response.
[00:19:07.693 --> 00:19:08.513]  Almost no response.
[00:19:09.173 --> 00:19:11.594]  You go on some big city market radio show,
[00:19:13.148 --> 00:19:16.050]  Are you gonna actually talk to somebody for 30 minutes and talk to a few hundred thousand?
[00:19:16.390 --> 00:19:17.411]  You get a big response.
[00:19:17.451 --> 00:19:18.731]  You see traffic to your website.
[00:19:18.751 --> 00:19:20.132]  You see books, videos sold.
[00:19:21.953 --> 00:19:23.034]  You see stories get out there.
[00:19:23.394 --> 00:19:24.975]  This is all a big fraud.
[00:19:25.175 --> 00:19:26.356]  The whole thing's a facade.
[00:19:26.676 --> 00:19:27.657]  The whole thing's a fraud.
[00:19:27.917 --> 00:19:28.877]  The whole thing's a scam.
[00:19:29.118 --> 00:19:33.620]  It's a bunch of posers sitting up there trying to dictate to you the nature of reality.
[00:19:38.663 --> 00:19:39.364]  So there's that.
[00:19:41.414 --> 00:19:49.803]  I mean, does anybody even care that there are literally hundreds, I say hundreds, it's really thousands, of mainline studies that fluoride eats your brain, and that they put it in there to hurt you?
[00:19:49.823 --> 00:20:01.735]  I mean, again, we have a government of people that, on record, kill our troops, little kids, you name it, in secret tests that are public now, and that put stuff in the water to brain damages.
[00:20:02.215 --> 00:20:02.416]  Okay?
[00:20:04.966 --> 00:20:06.047]  Are you storing food?
[00:20:06.448 --> 00:20:12.154]  Prepared families are storing food for months and years, but only have enough fuel stored for days or weeks.
[00:20:12.615 --> 00:20:16.699]  Stretch your fuel storage by harnessing the power of the sun with the Sun Oven.
[00:20:17.039 --> 00:20:23.226]  Food can be baked, boiled or steamed at temperatures of 360 to 400 degrees with the power of the sun.
[00:20:23.567 --> 00:20:26.490]  You can use the sun for 50 to 80 percent of your cooking.
[00:20:26.830 --> 00:20:29.472]  Allowing you to preserve your fuel storage for rainy days.
[00:20:29.912 --> 00:20:33.454]  Sun-baked foods stay moister and have less shrinkage and do not burn.
[00:20:33.874 --> 00:20:36.235]  Sun-baked roasts are tastier and more succulent.
[00:20:36.536 --> 00:20:39.537]  And sun-baked bread has unparalleled taste and texture.
[00:20:39.918 --> 00:20:43.680]  Water can be heated in a sun oven for purification or personal hygiene.
[00:20:44.060 --> 00:20:48.102]  For the past 26 years, sun ovens have been proudly made in the U.S.
[00:20:48.483 --> 00:20:49.103]  They're durable.
[00:20:49.463 --> 00:20:53.368]  Have a long life and come with a 100% satisfaction guarantee.
[00:20:53.829 --> 00:20:55.711]  Don't be fooled by cheap imitations.
[00:20:56.151 --> 00:21:00.036]  For a discount coupon, visit sunoven.com forward slash radio.
[00:21:00.477 --> 00:21:02.860]  That's sunoven.com forward slash radio.
[00:21:04.113 --> 00:21:07.915]  HempUSA.org brings you pure camembert powder.
[00:21:08.136 --> 00:21:21.824]  This revolutionary powder contains 50 times the vitamin C of an orange, mixes with any juice or liquid, has 227 servings per container, and is made from naturally grown camembert berries, not chemically produced in a laboratory.
[00:21:22.144 --> 00:21:24.125]  Order camembert powder today.
[00:21:24.346 --> 00:21:33.031]  Call 908-691-2608 or visit HempUSA.org and see what our powder, seeds, and oil can do for you.
[00:21:33.431 --> 00:21:34.492]  Hi, this is Ted Anderson.
[00:21:34.672 --> 00:21:39.055]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:21:39.235 --> 00:21:44.939]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:21:45.039 --> 00:21:48.461]  Gold has outperformed paper investments, yet no word about IRAs.
[00:21:48.681 --> 00:21:51.283]  If you would like to have gold for your retirement, call 800-686-2237.
[00:21:51.403 --> 00:21:56.306]  Don't get left behind by rising inflation and low returns.
[00:21:56.466 --> 00:21:56.687]  Call 800-686-2237.
[00:21:56.707 --> 00:21:58.108]  Secure your future and call 1-800-686-2237.
[00:22:03.571 --> 00:22:08.574]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:22:08.774 --> 00:22:17.920]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:22:18.140 --> 00:22:32.189]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:22:32.469 --> 00:22:40.397]  Order the Berkey Light System today, complete with two black Berkey elements for only $231, and the Berkey Guy will ship your order free of charge.
[00:22:40.597 --> 00:22:46.162]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:22:46.282 --> 00:22:47.444]  That's over 30% off the retail price.
[00:22:49.946 --> 00:22:54.208]  Call the Berkey Guy at 1-877-886-3653.
[00:22:54.268 --> 00:22:58.370]  That's 1-877-886-3653.
[00:22:58.570 --> 00:23:00.791]  Or order online at GoBerkey.com.
[00:23:00.931 --> 00:23:02.892]  That's GoBerkey.com today.
[00:23:03.452 --> 00:23:04.693]  Don't throw away leftovers.
[00:23:05.033 --> 00:23:10.836]  Instead, throw all your leftovers, vegetable peels, eggshells, coffee grounds, pizza crusts, and more into the Bokashi.
[00:23:11.116 --> 00:23:15.338]  If you love to garden and compost but don't like the hassle of turning a compost bin or the smell,
[00:23:15.618 --> 00:23:16.478]  Then check out the E.M.
[00:23:16.498 --> 00:23:19.019]  Bokashi Food Waste Recycling System from Terragonics.
[00:23:19.299 --> 00:23:24.761]  Finally, a way to recycle all your food and plant waste safely and effectively and stop using fertilizers.
[00:23:24.961 --> 00:23:25.402]  The E.M.
[00:23:25.442 --> 00:23:27.202]  Bokashi Food Waste Recycling System.
[00:23:27.482 --> 00:23:37.226]  Rather than decomposition, the Bokashi system uses fermentation to break down waste, so it takes less time to create nutrient-dense humus for crops or gardens with no turning and no obnoxious odors.
[00:23:37.526 --> 00:23:42.391]  To learn more and order your Bokashi online, visit Terragonics.com and click on the orange button.
[00:23:42.591 --> 00:23:44.032]  That's Terragonics.com.
[00:23:44.212 --> 00:23:47.615]  Spell T-E-R-A-G-A-N-I-X dot com.
[00:23:47.796 --> 00:23:49.837]  Or call 866-369-3678.
[00:23:50.018 --> 00:23:53.161]  That's 866-369-3678.
[00:23:53.361 --> 00:24:00.127]  Recycle all your food wastes in about six weeks with the Bokashi Food Waste Recycling System from Terragonics.com.
[00:24:00.367 --> 00:24:00.988]  Terragonics.
[00:24:01.328 --> 00:24:02.029]  Life's getting better!
[00:24:16.929 --> 00:24:25.074]  The more you research reality, the crazier it gets how far the ruling class has gotten.
[00:24:26.675 --> 00:24:30.118]  The globalists that control trillions of dollars per family
[00:24:33.553 --> 00:24:37.655]  Are extremely shadowy, but more and more their program is coming out in the open.
[00:24:37.975 --> 00:24:40.156]  They are tax exempt, they pay no taxes.
[00:24:40.757 --> 00:24:49.561]  They have it set up where they selectively enforce where all their money goes offshore and can globally operate and be invested anywhere they want at 0% tax.
[00:24:50.161 --> 00:24:53.483]  Some of them pay 1-2% people like Google.
[00:24:56.147 --> 00:25:02.410]  They are openly run drugs and white slavery, child kidnapping, snuff films.
[00:25:02.470 --> 00:25:03.850]  It all comes out in the news, too.
[00:25:04.271 --> 00:25:05.191]  And none of them get in trouble.
[00:25:05.591 --> 00:25:07.012]  They run all the drug aircraft.
[00:25:07.032 --> 00:25:08.372]  They land at all the military bases.
[00:25:08.973 --> 00:25:12.374]  The cocaine, heroin, little kids loaded on off publicly.
[00:25:12.394 --> 00:25:14.095]  It even comes out in the news.
[00:25:14.175 --> 00:25:14.875]  No one stops them.
[00:25:15.636 --> 00:25:25.340]  The police are all outside the base writing old ladies tickets and stuff, just frenzying with all their new drones and electroshock and all the fun, watching America just literally implode on itself.
[00:25:26.994 --> 00:25:34.840]  And, I mean, I sit here watching it where, oh, it comes out that HSBC was running Al-Qaeda and laundering their money for them.
[00:25:35.060 --> 00:25:35.760]  Of course they were.
[00:25:36.741 --> 00:25:38.162]  Who do you think Al-Qaeda is?
[00:25:38.242 --> 00:25:39.523]  It's the sword of the New World Order.
[00:25:41.945 --> 00:25:43.886]  Comes out, this big bank's laundering $376 billion.
[00:25:43.906 --> 00:25:45.107]  This one's laundering $122 billion.
[00:25:45.127 --> 00:25:45.828]  Nobody gets in trouble.
[00:25:49.801 --> 00:25:56.485]  And now, they've got legislation introduced to... By the way, I finally read the whole bill last night.
[00:25:58.186 --> 00:26:00.247]  It makes you get a license to buy ammo.
[00:26:01.728 --> 00:26:03.469]  It restricts what you can own.
[00:26:03.529 --> 00:26:05.271]  It bans most semi-autos.
[00:26:05.311 --> 00:26:06.912]  Bans all mags over 10 rounds.
[00:26:07.252 --> 00:26:07.932]  Possession.
[00:26:08.693 --> 00:26:11.955]  No one's even covering that, and it looks like it could pass.
[00:26:12.035 --> 00:26:13.696]  I mean, that's what I'm talking about, folks.
[00:26:13.756 --> 00:26:16.638]  I've reached the level of all I think about is
[00:26:19.571 --> 00:26:22.473]  I wake up in the middle of the night and think, get out of the United States.
[00:26:22.613 --> 00:26:23.033]  Get out.
[00:26:23.414 --> 00:26:25.115]  Just run to the South Pacific.
[00:26:25.155 --> 00:26:26.476]  Go live in a shack somewhere.
[00:26:29.138 --> 00:26:33.641]  But, that's my instinct for survival.
