[00:00:01.305 --> 00:00:01.345]  So,
[00:05:11.294 --> 00:05:16.377]  So, Holdren is anti-American in this deep way.
[00:05:16.497 --> 00:05:20.679]  He is a pessimist, culturally and historically.
[00:05:20.739 --> 00:05:24.481]  He calls himself a neo-Malthusianism.
[00:05:24.961 --> 00:05:34.187]  Now, the heart of his outlook is what he calls, well, he says that population is the root of all human problems.
[00:05:34.887 --> 00:05:36.288]  In other words, people pollute.
[00:05:37.089 --> 00:05:41.332]  Humanity is a cancer on the face of the Earth.
[00:05:42.193 --> 00:05:47.257]  The one big problem in the ecosystem is the role of humankind.
[00:05:47.297 --> 00:05:54.583]  And of course, in reality, the existing ecosystem could not survive without the constant contributions of human production.
[00:05:54.623 --> 00:05:56.664]  It's very easy to show that.
[00:05:57.805 --> 00:05:59.947]  Holdren started off in the 1970s with Paul Ehrlich,
[00:06:02.509 --> 00:06:09.053]  Who was a charlatan and an obscurantist and a crackpot who wrote the book The Population Bomb.
[00:06:09.973 --> 00:06:19.559]  Ehrlich was convinced that world population was growing out of control and that this is going to lead to a breakdown of human civilization sometime in the late 20th century.
[00:06:19.579 --> 00:06:26.523]  And it goes together with the campaign of the Limits of Growth, the Club of Rome, Aurelio Pichet and the rest of these people.
[00:06:26.563 --> 00:06:30.545]  This is kind of the intellectual milieu that Holdren
[00:06:31.045 --> 00:06:31.525]  We're good.
[00:07:01.025 --> 00:07:02.507]  Thank you very much.
[00:07:20.779 --> 00:07:22.720]  Population is the problem.
[00:07:22.760 --> 00:07:33.184]  Now, he looks around the world, writing in the early 1970s in one of his textbooks, and he says, some countries have so much population that they ought to be triaged.
[00:07:33.204 --> 00:07:39.207]  We should cut them off, give them no more food aid, no more credit, no more help of any kind.
[00:07:39.267 --> 00:07:40.547]  Well, what are the countries?
[00:07:40.807 --> 00:07:43.188]  He says, India is probably on the list.
[00:07:43.488 --> 00:07:43.848]  India.
[00:07:44.489 --> 00:07:49.471]  Hundreds and hundreds of millions of people, and Holdren says, cast them into the outer darkness.
[00:07:50.282 --> 00:07:57.849]  Then, Bangladesh, with a couple of hundred million people, Holdren says, for sure, Bangladesh has got to be triaged.
[00:07:57.969 --> 00:07:58.850]  Give them nothing.
[00:07:59.530 --> 00:08:01.272]  Now again, the note of genocide.
[00:08:01.832 --> 00:08:05.396]  The idea that whole countries should be consigned to doom,
[00:08:06.479 --> 00:08:06.719]  I think?
[00:08:21.610 --> 00:08:22.730]  science and technology.
[00:08:22.770 --> 00:08:32.092]  He regards them as a threat to what he thinks of as the social order and also to the crackpot views of charlatans and uh... and uh... and fakers like himself.
[00:08:32.152 --> 00:08:41.193]  He says he wants to create a science court that would decide which inventions could be put into practice and which would have to be banned.
[00:08:41.553 --> 00:08:42.494]  This is unbelievable.
[00:08:42.734 --> 00:08:50.615]  This would essentially strangle the source of human progress and consign us all into a stagnation and uh... and ruin which would
[00:08:51.115 --> 00:08:51.916]  Would never end.
[00:08:52.616 --> 00:08:58.800]  Holdren believes that there's a world optimum population, or carrying capacity.
[00:08:58.900 --> 00:09:09.327]  Now, the idea of carrying capacity comes from the writings of a Venetian cook by the name of Gian Maria Ortes, O-R-T-E-S, writing in 1790 or thereabouts,
[00:09:11.869 --> 00:09:24.298]  Ortez said that the limit of the world population was three billion people, and that if you went beyond that, you'd have famine and starvation and death, and it would always tend back to three billion people.
[00:09:25.079 --> 00:09:27.941]  Now, Holdren is even worse.
[00:09:28.021 --> 00:09:31.564]  He's more genocidal than Gian Maria Ortez.
[00:09:31.644 --> 00:09:36.888]  He's more genocidal than Malthus, who followed in the footsteps of Ortez.
[00:09:37.388 --> 00:09:38.089]  Holdren says,
[00:09:38.769 --> 00:09:43.741]  That the optimum world population is one billion.
[00:09:44.599 --> 00:09:45.379]  Now let's pause.
[00:09:45.920 --> 00:09:50.943]  At the time Holdren wrote that, the world population was already 4 billion.
[00:09:51.343 --> 00:09:58.608]  Today, if you say the optimum population is 1 billion, it would mean that more than 5 billion would have to go.
[00:09:58.848 --> 00:10:04.612]  And again, these are orders of magnitude that Hitler, Stalin, and Mao never dreamed of.
[00:10:04.792 --> 00:10:10.836]  Only in the mind of fanatics like Holdren do we get genocide of these proportions.
[00:10:11.736 --> 00:10:24.970]  Holdren says that the big task of policy, and here the third world and developing countries should take note, he says the main political problem facing the world is not world economic development, but stopping world economic development.
[00:10:25.010 --> 00:10:32.738]  He's very worried that countries like China and India and others, Latin America, South Asia, Sub-Saharan Africa,
[00:10:33.419 --> 00:10:38.001]  That they're going to try to imitate the development of the US, Europe, and Japan.
[00:10:38.301 --> 00:10:40.201]  And Holdren says that would be catastrophic.
[00:10:40.662 --> 00:10:43.242]  What we need is to stop third world development.
[00:10:43.262 --> 00:10:45.623]  We've got to convince the third world not to do that.
[00:10:46.384 --> 00:10:49.565]  And we've got to institute de-development worldwide.
[00:10:49.625 --> 00:10:56.547]  In other words, turn back the clock of history, roll back progress, and go back to what amounts to pre-industrial civilization.
[00:10:56.607 --> 00:10:58.848]  Well, pre-industrial civilization
[00:10:59.528 --> 00:11:01.968]  is a lifespan of 30 to 35 years.
[00:11:02.509 --> 00:11:05.929]  Nasty, brutish, and short, as Hobbes put it.
[00:11:05.969 --> 00:11:09.850]  So that's what Holdren wants for you and your family.
[00:11:10.690 --> 00:11:19.212]  In order to enforce this, he talks about a supranational monstrosity that he calls a planetary regime.
[00:11:20.092 --> 00:11:25.353]  This means a world empire, a supranational, one-world government,
[00:11:26.172 --> 00:11:33.257]  that would attempt to control all details of human life, would start with what he calls the global commons.
[00:11:33.757 --> 00:11:44.424]  That is to say, anything that impacts the air, the soil, and the oceans, would become the subject of international, supranational intervention.
[00:11:44.444 --> 00:11:46.766]  It would be like the IMF on steroids.
[00:11:46.806 --> 00:11:49.247]  Instead of just economic life, it would extend to everything.
[00:11:49.608 --> 00:11:55.452]  Again, the temperature in your living room, the kind of car you have, the amount you get to eat, whether you have a pet.
[00:11:56.572 --> 00:12:00.154]  Minimal details about your everyday life.
[00:12:01.215 --> 00:12:13.182]  For individual countries such as the U.S., Holdren recommends a population law which would fix the outer limits of the acceptable population.
[00:12:13.202 --> 00:12:15.103]  And again, what happens if you are surplus?
[00:12:15.463 --> 00:12:17.685]  What happens if you are declared a useful leader?
[00:12:18.065 --> 00:12:22.287]  He doesn't say that so explicitly, but it's clear that you wouldn't fare very well.
[00:12:23.308 --> 00:12:30.574]  So, one of the features of a population law, in Holdren's point of view, is to regulate the size of the family.
[00:12:30.754 --> 00:12:37.679]  And this is what, of course, China did in the post-Mao period, the two-child-per-family policy.
[00:12:37.739 --> 00:12:49.888]  So, the hand of the totalitarian state intervenes in the most intimate decisions of the family, and the realm of individual responsibility pretty much ceases to exist.
[00:12:51.189 --> 00:12:58.311]  Holdren is willing to do just about anything to, first of all, slow the rate of population increase.
[00:12:59.312 --> 00:13:00.172]  That's his first goal.
[00:13:00.532 --> 00:13:12.775]  Secondly, to bring population into stasis or equilibrium, zero growth, but then to turn it back and have a decreasing, diminishing world population.
[00:13:12.795 --> 00:13:16.916]  In Chinese experiences, if you do that, you're flirting with economic collapse.
[00:13:17.216 --> 00:13:18.636]  But Holdren doesn't care about that.
[00:13:18.676 --> 00:13:20.397]  He's, of course, a fanatic.
[00:13:20.757 --> 00:13:21.917]  So what is he willing to do?
[00:13:22.915 --> 00:13:26.316]  He talks about all kinds of forced sterilization.
[00:13:27.076 --> 00:13:30.917]  That you can have surgical interventions on males.
[00:13:31.717 --> 00:13:40.779]  In India, he says, there was a policy of obligatory vasectomy once you had two children in the family if you were a government employee.
[00:13:40.839 --> 00:13:43.100]  He says that's something we could think about imitating.
[00:13:43.960 --> 00:13:45.901]  Compulsory abortion.
[00:13:46.141 --> 00:13:46.821]  Think about that.
[00:13:47.762 --> 00:13:51.903]  That would be something that was flirted with in post-Maoist China.
[00:13:52.624 --> 00:13:55.845]  He wants to have licenses for birth.
[00:13:56.165 --> 00:14:03.208]  In other words, a woman is not allowed to give birth unless she's purchased a marketable birth license.
[00:14:03.928 --> 00:14:14.435]  And of course, what happens if Goldman Sachs comes in and because women are going to want those, drives up the price a hundred times so that nobody can afford a birth permit?
[00:14:14.836 --> 00:14:20.460]  And what happens to people that are born illegitimately, meaning without a birth permit?
[00:14:20.940 --> 00:14:32.088]  He wants to have things that have been done in the meantime, Norplant I think is an example, subcutaneous chemical devices that are put into the flesh of women to prevent them from
[00:14:32.788 --> 00:14:33.428]  Conceiving.
[00:14:33.528 --> 00:14:46.793]  So, forced sterilization, compulsory abortion, forced vasectomy, birth licenses, subcutaneous implants, all kinds of compulsory, obligatory methods.
[00:14:47.894 --> 00:14:57.557]  In terms of forced sterilizations, he says you could do this by putting chemicals in food and water, but he thinks that these other methods would be more effective.
[00:14:57.857 --> 00:15:01.619]  He also has other methods of persuasion, which are really coercion.
[00:15:02.199 --> 00:15:07.801]  That if you have more than two kids in the family, there's no more free public education for you.
[00:15:08.081 --> 00:15:11.042]  The third kid has to pay to go to the public school.
[00:15:11.462 --> 00:15:19.965]  If you're living in public housing, which is the case in some countries, the third kid gets you kicked out of the public housing and you become homeless.
[00:15:21.394 --> 00:15:26.657]  He's also in favor of violating the family by seizing babies.
[00:15:27.337 --> 00:15:44.906]  He says that if it's a teenager or a minor who has had an illegitimate child and there's no husband in the picture, then the government should come in and seize that child and have a policy of forced adoption to take care of that illegitimate child.
[00:15:45.586 --> 00:15:48.269]  You can see that Holdren is a collectivist.
[00:15:48.509 --> 00:15:52.193]  He is not a collectivist of the Marxist type, however.
[00:15:52.213 --> 00:15:56.758]  I would call him a collectivist in the tradition of Rousseau for two reasons.
[00:15:57.779 --> 00:15:59.280]  Remember, there are two Rousseaus.
[00:15:59.621 --> 00:16:01.222]  One is the Rousseau who says,
[00:16:02.196 --> 00:16:05.478]  That the noble savage is the goal of human life.
[00:16:05.538 --> 00:16:11.042]  In other words, the more primitive you are, the less civilization you have, the better you are.
[00:16:12.183 --> 00:16:31.776]  Just if you think about that, Rousseau on that basis is one of the most influential philosophers of the current time, because it basically says primitive societies are better than corrupt modern societies, so we should go back to nature and go back to the ways of these underdeveloped peoples.
[00:16:32.376 --> 00:16:35.317]  But then there's the other side of Rousseau, which is the collective will.
[00:16:35.417 --> 00:16:41.138]  The late Rousseau writes about the collective will, in that the individual counts nothing compared to the collective will.
[00:16:41.178 --> 00:16:48.279]  This is essentially the philosophy of the reign of terror in the French Revolution, and that's pretty much where Holdren is.
[00:16:48.299 --> 00:17:00.401]  So I would call him a Rousseauvian fanatic, in addition to being a Malthusian and a Darwinist and a Benthamite, and he wants to have the noble savage, roll back civilization, go back to pre-industrial
[00:17:01.962 --> 00:17:08.706]  Civilization, or call it civilization if you want to, and at the same time he wants to impose the collective will.
[00:17:09.046 --> 00:17:11.067]  He even writes about infanticide.
[00:17:11.087 --> 00:17:27.157]  He says that infanticide is found in many primitive peoples, and he says, well, what that means is that these societies thought that the survival of the group and the collectivity was more important than the individual, so they didn't hesitate to kill babies, which
[00:17:28.018 --> 00:17:30.739]  That implies Holdren's idea of civilization.
[00:17:30.779 --> 00:17:32.740]  It's a form of barbarity.
[00:17:33.480 --> 00:17:35.721]  Again, in Holdren's world, there are two main evils.
[00:17:36.081 --> 00:17:37.282]  One is overpopulation.
[00:17:37.642 --> 00:17:39.182]  The other is industrial pollution.
[00:17:39.943 --> 00:17:47.966]  In the world we live in, the main problem is poverty, ignorance, disease, backwardness, illiteracy.
[00:17:48.746 --> 00:17:49.247]  And the rest.
[00:17:49.347 --> 00:17:55.952]  The main problem of today's world is a massive underproduction of most of the worldly goods that humans need.
[00:17:56.092 --> 00:18:00.996]  Food, clothing, shelter, transportation, jobs, housing, health care, all the rest.
[00:18:01.477 --> 00:18:02.517]  All of that is lacking.
[00:18:03.198 --> 00:18:15.068]  One billion people in the world we live in are on the verge of starvation because of the world food market situation and the fact that we have almost no food stocks left anywhere in the world.
[00:18:15.108 --> 00:18:17.229]  You've also got about two to three
[00:18:18.083 --> 00:18:18.483]  I think so.
[00:18:39.494 --> 00:18:45.558]  If you have a bunch of people and you want to give them all a hat, and there are not enough hats to go around, what do you do?
[00:18:45.958 --> 00:18:47.999]  I say, manufacture more hats.
[00:18:48.259 --> 00:18:50.241]  Holdren says, start cutting off heads.
[00:18:50.661 --> 00:18:51.221]  That's Holdren.
[00:18:52.422 --> 00:18:59.746]  In being a follower of Bentham and Malthus and Darwin, in this administration of fanatics, Holdren is joined by others.
[00:19:00.247 --> 00:19:02.108]  Let's look at Cass Sunstein.
[00:19:02.964 --> 00:19:04.946]  Who is the regulations czar.
[00:19:05.366 --> 00:19:10.151]  Sunstein is the pioneer of what is called behaviorist economics.
[00:19:10.191 --> 00:19:14.334]  He wants to nudge you, or convince you to do certain things.
[00:19:14.395 --> 00:19:18.178]  The problem is, the nudge is not a friendly nudge.
[00:19:18.258 --> 00:19:26.426]  The nudge is going to become a cattle prod, and then it's going to become a bayonet, and then it's going to become a machine gun, and God knows what else.
[00:19:26.926 --> 00:19:28.628]  That's Cass Sunstein.
[00:19:28.668 --> 00:19:32.772]  He's a former law professor from the University of Chicago.
[00:19:33.092 --> 00:19:35.274]  Now, he quotes Bentham all the time.
[00:19:36.075 --> 00:19:45.224]  Sunstein is a guy who says that animals should have legal rights, including the right to be represented by lawyers in a court.
[00:19:46.125 --> 00:19:50.048]  Now, Sunstein, by most people's standards, would be quite extreme.
[00:19:51.087 --> 00:19:53.768]  But in the Obama administration, Sunstein is a moderate.
[00:19:53.808 --> 00:19:56.069]  Sunstein wants to give legal rights to animals.
[00:19:56.569 --> 00:20:05.712]  Holdren wants to give legal rights to trees, so that they could be represented by lawyers and they could block development projects because you need more trees.
[00:20:05.752 --> 00:20:07.333]  Well, again, I'm all for trees.
[00:20:07.873 --> 00:20:08.793]  You want more trees?
[00:20:09.114 --> 00:20:09.674]  Plant them.
[00:20:10.074 --> 00:20:12.675]  During the New Deal, we had something called the Shelter Belt.
[00:20:13.155 --> 00:20:20.739]  ...that planted a couple of hundred million trees across the mid-section of the United States as an attempt to make the climate better.
[00:20:21.100 --> 00:20:25.242]  It was an attempt to deal with the Oklahoma Dust Bowl of the 1930s.
[00:20:25.322 --> 00:20:27.984]  The way you do that is to plant trees.
[00:20:28.044 --> 00:20:37.289]  Trees are fine, but again, with Holdren, we're going to have trees represented by lawyers stopping human needs from being realized.
[00:20:38.863 --> 00:21:00.681]  Generally speaking, the Malthusian, zero-growth, radical environmentalist, ecological extremist movement of the late 60s and early 70s is the precursor that prepares the ground for the radical de-industrialization of the United States in the late 70s and then into the 80s, the so-called Great U-Turn, where the U.S.
[00:21:00.901 --> 00:21:05.044]  goes from being an industrial power to being a post-industrial rubble heap.
[00:21:05.985 --> 00:21:13.588]  A key moment is 1968 with the foundation of the Club of Rome, Aurelio Pace and Alexander King.
[00:21:14.008 --> 00:21:29.595]  Alexander King once admitted that the whole purpose of the ecological movement was to stop the economic development of the third world and make sure that there would be fewer brown and black people in the world because this was a problem for the Anglo-Saxon master race, the way he looked at it.
[00:21:30.435 --> 00:21:44.185]  1972, you've got this tremendous work of charlatans and crackpots, Meadows and Forrester, the limits to growth, which was that the world really should have ended already, because the raw materials are being exhausted at such a rapid rate.
[00:21:44.205 --> 00:21:54.293]  So out of that you get the Green Movement, the greening of America, and the coming of something that you didn't have before, was a mass constituency for radical environmentalists.
[00:21:55.293 --> 00:21:56.755]  In particular, Malthus
[00:21:57.635 --> 00:22:02.979]  used to be a dirty word among leftists, because he was considered a British imperialist.
[00:22:03.879 --> 00:22:10.924]  Marx and Engels had to attack Malthus, because otherwise they couldn't function in progressive circles.
[00:22:11.004 --> 00:22:19.410]  But by the 1970s, thanks to this, Malthus and Darwin become good guys, when of course they're really very bad.
[00:22:19.890 --> 00:22:21.891]  And both charlatans and crackpots.
[00:22:21.951 --> 00:22:24.072]  So that's sort of the preparation.
[00:22:24.112 --> 00:22:29.915]  You've also got people saying that a service economy is better, the so-called triple revolution committee.
[00:22:30.216 --> 00:22:39.520]  You've got the government of Edward Heath in Britain and Harold Wilson of the Labour Party saying quality of life is more important than production.
[00:22:39.580 --> 00:22:43.883]  All of these are ways to begin arguing the idea of de-industrialization.
[00:22:44.423 --> 00:22:46.544]  The way you get it, though, big time in the U.S.
[00:22:46.725 --> 00:22:53.189]  is Paul Adolph Volcker of the Trilateral Commission, appointed by Jimmy Carter of the Trilateral Commission.
[00:22:54.089 --> 00:23:09.480]  And what Volcker then does is he gets the Federal Reserve and he raises interest rates to unprecedented levels, a 22% prime rate, meaning that for most people the interest rates were 30% or even more.
[00:23:09.500 --> 00:23:14.303]  And that's for mortgages, for various kinds of business financing and so forth.
[00:23:14.783 --> 00:23:21.546]  What Volcker was able to do was to essentially destroy the industrial base of the United States.
[00:23:22.226 --> 00:23:26.548]  It became impossible to produce with credit costing that much.
[00:23:28.869 --> 00:23:32.030]  Some people compared this to Keynes, right?
[00:23:32.110 --> 00:23:36.732]  Keynes said, well, let's have inflation as a cure for depression.
[00:23:37.452 --> 00:23:40.973]  And Volcker came back with, no, let's have depression as a cure for inflation.
[00:23:41.314 --> 00:23:42.454]  And that's pretty much what he did.
[00:23:42.774 --> 00:23:52.258]  He pitched the United States into an industrial depression, which has never ended, wiped out large parts of basic industry, steel mills, chemical, rubber.
[00:23:53.138 --> 00:23:53.659]  And all the rest.
[00:23:54.100 --> 00:23:56.022]  This is where the jobs went.
[00:23:56.142 --> 00:24:07.417]  If you remember Obama's bitter clinger quote, he says, 30 years ago the jobs went away and now we have these bitter people clinging to God and guns and anti-trade.
[00:24:07.738 --> 00:24:09.620]  Well, how did those jobs go away?
[00:24:09.660 --> 00:24:10.401]  That was Volcker.
[00:24:10.922 --> 00:24:13.124]  The industrial base of the U.S.
[00:24:13.164 --> 00:24:19.869]  was gutted and destroyed by Volcker, and with the environmentalists there, this could be greeted as something good.
[00:24:20.210 --> 00:24:26.455]  The resistance to this in the Democratic Party was paralyzed because, well, it's a good thing, after all.
[00:24:26.495 --> 00:24:27.916]  We won't have any more smokestacks.
[00:24:27.976 --> 00:24:33.981]  Well, instead of smokestacks, you're going to have a declining standard of living, and this is what goes together with it.
[00:24:34.501 --> 00:24:37.524]  Since about 1967, the U.S.
[00:24:37.584 --> 00:24:40.146]  standard of living has declined by two-thirds.
[00:24:40.626 --> 00:24:43.910]  And that includes average hourly earnings.
[00:24:44.911 --> 00:24:50.657]  It includes the fact that the usual measures of inflation don't tell you how much inflation has been.
[00:24:50.677 --> 00:25:00.308]  It's much more because you have to include medical care, insurance, and other things that are not really reflected in the market basket.
[00:25:01.189 --> 00:25:09.314]  You're working about six weeks more per year, so you've got a longer work day, a longer work week, and a longer work year.
[00:25:09.674 --> 00:25:17.259]  Vacations shrink, and the work year is extended by about six weeks altogether.
[00:25:17.319 --> 00:25:20.682]  The other thing that you've got is your commute is much further.
[00:25:21.742 --> 00:25:28.969]  And you're sitting in traffic for a total of about two to three weeks just sitting there, in addition to whatever the length of your commute would be.
[00:25:29.290 --> 00:25:37.738]  If you add all of that together, in terms of the burden of economic life on the average standard of living and quality of life, you will find that the U.S.
[00:25:37.758 --> 00:25:40.621]  standard of living has indeed declined by two-thirds.
[00:25:40.641 --> 00:25:42.803]  You can look on shadow government statistics.
[00:25:43.323 --> 00:25:45.345]  Their index confirms my finding.
[00:25:45.806 --> 00:25:54.134]  It goes from about 300 in the late 60s, early 70s to about 100 today, meaning you've lost two-thirds of your standard of living.
[00:25:54.214 --> 00:25:58.018]  So, deindustrialization leads to immiseration.
[00:25:58.078 --> 00:26:01.442]  It means that the middle-class standard of living is destroyed.
[00:26:01.822 --> 00:26:03.624]  You've also got more people working.
[00:26:03.964 --> 00:26:05.426]  It's not enough for the husband to work.
[00:26:05.486 --> 00:26:06.327]  The wife has to work.
[00:26:06.607 --> 00:26:12.128]  The kids have to work, the husband has to work two jobs, the wife two jobs, and all this that everybody knows about.
[00:26:12.168 --> 00:26:30.532]  So that is what de-industrialization has done, and that would have been difficult to do without the ideological preparation of green fanatics like Holdren, Ehrlich, Paddock, Meadows and Forrester, the Club of Rome, and collected charlatans and extremists of the 1960s into the 1970s.
[00:26:33.362 --> 00:26:36.723]  The disease that we're talking about is not limited to the U.S.
[00:26:36.803 --> 00:26:42.885]  Actually, it really originates in Great Britain with these people like Bentham and Malthus and Darwin.
[00:26:44.166 --> 00:26:52.069]  One of Gordon Brown's aides was recently so indiscreet as to say that they were talking about cutting the population of the British Isles by 30 million people.
[00:26:52.129 --> 00:26:55.370]  Now that's way more than Hitler could have accomplished.
[00:26:56.110 --> 00:27:00.552]  And what it shows again is the anti-human fanaticism,
[00:27:01.272 --> 00:27:06.037]  Genocidal fury of the Anglo-American ruling elite.
[00:27:06.117 --> 00:27:12.885]  That they hate people and they're determined to exterminate people and that's what they're into.
[00:27:13.145 --> 00:27:18.711]  And if you want to live with a ruling class like that, it's going to be nasty, brutish and short.
[00:27:19.642 --> 00:27:26.213]  The origins of eugenics, racist thinking, race science in the U.S.
[00:27:26.253 --> 00:27:29.558]  go back in particular to the Harriman family.
[00:27:29.858 --> 00:27:31.261]  Averill Harriman was the son of...
[00:27:32.735 --> 00:27:33.275]  We're good to go.
[00:27:54.241 --> 00:27:59.245]  A wonderful race pedigree, that he too was part of the Anglo-Saxon master race.
[00:27:59.265 --> 00:28:15.558]  So his wife contributed to this famous gathering at the American Museum of Natural History, which was attended by Nazis as well as British and other race scientists, meaning charlatans and proto-genocidalists, who came together with the idea of improving the race.
[00:28:16.719 --> 00:28:17.040]  U.S.
[00:28:17.360 --> 00:28:22.224]  states got into the business of sterilizing people, denying marriage licenses.
[00:28:22.725 --> 00:28:27.148]  You have these stories, the Kalakaks and the Jukes in New York State and similar things.
[00:28:27.469 --> 00:28:29.851]  The Nazis actually said, the U.S.
[00:28:29.891 --> 00:28:34.215]  has beaten us to the punch in terms of eugenics measures.
[00:28:34.955 --> 00:28:40.720]  So, in some ways, they were actually following in the footsteps of what Harriman and this faction had done in the United States.
[00:28:40.800 --> 00:28:43.343]  Now, Bush, the elder,
[00:28:44.423 --> 00:29:06.853]  In his first congressional term, when he was representing River Oaks, Houston, Texas, elected in 1966, it was a district that had to be tailor-made, designed for him, as part of a redistricting, so he could finally get elected after he failed to get into the Senate from Texas against Yarborough in 1964.
[00:29:08.013 --> 00:29:10.675]  Bush became the champion of eugenics.
[00:29:10.735 --> 00:29:13.516]  He brought in Shockley, Herrenstein,
[00:29:14.016 --> 00:29:21.019]  And these other fanatics, right, the sort of bell curve school, the precursors of that.
[00:29:21.059 --> 00:29:27.162]  In other words, people who talk about racial inferiority of the non-white races and things of this sort.
[00:29:28.442 --> 00:29:36.266]  These people were outside the boundaries of respectability because of the backlash against the Nazis, but Bush, the elder,
[00:29:36.966 --> 00:29:39.129]  Did everything he could to make them respectable.
[00:29:39.149 --> 00:29:40.250]  He brought them to Congress.
[00:29:40.270 --> 00:29:43.594]  He let them lecture groups of members of the House and so forth.
[00:29:44.175 --> 00:29:51.604]  So much so, that Wilbur Mills, the head of one of the key House committees at the time, coined the term, Rubbers Bush.
[00:29:52.205 --> 00:29:58.768]  That George Bush the Elder was so interested in contraception for the lower orders that he was rubber's Bush.
[00:29:58.788 --> 00:30:04.450]  Now, the idea of that, I think, with Bush the Elder was he believes in the Anglo-Saxon master race.
[00:30:04.950 --> 00:30:11.033]  The problem is if you believe in that, you've got a problem of numbers because there are so many other people who are not part of this.
[00:30:11.073 --> 00:30:12.233]  So, what are you going to do?
[00:30:12.513 --> 00:30:15.895]  You've got to do something to limit the population growth
[00:30:16.835 --> 00:30:21.256]  And probably turn it around among the non-white populations in particular.
[00:30:21.296 --> 00:30:26.537]  So I think that is the one thing that Bush the Elder actually believes in as a fixed point of ideology.
[00:30:27.217 --> 00:30:41.819]  John P. Holdren, the current Obama populations are, John P. Holdren, the White House science are, is very much in the tradition of this Harriman eugenics movement, which was rubbing elbows with the Nazis in the 20s and 30s.
[00:30:41.859 --> 00:30:45.660]  Things like compulsory abortion, compulsory sterilization,
[00:30:46.820 --> 00:30:56.284]  Taking children away from parents, preventing marriages, marriage licenses that you have to pay for, implants and other things to prevent birth.
[00:30:56.344 --> 00:31:02.786]  This is all in the Nazi or quasi-Nazi tradition of the 20s and 30s.
[00:31:03.826 --> 00:31:06.928]  The mentality of oligarchy does not change.
[00:31:08.973 --> 00:31:16.337]  We have to remember that as long as there are human individuals, you're going to have the one, the few, and the many.
[00:31:17.197 --> 00:31:20.799]  There's going to be one person, small groups of people, and large masses.
[00:31:21.379 --> 00:31:22.620]  So this is always going to be with you.
