[00:00:22.096 --> 00:00:26.140]  Tyrannies throughout history count on one thing, your submission.
[00:14:28.663 --> 00:14:30.224]  You've got to take a look at this for yourself.
[00:14:30.304 --> 00:14:31.725]  I wish I could articulate it better.
[00:14:32.106 --> 00:14:41.873]  We turn now to the subject of hacking, the subject of cheetah robots, and the subject of literal speech jamming guns.
[00:14:42.293 --> 00:14:47.277]  Now the first of those is a new bust that reveals that government runs the hacking groups.
[00:14:47.577 --> 00:14:48.278]  Of course they do.
[00:14:48.338 --> 00:14:53.001]  They run the anti-virus software based on running the virus software.
[00:14:53.041 --> 00:14:56.604]  They run counter-terrorism measures based on phony terrorists.
[00:14:56.904 --> 00:14:58.185]  They use it to create a provocation.
[00:14:58.345 --> 00:15:01.487]  All they want is more power, and that's the way they sell these ideas.
[00:15:01.867 --> 00:15:16.238]  Now Kurt Nemo explains how the leader of LULSEC has ratted out his activist comrades with the establishment media, revealing further that government is responsible for creating and unleashing computer hacker groups.
[00:15:16.778 --> 00:15:17.238]  I think?
[00:15:35.249 --> 00:15:39.510]  And Pentagon, you notice the CIA site's been hacked, not without coincidence.
[00:15:39.810 --> 00:15:50.173]  The Pentagon had to shut down its internet the other day, all so they could create this cyber security illusion that they have to have new powers, an internet kill switch, and so much more.
[00:15:50.193 --> 00:15:53.454]  Of course that too is a big issue that we'll continue to cover.
[00:15:54.738 --> 00:16:00.399]  But, DARPA has now been participating in research on a cheetah robot that can run faster than you.
[00:16:01.080 --> 00:16:03.680]  Right now, it's going some 18 miles an hour.
[00:16:04.040 --> 00:16:08.061]  They hope it can someday run 60 or 70 miles per hour.
[00:16:08.682 --> 00:16:12.023]  They've worked with Boston Dynamics, who have created other robots.
[00:16:12.403 --> 00:16:21.105]  And how nightmarish, how Terminator scenario is that, to be mauled by a robot cheetah when the government doesn't like something you're saying or doing?
[00:16:21.986 --> 00:16:31.735]  All this technology, just as Bertrand Russell, who we were just talking about, he said in his 1951 book, The Impact of Science on Society, that technology tends to enslave.
[00:16:32.115 --> 00:16:36.899]  Not because technology couldn't save us, that it can't have all these great new developments, but because
[00:16:37.560 --> 00:16:45.545]  These important foundations like the Rockefeller Foundation are steering the research and funding in the areas they want so they can use technology for control.
[00:16:46.086 --> 00:16:47.467]  Think about how textbook that is.
[00:16:47.907 --> 00:16:54.772]  As we look at this next story, Japan invents speech jamming gun that silences people mid-sentence.
[00:16:55.172 --> 00:17:07.380]  The device works by recording its target speech, then firing the words back at them with a 0.2 second delay, which affects the brain's cognitive processes and causes speakers to stutter before silencing them.
[00:17:07.500 --> 00:17:07.820]  I think so.
[00:17:28.532 --> 00:17:32.754]  Not to mention just the general police take tactics to shut down free speech.
[00:17:33.194 --> 00:17:39.276]  It's this disgusting pursuit of high-tech ways to stifle free speech that really should be pretty frightening.
[00:17:39.756 --> 00:17:41.677]  Now it is Super Tuesday.
[00:17:42.357 --> 00:17:48.839]  More than 10 states will be voting in the GOP primary and we've got an article here in the AP Wire
[00:17:49.259 --> 00:18:08.428]  Super Tuesday voters put importance on GOP race and we've got a classic situation after so much media blackout of Ron Paul, after efforts to demonize him, after saying the Iowa caucus wouldn't count if he won, after saying he's the only one other than Romney on the Virginia ballot so nobody needs to pay attention to it.
[00:18:08.448 --> 00:18:09.289]  It's not interesting.
[00:18:09.589 --> 00:18:14.991]  We've got more of that telltale coverage that lets us know the system does not want Ron Paul in power.
[00:18:16.172 --> 00:18:27.886]  Romney is angling to solidify his front-runner status and Rick Santorum to keep it to a two-man race as voters in ten states put Super Tuesday's imprint in the Republican presidential context.
[00:18:28.286 --> 00:18:33.212]  Newt Gingrich just hopes to keep his struggling campaign alive with a strong showing in Georgia.
[00:18:33.692 --> 00:18:35.914]  That's the Associated Press' lead article.
[00:18:36.515 --> 00:18:51.128]  It's not until, that's the first paragraph, it's not until paragraph 17 that Ron Paul is mentioned briefly in terms of being on the Virginia ballot and not until paragraph 26 out of these 27 paragraphs where they say Rep.
[00:18:51.348 --> 00:18:55.752]  Ron Paul of Texas was focusing on today's caucuses in Alaska.
[00:18:56.292 --> 00:19:04.242]  Idaho and North Dakota and he is competitive in those three states But again, his name can't be mentioned until the very bottom of the article.
[00:19:04.362 --> 00:19:05.263]  Go figure!
[00:19:06.354 --> 00:19:11.878]  However, you've got six Mitt Romney cousins all backing Ron Paul.
[00:19:36.654 --> 00:19:37.255]  And others.
[00:19:38.416 --> 00:19:39.277]  Won't read all names.
[00:19:40.118 --> 00:19:40.759]  Let's see.
[00:19:40.939 --> 00:19:57.618]  Travis Romney said in part, I support Ron Paul because he defends the Constitution, loves America, understands what it means to be an American, including the right to live your life any way you want as long as you respect others, said Travis Romney, a second cousin once removed from the former Massachusetts governor.
[00:19:58.078 --> 00:20:00.480]  And of course, Mitt Romney stands for none of that.
[00:20:01.201 --> 00:20:12.730]  But let's just see what happens here on Stupor Tuesday and how they continue to push Ron Paul out of acceptance, tell people he can't win, as they cheat on the votes, as they obscure coverage to make sure he doesn't win.
[00:20:12.830 --> 00:20:14.611]  Well, you can't stop the effect he's having.
[00:20:15.032 --> 00:20:18.755]  This Ron Paul revolution is much bigger than just the phony vote.
[00:20:18.895 --> 00:20:24.559]  The charade we're put through year after year, cycle after cycle, choosing lesser of two evils.
[00:20:24.879 --> 00:20:25.560]  Well, they game us.
[00:20:25.760 --> 00:20:27.461]  Again and again, lie us into war.
[00:20:27.581 --> 00:20:29.183]  Again and again, lie to us.
[00:20:29.223 --> 00:20:35.788]  Tell us our votes count for something when they count for nothing under this system, unless we speak out against the real powers there.
[00:20:35.808 --> 00:20:48.858]  We're going to be back from break with Timothy Baldwin on The Romans 13, but we do ask that you consider subscribing to ThePrisonPlanet.tv broadcast, this InfoWars nightly news transmission that's made possible
[00:20:49.258 --> 00:20:54.520]  Not from corporate grants, not from big dollars, but from individual supporters, from you out there.
[00:20:54.860 --> 00:20:59.122]  And if you don't support us monetarily, please spread the word about this broadcast.
[00:20:59.142 --> 00:21:00.563]  Send people the YouTube videos.
[00:21:00.583 --> 00:21:04.024]  If you don't send them all the videos, send them the ones you think are most important.
[00:21:04.044 --> 00:21:06.285]  If you don't like the way we say it, you say it.
[00:21:06.425 --> 00:21:07.706]  You get the message out there.
[00:21:07.986 --> 00:21:13.848]  We gotta do something, just like the end of that famous movie, Soylent Green, somehow.
[00:21:13.908 --> 00:21:15.149]  We gotta stop them, somehow.
[00:21:18.835 --> 00:21:27.145]  One is a serial hypocrite who lobbied for Freddie Mac before the housing crisis and for the individual mandate before Obamacare.
[00:21:31.734 --> 00:21:35.276]  Massively increased spending and funded Planned Parenthood.
[00:21:35.636 --> 00:21:43.098]  Finally, a flip-flopper who's been on all sides, supported TARP bailouts, and provided the blueprint for Obamacare.
[00:21:43.479 --> 00:21:44.059]  Three men.
[00:21:44.759 --> 00:21:45.419]  One vision.
[00:21:45.759 --> 00:21:47.100]  More big government.
[00:21:47.200 --> 00:21:48.120]  More mandates.
[00:21:48.501 --> 00:21:49.181]  Less freedom.
[00:21:50.712 --> 00:21:54.835]  One man stands apart, ready to deliver real change.
[00:21:55.215 --> 00:22:00.298]  Voting against every tax increase and every unbalanced budget, every time.
[00:22:00.578 --> 00:22:06.221]  A real plan to cut a trillion dollars year one and to balance the budget in three.
[00:22:06.561 --> 00:22:08.382]  Pro-life, pro-liberty.
[00:22:08.883 --> 00:22:11.984]  Guided by faith and principle, Ron Paul.
[00:22:12.305 --> 00:22:15.126]  The one who will restore America now.
[00:22:16.067 --> 00:22:18.008]  I'm Ron Paul and I approve this message.
[00:22:46.792 --> 00:22:55.395]  And it's time to get out of the comfort zone, because these people aren't playing games.
[00:22:55.455 --> 00:23:04.138]  We're going to organize.
[00:23:04.338 --> 00:23:05.739]  Humanity's going to come together.
[00:23:07.259 --> 00:23:10.760]  We are swinging muskets here, toe-to-toe with the globalists.
[00:23:10.800 --> 00:23:12.321]  They're bloodied, we're bloodied.
[00:23:12.761 --> 00:23:14.782]  It is absolute total bliss.
[00:23:33.308 --> 00:23:38.610]  We are back from break on the InfoWars Nightly News, and we turn now to our guest, Timothy Baldwin.
[00:23:38.650 --> 00:23:45.392]  He is the co-author, along with his father, Chuck Baldwin, of Romans 13, The True Meaning of Submission.
[00:23:45.872 --> 00:23:46.772]  And we turn to him now.
[00:23:46.852 --> 00:23:47.572]  Thanks for joining us.
[00:23:48.272 --> 00:23:48.933]  Thank you very much.
[00:23:48.953 --> 00:23:49.753]  Good to be on your show today.
[00:23:50.319 --> 00:23:51.059]  Good to have you on.
[00:23:51.520 --> 00:24:05.246]  So you've written this book and it's really all about whether or not we're supposed to obey government and kind of passively sit by while the crimes of the state go on or whether we're supposed to be thinking conscious individuals who are trying to make a difference in this world.
[00:24:06.530 --> 00:24:07.270]  That's right, Aaron.
[00:24:07.691 --> 00:24:17.177]  The book that my dad and I wrote addressed this issue that we hear so often today about the Christian's duty to submit to government no matter what.
[00:24:17.757 --> 00:24:23.921]  So we wrote this book in response to that, and because we see, first of all, it's a distortion of scriptures.
[00:24:24.381 --> 00:24:30.065]  Second of all, it's got such a detrimental effect on our society, and we're seeing the consequences of that today.
[00:24:30.085 --> 00:24:33.127]  It's time that we discuss this intelligently.
[00:24:35.106 --> 00:24:37.269]  Right, and you've got tyrants throughout history.
[00:24:37.329 --> 00:24:39.873]  Hitler loved the Romans 13 passages.
[00:24:39.893 --> 00:24:50.169]  A lot of other people have misapplied it as well to construe greater government power in the 20th and 21st centuries where we see massive state power all across the globe.
[00:24:51.218 --> 00:24:57.344]  I'll tell you what's interesting, if you look to the history of the Romans 13 argument, of course we see it throughout the Dark Ages.
[00:24:57.404 --> 00:25:06.272]  We see it whenever the monarchs of yesteryear would use Romans 13 to get their citizenry to submit to their evil and tyrannous ways.
[00:25:07.013 --> 00:25:13.358]  And that argument did not last in America when the
[00:25:15.296 --> 00:25:19.959]  Especially, and the colonial preachers began to teach on the true meaning of Romans 13.
[00:25:20.879 --> 00:25:32.286]  So from a period of about the 1600s and the 1700s, and even into the 1800s in the United States, this divine right of government argument really did not hold sway in the United States.
[00:25:32.446 --> 00:25:40.030]  But what's interesting is, you see a revival of the Romans 13 submit-no-matter-what argument whenever George Haig
[00:25:41.826 --> 00:25:46.755]  And of course, if you know your first, you know that George Hegel is the grandfather of communism.
[00:25:47.156 --> 00:25:53.007]  And ever since Hegel began to revive this idea, it's really been taking root in this country once again.
[00:25:53.700 --> 00:26:03.968]  Yeah, Hegel really laid the groundwork for seeing the individual as just a cog of the state, and so many psychologists and other branches of government minions have ran with that.
[00:26:04.308 --> 00:26:16.177]  Now, I want to read a translation from Romans 13 between the King James Bible, which was supposedly a direct translation, versus other variations we've seen in the late 20th century.
[00:26:16.537 --> 00:26:18.879]  This one's from the Living Bible, but before I do that,
[00:26:19.339 --> 00:26:26.481]  Isn't this also in part about what Jesus said in terms of render unto Caesar, which itself has been misconstrued and misinterpreted?
[00:26:27.081 --> 00:26:37.905]  In my reading, he really meant you either choose to be with the higher level, to be with God, or you choose to kind of live on that lower level under what the state can provide in that type of life.
[00:26:38.265 --> 00:26:39.265]  What is your interpretation?
[00:26:40.011 --> 00:26:51.959]  Well, as you look through the entire Scriptures, you will see that there is an element, that there is a jurisdiction that belongs to government, but there is a jurisdiction that doesn't belong to government.
[00:26:52.400 --> 00:26:58.544]  And we see this in Romans 13, this clear distinction between government that's good and government that's evil.
[00:26:59.064 --> 00:27:02.627]  In Romans 13, it describes the ordained government of God.
[00:27:03.127 --> 00:27:05.068]  Which is what Jesus was referring to.
[00:27:05.448 --> 00:27:10.309]  The ordained government of God is not a government that transcends its jurisdiction.
[00:27:10.569 --> 00:27:15.611]  That's why Jesus said, give unto Caesar the things that are Caesar's, but give unto God the things that are God's.
[00:27:16.071 --> 00:27:17.391]  And that's what Romans 13 says.
[00:27:17.451 --> 00:27:25.754]  It says, God ordains government for the benefit of the citizens, for the benefit of man, to punish evil and to promote good.
[00:27:27.958 --> 00:27:40.826]  Okay, I'm going to read now, I got this off the internet, I hope it's accurate, the King James Bible version, verse 1, Romans 13, let every soul be subject under the higher powers, for there is no power but of God.
[00:27:41.187 --> 00:27:43.668]  The powers that be are ordained of God.
[00:27:44.049 --> 00:27:50.673]  And then here's the translation in the Living Bible, which this says, as a paraphrase, obey the government.
[00:27:50.993 --> 00:27:52.673]  For God is the one who has put it there.
[00:27:52.693 --> 00:27:56.414]  There is no government anywhere that God has not placed in power.
[00:27:56.835 --> 00:28:06.657]  And then it goes on in verse 2, back in the King James, Whosoever resisteth the power, resisteth the ordinance of God, and they shall receive to themselves damnation.
[00:28:06.837 --> 00:28:13.019]  Verses, those who refuse to obey the laws of the land are refusing to obey God, and punishment will follow.
[00:28:14.420 --> 00:28:16.282]  Yeah, there is a clear distinction.
[00:28:16.362 --> 00:28:25.992]  If you compare the King James Version versus the version you just read, the Living Bible Version, there is an emphasis in the King James Version on authority.
[00:28:26.472 --> 00:28:30.736]  Authority that comes from God, and that authority is later described in Romans 13.
[00:28:30.776 --> 00:28:32.358]  We just mentioned it.
[00:28:32.858 --> 00:28:35.441]  But it's the authority of punishing evil and promoting good.
[00:28:37.763 --> 00:28:41.784]  The Living Bible translation focuses on the earthly authority.
[00:28:41.824 --> 00:28:49.667]  It focuses on man, and that is to say, whatever man decides to do, that's what we have to go along with, the law of the land.
[00:28:50.067 --> 00:28:55.749]  That's not what the King James Version or the original Greek meant.
[00:28:56.189 --> 00:29:03.591]  If you go into the Greek study of those words, and those words are used throughout the New Testament, you will see by comparison there was a limited
[00:29:05.787 --> 00:29:09.949]  It's implied throughout the Scriptures when it uses that word submit.
[00:29:10.470 --> 00:29:19.434]  That same word is used when it describes relationships between husband and wives, between elders and other church members, between younger and older.
[00:29:19.995 --> 00:29:21.856]  So that same word is used throughout.
[00:29:21.956 --> 00:29:24.697]  And that word did not simply mean just obey no matter what.
[00:29:25.117 --> 00:29:28.219]  It means give due submission where submission is actually owed.
[00:29:29.594 --> 00:29:34.237]  Right, and of course people out there watching are thinking this is only a Christian argument.
[00:29:34.618 --> 00:29:35.318]  I don't think it is.
[00:29:35.338 --> 00:29:42.864]  I think you see this in the Renaissance and Enlightenment ages with a lot of humanitarian people, the humanitarian wing.
[00:29:42.884 --> 00:29:49.469]  You see it with the Founding Fathers, Thomas Jefferson saying, resistance to tyranny is obedience to God.
[00:29:50.109 --> 00:29:52.311]  Isn't this kind of a universal application as well?
[00:29:53.337 --> 00:30:00.199]  It's a universal application, it's a natural law application, and it's an application that's in both the Old and the New Testament.
[00:30:00.639 --> 00:30:04.721]  Aaron, if we look at the writer of Romans 13, it was the Apostle Paul.
[00:30:05.981 --> 00:30:08.482]  Paul wrote the book of Hebrews as well, Aaron.
[00:30:08.922 --> 00:30:15.784]  If we look at the book of Hebrews, we see that Paul uses some people in the Old Testament to demonstrate to us
[00:30:16.807 --> 00:30:24.041]  The Christian error, the demonstration of Christian faith, and he used people in the Old Testament
[00:30:24.634 --> 00:30:32.400]  Who he described as subduing kingdoms and turning to flight the aliens, or those foreign nations who were trying to oppress them.
[00:30:33.361 --> 00:30:35.463]  He said that they waxed valiant in fight.
[00:30:35.883 --> 00:30:42.048]  These were people that Paul used to demonstrate Christian faith, or people who loved God.
[00:30:42.428 --> 00:30:48.293]  And they demonstrated their love for God by protecting their nation, by protecting their families.
[00:30:48.713 --> 00:30:53.477]  And that's what Paul said regarding the Christian faith.
[00:30:54.656 --> 00:30:55.196]  And that's true.
[00:30:55.296 --> 00:31:12.361]  I mean, the whole Old Testament, in many ways, is this recurring cycle of the Hebrew people not obeying the, quote, higher powers of God, going with the stately or earthly regime, and the wickedness and the depravity that follows over and over again throughout the Old Testament.
