[00:00:21.795 --> 00:00:23.555]  Welcome, it is February 21st, 2012.
[00:04:57.357 --> 00:05:09.751]  Minority Report style advertising rolled out in London and this technology will feature $60,000 ads that I guess target individuals at places like bus stations and will display on screen
[00:05:10.471 --> 00:05:20.381]  Something that's a cross between an iPad and Xbox Kinect, playing a 40-second video message when a female's face is scanned, but only a brief message if a man walks past.
[00:05:20.781 --> 00:05:34.034]  We're not giving men and boys the choice to see the full ad on this occasion, so they get a glimpse of what it's like to have basic choices taken away, said Mari Stonton, chief executive of Plan UK, the organization featured in the ad.
[00:05:34.654 --> 00:05:44.699]  And that spin itself, the point is they're going to phase this in in a commercial capacity, hope to reach acceptance as governments covertly use this, and eventually it's going to be all out in the open.
[00:05:44.999 --> 00:05:46.380]  They have complete biometrics.
[00:05:46.440 --> 00:05:58.546]  In the case of this particular example, the technology supposedly only identifies things like gender or race or ethnicity to try to target ads based on those models.
[00:05:59.406 --> 00:06:02.069]  And it's creepy, and let's hope people reject it.
[00:06:02.610 --> 00:06:09.878]  Now, you've also got Kurt Nemo's report, scary NSA propaganda, anonymous cyber attack will take down the power grid.
[00:06:10.519 --> 00:06:16.366]  However, they point out, after all the scaremongering, that it is not easy to disrupt the power grid in the United States.
[00:06:16.906 --> 00:06:24.288]  Most of the systems use proprietary operating systems and applications not readily available for study by your average hacker.
[00:06:24.348 --> 00:06:28.149]  That's according to Michael Tonj with a link there to his source.
[00:06:28.209 --> 00:06:32.970]  Power grid or drinking water systems and networks are not connected to the public internet.
[00:06:33.210 --> 00:06:36.591]  You've heard Alex talk about this before and all the other experts we've had on.
[00:06:37.191 --> 00:06:46.299]  And this Michael Tonj guy goes on to say, even in places like the United States where there isn't much you can't find online, you're not going to be able to get in depth and detail.
[00:06:47.120 --> 00:06:49.542]  You need to turn off the lights with a simple network connection.
[00:06:49.562 --> 00:06:52.365]  You're going to have to deploy national level resources.
[00:06:52.425 --> 00:06:53.346]  Now with that in mind...
[00:06:53.826 --> 00:06:56.188]  That doesn't mean we're not going to see things shutting down.
[00:06:56.248 --> 00:06:59.770]  It just means when you see them shut down, you know who's really behind it.
[00:06:59.850 --> 00:07:05.934]  It's the people at the NSA who are trying to ramp up their cybersecurity budget, trying to create a sock puppet.
[00:07:06.034 --> 00:07:09.496]  Anonymous is perfect because there's no one name or face behind it.
[00:07:09.976 --> 00:07:18.942]  Even WikiLeaks is not as useful as Anonymous could be if manipulated by the very people trying to gain power under the Cybersecurity Act.
[00:07:19.582 --> 00:07:25.608]  Well, General Keith Alexander is someone to watch because he was at the past several Bilderberg conferences.
[00:07:25.888 --> 00:07:31.654]  They've had the cyber security agenda for many years and it looked like a watershed moment last year in St.
[00:07:31.694 --> 00:07:35.818]  Moritz at the Bilderberg Collective because you had so many high-tech people there.
[00:07:36.658 --> 00:07:46.081]  In the year that we saw SOPA and people legislation pushed, in the year that we saw the ACTA treaty pushed, and now more fear-mongering that there could be a cyber attack.
[00:07:46.161 --> 00:07:46.941]  So keep that in mind.
[00:07:46.981 --> 00:08:02.285]  General Keith Alexander, the man who reporters inside Bilderberg said was screaming and cursing that damn Kucinich, because at the time Denis Kucinich was leading an effective opposition against the Libya war before it really got off the ground.
[00:08:03.046 --> 00:08:03.766]  In other news,
[00:08:04.466 --> 00:08:07.188]  Urien Mason is one of our best contributors.
[00:08:07.208 --> 00:08:18.796]  He knows so much about eugenics and he's written Eugenics Effective by Incrementalism and just fleshing out a sub-point about the ancient eugenics movement in a booklet written in 1913 by Alan G. Roper.
[00:08:21.278 --> 00:08:32.407]  Who really tries to legitimize the modern eugenics movement by citing all the other societies who engaged in killing off people that they didn't want, diseased and affected people.
[00:08:32.707 --> 00:08:37.270]  But what does he really mean by eugenics done through incrementalism?
[00:08:37.370 --> 00:08:43.815]  Well, he says the biocratic thought is simply this, in order to achieve total control over the body and mind.
[00:08:43.835 --> 00:08:46.897]  They want total control over our bodies and minds.
[00:08:47.298 --> 00:08:50.200]  By presenting themselves as well-doers, the biocrats raise
[00:08:50.620 --> 00:08:55.051]  The perfect guys behind which they can exercise eugenic power in full impunity.
[00:08:56.445 --> 00:08:58.366]  But why would they use incrementalism?
[00:08:58.446 --> 00:09:00.006]  Who else uses incrementalism?
[00:09:00.306 --> 00:09:03.247]  Well, that is the key philosophy of the Fabian Socialists.
[00:09:03.567 --> 00:09:05.408]  But if you look back to people like H.G.
[00:09:05.448 --> 00:09:14.930]  Wells, people like the Huxley Brothers, people like George Bernard Shaw, they were fully in support and some of the key players of that early 20th century eugenics movement.
[00:09:15.250 --> 00:09:19.152]  You've heard myself and Alex talk so much about it, it's all in Endgame.
[00:09:19.832 --> 00:09:23.713]  But it's important to know that their main tactic is working very slowly.
[00:09:24.113 --> 00:09:28.439]  You don't have the sudden despotism of flashy regimes like Hitler.
[00:09:28.740 --> 00:09:34.709]  You move step by step until people accept it and don't even remember where they came from or realize where they're going.
[00:09:36.260 --> 00:09:48.510]  But besides the obvious goal of trying to depopulate the planet, one thing Eugenics is seeking to accomplish incrementally is legitimizing total state power, the power over life and death.
[00:09:48.530 --> 00:09:58.879]  They wrote about this, the Caltech researchers who are working for the Rockefeller Foundation to try to affect the total biology, the total life cycle of people.
[00:09:59.259 --> 00:10:01.861]  And if they can legitimize that, the state can do anything.
[00:10:01.901 --> 00:10:09.326]  If they can decide who lives and who dies, who has the right to breed, they can just absolutely call the shots as they please.
[00:10:09.647 --> 00:10:14.530]  And that's why they want to incrementally seal us on this eugenics agenda to make the state god.
[00:10:14.871 --> 00:10:20.815]  And you also see that it helps them supersede national sovereignty, local and regional authorities, and more.
[00:10:21.215 --> 00:10:23.496]  So, another great report from Urien Maison.
[00:10:23.757 --> 00:10:33.322]  He's the one who brought to light the documents about the Rockefeller Foundation developing, over a period of more than 30 years, an anti-fertility vaccine and so much more.
[00:10:33.862 --> 00:10:37.084]  Now, we have exclusive video right now from Kurt Haskell.
[00:10:37.364 --> 00:10:39.425]  You heard him on the Alex Jones Show this week.
[00:10:40.046 --> 00:10:45.769]  Rob Dew went up to interview him where he lives outside of Detroit earlier this week or last week.
[00:10:46.349 --> 00:10:49.732]  And we're going to play just a few minutes of that exclusive video now.
[00:10:49.852 --> 00:10:56.537]  The key witness to the underwear bomber that they're now using to legitimize the TSA's total takeover.
[00:10:57.918 --> 00:10:58.838]  After he pleaded guilty.
[00:10:58.858 --> 00:11:06.564]  So here it is.
[00:11:06.584 --> 00:11:08.946]  Sorry, do I need to backtrack at all or do you think we...
[00:11:41.554 --> 00:11:42.695]  I'm Kurt Haskell.
[00:11:42.755 --> 00:11:49.579]  I'm an attorney in Michigan and I was on the flight with the Underwear Bomber on Christmas Day 2009.
[00:11:53.433 --> 00:12:00.537]  Passengers describe a terror attack and the arrest of a suspect who tried to blow up a plane as it landed at Metro Airport.
[00:12:00.677 --> 00:12:04.759]  We heard a loud pop and a bit of a smoke.
[00:12:04.900 --> 00:12:06.681]  Sounded first like a balloon being popped.
[00:12:07.001 --> 00:12:14.165]  All of a sudden heard some screams and flight attendants ran up and down the aisles and
[00:12:14.505 --> 00:12:17.946]  Everything's crazy, people are screaming, there's fire on the plane.
[00:12:17.966 --> 00:12:23.668]  There was a lady shouting back and she was saying things like, what are you doing, what are you doing?
[00:12:25.248 --> 00:12:27.909]  And at that moment, I was sure I was going to die.
[00:12:28.469 --> 00:12:39.512]  When I was at Schiphol Airport in Amsterdam on Christmas Day, my wife and I were coming back from a vacation we had in Africa and this was our connecting flight back to Detroit.
[00:12:41.358 --> 00:12:49.747]  And there weren't two seats together to sit at while we were waiting for our flight, so we sat by the gate on the floor playing cards.
[00:12:49.767 --> 00:12:56.474]  And when we were playing cards, I looked up and what caught my eye was a pair of men walking up to the counter.
[00:12:57.666 --> 00:13:03.450]  And one looked like a wealthier Indian man to me, and the other looked like a poor African.
[00:13:04.251 --> 00:13:07.173]  I thought he was a teenager, but apparently he was a little older then.
[00:13:07.193 --> 00:13:09.434]  But he looked like a poor African teenager.
[00:13:09.474 --> 00:13:12.296]  He only had on jeans and a white t-shirt in the middle of winter.
[00:13:12.316 --> 00:13:18.200]  And, you know, I thought they were an odd pair, so I just kind of watched them as we were playing cards.
[00:13:18.261 --> 00:13:21.263]  And they went to the counter together.
[00:13:22.601 --> 00:13:33.963]  And the Indian-looking man spoke, and what he said was, this man needs to get on the flight, referring to the African teenager, but he doesn't have a passport.
[00:13:34.043 --> 00:13:39.164]  And then the girl working at the counter said, well, you have to have a passport to get on the flight.
[00:13:39.444 --> 00:13:42.805]  And then the Indian man said, well, he's from Sudan.
[00:13:43.305 --> 00:13:44.545]  We do this all the time.
[00:13:44.945 --> 00:13:47.566]  And that's an exact word-for-word quote.
[00:13:48.963 --> 00:13:55.508]  And she said something along the lines of, well, you know, I'll have to refer you to a manager or something like that.
[00:13:56.209 --> 00:14:05.856]  And I think she did something on her computer, and then she sent the two of them down a hallway, and they walked down the hallway together, which was in a restricted area.
[00:14:07.076 --> 00:14:11.760]  And they walked down, they were allowed an escort, and then, you know, I quit watching at that point.
[00:14:12.347 --> 00:14:17.589]  At the Amsterdam airport, I didn't really notice anything that rose any suspicion with me.
[00:14:18.089 --> 00:14:21.210]  You know, I saw what I did, but at the time it didn't mean anything to me.
[00:14:21.290 --> 00:14:24.592]  I'm just thinking, oh, here's someone that's not going to be boarding our flight.
[00:14:24.632 --> 00:14:29.914]  So, you know, if you think of it how I was looking at it at the time, it really didn't mean anything.
[00:14:30.254 --> 00:14:35.076]  It meant so little I didn't even tell Lori about it until it became important later on.
[00:14:37.476 --> 00:14:41.338]  I'm coming in for a landing.
[00:14:42.717 --> 00:14:43.079]  I think so.
[00:14:49.810 --> 00:14:51.551]  You know, flight attendants, take your seats.
[00:14:52.332 --> 00:14:55.013]  We're, you know, we're going to be preparing for landing soon.
[00:14:55.974 --> 00:15:06.941]  And just a few seconds after that, a flight attendant walked by my chair, by my seat, and I could hear a mumble, something smells like smoke, something along those lines.
[00:15:08.042 --> 00:15:17.267]  And I looked up, I had been looking at the monitor on the back of my seat to see, you know, to see our approach, and I looked up and I could see smoke coming from
[00:15:18.808 --> 00:15:19.939]  The left side of the plane.
[00:15:21.335 --> 00:15:23.696]  And there was a bit of a skirmish going on.
[00:15:24.496 --> 00:15:31.958]  This was a plane that had two aisles, so this was occurring on the left side of the left aisle, and I was on the right aisle.
[00:15:32.078 --> 00:15:44.261]  So I ran up the right aisle to get a better look, and the smoke didn't last too long, and then a fire broke out, and a man was being hauled away into the first class area.
[00:15:44.281 --> 00:15:47.882]  There really wasn't a fight going on or anything, just someone grabbed him and hauled him away.
[00:15:51.073 --> 00:15:54.618]  I didn't know at this point if it was a terrorist attack or what it was.
[00:15:54.678 --> 00:15:58.442]  I was more concerned about the fire that was spreading real fast.
[00:15:58.723 --> 00:16:01.907]  It spread to two seats, and then the floor, and then up the wall.
[00:16:03.289 --> 00:16:07.514]  And I went back to my seat, and Lori asked me what was going on.
[00:16:07.574 --> 00:16:09.216]  I said, the plane's on fire.
[00:16:10.545 --> 00:16:16.468]  And, uh, you know, we watched as it was continuing to spread and passengers were jumping on it, patting it down.
[00:16:16.488 --> 00:16:22.210]  And, uh, a flight attendant grabbed the fire extinguisher and ran over and put it out.
[00:16:22.290 --> 00:16:24.531]  You know, maybe the whole thing lasted a minute or two.
[00:16:24.551 --> 00:16:26.032]  It wasn't real long, but it was enough.
[00:16:26.832 --> 00:16:30.555]  You know, where we thought that was it, that our plane was going to go down in flames.
[00:16:30.995 --> 00:16:38.881]  A passenger aboard this plane arriving in Detroit was planning to blow up the aircraft, but the explosive device apparently failed.
[00:16:38.901 --> 00:16:45.866]  A Delta spokeswoman says the passenger was immediately subdued and was being questioned Friday evening.
[00:16:46.426 --> 00:16:51.870]  Authorities initially believed the passenger had set off firecrackers, causing some minor injuries.
[00:16:52.530 --> 00:17:00.136]  Flight 253 was carrying 278 passengers, and was inbound to Detroit from Amsterdam.
[00:17:00.616 --> 00:17:04.299]  When we landed, it was interesting for a few reasons.
[00:17:04.359 --> 00:17:10.123]  First of all, I thought we were just going to stop, the emergency chutes were going to open, and we're all going to jump out.
[00:17:10.143 --> 00:17:11.384]  But that's not what happened.
[00:17:12.044 --> 00:17:15.226]  We landed, we taxied right up to the gate,
[00:17:16.956 --> 00:17:24.301]  Uh, several officers came on board, you know, and I don't know who they're with, are they TSA, Detroit Police, FBI, I don't really know.
[00:17:24.321 --> 00:17:34.166]  Uh, and they all, or a couple of them started yelling, saying, sit down and shut up, you're not getting off the plane, get back in your seats, that kind of thing.
[00:17:35.487 --> 00:17:38.329]  And, they all went into the first class area.
[00:17:40.023 --> 00:18:04.624]  And after maybe 20 minutes or so, the underwear bomber, who he's known as now, obviously we didn't know who he was at that point, got escorted off in handcuffs, and he stood in the front of the left aisle for maybe 20 seconds or so, and I got a good look at him then, and that's when I made the connection that it was the same person I saw in Amsterdam before we boarded.
[00:18:05.565 --> 00:18:06.686]  And I turned to Lori and I said,
[00:18:08.215 --> 00:18:11.058]  Holy cow, you know, I think I maybe have seen something important.
[00:18:11.979 --> 00:18:20.890]  They took him off the plane and then there was a powder all over the place by where he sat.
[00:18:21.111 --> 00:18:24.335]  We got our carry-on bags, which to me I thought was another mistake.
[00:18:24.395 --> 00:18:25.616]  Being an attorney, I thought
[00:18:26.696 --> 00:18:47.530]  You know they're destroying a crime scene here and not knowing if there's an accomplice another bomb or whatever and we all kind of trampled right through by where he was sitting you know right through this powder that was all over the place again destroying the crime scene but nobody seemed to care about it and then we were taken into the terminal
[00:18:49.446 --> 00:18:56.872]  And we were held in a baggage claim area that had been evacuated and just passengers from our flight were there.
[00:18:56.892 --> 00:19:01.256]  And we were told to stand along this wall.
[00:19:01.336 --> 00:19:02.537]  We couldn't make any calls.
[00:19:02.597 --> 00:19:07.481]  We couldn't eat anything, drink anything, text anyone, use the bathroom.
[00:19:07.521 --> 00:19:08.382]  We couldn't do anything.
[00:19:08.622 --> 00:19:11.724]  We weren't really given much information except we were told to stand here.
[00:19:12.665 --> 00:19:13.946]  And after about an hour or so,
[00:19:14.967 --> 00:19:16.548]  Some bomb-sniffing dogs were brought in.
[00:19:17.789 --> 00:19:28.958]  And one of the dogs caught on a smell of the bag of another Indian man who was standing maybe 20 feet away from me, you know, with the group of all his passengers.
[00:19:29.018 --> 00:19:33.282]  So I would say most of the passengers saw this happen, not just me.
[00:19:34.143 --> 00:19:40.648]  And the dog sat down, and one of the officers came over to the man and took him into a side room to be interviewed.
[00:19:40.688 --> 00:19:42.569]  And they were in there a long time, maybe an hour.
[00:19:43.671 --> 00:19:48.083]  And then he came out of the room with an officer and was handcuffed and then they took him away.
[00:19:49.046 --> 00:19:49.929]  At the same time...
[00:19:51.044 --> 00:19:56.528]  A different officer came up to the rest of us passengers and said something along these lines.
[00:19:56.608 --> 00:20:02.233]  I can't remember exactly word for word, but it was something like, I'm sure that you saw what just happened.
[00:20:02.413 --> 00:20:03.534]  You're not safe here.
[00:20:04.754 --> 00:20:08.477]  For obvious reasons, we're moving you to a different area and out of here.
[00:20:09.098 --> 00:20:17.604]  And then we were all escorted out of this baggage claim area and into this long hallway where we were at for a few more hours.
[00:20:18.765 --> 00:20:19.546]  During this time,
[00:20:20.925 --> 00:20:24.850]  Again, we still weren't able to use the bathroom or make calls or eat or anything like that.
[00:20:26.051 --> 00:20:34.781]  And after a few hours, the person I would say was the lead investigator came up and said,
[00:20:36.513 --> 00:20:39.254]  We now have those responsible for this in custody.
[00:20:39.354 --> 00:20:41.195]  Those plural, not the man or him.
[00:20:42.216 --> 00:20:48.158]  And then he went on to say, we're going to be doing quick interviews of all the rest of you, and then you'll be free to go.
[00:20:48.539 --> 00:20:53.321]  And then we're escorted back into the larger area, baggage claim area, where we initially were.
[00:20:54.041 --> 00:20:57.263]  And then we had to stand in line to do interviews before we could leave.
[00:20:57.283 --> 00:21:01.745]  And that's when I told the FBI what I had witnessed in Amsterdam for the first time.
[00:21:15.950 --> 00:21:26.221]  Turning now to the economic front, we have two interesting cases in the planned, yes I said planned, collapse of Europe through the whole financial crisis situation.
[00:21:26.642 --> 00:21:34.851]  Now the first is a positive story, it's Iceland's Viking victory, written by Ambrose Evans Pritchard at the London Telegraph.
[00:21:35.231 --> 00:21:40.495]  One of the few mainstream reporters who actually knows what he's talking about, at least based on what I've read in the past.
[00:21:40.995 --> 00:21:48.761]  And his article starts with, congratulations to Iceland as the first country to suffer the full force of the global financial crisis.
[00:21:48.981 --> 00:21:53.884]  Iceland successfully completed a three-year IMS supported rescue program in August 2011.
[00:21:55.365 --> 00:22:05.968]  And it goes on to explain some of the ways that they changed their markets, including a contraction of the 6.5% of GDP deficit down to only 0.5% in 2011, and appears to be on track to gain a fiscal surplus by 2012 headed into 2014.
[00:22:15.331 --> 00:22:26.042]  Also, he reports that the OECD's latest forecast said growth would be 2.4% this year, following 2.9% in 2011, already on the positive side.
[00:22:26.403 --> 00:22:29.386]  Meanwhile, unemployment is scheduled to fall from 7% to 6.1% this year.
[00:22:34.769 --> 00:22:35.349]  5.3% in 2013.
[00:22:35.770 --> 00:22:57.413]  Now this is important for all the reasons that he doesn't point out in the article and that is that essentially Iceland said no to the phony fraudulent debt put on by the big banks through the derivatives laid on them and which they tried to sell to the public and thankfully that country was able to organize enough opposition and simply say no to that.
[00:22:57.453 --> 00:23:01.294]  They still had a lot of trouble with their economy but
[00:23:02.114 --> 00:23:08.599]  They have already been able to come out of it, much as Argentina did when their economy crashed, if I understand the parallels.
[00:23:09.139 --> 00:23:26.952]  And so Pritchard Evans goes on to discuss how the strategy of devaluation behind capital controls has rescued the economy, how the country has held together its Nordic welfare system and preserved social cohesion and is slowly prospering again, though private debt weighs heavily.
[00:23:27.312 --> 00:23:28.593]  Nobody further
[00:23:29.474 --> 00:23:35.175]  Further he states, nobody is forcing the elected government out of office or appointing technocrats as prime minister.
[00:23:35.635 --> 00:23:42.857]  Now that is all important stuff because no system is going to be perfect, but they were able to avoid the worst just by saying no.
[00:23:42.917 --> 00:23:50.279]  We've had on the experts, we've had on people like Birgitta Jones Dotier, the Iceland representative on the show to discuss this stuff.
[00:23:50.819 --> 00:23:55.703]  Man, this isn't even so much about their welfare system or whether or not that is a good system.
[00:23:56.083 --> 00:24:10.595]  It's the fact that they didn't allow themselves to be the target of a planned Bilderberg-oriented economic conspiracy and to allow these austerity measures designed to cripple the country and bring it permanently under greater European control.
[00:24:10.895 --> 00:24:12.957]  And that is the major success of Iceland.
[00:24:13.037 --> 00:24:14.578]  I don't claim to have all the details.
[00:24:14.978 --> 00:24:20.283]  It's covered really well, actually, in that documentary, Inside Job, about the whole banking collapse, if you haven't seen that.
[00:24:20.703 --> 00:24:28.586]  But on the other front, you have Greece, which probably should have learned the lessons of Iceland, but instead had such incredible pressure brought upon it.
[00:24:29.066 --> 00:24:40.191]  They've already had riots, they've already had the first round of bailouts, they've already had switching of prime ministers and economic ministers, and now they have sealed the deal on the latest Greek bailout.
[00:24:41.391 --> 00:24:47.273]  In the name of 130 billion euro, which is approximately 172 billion in U.S.
[00:24:47.333 --> 00:25:01.838]  dollars, Eurozone finance ministers agreed to the 130 billion euro rescue for Greece Tuesday to avert an imminent chaotic default after forcing Athens to commit to unpopular cuts and private bondholders to take bigger losses.
[00:25:01.918 --> 00:25:08.760]  And you've seen that population completely revolt against this stuff, but the bankers said they were going to bring them under reign anyway.
[00:25:10.110 --> 00:25:18.539]  But they of course go on to say the Greek finance minister Evangelos Venizelos in Athens said a nightmare scenario was avoided.
[00:25:18.559 --> 00:25:22.122]  It is maybe the most important deal in Greece's post-war history.
[00:25:22.443 --> 00:25:25.246]  You've also got the technocrat who was appointed, not elected.
[00:25:25.726 --> 00:25:37.254]  Mario Monti in Italy praising the deal and the article out of Reuters also notes that Greece will now be placed under permanent surveillance by an increased European presence on the ground.
[00:25:37.695 --> 00:25:49.503]  So basically that country is going to be brought into total receivership under the guise of this bailout that's not even going to solve the problems of that country or of the EU in general.
[00:25:49.843 --> 00:25:53.546]  In fact it's probably going to threaten further collapse but it stays off
[00:25:53.846 --> 00:25:56.789]  The crisis for the time being because there's no default now.
[00:25:57.549 --> 00:26:00.672]  As you see with Iceland, just saying no probably would have been a lot better.
[00:26:01.152 --> 00:26:02.734]  Don't ask me, I'm not an economist.
[00:26:03.154 --> 00:26:08.098]  Listen to the technocrats and the important people in government and pseudo-government positions.
[00:26:08.498 --> 00:26:17.886]  Now we turn now to the quote of the day before our interviews coming up after the break with Bryce Shonko of the Tenth Amendment Center and of course Adam Kokesh of Adam vs. the Man.
[00:26:18.467 --> 00:26:20.909]  And that quote is from Adam Weishaupt
[00:26:21.309 --> 00:26:23.993]  What an interesting history it is with the Illuminati, by the way.
[00:26:24.413 --> 00:26:29.079]  He said the great strength of our order lies in its concealment.
[00:26:29.639 --> 00:26:36.467]  Let it never appear in any place in its own name, but always concealed by another name and another occupation.
[00:26:37.128 --> 00:26:37.748]  Always hidden.
[00:26:37.768 --> 00:26:38.929]  That's their motto.
[00:26:39.149 --> 00:26:45.532]  And if you don't think that tactic is still in use today, if you don't think there really are conspiracies, I urge you to take a closer look.
[00:26:45.832 --> 00:26:47.413]  We're swimming in the evidence of it.
[00:26:47.713 --> 00:26:48.794]  I've been here six years.
[00:26:48.834 --> 00:26:49.834]  I've seen that happening.
[00:26:50.254 --> 00:26:55.317]  And I hope you're catching on too if you're a new listener or if you're not quite convinced of what's going on.
[00:26:55.577 --> 00:26:56.497]  We'll be back after this.
[00:26:56.557 --> 00:26:56.998]  Stay tuned.
[00:27:00.799 --> 00:27:02.700]  Yeah, I'm signing these evil 1776 flags.
[00:27:09.574 --> 00:27:13.117]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:27:13.477 --> 00:27:17.060]  It's pretty un-American what we're doing here at InfoWars.com.
[00:27:17.221 --> 00:27:25.528]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:27:25.648 --> 00:27:29.351]  Now that is Al-Qaeda.
[00:27:43.744 --> 00:27:47.347]  We were brought up loving our country and our Constitution.
[00:27:47.367 --> 00:27:51.010]  That in the United States of America we were free.
[00:27:52.111 --> 00:27:54.973]  And that's an attitude that we've tried to instill in our children.
[00:27:54.993 --> 00:27:58.656]  I met my wife while in the Air Force.
[00:27:58.756 --> 00:28:00.478]  I was a combat pilot in Vietnam.
[00:28:01.078 --> 00:28:02.820]  I served in Desert Storm as a commander.
[00:28:04.255 --> 00:28:12.720]  When I graduated from the Academy, I took the oath of office, and as a commander, I administered that oath to many people.
[00:28:15.062 --> 00:28:22.967]  Now I wonder about the understanding people have of our Constitution, and I think about our candidates for President of the United States.
[00:28:24.920 --> 00:28:39.251]  It's interesting to see the support Ron Paul gets from the military and if we think back to the Code of Conduct and people raising their right hand that they were going to support and defend the Constitution of the United States.
[00:28:40.172 --> 00:28:44.995]  Why would those same people support in great numbers Ron Paul?
[00:28:46.977 --> 00:28:50.860]  I think it's because they know that he supports the Constitution of the United States.
[00:28:51.820 --> 00:28:53.762]  It doesn't mean you have to go to war to do it.
[00:28:54.642 --> 00:29:06.892]  It means you have to understand what the Constitution is and be a supporter inside of your own country, whether you're in the military or not, of that Constitution and make the United States strong.
