[00:00:21.880 --> 00:00:25.526]  Good evening, this is InfoWars Nightly News, and I'm David Ortiz.
[00:07:27.900 --> 00:07:32.783]  Obviously that trip was planned for a while and coincidentally it falls
[00:07:33.864 --> 00:07:34.825]  How are you doing Dave?
[00:07:34.845 --> 00:07:39.147]  I'm all the way from Providence, Rhode Island and it's crazy man, the weather is picking up bad.
[00:08:02.461 --> 00:08:02.821]  Yeah, buddy.
[00:08:02.861 --> 00:08:04.021]  Tell us a little bit about that.
[00:08:04.061 --> 00:08:09.023]  First off, for those who don't know, you flew out there this past weekend, but what's the weather looking like out there?
[00:08:09.243 --> 00:08:10.003]  Is it really bad?
[00:08:10.043 --> 00:08:10.543]  What do you see?
[00:08:11.363 --> 00:08:13.144]  Oh, when I flew out here, it was nicer.
[00:08:13.264 --> 00:08:19.666]  I mean, all the way here, the flight was great, and, you know, good weather, and just turned to nothing here, basically.
[00:08:19.926 --> 00:08:27.628]  The weather dropped, the clouds come rolling in, winds picking up, and up about 40, 50 miles an hour, I believe, and they're supposed to go up to 90.
[00:08:27.668 --> 00:08:31.929]  You got waves at almost 10 feet high, I believe, in some places.
[00:08:32.810 --> 00:08:40.699]  And it's really bad out there and it just again it's like basically within hours of time you know this morning things started going to the worst.
[00:08:42.101 --> 00:08:44.043]  Wow and it's only gonna get worse.
[00:08:44.984 --> 00:08:49.370]  Oh yeah they said it's supposed to pick up to 90 at least and they're calling for category one maybe two.
[00:08:50.385 --> 00:08:55.850]  That's what we heard from Weatherman and they're still trying to downplay the other storm front that's going to collide.
[00:08:56.070 --> 00:08:58.012]  I mean that's why it's called the perfect storm.
[00:08:58.492 --> 00:09:07.480]  I mean we're looking at a probably disaster here and this is everything I got told by that Homeland Security guy which is my report coming after this.
[00:09:08.020 --> 00:09:09.822]  But yeah I got some statistics here.
[00:09:10.842 --> 00:09:15.524]  There's 569 power outages right now in Rhode Island.
[00:09:15.584 --> 00:09:17.545]  That's 69,000 customers out of power right now.
[00:09:17.985 --> 00:09:23.287]  And our power here has been blinking, so hopefully we can get this report out on time before the power goes out.
[00:09:23.968 --> 00:09:28.650]  And you have the, um, that's breaking news from, uh, prodigysjournal.com.
[00:09:29.030 --> 00:09:33.872]  They're reporting that Connecticut, they closed Route 95, which is an interstate highway that runs
[00:09:34.552 --> 00:09:37.495]  All the way north through Canada, all the way to Miami, Florida.
[00:09:37.515 --> 00:09:39.296]  And that's one of the biggest highways in the country.
[00:09:39.736 --> 00:09:44.180]  And they're closing, you know, Connecticut to close Route 95, another article here.
[00:09:44.200 --> 00:09:55.669]  Rhode Island Governor Chafee, he spoke to Mass and Connecticut officials, Massachusetts and Connecticut officials, about closing exit roads on Interstate 95, which they already have.
[00:09:55.729 --> 00:09:56.990]  This was reported earlier.
[00:09:57.734 --> 00:10:15.253]  They already have closed major highways down also besides 95 and they got National Guard all over the place down at the oceans and everything and I didn't get a chance to vlog today but tomorrow I want to go out and get some footage of the National Guard and I heard on the radio today when I was going to the store I didn't get a chance to record this but
[00:10:15.994 --> 00:10:22.078]  They have Homeland Security in FEMA coordinating this whole entire disaster thing.
[00:10:22.719 --> 00:10:32.306]  And when you hear Homeland Security, when you hear FEMA, it spells, to me, disarmament of the American people, it spells violation of the Constitution, and it spells tyranny.
[00:10:32.946 --> 00:10:38.090]  And we don't know what's going to go on yet, but this could turn out bad, this could be just
[00:10:38.710 --> 00:10:40.713]  You know, go the other way, whatever, which we're hoping.
[00:10:40.793 --> 00:10:44.637]  But also breaking news here from Prodigy's Journal.
[00:10:44.657 --> 00:10:50.944]  They're calling for mandatory evacuations ordered for some Rhode Island cities here, which already have.
[00:10:51.004 --> 00:10:58.213]  They evacuated all of South County and Rhode Island, which is Westerly, Bristol, and South Kingston, and Charlestown, Rhode Island.
[00:10:58.953 --> 00:11:06.736]  And also parts of Connecticut have been evacuated, and Jersey, where you're from, Tav, the Jersey Shore has been evacuated.
[00:11:06.756 --> 00:11:08.097]  Man, it's crazy.
[00:11:08.557 --> 00:11:12.499]  Dan, let me ask you something.
[00:11:13.319 --> 00:11:16.340]  The stores, I mean, have you visited a local supermarket yet?
[00:11:16.360 --> 00:11:17.661]  I mean, what is that like?
[00:11:18.490 --> 00:11:19.271]  It was insane!
[00:11:19.531 --> 00:11:25.297]  I mean, like, um, people just, uh, wiping up the shelves, basically, with the canned goods and the water.
[00:11:25.557 --> 00:11:36.408]  I mean, I got some of the footage uploaded on YouTube, hopefully we can get it out, uh, tomorrow, whatever, but, uh, uh, we got the gas pumps, uh, all the, you know, there's yellow signs on the gas pumps, basically, they're out of gas.
[00:11:36.528 --> 00:11:38.790]  This is out of water, but you go inside, they said they're out of gas.
[00:11:38.830 --> 00:11:41.253]  They've been out since four o'clock yesterday afternoon.
[00:11:41.873 --> 00:11:46.614]  And people just going crazy, and it's the mainstream media also spreading this fear-mongering.
[00:11:46.974 --> 00:11:50.015]  I mean, you should see the news on some of the clips on the radio.
[00:11:50.035 --> 00:11:54.316]  You better have starboard food, which is a good thing, don't get me wrong, but they're pushing people.
[00:11:54.356 --> 00:11:56.217]  They're going crazy all over the place here.
[00:11:56.237 --> 00:11:58.497]  And we have a freaking update.
[00:11:58.777 --> 00:12:03.458]  And let me ask you one more question, because you kind of cut out a little bit, and I didn't really hear the answer real quick.
[00:12:03.498 --> 00:12:06.659]  I heard some of what you said, but what are the stores like?
[00:12:06.699 --> 00:12:07.519]  You said they were crazy.
[00:12:07.539 --> 00:12:08.940]  I mean, are the shelves empty?
[00:12:09.320 --> 00:12:10.360]  How are people behaving?
[00:12:11.491 --> 00:12:17.335]  Um, shelves with water, and, um, the shelves with canned goods and all that, they're empty.
[00:12:17.616 --> 00:12:22.679]  I mean, there's still food on the other shelves, but, uh, basically the non-perishable goods are gone.
[00:12:22.879 --> 00:12:28.964]  Wiped off the shelves, the gas pumps are all empty at the gas stations, and, uh, it's crazy down here.
[00:12:29.444 --> 00:12:30.425]  Now, let me ask you one thing.
[00:12:30.505 --> 00:12:34.450]  You talked about, you know, that the media is going crazy.
[00:12:34.630 --> 00:12:35.431]  They love this stuff.
[00:12:35.451 --> 00:12:36.232]  They act like they don't.
[00:12:36.252 --> 00:12:37.133]  They absolutely love it.
[00:12:37.193 --> 00:12:39.236]  It's a ratings bonanza.
[00:12:39.816 --> 00:12:42.940]  But what's the average Joe acting like?
[00:12:43.020 --> 00:12:47.826]  I mean, is he or she nervous over there, or do they just expect this to be a typical hurricane?
[00:12:48.847 --> 00:12:53.910]  You got the generic people out there who are going out buying the bread, eggs and milk and all that good stuff.
[00:12:53.950 --> 00:12:58.954]  But the normal people here in New England, they call it the big disappointment.
[00:12:59.034 --> 00:13:05.839]  Not that it's a disappointment, but every year we get threatened with a major category hurricane and people are like, you know, it never comes.
[00:13:05.879 --> 00:13:06.700]  We get a little bit of it.
[00:13:07.100 --> 00:13:10.022]  And people's general people's attitude around here that yeah, whatever.
[00:13:10.322 --> 00:13:11.402]  If I see it, I'll believe it.
[00:13:11.603 --> 00:13:13.844]  I mean, that's the attitude of people.
[00:13:14.484 --> 00:13:22.028]  But then you got the, you know, regular moms, the regular parents out there who are going out to the stores, wiping them out clean with the bread and everything else.
[00:13:22.789 --> 00:13:27.812]  And we had a hurricane update in Rhode Island from GoLocalProv.com.
[00:13:29.267 --> 00:13:32.850]  And they're talking about basically this could be a true natural disaster.
[00:13:32.870 --> 00:13:50.625]  90 mile an hour winds are calling for and tides up to 7 to 8 feet is reported here but I heard some radios shows and also the news on the internet that they're going up to 10 possibly 12 feet in some places and it's causing major tidal damage on the shores and everything.
[00:13:51.025 --> 00:13:55.149]  Beach property because a lot in Rhode Island I mean we're right on the ocean just about
[00:13:55.669 --> 00:13:56.950]  We're good to go.
[00:14:18.743 --> 00:14:19.664]  Hopefully not to swim.
[00:14:20.986 --> 00:14:25.792]  Well, yeah, I'd like to bring the book you bought out there.
[00:14:26.032 --> 00:14:28.194]  Now, Dan, real quick, what have you done?
[00:14:28.315 --> 00:14:31.218]  You personally, I mean, you've got fans here at InfoWars.
[00:14:31.238 --> 00:14:31.799]  What have you done?
[00:14:31.839 --> 00:14:33.961]  Have you bought, you know, food?
[00:14:35.126 --> 00:14:44.452]  Oh yeah, we stocked up on plenty of water, plenty of food, plenty of ammo for, you know, just in case, God forbid, civil unrest, whatever, and for looters and all that.
[00:14:44.692 --> 00:14:57.680]  So we're pretty much stocked up here, and we got the candles, you know, the little tiny generators that keep the refrigerator running, and you know, all the generic stuff, basically, to survive at least a week or two, you know, if something happens.
[00:14:58.340 --> 00:15:03.582]  Now, Dan, we're going to see your piece later on in this newscast, but you've got the floor for the last two minutes.
[00:15:03.822 --> 00:15:05.642]  I mean, what do you want the public to know?
[00:15:07.023 --> 00:15:10.024]  I just want the public to know that, you know, we called for this.
[00:15:10.624 --> 00:15:18.487]  We've been saying this for a long time, and if you do not believe in Geoengineering, because I've seen a lot of comments on my YouTube already, how could the government orchestrate
[00:15:20.669 --> 00:15:22.630]  Weather and hurricanes and everything.
[00:15:23.010 --> 00:15:26.372]  If you don't believe in this, folks, it's on public records.
[00:15:26.713 --> 00:15:27.313]  H.R.
[00:15:27.333 --> 00:15:30.975]  2977, that's the Space and Preservation Act of 2001.
[00:15:31.435 --> 00:15:42.462]  They openly say chemtrails, weather modification and such, tectonic weapons, all stuff that sounds like Star Wars, that's in this bill, supposed to protect us, but it never passed, of course.
[00:15:42.902 --> 00:15:47.965]  It was a World Treaty, you know, to go to the World Treaty, you know, to protect us from these such weapons.
[00:15:48.485 --> 00:15:50.566]  And you've got China, you've got tons of articles in there.
[00:15:50.606 --> 00:15:54.208]  China, I believe it's Germany, and the United States.
[00:15:54.228 --> 00:15:57.470]  I don't believe Mitton bragging about, yeah, we modified the weather.
[00:15:58.030 --> 00:16:05.034]  I think there was an article about China during the Olympics that they made the weather good, they said, for the Olympics, to hold the weather for the Olympics.
[00:16:06.195 --> 00:16:08.037]  So much information out there, folks.
[00:16:08.117 --> 00:16:15.943]  Just type in H-A-R-P or geoengineering or weather modification in Google and click on news.
[00:16:15.964 --> 00:16:17.685]  You're going to see mainstream articles.
[00:16:17.925 --> 00:16:20.207]  You got the London Telegraph.
[00:16:20.227 --> 00:16:22.109]  You got BBC all reporting on this.
[00:16:22.349 --> 00:16:25.912]  Russia Today stating that, yes, we control the weather.
[00:16:26.052 --> 00:16:27.273]  This is not a conspiracy.
[00:16:27.293 --> 00:16:27.974]  This is not
[00:16:28.594 --> 00:16:29.234]  We're good to go.
[00:16:48.400 --> 00:17:04.413]  Well, what's the FEMA, which is only FEMA's under Homeland Security, as you're going to see in my report coming, he openly states to me that basically at the end of October, early November, now I have this on record, folks, of me telling people back in August this was going to happen.
[00:17:04.793 --> 00:17:05.914]  I talked about the drills.
[00:17:06.415 --> 00:17:09.477]  I said there was going to be drills up here, up in New England, and it happened.
[00:17:09.837 --> 00:17:34.956]  I said there's gonna be some kind of disaster to hit the East Coast the end of October early November and here we go right here and we got 50 mile an hour winds and going up to the call for 90 or more probably whatever and we're gonna see what happens and I hope to God this guy's wrong but right now he's been 100% in trouble and I'm gonna save it for the report and Dave um yeah just wanted to let you know we're all safe down here and we're prepared for this.
[00:17:35.620 --> 00:17:37.223]  Yeah, God bless you, Dan.
[00:17:37.264 --> 00:17:46.061]  We hope that you stay safe up there, and if the electricity is still up, we're looking forward to see what you have to say in coming days.
[00:17:47.190 --> 00:17:50.952]  Oh yeah, tomorrow I'm gonna go down to the ocean, hopefully, if we get through the National Guard there.
[00:17:50.972 --> 00:18:14.224]  I mean, they got the National Guard everywhere, Homeland Security, FEMA, and everything else, and, um, yeah, we're gonna see what I can get and where I can go, and, um, we got poles down up the road, that's why I couldn't really go that far, just to the gas station, and, um, you know, I was just saying, it's crazy, it really is, and people, you know, again, you got people who are like, yeah, whatever, and some, most people are just raping the stores clean, you know, and it's crazy.
[00:18:14.764 --> 00:18:16.165]  Alright, Dan, thank you so much, buddy.
[00:18:16.874 --> 00:18:17.374]  Thank you, Dave.
[00:18:17.414 --> 00:18:17.834]  God bless.
[00:18:18.255 --> 00:18:18.675]  God bless.
[00:18:22.196 --> 00:18:32.201]  And it's important to note, as we talk about Hurricane Sandy, that quite possibly this could be the elite's way of getting the world to support global warming.
[00:18:32.601 --> 00:18:40.284]  Obviously, if New York or the greater New York City area is severely damaged, the world will see that, from New York City to Tokyo.
[00:18:40.664 --> 00:18:44.366]  As the saying says, when New York City sneezes, the world catches a cold.
[00:18:45.106 --> 00:19:00.969]  And if this storm wreaks havoc on the greater New York City area, you could expect the globalists, the United Nations, to say, you see, we told you, now you're going to need to pass a global carbon tax, because global warming now is obviously not debatable.
[00:19:01.029 --> 00:19:02.589]  So let's be mindful of that.
[00:19:02.629 --> 00:19:04.729]  You're not going to see that in the mainstream media.
[00:19:05.070 --> 00:19:11.031]  The fact that this could all be engineered to promote the global warming cause.
[00:19:11.071 --> 00:19:12.951]  We know that weather modification
[00:19:13.511 --> 00:19:15.032]  It's something that is done.
[00:19:15.392 --> 00:19:17.754]  It's very easy to manipulate the weather.
[00:19:18.435 --> 00:19:22.698]  If you ever notice, the Olympics never gets cancelled because of rain.
[00:19:22.738 --> 00:19:23.498]  Have you ever noticed that?
[00:19:23.838 --> 00:19:27.421]  You never see a major snowstorm happening during the Olympics.
[00:19:27.501 --> 00:19:28.522]  It's sunny as can be.
[00:19:29.474 --> 00:19:31.094]  And that's because it's used in weather.
[00:19:31.255 --> 00:19:34.275]  Weather modification has been used during that time period.
[00:19:34.295 --> 00:19:35.016]  And you can see that.
[00:19:35.056 --> 00:19:35.876]  You can Google that.
[00:19:36.056 --> 00:19:36.336]  U.S.
[00:19:36.436 --> 00:19:38.056]  Olympics weather modification.
[00:19:38.397 --> 00:19:40.597]  And stories will pop up.
[00:19:40.657 --> 00:19:41.978]  So let's keep that in mind.
[00:19:42.538 --> 00:19:45.479]  And in other news, this was also posted on Infowars.com.
[00:19:45.799 --> 00:19:48.459]  The header reads, how to prepare for a hurricane.
[00:19:48.859 --> 00:19:52.420]  Some lessons that preppers can learn from Hurricane Sandy.
[00:19:52.881 --> 00:19:53.781]  According to the article,
[00:19:54.773 --> 00:20:01.595]  Written by Michael Schneider of American Dream, if you are just starting to prepare for Hurricane Sandy, the truth is that you are already too late.
[00:20:02.096 --> 00:20:06.377]  Most of the essential supplies have already been stripped from store shelves.
[00:20:06.757 --> 00:20:10.218]  If you don't have an emergency generator, you might be without power for quite some time.
[00:20:10.699 --> 00:20:20.542]  And the article also notes that in Ohio, there are many supply stores that are receiving phone calls from people from as far out as Maryland, saying that they need supplies.
[00:20:20.582 --> 00:20:22.443]  Can they be shipped over to them?
[00:20:23.323 --> 00:20:26.446]  So obviously it's a serious concern what's going on.
[00:20:26.486 --> 00:20:35.894]  The article reads, an assistant manager at a Lowe's store in Columbus, Ohio told 10TV.com that people were calling from West Virginia, Maryland to ask for supplies.
[00:20:36.334 --> 00:20:44.581]  The article also points out that all heck is breaking loose at many gas stations in Montgomery, Pennsylvania.
[00:20:44.941 --> 00:20:50.926]  It says the lines at the pumps at Sunoco on Valley Forge Road were three or four cars deep.
[00:20:52.196 --> 00:21:01.098]  This past weekend, and one of the employees at the gas station says she said she's never seen the gas station so busy, not even before a snowstorm.
[00:21:01.498 --> 00:21:05.339]  She says, quote, people are complaining, screaming, yelling.
[00:21:05.780 --> 00:21:06.760]  They're yelling at me.
[00:21:07.080 --> 00:21:09.180]  And there have been fights between customers.
[00:21:09.621 --> 00:21:11.761]  It's been a big mess.
[00:21:12.241 --> 00:21:14.862]  So obviously the situation seems to be getting dire.
[00:21:15.682 --> 00:21:31.741]  Um, but, you know, we obviously hope, we wish people the best, and according to the National Oceanic and Atmospheric Administration, the destructive potential of this storm is rated 5.8, but that is on a scale that goes to 6.
[00:21:33.508 --> 00:21:35.730]  So we're not trying to scare people.
[00:21:35.790 --> 00:21:37.071]  I mean, we're just telling them the facts.
[00:21:37.111 --> 00:21:38.552]  That's according to federal officials.
[00:21:39.892 --> 00:21:43.995]  The storm is rated a 5.8 on a scale of 1 to 6.
[00:21:44.475 --> 00:21:47.137]  So obviously it's a very, very severe situation.
[00:21:47.558 --> 00:21:48.338]  We wish them the best.
[00:21:48.378 --> 00:21:54.682]  And it's very important to note that this is why we encourage people to take action and protect themselves.
[00:21:55.283 --> 00:21:58.545]  We here at InfoWars, we promote gun use, legal gun use.
[00:21:59.966 --> 00:22:03.048]  We obviously promote getting a food supply.
[00:22:04.049 --> 00:22:10.653]  And recently, a DVD was created and produced by Alex called Strategic Relocation.
[00:22:11.134 --> 00:22:21.641]  And it talks about places where obviously you can relocate as the economic collapse continues and rioting continues to happen.
[00:22:21.661 --> 00:22:22.962]  It's called Strategic Relocation.
[00:22:23.002 --> 00:22:24.823]  You can get that at InfoWarshop.com.
[00:22:25.144 --> 00:22:29.607]  But again, we've got eFoodsDirect where you can store food for your loved ones.
[00:22:31.488 --> 00:22:34.430]  I always tell people, is your family not worth $500 to $2,000?
[00:22:34.530 --> 00:22:42.075]  I mean, that's all it would take to arm yourself with a gun, with food supplies, and with things of that nature.
[00:22:42.095 --> 00:22:47.159]  And remember, during Katrina, police officers were ordered not to stop citizens from ransacking.
[00:22:47.699 --> 00:22:53.804]  So this idea that the cops will come to your defense is not necessarily the truth.
[00:22:55.237 --> 00:23:08.468]  And, you know, there have been many studies that show, believe it or not, and we're not saying this is going to happen this upcoming week, but there have been studies that show, you can look this online, that after 7 days, when people haven't eaten for 7 days, they're willing to become criminals.
[00:23:09.129 --> 00:23:11.991]  But after 15 days, they're willing to become cannibals.
[00:23:12.692 --> 00:23:22.040]  So, obviously, the situation can get dire as the dollar continues to collapse and food supplies continue to leave the supermarkets.
[00:23:22.930 --> 00:23:33.033]  And in another article posted today on Infowars.com, it reads, Hurricane Sandy may score a direct hit on spent fuel pools at nuclear plant.
[00:23:33.393 --> 00:23:43.696]  The article notes that there are 26 nuclear plants in the path of the hurricane, and that the spent fuel pools in the plants don't have backup pumps.
[00:23:44.236 --> 00:23:46.917]  According to nuclear expert Arne Gunderson,
[00:23:47.757 --> 00:23:52.965]  She says that you'll hear in the next two days, quote, we've safely shut down the plant.
[00:23:53.867 --> 00:23:58.874]  However, she also notes what Fukushima has taught us is that doesn't stop the decay heat.
[00:23:59.756 --> 00:24:02.280]  You need the diesels to keep the reactors cool.
[00:24:03.405 --> 00:24:08.488]  And once again, that there are 26 nuclear power plants in that region.
[00:24:08.869 --> 00:24:17.874]  And one of the power plants, where the storm is directly headed towards, is located in the town of Oyster Creek, New Jersey.
[00:24:17.894 --> 00:24:19.295]  I know the area well.
[00:24:19.355 --> 00:24:22.617]  Sadly, that's... A lot of people here have family there.
[00:24:22.697 --> 00:24:29.461]  It says that in Oyster Creek, there's a nuclear power plant, and it is the same as the Fukushima Daiichi No. 1.
[00:24:30.662 --> 00:24:33.146]  Oyster Creek is one of the oldest U.S.
[00:24:33.266 --> 00:24:48.926]  nuclear plants and is the same design as Fukushima Unit 1 and obviously that was the name Fukushima is the nuclear power plant in Japan so obviously there are a lot of things that can occur as a result of this storm and we should really
[00:24:49.846 --> 00:24:56.849]  Again, use a situation such as this, events such as this, to prepare us for future catastrophes.
[00:24:57.869 --> 00:25:07.152]  If everything goes well over the next couple of weeks, as it will for many people, use this natural catastrophe to prepare yourself for a future one.
[00:25:08.492 --> 00:25:13.614]  Don't be left behind next time without food, a gun, or things of that nature.
[00:25:14.214 --> 00:25:15.215]  Now, in other news,
[00:25:16.275 --> 00:25:27.083]  Now, other non-Hurricane Sandy news, the headline reads, Mississippi town sued for school-to-prison pipeline targeting minorities and disabled.
[00:25:27.423 --> 00:25:39.312]  And the article says that a Mississippi town is facing a lawsuit for operating schools that handcuff and send children to prison for minor classroom infractions, like violating the dress code or talking back to teachers.
[00:25:39.792 --> 00:25:41.773]  It says, students in the town of Meridian
[00:25:42.834 --> 00:25:48.816]  Sometimes spent days in a prison 80 miles away from their school without a probable cause hearing.
[00:25:49.376 --> 00:25:56.958]  They were not read their Miranda rights and sometimes spent more than 48 hours waiting for a hearing which violates their constitutional rights.
[00:25:57.518 --> 00:26:05.760]  Later on in the article it reads, students were jailed for quote, dress code infractions such as wearing the wrong color socks or undershirt.
[00:26:06.580 --> 00:26:13.302]  Or for having shirts untucked, tardies, flatulence in class, using vulgar language.
[00:26:13.322 --> 00:26:13.983]  You get the point.
[00:26:14.543 --> 00:26:23.626]  Basically, this school is basically throwing people away to prison without due process for doing the most simplest of things.
[00:26:23.666 --> 00:26:26.687]  This used to be called child play, but now it's called a crime.
[00:26:27.067 --> 00:26:32.649]  You know, if you, I don't mean to make light of it, but if you pass wind now in class, you don't deserve to go to the principal's office.
[00:26:33.229 --> 00:26:34.570]  You deserve to go to the local prison.
[00:26:35.550 --> 00:26:38.009]  That's what people in the town of Meridian...
[00:26:38.800 --> 00:26:42.083]  Mississippi feel you should occur.
