[00:00:22.682 --> 00:00:23.262]  It's October 24, 2012.
[00:17:46.755 --> 00:17:55.017]  And the prosecution, in the actual case, made it stick by claiming that Abbott prevented the TSA from doing their duty.
[00:17:55.797 --> 00:17:58.218]  Their duty of, you know, groping your children.
[00:17:58.938 --> 00:18:02.639]  Because, according to them, the security lanes were slowed to a crawl.
[00:18:02.959 --> 00:18:09.120]  But if you actually watch the video of this incident, you can see that the security lanes are moving freely.
[00:18:09.580 --> 00:18:12.161]  To verbally challenge the authority
[00:18:13.351 --> 00:18:17.035]  Of the TSA, almighty TSA, and the police officer.
[00:18:17.255 --> 00:18:22.601]  But I don't see her raising her hands or being demonstrative with her body.
[00:18:22.801 --> 00:18:23.742]  Nowhere in this law.
[00:18:25.632 --> 00:18:28.994]  Does it say you can't swear at a police officer, you can't swear in public?
[00:18:29.074 --> 00:18:30.235]  That's not against the law.
[00:18:30.335 --> 00:18:35.699]  She just wanted to stand on principle and because she felt that she had done nothing wrong.
[00:18:36.039 --> 00:18:50.469]  So it's just another effort to intimidate people into blanket obedience to whatever the TSA says, you know, from the broke downs to the ludicrous all-stop policy where people are supposed to freeze in place like Simon says or something.
[00:18:51.169 --> 00:18:55.410]  To the stupid drinks testing after they've already purchased the drinks in the airport.
[00:18:55.810 --> 00:18:57.250]  It's all about obedience training.
[00:18:58.291 --> 00:19:02.112]  Quote, it's clear from the video she wasn't preventing anything Horst said.
[00:19:02.172 --> 00:19:09.053]  In closing arguments the attorney stated, quote, since 9-11 we're losing a lot of freedom and we have to draw the line somewhere.
[00:19:09.613 --> 00:19:12.554]  Before praising Abbott for standing on principle.
[00:19:13.194 --> 00:19:27.641]  And that's why we here at Infowars are encouraging people to, you know, stand up for those very same principles by taking part in the National TSA Opt-Out and Film Week, details of which are at infowars.com slash opt-out.
[00:19:28.322 --> 00:19:34.845]  We've got another big story relating to the TSA, by the way, coming out tomorrow morning, so be sure to check the website for that.
[00:19:35.970 --> 00:19:39.292]  Melissa Melton, Infowars.com reports, Conditioning.
[00:19:39.932 --> 00:19:44.975]  Xbox poll shows overwhelming gamer support for more drone strikes.
[00:19:45.595 --> 00:19:55.541]  Throughout Monday night's final debate between President Obama and hopeful Mitt Romney, viewers watching it on their Xbox 360 consoles were allowed to participate in a live poll.
[00:19:56.161 --> 00:20:06.145]  When asked, do you support more use of drone aircraft to attack suspected terrorists, 72% of respondents replied yes.
[00:20:07.346 --> 00:20:21.652]  Notice the question asks, do you support more use in regards to sending unmanned aerial vehicles equipped with missiles to bomb suspected terrorists in other countries, not just continuing business as usual killing people at the current pace?
[00:20:22.779 --> 00:20:25.241]  So basically, this polling sample was huge.
[00:20:25.261 --> 00:20:28.144]  I think it was something like 30,000 Xbox users.
[00:20:29.005 --> 00:20:41.997]  And of course, previous polls have shown that a clear majority of Americans support these drone strikes, despite the fact that they only kill one militant, suspected militant.
[00:20:42.177 --> 00:20:44.059]  Again, no due process whatsoever.
[00:20:45.060 --> 00:20:47.601]  For every 50 people dead.
[00:20:48.102 --> 00:20:54.825]  So that's 49 innocent people killed in order to snuff out one guy who might be a militant.
[00:20:55.446 --> 00:21:05.091]  And you know, even the Pakistani Interior Minister recently came out and said that the vast majority of people being killed in these drone strikes were innocent people.
[00:21:06.011 --> 00:21:09.113]  But the majority of Americans support this program.
[00:21:10.097 --> 00:21:15.199]  Which, of course, Barack Obama, the peace candidate, has rapidly expanded since he took office.
[00:21:15.739 --> 00:21:27.505]  So, you know, it makes perfect sense to me that Xbox gamers, who sit there in their mom's basement or whatever, playing war games all day, would approve of drone strikes in real life.
[00:21:28.205 --> 00:21:32.727]  Because in many ways, the two activities are indistinguishable from one another.
[00:21:33.207 --> 00:21:39.010]  You know, just like in a video game, the actual operator of a real predator drone aircraft
[00:21:39.938 --> 00:21:40.018]  It's
[00:21:59.548 --> 00:22:04.811]  So these polls again underscore the fact that we've got a long way to go in waking people up.
[00:22:04.851 --> 00:22:06.252]  We're not even at the halfway point.
[00:22:06.812 --> 00:22:23.402]  We've highlighted polls in the past which show the majority of Americans support what the TSA is doing, despite the fact they're in the news every single week, stealing people's belongings, smacking people in the testicles, stopping people from flying who show an attitude.
[00:22:24.716 --> 00:22:34.383]  Every week they're in the media, the molestation, the hiring of known sex molesters, paedophiles, and yet the majority of Americans still support the TSA.
[00:22:34.863 --> 00:22:44.509]  So similarly, with this poll, an even greater majority of Americans support the drone strikes, the vast majority of which kill innocent people.
[00:22:45.090 --> 00:22:54.596]  So again, it emphasises the fact there's still well over half the country that buy into the propaganda, and that again underscores that we've got a long way to go in the info.
[00:22:55.597 --> 00:22:56.839]  That's going to wrap it up for the news.
[00:22:56.899 --> 00:23:00.903]  We turn now to our daily quote which is from our old friend Uncle Joe Stalin.
[00:23:11.616 --> 00:23:25.749]  And that's pretty appropriate given our earlier story about how the votes there were flipping from Romney to Obama, so we're definitely going to keep on top of election fraud in the next couple of weeks as we approach the presidential election.
[00:23:26.770 --> 00:23:31.834]  Now, again, it's very important for you to support us at PrisonPlanet.tv.
[00:23:32.455 --> 00:23:42.403]  Many of you will be watching this on YouTube, but it's actually broadcast first live on PrisonPlanet.tv, along with the Alex Jones Show, of course, the video stream of that.
[00:23:42.824 --> 00:23:44.625]  All the archives going back literally
[00:23:45.606 --> 00:23:49.227]  I may not agree with you, but I'll defend to the death your right to make an ass of yourself.
[00:23:49.247 --> 00:23:49.988]  Thank you, Oscar Wilde.
[00:24:15.051 --> 00:24:17.872]  I'm Christy Hightower here with a quick Planet InfoWars update.
[00:24:18.592 --> 00:24:27.933]  Now, I want to talk to you about the first article, titled, The New Terrorism, Strangling Free Speech, by Planet InfoWars user Prometheus Unchained.
[00:24:28.633 --> 00:24:31.634]  Now, as I'm sure you do, you consider yourself a patriot.
[00:24:32.074 --> 00:24:39.055]  Well, Prometheus goes to point out that the government is picking and choosing which ideologies and philosophies are good and which ones are bad.
[00:24:39.715 --> 00:24:40.676]  That is not their place.
[00:24:41.316 --> 00:24:42.976]  It's a rule by fear of force.
[00:24:44.042 --> 00:24:50.106]  Now, we all have friends that disagree with us, but keep in mind Oscar Wilde's quote, whenever you want to get angry with them.
[00:24:51.006 --> 00:24:59.612]  You know, this is the plan, and it's a great one, to divide the people, keep us fighting amongst ourselves, and completely ignorant to what lies ahead of us.
[00:25:00.799 --> 00:25:08.565]  Now, people are always asking Alex this question, you know, what do I do when my family isn't awake, when my friends and my family don't pay attention, don't seem to care?
[00:25:08.585 --> 00:25:10.607]  And he always answers the same way.
[00:25:11.387 --> 00:25:16.151]  He says, be persistent, be patient, and most importantly, be full of love.
[00:25:16.651 --> 00:25:19.554]  And this is a big thing to remember, because it's really easy to get angry.
[00:25:21.382 --> 00:25:26.328]  So, moving on, changing gears here, we're going to talk about the upcoming collapse.
[00:25:26.848 --> 00:25:29.491]  So, do you think you could survive on 500 bucks?
[00:25:30.012 --> 00:25:35.017]  Well, PlanetInfoWare's user, GiovalyReport, explains exactly how to do that.
[00:25:35.538 --> 00:25:39.923]  In his article, Live While They Die, How to Survive the Coming Collapse with 500 Bucks.
[00:25:41.204 --> 00:25:48.988]  He provides a practical guide, starting with situational awareness, all the way to a prepared checklist and medical kit, etc.
[00:25:49.748 --> 00:25:52.750]  So go check that out, because it's quite catchy there.
[00:25:53.410 --> 00:25:57.012]  And the last article I kind of want to touch on is our food.
[00:25:57.072 --> 00:25:58.973]  Now, we all obviously have to eat to survive.
[00:25:59.333 --> 00:26:07.077]  And this is actually a repost, but it's by Planet and 4's user, Mia K. And she's titled it, Rethinking the Dollar Hamburger.
[00:26:08.277 --> 00:26:12.319]  So, did you know that there's four companies that control over 80% of the U.S.
[00:26:12.379 --> 00:26:12.619]  beef?
[00:26:13.340 --> 00:26:16.001]  And they run only a couple dozen processing plants.
[00:26:16.641 --> 00:26:25.566]  These cows are injected with antibiotics and hormones their whole lives, they live in filth, and then they're killed with a bolt to the head and mechanically disassembled.
[00:26:26.326 --> 00:26:28.107]  At a rate of hundreds per hour.
[00:26:28.767 --> 00:26:31.388]  Now, I just want to remind you, we all vote with our dollars.
[00:26:31.969 --> 00:26:39.472]  And we all have a right to do so, so keep that in mind the next time you go to the grocery store, the next time you go to that McDonald's Happy Meal, whatever.
[00:26:39.872 --> 00:26:44.615]  Just keep in mind that what you're doing is actually giving a voice to those people.
[00:26:45.255 --> 00:26:49.937]  So, visit PlanetInfoWars.com and join the fight today.
[00:26:51.438 --> 00:26:53.699]  Patriots, keep talking, because we're listening.
[00:26:59.255 --> 00:27:09.182]  Insider billionaire investors like George Soros and John Paulson have recently made massive moves into gold, purchasing what Bloomberg News described as gold hordes.
[00:27:09.602 --> 00:27:12.224]  Soros alone doubled his holdings in a single day.
[00:27:12.564 --> 00:27:20.569]  Russia's Vladimir Putin has doubled down on gold, increasing the country's holdings by over 100%, with $1.8 trillion under management.
[00:27:20.769 --> 00:27:29.015]  The bond king, Bill Gross, the world's preeminent bond fund manager at PIMCO, has warned investors of the dangers of QE3 and inflation.
[00:27:29.375 --> 00:27:30.356]  And what's he betting on?
[00:27:30.656 --> 00:27:31.197]  You guessed it.
[00:27:31.477 --> 00:27:31.838]  Gold.
[00:27:32.298 --> 00:27:35.101]  Friends, this is Alex Jones for MidasResources.com.
[00:27:35.301 --> 00:27:40.446]  For more than 15 years, I have exclusively used Midas Resources for all my precious metal needs.
[00:27:40.706 --> 00:27:45.670]  Whether it's bullion or collectibles you're looking for, Midas Resources is simply the best.
[00:27:46.111 --> 00:27:48.173]  I own my gold as a hedge against inflation.
[00:27:48.493 --> 00:27:54.300]  This Federal Reserve fiat currency could go the way of the Deutsche Mark and the Weimar Republic anytime.
[00:27:54.640 --> 00:27:59.165]  In these historically dangerous times, it makes sense to physically hold gold and silver.
[00:27:59.505 --> 00:28:02.128]  Midas already has some of the best deals in the industry.
[00:28:02.188 --> 00:28:07.294]  But if you give them a call and mention the radio special, they will give you a list of the day's super specials.
[00:28:07.694 --> 00:28:13.539]  Midas brokers are standing by to answer all your questions at 800-686-2237.
[00:28:13.719 --> 00:28:19.643]  They also have a lot of informative free literature explaining the opportunities and risks of holding precious metals.
[00:28:20.064 --> 00:28:21.965]  They are ready to answer your questions at 800-686-2237.
[00:28:21.985 --> 00:28:22.285]  Again, that's 800-686-2237.
[00:28:28.670 --> 00:28:31.553]  My friends, Alex Jones here with a very important announcement.
[00:28:31.954 --> 00:28:37.780]  We are launching a new salvo in the info war, because there is a war on for your mind.
[00:28:38.421 --> 00:28:48.691]  You know that the globalists are trying to get everybody online, and only online, so they can control and surveil information, and also erase books, videos, whatever they want to, en masse.
[00:28:49.472 --> 00:28:54.574]  That's why we're launching our answer to the internet kill switch, InfoWars Magazine.
[00:28:54.994 --> 00:29:01.437]  The first issue, we printed over 90,000 copies of the September issue, and it sold out in less than two days.
[00:29:02.037 --> 00:29:07.099]  So get your copy of the new technocratic elite issue today before it sells out.
[00:29:07.600 --> 00:29:13.142]  Again, we cover from the technocratic social engineers' own words, their own admissions, their plan,
[00:29:13.602 --> 00:29:18.103]  To take over our society and replace us with robots.
[00:29:18.363 --> 00:29:21.884]  But we don't just stop with the rise of the robots and the end of humanity.
[00:29:22.244 --> 00:29:24.705]  Or, will humanity survive the singularity?
[00:29:25.125 --> 00:29:30.346]  We get into the government buying now 1.6 billion bullets against the American people.
[00:29:30.686 --> 00:29:36.348]  We get into big sister surveillance of this magazine and my website, InfoWars.com.
[00:29:36.808 --> 00:29:41.409]  We cover QE3 and what hyperinflation means to you and your family.
[00:29:41.849 --> 00:29:46.132]  Whatever you do, don't look back later and wish that you would have taken action.
[00:29:46.592 --> 00:29:47.713]  Take action now.
[00:29:47.833 --> 00:29:51.295]  People have never been more ready for this information.
[00:29:51.375 --> 00:29:55.278]  People have never been this hungry, starving for the truth.
[00:29:55.938 --> 00:30:00.061]  And it is contained in the new issue of InfoWars Magazine.
[00:30:00.521 --> 00:30:01.742]  This is a time capsule.
[00:30:02.362 --> 00:30:04.163]  It is so important we get it out to everyone.
[00:30:04.543 --> 00:30:10.487]  If you subscribe now for 12 issues, we will give you the first issue absolutely free.
[00:30:10.527 --> 00:30:14.069]  So that's 13 issues for our 13 colonies.
[00:30:14.469 --> 00:30:16.490]  Part of restoring the spirit of 1776 worldwide.
