[00:00:28.908 --> 00:00:30.789]  Good evening and welcome, ladies and gentlemen.
[00:05:37.462 --> 00:05:43.285]  So this agent became very upset when pilot Steve Tribbett began to lecture him.
[00:05:43.945 --> 00:05:50.909]  And through the coffee, Letitia L. was reportedly arrested and charged with harassment and misdemeanor assault.
[00:05:51.289 --> 00:06:05.256]  And it just goes on with the larger God complex of the TSA agents who think that a uniform gives them power, that they're personally charged with this rush of energy, and that the uniform they wear doesn't just reflect an overbearing system.
[00:06:06.016 --> 00:06:07.258]  You know how that story goes.
[00:06:07.658 --> 00:06:14.386]  Rape cases, stealing from luggage, smuggling drugs, child kidnapping, trafficking, and all the rest of it.
[00:06:14.767 --> 00:06:18.471]  Scalding reply at JFK was the headline in the New York Post.
[00:06:18.912 --> 00:06:20.053]  That's an interesting headline.
[00:06:20.634 --> 00:06:25.320]  Turning to other types of spying on the public and putting them through the rigmarole.
[00:06:25.780 --> 00:06:31.867]  Even Congress wants to know what the NSA is doing with the $2 billion Utah Spy Center.
[00:06:32.167 --> 00:06:43.719]  You saw the recent headlines, Wired Magazine and all the other big publications about how nothing will be secret anymore, all the public's data will basically be run through this big system.
[00:06:44.259 --> 00:07:12.786]  One senior intelligence official formerly involved with the project going on at the Utah Data Collection Center said that this is more than just a data center, it's a code-breaking megalopolis the likes of which the world has never seen and of course it's already been admitted that through the massive amounts of data that we give the government and the private agencies online and that they take from us without asking, they're going to be linking financial information, stock trades,
[00:07:13.186 --> 00:07:21.488]  Business deals, personal phone calls, confidential communications, along with legal documents, foreign and military diplomatic secrets, and everything.
[00:07:21.508 --> 00:07:30.750]  It'll all be tied to your name or to your various user identities online, or in the private sector, whatever the case may be in the physical world.
[00:07:31.470 --> 00:07:38.491]  Anyway, General Keith Alexander, the current head of the National Security Agency, the NSA, also the current head of the U.S.
[00:07:38.591 --> 00:07:42.072]  Cyber Command, testified before Congress last week.
[00:07:43.552 --> 00:07:44.233]  What did he deny?
[00:07:44.293 --> 00:07:53.598]  He denied the facility would be spying on American citizens, claimed they don't even have the capability to spy on citizens and they're not authorized to do so anyway.
[00:07:54.278 --> 00:07:57.180]  It's pretty clear though that they do have that capability.
[00:07:57.540 --> 00:08:02.763]  It's all here in Robert Johnson's report in the Business Insider and the other sources.
[00:08:03.403 --> 00:08:06.245]  One thing they admittedly do is where they have a
[00:08:07.265 --> 00:08:07.605]  I don't
[00:08:23.860 --> 00:08:26.604]  General Keith Alexander, of course, is one to keep an eye on.
[00:08:26.624 --> 00:08:30.208]  He's been to the past four or five Bilderberg meetings without fail.
[00:08:30.228 --> 00:08:34.733]  They've had cyber security on the agenda for the past several years without fail.
[00:08:35.034 --> 00:08:41.622]  He's certain to be there again this year, and you can bet that shutting down the freedom of the Internet will be on the agenda as well.
[00:08:42.282 --> 00:08:42.622]  I think so.
[00:09:02.917 --> 00:09:21.863]  But most recently, the GAO's Government Accountability Project has uncovered that Attorney General Eric Holder, a favored official now, has publicly declared new guidelines that will permit the federal counterterrorism investigators to collect, search, and store data about Americans who are not suspected of terrorism or anything.
[00:09:22.164 --> 00:09:24.504]  But they're going to be looking for suspicious patterns.
[00:09:24.824 --> 00:09:25.845]  And what is suspicious?
[00:09:26.485 --> 00:09:28.786]  What do they suspect Americans of even doing?
[00:09:28.887 --> 00:09:32.469]  Well, that's classified, says this report, but we basically know.
[00:09:32.769 --> 00:09:46.457]  We've had the MIAC report, we've had Homeland Security reports, and all the other reports mixed in from years past, and the past several years, just proving that political activity is enough to have you considered a potential terrorist.
[00:09:46.517 --> 00:09:50.620]  Being a returning veteran is enough for you to be classified a potential terrorist.
[00:09:51.000 --> 00:09:55.203]  And everything in between, lemonade stands and all the rest of it, you've seen the headlines
[00:09:55.703 --> 00:09:55.803]  It's
[00:10:16.644 --> 00:10:38.697]  Well, they didn't even uncover the NSA until 1975 when Frank Church, who gave his name to the Church Committee that in part investigated the CIA and the JFK assassination, became very concerned about it and its capability to end privacy forever in American society to where there would be no hiding from the kind of data being collected.
[00:10:39.237 --> 00:10:39.938]  Once complete,
[00:10:40.658 --> 00:10:47.146]  The Utah Data Center, the thing we're talking about concurrently, is expected to be fully operational by September 13.
[00:10:47.467 --> 00:10:57.299]  It will be the last link in the chain of the electronic concentration camp that surrounds us, said Rutherford.org, who's been tracking this recent situation.
[00:10:58.220 --> 00:11:05.488]  So it's just incredible the amount of data they've put together, the kind of spying that's going on, and how far things have gone.
[00:11:05.908 --> 00:11:12.094]  And Jason Burmess, of course, is coming up later to discuss other aspects of our completely eroding privacy.
[00:11:12.575 --> 00:11:15.979]  You remember, of course, when Michael Hayden, who was
[00:11:16.639 --> 00:11:26.106]  At the same time, Director of the CIA and Director of the NSA bold-facedly told a reporter that no, the Fourth Amendment doesn't say you have to have a warrant.
[00:11:26.206 --> 00:11:29.028]  No, the Fourth Amendment only says reasonable.
[00:11:29.088 --> 00:11:31.250]  No, it doesn't say probable cause.
[00:11:31.490 --> 00:11:35.173]  It doesn't say any of that, even though the exact text
[00:11:35.373 --> 00:11:44.942]  Was quoted to him, and he surely knows what's in the Bill of Rights, which is on paper precisely to contain governments' overreach of powers.
[00:11:45.402 --> 00:11:47.124]  But that's all being pissed away, isn't it?
[00:11:47.564 --> 00:11:51.948]  Meanwhile, another Wisconsin town reports strange booms and flashes of lights.
[00:11:52.909 --> 00:11:54.731]  Baraboo in Wisconsin.
[00:11:55.311 --> 00:12:00.973]  A little more than a hundred miles south of Clintonville, where other strange booms were seen last week.
[00:12:01.253 --> 00:12:06.235]  It also happened in Montello, Wisconsin, all within a close proximity.
[00:12:06.815 --> 00:12:13.798]  And at least in Baraboo, and I believe in the other cities, they've checked the patterns for anything in the weather that could have caused it.
[00:12:14.098 --> 00:12:17.460]  They've contacted the national, local, and state weather services.
[00:12:17.800 --> 00:12:23.902]  They don't see anything that would have caused these odd booms that were, in fact, in the Clintonville case, caught on camera.
[00:12:24.222 --> 00:12:32.325]  And you've got the chief of police in Baraboo saying we don't know if we have a Clintonville going on here or what, but basically that it is strange.
[00:12:32.385 --> 00:12:38.568]  People saw a large flash of lights accompanying the boom and it's just not weather related.
[00:12:38.608 --> 00:12:44.491]  We don't know of course what's going on, but there are a number of alternative explanations that could be suspected.
[00:12:44.511 --> 00:12:47.772]  I was surprised to read that CO2 sequestration
[00:12:48.332 --> 00:12:49.773]  Uh, could be a possible explanation.
[00:12:49.793 --> 00:12:51.014]  I'd like to know more about that.
[00:12:51.034 --> 00:12:59.721]  Uh, but also, of course, we know fracking has become a very controversial but widespread practice, uh, where they tap into the ground to try to extract the natural gas.
[00:13:00.101 --> 00:13:09.629]  That has been blamed on some small and medium-sized earthquakes, as, of course, has been HAARP, uh, the, uh, High Frequency Active Arroyo Research Program,
[00:13:10.089 --> 00:13:10.349]  Which is
[00:13:29.897 --> 00:13:30.658]  We're good to go.
[00:13:57.757 --> 00:13:58.158]  Thank you, Bill.
[00:14:17.299 --> 00:14:31.130]  Almost three trillion have been put on the Fed's balance sheets, and through QE1 and QE2 and the silent but deadly QE3s ongoing, they've been extending market liquidity to investors.
[00:14:31.210 --> 00:14:34.513]  That's been ricocheted and projected into the stock market.
[00:14:34.553 --> 00:14:37.415]  And really, does the stock market reflect reality at all?
[00:14:37.796 --> 00:14:41.799]  It's just this market confidence tool to keep the public from freaking out.
[00:14:42.319 --> 00:14:48.884]  Uh, which is why they may continue to send those signals, even though they've said they're no longer going to provide this cheap liquidity.
[00:14:49.225 --> 00:14:53.228]  Interesting quote here from Bill Gross, the CEO of bond giant Pemco.
[00:14:53.548 --> 00:15:00.933]  When QE1 has ended, when QE2 has ended, basically the stock market has gone down by 1500 points in the next month or two.
[00:15:01.474 --> 00:15:08.399]  Is the Fed trapped in this conundrum of providing cheaper liquidity in order to pump up the stock market and risk markets?
[00:15:08.619 --> 00:15:09.460]  I think they are.
[00:15:09.960 --> 00:15:11.682]  I won't argue whether it's good policy.
[00:15:12.062 --> 00:15:35.486]  But it's necessary policy based on where central banks have led us right into the jaws of control, a centralized economy, all on the idea of keeping up this projected stock market image and never building a true recovery, not empowering Main Street, only empowering Wall Street predators who just want to do these crazy bets and occupy our economy.
[00:15:35.906 --> 00:15:38.727]  So we'll turn now to the quote of the day.
[00:15:38.747 --> 00:15:41.187]  And of course, we have two powerful interviews coming up.
[00:15:41.627 --> 00:15:44.088]  Government is not reason.
[00:15:44.668 --> 00:15:45.828]  It is not eloquent.
[00:15:46.368 --> 00:15:47.068]  It is force.
[00:15:47.508 --> 00:15:51.709]  Like fire, it is a dangerous servant and a fearful master.
[00:15:52.069 --> 00:15:53.830]  That, of course, was George Washington.
[00:15:54.310 --> 00:15:57.971]  And, of course, stay tuned because we have two great, powerful interviews coming up.
[00:15:58.571 --> 00:16:07.993]  Alex Jones will talk to Mark Moreno of the Climate Depot about the censorship on YouTube that our own channel is experiencing and the larger idea that you can't criticize
[00:16:08.453 --> 00:16:17.139]  People telling you to shut down human behavior, to shut down the economy, to shut down your very free speech, all because of carbon credits.
[00:16:18.160 --> 00:16:24.424]  But if you criticize them, that somehow is a violation of their little personal privacy, of their integrity.
[00:16:24.724 --> 00:16:26.085]  You'll hear about it all from Alex.
[00:16:26.485 --> 00:16:27.826]  You know he's more eloquent than I am.
[00:16:28.106 --> 00:16:30.147]  Thanks for watching and don't go anywhere.
[00:16:30.628 --> 00:16:32.169]  This is the InfoWars Nightly News.
[00:16:36.241 --> 00:16:42.345]  I really enjoy it when the globalists try to poison us and, well, we resist them via a free market system.
[00:16:43.245 --> 00:16:50.209]  Hello my fellow info warriors, Alex Jones here, introducing you to the pro-pure family of gravity-fed filters.
[00:16:50.650 --> 00:16:57.614]  Now, you know that the globalists are filling our water with radioactive isotopes, fluoride, lead, mercury, arsenic.
[00:16:58.294 --> 00:17:10.383]  And one of the few systems that can efficiently and economically remove or reduce down to non-detectable levels these poisons are gravity-fed filters and ProPure is the top of the line.
[00:17:10.863 --> 00:17:15.427]  Their filters are impregnated with silver, a natural antibiotic,
[00:17:16.107 --> 00:17:19.488]  On top of that, they're bigger so they filter faster.
[00:17:19.768 --> 00:17:22.889]  You don't have to prime these the first time you use them.
[00:17:23.250 --> 00:17:23.910]  It's amazing!
[00:17:23.950 --> 00:17:29.732]  Go to InfoWars.com and click on the shopping cart link to see the entire family of these babies.
[00:17:30.771 --> 00:17:35.773]  Now, the fluoride they add to our water is so tiny that most filters can't cut it out.
[00:17:36.033 --> 00:17:41.996]  But ProPure has their system that will, again, reduce it to non-detectable levels.
[00:17:42.116 --> 00:17:43.996]  Almost get all of it out of there.
[00:17:44.317 --> 00:17:45.297]  That's also available.
[00:17:45.617 --> 00:17:57.582]  And if you look at the different systems they offer, the ProPure Big Brush Finish is on a stand, so it's easier on a table or at your restaurant or wherever you have it to go up with a glass or a mug and fill it up.
[00:17:57.722 --> 00:18:01.765]  Then there's this big baby right here, the Pro-Pure King large version.
[00:18:01.985 --> 00:18:04.087]  Got a lot of different options that come with it.
[00:18:04.467 --> 00:18:08.770]  Also, they have the Pro-Pure Big, probably one of the best values out there.
[00:18:09.050 --> 00:18:11.032]  And of course, it's burnished stainless steel.
[00:18:11.412 --> 00:18:18.798]  And then, what I use on my RV, something that's great for your hunting cabin or the back porch, is the Pro-Pure Traveler.
[00:18:19.338 --> 00:18:24.525]  Small and portable, but packs a huge punch, cleans out all that garbage.
[00:18:24.905 --> 00:18:31.614]  They also have a glass site spigot so you don't have to take the top off and look in the bottom area to see how much water.
[00:18:31.634 --> 00:18:35.099]  You can see how fast it's filtering with this optional system.
[00:18:35.339 --> 00:18:36.000]  The Globalist
[00:18:36.440 --> 00:18:38.182]  Obviously, you're hitting us through our water.
[00:18:38.482 --> 00:18:40.184]  It's time to take control of our lives.
[00:18:40.424 --> 00:18:48.331]  It's time to not give our children and families these poisons, and these systems cut it down to non-detectable levels across the board.
[00:18:48.691 --> 00:18:50.933]  ProPure is the name.
[00:18:51.454 --> 00:18:53.456]  I only promote what I believe in.
[00:18:54.076 --> 00:18:57.639]  And I use ProPure in my home and my office.
[00:18:57.939 --> 00:19:02.203]  And I recommend that you check out the information on ProPure at Infowars.com.
[00:19:02.423 --> 00:19:08.648]  We already have the lowest price at Infowars.com on the ProPure gravity filter system.
[00:19:09.429 --> 00:19:17.416]  But when you add in the 10% off when InfoWarriors use the product code WATER at InfoWars.com, nobody can top it.
[00:19:17.797 --> 00:19:19.158]  So again, it's a win-win-win.
[00:19:19.218 --> 00:19:27.906]  Stop drinking the poison water, checkmate the globalists when it comes to your health, and support InfoWars.com and the work we're doing here.
[00:19:28.246 --> 00:19:32.530]  You know, many revolutionaries rob banks and things and kidnap people for funds.
[00:19:32.950 --> 00:19:37.534]  We promote in the free market the products we use that are about preparedness.
[00:19:37.854 --> 00:19:48.062]  That's how we fund this revolution against the New World Order in our move to restore our constitutional republic and the spirit of 1776 worldwide.
[00:19:48.442 --> 00:19:49.984]  Check it out at InfoWars.com.
[00:19:50.464 --> 00:19:59.126]  ProPure, top of the line, number one, most powerful and effective and economical gravity-fed water system in the world.
[00:19:59.426 --> 00:20:03.147]  ProPure, available discounted at InfoWars.com.
[00:20:03.427 --> 00:20:05.848]  Don't forget product code WATER to save 10%.
[00:20:06.828 --> 00:20:09.469]  It's the latest generation, years in development.
[00:20:09.909 --> 00:20:12.070]  ProPure is the name.
[00:20:19.500 --> 00:20:20.080]  We are back.
[00:20:20.100 --> 00:20:23.962]  I want to thank Aaron Dykes for doing the news segment of the show tonight.
[00:20:24.443 --> 00:20:33.527]  And when I'm done doing this special report, Aaron's going to come back and interview our technology reporter, Jason Bermas, on the Kinect system that the Pentagon is now using.
[00:20:33.567 --> 00:20:37.370]  It face scans you in your own home and looks through your walls.
[00:20:38.090 --> 00:20:41.031]  Talk about big brother and how we're just inviting it into our house.
[00:20:41.372 --> 00:20:45.334]  That's coming up with Aaron Dykes and Jason Bermas after the next break.
[00:20:46.297 --> 00:20:49.379]  But first, I want to get into censorship.
[00:20:50.859 --> 00:20:56.262]  A few days ago, we wrote an article on Infowars.com that got picked up by the Drudge Report.
[00:20:56.782 --> 00:21:00.484]  Dozens of other big publications, European, British papers, U.S.
[00:21:00.544 --> 00:21:01.465]  News, picked it up.
[00:21:01.505 --> 00:21:02.726]  ClimateDepot.com.
[00:21:02.746 --> 00:21:04.627]  Mark Moreno was also covering it.
[00:21:04.647 --> 00:21:06.588]  One of the first places we actually saw it.
[00:21:07.228 --> 00:21:11.730]  It's the sociology and environmental studies professor, Kerry Norgard.
[00:21:14.204 --> 00:21:24.066]  This story that got really big focused on the point that her paper said that climate skeptics needed to be treated for mental illness.
[00:21:24.466 --> 00:21:28.647]  And of course, treatment generally in this system means drugs.
[00:21:28.707 --> 00:21:32.508]  And if they're saying they need to treat us, that means in a psychiatric facility.
[00:21:32.708 --> 00:21:35.509]  This is what we saw in Stalinist Russia, Nazi Germany.
[00:21:35.569 --> 00:21:36.329]  They used
[00:21:36.969 --> 00:21:45.200]  The psychiatrist and psychologist, as the secret police, to say that person's mentally ill, they don't like the state, arrest them.
[00:21:45.220 --> 00:21:46.962]  I mean, everybody knows about this.
[00:21:47.663 --> 00:21:49.986]  Well, there's been a new big development here.
[00:21:51.351 --> 00:21:57.858]  They have flagged and removed a video and told us that they're reviewing others and may ban our channel.
[00:21:57.918 --> 00:22:05.146]  And I have the letter that we'll put up on screen here from YouTube on one of our YouTube channels that has 190 plus million views.
[00:22:08.470 --> 00:22:25.478]  Of course, we're on XM, we're on over 100 AM and FM stations, but we do reach a whole different audience via YouTube, and now they're talking about banning the official Alex Jones channel because people complained about the video.
[00:22:26.058 --> 00:22:34.803]  So now, if I get up here and call this woman authoritarian, call this dangerous, tie it into Cass Sunstein, the White House regulations are, who says, fine,
[00:22:35.703 --> 00:22:36.284]  All right.
[00:22:51.420 --> 00:22:58.504]  Plus million views, and YouTube's now saying, we may completely get rid of your channel, and we're going to start erasing your videos.
[00:22:58.524 --> 00:23:00.344]  They have erased some videos.
[00:23:00.364 --> 00:23:13.511]  We have an article up at InfoWars.com right now dealing with this by Paul Watson, that now, if you criticize the climate power-grabbing cult, your videos disappear into the memory hole.
[00:23:13.951 --> 00:23:16.193]  Now, I wasn't just talking about her in the video.
[00:23:16.293 --> 00:23:17.653]  I was mentioning Cass Sunstein.
[00:23:17.934 --> 00:23:27.480]  These other professors saying kill babies up to age three for the earth, kill old people, arrest climate skeptics, arrest Lord Monckton.
[00:23:27.820 --> 00:23:29.341]  This is what they're calling for.
[00:23:29.381 --> 00:23:32.363]  They're saying make it a crime like Holocaust denial.
[00:23:32.823 --> 00:23:34.504]  This is what's being pushed.
[00:23:34.584 --> 00:23:36.726]  This is pure authoritarianism.
[00:23:37.506 --> 00:23:44.088]  And so now, preemptively, before I take legal action, which we're having to look at, we're having to remove a bunch of our own videos.
[00:23:44.308 --> 00:23:47.349]  Because they're saying, we get three of these, your site is gone.
[00:23:47.850 --> 00:23:53.972]  As we preemptively try to file motions and things through the YouTube system to try to block this.
[00:23:54.052 --> 00:23:57.213]  Now, remember, these are the people that say we're mentally ill.
[00:23:57.713 --> 00:23:58.993]  Others say arrest us.
[00:23:59.053 --> 00:23:59.994]  Others say fine us.
[00:24:00.374 --> 00:24:00.914]  Censor us.
[00:24:01.794 --> 00:24:06.056]  The White House regulations are, says this, and it's beginning to happen.
[00:24:06.656 --> 00:24:09.498]  It's beginning to happen, and it is so creepy.
[00:24:09.538 --> 00:24:11.439]  I've been on YouTube six years.
[00:24:11.879 --> 00:24:16.061]  I've reached total over 600 million viewers in that time, conservatively.
[00:24:16.442 --> 00:24:21.544]  Six... I mean, I have my Obama deception that's got over 40 million views on YouTube alone.
[00:24:21.845 --> 00:24:24.906]  They've pulled that before, and we had to file and get it put back up.
[00:24:25.267 --> 00:24:26.847]  But this has only happened four or five times.
[00:24:27.368 --> 00:24:29.769]  Now it's happening... Oh, and they said that was racism then.
[00:24:30.069 --> 00:24:32.471]  Nothing about race with Obama in that film.
[00:24:33.031 --> 00:24:34.352]  So they're scared.
[00:24:35.132 --> 00:24:40.614]  And they're coming after us, and regardless of if you agree with my speech or not, you need to defend it.
[00:24:41.434 --> 00:24:44.115]  You need to defend everybody's free speech.
[00:24:44.215 --> 00:24:47.696]  I don't agree with the Ku Klux Klan, but I defend their right to free speech.
[00:24:47.776 --> 00:24:52.898]  I don't agree with the new Black Panther Party, but I've got to defend their speech, because that's the First Amendment.
[00:24:52.938 --> 00:24:54.578]  That's how our country was founded.
[00:24:54.978 --> 00:25:02.461]  Now joining us is a former congressional advisor, advisor to the Senate, the preeminent expert in the United States,
[00:25:03.101 --> 00:25:08.943]  At ClimateDepot.com, just chronicling hour by hour, minute by minute, the absurdity of these people.
[00:25:09.223 --> 00:25:20.706]  And as their tens of billions of dollars of investment to bring in this global corporate fascist takeover through the Green Police, as it implodes, Al Gore has said, we've got to get desperate.
[00:25:21.006 --> 00:25:23.667]  We've got to, kids, tell your parents to shut up.
[00:25:24.447 --> 00:25:26.569]  They are getting more dangerous than ever.
[00:25:26.849 --> 00:25:30.492]  And just a few days ago, his video is now being removed and blocked.
[00:25:30.792 --> 00:25:39.740]  When he was on with us, and other videos we posted on the same subject, he was warning that they were coming after our liberties and our speech, and that they were going into a very dangerous phase.
[00:25:40.000 --> 00:25:40.961]  And now we're seeing it.
[00:25:41.461 --> 00:25:43.903]  These are very scary people.
[00:25:44.203 --> 00:25:46.525]  But they believe they're saving the earth, so I guess it's okay.
[00:25:48.306 --> 00:25:49.607]  We're going to go to Mark here in just a moment.
[00:25:49.627 --> 00:25:55.528]  I wanted to preface this in a special report, though, and I am breathless because we're seeing free speech destroyed in this country.
[00:25:55.588 --> 00:25:56.509]  It's YouTube.
[00:25:56.849 --> 00:25:58.569]  They advertise it as this commons.
[00:25:59.349 --> 00:26:01.330]  I didn't violate any of their terms of service.
[00:26:01.370 --> 00:26:02.230]  I read it right there.
[00:26:02.910 --> 00:26:04.411]  And they are now censoring us.
[00:26:04.591 --> 00:26:05.831]  And it's Alex Jones today.
[00:26:06.371 --> 00:26:08.292]  It's going to be you tomorrow.
[00:26:08.772 --> 00:26:09.892]  And it's because we're effective.
[00:26:10.172 --> 00:26:14.074]  Now, here's a short clip that got Fortune 500 sponsorship.
[00:26:14.094 --> 00:26:15.234]  The list is too long to read.
[00:26:16.074 --> 00:26:17.836]  This was a public service announcement.
[00:26:17.856 --> 00:26:18.918]  They were getting set to air.
[00:26:19.238 --> 00:26:27.267]  They screened it and it shows people at their offices who won't make carbon tax acquiescence being blown up.
[00:26:27.347 --> 00:26:28.228]  It shows children.
[00:26:29.155 --> 00:26:40.208]  It looks like the sixth grade being blown up in bloody mass if they don't do what the teacher, a similar type, I guess, to this professor, you know, who's pushing this global warming thing.
[00:26:40.509 --> 00:26:42.811]  Well, they've got to be punished and they're blown up.
[00:26:43.312 --> 00:26:43.873]  And who knows?
[00:26:43.933 --> 00:26:47.237]  Because I'm going to show you this short clip, perhaps this video.
[00:26:47.537 --> 00:26:54.925]  We'll be taken down, even though it's fair use and I'm critiquing them trying to acclimate us with the image of violence.
[00:26:55.385 --> 00:27:06.877]  She's asking the kids, oh, you won't make a choice to cut your carbon footprint, not take a hot bath, you know, turn the lights out more often, you know, use less so you got more taxes to pay the super state and the bureaucracy.
[00:27:07.258 --> 00:27:08.879]  We're going to murder children.
[00:27:09.720 --> 00:27:11.120]  But we're not supposed to show you this.
[00:27:11.420 --> 00:27:12.921]  This makes them look bad.
[00:27:13.161 --> 00:27:14.621]  They'll probably ban this.
[00:27:14.641 --> 00:27:16.142]  Do you understand that?
[00:27:16.322 --> 00:27:17.922]  Let's go to this clip and then Mark Moreno.
[00:27:18.062 --> 00:27:22.223]  Okay class, thank you so much for today, and I will see you all tomorrow.
[00:27:22.703 --> 00:27:22.823]  Oh!
[00:27:23.363 --> 00:27:29.265]  Just before you go, I just need to press this little button here.
[00:27:33.902 --> 00:27:40.146]  Now, everybody, please remember to read chapters 5 and 6 on volcanoes and glaciation.
[00:27:40.587 --> 00:27:45.490]  Except for Philip and Tracy, of course.
[00:27:45.610 --> 00:27:46.751]  Coach is being killed.
[00:27:47.171 --> 00:27:48.392]  Men and women being murdered.
[00:27:48.753 --> 00:27:50.574]  The whole clip is on YouTube.
[00:27:51.314 --> 00:27:54.917]  But I guess it's okay on YouTube because the group put it out there and is very proud of it.
[00:27:56.018 --> 00:28:00.241]  So again, they're implying we're going to murder you if you don't go along with it.
[00:28:00.261 --> 00:28:01.782]  Because she asked the kids in the full clip,
[00:28:03.719 --> 00:28:08.645]  And of course, they'll try to copyright it, so I can't show you the whole clip here, even though this is news and I'm reporting on it.
[00:28:09.106 --> 00:28:10.467]  I'd have to go challenge it in court.
[00:28:10.568 --> 00:28:11.449]  Just go watch it yourself.
[00:28:11.469 --> 00:28:13.171]  She says, what changes are you going to make?
[00:28:13.191 --> 00:28:15.433]  And they all go, I'll quit taking baths.
[00:28:15.493 --> 00:28:16.274]  I'll quit this and that.
[00:28:16.555 --> 00:28:19.037]  And some kids go, I'm not going to make any changes.
[00:28:19.318 --> 00:28:20.139]  She goes, all right.
[00:28:21.320 --> 00:28:23.221]  And then it goes to all these other instances.
[00:28:23.281 --> 00:28:27.344]  Folks, these people, when you read their writings, they're maniacal.
[00:28:27.604 --> 00:28:41.433]  We have it posted in full in our article, Green Fascism, The Growing Threat of Ecotyranny, a key article that just goes through a smattering, a small sampling of them saying, ration, arrest, shut down, censor, kill.
[00:28:41.994 --> 00:28:44.335]  And then we're like, oh, this lady looks like a kook.
[00:28:44.956 --> 00:28:45.997]  She looks like a nut.
[00:28:46.357 --> 00:28:47.357]  You're saying we're nuts.
[00:28:47.798 --> 00:28:48.778]  Oh, shut them down.
[00:28:49.039 --> 00:28:49.719]  Shut them down.
[00:28:49.979 --> 00:28:50.920]  Shut Alex up.
[00:28:52.080 --> 00:28:54.782]  Mark Moreno, this is totally creeping me out.
[00:28:54.882 --> 00:29:03.526]  I mean, things are moving so quickly that they've now banned this video and are trying to ban our other videos and shut down a channel with 193 million views.
[00:29:03.566 --> 00:29:04.287]  What do you think of this?
