[00:00:21.587 --> 00:00:22.007]  Welcome.
[00:08:05.830 --> 00:08:08.774]  Meanwhile, the writing is on the wall and states...
[00:08:09.415 --> 00:08:10.656]  Are beginning to take action.
[00:08:11.256 --> 00:08:20.882]  Separately, you've seen a lot of states try to pass bills disputing the NDAA, saying they're not going to take part in the kidnapping of citizens, saying that's unconstitutional.
[00:08:21.542 --> 00:08:32.829]  Now you see this trend where Wyoming is introducing a quote doomsday bill to prepare for total collapse and the inability of the federal government to effectively do anything.
[00:08:33.189 --> 00:08:33.930]  We're good to go.
[00:08:51.152 --> 00:08:51.452]  We're good.
[00:09:08.357 --> 00:09:12.700]  Less solvent states have mass influx of people going into other places.
[00:09:13.160 --> 00:09:16.523]  Well, Wyoming, for one, is batting down the hatches.
[00:09:38.297 --> 00:09:39.617]  We're good to go.
[00:10:06.503 --> 00:10:18.928]  Why crude prices are surging is because global liquidity has risen by $2 trillion in a few short months on the most epic shadow liquidity tsunami launched in the history in the lieu of QE.
[00:10:19.788 --> 00:10:22.650]  Oh, they're sort of on QE3, but they won't exactly admit it.
[00:10:23.170 --> 00:10:30.653]  So things continue to deteriorate economically, and we see total preparations for the response after that collapse.
[00:10:30.693 --> 00:10:32.754]  So everyone out there has been warned.
[00:10:32.774 --> 00:10:33.574]  I hope you're getting ready.
[00:10:33.674 --> 00:10:35.635]  I need to do my own preparations as well.
[00:10:36.215 --> 00:10:47.753]  Turning to health news, NaturalNews.com writer Jonathan Benson reports on the Harvard study citing how pasteurized milk from industrial dairies is linked to cancer.
[00:10:49.144 --> 00:11:03.857]  The truth has once again shaken the foundation of the American Tower of Babel, as mainstream science with a new study out of Harvard University showing that pasteurized milk products from factory farms are linked to causing hormone-dependent cancers.
[00:11:04.197 --> 00:11:13.946]  Turns out the Concentrated Animal Feeding Operations model of raising cows on factory farms turns out milk with dangerously high levels of estrone sulfate
[00:11:14.366 --> 00:11:16.048]  Well, let's take a look at what's going on with the GMO foods.
[00:11:16.068 --> 00:11:18.671]  An estrogen compound linked to testicular prostate and breast cancers.
[00:11:18.711 --> 00:11:29.083]  A very familiar mean you see with the GMO food you see with the BPA you see with a lot of stuff and all the collective wisdom of having the centralized factory farms makes no sense.
[00:11:30.604 --> 00:11:42.752]  Raw, grass-fed, organic milk, from cow's milk to the proper times, Jonathan Benson writes, is linked to improving digestion, healing autoimmune disorders, and boosting overall immunity, which helps prevent cancer.
[00:11:42.772 --> 00:11:46.955]  And of course, you've got almost all of the essential amino acids in raw milk.
[00:11:47.115 --> 00:11:50.397]  If it is harvested in the right way, it can be very healthy.
[00:11:50.837 --> 00:11:53.099]  I myself enjoy some raw milk when I can get it.
[00:11:54.195 --> 00:12:10.966]  Now, turning to more on the GMOs, last week Alex talked to probably the preeminent GMO expert who covers Monsanto and all the other companies, many of whom congregate around the Bilderberg circles, and it's much worse than we've even previously reported.
[00:12:11.346 --> 00:12:15.249]  Jeffrey Smith came back on the program, reconfirmed all the stuff about how
[00:12:15.829 --> 00:12:16.289]  We're good to go.
[00:12:32.856 --> 00:12:53.637]  I won't quote his words directly, I'll let you hear it from him in this clip, but basically taking over the gut floor, where the immune system is located, where digestion occurs, and where so many new autoimmune disorders are located, Crohn's and all the other stuff associated with it, as well as many of the symptoms of autism, now also linked to things like GMO.
[00:12:53.657 --> 00:12:54.438]  Let's play the clip now.
[00:12:54.963 --> 00:13:11.030]  When we look at the BT toxin causing these pores or openings in the intestines, there's a whole new field among progressive, cutting-edge medical practitioners that are treating or looking at gut permeability.
[00:13:12.130 --> 00:13:24.394]  If undigested food through these holes into the blood, that might explain the rise in food allergies, autoimmune disease, inflammation, possibly autism.
[00:13:24.814 --> 00:13:32.676]  Because gut permeability is one of the factors that scientists are documenting accompany autism in large numbers.
[00:13:34.677 --> 00:13:45.983]  Wait, there's also big studies out, just to back you up again, that just came out, that they're finding the GMO, DNA, and RNA is actually going through the blood and into the cells.
[00:13:46.303 --> 00:13:51.706]  They'd always said that was impossible, and Monsanto's come out and said, it's fine to have our DNA in your cells.
[00:13:52.046 --> 00:13:54.167]  So it's actually going through now.
[00:13:54.507 --> 00:13:56.628]  I think that's more than just gut permeability.
[00:13:57.068 --> 00:13:59.910]  It's that before, we are what we eat.
[00:14:00.911 --> 00:14:05.957]  And all this stuff that's slowly developed on this planet, we're able to absorb and it's part of the normal order.
[00:14:06.237 --> 00:14:15.267]  You start splicing and crossing and doing all of this, it shows that at a micro level, we're all interchanging at levels we never knew before.
[00:14:16.008 --> 00:14:22.132]  Let's talk about just this gene transfer because this is one of the scariest things that is currently documented.
[00:14:22.593 --> 00:14:33.400]  The only human feeding study ever published verified that part of the gene inserted into soybeans, making those soybeans Roundup ready, unkillable with Roundup.
[00:14:33.980 --> 00:14:34.440]  I don't know.
[00:14:52.768 --> 00:14:54.569]  And the same transfer occurs.
[00:14:55.189 --> 00:15:08.036]  What if the gene that produces this, this toxin that breaks open the stomach of insects and possibly human intestines, what if that gene were to transfer to our own gut bacteria and continue to function?
[00:15:08.816 --> 00:15:15.540]  It might turn our living, our pesticide, our living intestines, excuse me, it may turn our flora into living pesticide factories.
[00:15:15.920 --> 00:15:18.682]  Now, one of the studies that came out last year
[00:15:19.602 --> 00:15:20.743]  Give support for this.
[00:15:21.123 --> 00:15:36.553]  In Canada, they tested the blood of 30 pregnant women and their unborn fetuses and found in 93% of the pregnant women, the BT toxin was in their blood and in the blood of 80% of the cord blood of their unborn fetuses.
[00:15:37.174 --> 00:15:38.415]  So what this means is,
[00:15:39.315 --> 00:15:46.319]  That somehow the BT toxin is getting into the bloodstream and this is not supposed to happen according to the EPA.
[00:15:46.339 --> 00:15:48.820]  According to the EPA, it's supposed to be destroyed during digestion.
[00:15:49.421 --> 00:15:53.083]  So the authors were wondering, how come the frequency is so high?
[00:15:53.123 --> 00:15:56.665]  We don't eat that much corn chips and fresh corn to justify it.
[00:15:57.225 --> 00:16:05.433]  So they expected that it was the eating the meat and dairy from animals that have been fed Monsanto's corn, which was the source of the BT toxin.
[00:16:05.814 --> 00:16:16.725]  But I think it's more likely that it was the transformation of the gut bacteria inside the intestines of North Americans, which is causing this high constant exposure
[00:16:17.145 --> 00:16:25.733]  And when I talk about this to medical conferences where I speak all the time, doctors invariably tell me that the rise in gastrointestinal problems has been astronomical.
[00:16:26.014 --> 00:16:30.238]  Irritable bowel syndrome, for example, is up 40% since GMOs were introduced.
[00:16:32.366 --> 00:16:33.946]  And this is so bombshell.
[00:16:33.986 --> 00:16:35.507]  I asked the guys to pull this clip.
[00:16:35.787 --> 00:16:37.988]  A lot of you already heard this interview last week.
[00:16:38.328 --> 00:16:39.528]  Go back and watch it again.
[00:16:39.568 --> 00:16:40.588]  Share it with everyone.
[00:16:40.889 --> 00:16:42.029]  This stuff is epidemic.
[00:16:42.069 --> 00:16:43.609]  I talked to Mike Adams about today.
[00:16:43.949 --> 00:16:45.910]  He straight up said we're being euthanized.
[00:16:45.990 --> 00:16:47.711]  This is a big, big deal.
[00:16:48.091 --> 00:16:50.271]  Let's just recap some of what he just said.
[00:16:50.331 --> 00:16:55.693]  Jeffrey Smith, in this interview, he said the Roundup Ready was taking over in the gut bacteria.
[00:16:56.133 --> 00:16:58.974]  It suggested it was a still-functioning gene.
[00:16:59.794 --> 00:17:00.835]  You can call it what you want.
[00:17:00.875 --> 00:17:03.956]  It's compatible with the total alien takeover of our body.
[00:17:04.356 --> 00:17:11.360]  And he commented that it appears our flora are becoming a living pesticide factory inside the womb.
[00:17:11.380 --> 00:17:13.081]  What is that going to do to us?
[00:17:13.101 --> 00:17:15.302]  It's not just the 90% of corn, the 90% of soy and the other crops.
[00:17:17.523 --> 00:17:22.688]  As he pointed out, it's the animals eating the stuff that we then eat goes totally through the food chain.
[00:17:23.028 --> 00:17:29.214]  Meanwhile, the actual pesticides and the genes in there appear to be functioning, permeating the gut bacteria.
[00:17:29.534 --> 00:17:30.255]  This is huge.
[00:17:30.335 --> 00:17:32.316]  People need to look more and more into this.
[00:17:32.697 --> 00:17:34.578]  And then Alex brought up later in the interview.
[00:17:35.379 --> 00:17:43.282]  How we had also come across the Bill Gates Foundation doing a lot of research on the gut flora in connection with vaccines.
[00:17:43.722 --> 00:17:54.786]  Now that's very interesting because Bill Gates has come out way out called people like Dr. Andrew Wakefield a fraud for investigating the connection between vaccines and autism.
[00:17:55.186 --> 00:17:55.747]  We're good to go.
[00:18:15.303 --> 00:18:37.098]  And the idea that there's a connection not only between certain types of vaccines, at least alleged and investigated, as well as the genetically modified foods, really continues to tie back to Bill and Melinda Gates Foundation because they're the number one people monetarily and ideologically pushing both vaccines and GMO across the world, forcing them on everyone.
[00:18:37.638 --> 00:18:38.579]  And ever since 2009,
[00:18:40.660 --> 00:18:51.607]  Investigating gut flora phenomenons and the inability of vaccines to work in the third world with children who have kind of underdeveloped immune systems and the rest of it has been a major priority.
[00:18:51.667 --> 00:18:54.729]  It was named one of their top grand challenges.
[00:18:54.769 --> 00:18:56.290]  You can go back and read the grants.
[00:18:56.630 --> 00:19:00.773]  I read you just a couple headlines now so you have a point of reference and you can find this stuff for yourself.
[00:19:01.093 --> 00:19:02.694]  We all have to do more research on this.
[00:19:02.754 --> 00:19:03.635]  This isn't going to go away.
[00:19:03.675 --> 00:19:04.495]  It's going to be a problem.
[00:19:04.916 --> 00:19:09.218]  Now you've got NBC 29 in March 25th of 2011.
[00:19:10.159 --> 00:19:25.649]  UVA receives 14.7 million grant from the Gates Foundation to investigate children whose bodies reject the protection they desperately need from diseases that comes in the form of vaccine and goes on to discuss how they will measure the role of the intestinal
[00:19:26.670 --> 00:19:27.551]  We're good to go.
[00:19:45.149 --> 00:19:57.777]  Dina Gibson and Sanjoy Ghosh of the University of British Columbia seek to determine whether improving a pregnant woman's diet ensures her baby has a healthy microflora in its gut to protect it from diseases later in life.
[00:19:58.237 --> 00:19:59.778]  Again, you've got to read between the lines.
[00:19:59.858 --> 00:20:03.620]  Why are we having this gut flora phenomenon and they're doing all this research?
[00:20:03.660 --> 00:20:09.664]  They're not going to tell you anything other than that they're good people trying to help everyone, but we must read between the lines.
[00:20:10.124 --> 00:20:10.625]  Now you've got
[00:20:11.585 --> 00:20:16.309]  Gates Foundation's new grant for biomarkers of gastrointestinal gut function and health.
[00:20:16.869 --> 00:20:23.335]  You've got the hidden epidemic destroying your gut flora by Dr. Merkula and a whole lot more.
[00:20:23.775 --> 00:20:33.483]  There were dozens and dozens of grants that they gave out in regard to vaccine and gut flora investigation and they also push GMOs like no one else.
[00:20:33.903 --> 00:20:42.813]  Their idea is to genetically modify the Plasmodium barigo parasite so it will activate and teach the human immune system to fight malaria parasite.
[00:20:43.213 --> 00:20:49.359]  In another article, Gates Foundation awarded to scientists in Portugal for their innovative research in malaria.
[00:20:50.120 --> 00:20:57.822]  And again brings up the risk of vaccine itself in inducing malaria and other ideas about the immune system and the gut flora.
[00:20:58.282 --> 00:20:59.042]  So they're into that.
[00:20:59.322 --> 00:20:59.862]  That's a fact.
[00:20:59.942 --> 00:21:00.523]  It's on record.
[00:21:00.543 --> 00:21:01.403]  Look it up for yourself.
[00:21:02.083 --> 00:21:03.083]  Do your own coverage.
[00:21:03.263 --> 00:21:04.584]  I can't really do it justice.
[00:21:05.024 --> 00:21:07.724]  Meanwhile, GMOs are being pushed on the whole world.
[00:21:08.445 --> 00:21:13.526]  Our great researcher Marcos, who also does a lot of the graphics, dug this out from a couple of years ago.
[00:21:13.686 --> 00:21:15.586]  Mutant seeds for Mesopotamia.
[00:21:15.966 --> 00:21:17.647]  How there's a totally corporate
[00:21:18.767 --> 00:21:20.108]  We're good to go.
[00:21:44.057 --> 00:21:46.279]  That's just a few pieces from the 100 orders.
[00:21:46.580 --> 00:21:51.265]  But the worst of all, back to one of the most blatant orders of all, Order 81.
[00:21:51.445 --> 00:21:56.550]  Under this mandate, Iraq's commercial farmers must now buy, quote, registered seeds.
[00:21:56.890 --> 00:22:01.295]  They're normally imported by Monsanto, Cargill, and the Worldwide Wheat Company.
[00:22:01.875 --> 00:22:06.017]  Unfortunately, these registered seeds are terminator seeds, meaning sterile.
[00:22:06.117 --> 00:22:13.661]  Imagine if the human men were all infertile and in order to reproduce, men, women rather, needed to buy sperm cells at the sperm bank.
[00:22:13.961 --> 00:22:19.064]  In agricultural terms, terminator seeds represent the same kind of sterility.
[00:22:19.344 --> 00:22:31.270]  And it goes on to discuss how there's the whole history of Mesopotamia, a minimum of 4,000 years of seed trading and just organically developing the different varieties of crops there.
[00:22:31.710 --> 00:22:32.391]  Thanks for watching!
[00:22:48.328 --> 00:23:02.997]  It's going to devastate their agriculture just as it has in India, as is currently underway in Africa, as it's happening in South America, as it's happening in North America, and Europe has fought back, but it's happening there too.
[00:23:03.618 --> 00:23:04.258]  And why not?
[00:23:04.378 --> 00:23:12.023]  Because you've got articles like the one we covered a couple weeks ago in the New York Times, where we the people is losing appeal with people around the world.
[00:23:12.523 --> 00:23:26.168]  And basically how the Constitution, the Bill of Rights are somehow not good enough anymore, trying to sell people on the idea of their own enslavement as they bring to full bore into the light the corporate governance system under the world government.
[00:23:26.488 --> 00:23:31.350]  And again, it's not just the United Nations that's one organ of this larger world government.
[00:23:31.650 --> 00:23:33.191]  You've got these major foundations.
[00:23:33.311 --> 00:23:36.293]  Used to be the Rockefeller Foundation was number one.
[00:23:36.713 --> 00:23:44.238]  Increasingly, the Gates Foundation is becoming the number one foundation, even though it's totally interlocked with the Rockefeller Foundation.
[00:23:44.578 --> 00:23:46.019]  And they drive this global governance.
[00:23:46.059 --> 00:23:49.522]  They make recommendations to governments around the world at the national level.
[00:23:49.922 --> 00:23:52.263]  They implement policies at the global level.
[00:23:52.804 --> 00:23:55.826]  And they privately fund things they can't get done through government.
[00:23:55.886 --> 00:23:57.467]  So they have incredible influence.
[00:23:57.827 --> 00:24:00.108]  It's very scary the way they're changing this world.
[00:24:00.448 --> 00:24:04.989]  We all have to wake up to this, and now's the time to fight back, if ever.
[00:24:05.390 --> 00:24:16.553]  Turning now to our Daily Quote, and of course we're coming back with that crucial interview with Mike Adams, with the lawyer who is protecting her clients as they try to come after parents who refuse to vaccinate.
[00:24:16.873 --> 00:24:17.954]  That is Patricia Finn.
[00:24:17.994 --> 00:24:19.394]  That's coming up just after the break.
[00:24:19.734 --> 00:24:21.235]  Turn now to our Daily Quote.
[00:24:21.595 --> 00:24:23.976]  Competition is a great thing.
[00:24:24.056 --> 00:24:25.516]  No, competition's a sin.
[00:24:25.876 --> 00:24:27.197]  That's John D. Rockefeller.
[00:24:27.677 --> 00:24:46.890]  As they began the super vertical horizontal global integration of all business and industry under the larger Illuminati bloodline type families who had already seized a lot of control in the Anglo world and it went supernova under the Rockefellers and all the things they did through their so-called charitable work.
[00:24:46.930 --> 00:24:47.530]  But guess what?
[00:24:47.670 --> 00:24:52.213]  Philanthropy is not charity and they really don't want competition.
[00:24:52.574 --> 00:24:53.795]  That should be a message to everyone.
[00:24:53.815 --> 00:24:57.217]  Thanks for watching and Mike Adams coming up with that hard hitting interview.
[00:24:57.657 --> 00:24:58.761]  And we'll have more for you tomorrow.
[00:24:58.801 --> 00:24:59.022]  Thanks.
[00:25:30.854 --> 00:25:34.737]  And it's time to get out of the comfort zone, because these people aren't playing games.
[00:25:34.757 --> 00:25:36.098]  9-11 wants to hit the road, Sean!
[00:25:36.118 --> 00:25:37.139]  9-11 wants to hit the road, Sean!
[00:25:37.159 --> 00:25:38.420]  9-11 wants to hit the road, Sean!
[00:25:38.440 --> 00:25:39.461]  9-11 wants to hit the road, Sean!
[00:25:39.481 --> 00:25:41.322]  9-11 wants to hit the road, Sean!
[00:25:41.342 --> 00:25:43.704]  9-11 wants to hit the road, Sean!
[00:25:43.724 --> 00:25:45.546]  9-11 wants to hit the road, Sean!
[00:25:45.566 --> 00:25:46.827]  9-11 wants to hit the road, Sean!
[00:25:46.847 --> 00:25:47.868]  9-11 wants to hit the road, Sean!
[00:25:47.888 --> 00:25:48.888]  9-11 wants to hit the road, Sean!
[00:25:48.909 --> 00:25:49.769]  9-11 wants to hit the road, Sean!
[00:25:49.789 --> 00:25:51.971]  9-11 wants to hit the road, Sean!
[00:25:51.991 --> 00:25:53.152]  9-11 wants to hit the road, Sean!
[00:25:53.172 --> 00:25:54.533]  9-11 wants to hit the road, Sean!
[00:25:54.553 --> 00:25:55.434]  9-11 wants to hit the road, Sean!
[00:25:55.454 --> 00:25:56.354]  9-11 wants to hit the road, Sean!
[00:25:56.374 --> 00:25:58.136]  9-11 wants to hit the road, Sean!
[00:25:58.156 --> 00:25:59.017]  9-11 wants to hit the road, Sean!
[00:25:59.037 --> 00:25:59.377]  9-11 wants to
[00:26:12.557 --> 00:26:17.138]  Yeah, I'm signing these evil 1776 flags.
[00:26:17.798 --> 00:26:24.239]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:26:24.639 --> 00:26:28.200]  It's pretty un-American, what we're doing here at InfoWars.com.
[00:26:28.380 --> 00:26:36.662]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:26:36.682 --> 00:26:38.162]  Now that...
[00:26:40.018 --> 00:26:40.178]  Okay.
[00:27:00.424 --> 00:27:05.828]  Continuing with InfoWars Nightly News, this is Mike Adams, a health ranger, jumping in to interview Patty Finn.
[00:27:05.888 --> 00:27:17.015]  She is an attorney who is being, you might say, terrorized, certainly suppressed, because she represents parents who are trying to defend parental freedom when it comes to the vaccination issue.
[00:27:17.796 --> 00:27:26.502]  And now the legal establishment in New York, where she practices, is demanding that she turn over all the names of all of her clients that she represents
[00:27:27.202 --> 00:27:35.209]  Which would expose, of course, all those parents to state authorities, which could result in those children being taken away, kidnapped by Child Protective Services.
[00:27:35.589 --> 00:27:38.132]  This is a violation of basic human rights.
[00:27:38.152 --> 00:27:39.913]  This is a violation of law, I believe.
[00:27:40.273 --> 00:27:45.718]  But we'll find out more as we talk with Patty Finn, who joins us now for InfoWars Nightly News.
[00:27:45.858 --> 00:27:47.940]  Patty, thank you for joining us this evening.
[00:27:47.980 --> 00:27:49.181]  It's great to have you on.
[00:27:49.201 --> 00:27:50.362]  Thank you.
[00:27:50.502 --> 00:27:50.843]  Thank you.
[00:27:51.588 --> 00:27:55.671]  Can you give us the breakdown of this situation?
[00:27:55.691 --> 00:27:59.093]  How did it start and what are they demanding from you right now?
[00:28:00.234 --> 00:28:12.242]  Well, this problem began in 2009 during a very high-profile case that I handled here in New York involving the H1N1 mandate.
[00:28:13.042 --> 00:28:19.687]  New York State health care workers under an emergency regulation were told either they inject H1N1
[00:28:20.720 --> 00:28:21.180]  I think so.
[00:28:39.568 --> 00:28:58.017]  I had two complaints filed against me by clients and a doctor, a pediatrician here in New York, filed a complaint against me when I had written to him to advise him that, you know, parents don't have to get vaccines, that in New York you can get a statutory exemption.
[00:28:58.837 --> 00:29:03.840]  And these were minor irregularities that had nothing to do with escrow money.
[00:29:03.880 --> 00:29:08.502]  It was advertising and, you know, some other very, very minor things.
[00:29:09.440 --> 00:29:13.183]  Any other lawyer would have written a letter and answered it, and it would have gone away.
[00:29:13.403 --> 00:29:20.349]  But when I wrote my answer, I was accused of lying, and then more charges were filed against me.
[00:29:20.529 --> 00:29:33.019]  So is it fair to say that they seem to be coming after you, not because of the way you're practicing law, but because of the substance of those cases that you take on, in particular vaccines, parental freedom, health freedom?
[00:29:34.022 --> 00:29:39.906]  Well, you know, it is easy to draw that conclusion, particularly given the timing of these charges.
[00:29:40.746 --> 00:29:49.051]  You know, I was served on a Friday night before I left to attend this West Virginia rally on parental rights.
[00:29:49.852 --> 00:29:57.957]  And, you know, it's kind of odd that they waited until my office was closed and then to try to serve me with something to suspend my license.
[00:29:58.476 --> 00:30:01.618]  You know, do I really know what is motivating them?
[00:30:01.678 --> 00:30:04.840]  No, because a lot of these proceedings are secret.
[00:30:04.860 --> 00:30:07.642]  I don't know what is being discussed.
[00:30:08.182 --> 00:30:14.246]  I do know that the investigating attorney, when she met me, did tell me that she didn't like my tone.
[00:30:14.266 --> 00:30:24.712]  And the only tone that I'm sure she was aware of was that in the media with the H1N1 and perhaps something that I had written.
