[00:00:27.786 --> 00:00:30.251]  It's August 30th, it's InfoWars Nightly News.
[00:03:01.045 --> 00:03:03.267]  And that's what the education systems turn into.
[00:03:03.327 --> 00:03:10.573]  So, it makes sense, you know, when you're a breeding ground for slaves, that you're going to get them used to slavery by having them tracked everywhere.
[00:03:12.025 --> 00:03:16.311]  And they're, you know, they're rewarded for regurgitating what they're told to regurgitate.
[00:03:16.331 --> 00:03:29.508]  So it's all about this system of turning them into zombies, fresh and ready for the outside zombie slave world, so they can fit into their little, you know, they can become their little brick in the wall in the outside world, as it were.
[00:03:30.595 --> 00:03:32.979]  So it's obedience training, that's what it is.
[00:03:33.280 --> 00:03:36.805]  It's being rewarded for intellectually castrating yourself.
[00:03:36.846 --> 00:03:39.630]  That's what the modern education system is all about.
[00:03:40.331 --> 00:03:43.437]  And now on top of that, it's being backed up by this prisoner training.
[00:03:44.420 --> 00:03:57.103]  We also had the article on Monday, of course, about kids in nine Austin schools being forced to carry around a GPS tracker while having to check in with a mentor numerous times a day.
[00:03:57.483 --> 00:04:06.926]  And, of course, that's not far removed again from a criminal with a GPS ankle bracelet, you know, having to see a parole officer every day.
[00:04:07.626 --> 00:04:10.626]  It's not that far removed at all from just being a criminal in prison.
[00:04:10.807 --> 00:04:12.107]  That's the modern school system.
[00:04:13.260 --> 00:04:15.181]  And so, again, what's the solution?
[00:04:15.361 --> 00:04:16.901]  Well, it's to homeschool your kids.
[00:04:17.481 --> 00:04:18.642]  And you can do it yourself.
[00:04:18.682 --> 00:04:21.402]  You don't need to pay out oodles of money for somebody else to do it.
[00:04:21.743 --> 00:04:24.763]  And there's organizations across America that will help you do that.
[00:04:25.564 --> 00:04:42.249]  So it's a problem with a solution, but it's great to see that these kids in San Antonio are fighting back from just becoming another brick in the wall by rebelling against this program which seeks to track them everywhere they go, both on school premises and at home.
[00:04:43.246 --> 00:04:46.768]  And, you know, just imagine how open to abuse that is.
[00:04:47.148 --> 00:04:57.234]  Remember the case from 2010 in Pennsylvania where they had the software on the kids' school-issued laptops tracking them, watching them while they were at home.
[00:04:57.254 --> 00:04:58.435]  A kid actually got
[00:04:59.335 --> 00:05:06.802]  Discipline for indecent behavior in his own home because the school officials were watching his webcam.
[00:05:06.822 --> 00:05:09.465]  They were watching him through his webcam on his laptop.
[00:05:09.865 --> 00:05:18.453]  So there's all kind of sexual predators and people like that out there who are just waiting to take advantage of these surveillance systems being implemented by the schools.
[00:05:18.874 --> 00:05:24.058]  But in San Antonio, the kids are rebelling and fighting back against Big Brother.
[00:05:25.253 --> 00:05:26.933]  Next story, just in case!
[00:05:27.294 --> 00:05:32.815]  State of Alaska to stockpile mass amounts of food and supplies in giant warehouses.
[00:05:32.855 --> 00:05:36.876]  This is Mac Slavo of shtfplan.com.
[00:05:37.676 --> 00:05:47.919]  With its remote location and dependence on the uninterrupted flow of supplies from the lower 48 states, the Governor of Alaska has made disaster readiness a hallmark of his administration.
[00:05:48.539 --> 00:05:58.912]  Governor Sean Parnell worries a major earthquake or volcanic eruption could leave the state's 720,000 residents stranded and cut off from food and supply lines.
[00:05:59.313 --> 00:05:59.893]  His answer?
[00:06:00.434 --> 00:06:05.260]  Build giant warehouses full of emergency food and supplies just in case.
[00:06:06.041 --> 00:06:12.125]  For some in the lower 48, it may seem like an extreme step, but Parnell says this is just Alaska.
[00:06:12.666 --> 00:06:19.810]  The state plans two food stockpiles in or near Fairbanks and Anchorage, two cities that also have military bases.
[00:06:20.371 --> 00:06:26.395]  Construction on the two storage facilities will begin this fall, and the first food deliveries are targeted for December.
[00:06:26.835 --> 00:06:37.998]  The goal is to have enough food to feed 40,000 people for up to a week, including three days of ready-to-eat meals and four days of bulk food that can be prepared and cooked for large groups.
[00:06:38.838 --> 00:06:46.080]  To put that number into perspective, Alaska's largest city, Anchorage, has about 295,000 people, according to the U.S.
[00:06:46.120 --> 00:06:49.361]  Census Bureau, and Juneau, its third largest, about 31,000 people.
[00:06:51.914 --> 00:06:58.583]  So, you know, while these food stockpiles are nowhere near enough to cover the population for any significant amount of time...
[00:06:59.485 --> 00:07:10.751]  You know, at least it's a start, and so when idiots laugh at you for buying storable food and being a paranoid kook for doing so, just point to the fact that the government is doing it.
[00:07:11.471 --> 00:07:17.615]  The government's getting prepared for earthquakes, for natural disasters, for all eventualities.
[00:07:18.155 --> 00:07:23.698]  So if they're preparing for it, why on earth shouldn't the citizenry be preparing for it at the same time?
[00:07:24.078 --> 00:07:24.959]  I mean, you get so much
[00:07:26.039 --> 00:07:32.908]  Heat from some people about buying storable food and it being a useless waste of money when the government's doing it.
[00:07:32.928 --> 00:07:34.330]  I mean, everybody's doing it.
[00:07:35.372 --> 00:07:38.256]  And if nothing happens, then you just eat it and save money anyway.
[00:07:38.336 --> 00:07:40.358]  So, you know, nobody loses out.
[00:07:42.011 --> 00:07:42.811]  Global news now.
[00:07:42.912 --> 00:07:48.375]  NATO plot to use ambulances as cover for humanitarian invasion of Syria.
[00:07:48.395 --> 00:08:08.686]  A source claims that NATO powers in coordination with Saudi Arabia are putting the finishing touches to a false flag plot to blame President Bashar al-Assad's forces for launching a chemical weapons attack as a precursor to a NATO intervention which will see ambulances as humanitarian cover for a military assault.
[00:08:09.386 --> 00:08:28.068]  The source told Syrian news channel Adunia that a Saudi company had fitted 1,400 ambulance vehicles with anti-gas and anti-chemical filtering systems at a cost of $97,000 each in preparation for a chemical weapons attack carried out by FSA rebels.
[00:08:28.909 --> 00:08:33.651]  Using mortar rounds, a further 400 vehicles have been prepared as troop carriers.
[00:08:34.311 --> 00:08:48.895]  The attack, which will involve the use of white phosphorus, sarin and mustard gas, will be launched in a heavily populated town near the Syria-Jordan border, possibly Daraa, after which the vehicles will pour in under the cover of humanitarian aid.
[00:08:50.276 --> 00:08:53.877]  The ambulances, emblazoned with the slogan, Syrian People's Relief,
[00:08:54.960 --> 00:08:57.741]  They're friendly, they're humanitarian, nothing to worry about.
[00:08:58.061 --> 00:09:01.843]  We'll operate under the guise of an aid mission to help victims of the chemical weapons attack.
[00:09:02.103 --> 00:09:05.785]  But in reality are nothing short of armoured personnel carriers.
[00:09:07.017 --> 00:09:30.259]  So, according to this source, this has been timed to coincide with the statements we heard over the last week or two from both French President Francois Hollande and of course Barack Obama, who both basically came out and said, look, if Syria not just uses, but if Syria merely moves its chemical weapons from one location to another,
[00:09:30.859 --> 00:09:32.200]  It's going to trigger an invasion.
[00:09:32.540 --> 00:09:34.482]  Forget the UN Security Council.
[00:09:34.862 --> 00:09:38.605]  It's going to trigger military intervention outside of that framework.
[00:09:39.306 --> 00:09:42.629]  So, the Al-Qaeda-led rebels have been given the gas masks.
[00:09:42.669 --> 00:09:49.274]  They've been given the stockpile of chemical weapons seized from Libya, of course, formerly under the control of Gaddafi.
[00:09:50.235 --> 00:10:00.203]  And the false flag chemical weapons attack, which many people in the blogosphere have been speculating about for weeks, is very much being prepared according to this source.
[00:10:01.598 --> 00:10:22.647]  And of course, the international NATO-aligned media will instantly blame it on Assad, just like the Hula Massacre was instantly blamed on the Syrian government, despite the fact that, as the German newspaper FAZ documented, it was in fact carried out by the loving humanitarian democratic protesters, the NATO-backed rebels.
[00:10:24.208 --> 00:10:24.488]  And so,
[00:10:25.973 --> 00:10:29.435]  From this source it looks like they're getting ready to launch this chemical weapons attack.
[00:10:29.515 --> 00:10:31.036]  Blame it on Assad.
[00:10:31.257 --> 00:10:42.424]  And then under the guise of humanitarian aid, bring these 1800 ambulances in which in reality are basically armoured personnel carriers chock full of fighters and weapons.
[00:10:42.904 --> 00:10:54.512]  And then that will be the initial buffer zone from which the secondary military intervention is launched on the justification that Assad attacked his own people with chemical weapons.
[00:10:54.572 --> 00:10:55.653]  We've seen that one before.
[00:10:57.174 --> 00:11:03.176]  And again, just to address this issue of state media, because this source comes from Syrian state media.
[00:11:03.216 --> 00:11:04.057]  They reported on it.
[00:11:05.217 --> 00:11:07.638]  And we'll go on to illustrate this with our next story as well.
[00:11:08.539 --> 00:11:13.601]  I see the occasional feedback on the comments, on the Facebook comments and whatever.
[00:11:14.827 --> 00:11:21.068]  Basically the tone of, you know, why is Infowars using Syrian state media as a news source?
[00:11:21.708 --> 00:11:32.190]  And isn't it interesting that when you do use something like Syrian news channels or Russia Today, Press TV, whatever it is, you've somehow committed a journalistic war crime.
[00:11:32.550 --> 00:11:40.592]  But using something like the New York Times, the very publication whose lies about, you know, weapons of mass destruction and yellow cake,
[00:11:41.212 --> 00:11:45.536]  Greased the skids for a war which led to the deaths of over a million people.
[00:11:46.337 --> 00:11:50.521]  That's the height of credibility, that's perfectly okay to use the New York Times as a source.
[00:11:51.121 --> 00:11:56.526]  Whose lies, upon lies, upon lies have led to wars and death on a mass scale.
[00:11:57.387 --> 00:12:02.472]  But, don't dare use a Syrian news channel, that's bad, that's really bad, that's evil.
[00:12:03.544 --> 00:12:10.027]  And it's interesting, again, that using foreign media is seen as some kind of dirty, underhanded thing.
[00:12:10.767 --> 00:12:29.856]  And yet, taking your information from CNN or MSNBC, these news organizations that literally have to get permission, have to beg the White House to use Obama's quotes that he's already given them, we saw that story a few weeks ago, that's perfectly acceptable, that's okay to use them as a news source.
[00:12:31.107 --> 00:12:37.109]  So we'll continue to use news sources from a vast array of media and make no apologies for it.
[00:12:37.949 --> 00:12:42.191]  And it's up to you, the reader, to decide whether it's credible or not.
[00:12:42.831 --> 00:12:46.232]  Whether it comes from state media or not, and whether that matters.
[00:12:46.272 --> 00:12:54.995]  Because, as we see with the next story, Operation Mockingbird 2012, New York Times writes a leaked story critical of Obama to CIA.
[00:12:55.515 --> 00:12:57.497]  This is Steve Watson, Infowars.com.
[00:12:57.997 --> 00:13:16.452]  Emails obtained by advocacy group Judicial Watch have exposed the fact that a senior New York Times employee who covers national security for the newspaper provided the CIA with advanced copies of an article another writer was preparing that was somewhat critical of the White House over the upcoming Hollywood film about the killing of Osama Bin Laden.
[00:13:16.932 --> 00:13:28.705]  The reporter, Mark Mazzetti, forwarded an advanced copy of a Maureen Dowd column to a CIA spokesperson a full two days before it was set to be published.
[00:13:29.165 --> 00:13:34.931]  The article, published August 7, 2011, discussed the upcoming Catherine Bigelow-Mark Bowell film,
[00:13:35.712 --> 00:13:44.036]  Zero Dark Thirty, and criticise the Obama administration for having, quote, outsourced the job of manning up the President's image to Hollywood.
[00:13:44.636 --> 00:13:55.581]  Mazzetti's emails show that he sent the piece to the CIA's Marie Hoff on August 5th, 2011, writing, quote, This didn't come from me, and please delete after you read.
[00:13:56.021 --> 00:13:56.261]  See?
[00:13:56.601 --> 00:13:57.742]  Nothing to worry about.
[00:13:58.820 --> 00:14:13.539]  So basically the New York Times sends an article critical of the Obama administration and Obama himself related to the propaganda surrounding the death of Bin Laden, the supposed death of Bin Laden.
[00:14:14.568 --> 00:14:19.452]  The New York Times sends it directly to the CIA before it's even published in the newspaper.
[00:14:20.032 --> 00:14:25.837]  And when this came out, a couple of days ago now, the New York Times were asked why it happened, why they did it.
[00:14:26.478 --> 00:14:36.346]  And they responded, quote, I can't go into detail but I'm confident, this is one of the New York Times editors, I'm confident after talking to Mark that it's much ado about nothing.
[00:14:36.986 --> 00:14:41.750]  Continuing from the article, readers will have a hard time believing this explanation
[00:14:42.751 --> 00:14:47.274]  There was clearly a dialogue between Mazzetti and the CIA concerning the article.
[00:14:47.334 --> 00:15:00.202]  His request for correspondence to be deleted after reading clearly indicates that he knew full well who he was sending the article to and that he could be landed in trouble if anyone discovered what he was doing.
[00:15:00.942 --> 00:15:10.065]  It is blatantly clear that the CIA was leaning on Mazzetti, pressing him for information on what the Times was going to report, and that Mazzetti provided it.
[00:15:10.405 --> 00:15:19.968]  The fact that the CIA read Dowd's column before her own editors did has severe consequences as far as freedom of the press goes and should set alarm bells ringing.
[00:15:21.028 --> 00:15:28.972]  So the New York Times is pulling the old, you know, move along nothing to see here argument, except for the fact that there's a hell of a lot to see here.
[00:15:29.453 --> 00:15:47.923]  Because as this article documents, this is just the latest expression of the New York Times cozy relationship with the Central Intelligence Agency that started long before the weapons of mass destruction scandal, of course way back in the fifties, with Operation Mockingbird.
[00:15:48.939 --> 00:15:59.624]  From the article, the Times was the vital cog in the CIA's Operation Mockingbird, a secret campaign conceived in the 1950s to influence media output.
[00:16:00.184 --> 00:16:05.747]  Many believe, with some justification, as we have seen, that Mockingbird continues to this day.
[00:16:06.307 --> 00:16:14.431]  In a groundbreaking expose entitled, The CIA and the Media, penned in 1977 for Rolling Stone, Carl Bernstein wrote,
[00:16:15.211 --> 00:16:16.193]  The New York Times.
[00:16:16.373 --> 00:16:23.843]  The agency's relationship with the Times was by far its most valuable amongst newspapers according to CIA officials.
[00:16:24.404 --> 00:16:30.452]  It was General Times policy to provide assistance to the CIA whenever possible.
[00:16:31.673 --> 00:16:33.994]  And so that's been in place since the fifties.
[00:16:34.675 --> 00:16:53.085]  Bringing it up to date, of course, it was the New York Times earlier this week that changed the language of its article very subtly but also very intentionally to cover up for the fact that it initially reported the CIA was responsible for providing weapons directly to Syrian rebels.
[00:16:53.545 --> 00:16:55.886]  They actually admitted it in a New York Times article.
[00:16:56.426 --> 00:16:59.208]  Soon as the editor got hold of it, fifteen minutes later,
[00:16:59.508 --> 00:17:06.435]  The passage was changed to say that the weapons were being provided by Saudi Arabia, Qatar and the Gulf States.
[00:17:07.967 --> 00:17:12.111]  So we got the New York Times covering up for the CIA in that instance just this week.
[00:17:12.772 --> 00:17:30.231]  And on the wider topic of controlled state media, it was the New York Times along with other news outlets who actually agreed to the conditions laid down by the White House that they could only use certain quotes made by Obama if the White House gave them permission.
[00:17:31.351 --> 00:17:33.712]  So, it goes back to what I was saying before.
[00:17:34.613 --> 00:17:38.554]  People laugh at state-controlled media as being not credible.
[00:17:39.035 --> 00:17:45.958]  You know, whether it be in Iran with Press TV, Russia Today or Syria with Adunia, as we saw in the previous story.
[00:17:46.878 --> 00:17:49.079]  But how are they any worse than the New York Times?
[00:17:49.139 --> 00:17:51.741]  In fact, the New York Times is about a hundred times worse.
[00:17:52.561 --> 00:17:58.403]  Knowingly manufacturing lies about yellow cake from Niger to grease the skids for war in Iraq.
[00:17:58.723 --> 00:18:02.224]  Over a million dead because of that lie helping the war.
[00:18:03.165 --> 00:18:10.207]  You know, sitting on the warrantless wiretapping story for a year on orders of the Bush White House back in 2004.
[00:18:11.528 --> 00:18:15.229]  And now covering up for the fact that the CIA is directly arming Syrian rebels.
[00:18:16.738 --> 00:18:23.002]  So a New York Times reporter sending advance copies of articles directly to the CIA.
[00:18:23.602 --> 00:18:24.522]  For approval?
[00:18:25.123 --> 00:18:25.843]  For vetting?
[00:18:25.923 --> 00:18:26.924]  Merely for a heads up?
[00:18:26.984 --> 00:18:27.484]  Who knows?
[00:18:28.124 --> 00:18:44.614]  But what we do know is that the New York Times is in bed with the White House, it's in bed with the CIA, and that's the ultimate confirmation of the fact that just like Russia, just like Iran, just like Syria, we have state-controlled media in the United States.
[00:18:46.434 --> 00:18:49.899]  Video shows cop kicking defenseless man in the throat.
[00:18:51.081 --> 00:18:55.788]  A new police brutality video shows a St Paul officer kicking a defenseless man in the throat.
[00:18:55.908 --> 00:18:56.689]  Let's go to the clip.
[00:18:59.600 --> 00:19:00.601]  You see that?
[00:19:00.721 --> 00:19:02.723]  You see that?
[00:19:02.763 --> 00:19:04.805]  Did you see that?
[00:19:04.825 --> 00:19:07.307]  He kicked him in the chest!
[00:19:07.347 --> 00:19:08.608]  Kicked him in his chest.
[00:19:08.628 --> 00:19:09.009]  Oh my God!
[00:19:09.069 --> 00:19:11.791]  That's how we operate!
[00:19:11.911 --> 00:19:12.672]  Oh my God!
[00:19:12.712 --> 00:19:15.635]  That don't mean he got a kidney on the ground!
[00:19:15.675 --> 00:19:16.436]  Man, you lying, man!
[00:19:16.496 --> 00:19:18.497]  I ain't even been around here!
[00:19:23.582 --> 00:19:24.743]  No, I got it all.
[00:19:24.763 --> 00:19:27.064]  Gee, I got the whole you gotta be taking this.
[00:19:27.164 --> 00:19:27.884]  Oh my God.
[00:19:39.795 --> 00:19:55.266]  So it's 30-year-old Eric Hightower, the man you see being kicked in the throat, and the cop responsible for the assault is Jesse Zilge, and Zilge has been placed on administrative leave by the police department while the incident's being investigated.
[00:19:56.227 --> 00:20:08.175]  So basically Hightower was arrested for terroristic threats, they said, damaging property, but crucially he's not being charged, so it appears as if he was innocent as he proclaimed in the video.
[00:20:09.218 --> 00:20:28.061]  So, the epidemic of police brutality sweeping America continues, but what's interesting to me is the fact that whereas these kind of incidents, you know, ten, twenty years ago were more reserved or being meted out against black people, now everyone's a target, as we're going to see with the next story.
[00:20:28.582 --> 00:20:35.463]  But what's got us to this stage, I think, is this kind of racist attitude that
[00:20:36.528 --> 00:20:42.476]  If this kind of brutality is only being visited on people of, you know, black people, then who cares?
[00:20:42.496 --> 00:20:46.240]  It's just a black guy in a poor neighbourhood getting beat up by cops.
[00:20:47.369 --> 00:20:49.411]  And that's still the attitude amongst a lot of people.
[00:20:49.451 --> 00:20:58.358]  In fact, there was a bizarre comment on the InfoWars story today which said something like, oh look, he's obese, he's potentially violent, he's a negro.
[00:20:58.618 --> 00:20:59.799]  Those are the exact quotes.
[00:21:00.479 --> 00:21:05.983]  Like the fact that he's overweight, pissed off because he's being kicked in the face.
[00:21:07.242 --> 00:21:13.403]  And black, those three reasons mean it's perfectly okay to kick him in the face, it's fine.
[00:21:13.763 --> 00:21:22.005]  You know, the guy's laying prostate on the ground, but apparently if he's fat, a bit angry and black, then that makes everything fine.
[00:21:22.045 --> 00:21:24.005]  You can just kick him in the face all you want.
[00:21:24.825 --> 00:21:32.527]  And so while black people have been targeted for decades, you know, the crime of walking while black or the crime of driving while black,
[00:21:33.792 --> 00:21:39.637]  Middle-class America has kind of looked the other way, thinking that the same treatment's never going to be visited upon them.
[00:21:40.558 --> 00:21:47.924]  And it's like the same cop-out when people said, oh, I don't care about the TSA groping people or radiation body scanners at the airport.
[00:21:48.365 --> 00:21:49.385]  I'm just not going to fly.
[00:21:50.501 --> 00:21:57.105]  Now the TSA's at political events, they're at prom nights, they're on the highways and the attitude is, oh, I'm just not going to leave my house.
[00:21:57.885 --> 00:22:15.156]  So, when you have the attitude of just not caring about tyranny or brutality because it's inflicted upon a race or an economic class of people that you don't identify with, then that tyranny only gets stronger and soon it's going to be knocking at your door.
[00:22:15.576 --> 00:22:18.638]  You know, it's like the famous Martin Niemöller poem,
[00:22:19.518 --> 00:22:20.819]  First they came for the communist.
[00:22:20.899 --> 00:22:22.660]  I didn't speak up because I wasn't a communist.
[00:22:23.300 --> 00:22:25.241]  And eventually they're going to come for you.
[00:22:26.882 --> 00:22:32.566]  So if you don't care about black guys being booted in the throat, then how about this next one?
[00:22:33.306 --> 00:22:43.332]  Shock surveillance video shows LAPD officers body slamming defenseless woman, again defenseless like the guy before, into the pavement during violent arrest.
[00:22:43.452 --> 00:22:44.493]  This is out of the blaze.
[00:22:45.333 --> 00:22:53.777]  A startling video that is making the rounds shows two Los Angeles Police Department officers snatching a female driver and violently slamming her body into the ground.
[00:22:54.057 --> 00:22:54.517]  Twice.
[00:22:55.037 --> 00:22:56.238]  The woman's alleged offense?
[00:22:56.918 --> 00:23:00.580]  Talking on her cell phone while driving and subsequently resisting arrest.
[00:23:01.100 --> 00:23:08.663]  As a result of the trauma, Michelle Jordan, 34, sustained intensive bruising and other related blemishes and injuries.
[00:23:08.704 --> 00:23:09.624]  So let's see the clip.
[00:23:09.944 --> 00:23:17.376]  Husband told NBC4 his wife was swearing at the officers, but both he and Branch say what happened next was excessive use of force.
[00:23:20.253 --> 00:23:23.976]  So this is a mother and a nurse who was pulled over for the egregious crime of talking on her cell phone while driving.
[00:23:49.093 --> 00:23:53.294]  And suffice to say, as you saw in the video, the incident didn't turn out too well for her.
[00:23:53.954 --> 00:23:58.856]  And you can see all the bruises that she received in the article, which is on the blade.
[00:23:59.516 --> 00:24:07.058]  So they slam her to the ground twice, you know, these tough guy cops who apparently like to hurt women for the sin of talking on a cell phone.
[00:24:09.219 --> 00:24:12.100]  And basically, again, just treat her like complete crap.
[00:24:12.140 --> 00:24:13.241]  Treat her like an animal.
[00:24:14.021 --> 00:24:14.982]  Just because they can.
[00:24:15.022 --> 00:24:16.703]  Just because they've got a badge and a uniform.
[00:24:17.443 --> 00:24:22.666]  Quote, if a civilian were to assault a woman in this manner, he would go to jail, said the woman's lawyer.
[00:24:23.406 --> 00:24:25.447]  These officers must be held to the same standard.
[00:24:25.467 --> 00:24:26.608]  They have to be accountable.
[00:24:27.731 --> 00:24:33.715]  So as I said before, it's an epidemic and it's being meted out against men, women, black, white, you name it.
[00:24:33.775 --> 00:24:34.436]  It's everybody.
[00:24:34.896 --> 00:24:40.000]  It's no longer restricted to poor people and black people in poor neighbourhoods.
[00:24:40.080 --> 00:24:42.441]  It's spreading like a cancer, like a disease.
[00:24:45.922 --> 00:25:03.623]  I mean, we saw the story just a couple of weeks ago, a 21-year-old guy, you know, double locked in handcuffs, backseat of a police car, having already been searched by the police, and they claim he shot himself in the head while he was double locked handcuffed in the back of a police cruiser.
[00:25:04.815 --> 00:25:12.742]  Again, an obvious murder cover-up, but because it's a young black guy who's accused of smoking marijuana, nobody seems to care.
[00:25:13.642 --> 00:25:17.666]  But when it gets visited upon everybody else, only then people seem to care about it.
[00:25:19.147 --> 00:25:33.619]  So, you know, while police are trained that the public is their enemy and that they're there to be fed upon for revenue generation and pain compliance, the epidemic is only going to escalate.
[00:25:34.963 --> 00:25:50.477]  But you know, now that everybody's armed with a cell phone camera, these cops are starting to realise that they can't treat people like animals without making themselves famous on YouTube, which is now happening basically on a day-to-day basis.
[00:25:51.314 --> 00:25:53.755]  So, these two stories are just from today.
[00:25:53.775 --> 00:25:57.878]  I mean, we could do stories, articles about police brutality every day.
[00:25:57.918 --> 00:26:02.300]  That's all we could write about if we really wanted to, because they're constant.
[00:26:02.920 --> 00:26:04.881]  The stories are constantly coming out every day.
[00:26:05.382 --> 00:26:09.264]  But that's just two from today that are up there on Infowars.com.
[00:26:09.304 --> 00:26:15.267]  And again, police treating American citizens like animals, like they've got no rights whatsoever.
[00:26:15.687 --> 00:26:20.390]  You combine that with the case of Brandon Rowe being abducted from his home
[00:26:21.050 --> 00:26:23.793]  No charges whatsoever, no reason for his arrest.
[00:26:24.653 --> 00:26:30.138]  And we're entering a very dangerous situation where the police state is right in our faces.
[00:26:31.679 --> 00:26:32.740]  Quote of the day now.
[00:26:33.301 --> 00:26:34.922]  This is a Spanish proverb.
[00:26:35.383 --> 00:26:36.984]  Law is like a spider's web.
[00:26:37.344 --> 00:26:39.707]  Catch the fly and let the hawk go free.
[00:26:41.007 --> 00:26:44.649]  Which is precisely what we've seen, of course, with the recent economic collapse.
[00:26:45.449 --> 00:26:51.891]  And it's endemic in society and, you know, in general, as we've seen with the recent cases of police brutality.
[00:26:52.212 --> 00:26:58.834]  Coming up after the break on InfoWars Nightly News, we're going to have a Planet InfoWars update from Christy Hightower.
[00:26:58.914 --> 00:27:03.816]  Exciting new news about the social media network that thousands of people are joining.
[00:27:04.417 --> 00:27:09.299]  And also Aaron Dykes' interview with Michael Murphy coming up after the break.
[00:27:09.319 --> 00:27:09.959]  Stay tuned.
[00:27:19.269 --> 00:27:22.132]  Hey there and welcome PlanetInfoWars Patriots.
[00:27:22.352 --> 00:27:25.215]  I'm Christy Hightower reporting for PlanetInfoWars.com.
[00:27:25.255 --> 00:27:27.277]  Just a little update on what's going on on the site.
[00:27:28.238 --> 00:27:41.532]  I just want to bring to your attention, Alex always says, you know, PlanetInfoWars is for people like you to go and find fellow Patriots who are passionate, who, you know, want to go camping, others that, you know, dating and all kinds of good stuff like that.
[00:27:42.032 --> 00:27:54.326]  Well, he's also said that articles are looked at, and if they're well-written, well-cited, timely, all of the above, that we will put them on the featured stories on Infowars.com.
[00:27:54.346 --> 00:27:56.148]  Well, this week has been no exception.
[00:27:56.869 --> 00:28:06.514]  In fact, there's an article called The Conspiracy of an Empire, a letter to those that serve the system, by InfoWars, Planet InfoWars user Sean Hilton.
[00:28:07.494 --> 00:28:11.816]  And within hours of us signing it, we put it on InfoWars.com, main featured stories.
[00:28:12.296 --> 00:28:17.519]  So I just want to remind you that we are looking, we are paying attention, so keep those awesome articles coming.
[00:28:18.239 --> 00:28:21.981]  Thank you Sean and your partner Nemo for writing that for us.
[00:28:22.901 --> 00:28:27.324]  Also, Alex is also saying, you know, planetinfowars.com is a good place for dating.
[00:28:27.424 --> 00:28:34.469]  Now, the internet can be a little tricky, you know, to find somebody you want to talk to and be friends with and stuff.
[00:28:35.210 --> 00:28:39.793]  But, lucky for you guys, Herbick07 and Lady Liberty
[00:28:40.713 --> 00:28:42.856]  Well, I guess not lucky for everyone, but lucky for these two.
[00:28:43.236 --> 00:28:50.063]  They found each other on planetinfowars.com a couple weeks ago, and they just want to let us know that they're doing well.
[00:28:50.144 --> 00:28:56.570]  So I wanted to ask you two, Herbick07 and Lady Liberty, if it all works out, which one of you is going to be moving?
[00:28:56.590 --> 00:29:02.177]  Because one of you lives in Texas and the other one in Virginia, so I can't imagine the commuting is all that easy.
[00:29:03.418 --> 00:29:04.138]  Well, congratulations!
[00:29:04.178 --> 00:29:10.283]  And then lastly, we have a mission every week on the Infographic group.
[00:29:11.484 --> 00:29:14.286]  This week we've actually been doing fluoride.
