[00:00:36.440 --> 00:00:41.887]  It's September 20, 2012.
[00:04:06.906 --> 00:04:16.589]  And he looked at the citizen snitch programs back in Nazi Germany and he found that almost exclusively the people snitched on each other
[00:04:17.662 --> 00:04:22.485]  Not out of genuine concerns for security, but for purely selfish reasons.
[00:04:22.905 --> 00:04:27.748]  You know, to create trouble for a neighbor, to denigrate the reputation of a business rival.
[00:04:28.489 --> 00:04:35.854]  Or simply to, you know, get some satisfaction out of a Pavlovian need to be rewarded by an authority figure.
[00:04:36.134 --> 00:04:40.637]  This is what he found during his study of citizen snitch programs throughout history.
[00:04:41.553 --> 00:04:44.594]  So it's got nothing to do with safety or security.
[00:04:44.975 --> 00:05:00.082]  It's about justifying the bloated budgets of these federal fusion centers by hyping the myth that dangerous terrorists are lurking around every corner and that we all need to be the eyes and ears of the state to report on them.
[00:05:00.422 --> 00:05:07.725]  When in reality, as the figures show, you're more likely to die from a bee sting than in an actual terrorist attack.
[00:05:07.966 --> 00:05:10.387]  You know, you're more likely to die drowning in a bath
[00:05:11.187 --> 00:05:13.807]  Or in an accident involving hitting a deer.
[00:05:14.268 --> 00:05:19.488]  All these things individually drowning in a swimming pool more likely to kill you than a terrorist attack.
[00:05:20.149 --> 00:05:23.129]  So it's about hyping that myth that terrorists are everywhere they're going to get you.
[00:05:24.109 --> 00:05:37.852]  Secondly, it's about creating this chilling effect that prevents people from exercising their freedoms under the fear that their behavior, you know, could be misinterpreted by the local citizen snitch as suspicious.
[00:05:38.512 --> 00:05:39.652]  So if you want to live in
[00:05:40.572 --> 00:05:50.858]  A society where every neighbourhood has its local tattletale who reports spurious, suspicious behaviour to the authorities, then go and live in North Korea.
[00:05:51.378 --> 00:05:54.360]  This is anti-American down to its very core.
[00:05:55.600 --> 00:06:04.484]  And as an indication of just what type of suspicious behavior is actually going to be tracked by these kind of programs, we move on to our next story.
[00:06:04.864 --> 00:06:10.927]  DOJ-funded training manual lists bumper stickers as terrorism.
[00:06:11.847 --> 00:06:21.232]  A leaked training manual used in a state and local anti-terrorism training, SLAT, program for law enforcement and funded by the Department of Justice
[00:06:22.102 --> 00:06:32.649]  lists political bumper stickers expressing opposition to the United Nations and support for the Bill of Rights as indications of terrorist activity.
[00:06:32.970 --> 00:06:33.810]  You heard it right.
[00:06:34.431 --> 00:06:44.498]  The presentation documents, which will lead to the public intelligence website, are entitled Terrorism Training for Law Enforcement and are marked Law Enforcement Sensitive.
[00:06:45.919 --> 00:06:52.185]  And this program is funded by a grant from the Department of Justice Bureau of Justice Assistance.
[00:06:52.205 --> 00:06:54.447]  So it's a DOJ funded program.
[00:06:55.648 --> 00:07:04.876]  Slides for the presentation depict the kind of behavior that law enforcement officials should be wary of in spotting potential terrorists during highway patrols.
[00:07:05.357 --> 00:07:11.582]  And if you click on this article on InfoWars.com you can see some of the slides that are included in this presentation.
[00:07:13.644 --> 00:07:17.889]  And it's what the DOJ classifies as terrorist activity.
[00:07:17.929 --> 00:07:21.873]  This is what they're telling the police is suspicious, potentially terrorist activity.
[00:07:22.313 --> 00:07:25.857]  And we'll get to the bumper stickers in a minute, but my favorite has got to be this.
[00:07:26.618 --> 00:07:27.899]  There's a slide in here
[00:07:28.962 --> 00:07:40.405]  And bearing in mind, you know, I've written articles about this for going on ten years, where everything from having an argument with your wife or wearing blue jeans is a potential sign of extremist activity.
[00:07:40.965 --> 00:07:54.208]  Well, in here they've got a slide under the title of Special Interest Single Issue Terrorism, which characterizes people who hold views that, quote, represent a fairly popular point of view.
[00:07:55.307 --> 00:07:59.812]  Those are the people they're characterizing as terrorists in this presentation.
[00:08:00.813 --> 00:08:06.619]  People who hold opinions that represent, quote, a fairly popular point of view.
[00:08:07.280 --> 00:08:13.066]  So let's say, you know, maybe if you think taxes are too high, that's a fairly popular view, you're a terrorist!
[00:08:13.487 --> 00:08:17.231]  Maybe you think illegal immigration is out of control, you're a terrorist.
[00:08:17.791 --> 00:08:21.133]  Maybe you think, you know, police brutality is out of control again.
[00:08:21.653 --> 00:08:22.773]  You're a terrorist!
[00:08:23.214 --> 00:08:33.119]  Hold a fairly popular view according to the DOJ and you are a terrorist according to this training manual being presented to law enforcement officials.
[00:08:34.599 --> 00:08:36.960]  So this is what cops are being told to look out for.
[00:08:37.301 --> 00:08:43.604]  This is how you hunt down terrorists by finding people with political views that are shared by a majority of people.
[00:08:44.537 --> 00:08:47.461]  Which of course means the majority of US citizens.
[00:08:47.701 --> 00:08:49.022]  It's almost everybody.
[00:08:49.803 --> 00:08:55.330]  And then you've got the bumper stickers which are also characterized as signs of potential terrorism.
[00:08:55.370 --> 00:08:59.335]  Things that cops should look into, investigate, search the vehicle and so forth.
[00:09:00.156 --> 00:09:01.958]  And what do these bumper stickers say?
[00:09:03.010 --> 00:09:04.972]  Get the US out of the UN.
[00:09:05.452 --> 00:09:10.156]  So if you don't like the United Nations, you're probably a terrorist according to the federal government.
[00:09:10.716 --> 00:09:11.156]  Another one.
[00:09:11.577 --> 00:09:13.518]  Know your rights or lose them.
[00:09:14.139 --> 00:09:21.324]  If you've got that bumper sticker on your vehicle, if you support the Bill of Rights and aren't afraid to say it, you're a terrorist.
[00:09:21.384 --> 00:09:21.865]  I'm sorry.
[00:09:22.665 --> 00:09:24.027]  Oppose GMO food.
[00:09:24.067 --> 00:09:26.629]  They've got a whole section about people who oppose Monsanto.
[00:09:27.029 --> 00:09:27.809]  They're terrorists.
[00:09:28.150 --> 00:09:29.090]  Oppose abortion.
[00:09:29.531 --> 00:09:30.552]  You're a terrorist as well.
[00:09:31.926 --> 00:09:44.694]  And in this manual, they actually teach cops they're dealing with, quote, a new kind of enemy that, quote, doesn't act like a criminal, doesn't behave like a criminal, doesn't respond like a criminal.
[00:09:45.455 --> 00:09:49.577]  So that's basically every law-abiding American in the country.
[00:09:50.078 --> 00:09:51.359]  You're the new kind of enemy.
[00:09:52.399 --> 00:10:03.831]  Again, it illustrates what we've been talking about for years, which is the apparatus of the whole war on terror has been shifted away from Muslim extremists to so-called domestic terrorists.
[00:10:03.892 --> 00:10:04.893]  It's been realigned.
[00:10:05.273 --> 00:10:08.136]  And this is what they characterize as domestic terrorism.
[00:10:08.536 --> 00:10:12.340]  Political bumper stickers holding a view that's fairly popular.
[00:10:13.339 --> 00:10:15.641]  And of course, it's par for the course.
[00:10:15.681 --> 00:10:22.805]  Remember, we had the DHS-funded terror study earlier this year, which revealed that, quote, liberty lovers are likely terrorists.
[00:10:22.825 --> 00:10:24.747]  You know, people suspicious of authority.
[00:10:25.540 --> 00:10:28.522]  We had the FBI flyers handed out to businesses.
[00:10:29.102 --> 00:10:31.764]  People who pay for a cup of coffee with cash.
[00:10:32.324 --> 00:10:34.485]  Probably terrorists, according to the FBI.
[00:10:35.125 --> 00:10:45.852]  So, you know, combining all this, God forbid if you were to park up at Starbucks with a bumper sticker on your car and then go and buy a cup of coffee using cash.
[00:10:46.872 --> 00:11:12.917]  I mean, that would be total freak-out time, basically be a national security incident, because all these banal, ridiculously normal activities that everybody engages in, and any kind of distrust of authority, or any political speech, even if it's shared by a majority of people, is being designated as terrorism, as the American people become the new enemy of the federal government, as the federal government arms itself to the teeth.
[00:11:13.877 --> 00:11:22.474]  Speaking of liberty and security, I'm going to go to Dan Bodondi, who's out on the streets of Austin, asking people if they're willing to sacrifice liberty for security.
[00:11:22.514 --> 00:11:23.456]  Let's go to that report.
[00:11:25.922 --> 00:11:29.445]  How do you feel about giving up your liberties so the government could protect us against terrorism?
[00:11:44.551 --> 00:11:47.373]  Well, I don't think it's a question of a trade-off between liberties and terrorism.
[00:11:47.413 --> 00:11:56.137]  I think just living in the age that we do, where there is a real likelihood or potential likelihood of threats, that there have to be certain precautions that are taken for everyone's good.
[00:11:56.477 --> 00:11:59.339]  I think the problem is, like with the Patriot Act, if it goes too far.
[00:11:59.399 --> 00:12:00.760]  So the question is where you draw the line.
[00:12:01.904 --> 00:12:03.485]  I feel like it's probably the right thing to do.
[00:12:04.005 --> 00:12:09.167]  I mean... TSA, with this increased security now, does that make you feel safer traveling?
[00:12:09.347 --> 00:12:09.567]  No.
[00:12:09.887 --> 00:12:10.187]  Yes.
[00:12:10.928 --> 00:12:14.689]  If anything, just to make sure that we can safely travel in the United States.
[00:12:14.929 --> 00:12:17.570]  How does that make you feel to know that the U.S.
[00:12:17.630 --> 00:12:19.651]  government put this underwear bomber on a plane?
[00:12:20.276 --> 00:12:30.385]  Well, you know, I'm a lawyer, admittedly, so I'm going to need facts to establish that, and I just, to me it sounds like speculation, so until I see actual facts I won't consider it to be a true statement.
[00:12:30.886 --> 00:12:35.010]  I'm Kurt Haskell, I'm an attorney in Michigan, and I was on the
[00:12:36.513 --> 00:12:36.953]  I don't know.
[00:12:58.566 --> 00:13:01.529]  I thought he was a teenager, but apparently he was a little older then.
[00:13:02.029 --> 00:13:03.731]  He looked like a poor African teenager.
[00:13:03.771 --> 00:13:06.613]  He only had on jeans and a white t-shirt in the middle of winter.
[00:13:09.075 --> 00:13:12.678]  I thought they were an odd pair, so I just kind of watched them as we were playing cards.
[00:13:13.599 --> 00:13:15.561]  They went to the counter together.
[00:13:16.921 --> 00:13:24.427]  And the Indian-looking man spoke, and what he said was, this man needs to get on the flight, referring to the African teenager.
[00:13:27.129 --> 00:13:28.270]  But he doesn't have a passport.
[00:13:28.370 --> 00:13:33.474]  And then the girl working at the counter said, well, you have to have a passport to get on the flight.
[00:13:33.754 --> 00:13:37.117]  And then the Indian man said, well, he's from Sudan.
[00:13:37.617 --> 00:13:38.878]  We do this all the time.
[00:13:39.279 --> 00:13:41.901]  And that's an exact word-for-word quote.
[00:13:43.258 --> 00:13:49.821]  And she said something along the lines of, well, you know, I'll have to refer you to a manager or something like that.
[00:13:50.501 --> 00:14:00.086]  And I think she did something on her computer, and then she sent the two of them down a hallway, and they walked down the hallway together, which was in a restricted area.
[00:14:01.418 --> 00:14:06.100]  And, uh, they walked on, they were allowed an escort, and then, you know, I quit watching at that point.
[00:14:06.520 --> 00:14:08.341]  Two important things at the end of January 2010.
[00:14:08.481 --> 00:14:30.689]  One was an ABC News article by Brian Ross where he came out and said, yeah, you know, this, uh, man in tan suit that was witnessed by passengers, he said passengers, but really it was just me, uh, that, you know, we're looking into this guy and we think he actually helped the underwear bomber so that he wouldn't get cold feet.
[00:14:32.226 --> 00:14:44.570]  You know, they didn't go so far as to admit what I had been saying that, you know, that would have been impossible that it was Al-Qaeda because he went to the desk and said, we do this all the time.
[00:14:44.630 --> 00:14:50.752]  Then he had enough authority to walk down this hallway in a secure area and talk to the manager and get the man on the flight.
[00:14:50.792 --> 00:14:53.153]  So obviously Al-Qaeda couldn't do that.
[00:14:53.253 --> 00:14:56.974]  But they did admit the existence of the man in this article.
[00:14:57.134 --> 00:14:59.075]  So to me that was a big story because
[00:15:00.177 --> 00:15:05.860]  It was not only the first time they admitted his existence, but they've never admitted his existence after that.
[00:15:06.180 --> 00:15:15.244]  But at least we have it once, detailed, not only that, but it's by ABC News, so fairly credible media, at least to some.
[00:15:16.245 --> 00:15:28.451]  But later, in January 2010, we had hearings in Congress on this, where we had Undersecretary of State Patrick Kennedy come out, and if you watch the video of him, it's pretty telling that he's
[00:15:29.574 --> 00:15:33.479]  Trying to cover up something and not tell the truth.
[00:15:33.519 --> 00:15:37.424]  He's squirming in his chair and seems really uncomfortable answering the questions.
[00:15:37.464 --> 00:15:40.668]  And this video is all over the internet if you want to Google it and look at it.
[00:15:41.228 --> 00:15:42.750]  But what he said is basically
[00:15:43.854 --> 00:15:47.155]  You know, we knew Abdulmutallab was a terrorist.
[00:15:47.295 --> 00:15:51.377]  We wanted to stop him from coming in the country and revoke his visa.
[00:15:51.917 --> 00:16:04.483]  There have been numerous cases where our unilateral and uncoordinated revocation of the visa would have disrupted important investigations that were underway by one of our national security partners.
[00:16:05.163 --> 00:16:11.908]  They had the individual under investigation and our revocation action would have disclosed U.S.
[00:16:11.948 --> 00:16:22.776]  government's interest in that individual and ended our colleague's ability, such as the FBI, to pursue the case quietly and to identify terrorist plans and co-conspirators.
[00:16:24.577 --> 00:16:29.181]  Okay, research lawyer Kurt Haskell, and also InfoWars.com, we interviewed him several times.
[00:16:29.321 --> 00:16:35.266]  There's lots of conspiracy theorists out there, lots of information that's totally incorrect, and so that may be very incorrect.
[00:16:35.486 --> 00:16:39.609]  I mean, what if you did the research, and you come to find out this is true, which is on record.
[00:16:40.050 --> 00:16:42.792]  Now, if you found out this is true, how would you feel at that point?
[00:16:43.092 --> 00:16:44.373]  Well, it's a hypothetical question.
[00:16:44.413 --> 00:16:46.715]  You're asking a lawyer, so he's not going to answer a hypothetical question.
[00:16:47.816 --> 00:16:55.981]  So, again, it's a trade-off in terms of fundamental rights and also things you need to do to protect yourself in a very frightening age.
[00:16:56.162 --> 00:16:57.122]  All right.
[00:16:57.142 --> 00:16:57.563]  Thank you, sir.
[00:16:58.726 --> 00:17:02.747]  Well, luckily they were able to catch him before he could do any damage.
[00:17:03.347 --> 00:17:06.548]  And, you know, everybody makes mistakes.
[00:17:06.608 --> 00:17:08.428]  Just hope that nobody gets hurt in the process.
[00:17:08.808 --> 00:17:20.311]  You also realize that these naked body scanners, even though they say they don't store, record, transmit it, right in the AIT training manual, it says we record, store, and transmit your images for training purposes only.
[00:17:20.331 --> 00:17:25.812]  And your naked image, when you walk through that scanner, your naked image is going to be broadcasted through the TSA network.
[00:17:26.513 --> 00:17:27.253]  I didn't realize that.
[00:17:27.274 --> 00:17:28.175]  I didn't realize that either.
[00:17:28.235 --> 00:17:29.857]  I guess I'll be reading up more on it.
[00:17:29.877 --> 00:17:29.917]  No.
[00:17:29.937 --> 00:17:30.077]  Do you?
[00:17:45.015 --> 00:17:48.539]  Which is better because, like, when you, you've been x-rayed in the hospital before?
[00:17:48.599 --> 00:17:50.281]  Yes, but they cover you up here.
[00:17:50.321 --> 00:17:51.262]  With a lead vest, right?
[00:17:51.382 --> 00:17:54.126]  And the woman stands behind, the nurse stands behind the lead wall.
[00:17:54.746 --> 00:17:57.249]  Now over here, as you see, now this is on record.
[00:17:58.290 --> 00:18:03.536]  Hundreds of TSA agents have cancer now from working around these machines eight hours a day.
[00:18:03.556 --> 00:18:05.499]  This, you could Google this at home, it's on record.
[00:18:06.049 --> 00:18:07.169]  Okay, so we can opt out?
[00:18:07.210 --> 00:18:11.531]  Yep, when you go up there and tell them you want to opt out, they'll pull you aside and give you a pat down.
[00:18:12.152 --> 00:18:14.453]  It's a little bit intrusive, but still better than getting radiated.
[00:18:14.753 --> 00:18:14.973]  Okay.
[00:18:15.493 --> 00:18:22.456]  In a statement, a quote made by Benjamin Franklin, he said, anyone who would give up their essential liberties for security will get neither or deserve neither.
[00:18:22.496 --> 00:18:24.177]  Now, how do you feel about that statement?
[00:18:27.170 --> 00:18:35.515]  Well, I think that might be taken out of context because what Franklin was referencing was giving up enabled rights.
[00:18:35.615 --> 00:18:36.495]  This is not a right.
[00:18:36.535 --> 00:18:38.456]  This is a privilege to travel across the country.
[00:18:39.017 --> 00:18:43.139]  Now, does that pertain to what's going on today with the Patriot Act, the National Defense Authorization Act?
[00:18:43.619 --> 00:18:43.779]  Yes.
[00:18:44.159 --> 00:18:44.920]  I agree with that.
[00:18:45.380 --> 00:18:47.261]  But again, it's a question of degree.
[00:18:47.901 --> 00:18:51.503]  And there are certain things that have to be done to protect the security of everyone.
[00:18:51.523 --> 00:18:55.045]  The question is, you can't violate fundamental rights set forth in Bill of Rights.
[00:18:55.065 --> 00:19:02.069]  Anyone who can give up essential liberty to obtain a little temporary safety deserves neither liberty nor safety.
[00:19:02.770 --> 00:19:09.213]  Now ask yourself, is your liberty worth sacrificing for this unconstitutional security?
[00:19:10.034 --> 00:19:12.195]  Dan Badondi for the InfoWars Nightly News.
[00:19:18.652 --> 00:19:23.054]  France launches major investigation into GMOs following tumor study.
[00:19:23.154 --> 00:19:26.876]  This is Anthony Gucciardi out of NaturalSociety.com.
[00:19:27.296 --> 00:19:40.083]  Following the release of a peer-reviewed piece of research linking the consumption of Monsanto's Roundup containing GMO crops to tumors and organ damage, the French government is now calling for a health agency investigation.
[00:19:40.663 --> 00:19:52.268]  Seeking to analyze the research and potentially ask European authorities to protect human health and abandon the use of GMO crops, France's Agriculture Minister and others are now sounding the alarm.
[00:19:53.528 --> 00:20:07.114]  And the interesting thing, of course, we've been covering this study for the past couple of days, is the fact that it's the first of its kind to monitor the effect of GMO crops on rats throughout the whole lifespan of the rats.
[00:20:08.342 --> 00:20:29.277]  So it took four months in this study for the tumors and the cancers to be noted to appear in the rats, which is interesting because all the previous studies that Monsanto has pointed to as evidence that GMO was safe only monitored the effect of these same crops on rats up to 90 days.
[00:20:30.098 --> 00:20:36.483]  So the very first study that goes beyond that 90 day period, which Monsanto kept pointing towards saying it's safe,
[00:20:38.559 --> 00:20:44.017]  ...is the first study to give us damning evidence of the fact that genetically engineered food kills.
[00:20:45.014 --> 00:20:54.299]  And it's evidence that eviscerates all these claims by Monsanto that it's supposedly safe, because they were all based on the previous 90-day rule, whereas this goes beyond it.
[00:20:54.799 --> 00:20:58.721]  And beyond that 90-day point is when the tumors appeared in the rats.
[00:20:59.261 --> 00:21:01.823]  So now France is launching this new investigation.
[00:21:02.283 --> 00:21:07.025]  Of course, they just decided to maintain the ban on a different type of Monsanto GMO maize.
[00:21:07.726 --> 00:21:10.227]  And basically, Monsanto's getting its
[00:21:10.367 --> 00:21:18.954]  It's been butt-kicked all over Europe, it's been strangled out of the European marketplace, and it's a massive victory for health freedom.
[00:21:19.675 --> 00:21:33.067]  The problem is that Monsanto is so dominant in America, thanks in part to the Obama administration who made sure that all the former Monsanto executives got cushy, influential posts within the FDA,
[00:21:34.497 --> 00:21:41.320]  But the problem is that the GMO feed is still being exported from America to Europe and other countries around the world.
[00:21:41.380 --> 00:21:44.702]  It's being eaten by the livestock and then obviously passed on to humans.
[00:21:45.302 --> 00:21:53.386]  So that's why Prop 37, which we've covered before on InfoWars Nightly News, in California is more important than ever.
[00:21:53.426 --> 00:22:02.051]  This, of course, is the effort to force GMO companies, notably Monsanto, to label GMO food.
[00:22:03.274 --> 00:22:09.558]  And it really represents a pretty huge nail in the coffin of Monsanto's business model going forward.
[00:22:09.598 --> 00:22:13.900]  If this gets passed, then basically it could be the start of them going out of business.
[00:22:14.340 --> 00:22:19.543]  Because once people know about the trash that's in their food, then they're going to stop buying it eventually.
[00:22:20.464 --> 00:22:25.607]  So again, it's positive news on the health front and we really need to celebrate these victories when they do happen.
[00:22:25.627 --> 00:22:29.369]  Of course, in Europe also earlier this week we had
[00:22:30.189 --> 00:22:35.814]  Naked x-ray body scanners being banned throughout Europe as dangerous to health.
[00:22:36.055 --> 00:22:37.356]  That was a major victory.
[00:22:38.217 --> 00:22:42.601]  And now Monsanto, also in Europe, is very much on the ropes and we're winning.
[00:22:43.602 --> 00:22:52.971]  And on the subject of Prop 37 in California, here's Dennis Kucinich explaining why it is so important during a speech he gave in front of Congress.
[00:22:54.193 --> 00:23:02.256]  In 1992, the Food and Drug Administration decided that genetically modified organisms were the functional equivalent of conventional foods.
[00:23:03.036 --> 00:23:11.099]  They arrived at this decision without testing GMOs for allergenicity, toxicity, antibiotic resistance, and functional characteristics.
[00:23:11.639 --> 00:23:19.181]  As a result, hundreds of millions of acres of GMO crops were planted in America without the knowledge or consent of the American people.
[00:23:19.261 --> 00:23:21.782]  No safety testing, no long-term health studies,
[00:23:22.242 --> 00:23:27.047]  The FDA has received over a million comments from citizens demanding labeling of GMOs.
[00:23:28.288 --> 00:23:29.289]  90% of Americans agree.
[00:23:29.769 --> 00:23:30.870]  So why no labeling?
[00:23:30.910 --> 00:23:31.951]  I'll give you one reason.
[00:23:32.492 --> 00:23:36.916]  The influence and the corruption of the political process by Monsanto.
[00:23:37.356 --> 00:23:40.359]  Monsanto has been a prime mover in GMO technology.
[00:23:40.699 --> 00:23:44.883]  A multi-million dollar GMO lobby here and a major political contributor.
[00:23:45.263 --> 00:23:51.570]  There is a chance that Monsanto's grip will be broken in California, where a GMO labeling initiative is on the ballot.
[00:23:51.971 --> 00:23:56.436]  And here in Congress, my legislation, H.R.
[00:23:56.456 --> 00:23:59.459]  3553, will provide for a national labeling bill.
[00:23:59.900 --> 00:24:03.664]  Americans have a right to know if their food is genetically engineered.
[00:24:04.085 --> 00:24:05.807]  It's time for labeling.
[00:24:08.996 --> 00:24:14.439]  China vs Japan, Shooting War, Economic War or War of Words?
[00:24:15.059 --> 00:24:17.200]  This is out of the George Washington blog.
[00:24:17.440 --> 00:24:26.125]  The conflict between China and Japan over a small chain of disputed islands called Senkaku by Japan and Daiyu by China is fluid.
[00:24:26.425 --> 00:24:29.307]  Here are some of the key recent events in this dispute.
[00:24:30.127 --> 00:24:37.797]  Japan's ambassador to China died mysteriously and China's police used tear gas and water cannons on anti-Japan protesters.
[00:24:38.378 --> 00:24:46.968]  A senior advisor to the Chinese government has called for an attack on the Japanese bond market to precipitate a funding crisis and bring the country to its knees.
[00:24:48.251 --> 00:24:53.873]  And then, of course, we had the Chinese hackers launching the hack attacks on Japanese government websites.
[00:24:54.393 --> 00:25:02.475]  We had the US Secretary of Defense, Leon Panetta, saying that the conflict could represent a drift towards war.
[00:25:03.015 --> 00:25:10.358]  We had the top Chinese military general ordering his forces to, quote, prepare for combat.
[00:25:11.358 --> 00:25:14.539]  So, massive escalation in tensions over the past week.
[00:25:15.399 --> 00:25:22.944]  And if you want a general overview of what's behind this China-Japan conflict, this is an excellent article to use as a starting point.
[00:25:23.804 --> 00:25:25.686]  And basically what it boils down to is this.
[00:25:26.860 --> 00:25:29.482]  China and Japan hate each other.
[00:25:29.763 --> 00:25:31.404]  Their citizens hate each other.
[00:25:31.684 --> 00:25:38.510]  They have for the past, you know, hundred years or whatever, major massacres carried out by Japan in China.
[00:25:38.570 --> 00:25:41.913]  Notably the Nanjing Massacre killed 300,000 people.
[00:25:42.333 --> 00:25:43.374]  They hate each other's guts.
[00:25:43.414 --> 00:25:44.075]  They always have done.
[00:25:44.816 --> 00:25:51.501]  But both governments exploit this hatred amongst their population for their own political ends on a regular basis.
[00:25:52.242 --> 00:26:16.979]  And it appears as though a lot of these anti-Japanese protests in China, you know, torching cars, Japanese-made cars, attacking Japanese restaurants, which are owned by Chinese people, that shows you how stupid these Mao placard-carrying demonstrators are, actually attacking businesses that are owned by Chinese people, just because it's like a Japanese sushi restaurant.
[00:26:17.907 --> 00:26:25.407]  The fact is, a lot of these riots have been directly provocateurd and funded by the Chinese Communist Party.
[00:26:26.363 --> 00:26:33.304]  You've had whole groups of people who've been bussed in from Beijing to other cities to riot and cause all this havoc.
[00:26:33.944 --> 00:26:37.425]  China's basically putting on a show of posturing.
[00:26:38.065 --> 00:26:46.887]  I don't think for a second that it's ever likely to go to war over these tiny islands, certainly on China's behalf and also Japan.
[00:26:47.387 --> 00:26:53.868]  But what it is doing, it's testing the resolve of the United States alliance with Japan for future reference.
[00:26:54.741 --> 00:26:56.741]  I mean, China's holding all the cards here.
[00:26:56.761 --> 00:27:01.282]  They can crash the Japanese economy on a whim, as they've threatened to do this week.
[00:27:01.302 --> 00:27:02.762]  They can crash the US dollar.
[00:27:04.143 --> 00:27:23.046]  So the fact that these riots in China are being funded and organized by the Chinese government itself, in many cases, shows you that the communists are putting on a kind of geopolitical stage show and firing a warning shot diplomatically both to Japan and the United States.
[00:27:23.846 --> 00:27:43.219]  So while this situation, the immediate situation, will probably, you know, peter out in the next few weeks, it will be looked back on in the future as one of the opening salvos of what seems inevitable in a decade or two, which is what many people talked about for years, the direct military confrontation between the US and China.
[00:27:43.559 --> 00:27:53.226]  Because remember, the US military-industrial complex considers the economic rivalry of the BRIC nations, Brazil, Russia, India, China,
[00:27:54.267 --> 00:27:59.352]  As itself an act of economic warfare and military warfare.
[00:27:59.953 --> 00:28:11.985]  So while this may continue to simmer locally with these islands over the short term, long term it's going to explode into a huge regional war because of the neocons, the PNAC people.
[00:28:12.546 --> 00:28:17.687]  The US military-industrial complex will not tolerate China dominating the world.
[00:28:17.727 --> 00:28:22.909]  And they've already said in their own documents that they're willing to go to war to prevent that from happening.
[00:28:23.229 --> 00:28:32.291]  So this is just the first conflagration of a major regional war that's set to take place, probably in the mid-term future, unfortunately.
[00:28:32.591 --> 00:28:35.532]  But for the moment, expect this island dispute to peter out.
[00:28:36.755 --> 00:28:37.935]  Moving on now to the Middle East.
[00:28:38.936 --> 00:28:39.436]  Report!
[00:28:39.596 --> 00:28:43.617]  Never an anti-American protest in Benghazi, only a planned attack.
[00:28:43.637 --> 00:28:44.937]  This is out of the weekly standard.
[00:28:45.377 --> 00:28:52.299]  CBS reports this morning that witnesses are saying that there was never an anti-American protest outside the consulate in Benghazi, Libya.
[00:28:52.699 --> 00:28:55.560]  Instead they say it came under planned attack.
[00:28:56.280 --> 00:29:00.246]  That is in direct contradiction to the administration's account of the incident.
[00:29:00.626 --> 00:29:07.275]  What's clear, the CBS reporter concludes, is that the public won't get a detailed account of what happened until after the election.
