[00:00:21.118 --> 00:00:25.500]  Welcome to InfoWars Nightly News, this Monday, January 16th edition of 2012.
[00:05:33.910 --> 00:05:38.753]  We also have a video clip of Ron Paul's address that covers this very issue.
[00:05:38.773 --> 00:05:39.374]  Let's go to that.
[00:05:40.134 --> 00:05:50.416]  Last week, the Supreme Court heard arguments in Sackett v. EPA, a case of blatant federal agency overreach and abuse of private property rights.
[00:05:51.876 --> 00:06:00.678]  Without any proof or reason, and no chance for appeal, the EPA determined that a small, single-home lot was a protected wetland.
[00:06:01.518 --> 00:06:06.959]  The owners, Mike and Chantelle Sackett, were ordered to haul construction already underway
[00:06:07.543 --> 00:06:08.143]  We're good to go!
[00:06:33.001 --> 00:06:39.224]  Outraged, the Sackets sought relief through the courts, but court after court determined that they had no standing.
[00:06:40.225 --> 00:06:46.788]  The actions of the EPA were not subject to judicial review until a mountain of fees had already been assessed.
[00:06:47.509 --> 00:07:01.356]  This is just another example, not only of how federal agencies wield enormous power over the average citizens, but also how little practical protection our courts provide when such citizens are harmed by those agencies.
[00:07:02.512 --> 00:07:09.374]  Constitutionally, when the government determines private property is needed for public use, it is taken through eminent domain.
[00:07:10.194 --> 00:07:16.175]  In that process, the owner is due fair market value in compensation for their condemned property.
[00:07:17.035 --> 00:07:28.398]  The EPA not only refuses to compensate the Sacketts for effectively taking their land, they are assessing, or threatening to assess, ruinous penalties that greatly exceed the value of the land.
[00:07:29.369 --> 00:07:39.758]  They arrogantly claim the power to determine how certain property owners can use their land while assessing fees or ordering actions that must be undertaken at the property's owner's expense.
[00:07:41.199 --> 00:07:45.062]  All of this is done at the administrative level with no judicial oversight.
[00:07:45.363 --> 00:07:50.147]  In short, the EPA does not believe the Constitution applies to them.
[00:07:52.355 --> 00:08:00.002]  One of the the key statements from Ron Paul there that you just heard is that this has been done at the administrative level with no judicial oversight.
[00:08:00.642 --> 00:08:07.489]  This is the rise of tyranny that attorney Jonathan Emord warned us about in his book by that name, The Rise of Tyranny.
[00:08:08.209 --> 00:08:22.457]  He warned that all of these agencies, the EPA, the FTC, the DEA, the FDA, DHS, of course, they have all become their own tyrannical kingdoms, not subject to legal review, not subject to any of the courts.
[00:08:22.818 --> 00:08:30.902]  They simply invent their own law, they implement it in any way they want, and they have become little fiefdom tyrannies in America.
[00:08:30.922 --> 00:08:33.484]  And that's what we're seeing now waged against
[00:08:34.184 --> 00:08:36.827]  The innocent landowners in this case.
[00:08:36.847 --> 00:08:37.387]  I mean, think about it.
[00:08:37.407 --> 00:08:38.468]  They just bought a lot.
[00:08:38.929 --> 00:08:39.870]  They want to build on it.
[00:08:40.230 --> 00:08:44.374]  And now they have to go through all this crazy hoop-jumping by the EPA.
[00:08:44.715 --> 00:08:45.756]  And they still can't build on it.
[00:08:45.816 --> 00:08:49.860]  And it could cost them more than the lot is worth just to pay the fines to the EPA.
[00:08:51.121 --> 00:08:55.542]  I'm so glad Ron Paul helps bring some common sense to the forefront on that issue.
[00:08:56.203 --> 00:09:06.946]  Now on another issue that might seem a little bit outlandish, we have radioactive products have made their way into the United States and were distributed to retail stores, bed, bath and beyond.
[00:09:07.586 --> 00:09:14.348]  In 20 different states, in fact, have been found to be selling radioactive metallic tissue holders.
[00:09:15.422 --> 00:09:20.728]  These products are made with Cobalt-60, a highly radioactive substance.
[00:09:20.788 --> 00:09:24.252]  It's actually used in radiotherapy devices.
[00:09:24.312 --> 00:09:26.935]  Yeah, they actually fry cancer tumors to death.
[00:09:27.716 --> 00:09:34.063]  They emit gamma radiation using medical devices and other types of devices, some military devices as well.
[00:09:35.504 --> 00:09:38.306]  How much radiation do these tissue holders emit?
[00:09:38.866 --> 00:09:49.132]  The Nuclear Regulatory Commission spokesperson David McIntyre said that standing next to one of these for 30 minutes a day would expose you to the equivalent of a couple of chest x-rays a year.
[00:09:50.239 --> 00:09:51.880]  Well, what happens if you sleep next to one?
[00:09:51.900 --> 00:10:02.267]  If you have one on the bed stand by the bed, and you're sleeping next to it for 10 hours a night, you're going to get the equivalent of potentially a hundred or a couple of hundred chest x-rays a year.
[00:10:03.128 --> 00:10:13.695]  And interestingly, the mainstream media, well, the corporate run hoax media, we should say, has said there is no danger for possessing one of these devices, but they failed to say
[00:10:14.315 --> 00:10:21.343]  That if you are caught with one of these devices, you could be arrested, detained, prosecuted, and interrogated under both the U.S.
[00:10:21.383 --> 00:10:28.151]  Patriot Act for having a weapon of mass destruction, as well as the NDAA recently signed by Obama.
[00:10:28.191 --> 00:10:30.273]  Yeah, you have materials to make a dirty bomb.
[00:10:30.874 --> 00:10:33.296]  And you bought it at Bed Bath and Beyond.
[00:10:33.376 --> 00:10:39.822]  In fact, you could get arrested by the TSA at a roadside checkpoint just trying to return the product and get your money back.
[00:10:40.263 --> 00:10:45.828]  And if you bury it in the yard, well, the EPA comes in and seizes your entire property and says you can't build anything on it.
[00:10:46.168 --> 00:10:47.889]  So what do you do?
[00:10:48.050 --> 00:10:53.454]  You're now stuck as a victim in a police state society that's selling you radioactive products
[00:10:54.275 --> 00:10:57.678]  And then accusing you for having the random bad luck to get cancer.
[00:10:58.739 --> 00:10:59.680]  It's a crazy world, yeah.
[00:11:00.140 --> 00:11:02.703]  Speaking of cancer, moving on to thyroid cancer.
[00:11:03.740 --> 00:11:10.986]  Doctors are now scratching their heads and wondering why thyroid cancer cases are on the rise in America.
[00:11:11.326 --> 00:11:14.949]  Thyroid cancer has been skyrocketing faster than any other form of cancer.
[00:11:15.509 --> 00:11:21.774]  The National Cancer Institute has statistics that suggest the number of cases has increased by about 6.5 percent.
[00:11:22.094 --> 00:11:27.959]  I believe that's an annual number over a decade that has added up to making thyroid cancer the fastest increasing cancer.
[00:11:29.079 --> 00:11:38.689]  We have thyroid cancer specialists who say, or one woman says, ten years ago, if I saw four new thyroid cancer patients a year, that would have been a lot.
[00:11:39.030 --> 00:11:46.057]  That's from G. Irene Minor, a radiation oncologist with Indiana University Health's Central Indiana Cancer Center.
[00:11:46.938 --> 00:11:50.542]  Now, she says, sometimes I see that many in a month, and I have seen three.
[00:11:51.523 --> 00:11:52.324]  In a week.
[00:11:52.965 --> 00:11:56.009]  What makes you wonder what's going on with all of the cancer?
[00:11:56.289 --> 00:11:56.950]  What's behind it?
[00:11:56.990 --> 00:11:57.751]  What are the causes?
[00:11:58.392 --> 00:12:05.260]  Well, USA Today reports that obesity, radiation exposure, and diets low in fruits and vegetables are 3 potential culprits.
[00:12:06.155 --> 00:12:07.696]  And they're quoting a man named Huntley there.
[00:12:07.996 --> 00:12:09.897]  You notice they don't say Fukushima?
[00:12:10.417 --> 00:12:17.781]  You notice they don't say radiation from nuclear accidents blowing over into North America, dropping onto your soils and getting into your food?
[00:12:18.341 --> 00:12:22.823]  You notice they don't mention the radioactive products that you might be purchasing from bed, bath and beyond?
[00:12:23.404 --> 00:12:23.724]  No!
[00:12:24.104 --> 00:12:26.085]  You're not eating enough fruits and vegetables!
[00:12:26.525 --> 00:12:27.546]  That's their only answer!
[00:12:28.326 --> 00:12:34.988]  It's quite remarkable, but this is just another example of how the corporate-run media downplays real dangers.
[00:12:35.328 --> 00:12:49.892]  Radiation is a real danger to your health, while exaggerating fake imaginary dangers like the War on Terror, which is mostly just engineered and fabricated, as you well know, as a regular viewer of InfoWars Nightly News.
[00:12:50.552 --> 00:12:52.973]  Now, we have more news for you here tonight.
[00:12:53.593 --> 00:12:54.934]  The LA Times is reporting
[00:12:56.044 --> 00:13:06.199]  The TSA, speaking of radiation, the TSA plans now, after so much pressure on it, to test the machines and test the workers there at the airports.
[00:13:06.700 --> 00:13:11.947]  The TSA says it's going to test its airport scanner operators for radiation exposure.
[00:13:12.668 --> 00:13:13.289]  That's right.
[00:13:13.549 --> 00:13:19.733]  After years of rebuffing health concerns over airport scanners, they say they plan to conduct new tests.
[00:13:20.374 --> 00:13:22.696]  Well, hey, they can say they plan to do anything.
[00:13:23.016 --> 00:13:30.502]  They said they plan to stop molesting your grandma and removing her colostomy bag while she was sitting in her wheelchair trying to get through airport security.
[00:13:31.082 --> 00:13:32.363]  But did they stop doing that?
[00:13:32.383 --> 00:13:32.423]  No.
[00:13:33.584 --> 00:13:38.867]  They said they would stop molesting little children and searching for poop bombs in their diapers, but did they stop doing that?
[00:13:39.367 --> 00:13:40.027]  No, they didn't.
[00:13:40.368 --> 00:13:41.788]  They can say anything they want.
[00:13:42.069 --> 00:13:47.832]  If there's anything that we've learned in the last couple of years, it's that the TSA lies to you every chance they get.
[00:13:48.412 --> 00:13:52.354]  And they're lying to their own employees by saying, oh, it's a safe work environment.
[00:13:52.814 --> 00:13:54.095]  Whoa, your hair is glowing?
[00:13:54.115 --> 00:13:55.316]  Your thyroid has cancer?
[00:13:55.656 --> 00:13:57.597]  Don't worry, it's a safe work environment.
[00:13:58.177 --> 00:14:13.100]  But if they do follow through with this promise, they're going to have their workers wearing dosimeters so they can actually monitor the amount of radiation they get and see just how badly they're being fried from the radiation-emitting security devices that they have you and I walk through.
[00:14:13.700 --> 00:14:22.702]  And they continue to lie, by the way, to say that these have been certified as safe by the NIST, even though the NIST has publicly said that is not true.
[00:14:23.162 --> 00:14:23.902]  Just another lie.
[00:14:24.582 --> 00:14:26.163]  From the TSA.
[00:14:26.203 --> 00:14:37.907]  Now we have another article on InfoWars.com by Paul Joseph Watson, breaking down the health effects of these radiation devices, the naked body scanners being used by the TSA.
[00:14:39.027 --> 00:14:44.729]  And this story is entitled, TSA to Test Body Scanner Operators for Radiation Exposure.
[00:14:45.169 --> 00:14:53.712]  It cites numerous studies from John Hopkins, Columbia University, the University of California, and the Interagency Committee on Radiation Safety.
[00:14:54.452 --> 00:15:02.120]  It says that a cluster of cancer cases has now been detected among TSA workers, and you can find more about that story at Infowars.com.
[00:15:02.140 --> 00:15:06.925]  There's another story, also by Paul Joseph Watson, published at Infowars.com.
[00:15:07.185 --> 00:15:12.891]  Cancer surges in body scanner operators, and the TSA launches a cover-up.
[00:15:13.372 --> 00:15:17.276]  Well, what more would you expect from the TSA than a cover-up?
[00:15:17.856 --> 00:15:27.241]  Fearful of provoking further public resistance to naked airport body scanners, the TSA has been caught covering up a surge of cases in TSA workers developing cancer.
[00:15:27.682 --> 00:15:33.525]  The story reports, and you can read more about that story by Paul Watson right there on InfoWars.com.
[00:15:33.925 --> 00:15:38.868]  Never a day goes by that we aren't entertained by the TSA's lies.
[00:15:39.368 --> 00:15:44.832]  There's always something, it's usually involving elderly women or diapers or radiation.
[00:15:46.072 --> 00:15:51.416]  It's like a bad Beavis and Butthead episode run by the federal government or something.
[00:15:51.436 --> 00:15:52.997]  I'm not sure how they get to all that.
[00:15:54.118 --> 00:15:59.102]  Moving on, dead on arrival, SOPA is now shelved.
[00:15:59.442 --> 00:16:01.103]  And we don't know if it's permanently shelved or not.
[00:16:01.683 --> 00:16:02.164]  That's right.
[00:16:03.044 --> 00:16:14.633]  This is the Online Intellectual Property Act, SOPA, the anti-piracy act, I should say, that said it was going to stop piracy, but in fact was just a government censorship bill to try to take down websites
[00:16:15.253 --> 00:16:17.775]  Publishing information that the government did not like.
[00:16:18.435 --> 00:16:22.057]  And here's a quote from shtfplan.com.
[00:16:22.537 --> 00:16:39.488]  While this bill of goods was being sold to the American public as a way to reduce online piracy, in essence, the legislation would have made it possible for any organization to target websites using excerpts, quotes, and videos without express permission of the authors or producers of such content.
[00:16:40.268 --> 00:16:43.730]  So, dead on arrival now, SOPA shelved indefinitely.
[00:16:43.810 --> 00:16:46.911]  Believe it or not, the White House has now come out against it.
[00:16:47.451 --> 00:16:53.314]  Although, don't forget, Obama said he wasn't going to sign the NDAA, and yet he did.
[00:16:53.994 --> 00:16:56.875]  So, Obama, he can say anything he wants.
[00:16:57.215 --> 00:16:58.436]  He can say he's against it.
[00:16:58.696 --> 00:17:04.699]  He can be just like the TSA and lie to your face, and at the end of the day, he may end up signing it anyway.
[00:17:05.359 --> 00:17:06.921]  That is a tactic they're now using.
[00:17:07.301 --> 00:17:16.551]  Well, hey, every White House has been using that tactic for a long time to get bills passed, even though they know the bills are offensive to freedom-minded individuals.
[00:17:16.931 --> 00:17:21.957]  And there are a great many of those still remaining here in the great United States of America.
[00:17:22.017 --> 00:17:22.817]  Thank goodness for that.
[00:17:23.899 --> 00:17:24.980]  And thank you for watching, by the way.
[00:17:25.400 --> 00:17:27.502]  Now, if you consider yourself an American citizen,
[00:17:28.171 --> 00:17:36.688]  And you've been watching the entire debate about the NDAA, you may have come to the realization that, hey, as long as I'm an American citizen, I've got my Bill of Rights, right?
[00:17:37.674 --> 00:17:54.499]  Well, what if they could strip you of your citizenship, then they could arrest you, detain you, interrogate you, assassinate you, put you in Gitmo or some other secret military prison and do basically anything they wanted to you, strip you of your due process rights, deny you a lawyer and do anything they want to you without ever charging you with a crime.
[00:17:54.979 --> 00:17:59.220]  This is what is now possible under the new Enemy Expatriation Act.
[00:18:00.060 --> 00:18:00.961]  This is H.R.
[00:18:01.041 --> 00:18:05.363]  Bill 3166, with an accompanying Senate Bill 1698.
[00:18:06.084 --> 00:18:10.186]  And Alex Jones had something to say about this.
[00:18:10.386 --> 00:18:23.634]  As you might imagine, he said, the Enemy Expatriation Act is similar to the Nazi faction's Nuremberg Laws, where Adolf Hitler took away German citizenship based on race, blood types, and those against the Hitler regime.
[00:18:24.608 --> 00:18:38.727]  Now what's important to note about this is that, oh wait a minute, here's a quote from the Story Digital Journal, whether American citizens who are guaranteed due process of law by their Bill of Rights were included in the authority of the NDAA was not made absolutely clear.
[00:18:39.688 --> 00:18:40.869]  Here's why this matters.
[00:18:40.929 --> 00:18:49.112]  You see, when this bill, the Enemy Expatriation Act, is combined with the NDAA, then you have a two-pronged assault on your liberty.
[00:18:49.572 --> 00:18:56.235]  You see, Obama was explaining, well, the NDAA doesn't necessarily, it's not really going to be implemented against American citizens.
[00:18:56.515 --> 00:19:06.039]  But then they could say, well, if you support terrorism, or if you're working in opposition to the United States of America, which means the current government,
[00:19:06.619 --> 00:19:13.921]  Then they could first strip you of your citizenship and then nail you under NDAA because you're no longer an American citizen with Bill of Rights Protection.
[00:19:14.201 --> 00:19:14.981]  You see how that works?
[00:19:15.541 --> 00:19:22.942]  It's almost like good cop, bad cop, but it's two bad cops working in conspiracy to strip you of your freedoms.
[00:19:23.643 --> 00:19:26.063]  We have another quote, we already covered that quote there.
[00:19:26.623 --> 00:19:35.065]  Anyway, the good news is that SOPA is now being shelved and I want to give a big shout out to all those out there who worked to help stop this bill.
[00:19:36.252 --> 00:19:55.153]  Including, I forgot the man's name, who is an InfoWars listener who started the boycott of GoDaddy, which was very, very effective, and in fact, we have many other websites that were planning a day to go dark because of SOPA, and believe it or not, Natural News was planning on doing that too.
[00:19:55.173 --> 00:19:56.614]  We were going to go dark on Wednesday, guys.
[00:19:57.595 --> 00:19:58.737]  Now I'm not sure if we're going to do that.
[00:19:59.337 --> 00:20:04.704]  But in any case, this is another example of liberty-minded people standing up for their rights and stopping a very bad bill.
[00:20:05.004 --> 00:20:13.173]  But remember, you must have eternal vigilance because the powers that be will try to bring this back again and again in different forms with different bills.
[00:20:14.278 --> 00:20:16.419]  Now we have some more health news for you tonight.
[00:20:16.519 --> 00:20:21.201]  A totally drug-resistant form of tuberculosis has now been reported in India.
[00:20:22.041 --> 00:20:25.083]  Yeah, really drug-resistant and it's extremely fatal too.
[00:20:25.603 --> 00:20:28.364]  So far a 25% fatality rate.
[00:20:29.144 --> 00:20:29.985]  How big is that rate?
[00:20:30.025 --> 00:20:33.586]  Well, remember the swine flu from a couple years ago that they were scaring us about?
[00:20:33.966 --> 00:20:37.028]  That only had a fatality rate of something like 1% or even less.
[00:20:37.688 --> 00:20:40.009]  Well, this is reported in the New York Daily News.
[00:20:41.297 --> 00:20:50.644]  That now 12 have been infected with this completely drug-resistant strain of TB, 3 have already died, and 9 are clinging to life in India.
[00:20:51.025 --> 00:21:00.172]  This is, of course, the result of the widespread abuse of antibiotics, and it means that conventional medicine has absolutely no way to help these people.
[00:21:01.209 --> 00:21:08.612]  It also means that if this strain is somehow carried to the United States, that hospitals will become death zones.
[00:21:09.112 --> 00:21:10.093]  It's not an exaggeration.
[00:21:10.773 --> 00:21:20.137]  Hospitals are already infected with almost epidemic levels of superbugs, and a superbug drug-resistant form of TB could just be added to that.
[00:21:20.517 --> 00:21:23.018]  Hey, it's another reason to keep your vitamin D levels up, folks.
[00:21:23.598 --> 00:21:29.021]  Get into some good nutrition and take care of your health, because TB is getting worse around the planet.
[00:21:30.203 --> 00:21:35.265]  Speaking of health news, let's combine some health with some surveillance in our public schools, shall we?
[00:21:35.805 --> 00:21:41.748]  Yeah, schools in, I believe in New York, Long Island students are now going to be spied on by school officials.
[00:21:42.328 --> 00:21:45.209]  And have the kids wearing these electronic tracking bracelets.
[00:21:45.630 --> 00:21:48.311]  Yeah, it tracks their expenditure of calories.
[00:21:48.971 --> 00:21:49.431]  We're good to go.
[00:22:05.465 --> 00:22:09.287]  And given to insurance companies that then raise the health insurance rates for that family.
[00:22:09.767 --> 00:22:16.330]  Could it be used to diagnose these children with psychiatric disorders and then drug them with brain-altering, psychotropic drugs?
[00:22:16.691 --> 00:22:29.377]  We don't know the answers to that, but we do know that this is being done without parental consent, and it's yet another example of the runaway police state public education system spying on kids and not telling parents
[00:22:30.137 --> 00:22:30.758]  While they're doing it.
[00:22:31.398 --> 00:22:43.867]  Kind of reminds me of the whole vaccine situation in California, you know, where Governor Jerry Brown said, well, you know, now our school children can give permission and consent to be injected with HPV vaccines and the parents don't even have to know about it.
[00:22:44.308 --> 00:22:46.750]  Let's just let it be our little secret, shall we?
[00:22:46.770 --> 00:22:50.833]  Oh, now we'll track the kids and inject them with vaccines and put them on psychiatric drugs.
[00:22:51.333 --> 00:22:54.916]  And then we'll get paid extra money by the state because we have problem students
[00:22:55.396 --> 00:22:57.698]  Which has extra compensation from taxpayer money.
[00:22:58.078 --> 00:23:02.242]  What a brilliant little scam to fund their little pathetic public school system.
[00:23:03.183 --> 00:23:08.527]  Alright, speaking of pathetic things, have you heard about that ship that capsized off the coast of Italy?
[00:23:09.168 --> 00:23:10.909]  Yeah, it went down like the Titanic!
[00:23:11.630 --> 00:23:18.734]  Listed to one side, and over 4,000 people were on that ship, and most of them managed to get off, but not all of them.
[00:23:18.754 --> 00:23:21.756]  There were fatalities in this, so I don't mean to make light of the fatalities.
[00:23:21.796 --> 00:23:32.403]  That is a tragedy, but it is pathetic that the captain was observed in the bar drinking a beer right before... at least that's what I read in the news report.
[00:23:32.923 --> 00:23:33.503]  But check this out.
[00:23:33.523 --> 00:23:40.568]  The reason I bring this up, and the reason this is relevant to you, is because this is a little metaphor for what's going on in our world today.
[00:23:41.741 --> 00:23:47.405]  Take a look at what some of the passengers said when this ship struck the rock and started to sink.
[00:23:48.146 --> 00:23:54.210]  They said, quote, the lights went off and then came back on again and then everyone just started scrambling over each other.
[00:23:55.631 --> 00:23:56.012]  I'm sorry.
[00:23:56.372 --> 00:23:57.953]  We were sitting at our dinner table.
[00:23:58.514 --> 00:23:59.354]  That quote's coming up.
[00:23:59.394 --> 00:24:01.576]  There's plenty of chaos to go around.
[00:24:01.856 --> 00:24:05.799]  We were sitting at our dinner table when there was a loud bang and things just flew off the table.
[00:24:06.079 --> 00:24:10.422]  The lights went off and then came back on again and then everyone just started scrambling
[00:24:11.363 --> 00:24:13.764]  Over each other to try to get a life vest or to the lifeboats.
[00:24:14.044 --> 00:24:17.706]  People were trampling over each other and the children in the chaos.
[00:24:17.966 --> 00:24:19.267]  We couldn't believe our eyes.
[00:24:19.727 --> 00:24:20.467]  That's the next quote.
[00:24:20.827 --> 00:24:21.928]  It was just utter chaos.
[00:24:21.988 --> 00:24:25.029]  People were rushing about and pushing each other in a panic.
[00:24:25.409 --> 00:24:27.770]  Children were crying and no one seemed to know what was happening.
[00:24:27.810 --> 00:24:31.132]  We got into a lifeboat and so on and so forth.
[00:24:31.152 --> 00:24:33.913]  That's actual testimony from people on the scene.
[00:24:33.953 --> 00:24:37.995]  Now the reason this is important is because, you see, think about when you're on a cruise boat.
[00:24:38.835 --> 00:24:42.179]  It's kind of an artificial reality and an artificial economy.
[00:24:42.660 --> 00:24:44.983]  All the food is provided for you, usually all you can eat.
[00:24:45.383 --> 00:24:52.192]  You have your artificial credit card to use on the ship, and the ports that you enter are all artificially made up for tourists.
[00:24:52.552 --> 00:24:56.897]  You know, nice and clean ports all over the Caribbean and everywhere else around the world.
[00:24:58.049 --> 00:24:59.810]  You know, to impress the travelers.
[00:25:00.131 --> 00:25:01.451]  It's an artificial reality.
[00:25:01.832 --> 00:25:07.336]  But then, when the real world hits, oh, we struck a rock, people start to panic.
[00:25:07.956 --> 00:25:18.184]  And I think that this is what could be coming, maybe not just in 2012, but in the years beyond 2012, where a lot of people have been living in a false reality about our economy, about the U.S.
[00:25:18.224 --> 00:25:22.326]  dollar, about debt, about free money and government welfare systems.
[00:25:22.907 --> 00:25:26.730]  And they're going to be really shocked into a rude awakening about reality.
[00:25:27.330 --> 00:25:38.521]  When the real tyranny hits home, when the real crisis becomes apparent to them, they're going to be bailing out the exit doors, running for the lifeboats, and trampling all over each other to try to get food.
[00:25:39.422 --> 00:25:47.769]  Not trying to create a scare message here, just trying to say, you know, maybe we should look for the rocks, not run into things that sink our ship.
[00:25:48.470 --> 00:25:50.652]  And that's what Ron Paul is trying to warn us about!
[00:25:50.972 --> 00:25:53.134]  Let's not sink the national economy!
[00:25:53.514 --> 00:26:07.826]  Let's observe what's going on out there, do the sonar, do the radar, let's see what the threats might be that are in our way, and let's avoid them, or eliminate them, or solve the problems before they become a crisis, so we can keep our ship afloat!
[00:26:08.646 --> 00:26:12.770]  And that's why I support Ron Paul, and I'm sure that's why many of you do as well.
[00:26:13.871 --> 00:26:14.291]  But man...
[00:26:15.956 --> 00:26:19.277]  Yeah, Cruz is an artificial reality, just kind of like what we're living in today.
[00:26:20.097 --> 00:26:25.199]  Now, on to some news that is a little bit humorous and kind of sick, too.
[00:26:25.399 --> 00:26:28.640]  Actually, we have some men who have been arrested.
[00:26:29.420 --> 00:26:31.861]  You've heard the story about the goose that lays the golden egg?
[00:26:32.501 --> 00:26:36.362]  Well, these men in Korea were caught smuggling gold nuggets in their rectums.
[00:26:37.102 --> 00:26:41.825]  Yeah, they were trying to bring it into Japan to avoid the import taxes.
[00:26:42.605 --> 00:26:45.867]  Eight men were arrested by South Korean customs officials.
[00:26:46.247 --> 00:26:50.429]  They had a scheme to smuggle gold out of the country by hiding it in their rectums.
[00:26:50.509 --> 00:26:53.371]  Apparently they transformed $260,000 worth of gold bars into small beads.
[00:27:00.236 --> 00:27:03.697]  You know, use their own biology to try to get those out of the country.
