[00:00:40.170 --> 00:00:42.513]  Good evening and welcome to the InfoWars Nightly News.
[00:07:35.364 --> 00:07:40.491]  Thousands of scientific slits have been on this case for 15 years trying to determine why our honeybees are disappearing.
[00:07:41.212 --> 00:07:41.572]  I think?
[00:08:00.461 --> 00:08:05.906]  That is sprayed on acres of corn, wheat, and cotton seeds, and that seems to be the big problem.
[00:08:05.966 --> 00:08:24.023]  It goes in, they're called neonics, and they're absorbed by the plant's vascular system, contaminate the pollen and the nectar, and the bees encounter that on their rounds, and then it messes up their central nervous system, and it basically destroys their homing abilities, so they don't return to the hive with the food, the hive dies, colony collapses,
[00:08:24.984 --> 00:08:27.305]  And we're left with less bees than we had before.
[00:08:27.665 --> 00:08:34.048]  And scientists have been sounding the alarm here for a long time with this colony collapse disorder.
[00:08:34.068 --> 00:08:39.210]  So hopefully, people will get their heads out of their ears and figure this out.
[00:08:39.250 --> 00:08:45.653]  We'll stop spraying pesticides on every little thing we can touch and maybe go to more organic forms of growing.
[00:08:46.073 --> 00:08:48.874]  Honeybees have been likened to the canaries in the coal mine.
[00:08:49.274 --> 00:08:52.616]  Their vanishing is nature's way of telling us that conditions have deteriorated.
[00:08:53.496 --> 00:08:59.718]  In the world around us, bees won't survive for long if we don't change our commercial breeding practices and remove deadly toxins from the environment.
[00:09:00.299 --> 00:09:04.800]  A massive pollinator die-off would impair the world's food supplies and devastate ecosystems that depend on them.
[00:09:05.321 --> 00:09:10.323]  The loss of these creatures might rival climate change and its impact on life on Earth.
[00:09:10.383 --> 00:09:12.964]  Well, okay, maybe climate change.
[00:09:12.984 --> 00:09:14.424]  You know, the climate does change all along.
[00:09:14.444 --> 00:09:18.286]  They didn't say man-made climate change, so I'm more inclined to believe in that.
[00:09:18.866 --> 00:09:19.086]  But,
[00:09:21.087 --> 00:09:23.890]  I tell ya, we definitely do have to be looking out for these honey bees.
[00:09:23.910 --> 00:09:27.773]  I see them all the time when I'm out and they don't look good.
[00:09:28.233 --> 00:09:29.174]  They look very sick.
[00:09:30.395 --> 00:09:40.083]  Now I want to go from the bees dying to our children who are being baptized in this new Earth First death cult.
[00:09:41.985 --> 00:09:48.631]  Basically, we have these upper crust level educators, thinkers, scientists,
[00:09:49.966 --> 00:09:52.588]  Earth worshippers who think humans are bad.
[00:09:54.509 --> 00:10:01.053]  And their mission, instead of just doing away with themselves, and if humans are such a bad problem, go on off.
[00:10:01.834 --> 00:10:02.434]  Off yourself.
[00:10:03.174 --> 00:10:10.239]  No, they want to tell us that we're bad for the Earth and we basically need to die.
[00:10:10.599 --> 00:10:12.740]  They don't come out and say it like that every time though.
[00:10:12.760 --> 00:10:14.061]  They don't come out and say you need to die.
[00:10:14.101 --> 00:10:16.263]  They like to approach it from this
[00:10:17.583 --> 00:10:28.750]  Educational standpoint, wearing a blazer, with the elbow pads, talking in nice, gentle terms, and how it's overpopulation, and we've developed equations.
[00:10:29.791 --> 00:10:30.731]  So we're going to get into that.
[00:10:31.912 --> 00:10:33.813]  And there it is, Time Magazine, How to Die.
[00:10:33.974 --> 00:10:34.694]  Wow, look at that.
[00:10:34.754 --> 00:10:35.595]  Guys are on the ball.
[00:10:37.736 --> 00:10:46.742]  So it's all about training the young people to hate themselves, and to hate life, and to hate technology, and to hate success.
[00:10:48.183 --> 00:10:50.785]  And it's to get you in that mindset of wanting to be a slave.
[00:10:51.066 --> 00:10:54.789]  And we've got a great example of that that we're going to come up with and show you in a second.
[00:10:54.829 --> 00:10:57.271]  But first, I want to go to a clip of Al Gore.
[00:10:57.711 --> 00:11:05.078]  And this is from 2009, where he was talking to the kids, getting them prepared to become good little green police.
[00:11:05.098 --> 00:11:06.038]  Let's go to that clip.
[00:11:07.059 --> 00:11:15.967]  There are some things about our world that you know that older people don't.
[00:11:16.789 --> 00:11:27.275]  He goes on to say and equate that our generation told our parents that it was wrong to have segregation, which it is.
[00:11:28.076 --> 00:11:36.481]  And what he's trying to do later, because this is a climate change conference, he's trying to equate racism with
[00:11:36.974 --> 00:11:39.116]  This fake climate change agenda he's pushing.
[00:11:39.577 --> 00:11:48.207]  And that because you're smart and we're giving you privileged information on the inside, that now you know stuff your parents don't know.
[00:11:48.327 --> 00:11:49.508]  And we're going to see more of this.
[00:11:49.868 --> 00:11:53.953]  You need to tell your parents to stop driving, to change their light bulbs, to change their toilets.
[00:11:54.514 --> 00:11:56.836]  All this stuff happens and it slowly creeps through.
[00:11:57.990 --> 00:12:09.500]  Well, back in 2008, there was a TV network that told kids how long their carbon footprint should be to allow them to live.
[00:12:09.860 --> 00:12:11.181]  There's that full screen right there.
[00:12:11.201 --> 00:12:14.123]  And it was a video game, and it's got a little piggy on it.
[00:12:14.584 --> 00:12:16.445]  And it says, find out when you should die.
[00:12:16.465 --> 00:12:17.906]  And this is a little game for kids.
[00:12:18.467 --> 00:12:21.950]  So it goes on to say, how big of a greenhouse pig are you?
[00:12:22.650 --> 00:12:25.653]  Click on the question numbers across the top and select your answer for each one.
[00:12:26.192 --> 00:12:29.114]  The Australian average answer is indicated.
[00:12:29.414 --> 00:12:37.739]  With each answer, see how your CO2 production compares to the average Aussie greenhouse pig and the environmentally sustainable green pig.
[00:12:38.519 --> 00:12:45.584]  And when you're done, click on the skull and crossbones to find out what age you should die so you don't use more than your fair share of Earth's resources.
[00:12:46.264 --> 00:12:55.690]  So they're indoctrinating the little kids into this mindset of, oh, if you have a pool or if you have a big car, you're a greenhouse pig and therefore you should die.
[00:12:57.549 --> 00:13:00.331]  Well now, let's move into this week.
[00:13:00.951 --> 00:13:05.954]  Urien Bassan wrote an article titled, UC Professor Eyes Permanent Sterilant to Cull U.S.
[00:13:05.994 --> 00:13:06.654]  Population.
[00:13:07.955 --> 00:13:20.902]  And it goes on to talk about this University of California, Riverside professor, Richard Cardullo, was talking about Gossypol and the derivative used of it being a sterilant in the World Health Organization and all this other stuff.
[00:13:22.062 --> 00:13:23.063]  But what was interesting
[00:13:23.735 --> 00:13:27.357]  And I watched, not all the video, I skipped the first part of the question and answer.
[00:13:27.377 --> 00:13:28.517]  I'll watch a little bit of it.
[00:13:28.557 --> 00:13:36.461]  Basically, he got into science, he was into physics, and then he went to Harvard, one of these upper crust schools.
[00:13:36.501 --> 00:13:42.504]  And there he learned that humans were bad and he started studying basically the effects of reproduction and population.
[00:13:43.624 --> 00:13:50.027]  And so his job now is to go around and tell kids that the earth is overpopulated,
[00:13:50.885 --> 00:14:06.389]  And that steps need to be taken, and he puts it in terms that the kids can understand that if their generation is going to be part of the solution, then they need to just stop having children and start practicing birth control, and hell, maybe even get sterilized.
[00:14:07.310 --> 00:14:13.571]  So we're going to go to a few clips that I cut out of this over an hour presentation, and we're going to analyze each one.
[00:14:13.631 --> 00:14:15.372]  Each one is maybe about 20 seconds long.
[00:14:16.994 --> 00:14:19.439]  First one, he's going to talk about Thomas Malthus.
[00:14:19.760 --> 00:14:22.947]  And if you've listened to Tarpley, you've heard the term Malthusian.
[00:14:22.967 --> 00:14:24.670]  Well, this is where it comes from.
[00:14:24.710 --> 00:14:25.252]  Here's that clip.
[00:14:26.118 --> 00:14:40.982]  Robert Malthus was a very famous British economist and clergyman and he argued that the population would inevitably increase faster than the food supply unless it's kept in check by things like famine, disease and war.
[00:14:42.403 --> 00:14:53.926]  His ideas actually gained a lot of support and he actually wanted to use his arguments to limit food supplies so that we could control populations.
[00:14:55.515 --> 00:14:56.716]  Control populations.
[00:14:56.756 --> 00:14:57.816]  That's what it's all about.
[00:14:57.836 --> 00:15:04.999]  It's just, you know, we're going to limit the food supply so people starve, and that's how we're going to control population.
[00:15:05.560 --> 00:15:07.500]  Well, let's go to some quotes from Malthus.
[00:15:08.001 --> 00:15:09.641]  This first one's about the plague.
[00:15:10.122 --> 00:15:15.464]  Instead of recommending cleanliness to the poor, we should encourage contrary habits.
[00:15:15.944 --> 00:15:24.308]  In our towns, we should make the streets narrower, crowd more people into the houses, and court the return of the plague.
[00:15:25.322 --> 00:15:33.868]  In the country we should build our villages near stagnant pools and particularly encourage settlement in all marshy and unwholesome situations.
[00:15:33.908 --> 00:15:35.309]  There's Sir Thomas Malthus.
[00:15:35.769 --> 00:15:37.150]  That's what he thinks of humanity.
[00:15:37.170 --> 00:15:38.631]  A real smart man.
[00:15:38.971 --> 00:15:42.974]  By the way, the people he influenced were people like Charles Darwin and others like that.
[00:15:43.034 --> 00:15:46.776]  Basically the fathers, the grandfathers of the eugenics movement.
[00:15:47.217 --> 00:15:48.938]  Here's another quote from Malthus.
[00:15:50.365 --> 00:15:59.310]  All children who are born beyond what would be required to keep up the population to a desired level must necessarily perish unless room can be made for them by death of a grown person.
[00:15:59.710 --> 00:16:06.554]  We should facilitate instead of foolishly and vainly endeavoring to impede the operations of nature and producing this morality.
[00:16:06.574 --> 00:16:09.355]  That was from his essays on the principles of population.
[00:16:10.256 --> 00:16:11.557]  Here's another one from Malthus.
[00:16:13.137 --> 00:16:18.941]  The power of population is indefinitely greater than the power in the earth to produce sustenance for man.
[00:16:20.069 --> 00:16:32.577]  Well, since Malthus' time, we've proven that we could make our agricultural standards better, use irrigation techniques, use retention ponds, all kind of things.
[00:16:33.077 --> 00:16:35.359]  They grow crops out in Egypt now.
[00:16:35.559 --> 00:16:36.260]  And you know how they do it?
[00:16:36.580 --> 00:16:40.302]  They put black plastic down and they water them underneath the black plastic.
[00:16:40.502 --> 00:16:43.024]  And that keeps it basically humid underneath there.
[00:16:43.424 --> 00:16:44.065]  How do I know this?
[00:16:44.405 --> 00:16:47.707]  Well, one of my relatives is a farmer who went from Michigan
[00:16:48.308 --> 00:16:51.069]  All the way to Egypt to learn how they farm in the desert.
[00:16:52.029 --> 00:16:54.450]  And now he's grown his crops to greater levels.
[00:16:55.070 --> 00:17:03.113]  So, we have the technology and anytime the human race has come up to a problem, we can find ways around it.
[00:17:03.973 --> 00:17:08.075]  Usually we don't, we resort to war, but there's a lot of great things that we have created.
[00:17:09.102 --> 00:17:13.925]  And when pushed in the right directions, we can make these things happen for the betterment of man.
[00:17:14.305 --> 00:17:15.065]  Now let's move on.
[00:17:15.185 --> 00:17:20.188]  He also introduces the young middle schoolers to Paul and Ann Ehrlich.
[00:17:20.208 --> 00:17:21.688]  Let's see what he has to say about them.
[00:17:22.049 --> 00:17:25.270]  These are very famous people, especially in the 1970s.
[00:17:25.390 --> 00:17:26.351]  Paul and Ann Ehrlich.
[00:17:27.051 --> 00:17:27.732]  We're good to go.
[00:17:46.969 --> 00:17:50.732]  Okay, is going to be affected by, first of all, the population size.
[00:17:51.593 --> 00:17:53.655]  Second of all, by the affluence.
[00:17:54.195 --> 00:18:02.482]  So, for instance, if you want to minimize environmental impact, perhaps you should consider lowering your standard of living.
[00:18:03.550 --> 00:18:04.090]  For instance.
[00:18:04.570 --> 00:18:04.651]  Oh.
[00:18:05.271 --> 00:18:07.732]  You see, if we all live in slums, then we can have more people.
[00:18:07.752 --> 00:18:14.655]  But that's the only way we can have more people in this world, is if we all live in 16 by 16 apartments.
[00:18:15.455 --> 00:18:17.156]  Oh, remember that report Melissa Melton did?
[00:18:17.916 --> 00:18:18.457]  That's right.
[00:18:18.557 --> 00:18:20.037]  That's what they're trying in New York.
[00:18:20.598 --> 00:18:25.940]  16 by 16 square apartments where you can live like a prisoner.
[00:18:26.740 --> 00:18:29.282]  And if you do that, well, then we can have a few more people.
[00:18:29.342 --> 00:18:30.002]  But if you don't,
[00:18:31.275 --> 00:18:38.341]  Then your affluence is too high, and you're a greenhouse piggy, and you must be killed and find out when you should die.
[00:18:38.942 --> 00:18:40.563]  So this all starts when they're young.
[00:18:40.583 --> 00:18:48.570]  It starts with coloring books about polar bears, and about dolphins and penguins, and how they're all endangered from evil man.
[00:18:48.630 --> 00:18:50.912]  And yes, there is a lot of pollution going on in the world.
[00:18:51.233 --> 00:18:51.713]  But guess what?
[00:18:51.753 --> 00:18:52.594]  It's not me doing it.
[00:18:52.934 --> 00:18:53.755]  It's not you doing it.
[00:18:54.255 --> 00:18:56.898]  It's these giant corporations that are beholden to no one.
[00:18:56.938 --> 00:18:58.099]  Like, didn't we just cover bear?
[00:18:58.877 --> 00:19:00.680]  Spraying chemicals that are killing the bees?
[00:19:01.482 --> 00:19:08.895]  Oh, wait, I'm not spraying chemicals unless I use them myself and I buy them, so I actually am doing my part to kill the bees.
[00:19:10.177 --> 00:19:10.858]  In a sick way.
[00:19:11.078 --> 00:19:12.038]  But I really don't.
[00:19:12.098 --> 00:19:12.939]  I don't use anything.
[00:19:12.979 --> 00:19:18.703]  When I have ants or anything like that in my yard, I use hot water or boric acid, which is benign.
[00:19:18.843 --> 00:19:20.304]  But it's neither here nor there.
[00:19:20.464 --> 00:19:22.145]  We have more clips to go through.
[00:19:22.165 --> 00:19:23.186]  This guy is not done.
[00:19:23.206 --> 00:19:26.008]  I mean, he brainwashed these kids hardcore for an hour.
[00:19:26.528 --> 00:19:29.190]  Let's look at some Paul Ehrlich quotes.
[00:19:31.448 --> 00:19:33.509]  When an area overpopulated.
[00:19:33.949 --> 00:19:35.270]  When is an area overpopulated?
[00:19:35.490 --> 00:19:39.632]  When its population can't be maintained without rapidly depleting non-renewable resources.
[00:19:39.752 --> 00:19:44.095]  By this standard, the entire planet and virtually every nation is already vastly overpopulated.
[00:19:44.955 --> 00:19:45.375]  Wow!
[00:19:46.196 --> 00:19:52.379]  Even though there's enough room in Texas to give everybody an acre of land in the entire world and live on it.
[00:19:54.600 --> 00:19:55.901]  So how are we overpopulated?
[00:19:58.186 --> 00:19:59.627]  Oh, well, Paul doesn't want to answer that.
[00:19:59.667 --> 00:20:05.891]  He was too busy writing books in the 70s about population booms and how we're going to have these massive catastrophes.
[00:20:06.932 --> 00:20:22.081]  And it seems like those catastrophes do end up happening, but only after they're engineered, only after control of resources is instituted, usually by these giant NGOs, World Health Organization, Rockefeller Foundation-funded groups come in and want to control things.
[00:20:22.121 --> 00:20:23.502]  And that's when you have famines.
[00:20:23.682 --> 00:20:24.983]  That's when you have genocides.
[00:20:25.404 --> 00:20:27.325]  Let's go to another Ehrlich quote.
[00:20:29.454 --> 00:20:40.261]  The development of a long-term sterilization capsule that could be implanted under the skin and removed when pregnancy is desired opens additional possibilities for coercive fertility control.
[00:20:40.301 --> 00:20:48.106]  The capsule could be implanted at puberty and might be removable with official permission for a limited number of births.
[00:20:48.447 --> 00:20:48.947]  He wrote that.
[00:20:49.585 --> 00:21:08.273]  Along with John Holdren in Ecoscience, and if you're a member of PrisonPlanet.tv, you can go to an interview we did with Tarpley in our Special Reports section, and it basically covers Ecoscience from front to back, mainly centers around Holdren because he was the science czar, but both Paul and Ann Ehrlich helped write the book.
[00:21:08.633 --> 00:21:11.237]  So these people are basically peas in a pod.
[00:21:11.618 --> 00:21:12.839]  Got one more Ehrlich quote.
[00:21:25.560 --> 00:21:27.181]  To the cutting out of the cancer.
[00:21:27.241 --> 00:21:31.162]  The operation will demand many apparently brutal and heartless decisions.
[00:21:31.603 --> 00:21:40.006]  That's Paul Ehrlich in The Population Bomb, the book he wrote in the 70s, talking about overpopulation then, when we had about 4.5 to 5 billion people.
[00:21:40.487 --> 00:21:40.987]  Well, now we have 7.
[00:21:41.627 --> 00:21:50.631]  But actually, the increase of population is slowing down, and plenty of people have said that it's going to peak at about 9 billion and then start going down.
[00:21:51.251 --> 00:21:52.612]  Now, there is a problem with this.
[00:21:53.359 --> 00:22:07.528]  There's a problem with the population going down, because what that means is there's less young people to take care of the old people, and then you have a crisis there, which we're already seeing now, because there's a lot more baby boomers than there are people my age, and the people in the generation behind me.
[00:22:08.148 --> 00:22:23.017]  A lot more baby boomers, and they're going to take a lot of resources to care for, which we could come up with problems for, but instead we're just going to run around and talk about how bad it is to get old, or be young, or to have children, and to get people into this Hunger Games mentality.
[00:22:24.378 --> 00:22:24.959]  Let's move on.
[00:22:24.979 --> 00:22:29.362]  We've got a lot more clips to go through with Professor Cardulo.
[00:22:29.382 --> 00:22:30.663]  Let's see what else he has to say.
[00:22:30.703 --> 00:22:31.584]  Here's his clip.
[00:22:31.904 --> 00:22:33.926]  We wanted to decrease our population.
[00:22:34.186 --> 00:22:34.426]  Okay?
[00:22:34.466 --> 00:22:39.190]  So let's decrease our impact on the environment.
[00:22:39.690 --> 00:22:44.954]  If we simply decreased the consumption of environmental resources by 5%.
[00:22:46.015 --> 00:22:47.777]  So you go home tonight and you tell your parents,
[00:22:49.076 --> 00:22:54.059]  What if we cut down our gasoline consumption just 5% in the next few years?
[00:22:54.379 --> 00:22:55.039]  Can we do that?
[00:22:55.679 --> 00:22:56.000]  Yeah.
[00:22:56.260 --> 00:22:57.200]  See, remember Al Gore?
[00:22:57.340 --> 00:23:00.902]  There's things that you know that your parents don't know.
[00:23:01.862 --> 00:23:02.383]  That's right.
[00:23:02.403 --> 00:23:07.585]  If we could just get our kids to start telling us what to do and running our lives, everything would be great.
[00:23:07.605 --> 00:23:09.066]  That would solve all our problems.
[00:23:09.546 --> 00:23:12.628]  Because we've got the kids into this environmental fanaticism.
[00:23:12.648 --> 00:23:15.109]  Let's go on to the next clip.
[00:23:16.050 --> 00:23:18.031]  So, you can do a lot with these two.
[00:23:19.008 --> 00:23:22.890]  But ultimately, the argument is we've got to do something about population as well.
[00:23:23.790 --> 00:23:24.850]  What about the United States?
[00:23:25.611 --> 00:23:26.651]  We're very affluent.
[00:23:26.691 --> 00:23:28.212]  You've seen many examples of that.
[00:23:28.272 --> 00:23:31.053]  The earth at night time should have convinced you of that.
[00:23:31.493 --> 00:23:34.614]  We currently have a population of 313 million people.
[00:23:35.775 --> 00:23:43.858]  If we want to take the population down to 150 million, all it would require in the next 100 years is to lower that birth rate.
[00:23:46.239 --> 00:23:48.580]  So he's not saying go out and kill people, he's just saying
[00:23:49.520 --> 00:24:05.005]  You know, lower the birth rate, which what they talk about in eco-science is through sterilization, and forced abortion, and contraceptive use against your will, anything basically to keep people from breeding.
[00:24:05.065 --> 00:24:16.209]  So, you know, he's proposing, in order to not harm the environment, to cut our birth rate down in half, and that would thereby bring us to about 150 million people instead of 300
[00:24:18.467 --> 00:24:20.088]  Twenty or thirty million people, where we're at.
[00:24:21.590 --> 00:24:28.956]  Very dangerous ideas indeed, but he's planting these seeds into these young minds, and these kids are going to go around and regurgitate this later, and they're going to think this is true.
[00:24:29.256 --> 00:24:33.259]  And then they're not going to want to have families, but that'll be okay, it's for the earth.
[00:24:33.759 --> 00:24:38.683]  And then the only people that are having kids are people like Mr. Cardullo, who are out there.
[00:24:39.004 --> 00:24:39.704]  They're going to have kids.
[00:24:39.744 --> 00:24:40.825]  Ted Turner has five kids.
[00:24:40.905 --> 00:24:42.607]  Oh, but they're all grown now, so it's different.
[00:24:43.547 --> 00:24:44.949]  You know, we had to create these rules now.
[00:24:46.078 --> 00:24:47.519]  Because now we see the problems.
[00:24:47.559 --> 00:24:48.539]  Let's go to the next clip.
[00:24:49.379 --> 00:24:58.083]  That means your generation and the next generation, if they're committed to doing this, it would mean having family sizes that on the average are one and a half children per family.
[00:24:58.263 --> 00:25:01.404]  Someone have two, someone have one, about 50-50.
[00:25:01.804 --> 00:25:09.867]  That would mean we could decrease our population by about half and hopefully maintain our standard of living.
[00:25:10.128 --> 00:25:10.908]  That's what that means.
[00:25:11.957 --> 00:25:19.823]  So we have to get rid of half the population in order to keep our standard of living, according to some crazy people who in the 70s wrote we were already at a population crisis.
[00:25:21.884 --> 00:25:24.246]  What happened 30, 40 years later?
[00:25:24.466 --> 00:25:25.126]  We're still here.
[00:25:26.107 --> 00:25:27.508]  There is no population crisis.
