[00:00:21.280 --> 00:00:22.221]  Hello again, everyone.
[00:04:11.010 --> 00:04:12.311]  And you're going to be a problem.
[00:04:12.391 --> 00:04:21.698]  They're going to keep their eyes on you, so... The article entitled, Sovereign Citizen Movement Now on FBI's Radar Frames the Belief that the U.S.
[00:04:21.818 --> 00:04:23.479]  is Essentially Under Martial Law.
[00:04:23.980 --> 00:04:25.221]  Well, they got that right.
[00:04:25.721 --> 00:04:33.347]  Along with support for introducing the gold standard, evil, as political views are becoming indicative of violent extremism.
[00:04:33.827 --> 00:04:44.772]  As we've documented on numerous occasions, the federal government routinely characterizes normal behavior as extremist activity or a potential indicator of a terrorist intent.
[00:04:45.173 --> 00:04:47.714]  So chances are, you are a terrorist.
[00:04:49.159 --> 00:04:51.261]  Okay, let's take a look at our next story.
[00:04:51.521 --> 00:04:52.982]  This is really bad.
[00:04:53.523 --> 00:04:57.907]  Farmer faces possible three-year prison sentence for feeding community.
[00:04:58.347 --> 00:05:09.177]  Wisconsin dairy farmer Vernon Hershberger is being charged with four criminal misdemeanors that could land him in prison for three years and fines of over $10,000.
[00:05:10.037 --> 00:05:10.618]  His crime?
[00:05:10.918 --> 00:05:14.942]  Supplying a private club with fresh milk and other farm products.
[00:05:15.422 --> 00:05:25.269]  The FDA is actively conducting sting operations and raids against peaceful farmers, which have resulted in the farms shutting down and people not having access to their food.
[00:05:25.709 --> 00:05:38.958]  Meanwhile, of course, the mega-corporations like Monsanto, where they continue to push the genetically modified frankenfoods to the masses, yet another example of tyrannical behavior by the corrupt and evil FDA.
[00:05:40.439 --> 00:05:44.962]  And now it's time for a brand new Man on the Street.
[00:05:45.623 --> 00:05:55.971]  This is a segment that our writer, producer, and now reporter, John Boundt, put together as he takes to the streets of Austin, Texas to investigate denial.
[00:05:56.791 --> 00:05:57.752]  Here's what he has to say.
[00:05:58.012 --> 00:06:00.054]  I'm in Austin, Texas on the UT campus.
[00:06:00.094 --> 00:06:04.237]  I've been asking students all day about the recently passed NDAA legislation.
[00:06:04.717 --> 00:06:08.420]  I was surprised to learn where the real denial is coming from.
[00:06:09.713 --> 00:06:17.876]  Just one look at mainstream news will make any rational thinker conclude that Americans are in a hyper state of denial.
[00:06:18.596 --> 00:06:23.398]  Public opinion isn't a stranglehold when it comes to real, open, honest debate.
[00:06:23.918 --> 00:06:34.942]  Whether it's the looming war in Iran based on fear-mongering and little fact, or the blind eye given to Ron Paul's agenda to get the country back to its constitutional values.
[00:06:35.390 --> 00:06:41.935]  The New Suffolk University Poll shows him with a commanding lead in New Hampshire at almost 30 points above his rivals.
[00:06:42.356 --> 00:06:45.918]  At the same time, Newt Gingrich and John Huntsman have faltered.
[00:06:46.579 --> 00:06:55.126]  Rick Santorum, who polls in single digits here, is looking to give Romney a run in the Granite State after his near victory in Iowa.
[00:06:56.010 --> 00:07:06.417]  Are people aware that they could be kidnapped, detained without trial, and sent away to a torture facility for an untimely death simply based on the description of domestic terrorism?
[00:07:07.417 --> 00:07:10.920]  Denial comes in three forms according to Sigmund Freud.
[00:07:11.260 --> 00:07:12.040]  Simple denial.
[00:07:12.641 --> 00:07:15.703]  Deny the reality of the unpleasant fact altogether.
[00:07:15.803 --> 00:07:18.685]  Do you feel like you get all the information you need from mainstream media?
[00:07:19.292 --> 00:07:19.852]  No, I don't.
[00:07:19.872 --> 00:07:21.293]  I hardly watch the news anyway.
[00:07:21.713 --> 00:07:23.655]  And I'm in a lying and deception class right now.
[00:07:24.195 --> 00:07:42.045]  And we talked about media and, like, news, and how most of it is just... They take, like, the smallest thing possible, it's not a big deal, and blow it out of proportion so you at least feel like something important's going on, when in fact, like, there are other things that could be covered that, I mean, they don't want to cover or they don't.
[00:07:42.785 --> 00:07:43.526]  Minimization.
[00:07:44.286 --> 00:07:47.208]  Admit the fact, but deny its seriousness.
[00:07:47.654 --> 00:08:04.659]  I just wanted to ask you if you've heard about the NDAA legislation, the bill that allows the president to detain American citizens, wish them away off to a torture facility and never be seen again, that that's been legalized as of this year.
[00:08:04.739 --> 00:08:05.419]  Are you aware of this?
[00:08:05.859 --> 00:08:07.179]  Um, I actually have heard of that.
[00:08:07.199 --> 00:08:09.880]  That's like how they weren't going to close Guantanamo.
[00:08:10.020 --> 00:08:12.581]  That was like the legislation that like decided that, I believe.
[00:08:13.371 --> 00:08:28.568]  If you're labeled a domestic terrorist, which could include the fact that you're missing fingers, that you bought beer at a store with cash, that you bought baby formula... Do you take that seriously, or would you feel like, yes, that may be happening, but it's probably for a good reason?
[00:08:29.916 --> 00:08:31.537]  Um, because I don't know the details.
[00:08:31.557 --> 00:08:34.878]  Like, I want to say that it could possibly be for a good reason.
[00:08:35.478 --> 00:08:36.179]  Projection.
[00:08:36.779 --> 00:08:42.061]  Admit both the fact and the seriousness, but deny responsibility.
[00:08:42.501 --> 00:08:49.304]  Once the war against Saddam begins, we expect every American to support our military, and if they can't do that, to shut up.
[00:08:49.824 --> 00:08:55.266]  Would you be more prone to say, yeah, that's happening, but there's nothing you can do about it?
[00:08:56.261 --> 00:08:59.305]  Um, I don't think that there's nothing that can be done.
[00:08:59.345 --> 00:09:08.137]  I think if enough people are informed about it, then the more people that are informed, the more people can, you know, have an input and say, and one voice, you know, adds to that change.
[00:09:08.278 --> 00:09:10.721]  So, I mean, what's the entire point of this bill?
[00:09:11.522 --> 00:09:12.382]  Domestic terrorism.
[00:09:12.402 --> 00:09:14.983]  They want to quiet their critics.
[00:09:15.083 --> 00:09:16.843]  We represent the alternative media.
[00:09:17.283 --> 00:09:19.744]  Mainstream media didn't even cover NDAA.
[00:09:19.944 --> 00:09:28.445]  I have an idea that the media is sponsored by certain political parties and also certain people with power within this country.
[00:09:28.465 --> 00:09:33.126]  They don't allow certain information to be transmitted to the masses.
[00:09:33.146 --> 00:09:38.067]  It just wouldn't be right for the normal person's psyche.
[00:09:39.989 --> 00:09:45.253]  American citizens are distracted by a number of worthless time-consuming outlets.
[00:09:46.034 --> 00:09:48.856]  We are all addicted to our own self-importance.
[00:09:49.436 --> 00:09:57.723]  The only way to begin to treat addiction, whether it is alcohol or drugs, for example, is to break the cycle of denial.
[00:09:58.563 --> 00:10:06.109]  The mainstream media delivers a skewed reality, manipulating the American landscape with their theater of denial.
[00:10:07.270 --> 00:10:15.075]  Isn't it amazing that we're denying our own slavery to a system fueled by that very denial?
[00:10:16.075 --> 00:10:18.337]  John Bowne, Infowars Nightly News.
[00:10:19.117 --> 00:10:22.339]  Wow, and that was a great piece put together by John Bowne.
[00:10:22.579 --> 00:10:25.321]  We'll also put together our quote of the day for us today.
[00:10:25.901 --> 00:10:27.962]  It's from Marcus Cicero.
[00:10:28.863 --> 00:10:33.666]  Though silence is not necessarily an admission, it is not a denial either.
[00:10:34.346 --> 00:10:41.132]  Once again, that was from Roman philosopher, consul, and Roman constitutionalist, Marcus Cicero.
[00:10:41.592 --> 00:10:50.160]  And now it's time for part four of an InfoWars exclusive interview with Kurt Haskell, witness to the government cover-up of Delta Flight 253.
[00:10:50.300 --> 00:10:53.603]  Now, it is a fact that the U.S.
[00:10:53.643 --> 00:11:01.150]  government allowed the underwear bomber to board the plane even though he had no passport and was on the government terror watch list.
[00:11:01.550 --> 00:11:13.718]  Passenger Kurt Haskell famously witnessed a sharp-dressed Indian man force officials to let Abdulmutallab board the plane, again, even though he had no passport and was listed as a potential terrorist.
[00:11:14.118 --> 00:11:24.765]  And of course, the establishment media, they have predictably remained silent on this epic story as they continue to regurgitate the official government fable of the underwear bomber.
[00:11:25.145 --> 00:11:30.929]  But fortunately for you, the InfoWars viewer, you're about to get a dose of the hardcore truth.
[00:11:31.309 --> 00:11:40.226]  An interview with Kurt Haskell, key witness to the false flag terror attack aboard Delta Flight 253, the subsequent government cover-up that followed.
[00:11:41.147 --> 00:11:43.131]  Walk us through what you saw in Amsterdam.
[00:11:44.260 --> 00:11:44.521]  Sure.
[00:11:45.081 --> 00:11:47.423]  Lori and I were sitting near the boarding gate.
[00:11:48.243 --> 00:11:48.904]  Sitting on the floor.
[00:11:48.964 --> 00:11:50.485]  There weren't any seats to sit in.
[00:11:51.386 --> 00:11:56.410]  And I saw two men and they caught my eye because they seemed to be an odd pair.
[00:11:57.190 --> 00:12:03.335]  One was what I would describe as a poor looking black teenager around 16 or 17.
[00:12:03.475 --> 00:12:04.016]  And the other man, a
[00:12:08.579 --> 00:12:14.261]  Age 50-ish, wealthy-looking Indian man, and I was just wondering why they were together.
[00:12:15.301 --> 00:12:16.081]  Kind of strange.
[00:12:16.562 --> 00:12:23.604]  And I watched them approach what I would call the ticket agent, the final person that checks your boarding pass before you get on the plane.
[00:12:24.673 --> 00:12:26.414]  And I could hear the entire conversation.
[00:12:26.534 --> 00:12:28.596]  The only person that spoke was the Indian man.
[00:12:29.236 --> 00:12:33.599]  And what he said was, this man needs to board the plane, but he doesn't have a passport.
[00:12:33.900 --> 00:12:38.603]  And the ticket agent responded, well, if he doesn't have a passport, he can't get on the plane.
[00:12:39.183 --> 00:12:43.286]  To which the Indian man responded back, he's from Sudan.
[00:12:43.867 --> 00:12:45.008]  We do this all the time.
[00:12:45.808 --> 00:12:49.872]  And the ticket agent said, well, then you'll have to go and talk to my manager.
[00:12:50.392 --> 00:12:52.494]  And she directed them down a hallway.
[00:12:52.514 --> 00:12:57.039]  And that was the last time that I saw the Indian man.
[00:12:57.659 --> 00:13:01.503]  And the black man, I didn't see again until he tried to blow up our plane.
[00:13:09.631 --> 00:13:15.433]  I assume though that they're not patting people down in the crotch area, which is where this fellow allegedly had the bombs.
[00:13:16.234 --> 00:13:21.996]  We could deploy the scanning machines that we currently are beginning to deploy in the U.S.
[00:13:22.456 --> 00:13:26.518]  that would give us the ability to see what someone has concealed underneath their clothing.
[00:13:26.678 --> 00:13:33.621]  I also want to point out in your current role as a security consultant, you are representing some of the companies who manufacture that technology, correct?
[00:13:33.821 --> 00:13:34.601]  Absolutely correct.
[00:13:35.642 --> 00:13:38.563]  One thing I'd like to point out is that the system worked.
[00:13:43.502 --> 00:13:52.189]  Well, the Underwear Bomber case is important because it's the most, in my opinion, it's the most clear evidence of a false flag event by the U.S.
[00:13:52.229 --> 00:13:52.670]  government.
[00:13:52.730 --> 00:14:02.017]  I think if you actually take the time to look into the evidence, the official version is not backed up by anything other than statements by members of the government.
[00:14:04.304 --> 00:14:08.725]  There is actually a great deal of evidence that backs up what I'm saying.
[00:14:10.086 --> 00:14:15.907]  So, it's important in that sense that it's a very clear picture that the U.S.
[00:14:15.947 --> 00:14:23.929]  government stages terrorist attacks to forward their agenda, whatever that may be, at that time.
[00:14:24.029 --> 00:14:33.192]  Not only that, but if you look at how the government's treated this case, you can see all the tools they use when they use the false flag attack, which is
[00:14:34.355 --> 00:14:41.117]  You know, denying evidence and telling the media to not report certain things.
[00:14:42.457 --> 00:14:53.761]  Blasting in the media all the unimportant things, propaganda issues that support their story, you know, the government forwarded story, not the real story.
[00:14:54.461 --> 00:14:57.322]  And it just gives you a real window how they handle these things.
[00:14:57.402 --> 00:15:03.364]  And if you look at the picture of this, how they handle things, and you see things happen in the future,
[00:15:04.417 --> 00:15:12.620]  You know, you can take their playbook, if you will, and apply it to the ones in the future, you know, and tell what's a false flag event or not.
[00:15:13.781 --> 00:15:17.563]  There had been no terrorist attacks on flights in the U.S.
[00:15:17.583 --> 00:15:20.764]  since 2001, so people were kind of getting, you know,
[00:15:21.596 --> 00:15:29.861]  We're weary of the war on terror thinking, hey, you know, why are we spending all this money on the war on terror when there is no war on terror?
[00:15:30.061 --> 00:15:31.202]  You know, nothing's happening.
[00:15:31.222 --> 00:15:32.503]  We're not stopping anybody.
[00:15:33.223 --> 00:15:41.589]  Number two, we had, back when this happened in December 2009, we had certain parts of the Patriot Act that were up for renewal.
[00:15:41.729 --> 00:15:47.172]  They actually came up for renewal in early December 2009, just a couple weeks before this happened.
[00:15:48.253 --> 00:15:49.594]  And you can look it up on the Internet.
[00:15:49.634 --> 00:15:50.294]  Hillary Clinton
[00:15:51.465 --> 00:15:56.868]  I actually said, look, my constituents don't want to vote for the renewal.
[00:15:56.888 --> 00:16:04.993]  They don't think it's needed and politically this will be damaging if, you know, my party votes for renewal of these parts of the Patriot Act.
[00:16:05.834 --> 00:16:10.376]  So they delayed the vote until, I believe, February 2010 and look what happens in the meantime.
[00:16:11.377 --> 00:16:11.897]  There was a
[00:16:14.344 --> 00:16:23.426]  A bill that had already passed the House of Representatives, and the bill was to restrict the use of body scanning machines to secondary use only.
[00:16:23.486 --> 00:16:29.747]  Meaning, you would only have to go through the body scanning machines after you had set off the metal detector.
[00:16:30.667 --> 00:16:31.968]  And this had already passed the House.
[00:16:32.688 --> 00:16:35.528]  It was pending before the Senate for a vote in early 2010.
[00:16:35.988 --> 00:16:40.509]  And again, look what we have in the meantime, the underwear bomber attack.
[00:16:40.629 --> 00:16:43.110]  Incidentally, despite the fact that
[00:16:44.238 --> 00:16:47.142]  This bill had already passed the House and was pending before the Senate.
[00:16:47.343 --> 00:16:53.131]  The TSA and Department of Homeland Security continue to order many more body scanning machines for the airport.
[00:16:53.211 --> 00:16:55.514]  So, read into that what you will.
[00:16:55.895 --> 00:16:58.218]  So, all of those reasons really.
[00:16:59.924 --> 00:17:03.565]  Basically, they needed a crutch for the war on terror.
[00:17:03.645 --> 00:17:06.106]  Nothing was happening on the war on terror for many years.
[00:17:06.706 --> 00:17:19.310]  And now all you hear is, you know, every time the war on terror is brought up, or these enhanced procedures are brought up, TSA here, TSA there, and you see something, say something, it all goes back to the underwear bomber.
[00:17:19.390 --> 00:17:21.951]  They all say, well, we need it because of the underwear bomber.
[00:17:22.331 --> 00:17:23.011]  It's a crutch.
[00:17:23.111 --> 00:17:25.012]  It's a crutch for any of these policies at all.
[00:17:25.072 --> 00:17:28.113]  So, you know, you can see how it's played into all of this.
[00:17:29.437 --> 00:17:31.419]  But there are a few things we could do to make things better.
[00:17:31.579 --> 00:17:38.005]  First, we could deploy the scanning machines that we currently are beginning to deploy in the U.S.
[00:17:38.466 --> 00:17:42.589]  that would give us the ability to see what someone has concealed underneath their clothing.
[00:17:43.070 --> 00:17:46.813]  That has been vigorously opposed by the ACLU and privacy advocates.
[00:17:47.334 --> 00:17:54.561]  The House of Representatives voted to prevent us from using it, but I think now there's been a very vivid lesson in the value of that machinery.
[00:17:55.034 --> 00:17:58.215]  In your current role as a consultant, do you have an interest in body scanners?
[00:17:58.655 --> 00:18:03.516]  You know, we consult with all kinds of firms, including firms that do manufacture body scanners.
[00:18:03.816 --> 00:18:08.797]  You do have some interest in more sales of body scanners?
[00:18:09.457 --> 00:18:15.639]  As well as a lot of other security measures, but I would point out that I've talked about this for probably the last three years.
[00:18:17.228 --> 00:18:29.758]  You know, I don't really have any evidence on whether Chertoff was involved, but, you know, it's really suspicious to me that the former head of the Department of Homeland Security now works for body scanning companies, and there's so much money going around.
[00:18:29.778 --> 00:18:34.102]  You know, did somebody do a favor for Chertoff here?
[00:18:34.682 --> 00:18:36.323]  You know, that was paid back with some money?
[00:18:36.463 --> 00:18:36.844]  I don't know.
[00:18:38.089 --> 00:18:51.745]  I think it's entirely possible, but again, I don't have any evidence on this, so... I don't know, but yeah, it's highly suspicious that you have former head of Department of Homeland Security peddling body scanning machines and making who knows how much money off of them.
[00:18:52.529 --> 00:19:00.236]  Metal detectors were doing fine before the underwear bomber incident and they were not the reason he got on the flight, obviously.
[00:19:00.336 --> 00:19:06.181]  So, it's an unreasonable search, in my opinion, because all the body scanning machines are not necessary.
[00:19:06.962 --> 00:19:09.564]  They make you show a naked picture of yourself to unknown people.
[00:19:10.660 --> 00:19:12.281]  And they might cause you cancer.
[00:19:12.341 --> 00:19:12.801]  We don't know.
[00:19:12.881 --> 00:19:14.722]  But if you don't do that, you have to opt out.
[00:19:15.303 --> 00:19:20.105]  And therefore, you have someone feeling you up, looking down your pants, and grabbing you between the legs.
[00:19:20.886 --> 00:19:22.607]  That's an unreasonable search.
[00:19:22.647 --> 00:19:25.048]  So, it's definitely a violation of the Fourth Amendment.
[00:19:25.928 --> 00:19:31.391]  When I talk to people about this, the main response I get is, well, whatever it takes to make me feel safe.
[00:19:31.431 --> 00:19:33.813]  And that's a pretty discouraging response.
[00:19:34.773 --> 00:19:41.281]  To me, in my opinion, because Americans will just voluntarily give up constitutional rights based on a lie.
[00:19:41.562 --> 00:19:41.982]  It's just...
[00:19:43.172 --> 00:19:44.713]  It's ridiculous and depressing.
[00:19:44.973 --> 00:19:49.476]  Coming up, are you willing to give up a lot of your privacy when you go through security at the airport?
[00:19:49.516 --> 00:19:51.837]  How about a revealing full-body scan?
[00:19:51.877 --> 00:19:52.958]  Would that be okay with you?
[00:19:53.478 --> 00:19:58.181]  It does seem to me that we're becoming a police state, that's for sure.
[00:19:58.261 --> 00:20:05.085]  There just seems to be getting more and more and more security, you know, based on whatever the government says.
[00:20:05.105 --> 00:20:07.426]  You know, they make a statement, so therefore we need this.
[00:20:07.667 --> 00:20:10.848]  Or they stage this event, so therefore we need this.
[00:20:12.229 --> 00:20:15.390]  And, you know, at what point do we not need security?
[00:20:15.410 --> 00:20:20.492]  At what point was the security not okay back on 9-11?
[00:20:20.793 --> 00:20:28.856]  No matter what you think about the 9-11 events, even if you don't think they were another false flag attack, they could have been prevented entirely.
[00:20:29.096 --> 00:20:30.236]  We knew all about them.
[00:20:31.157 --> 00:20:35.918]  We knew about the attackers flying in flight schools before this happened, and it could have been prevented.
[00:20:35.958 --> 00:20:38.099]  We didn't need new measures from that either.
[00:20:38.119 --> 00:20:39.320]  But, uh,
[00:20:40.984 --> 00:20:42.324]  You know, you see where this goes.
[00:20:42.384 --> 00:20:52.288]  The government uses these terrorist attacks, not only to take away our rights, but to justify wars that they're definitely using for other purposes.
[00:20:52.308 --> 00:21:01.451]  You know, to steal oil, to topple regimes, to steal gold, whatever reasons you believe, to stop competing currencies backed by gold.
[00:21:02.311 --> 00:21:06.593]  Whatever reasons you think, they're definitely not to liberate people.
[00:21:07.153 --> 00:21:10.094]  You know, if they were, why aren't we liberating Mexico?
[00:21:11.195 --> 00:21:13.977]  You know, they have all kinds of crazy things going on there now.
[00:21:14.017 --> 00:21:16.479]  Why aren't we liberating North Korea?
[00:21:17.200 --> 00:21:21.824]  You know, why is it restricted to these countries in the Middle East that have oil?
[00:21:22.284 --> 00:21:25.887]  And now we have, if you see something, say something.
[00:21:26.808 --> 00:21:29.370]  Which incidentally I did, but you can see where it got me.
[00:21:29.910 --> 00:21:37.076]  You know, and talk about these body scanning machines going into bus terminals, train stations, malls, and wherever else.
[00:21:37.116 --> 00:21:39.037]  So you can see how they use this.
[00:21:40.058 --> 00:21:54.764]  My understanding of the NDAA and what it does is it allows the US government to detain anyone they want indefinitely if it declares that such person is a terrorist.
[00:21:55.585 --> 00:21:58.066]  Now, the definition of a terrorist
[00:21:59.422 --> 00:22:03.605]  is left solely at the discretion of the President of the United States.
[00:22:04.426 --> 00:22:10.230]  If President Obama declares you a terrorist, the government can arrest you and hold you indefinitely without a trial.
[00:22:10.330 --> 00:22:13.612]  They don't even need to tell anyone they're holding you or where.
[00:22:14.013 --> 00:22:15.113]  You'll just disappear.
[00:22:16.174 --> 00:22:17.915]  That's what the NDAA allows.
[00:22:17.995 --> 00:22:25.401]  It's totally out of the playbook of the USSR or Nazi Germany where the government can just come in and say,
[00:22:27.125 --> 00:22:29.466]  You're going to disappear, sorry, and you're gone.
[00:22:29.906 --> 00:22:30.987]  No one knows what happened to you.
[00:22:31.207 --> 00:22:33.428]  That's what it allows the government to do.
[00:22:34.128 --> 00:22:36.149]  Now, who is a terrorist exactly?
[00:22:36.229 --> 00:22:37.050]  Am I a terrorist?
[00:22:37.590 --> 00:22:42.933]  Am I a terrorist because I speak out against the government and I've informed the public of a false flag event?
[00:22:43.873 --> 00:22:44.173]  I don't know.
[00:22:44.533 --> 00:22:48.435]  Am I a terrorist because I was going to testify on behalf of Abdu'l-Mutala?
[00:22:49.536 --> 00:22:49.836]  I don't know.
[00:22:52.301 --> 00:22:55.745]  What's interesting, too, is you don't actually have to be a terrorist.
[00:22:56.165 --> 00:23:02.512]  The law actually says that you can just be someone that's adding aid of some sort to a terrorist.
[00:23:03.233 --> 00:23:10.260]  So, again, I go back to the question, am I a terrorist for being willing to testify on behalf of Abdulmutallab?
[00:23:11.141 --> 00:23:12.202]  Under the NDAA.
[00:23:12.422 --> 00:23:13.884]  Seems likely that maybe I am.
[00:23:13.904 --> 00:23:26.097]  Am I aiding a terrorist by telling the government that they're staging false flag events and therefore these terrorist groups have a defense to some of these terrorism trials.
[00:23:27.332 --> 00:23:27.872]  Maybe I am.
[00:23:28.272 --> 00:23:29.893]  Maybe I can be locked up indefinitely.
[00:23:30.413 --> 00:23:34.595]  And this is a gross violation of our constitutional rights.
[00:23:36.156 --> 00:23:42.859]  It doesn't get any more clear, you know, that you're entitled to due process under the law.
[00:23:43.039 --> 00:23:44.540]  You're entitled to a speedy trial.
[00:23:45.480 --> 00:23:47.321]  And this doesn't even allow you a speedy trial.
[00:23:47.341 --> 00:23:48.781]  It doesn't allow you any trial at all.
[00:23:49.122 --> 00:23:52.503]  And they're not even required to tell your family if they've taken you or anything.
[00:23:53.063 --> 00:23:54.764]  It's a gross violation of the law.
[00:23:54.804 --> 00:23:56.345]  It's totally unconstitutional.
[00:23:57.461 --> 00:24:07.904]  It's all about power and what's telling is that I believe 93 out of 100 senators voted for this law.
[00:24:07.964 --> 00:24:10.284]  Something like that, like 93 percent.
[00:24:11.185 --> 00:24:20.667]  And I have to ask, so what incident could unite them so much that they would pass this clearly unconstitutional law?
[00:24:21.207 --> 00:24:22.928]  And to me the answer is obvious.
[00:24:22.948 --> 00:24:23.928]  The answer is that
[00:24:24.980 --> 00:24:46.673]  They passed this law not to deal with crazy Islamic Muslim terrorists, but to be able to label anyone in the United States a terrorist to deal with them and just take them off the streets during the coming global unrest that will happen here in the US, which I think is inevitable and will happen here very soon.
[00:24:48.414 --> 00:24:49.955]  I was previously going to sue the government.
[00:25:12.580 --> 00:25:16.102]  Or the Underwear Bomber Attack for Intentional Affliction of Emotional Distress.
[00:25:16.903 --> 00:25:18.804]  And I've recently decided not to.
[00:25:18.824 --> 00:25:22.126]  And actually the statute of limitations expired on Christmas Day 2011.
[00:25:22.166 --> 00:25:26.109]  So even if I wanted to change my mind now, I couldn't.
[00:25:26.829 --> 00:25:31.752]  But I wanted to give the reasons why I've decided not to sue.
[00:25:32.073 --> 00:25:33.994]  And there are basically three reasons.
[00:25:35.476 --> 00:25:47.801]  One, in late 2011 the government came out with a bipartisan report called Report on Fiscal Responsibility or something like that.
[00:25:47.901 --> 00:25:54.404]  But anyway, what this was is a bipartisan panel appointed by Obama to study the future of the economy.
[00:25:55.720 --> 00:25:58.882]  And every member on the panel indicated that the U.S.
[00:25:58.942 --> 00:26:05.127]  government would collapse economically in no longer than 24 months.
[00:26:05.307 --> 00:26:06.208]  And this was written in late 2011.
[00:26:06.248 --> 00:26:07.769]  So that puts us in late 2013.
[00:26:13.230 --> 00:26:34.061]  Sometimes lawsuits can take several years, and this would be one that could possibly take several years, and I've decided it would be better off to take the time we have left, which is now maybe a year and a half, and instead of me spending a great deal amount of time in this case, but to not put it into that, but to put it into
[00:26:35.542 --> 00:26:36.263]  That's one reason.
[00:26:52.621 --> 00:26:54.962]  Um, was the NDAA.
[00:26:55.662 --> 00:26:57.163]  And not due to intimidation.
[00:26:57.223 --> 00:27:00.123]  I'm not really concerned about the government locking me up.
[00:27:00.824 --> 00:27:09.887]  But my thinking was more along the lines of that the citizens of the United States didn't even care that this NDAA went through.
[00:27:09.967 --> 00:27:13.788]  There should be protests all over the streets.
[00:27:15.700 --> 00:27:19.003]  You know, the government's allowed to lock you up indefinitely without a trial?
[00:27:19.763 --> 00:27:21.885]  It seems like no one even cares about this.
[00:27:21.945 --> 00:27:27.869]  You know, they care more about, you know, whatever, any topic.
[00:27:28.090 --> 00:27:31.973]  You know, losing union benefits in Wisconsin, for example.
[00:27:31.993 --> 00:27:33.093]  You see picketing at the
[00:27:33.894 --> 00:27:35.615]  The Governor's Mansion, Wisconsin.
[00:27:35.735 --> 00:27:38.317]  I mean, literally every person in the U.S.
[00:27:38.337 --> 00:27:42.279]  should be out picketing or doing whatever in the streets over this NDA.
[00:27:42.599 --> 00:27:43.440]  There's almost nothing.
