[00:00:00.000 --> 00:00:16.379]  [Outro]
[00:12:02.251 --> 00:12:05.093]  Gerald, I got a bunch of stuff for us to go over today, big stacks of news.
[00:12:05.133 --> 00:12:07.815]  I see you're shuffling through your documents as well.
[00:12:08.115 --> 00:12:10.016]  What's your big story for this evening, Gerald Cilente?
[00:12:11.155 --> 00:12:19.460]  Well, you know, I'm listening to what you're saying and about how important it is for the people to do everything they can to support InfoWars.
[00:12:20.261 --> 00:12:29.787]  Because all they're doing is selling us a daily diet of useless news and total propaganda.
[00:12:31.007 --> 00:12:36.831]  On the useless news front, do I care that a football player after he got tackled got a heart attack?
[00:12:37.626 --> 00:12:38.887]  I mean, as part of the game.
[00:12:38.967 --> 00:12:39.927]  Oh, did he get a vaccine?
[00:12:40.047 --> 00:12:41.547]  I don't care.
[00:12:41.948 --> 00:12:49.430]  This is not essential news that's going to help me as a human being prepare, prevail, and prosper in the future.
[00:12:49.890 --> 00:12:51.971]  I want information that's going to help me.
[00:12:52.311 --> 00:12:54.052]  I'm not in the sixth grade.
[00:12:54.632 --> 00:12:56.313]  Elvis Presley's daughter died.
[00:12:56.573 --> 00:13:02.556]  I've been watching her every day, all my life, since I remember Elvis Presley.
[00:13:02.956 --> 00:13:03.936]  This is not news.
[00:13:03.996 --> 00:13:05.517]  This is entertainment.
[00:13:05.557 --> 00:13:06.417]  But wait a second, Gerald.
[00:13:06.457 --> 00:13:11.120]  You're telling me that two years of Rachel Maddow talking about Trump-Russia collusion was a waste of time?
[00:13:11.140 --> 00:13:16.142]  I mean, for two years, this woman was telling you.
[00:13:17.422 --> 00:13:19.583]  That goes back to the second thing I said.
[00:13:20.164 --> 00:13:20.984]  The propaganda.
[00:13:21.952 --> 00:13:28.634]  So they feed you with useless garbage, and then they brain-dead you with propaganda.
[00:13:29.154 --> 00:13:30.255]  I'm going to give you an example.
[00:13:31.395 --> 00:13:33.716]  This is from the Financial Times.
[00:13:35.356 --> 00:13:36.356]  Not ancient history.
[00:13:36.997 --> 00:13:37.897]  January 10th.
[00:13:38.757 --> 00:13:43.679]  Russia's set for rare success with control of key town.
[00:13:45.579 --> 00:13:46.339]  Rare success?
[00:13:47.180 --> 00:13:48.300]  Hey, got some.
[00:13:49.000 --> 00:13:51.381]  They got 20% of the country or more.
[00:13:52.270 --> 00:14:04.197]  They destroyed some 70% of the power and infrastructure and water infrastructure of the country.
[00:14:05.378 --> 00:14:06.578]  So what am I, six years old?
[00:14:06.598 --> 00:14:07.499]  Who are you talking to?
[00:14:07.819 --> 00:14:09.860]  We're talking to the general public.
[00:14:10.481 --> 00:14:12.922]  We feed them crap, they swallow crap.
[00:14:13.362 --> 00:14:19.026]  They eat junk news, they swallow junk food, and they listen to junkheads.
[00:14:19.864 --> 00:14:24.628]  And that's why I'm saying that people have to do all they can to support InfoWars.
[00:14:25.208 --> 00:14:27.208]  We're in the time of our life.
[00:14:27.208 --> 00:14:29.208]  We're in the time of our life.
[00:14:29.208 --> 00:14:31.208]  We're in the time of our life.
[00:14:31.208 --> 00:14:33.208]  We're in the time of our life.
[00:14:33.208 --> 00:14:35.208]  We're in the time of our life.
[00:14:35.208 --> 00:14:37.208]  We're in the time of our life.
[00:14:37.208 --> 00:14:39.208]  We're in the time of our life.
[00:14:39.208 --> 00:14:41.208]  We're in the time of our life.
[00:14:41.208 --> 00:14:43.208]  We're in the time of our life.
[00:14:43.208 --> 00:14:45.208]  We're in the time of our life.
[00:14:45.208 --> 00:14:47.208]  We're in the time of our life.
[00:14:47.208 --> 00:14:49.208]  We're in the time of our life.
[00:14:48.976 --> 00:14:51.418]  It's like a scene out of a psycho killer film.
[00:14:53.059 --> 00:15:01.204]  We've got new documents revealed that the entire pandemic, the creation of the virus, the lockdown, everything, was a Department of Defense operation.
[00:15:01.544 --> 00:15:04.086]  The vaccine was released as part of countermeasures.
[00:15:04.406 --> 00:15:07.768]  These documents revealed via a Freedom of Information Act request.
[00:15:09.079 --> 00:15:13.960]  Ernest Ramirez, 16-year-old son, dies five days after receiving Pfizer COVID vaccine.
[00:15:14.821 --> 00:15:18.462]  Moderna conveniently announces their new mRNA heart failure therapy.
[00:15:19.362 --> 00:15:19.462]  Oh!
[00:15:19.942 --> 00:15:26.464]  So they give you a little vaccine that stops your heart, then they tell you they've got the nice solution for the heart that they just stopped.
[00:15:26.484 --> 00:15:28.305]  That's called the Pied Piper.
[00:15:30.225 --> 00:15:31.506]  And it just goes on and on with this.
[00:15:31.766 --> 00:15:32.746]  Then there's the headlines.
[00:15:34.286 --> 00:15:38.931]  BBC Studio windows covered in stickers symbolizing deaths caused by COVID jabs.
[00:15:38.971 --> 00:15:40.913]  Oh, they don't like that, that vaccine they promoted.
[00:15:40.953 --> 00:15:43.115]  They told you safe and effective, now so many dead from it.
[00:15:46.999 --> 00:15:50.042]  Dating show for the unvaxxed removed from YouTube.
[00:15:50.202 --> 00:16:03.429]   Yeah, people that didn't get the vaccine, the purebloods as they're called, are, you know, maybe not so willing to Mix, let's say, or procreate, or have sexual relations with vaccinated people.
[00:16:03.729 --> 00:16:04.490]  Is that so wrong?
[00:16:04.510 --> 00:16:06.112]  Well, apparently, according to YouTube, it is.
[00:16:07.981 --> 00:16:12.565]  Then you've got a plane crash, at least 68 dead, Nepal plane crash after aircraft plummets into gorge.
[00:16:12.625 --> 00:16:17.168]  Now, we've seen an increase in plane crashes after the COVID-19 vaccine.
[00:16:17.188 --> 00:16:18.009]  Well, why would that be?
[00:16:18.209 --> 00:16:19.570]  Well, maybe the elite have an idea.
[00:16:19.630 --> 00:16:24.674]  Wealthy elite now requiring an unvaccinated crew to fly their jets, according to a pilot.
[00:16:24.694 --> 00:16:32.080]  So, the elite know that if your pilot has been vaccinated, that's an increase of a stroke, a heart attack, other such problems.
[00:16:32.120 --> 00:16:35.944]  They don't want the pilots, vaccinated pilots, flying their planes.
[00:16:37.310 --> 00:16:41.015]  CNN and Washpole COVID expert claims number of pandemic deaths have been overcounted.
[00:16:41.035 --> 00:16:43.338]  That's Dr. Wu.
[00:16:43.898 --> 00:16:49.245]  Now you may remember her and we bring in Dr. we bring in Gerald Cilenti here.
[00:16:49.786 --> 00:16:51.989]  Gerald, Dr. Lena Wynne here.
[00:16:52.049 --> 00:16:52.509]  That was her name.
[00:16:52.549 --> 00:16:53.470]  Dr. Lena Wynne.
[00:16:54.663 --> 00:17:01.223]   was saying the most outrageous stuff of course on CNN and even outrageous for CNN standards
[00:17:01.223 --> 00:17:05.064]   now she's basically backtracking on everything saying well the numbers of
[00:17:05.064 --> 00:17:08.743]   the viruses was over counted it was exaggerated the masks never worked it
[00:17:08.743 --> 00:17:12.584]   looks like the vaccines don't work if you're CNN how do you not feel like a
[00:17:12.584 --> 00:17:16.663]   complete idiot i mean this woman either completely fooled you
[00:17:16.663 --> 00:17:20.343]   or she's like a spy or something that just went on your network and spouted
[00:17:20.343 --> 00:17:26.824]   off propaganda for two whole years and is now embarrassing you saying it was all fake.
[00:17:25.981 --> 00:17:26.822]  But aside from that...
[00:17:27.927 --> 00:17:31.430]  When do the trials begin, Gerald Salente, to all these people?
[00:17:31.930 --> 00:17:36.634]  Yeah, there's the human blobfish there on CNN that told you how great the vaccine was.
[00:17:36.674 --> 00:17:37.715]  Now she's retracting everything.
[00:17:38.115 --> 00:17:48.243]  When the trials begin, Gerald, nobody, even if they come out and admit now that they lied to you about the vaccine, they should still be held in a trial.
[00:17:48.803 --> 00:17:52.726]  And maybe they can be granted mercy if they come out and say that they were wrong about it now.
[00:17:53.186 --> 00:17:54.367]  But I mean, when do the trials begin?
[00:17:54.407 --> 00:17:57.790]  An entire window at BBC Studio covered in vaccine deaths, Gerald.
[00:17:59.031 --> 00:18:00.751]  They're not going to have a trial.
[00:18:01.031 --> 00:18:03.412]  They can lie and do anything that they want.
[00:18:04.173 --> 00:18:11.256]  How about that little daddy's boy, born on third base with a pair of cojones, smaller than a mothball, George W. Bush?
[00:18:12.356 --> 00:18:21.280]  And I can't call the other guy Dick Cheney because I don't want to get censored here, so I'll call him Penis Cheney, who lied us into the Iraq War.
[00:18:22.280 --> 00:18:26.902]  I had a rally here on July 23rd, up in Kingston.
[00:18:27.662 --> 00:18:28.142]  Here it is.
[00:18:29.603 --> 00:18:30.443]  Peace and freedom.
[00:18:31.443 --> 00:18:41.286]  My speakers are Judge Andrew Napolitano, Gary Ngo, Scott Ritter, and Phil Giraldi.
[00:18:42.247 --> 00:18:47.088]  Phil Giraldi was a top, top CIA guy.
[00:18:47.968 --> 00:18:52.270]  Goes into little Georgie Bush's office with the facts.
[00:18:53.010 --> 00:18:57.576]   There are no weapons of mass destruction in Iraq.
[00:18:58.456 --> 00:18:59.336]  You know what Bush did?
[00:19:00.277 --> 00:19:02.537]  He told Phil Giraldi, get out of here.
[00:19:02.557 --> 00:19:03.337]  Get out of the office.
[00:19:04.277 --> 00:19:05.458]  You know what Phil Giraldi did?
[00:19:06.038 --> 00:19:06.478]  He quit.
[00:19:06.938 --> 00:19:08.058]  He's a real man of honor.
[00:19:08.518 --> 00:19:15.620]  How come these warmongering little lying freaks haven't been brought up on trial?
[00:19:15.960 --> 00:19:18.300]  You think this is going to bring these people up on trial?
[00:19:18.621 --> 00:19:19.061]  No way.
[00:19:20.101 --> 00:19:21.801]  It's one big club and you ain't in it.
[00:19:22.201 --> 00:19:25.662]  And the club is nothing more than a crime syndicate.
[00:19:26.368 --> 00:19:31.050]  The country is run by the military-industrial complex, as we're seeing now.
[00:19:31.831 --> 00:19:36.413]  Anybody with a brain bigger than a pea can't see it.
[00:19:37.073 --> 00:19:38.394]  You're dumb and blind.
[00:19:38.714 --> 00:19:40.735]  Who is the Secretary of Defense?
[00:19:41.635 --> 00:19:42.856]  Oh, Lloyd Austin.
[00:19:43.356 --> 00:19:47.618]  I was a general in Iraq and killed a lot of innocent people.
[00:19:48.099 --> 00:19:54.962]  And before I got the job as Secretary of Defense, I sat on the board of directors of Raytheon.
[00:19:56.454 --> 00:19:59.238]  You've got the military-industrial complex.
[00:19:59.639 --> 00:20:00.660]  Oh, and don't believe me.
[00:20:01.201 --> 00:20:04.646]  Believe a man by the name of Dwight D. Eisenhower.
[00:20:05.433 --> 00:20:06.493]  Five-Star General?
[00:20:06.913 --> 00:20:08.754]  Supreme Commander of the Allied Forces?
[00:20:09.234 --> 00:20:10.654]  Oh, a celebration!
[00:20:10.955 --> 00:20:24.498]  January 17th is Farewell Address 1963, warning the American people that the military-industrial complex is robbing the nation of the genius of the scientists, the sweat of the laborers, and the future of the children.
[00:20:24.978 --> 00:20:25.679]  Here we are!
[00:20:26.139 --> 00:20:26.819]  Here we are!
[00:20:27.459 --> 00:20:30.621]  Hundred and eight hundred and sixty billion dollar defense budget.
[00:20:31.081 --> 00:20:31.602]  Oh, yeah.
[00:20:31.762 --> 00:20:35.384]  Anyway, the military industrial complex and the banksters.
[00:20:36.785 --> 00:20:37.405]  Oh, that's right.
[00:20:37.745 --> 00:20:40.267]  Hey, I'm too big to fail.
[00:20:40.707 --> 00:20:41.647]  You're a nobody.
[00:20:41.728 --> 00:20:42.968]  I'm Jamie Dimon.
[00:20:43.348 --> 00:20:44.429]  I'm Goldman Sachs.
[00:20:44.509 --> 00:20:45.730]  I'm a Merrill Lynch mob.
[00:20:46.423 --> 00:20:49.664]  Oh, the Federal Reserve is going to dump in $29 trillion, right?
[00:20:50.244 --> 00:20:52.705]  Oh yeah, that's okay.
[00:20:52.985 --> 00:20:57.906]  2007, 2010, according to the Levy Institute at Bard College.
[00:20:58.606 --> 00:20:59.266]  And the same thing.
[00:20:59.326 --> 00:21:02.887]  As the markets are going down, the Federal Reserve just kept pumping in more and more money.
[00:21:03.347 --> 00:21:04.147]  Number three.
[00:21:05.668 --> 00:21:06.808]  The drug dealers.
[00:21:07.508 --> 00:21:10.949]  That morons and imbeciles called Big Pharma.
[00:21:12.990 --> 00:21:18.102]  That little low-life piece of garbage scum crap, Bill Clinton.
[00:21:19.520 --> 00:21:29.464]  Every time, the guy who every time he got caught with his pants down bombs the way over Baghdad, he killed over 500,000 Iraqi children under the age of five, those dirty Russians.
[00:21:29.504 --> 00:21:40.289]  No, no, Bill Clinton, Madeleine Albright on 60 Minutes telling Leslie Stahl, the sanctions put on Russia that killed 500,000 Iraqi children, it was worth the price.
[00:21:40.669 --> 00:21:46.872]  That Bill Clinton allowed the drug dealers to run their ads on TV in 1997.
[00:21:49.995 --> 00:21:50.855]  Number four.
[00:21:51.956 --> 00:21:52.536]  Big tech.
[00:21:54.196 --> 00:21:56.017]  That's who controls this country.
[00:21:56.417 --> 00:21:57.057]  The geeks.
