[00:02:32.947 --> 00:02:33.527]  Pull this over.
[00:08:12.632 --> 00:08:14.113]  And I think you can see it, too.
[00:08:14.173 --> 00:08:16.034]  But we've got all that bad news to get to.
[00:08:17.381 --> 00:08:19.762]  But we need to admit it's happened so we can counter it and do something about it.
[00:08:20.663 --> 00:08:23.864]  Jack Mosobik joins us next hour to discuss that.
[00:08:24.924 --> 00:08:31.447]  We're going to be posting to the front page of InfoWars the boil-down of my interview with Elon Musk.
[00:08:32.448 --> 00:08:39.711]  The full thing, and I'll call it my interview because I get on there, the media starts asking me questions, and then they go, Elon Musk is here.
[00:08:39.751 --> 00:08:42.192]  And Elon goes, I'm just going to sit here and just listen to Alex.
[00:08:42.232 --> 00:08:42.773]  And I said, no.
[00:08:43.809 --> 00:08:44.409]  I don't think so.
[00:08:45.310 --> 00:08:48.411]  I'm not on my chance to talk to Elon Musk.
[00:08:48.451 --> 00:08:51.573]  Just the main interview's got 9 million views, probably got 100 million views.
[00:08:52.233 --> 00:08:55.275]  But just since yesterday, the clips have 50, 60 million views.
[00:08:55.295 --> 00:08:56.116]  This is what I saw on Twitter.
[00:08:57.356 --> 00:08:58.977]  And I wasn't even looking for the clips, it was everywhere.
[00:08:58.997 --> 00:09:05.621]  10 million here, 5 million here, 3 million here, 8 million here, 3 million here, 5 million, 2 million, 1 million, 8 million, 2 million, 4 million, 9 million.
[00:09:06.401 --> 00:09:07.702]  It's just insane.
[00:09:08.562 --> 00:09:15.548]  And we're talking about stuff that the globalists have fought tooth and nail to never have come out, to never be seen.
[00:09:16.749 --> 00:09:19.951]  So Mario Nafal, I appreciate him doing that.
[00:09:20.592 --> 00:09:25.936]  I'm glad that my producer was working seven days a week when she got the email yesterday morning.
[00:09:26.136 --> 00:09:27.718]  We got it set up for the afternoon.
[00:09:28.919 --> 00:09:31.941]  We went from noon central until about 2.45.
[00:09:32.782 --> 00:09:36.745]  The bus was on for about two hours and 15 minutes.
[00:09:37.746 --> 00:09:37.866]  And
[00:09:40.612 --> 00:09:42.734]  This is the antidote to the New World Order.
[00:09:42.814 --> 00:09:49.681]  What was discussed there was extremely powerful, and I'm very, very proud to be involved in it, and I want to appreciate listeners.
[00:09:50.602 --> 00:09:51.443]  I want you to listen to me.
[00:09:52.043 --> 00:10:02.713]  Keeping us on air the last five years under CIA, NSA, FBI, think tank, Democratic Party, law firm, corporate media, big tech.
[00:10:03.817 --> 00:10:15.460]  Stalkers, PIs, family being harassed, and I knew that we're in a war against exterminists, against globalists, against transhumanists, and I signed up for this, but it's been hell.
[00:10:16.820 --> 00:10:24.142]  But I've been praying and just knowing that God is in charge, and God has shown me so much, so I've been thankful for the persecution.
[00:10:25.615 --> 00:10:28.137]  And my spirit has been aware of that.
[00:10:28.197 --> 00:10:29.177]  The flesh doesn't like it.
[00:10:29.477 --> 00:10:30.178]  It's had a toll.
[00:10:31.078 --> 00:10:36.221]  But because we're all really, you know, as you know, two people, the fleshly man and the spiritual man.
[00:10:37.042 --> 00:10:39.964]  But I'm energized and extremely excited.
[00:10:40.404 --> 00:10:42.165]  The enemy is going to throw a bunch of horrible stuff at us.
[00:10:42.185 --> 00:10:44.847]  We'll talk about that next hour because we're not out of the woods yet.
[00:10:44.887 --> 00:10:47.048]  But we've turned the tide and the Great Awakening is here.
[00:10:47.088 --> 00:10:51.170]  And my phone was just blowing up with all the top talk shows.
[00:10:51.431 --> 00:10:51.771]  Oh, funny.
[00:10:51.851 --> 00:10:53.272]  All the top ones are Antonio Bordino.
[00:10:54.275 --> 00:10:57.277]  A lot of them have been in the war for a while, but they're really, the bandwagon's happening.
[00:10:57.797 --> 00:11:01.840]  Just blown up with, you're right, the turning's here, they're gonna be defeated.
[00:11:04.322 --> 00:11:10.006]  This is so exciting, but let's talk about the audience who are activists of this broadcast.
[00:11:10.867 --> 00:11:19.173]  Because we're now recognized as the progenitor of taking all this mainstream, and that is you, the audience that did this.
[00:11:20.202 --> 00:11:28.834]  Buying the products, spreading the links, when you were getting censored and attacked for it, keeping us on air up against globalists that have trillions of dollars.
[00:11:29.415 --> 00:11:32.820]  Your tens of millions has held us in this position.
[00:11:34.321 --> 00:11:37.061]  I will say this though, because I always go with the spirit now.
[00:11:37.362 --> 00:11:38.882]  The older I get, it's never wrong.
[00:11:39.282 --> 00:11:42.342]  So I need your prayers, and so does President Trump and Elon Musk.
[00:11:42.742 --> 00:11:44.723]  If you say what you want about Elon, they're coming after him.
[00:11:45.923 --> 00:11:47.723]  I am going to have to get full-time security.
[00:11:47.763 --> 00:11:54.425]  I've had it off and on, but as of today, one way or another, we've got to have it.
[00:11:54.865 --> 00:12:00.766]  Because we're moving into the season of the enemy making a major move.
[00:12:00.986 --> 00:12:02.686]  And look, I was happy to take the back seat.
[00:12:03.800 --> 00:12:19.768]  I'd already done so much work with you guys getting the truth out, a blueprint to resist the enemy, that in a way I was kind of like, well, I've done my work, and you've heard me on air say this, and I'll still keep on keeping on, but most folks that are prominent now are starting to get all this.
[00:12:19.808 --> 00:12:20.788]  Some of them have really got it.
[00:12:21.528 --> 00:12:22.669]  Charlie Kirk's really got it.
[00:12:22.889 --> 00:12:28.772]  I was on with him for an hour today, right before I went on here, and I'm happy to take a back seat.
[00:12:29.517 --> 00:12:32.038]  Well, God's like, all right, you're not taking a back seat.
[00:12:32.058 --> 00:12:33.459]  You're throwing on the front lines again.
[00:12:34.660 --> 00:12:37.281]  And you're energized.
[00:12:37.981 --> 00:12:39.422]  And that's what's happening here.
[00:12:40.243 --> 00:12:46.006]  So I admire Trump putting his life on the line.
[00:12:46.046 --> 00:12:48.647]  Everybody else doing this is fighting, but I'm not a coward.
[00:12:48.667 --> 00:12:51.949]  But at the same time, like, okay, well, if God takes me out of the fight, you know,
[00:12:52.847 --> 00:13:12.675]  Partially I'll be happy to kind of just you know done my 29 years and this I'll still be here and I'll go out and do events and everything else and I'll fight as hard as I can but it's kind of nice to not be numero uno and I can feel it I can see it I know it we just got a
[00:13:15.259 --> 00:13:16.740]  Ten times more powerful.
[00:13:17.301 --> 00:13:20.863]  Because this wasn't about just getting back on Twitter.
[00:13:21.824 --> 00:13:24.005]  We used to just send links out and videos.
[00:13:24.025 --> 00:13:25.426]  Twitter was never that big a deal for us.
[00:13:26.187 --> 00:13:29.850]  But now the way Twitter's energized and what's happened, I mean, it's like
[00:13:30.896 --> 00:13:31.816]  Insane, folks.
[00:13:32.216 --> 00:13:34.897]  I can put a video up of paint drying and 10 million people will watch it.
[00:13:35.377 --> 00:13:36.838]  Or I can be putting videos of paint drying up.
[00:13:37.358 --> 00:13:43.119]  And understand this, there's no conditions with me on X, there's no deals, there's none of this.
[00:13:44.080 --> 00:13:49.161]  Elon Musk saw it as a symbol of go after yourself to the new world order after all the stuff they've done to him.
[00:13:50.201 --> 00:13:56.983]  So, the globalists are running into people that when you attack them, we don't back down, we get even.
[00:13:58.323 --> 00:14:01.906]  And so, you're going to see total bandwagoning over our side.
[00:14:02.666 --> 00:14:09.791]  The problem is the New World Order is going to release a new virus, power outages, cyber attacks, mass shootings, terror attacks.
[00:14:10.472 --> 00:14:12.393]  They're going to go ahead and try to have nuclear war with Russia.
[00:14:12.813 --> 00:14:14.375]  And we need to take the keys away from them.
[00:14:15.475 --> 00:14:25.963]  And I say to the establishment people, and this is happening now, there's a lot of big people in the system that don't want to commit suicide, that don't want to be in the death cult, who've gone along with it because the death cults are the ones they had to do business with.
[00:14:27.185 --> 00:14:30.408]  Just come on, come on, come on, come on, baby.
[00:14:30.548 --> 00:14:32.410]  Come on, come on, come on.
[00:14:33.231 --> 00:14:33.911]  I got news.
[00:14:33.951 --> 00:14:35.433]  You don't ever have to die.
[00:14:35.913 --> 00:14:36.814]  Just stop it.
[00:14:38.015 --> 00:14:44.341]  I'm like an FBI negotiator back when they were still the FBI to some extent saying, you know, you're going to end up getting killed doing this.
[00:14:45.413 --> 00:14:45.893]  Come on out.
[00:14:45.933 --> 00:14:46.734]  We can work this out.
[00:14:46.774 --> 00:14:48.494]  You might just do it just a few years in jail.
[00:14:49.135 --> 00:14:50.355]  Just, just, it'll be so easy.
[00:14:50.815 --> 00:14:55.077]  Just lay down the gun and just come on out and we'll get you some dinner.
[00:14:55.417 --> 00:14:56.057]  Everything's gonna be alright.
[00:14:56.077 --> 00:14:56.858]  We want to work with you.
[00:14:57.338 --> 00:14:59.579]  Just put the gun down.
[00:14:59.779 --> 00:15:00.859]  Let the hostages go.
[00:15:02.440 --> 00:15:03.540]  Because they're holding us all hostage.
[00:15:03.560 --> 00:15:12.404]  If you don't do what we want, nuclear war with Russia, your sons and daughters will be dying right now in... name the place, like, the Middle East.
[00:15:13.533 --> 00:15:13.793]  Europe.
[00:15:14.233 --> 00:15:14.653]  Ukraine.
[00:15:14.733 --> 00:15:15.393]  And they're doing it.
[00:15:15.413 --> 00:15:16.414]  I have a bunch of clips on that.
[00:15:16.434 --> 00:15:17.914]  Again, next hour we'll talk about it.
[00:15:18.934 --> 00:15:24.795]  But, I mean, do people really want to cut the energy off and really flood the third world into the West?
[00:15:24.855 --> 00:15:27.136]  I mean, do we really want to ban eating beef?
[00:15:27.156 --> 00:15:28.256]  Do we really want to eat bugs?
[00:15:28.276 --> 00:15:29.696]  Do we really want to promote pedophilia?
[00:15:29.957 --> 00:15:33.277]  Do we really want Hollywood and these sick, crazy people to run things?
[00:15:33.297 --> 00:15:35.558]  Do we really want China to be dominant?
[00:15:35.578 --> 00:15:37.418]  Do we really want to just blow the country away?
[00:15:37.438 --> 00:15:38.278]  Do we really?
[00:15:38.298 --> 00:15:38.878]  I mean, no!
[00:15:39.038 --> 00:15:41.139]  No, no, no, no, no, no, no!
[00:15:43.243 --> 00:15:51.939]  And archetypally, some of the worst globalists like Charlie Munger and Henry Kissinger are dead as doornails right now.
[00:15:51.959 --> 00:15:56.267]  To quote Charles Dickens, dead as a box of rocks.
[00:16:00.250 --> 00:16:09.393]  What would you do if there was a tyrannical totalitarian world government taking over whose plan was to kill 90% of the world population and they were already beginning to do it?
[00:16:09.874 --> 00:16:10.754]  You would rally against it?
[00:16:10.774 --> 00:16:11.314]  You would fight it?
[00:16:11.674 --> 00:16:13.035]  And that's what we're doing.
[00:16:13.515 --> 00:16:14.616]  This is the reality of 2023.
[00:16:15.856 --> 00:16:18.858]  I just want to thank listeners and viewers for your last year's support.
[00:16:19.158 --> 00:16:30.546]  I want to encourage you now more than ever to spread the word about the broadcast, to pray for the broadcast, to take clips and share it from the broadcast, and to buy products that enrich your life at InfoWarsTore.com.
[00:16:30.887 --> 00:16:37.231]  We have the signed or unsigned copy of my new book, The Great Awakening, The Plan to Defeat the Globalist and Launch the Second Renaissance.
[00:16:37.651 --> 00:16:42.815]  Twice as long as my last book, incredibly powerful, signed or unsigned, InfoWarsTore.com.
[00:16:43.275 --> 00:16:46.078]  And we have X2 finally back in stock after over a year.
[00:16:46.419 --> 00:16:47.360]  InfoWareStore.com.
[00:16:47.580 --> 00:16:52.806]  We have Turbo Force, 10-hour clean energy, back in stock, and a bunch of other great products as well.
[00:16:53.086 --> 00:16:56.830]  So please visit InfoWareStore.com and do your Christmas shopping there.
[00:16:57.131 --> 00:16:59.633]  Fund the InfoWare and get great products all at the same time.
[00:17:00.254 --> 00:17:05.096]  Please listen closely because this is life-changing critical information.
[00:17:05.696 --> 00:17:15.520]  The globalists are bombarding us with toxic chemicals hitting us in the air, the water, the food, the 5G, the poison shots, the shedding.
[00:17:16.720 --> 00:17:17.060]  I'm good.
[00:17:40.070 --> 00:17:40.731]  We're good to go.
[00:18:01.235 --> 00:18:08.338]  Sleepless nights seem to be a lot more common these days with everything that's going on both at home and the world at large.
[00:18:08.899 --> 00:18:16.682]  If you're having trouble getting to that deep sleep we could all use more of, our new sleep support formula, Down-N-Out, is just the thing.
[00:18:17.463 --> 00:18:23.826]  It's our new, faster-absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[00:18:24.494 --> 00:18:34.407]  Formulated to improve upon our best-selling product, Knockout, with Down and Out, now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[00:18:34.927 --> 00:18:39.313]  So the ingredients are already dissolved into the formula before you even take it.
[00:18:39.733 --> 00:18:43.438]  One of the other sleep support herbs included is the Passionflower.
[00:18:43.578 --> 00:18:43.958]  I think so.
[00:19:00.876 --> 00:19:08.359]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[00:19:09.020 --> 00:19:14.142]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it.
[00:19:14.502 --> 00:19:19.905]  And they can be found in fish, which are arguably the best source of omega-3s.
[00:19:20.845 --> 00:19:22.906]  But the problem today is finding fish
[00:19:46.866 --> 00:19:51.528]  Get your essential omega-3 fatty acids from the best sources available.
[00:19:52.009 --> 00:19:54.270]  Ultimate fish oil and ultimate krill oil.
[00:19:55.050 --> 00:19:58.052]  Get some today at InfoWareStore.com.
[00:20:00.813 --> 00:20:06.716]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:08.390 --> 00:20:08.931]  Thanks for watching.
[00:20:44.537 --> 00:20:45.658]  Thank you for having me.
[00:21:13.169 --> 00:21:14.190]  And that's the bottom line.
[00:21:14.230 --> 00:21:25.715]  I think it is the battle of people who believe in humans and humanity and want it to expand against people who are so selfishly going through the earth and so selfishly orientated that they don't care about expanding civilization.
[00:21:25.735 --> 00:21:27.836]  They just want to control the humans that are currently here.
[00:21:28.236 --> 00:21:29.516]  And Andrew, I totally agree with you.
[00:21:31.081 --> 00:21:36.243]  I totally agree, but let me throw this caveat on it, because I've read the writings of Bill Gates and Klaus Schwab and the Club of Rome.
[00:21:36.663 --> 00:21:38.704]  They know we could easily expand.
[00:21:38.784 --> 00:21:41.686]  There's plenty of room, hundreds of billions of galaxies.
[00:21:42.266 --> 00:21:49.649]  They know that this is just a seed that's going to not just grow into one giant oak, but an entire forest, an entire universe.
[00:21:50.209 --> 00:21:54.391]  And so they want to shut everybody else down because they can't build a competition.
[00:21:54.491 --> 00:21:56.472]  All right, guys, let's stop right there.
[00:21:57.571 --> 00:21:58.412]  Let's stop right there.
[00:21:59.232 --> 00:22:00.813]  This has never happened before.
[00:22:01.674 --> 00:22:03.055]  We have our own satellite uplinks.
[00:22:03.155 --> 00:22:04.396]  We have our own switchers.
[00:22:04.476 --> 00:22:05.717]  We have a lot of great equipment.
[00:22:06.498 --> 00:22:17.165]  And I'm not saying it's some kind of sabotage, but we had a bunch of stuff happen with the satellites and the feeds get scrambled as soon as I went to that clip.
[00:22:17.506 --> 00:22:23.450]  The second we went to it, the second we went to it, you saw it, you heard it out there.
[00:22:24.111 --> 00:22:25.752]  Radio, TV, satellites, all of it.
[00:22:26.960 --> 00:22:28.800]  Cut and started putting other feeds up.
[00:22:29.040 --> 00:22:40.483]  And when we're trying to figure out what's going on, that's never, this problem, we don't have a lot of problems as you know, we run a pretty clean operation here, just happened for the first time.
[00:22:41.243 --> 00:22:44.844]  And it's so historic, talking about Team Humanity and the rest of it.
[00:22:46.504 --> 00:22:55.146]  Again, this is spaces on Twitter there were hundreds of guests on,
[00:22:56.428 --> 00:23:02.633]  And a bunch of other people on, a lot of them would turn their mic on when they weren't talking.
[00:23:02.773 --> 00:23:07.196]  And that's why you have Vivit Ramaswamy in the bathroom on there, and that becoming a funny Benny Hill joke or something.
[00:23:08.037 --> 00:23:09.138]  But this is so important.
[00:23:09.158 --> 00:23:11.199]  I'm not going to have it messed up and scrambled like this.
[00:23:12.100 --> 00:23:18.285]  So I'm going to, Jack Posobiec is coming up to talk about the World War III scenarios and what's really important.
[00:23:18.305 --> 00:23:24.430]  I want to talk about the fourth turning we're in, why the globalists want so much control
[00:23:26.058 --> 00:23:29.120]  Right now, but I started the show with this.
[00:23:29.180 --> 00:23:30.020]  I want to show this again.
[00:23:30.040 --> 00:23:31.101]  Can I have an overhead shot, please?
[00:23:32.502 --> 00:23:36.924]  There are decades where nothing happens and there are weeks where decades happen.
[00:23:37.925 --> 00:23:39.846]  That's the head of the October Revolution in 1917.
[00:23:45.848 --> 00:23:47.169]  In Russia, V.I.
[00:23:47.349 --> 00:23:47.669]  Lenin.
[00:23:48.470 --> 00:23:53.993]  And the globalists, the Rand Corporation, all of them talk about normally society's frozen in status quo.
[00:23:54.573 --> 00:24:03.578]  But every 87 years or so, this has been known about for really thousands of years, there's generational changes that happen and humans go through a cycle of major change.
[00:24:04.058 --> 00:24:05.539]  But then there are super cycles.
[00:24:07.618 --> 00:24:08.079]  And we're
[00:24:24.673 --> 00:24:29.715]  Be able to basically make a bunch of changes and set up a transhumanist situation.
[00:24:30.476 --> 00:24:40.160]  So, we're doing an analysis of the satellites and the equipment, the radio, TV, satellites right now, and as soon as I know that everything is 100% back, we believe it's all back, I will continue on.
[00:24:40.180 --> 00:24:41.081]  But this is historic.
[00:24:41.721 --> 00:24:42.981]  This information needs to get out.
[00:24:43.001 --> 00:24:45.162]  Do I have a green light from the engineers?
[00:24:49.604 --> 00:24:50.225]  Okay, so.
[00:24:51.620 --> 00:24:52.361]  I'm going to do this.
[00:24:52.641 --> 00:24:54.023]  We're going to go to break in four minutes.
[00:24:54.143 --> 00:24:55.184]  Everything's good, I'm told.
[00:24:56.065 --> 00:24:57.446]  And then I'm going to restart the show.
[00:24:57.566 --> 00:25:03.372]  I'm not going to go over ground already covered, but I'm going to get really focused and get back in the zone.
[00:25:03.993 --> 00:25:05.735]  I got to say, I did an hour with Charlie Kirk.
[00:25:07.003 --> 00:25:14.685]  It's really good and I was on and I really laid it out in 45 minutes of airtime if you take the breaks out.
[00:25:15.466 --> 00:25:17.646]  So I think I'm going to take that.
[00:25:17.706 --> 00:25:18.727]  I'm sure he's good with it.
[00:25:19.267 --> 00:25:27.289]  I'll call him first and I'm going to post the Charlie Kirk interview on my ex account as soon as we can grab it as soon as we can get it out.
[00:25:27.810 --> 00:25:29.690]  He was taping it so I think it airs in a couple hours.
[00:25:30.890 --> 00:25:31.871]  So look for that.
[00:25:33.435 --> 00:25:37.358]  I think I really nailed it there when you know when you nailed it it's almost like well, why are you gonna do it again?
[00:25:37.758 --> 00:25:43.282]  Well, I'm gonna nail it even better when we come back I'm gonna restart I'm gonna get done and
[00:25:46.025 --> 00:25:48.707]  I am going to knock it out of the park today.
[00:25:48.727 --> 00:25:54.490]  And I just want to again thank all the viewers and listeners for all you've done keeping us on air through these trials and tribulations.
[00:25:55.130 --> 00:25:57.671]  Don't think for a minute more tribulations aren't coming.
[00:25:57.691 --> 00:25:59.192]  We're in the danger zone right now.
[00:25:59.753 --> 00:26:04.235]  But people can't just politically or economically or culturally see how much danger we're in.
[00:26:04.655 --> 00:26:05.776]  People can feel it.
[00:26:07.617 --> 00:26:13.160]  And all the threats of nuclear war by the Biden administration, if you don't do what they want, is not having the desired effect.
[00:26:14.495 --> 00:26:17.998]  Of really anybody, including people in the government, who'd like to go on living.
[00:26:18.138 --> 00:26:18.879]  I'd like to go on living.
[00:26:19.239 --> 00:26:20.440]  I don't want a civil war.
[00:26:20.460 --> 00:26:22.061]  I don't want a race war.
[00:26:22.121 --> 00:26:23.502]  I don't want a depression.
[00:26:23.522 --> 00:26:25.023]  I don't want to eat bugs.
[00:26:25.063 --> 00:26:28.186]  I don't want my kids to be harassed by government-sponsored pedophiles.
[00:26:28.206 --> 00:26:29.627]  I don't want fentanyl everywhere.
[00:26:29.647 --> 00:26:32.169]  I don't want devil worship everywhere.
[00:26:32.229 --> 00:26:33.330]  I'm sick of Hollywood.
[00:26:33.430 --> 00:26:34.110]  So are you.
[00:26:34.130 --> 00:26:38.194]  I want productivity, prosperity, and a relationship with God.
[00:26:38.914 --> 00:26:42.296]  And I want my children to grow up in a world with your children where we have a future.
[00:26:42.876 --> 00:26:44.297]  And that's all we're really doing.
[00:26:44.917 --> 00:26:52.100]  We have this entire enemy globalist psycho control system that doesn't want the normal human order and the normal way we're developing.
[00:26:52.140 --> 00:26:53.481]  They want control now.
[00:26:55.522 --> 00:27:02.125]  And they've been sabotaging it and they've been screwing it up and they've been causing all these destabilization programs in their own documents.
[00:27:03.026 --> 00:27:07.368]  So they have a bunch of confused, poisoned, crazy people they can control.
[00:27:08.524 --> 00:27:10.285]  They want to rule a madhouse!
[00:27:12.546 --> 00:27:14.927]  In the land of the blind, the one-eyed man's king!
[00:27:14.948 --> 00:27:28.395]  They want to gouge our metaphysical eyeballs out, and get rid of our olfactory nerves, and our taste and everything else, and our touch, and cut off our sixth sense, thanks to God, so they can run the tables on our asses!
[00:27:29.480 --> 00:27:31.781]  I don't know about you folks, but I don't want to be part of that.
[00:27:32.082 --> 00:27:33.142]  And I'm saying no.
[00:27:33.162 --> 00:27:35.584]  So you can throw whatever you want at me.
[00:27:35.604 --> 00:27:36.264]  It doesn't matter.
[00:27:36.604 --> 00:27:40.106]  I'm more alive than I've ever been fighting these tyrants.
