[00:00:00.129 --> 00:00:01.929]  It's Alex Jones.
[00:13:56.957 --> 00:13:57.717]  Number was probably higher.
[00:13:57.737 --> 00:14:03.720]  And I'm just, New York Times, I'm sitting there reading coffee, reading and drinking coffee, and it's just right there, yep.
[00:14:04.060 --> 00:14:08.201]  And of course, you can go read about it in the foreign press too, but just, yeah, the UN came in and just killed 10,000 people.
[00:14:08.801 --> 00:14:26.008]  So you see these movies and the UN's the savior, and there's this UN group of superheroes that come to create stability and battle Black Adam because he's too violent, and they're the UN and they're gonna save the world, when it's the UN that is the biggest group running those lithium mines and those slave camps.
[00:14:26.448 --> 00:14:31.210]  They run it, they control it, they get a big cut of the money from the multinational corporations.
[00:14:31.250 --> 00:14:35.271]  And who gets 98% of rare earth minerals out of the ground in the world?
[00:14:36.311 --> 00:14:37.812]  The Ch-Ch-Ch-Ch-Chicoms.
[00:14:38.372 --> 00:14:40.953]  So in most cases, the Chicoms don't run the enslavement.
[00:14:41.433 --> 00:14:44.734]  They run the civilian side of it, extracting it and controlling the slaves.
[00:14:45.034 --> 00:14:47.975]  But the paramilitary camps are run by the U.N.
[00:14:48.135 --> 00:14:48.615]  on record.
[00:14:49.015 --> 00:14:52.336]  But when you watch a movie from Hollywood, it's the U.N.
[00:14:52.676 --> 00:14:54.397]  saving everyone from the mercenaries.
[00:14:54.957 --> 00:14:57.638]  A lie, a lie, a lie.
[00:14:57.878 --> 00:15:00.359]  All of it, a big, giant, damn lie.
[00:15:00.379 --> 00:15:05.720]  We don't hear about the UN paying reparations for all the African slaves they got right now, or for cutting the damn food off.
[00:15:06.140 --> 00:15:07.061]  They're alive right now.
[00:15:07.121 --> 00:15:07.921]  The UN did this.
[00:15:07.941 --> 00:15:08.781]  They should be executed.
[00:15:12.602 --> 00:15:15.743]  Welcome back, my friends, to the Alex Jones Show, Live Sunday Edition.
[00:15:17.204 --> 00:15:21.785]  Good to be back in Central Texas with a great crew and all of you watching and listening.
[00:15:22.836 --> 00:15:24.117]  All right, so here's the bottom line.
[00:15:24.137 --> 00:15:25.438]  The New World Order is out in the open now.
[00:15:25.478 --> 00:15:26.278]  They're making their move.
[00:15:29.781 --> 00:15:31.962]  And folks are really starting to wake up to how serious it is.
[00:15:32.422 --> 00:15:51.475]  And one of the biggest takeaways that's now unfolding is that people really understand now that domestic operations of Western intelligence agencies are taking place in our countries and are totally illegal.
[00:15:52.503 --> 00:15:56.165]  I told you this decades ago because it came out in congressional hearings here and there.
[00:15:56.565 --> 00:16:23.265]   But now, with the hearings a few months ago in Congress and others coming out in the UK and Canada and Australia, it is being confirmed that the military's main mission, and the CIA and MI6 and MI5 and the FBI and all the other intelligence agencies across the Western world, was unified to go after populists, to go after Christians, to go after conservatives, to go after people that didn't want their borders open, to go after people that didn't want forced injections or lockdowns.
[00:16:23.885 --> 00:16:25.906]  And now more documents have been released.
[00:16:26.567 --> 00:16:33.690]  Secret UK government unit worked with social media to, quote, shut down lockdown critics, calling them terrorists.
[00:16:34.390 --> 00:16:35.391]  Same thing in the US.
[00:16:36.452 --> 00:16:37.252]  Same thing in Canada.
[00:16:38.837 --> 00:16:43.781]  Same thing in Germany, France, the Netherlands, Sweden, Denmark, everywhere!
[00:16:44.461 --> 00:16:46.063]  That's, quote, in the Western Alliance.
[00:16:49.665 --> 00:17:11.909]   And that's New Zealand, that's Australia, that's Western Europe, that's the UK, that's a lot of Latin American countries are on board, a lot of African countries, not a lot, they've kind of gotten out of it, they used to be, and some Middle Eastern countries, a lot of Asian countries like South Korea, Japan, they are on board.
[00:17:13.110 --> 00:17:18.813]  BBC leaked messages of the plan to frighten the public.
[00:17:19.994 --> 00:17:21.035]  That's from back in March.
[00:17:21.095 --> 00:17:22.896]  So we told you all of this.
[00:17:23.476 --> 00:17:27.358]  Exclusive ministers had chilling secret unit to curb lockdown dissent.
[00:17:27.378 --> 00:17:31.121]  They were going to keep you locked down forever.
[00:17:31.321 --> 00:17:34.783]  The plan is to collapse civilization and society.
[00:17:36.792 --> 00:17:38.574]  And now it's all confirmed exactly what we told you.
[00:17:38.634 --> 00:17:42.237]  So let me show you a little bit of this and explain what they're doing.
[00:17:42.777 --> 00:17:53.027]  Have you noticed whether in Detroit or Chicago or LA or San Francisco or New York City or any other leftist run jurisdiction that crime is completely out of hand?
[00:17:53.857 --> 00:17:55.058]  And the worst it's ever been in U.S.
[00:17:55.098 --> 00:18:01.040]  history, and the only people being prosecuted are people that shoot armed robbers in their businesses or their houses.
[00:18:01.661 --> 00:18:11.185]  Or if a man's trying to kill people on a subway, and a black man, a white man, a Hispanic man, fight him for more than 10 minutes, and he dies in a chokehold, and now the white guy gets arrested?
[00:18:12.966 --> 00:18:13.866]  And charged with murder?
[00:18:15.787 --> 00:18:16.367]  Manslaughter?
[00:18:19.328 --> 00:18:20.209]  What's this really about?
[00:18:21.479 --> 00:18:27.364]  Well, they know if you go in and tell everybody, go home for several years and don't go to work, that's going to kill all the real estate.
[00:18:27.864 --> 00:18:33.348]  And they know if you let crime run rampant, let them rob all the stores, all the criminals, it's going to get worse and worse and worse and worse and worse.
[00:18:33.628 --> 00:18:44.817]  With Black Lives Matter, Soros, UN, State Department funded, burning down billions of dollars of, in many cases, even government project buildings.
[00:18:46.240 --> 00:18:53.541]  This is meant to bring down society, and then the globals to bring in tyranny later, and then they will absolutely enslave all of us.
[00:18:54.061 --> 00:19:06.784]  And they even admit in the San Francisco Chronicle, oh, they're 40% empty, their business, real estate, all those big high-rises, and especially the stuff on the street, it's all empty in many areas.
[00:19:07.704 --> 00:19:09.444]  It's more like 50% in Chicago.
[00:19:09.944 --> 00:19:10.744]  What's their answer?
[00:19:10.764 --> 00:19:12.045]  60% in Detroit.
[00:19:12.745 --> 00:19:13.425]  What's their answer?
[00:19:14.888 --> 00:19:30.374]  Oh, everybody will get universal basic income and part of the welfare will go in the government check to pay to convert these business buildings, these business high-rise business centers into quote, affordable housing.
[00:19:31.235 --> 00:19:32.775]  And then there'll be all the crime and controls.
[00:19:32.795 --> 00:19:36.157]  So now you've got to have your digital passport and your face scan and drones.
[00:19:36.477 --> 00:19:37.657]  And now you're in your prison city.
[00:19:37.858 --> 00:19:38.978]  And they admit that's the plan.
[00:19:39.278 --> 00:19:45.808]   That's why whether you're in France, Or whether you're in the Netherlands or whether you're in London, England, it's the same plan.
[00:19:46.388 --> 00:19:47.828]  Collapse society.
[00:19:48.168 --> 00:19:49.149]  Defund the police.
[00:19:49.589 --> 00:19:51.349]  Prosecute people that defend themselves.
[00:19:52.949 --> 00:19:54.610]  Allstate drops California.
[00:19:56.210 --> 00:19:59.471]  Will not write new insurance policies over wildfires.
[00:19:59.811 --> 00:20:04.332]  Joining more than 50 other insurance companies saying it's uninsurable.
[00:20:04.692 --> 00:20:06.272]  That's when you're in a failed society.
[00:20:07.172 --> 00:20:17.510]   Allstate will insure you in Mexico, in Guatemala, But they will not insure you in Venezuela or North Korea or Somalia.
[00:20:21.093 --> 00:20:22.834]  And you look at them and go, oh, they're mismanaging.
[00:20:22.894 --> 00:20:24.876]  No, they know exactly what they're doing.
[00:20:25.196 --> 00:20:26.277]  Command destruction.
[00:20:27.558 --> 00:20:28.058]  There's another one.
[00:20:28.399 --> 00:20:32.542]  America Today, a Starbucks where you can't sit, a Walgreens where you can't shop.
[00:20:33.462 --> 00:20:46.751]  You have to come in, you can't sit down, you have to go to the window where everything is locked up in the store, and you go to a kiosk, and then a robot goes, and it goes on conveyor belts, is what they're building in many places, on the ceiling and comes to you.
[00:20:46.771 --> 00:20:52.234]  So there's conveyor belts, they're putting these in all over the place, that go down into these locked up cases.
[00:20:52.735 --> 00:21:00.460]  It goes down and gets what you want, an apple, a pack of razors, aspirin, tampons, whatever it is you want.
[00:21:01.903 --> 00:21:10.088]  And then the robot either goes and gets in on the ground or it goes and there's a conveyor belt that's on the ceiling that then takes it and drops it into your basket.
[00:21:10.428 --> 00:21:11.449]  No more checkers.
[00:21:12.349 --> 00:21:17.653]  And again, no one would have put up with this unless it's too dangerous to be there or to have a business.
[00:21:17.893 --> 00:21:19.554]  It'll be so dangerous you can't leave your house.
[00:21:19.774 --> 00:21:23.116]  So then a robot again has to deliver it to your door.
[00:21:24.337 --> 00:21:26.618]  It's all planned and it's all right here in articles I've got.
[00:21:29.534 --> 00:21:33.056]  They're making it a dystopia so you'll accept their so-called fix.
[00:21:33.996 --> 00:21:34.997]  Oh, we locked everything down.
[00:21:35.037 --> 00:21:35.697]  Take the shot.
[00:21:35.877 --> 00:21:36.717]  Oh, we locked everything down.
[00:21:36.917 --> 00:21:38.238]  The third world collapsed from starvation.
[00:21:38.618 --> 00:21:39.399]  Now they're coming here.
[00:21:39.659 --> 00:21:41.159]  John Kerry says it's global warming.
[00:21:41.199 --> 00:21:42.040]  That's why they're starving.
[00:21:42.240 --> 00:21:43.000]  No one's on record.
[00:21:43.180 --> 00:21:44.401]  The lockdowns are why they're starving.
[00:21:45.862 --> 00:21:49.543]  All planned, all designed, and we sit here and we take it like fools.
[00:21:49.583 --> 00:21:49.924]  Look at this.
[00:21:50.444 --> 00:21:50.944]  Exposed.
[00:21:50.984 --> 00:21:54.726]  How banks, investors make millions from police brutality bonds.
[00:21:55.623 --> 00:22:03.429]  Did you know governments per major city invest hundreds of millions instead of schools or hospitals or libraries or jogging paths or bike paths?
[00:22:03.830 --> 00:22:04.070]  No!
[00:22:04.670 --> 00:22:17.441]  In some cities up to 10% now it's higher of their budget is for police brutality bonds and it turns out city officials are actually invested in the police brutality bonds and they make money off these huge payouts of 50 million dollars.
[00:22:17.681 --> 00:22:19.282]  Just somebody committed suicide in the jail cell.
[00:22:21.424 --> 00:22:32.417]   I've got more articles right here where they're proposing in San Francisco And in Chicago, turning all these empty office buildings into government-assisted housing.
[00:22:32.597 --> 00:22:36.017]  But it'll be run by corporations, and it'll be part of your universal basic income.
[00:22:36.277 --> 00:22:39.238]  But to get you to accept it, you've got to have all your jobs taken.
[00:22:40.378 --> 00:22:42.199]  But then who's going to supply you with the food?
[00:22:42.359 --> 00:22:43.039]  Oh, don't worry!
[00:22:43.499 --> 00:22:44.159]  From the U.S.
[00:22:44.179 --> 00:22:48.780]  to Canada, to the Netherlands, to Australia, they're shutting off a large part of the farms.
[00:22:49.300 --> 00:22:54.682]  And John Kerry said last week, because farms are killing the earth, we've got to shut down farms to stop starvation.
[00:22:55.970 --> 00:22:58.413]  That's right, you gotta chop your head off so you don't bleed to death.
[00:22:59.575 --> 00:23:00.716]  And they're just doing it!
[00:23:01.057 --> 00:23:05.163]  Total assault because we are a lost people.
[00:23:06.189 --> 00:23:10.872]  We've been born into the technology, into running water, electricity, our houses, food abundance.
[00:23:11.192 --> 00:23:18.798]  We just think it's always going to be there, and it's all being incrementally taken away from you and replaced with things that don't work, that aren't designed to fulfill.
[00:23:18.938 --> 00:23:21.099]  But they make you think you're going to be fulfilled.
[00:23:21.119 --> 00:23:22.560]  They make you think you're a leader.
[00:23:22.600 --> 00:23:24.382]  They make you think you've got the answers.
[00:23:25.102 --> 00:23:30.486]  But you've been led into the deeper level of control as the noose gets tighter each time.
[00:23:34.324 --> 00:23:43.977]  All right, our special guest, best-selling author, researcher, will be joining us, Kent Eken-Lively, and then Judy Michovitz, as well, the doctor, in the second hour.
[00:23:43.997 --> 00:23:45.499]  We've got so much to hit.
[00:23:45.519 --> 00:23:47.983]  I've only scratched the surface of what we're hitting.
[00:23:48.023 --> 00:23:50.366]  Turns out Hillary Clinton's funding all these environmentalist terror groups.
[00:23:50.386 --> 00:23:51.387]  We've got that news as well.
[00:23:51.206 --> 00:24:09.925]  Stay with us.
[00:24:10.420 --> 00:24:11.321]  Thank you for all you've done.
[00:24:11.341 --> 00:24:22.684]  And every time they do it, I look at them and I say, listen, what I've been through is nothing compared to people like Julian Assange.
[00:24:23.675 --> 00:24:29.159]  And so many others that have been locked up in solitary confinement, in some cases even killed for telling the truth.
[00:24:29.720 --> 00:24:39.367]  And things are going to get a lot worse for everybody if we at some point don't begin to understand we've got a real case of tyranny coming down against humanity right now.
[00:24:40.968 --> 00:24:46.773]  And talking about Dr. Judy Michalich, that's going to be joining us in studio with Kent Hechenleible in the next hour.
[00:24:46.813 --> 00:24:47.593]  Kent's here right now.
[00:24:48.334 --> 00:24:53.258]  She was put in jail by Fauci for exposing him and has been totally vindicated.
[00:24:54.451 --> 00:25:12.005]  And I didn't even know, or I'd forgotten, with Mickey Willis, who's a really good friend of mine now, and I really respect him, he's got a great soul and a smart guy, that his brother got HIV and they gave him AZT and it killed him, which we know Fauci knew was killing people, just like Rendezivir does with COVID.
[00:25:13.366 --> 00:25:15.027]  So man, talk about skin in the game.
