[00:00:05.739 --> 00:00:07.340]  Hitler took the guns.
[00:05:10.142 --> 00:05:22.070]  And I'm particularly giving Thanksgiving that X2, our number one product, the only true atomic iodine on the market after a year plus of being sold out, is finally back in stock, ready to ship now.
[00:05:22.070 --> 00:05:26.653]  If you don't know the power of X2 and the iodine conspiracy, you are insane.
[00:05:26.653 --> 00:05:27.754]  Get X2 now.
[00:05:27.754 --> 00:05:28.854]  It could be the last run ever.
[00:05:28.854 --> 00:05:30.035]  We get shut down.
[00:05:30.035 --> 00:05:30.896]  While you still can,
[00:05:31.916 --> 00:05:33.958]  At InfoWarsTore.com.
[00:05:33.958 --> 00:05:39.882]  Research iodine deficiency and billions of people with cognitive disabilities because they don't have it.
[00:05:39.882 --> 00:05:41.003]  X2.
[00:05:41.003 --> 00:05:42.084]  X2.
[00:05:42.084 --> 00:05:45.426]  X2 is now back in stock at InfoWarsTore.com.
[00:05:45.426 --> 00:05:48.608]  It takes a few weeks to kick in, but it is the building block to everything.
[00:05:48.608 --> 00:05:49.329]  It's the missing link.
[00:05:49.329 --> 00:05:53.852]  They bomb us with the fluoride that is in the same family, but has the opposite effect.
[00:05:53.852 --> 00:05:57.555]  This is the holy grail of supplements and empowering yourself.
[00:05:57.555 --> 00:05:59.276]  X2 back in stock right now.
[00:05:59.276 --> 00:06:00.397]  Discount at InfoWarsTore.com.
[00:06:04.893 --> 00:06:10.097]  I'm a pioneer!
[00:06:10.097 --> 00:06:12.439]  I'm an explorer!
[00:06:12.439 --> 00:06:13.320]  I'm a human!
[00:06:13.320 --> 00:06:15.942]  And I'm coming!
[00:06:15.942 --> 00:06:16.983]  I'm animated!
[00:06:16.983 --> 00:06:17.824]  I'm alive!
[00:06:17.824 --> 00:06:18.925]  My heart's big!
[00:06:18.925 --> 00:06:20.086]  It's got hot blood!
[00:06:20.086 --> 00:06:22.488]  Going through it fast!
[00:06:22.488 --> 00:06:24.770]  I like to fight too!
[00:06:24.770 --> 00:06:26.252]  I like to eat!
[00:06:26.252 --> 00:06:29.134]  I like to have children!
[00:06:29.134 --> 00:06:29.495]  I'm here!
[00:06:30.956 --> 00:06:31.917]  We've got a life force!
[00:06:31.917 --> 00:06:32.857]  This is a human!
[00:06:32.857 --> 00:06:34.078]  This is what we look like!
[00:06:34.078 --> 00:06:35.759]  This is what we act like!
[00:06:35.759 --> 00:06:37.620]  This is what everybody was like before us!
[00:06:37.620 --> 00:06:38.701]  This is what I am!
[00:06:38.701 --> 00:06:39.682]  I'm a throwback!
[00:06:39.682 --> 00:06:40.482]  I'm here!
[00:06:40.482 --> 00:06:42.143]  I've got the fire of human liberty!
[00:06:42.143 --> 00:06:43.484]  I'm setting fires everywhere!
[00:06:43.484 --> 00:06:45.586]  And humans are turning on everywhere!
[00:06:45.586 --> 00:06:49.188]  Get behind me, Satan!
[00:06:49.188 --> 00:06:51.590]  Down with the devil!
[00:06:51.590 --> 00:06:52.590]  This can't be.
[00:06:52.590 --> 00:06:54.391]  Arthur, you're playing the wrong message.
[00:06:54.391 --> 00:06:57.894]  Visit InfoWars.com forward slash show today.
[00:07:07.697 --> 00:07:12.498]  Big Brother, Mainstream Media, Government Cover-ups.
[00:07:12.498 --> 00:07:14.219]  You want to stop tyranny?
[00:07:14.219 --> 00:07:15.859]  Well, so does he.
[00:07:15.859 --> 00:07:27.123]  Live from the Infowars.com studios, it's Alex Jones.
[00:07:27.123 --> 00:07:34.605]  Well, he's been on fire all the time for years, but particularly the last few weeks and months since the attack on Israel.
[00:07:35.834 --> 00:07:37.815]  And he's been giving a 35,000-foot view on it.
[00:07:37.815 --> 00:07:39.116]  I've been wanting to get him on.
[00:07:39.116 --> 00:07:39.937]  He joins us now.
[00:07:39.937 --> 00:07:47.962]  Hotep Jesus, great talk show host, great researcher, great marketer, great entrepreneur.
[00:07:47.962 --> 00:07:55.286]  And his big deal is suddenly all the floodgates are open in corporate media to the new thing.
[00:07:55.286 --> 00:07:56.527]  Is it global warming?
[00:07:56.527 --> 00:07:58.408]  Or is it Ukraine?
[00:07:58.408 --> 00:07:59.168]  Or is it COVID?
[00:07:59.168 --> 00:08:00.549]  Now it's the Muslims.
[00:08:02.739 --> 00:08:04.340]  I don't like a lot of stuff Israel is doing.
[00:08:04.340 --> 00:08:05.020]  I think they stood down.
[00:08:05.020 --> 00:08:06.580]  I think it was a false flag.
[00:08:06.580 --> 00:08:09.441]  I mean, I think real Islamists attacked, but it was clearly money Biden sent.
[00:08:09.441 --> 00:08:15.363]  But what's the larger picture here with Harvard and the big universities endorsing this?
[00:08:15.363 --> 00:08:17.944]  We've got a lot to talk about in the 45 minutes or so.
[00:08:17.944 --> 00:08:22.286]  We've got him, and I'm going to cover some more news after he leaves us in the shower before the next guest joins us.
[00:08:24.929 --> 00:08:27.110]  But clearly, we said another big war is coming.
[00:08:27.110 --> 00:08:30.511]  That's going to be the distraction from the COVID deaths, all the rest of it.
[00:08:30.511 --> 00:08:33.092]  And now they're trying to trigger a holy war.
[00:08:33.092 --> 00:08:40.414]  Obviously, you can get boosted big on Twitter and everywhere else, HOTEP, where you're already reaching millions a day if you got on the bandwagon.
[00:08:40.414 --> 00:08:45.416]  But clearly, the establishment is trying to create some type of clash of civilizations here.
[00:08:45.416 --> 00:08:46.977]  HOTEP Jesus, thank you for joining us.
[00:08:46.977 --> 00:08:47.597]  HOTEP Jesus.
[00:08:50.079 --> 00:08:54.943]  And the people can also find you at Hotep Jesus on Twitter and menofhonor.com.
[00:08:54.943 --> 00:08:57.704]  So, Hotep, thank you so much for coming on with us.
[00:08:57.704 --> 00:08:59.546]  Oh, absolute pleasure, Alex.
[00:08:59.546 --> 00:09:07.031]  So, yeah, so your take on Israel is pretty much similar to my take.
[00:09:07.031 --> 00:09:09.393]  Obviously, the timing is convenient.
[00:09:09.393 --> 00:09:13.215]  We have election season now here, aka grifting season.
[00:09:13.215 --> 00:09:18.179]  Nikki Haley has proven to be a supreme grifter herself after her comments on Fox last night.
[00:09:19.082 --> 00:09:21.503]  But what's the bigger story here?
[00:09:21.503 --> 00:09:26.965]  Well, first of all, the next distraction is to create something domestically, right?
[00:09:26.965 --> 00:09:29.346]  Create some sort of event domestically.
[00:09:29.346 --> 00:09:32.727]  Now, it's been happening in spurts here and there.
[00:09:32.727 --> 00:09:35.488]  You have protesters clashing, you have
[00:09:36.622 --> 00:09:41.807]  Grand Central Station being attacked by pro-Palestine protesters.
[00:09:41.807 --> 00:09:43.349]  You have Jewish people being attacked.
[00:09:43.349 --> 00:09:47.893]  A lot of different skirmishes have taken place on domestic soil.
[00:09:47.893 --> 00:09:50.135]  Much of this planned.
[00:09:50.135 --> 00:09:54.039]  Much of this known by the elite rulers.
[00:09:54.039 --> 00:10:00.605]  And that was one of my fears early on where there's conflict in the Middle East and because of all the vitriol
[00:10:01.616 --> 00:10:03.596]  On social media, spilled into our streets.
[00:10:03.596 --> 00:10:04.817]  Not much of this stuff.
[00:10:04.817 --> 00:10:09.658]  As we know, Hamas in Palestine has been supported by George Soros.
[00:10:09.658 --> 00:10:11.678]  Black Lives Matter is supported by George Soros.
[00:10:11.678 --> 00:10:17.320]  We've tracked down some of these protests between the pro-Palestine socialists.
[00:10:17.320 --> 00:10:21.841]  I think Stop the War Coalition is one of them.
[00:10:21.841 --> 00:10:25.262]  And Jeremy Corbyn is partly behind some of these protests.
[00:10:25.262 --> 00:10:31.043]  So what we have is a communist socialist takeover of another people's struggle.
[00:10:32.088 --> 00:10:34.630]  But what's the bigger story that's happening here?
[00:10:34.630 --> 00:10:51.160]  Well, while everybody's distracted by the Middle East, what we are experiencing is a complete and total financial transformation where money is going to change how it operates, both at a wholesale level and a retail level.
[00:10:51.160 --> 00:10:59.426]  Right now, the House Financial Services Committee is discussing Basel 3, Basel 3 Endgame.
[00:10:59.426 --> 00:11:01.307]  And basically what they're talking about now is
[00:11:02.369 --> 00:11:06.793]  You know, what are the capital requirements for a banking institution?
[00:11:06.793 --> 00:11:10.117]  Now, we know what the capital requirements have been since COVID.
[00:11:10.117 --> 00:11:11.878]  They said that they are basically zero.
[00:11:11.878 --> 00:11:13.119]  You need zero reserves.
[00:11:13.119 --> 00:11:22.789]  But now Basel III is challenging some of that and saying that banks need to hold more money, more cash, more capital, which is going to hurt, obviously, the small guy.
[00:11:22.789 --> 00:11:27.033]  So what we're looking at right now is actually a huge transformation of the banking industry.
[00:11:27.842 --> 00:11:31.046]  If you look, you'll see many banks right now shutting down.
[00:11:31.046 --> 00:11:37.936]  By the way, let me just interrupt you and say, bingo, bingo, bingo, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding, ding.
[00:11:37.936 --> 00:11:40.019]  We're coming to the end of the big bubble.
[00:11:40.019 --> 00:11:45.306]  The new rollout of the central bank currencies, they admit it, and they need crises as the diversion to bring this in.
[00:11:46.513 --> 00:11:49.394]  That's correct.
[00:11:49.394 --> 00:11:56.457]  So the crisis is going to be the diversion so they don't see all the laws being passed.
[00:11:56.457 --> 00:12:02.779]  But then later on, the crisis is going to be the reason why we need the new banking transformation, right?
[00:12:02.779 --> 00:12:05.861]  So we have Basel III.
[00:12:05.861 --> 00:12:07.761]  Let's put that aside for a second.
[00:12:07.761 --> 00:12:09.982]  They're meeting about that today.
[00:12:09.982 --> 00:12:12.843]  FCC is meeting about total control of the Internet.
[00:12:12.843 --> 00:12:13.884]  That's happening today.
[00:12:15.856 --> 00:12:18.919]  Now, let's focus on the banks really fast.
[00:12:18.919 --> 00:12:27.968]  So we have Bank of America, Wells Fargo, Chase, all these places are shutting down your local branch banking institution, right?
[00:12:27.968 --> 00:12:30.951]  And they're saying it's because everybody's moving online.
[00:12:30.951 --> 00:12:33.614]  So payments are moving digital.
[00:12:33.614 --> 00:12:39.700]  You were talking about before the break, how we have POS happening now without a human being.
[00:12:40.772 --> 00:12:46.556]  I was thinking this morning that we might start to have transactions happening without even your card.
[00:12:46.556 --> 00:12:55.703]  So the way the CBDC system is working, central bank digital currency is working is through QR codes and the offline payments are actually going to operate through your cell phone.
[00:12:55.703 --> 00:13:10.073]  So I'm guessing within the next five years, not only cash is going to start to dwindle, but credit cards potentially start to dwindle, which brings us into the key component of all of this, which is the digital ID system.
[00:13:11.053 --> 00:13:18.402]  The European Union, you can have you guys look this up, European Union have decided to go ahead, despite privacy concerns.
[00:13:18.402 --> 00:13:20.665]  That's right, they patched it last Friday.
[00:13:20.665 --> 00:13:22.027]  Correct.
[00:13:22.027 --> 00:13:24.791]  Decided to go ahead with their digital ID system.
[00:13:25.859 --> 00:13:29.240]  And they're also in discussion for the CBD.
[00:13:29.240 --> 00:13:42.586]  So what I'm looking at here is that there's some sort of link between the digital ID and the CBDC and it looked like until this morning, it looked like the digital ID system was a prerequisite for the CBDC.
[00:13:42.586 --> 00:13:48.969]  But as of this morning, when I read the IMF paper, it's looking like they might not even be
[00:13:49.749 --> 00:13:54.932]  Needing the ID as much, particularly for the poor people, because they're going to start tracking you.
[00:13:54.932 --> 00:13:55.092]  Exactly!
[00:13:55.092 --> 00:13:55.533]  No, no, that's it.
[00:13:55.533 --> 00:13:58.755]  They're going to roll it out as a freebie deal to get people just signed up at first.
[00:13:59.727 --> 00:14:00.748]  Correct.
[00:14:00.748 --> 00:14:05.990]  So the CBDC will provide incentives and the poor will be using the CBDC.
[00:14:05.990 --> 00:14:12.513]  So if you're middle class and up, the digital ID is going to be how they track and monitor you.
[00:14:12.513 --> 00:14:20.077]  And if you're poor, they're going to say, oh, you're too dumb to get an ID, but we'll track you through the CBDC.
[00:14:20.077 --> 00:14:20.958]  So it has this
[00:14:21.798 --> 00:14:27.539]  A symbiotic relationship, the digital ID to the CBDC, where they both need each other.
[00:14:27.539 --> 00:14:27.939]  Well, exactly.
[00:14:27.939 --> 00:14:31.240]  They've been trying to ram through both, but they've been failing because of opposition.
[00:14:31.240 --> 00:14:34.181]  So they're going to go ahead and just beta test it on poor people.
[00:14:34.181 --> 00:14:34.601]  Absolutely.
[00:14:34.601 --> 00:14:38.281]  But you made a key point here, and I've seen you criticized on Twitter, Instagram, all over.
[00:14:38.281 --> 00:14:40.062]  They're like, look at this Zionist.
[00:14:40.062 --> 00:14:40.782]  Look at this guy.
[00:14:40.782 --> 00:14:45.683]  No, no, you're pulling up above it and saying clearly Israel stood down, but clearly
[00:14:46.563 --> 00:14:52.924]  George Soros and the Rothschilds and the New World Order and the media are pushing, you know, 10 to 1 the pro-Muslim thing.
[00:14:52.924 --> 00:14:55.325]  They're trying to cause this clash of civilizations.
[00:14:55.325 --> 00:15:04.107]  It was like that famous Indiana Jones meme where he's got the idol in the sand and so they're constantly moving whatever the issue is to galvanize.
[00:15:04.107 --> 00:15:14.269]  So before it's like, oh, George Soros represents black people, let's raise $50 million and give it to the Democratic Party and give nothing to black people, you know, maybe $20, $30 million to the front people that run it.
[00:15:15.250 --> 00:15:16.051]  That's the same thing now.
[00:15:16.051 --> 00:15:19.015]  Now they've just jumped to the Palestinians.
[00:15:19.015 --> 00:15:24.823]  So they go from the white people praising and worshiping Black Lives Matter to now they praise and worship Hamas.
[00:15:24.823 --> 00:15:27.587]  And all it is is the globalists hiding behind a new group.
[00:15:28.840 --> 00:15:32.643]  Yeah, so Palestine's the new BLM.
[00:15:32.643 --> 00:15:35.006]  So now we call that PLM, right?
[00:15:35.006 --> 00:15:45.415]  And like you said, they latch themselves on to this new struggle, that new struggle happens to be Palestinian lives, and then they'll couple in Islamophobia, right?
[00:15:45.415 --> 00:15:53.682]  And that gives them censorship, and let's not forget, Ukraine decides who loses the war, NATO loses, they flip a switch on the 7th, it all jumps tracks to this.
[00:15:54.423 --> 00:15:55.544]  Keep going, sorry, just dead on.
[00:15:55.544 --> 00:15:56.365]  Right.
[00:15:56.365 --> 00:15:59.248]  So, the press secretary talks about Islamophobia.
[00:16:00.097 --> 00:16:19.787]  Normally Christmas is our biggest sale of the year, but because of supply chain breakdowns and other issues, this is our biggest sale because finally almost all of our best-selling products are finally back in stock, including sold out for more than a year, X2, the only true nascent iodine out there, is finally back.
[00:16:19.787 --> 00:16:24.370]  What it does for your immune system, your body, all your cells, is miraculous.
[00:16:24.370 --> 00:16:26.311]  It's discounted at FortWorthShore.com.
[00:16:26.311 --> 00:16:28.352]  Double Patriot points, free shipping,
[00:16:28.872 --> 00:16:31.814]  Biggest sale, hands down, of 2023.
[00:16:31.814 --> 00:16:34.555]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[00:16:34.555 --> 00:16:36.436]  So, Christmas has come early.
[00:16:36.436 --> 00:16:37.997]  Black Friday's come early.
[00:16:37.997 --> 00:16:39.338]  And it funds the InfoWar.
[00:16:39.338 --> 00:16:40.538]  Get X2.
[00:16:40.538 --> 00:16:42.420]  Get VazoBeats back in stock.
[00:16:42.420 --> 00:16:47.642]  Get all the other great products at InfoWarStore.com right now.
[00:16:47.642 --> 00:16:47.983]  But again,
[00:16:48.963 --> 00:16:51.746]  Our fan favorite, my favorite, is X2.
[00:16:51.746 --> 00:16:53.228]  Sold out for over a year.
[00:16:53.228 --> 00:16:55.070]  Could be our last run if we're shut down.
[00:16:55.070 --> 00:16:56.152]  Get it while you can.
[00:16:56.152 --> 00:16:56.872]  X2.
[00:16:56.872 --> 00:16:58.654]  Discount at info or store.com.
[00:16:59.998 --> 00:17:14.251]  Finally, after close to a year, in early November, where I'm cutting this ad, we finally got one of our flagship products back in stock, Ultra 12, the highest quality vitamin B12 organic.
[00:17:14.251 --> 00:17:19.156]  You take it under the tongue, so you get better absorption of the body through your blood vessels, and what it does,
[00:17:19.636 --> 00:17:20.077]  Thank you.
[00:17:37.637 --> 00:17:43.179]  It's available from a top lab that we private label it through at InfoWarStore.com.
[00:17:43.179 --> 00:17:51.342]  Ultra 12, Vitamin B12, taken sublingually, now back in stock at InfoWarStore.com.
[00:17:51.342 --> 00:17:53.483]  Or you can call toll free and order it as well, 888-253-3139.
[00:17:53.483 --> 00:17:55.083]  And Ultra 12 funds the InfoWar as well.
[00:17:59.545 --> 00:18:03.606]  Why do you think the globalists are desperately trying to censor everybody?
[00:18:03.606 --> 00:18:07.167]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[00:18:07.167 --> 00:18:12.269]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[00:18:12.269 --> 00:18:14.689]  But we're not just exposing their operation.
[00:18:14.689 --> 00:18:23.292]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[00:18:23.292 --> 00:18:24.612]  This is the Great Awakening.
[00:18:25.132 --> 00:18:29.517]  The plan to defeat the globalists and launch the second great renaissance.
[00:18:29.517 --> 00:18:36.185]  It's a companion to my last book that was a number one worldwide bestseller and this book is even thicker and even more powerful.
[00:18:36.185 --> 00:18:39.889]  Get your copy of The Great Awakening today at InfoWars.com
[00:18:39.909 --> 00:18:40.209]  Thank you.
[00:19:00.546 --> 00:19:03.688]  I talk a lot about the great successes InfoWars has had.
[00:19:03.688 --> 00:19:05.990]  I don't think anybody can deny it.
[00:19:05.990 --> 00:19:09.913]  And it is because of listeners and viewers supporting us.
[00:19:09.913 --> 00:19:17.999]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[00:19:17.999 --> 00:19:26.645]  And when we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[00:19:27.654 --> 00:19:30.537]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:19:30.537 --> 00:19:37.083]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:19:37.083 --> 00:19:48.375]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it, but most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, all at the same time keep us on air.
[00:19:49.075 --> 00:19:53.357]  I know that less than 1% of our listeners actually go buy products at InfoWarsware.com.
[00:19:53.357 --> 00:19:58.299]  If just 1% more of you took action and went to InfoWarsware.com, our funding problems will be over.
[00:19:58.299 --> 00:20:01.681]  Please take action now.
[00:20:01.681 --> 00:20:07.564]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:09.557 --> 00:20:10.958]  Because the U.S.
[00:20:10.958 --> 00:20:15.223]  doesn't want to see their money go to Russia and Russia doesn't want to see their money go to America.
[00:20:15.223 --> 00:20:25.033]  And this is a big war summit with Xi Jinping meeting in San Francisco with all the big tech leaders and energy directors lining up.
[00:20:25.033 --> 00:20:26.234]  This is a big powwow going on.
[00:20:26.234 --> 00:20:26.815]  What do you make of that?
[00:20:27.805 --> 00:20:32.366]  So the APEC meeting is this week, 11th through the 17th.
[00:20:32.366 --> 00:20:39.147]  Today, according to Secretary of Treasury Janet Yellen, today is the day they're going to be talking about CBDC.
[00:20:39.147 --> 00:20:42.468]  She said that during her opening speech yesterday.
[00:20:42.468 --> 00:20:49.089]  So we're waiting to see some of those transcripts come out and see what they say about that.
[00:20:49.089 --> 00:20:56.591]  It's probably going to be much more of the same where they say financial inclusion.
[00:20:57.411 --> 00:21:00.032]  They're going to be concerned with capital outflows.
[00:21:00.032 --> 00:21:06.534]  They're going to be concerned with damaging the banking private sector.
[00:21:06.534 --> 00:21:09.536]  So these are the three main things that they're concerned with.
[00:21:09.536 --> 00:21:13.417]  Obviously, cross-border transactions are going to be discussed.
[00:21:13.417 --> 00:21:15.398]  But the big thing is financial inclusion.
[00:21:15.398 --> 00:21:19.239]  But financial inclusion is basically saying, let's increase our tax base.
[00:21:19.239 --> 00:21:21.720]  There are people currently transacting in cash.
[00:21:21.720 --> 00:21:23.641]  We don't want that because we can't watch it.
[00:21:23.641 --> 00:21:24.581]  We can't tax it.
[00:21:25.081 --> 00:21:30.625]  So, financial inclusion is what they're saying is, oh, black people can't get to a bank account.
[00:21:30.625 --> 00:21:35.969]  So, we're going to issue this digital wallet, which will be connected to their cell phone.
[00:21:35.969 --> 00:21:42.813]  It's going to come with incentives and premiums, and they'll say, hey, 20% off your next purchase.
[00:21:42.813 --> 00:21:49.218]  But you can only spend it where they say, and then they expand it out to every group, and now you can only spend money at the big box store.
[00:21:50.003 --> 00:21:50.964]  That's correct.
[00:21:50.964 --> 00:21:54.667]  So they have like the Durham's, the Durham's discurrency.
[00:21:54.667 --> 00:21:56.908]  They're talking about just giving this stuff away.
[00:21:56.908 --> 00:22:01.392]  10,000 Durham's to people who use this stuff because people aren't adopting it.
[00:22:01.392 --> 00:22:04.074]  But it is in the IMF paper.
[00:22:04.074 --> 00:22:08.417]  It says specifically it says two things in regards to restrictions.
[00:22:08.417 --> 00:22:13.420]  One of them is if you hold on to the currency, it'll tax itself.
[00:22:13.420 --> 00:22:16.123]  So 20% could come out every week.
[00:22:16.983 --> 00:22:18.564]  Up to a certain threshold.
[00:22:18.564 --> 00:22:21.384]  It incentivizes owning nothing, having nothing.
[00:22:21.384 --> 00:22:22.005]  Correct.
[00:22:22.005 --> 00:22:22.965]  You have to spend it.
[00:22:22.965 --> 00:22:27.166]  They want to push that money into the economy so it'll slowly disappear.
[00:22:27.166 --> 00:22:30.307]  So this goes against all the basic rules of wealth and success.
[00:22:30.307 --> 00:22:33.348]  It's diametrically opposed to us being independent and secure.
[00:22:34.361 --> 00:22:37.264]  Oh, it's absolutely anti-free market capitalism.
[00:22:37.264 --> 00:22:37.824]  Absolutely.
[00:22:37.824 --> 00:22:42.108]  This is, I mean, this is Karl Marx's dream we're talking about here.
[00:22:42.108 --> 00:22:50.476]  Like, Karl Marx, Lenin, Stalin, you could have put them all in a room together now and they never would have come up with anything this genius, okay?
[00:22:50.476 --> 00:22:57.803]  They are in their graves right now laughing hysterically at how people were able to pull this off
[00:22:58.363 --> 00:23:07.906]  In a so-called capitalist nation, and nobody says anything because we're too concerned with, oh, who do we support, the Muslims or the Jews?
[00:23:07.906 --> 00:23:13.468]  If you choose to support one of those, you're choosing not to support yourself.
[00:23:13.468 --> 00:23:14.729]  That's what you're choosing.
[00:23:15.700 --> 00:23:21.343]  Well, one of the restrictions of the CBDC, like you said, is what you can purchase.
[00:23:21.343 --> 00:23:23.824]  What you can purchase is going to be a huge, huge thing.
[00:23:23.824 --> 00:23:26.626]  And that's it, because it's not that we're against the Muslims or the Jews.
[00:23:26.626 --> 00:23:27.607]  We don't do anything.
[00:23:27.607 --> 00:23:29.167]  And it makes you feel good.
[00:23:29.167 --> 00:23:31.349]  It's like having sex with a blow-up doll.
[00:23:31.349 --> 00:23:33.590]  It's not real.
[00:23:33.590 --> 00:23:35.571]  But taking care of yourself and your family is real.
[00:23:36.803 --> 00:23:37.763]  Correct.
[00:23:37.763 --> 00:23:41.365]  You have some, um, was it New York I was talking about?
[00:23:41.365 --> 00:23:49.489]  There is a state that is talking about, no, I'm sorry, it's either Chicago or Detroit, where they're going to have government-run grocery stores.
[00:23:49.489 --> 00:23:50.769]  Chicago.
[00:23:50.769 --> 00:23:51.890]  Chicago, thank you.
[00:23:51.890 --> 00:23:54.831]  So Chicago wants government-run grocery stores.
[00:23:54.831 --> 00:23:58.572]  It sounds like, you know, Bolshevik Russia right now.
[00:23:59.993 --> 00:24:01.334]  So think about that.
