[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[00:09:16.055 --> 00:09:18.136]  Like robbery and rape.
[00:09:18.136 --> 00:09:21.238]  Now, we don't know at this hour what the indictment says.
[00:09:21.238 --> 00:09:23.920]  We don't know specifically what the charges are.
[00:09:23.920 --> 00:09:30.565]  But previous news reports suggest they will emanate from an alleged payment seven years ago.
[00:09:30.565 --> 00:09:37.669]  A payment that federal regulators said violated no law, but that Alvin Bragg apparently believes is a crime.
[00:09:37.669 --> 00:09:44.014]  Either way, the net result is Donald Trump is the first former president of the United States ever to be indicted.
[00:09:45.219 --> 00:09:49.928]  So no matter what happens next, we can be certain there is no coming back from this moment.
[00:09:50.708 --> 00:09:53.190]  There could be retaliation from red states.
[00:09:53.190 --> 00:10:01.316]  The governor of Florida has already said, Ron DeSantis has already issued a statement saying that he will not participate in any extradition of Donald Trump to New York.
[00:10:01.316 --> 00:10:03.377]  That's apparently scheduled for next week.
[00:10:03.377 --> 00:10:09.682]  As you can probably tell, we're not certain of the full outlines of the story, but we know this moment is a historic one.
[00:10:09.682 --> 00:10:12.624]  We want to set tonight in facts those that we have so far.
[00:10:12.624 --> 00:10:17.568]  We're going to do that, as we always do, with the help of Fox's Trace Gallagher, who is with us tonight on set.
[00:10:17.788 --> 00:10:36.814]  And we're going to have more of DeSantis coming up on this, but it's important to remember, Tucker, that Manhattan District Attorney Alvin Bragg has chosen to pursue a case that was investigated and rejected by two previous sets of prosecutors, because one, the case is politically explosive, as we all know, and two, it requires using largely untested legal theory.
[00:10:36.814 --> 00:10:41.916]  In fact, even Alvin Bragg himself initially decided against prosecuting Trump.
[00:10:42.296 --> 00:10:50.399]  The case, as Tucker was saying, is centered around a $130,000 payment to porn star Stormy Daniels, who claims she had an affair with Trump.
[00:10:50.399 --> 00:10:58.002]  The DA, Alvin Bragg, could not charge this case as a misdemeanor because the statute of limitations on a misdemeanor ran out back in 2018.
[00:10:59.242 --> 00:11:01.783]  And to charge it as a felony, the Manhattan D.A.
[00:11:01.783 --> 00:11:09.486]  had to perform what many call legal gymnastics and say it was a campaign finance violation going down that road.
[00:11:09.486 --> 00:11:23.592]  Numerous legal experts have pointed out that it would be monumentally improbable to prove that Donald Trump paid Stormy Daniels in an effort to win the White House instead of, say, an effort to save his marriage, etc.
[00:11:23.592 --> 00:11:27.534]  Here's law professor Jonathan Turley weighing in on the indictment just a short time ago.
[00:11:27.534 --> 00:11:29.035]  All right, we're going to have more of this coming up.
[00:11:29.035 --> 00:11:32.798]  But first, Roger Stone's going to be joining us coming up in the next segment.
[00:11:32.798 --> 00:11:34.220]  Robert Barnes is joining us.
[00:11:34.220 --> 00:11:36.121]  Alan Dershowitz is joining us.
[00:11:36.121 --> 00:11:42.467]  And a lot of other big guests today, I'm sure will also come in and give his commentary here today.
[00:11:42.467 --> 00:11:46.430]  But let's just restate the facts here.
[00:11:46.430 --> 00:11:53.096]  Trump is, in most polls, 25 to 30 points ahead of all the other Republicans, namely DeSantis.
[00:11:55.376 --> 00:12:06.205]  In every major national poll, he's five to 15 points ahead of Biden in a rematch right now.
[00:12:06.205 --> 00:12:12.069]  So going into the election two years ago plus, he was neck and neck with Biden in those same polls.
[00:12:12.069 --> 00:12:14.851]  So people really miss Trump.
[00:12:14.851 --> 00:12:23.278]  People understand we have... We know that Soros has defunded the police, controls the DAs in almost every city.
[00:12:25.274 --> 00:12:30.579]  And that he is weaponizing the legal system.
[00:12:30.579 --> 00:12:36.084]  Now, Owen Schroer is facing prison time for being outside the Capitol trying to stop people going in.
[00:12:36.084 --> 00:12:45.913]  While Ray Epps told the January 6th Kangaroo Committee that he, quote, orchestrated the attack, because they had text messages where he said it, he's free.
[00:12:45.913 --> 00:12:48.676]  Roger Stone had to be pardoned for doing absolutely nothing.
[00:12:49.583 --> 00:12:57.187]  These very same organizations, top Democrat party law firms, you can look at the news, are trying to shut down Infowars right now.
[00:12:57.187 --> 00:13:01.169]  And trying to run around saying in the news, I'm a criminal, they want me in jail.
[00:13:01.169 --> 00:13:03.490]  Not a shred of truth to any of it.
[00:13:03.490 --> 00:13:05.671]  But this is the weaponization.
[00:13:05.671 --> 00:13:08.533]  Because they know what we're promoting is constitutional.
[00:13:09.443 --> 00:13:11.904]  And it's popular and is growing in popularity.
[00:13:11.904 --> 00:13:15.887]  And they know that President Trump is the president.
[00:13:15.887 --> 00:13:21.310]  They stole it from him two years ago, but there's no doubt he's riding on a giant wave right now.
[00:13:21.310 --> 00:13:24.652]  And if the election was held today, no matter how much election fraud...
[00:13:25.572 --> 00:13:31.417]  When you have a tsunami that big, you can't stop it with just dead people's names and having people vote.
[00:13:31.417 --> 00:13:32.878]  You'll run out of the mail-in ballots.
[00:13:32.878 --> 00:13:33.999]  You'll run out.
[00:13:33.999 --> 00:13:36.881]  They barely were able to steal it from Trump two years ago.
[00:13:36.881 --> 00:13:38.843]  You saw the magic ballots come in.
[00:13:38.843 --> 00:13:45.889]  They closed the doors in the different states, like Pennsylvania, like Georgia, like Michigan, like Arizona.
[00:13:45.889 --> 00:13:50.333]  And you see the same thing still in the election from Carrie Lake, when only Republican jurisdictions
[00:13:51.223 --> 00:14:01.476]  Did the Democrats that controlled the state, the lady that won the governorship by fraud, was running the election, where they gave the conservative precincts, Republican precincts, ballots that didn't work.
[00:14:01.476 --> 00:14:04.240]  Oh, don't worry, we'll hand count those later.
[00:14:04.240 --> 00:14:09.507]  So, they know there's a tsunami so big that they're not going to be able to stop Trump.
[00:14:11.320 --> 00:14:15.262]  And so they are throwing the Republican into crisis.
[00:14:15.262 --> 00:14:23.967]  And I believe they're going to have a whole bunch of indictments cascading on him, believing it will create the perception that he really is a criminal.
[00:14:23.967 --> 00:14:29.730]  And that when they indict people around him, which you know is coming, it's already been going on, but it's about to get a lot worse.
[00:14:29.730 --> 00:14:36.013]  They're hoping some of them will turn state evidence and bear false witness like Judas Iscariot did.
[00:14:37.521 --> 00:14:41.604]  After the last supper for the 30 pieces of silver.
[00:14:41.604 --> 00:14:44.106]  So I'm not comparing Trump to Christ.
[00:14:44.106 --> 00:14:50.011]  I'm comparing these Judas goats that are out there to Judas Iscariot.
[00:14:50.011 --> 00:14:51.912]  So that's where we are.
[00:14:51.912 --> 00:14:57.337]  And this is a desperate globalist group that's losing control worldwide, losing control here domestically.
[00:14:58.697 --> 00:15:13.832]  And instead of slowing down their operation and trying to back off a little, they'd be smart, they'd still maintain control, they're forcing a confrontation with all their inept minions and ham-fisted operatives.
[00:15:13.832 --> 00:15:18.997]  And all I can say is we need to call for peace, we need to speak out against violence because
[00:15:20.219 --> 00:15:33.567]  I can tell you right now the next card they're going to play is going to be false flag terror attacks to blame it on Trump supporters and really try to bring in official dictatorship, outlawing American populism and quote Trumpism in America.
[00:15:33.567 --> 00:15:40.931]  Biden's already said the main terror enemy is white conservative voters and people that question elections or forced ejections.
[00:15:40.931 --> 00:15:42.512]  So you see the battle lines being drawn.
[00:15:42.512 --> 00:15:45.074]  You see the civil war they're trying to tee up.
[00:15:45.074 --> 00:15:47.015]  And we do not want to play that game.
[00:15:47.555 --> 00:15:53.121]  And the good news is all the numbers show people are seeing through this, so they've got a big problem on their hands.
[00:15:53.121 --> 00:15:56.424]  The globalists are losing, but that makes it even more dangerous.
[00:15:56.424 --> 00:16:00.548]  Roger Stone, straight ahead.
[00:16:00.548 --> 00:16:06.774]  If Alex Jones runs for president in the Republican Party, he has a chance of winning.
[00:16:10.185 --> 00:16:16.107]  If you just tuned in, you may be noticing I'm wearing an Alex Jones for President 2024 shirt.
[00:16:16.107 --> 00:16:18.527]  I am not seriously planning to run for president.
[00:16:18.527 --> 00:16:19.848]  This is an idea the crew had.
[00:16:19.848 --> 00:16:22.508]  To have a triggering shirt, kind of next level.
[00:16:22.508 --> 00:16:23.749]  Alex Jones was right.
[00:16:23.749 --> 00:16:28.110]  There's Infowars.com on the back, Alex Jones for President 2024 on the front.
[00:16:28.110 --> 00:16:29.150]  It's a fundraiser shirt.
[00:16:29.150 --> 00:16:30.411]  It's made out of really nice fabric.
[00:16:30.411 --> 00:16:31.771]  It's high quality.
[00:16:31.771 --> 00:16:35.172]  And it is a exclusive shirt to Infowarsstore.com.
[00:16:35.172 --> 00:16:37.012]  And when the shirts are gone, they're gone.
[00:16:37.012 --> 00:16:38.113]  We're doing one run.
[00:16:39.033 --> 00:16:39.313]  No way.
[00:16:39.313 --> 00:16:39.534]  No way.
[00:16:39.534 --> 00:16:40.775]  That's a bridge too far.
[00:16:40.775 --> 00:16:41.256]  No, it can't be.
[00:16:41.256 --> 00:16:44.721]  And I said on national television that he was going to win.
[00:16:56.949 --> 00:16:57.330]  I think so.
[00:17:14.969 --> 00:17:16.210]  What it does, it's essential.
[00:17:16.210 --> 00:17:17.931]  Go read about it at Infomercial.com.
[00:17:17.931 --> 00:17:21.072]  And now, the fourth toothpaste designed by my dad.
[00:17:21.072 --> 00:17:22.413]  The last two were big hits.
[00:17:22.413 --> 00:17:23.874]  This one is really special.
[00:17:23.874 --> 00:17:26.835]  It's turmeric concentrate with a bunch of other essential oils.
[00:17:26.835 --> 00:17:30.257]  So much more to take your mouth's health to the next level.
[00:17:30.257 --> 00:17:38.061]  We also have high quality ashwagandha root for your libido, your stamina, your testosterone, with black pepper extract to accelerate it as a pill.
[00:17:38.061 --> 00:17:40.942]  And we have ashwagandha root gummies as well.
[00:17:40.942 --> 00:17:42.143]  Very strong, very powerful.
[00:17:42.643 --> 00:17:45.627]  Now in stock at InfoWarsTore.com.
[00:17:45.627 --> 00:17:49.673]  Go there, experience these great products and others, and fund the InfoWar.
[00:17:49.673 --> 00:17:52.617]  The only way we fail is not taking action.
[00:17:52.617 --> 00:17:53.257]  God bless you.
[00:17:53.257 --> 00:17:58.504]  Now please visit InfoWarsTore.com and experience these powerful products for yourself.
[00:17:59.983 --> 00:18:08.185]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the Globals, in their own words, plan for our future.
[00:18:08.185 --> 00:18:09.645]  That is a hellish future.
[00:18:09.645 --> 00:18:19.047]  Now, you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or InfoWarshore.com.
[00:18:19.047 --> 00:18:24.648]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[00:18:24.648 --> 00:18:26.628]  And there's about a thousand left of them right now.
[00:18:27.208 --> 00:18:32.595]  So get your copy of The Great Reset and The War for the World, a signed copy, at Infowarsware.com.
[00:18:32.595 --> 00:18:36.560]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:18:36.560 --> 00:18:42.428]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[00:18:42.428 --> 00:18:44.530]  I'm going to thank those of you that have gotten signed copies of the book.
[00:18:45.291 --> 00:18:48.753]  Every time I talk to you, you're either on the border, exposing the cartels.
[00:19:03.561 --> 00:19:05.124]  Are you addicted to the danger, Savannah?
[00:19:16.115 --> 00:19:18.917]  No, I'm addicted to helping my fellow Americans.
[00:19:18.917 --> 00:19:20.639]  I'm addicted to spreading the truth.
[00:19:20.639 --> 00:19:23.141]  And again, you know, I have InfoWars to thank for that.
[00:19:23.141 --> 00:19:27.504]  Looking back on the day I was able to ask President Donald Trump two questions.
[00:19:27.504 --> 00:19:33.229]  I was so grateful because, you know, I truly was classically trained under Alex Jones and under the InfoWars team.
[00:19:33.229 --> 00:19:38.213]  I really do credit that as to why I'm able to, you know, get these types of clips.
[00:19:38.213 --> 00:19:41.356]  Because Alex's whole mentality was, you know, go where the
[00:19:41.496 --> 00:19:46.018]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:45.807 --> 00:20:57.295]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:57.295 --> 00:21:00.197]  Well, ladies and gentlemen, you have lived to see history.
[00:21:00.197 --> 00:21:03.079]  The first former or current president indicted
[00:21:04.980 --> 00:21:08.111]  This is the hallmark of dictatorships in Banana Republics.
[00:21:09.161 --> 00:21:13.684]  The globalists are losing control, and so they're throwing down the gauntlet.
[00:21:13.684 --> 00:21:30.495]  I believe this will be the first of many other indictments in Georgia, and also federal indictments against Trump, to send a message to everybody else, you sit down and you shut up, and you turn your children over to us, and your guns over to us, and your life over to us, or we will lock your ass in prison.
[00:21:30.495 --> 00:21:38.581]  We're turning loose the murderers, the rapists, the killers, the bank robbers, and we're gonna throw your ass in the prisons, and that's what they're everywhere saying.
[00:21:39.522 --> 00:21:41.786]  So the deep state is in overdrive.
[00:21:41.786 --> 00:21:43.990]  This is an emergency broadcast.
[00:21:43.990 --> 00:21:45.532]  Republic in crisis.
[00:21:47.096 --> 00:21:49.598]  Robert Barnes will be riding shotgun with me coming up.
[00:21:49.598 --> 00:21:51.699]  Alan Dershowitz is scheduled to be on.
[00:21:51.699 --> 00:22:09.392]  But right now I'm going to go to the man that predicted Trump would be indicted on this show yesterday, and that he thought this 30-day hiatus was a smokescreen, is Roger Stone, one of the few people that has been in the same shoes that our embattled President Trump is in now.
[00:22:09.392 --> 00:22:15.917]  But the good news is, this is backfiring and the polls are shooting straight up for Trump, the immovable object.
[00:22:16.872 --> 00:22:20.392]  Comes into contact with the unstoppable force, Roger Stone.
[00:22:22.928 --> 00:22:24.970]  Alex, you're absolutely right.
[00:22:24.970 --> 00:22:28.312]  We talked about this yesterday on your show.
[00:22:28.312 --> 00:22:32.975]  And once again, InfoWars, tomorrow's news today.
[00:22:32.975 --> 00:22:41.221]  I thought that the break that the grand jury was taking for a month was a head fake.
[00:22:41.221 --> 00:22:43.382]  And indeed it is.
[00:22:43.382 --> 00:22:48.286]  And therefore now President Donald Trump has another historic first.
[00:22:49.087 --> 00:23:06.808]  He is not only the first president to be indicted by a grand jury, he's the first president of the United States to have his home raided by the FBI, he is the first president to be impeached but not convicted twice, he is the first president to be wiretapped
[00:23:07.148 --> 00:23:15.492]  By the FBI prior to his becoming president, he is the first president banned on social media.
[00:23:15.492 --> 00:23:26.037]  They will do absolutely anything and everything to stop Donald Trump, really because he is the guy who's drawn a line in the sand.
[00:23:26.857 --> 00:23:46.021]  As I said on yesterday's show when he said under a second Trump presidency the State Department, the Defense Bureaucracy, the Intelligence Services and all the rest will be completely overhauled and reconstituted to fire the deep state folks controlling them and put those who support America first in charge.
[00:23:46.021 --> 00:23:49.002]  That was an all-out declaration of
[00:23:49.002 --> 00:23:49.423]  Of course.
[00:24:07.405 --> 00:24:09.866]  And now, just like they did in your kangaroo cases,
[00:24:33.112 --> 00:24:36.636]  The judge and others are talking about gagging the president.
[00:24:36.636 --> 00:24:43.563]  So now they want to gag the leading presidential candidate and the former president in an election cycle.
[00:24:43.563 --> 00:24:46.766]  This is beyond transparent.
[00:24:46.766 --> 00:24:54.894]  First of all, I think it's patently unconstitutional, but look, very few people can appreciate how the president feels personally at this moment.
[00:24:55.653 --> 00:24:57.495]  George Papadopoulos would be one.
[00:24:57.495 --> 00:25:00.077]  Paul Manafort would be one.
[00:25:00.077 --> 00:25:01.879]  General Michael Flynn.
[00:25:01.879 --> 00:25:16.051]  And then Alex, you yourself, you know what it is to be in the eye of the storm and to have the full force of state and federal government come at you, completely violate all of your constitutional rights.
[00:25:16.711 --> 00:25:27.340]  Nowhere in the US Constitution does it say that if you're charged with a crime at either the state or the federal level, that you forfeit your free speech rights.
[00:25:27.340 --> 00:25:43.713]  But in my case, as in I think potentially in this case, a federal judge issued a gag order in which I could not defend myself, I couldn't come back on InfoWars, I couldn't go on any forum whatsoever, I couldn't post on social media, although frankly I was banned on
[00:25:44.073 --> 00:26:01.597]  Most of them at the time anyway, but I couldn't go to stonezone.com and post an article in my own defense, which is why today I can't go to dinner, say, on a Sunday night with my family, my wife, my children, my grandchildren, without some hopped up
[00:26:02.117 --> 00:26:11.161]  Trans-radical leftists coming up to the table and calling me a Russian traitor, of which of course there is no evidence whatsoever.
[00:26:11.161 --> 00:26:26.927]  But I can see how this poor misguided individual might get that impression because CNN, MSNBC, The New York Times, The Washington Post, The Wall Street Journal, The Business Insider, they were allowed to repeat this unchallenged narrative.
[00:26:26.927 --> 00:26:27.387]  Absolutely.
[00:26:28.127 --> 00:26:29.508]  I would need to defend myself.
[00:26:29.508 --> 00:26:33.972]  Trump is now potentially in the exact same position.
[00:26:33.972 --> 00:26:36.214]  It is outrageous.
[00:26:36.214 --> 00:26:36.994]  And of course it is.
[00:26:36.994 --> 00:26:38.055]  The president's right.
[00:26:38.055 --> 00:26:40.417]  This is all election interference.
[00:26:40.417 --> 00:26:50.986]  He is not only a former president, but he's also the leading candidate, announced candidate, federal candidate for the Republican nomination for president.
[00:26:50.986 --> 00:26:54.208]  And that is really what is at the root of all this.
[00:26:54.208 --> 00:26:57.571]  They do not, in my opinion, want to run against Donald Trump.
[00:26:57.771 --> 00:26:59.814]  Again, he's beaten them once.
[00:26:59.814 --> 00:27:02.657]  It is highly likely he beat them twice.
[00:27:02.657 --> 00:27:09.806]  And now if you look at the polls, he would beat Joe Biden again tomorrow, even in the wake of this news.
[00:27:09.806 --> 00:27:13.831]  And I want to talk about that next segment because you're the real political expert on this.
[00:27:13.831 --> 00:27:14.612]  The timeframe.
[00:27:15.558 --> 00:27:26.703]  of them trying to get him in jail before the election, but if you look at that, he could easily draw this out and then be the president again and obviously pardon himself.
[00:27:26.703 --> 00:27:30.485]  We'll talk about that, but you mentioned guilty until proven innocent.
[00:27:30.485 --> 00:27:39.348]  I had two judges literally in rigged cases say I was guilty, not let me put on evidence, and then basically rigged juries to decide how guilty I am.
[00:27:39.348 --> 00:27:40.289]  She said he is guilty.
[00:27:41.167 --> 00:27:47.789]  He will pay money, and he has hundreds of millions of dollars, which wasn't true, wouldn't let us point that out, wasn't true, and then did that.
[00:27:47.789 --> 00:27:49.690]  So that's the civil system.
[00:27:49.690 --> 00:27:51.871]  Imagine how rigged, in places like New York and D.C.
[00:27:51.871 --> 00:27:54.932]  and Austin, the criminal systems have become.
[00:27:54.932 --> 00:27:56.612]  But what do you make of Pelosi?
[00:27:56.612 --> 00:28:04.335]  We just put the statement on air, saying he is guilty until proven innocent, and he needs to respect the system and keep his mouth shut.
[00:28:04.335 --> 00:28:06.176]  So she said he's been given
[00:28:07.190 --> 00:28:09.176]  Given the opportunity to prove his innocence.
[00:28:09.176 --> 00:28:10.099]  No, you're not given it.
[00:28:10.099 --> 00:28:12.626]  It's right there, given to us by God, not by the state.
