[00:00:09.386 --> 00:00:13.140]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:02:59.627 --> 00:03:03.249]  We know that, you know, he was on a phone one time or he had dinner one time.
[00:03:03.249 --> 00:03:05.310]  And what Republicans have done is to say, see, there's the evidence.
[00:03:05.310 --> 00:03:06.510]  He was he was in the room.
[00:03:06.510 --> 00:03:07.150]  He was at dinner.
[00:03:07.150 --> 00:03:07.791]  He was on the phone.
[00:03:07.791 --> 00:03:09.071]  He spoke to his son.
[00:03:09.071 --> 00:03:11.792]  But there has been no evidence at all.
[00:03:11.792 --> 00:03:12.152]  Zero.
[00:03:12.152 --> 00:03:12.913]  Why was the president
[00:03:13.433 --> 00:03:13.633]  I don't
[00:03:30.911 --> 00:03:34.332]  Can't be afforded on a congressional or Senate salary.
[00:03:34.332 --> 00:03:41.213]  You also understand that it's not normal for family members to receive millions of dollars from overseas interests.
[00:03:41.213 --> 00:03:42.313]  Those things aren't normal.
[00:03:42.313 --> 00:03:45.614]  That's not normal to have 20 shell companies.
[00:03:45.614 --> 00:03:53.716]  These things are not normal and it alludes to not only just widespread corruption, but money laundering, if not influence peddling itself.
[00:03:53.716 --> 00:03:54.516]  That's what we have.
[00:03:54.516 --> 00:03:58.917]  If you can't see that, if you are that blunt, I'll turn it over to the attorneys.
[00:03:59.617 --> 00:04:00.238]  I can't see that.
[00:04:00.238 --> 00:04:01.399]  They think it's political revenge.
[00:04:01.399 --> 00:04:05.264]  It's because you don't report on it!
[00:04:05.264 --> 00:04:09.069]  I'm not sure how you know what the American people think, but here's what they might wonder.
[00:04:09.069 --> 00:04:17.018]  Actually, if you're a federal prosecutor, you would be asking yourself, how can there not have been an indictment for a FARA violation?
[00:04:17.779 --> 00:04:19.220]  Against Hunter Biden.
[00:04:19.220 --> 00:04:22.302]  I hate to face public servants, but it is true.
[00:04:22.302 --> 00:04:32.930]  Now that deep state tool Joe Biden has been thrown to the wolves, the country will enter a state of suspension, where foreign power infiltration can thrive.
[00:04:32.930 --> 00:04:41.216]  And once it's all said and done, Joe Biden will go down as the greatest national security threat the United States has ever endured.
[00:04:41.756 --> 00:04:55.356]  Recent actions from the Biden administration have made it clear that they are not only itching to create a digital dollar, but they're willing to trade Americans' right to financial privacy for a surveillance-style CBDC.
[00:04:55.356 --> 00:04:56.538]  John Bowne reporting.
[00:05:01.505 --> 00:05:09.707]  The most powerful Winfo Wars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[00:05:09.707 --> 00:05:20.091]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your very DNA.
[00:05:20.091 --> 00:05:28.193]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, organic reishi mushroom, astrologous root,
[00:05:28.453 --> 00:05:29.194]  We're good to go!
[00:05:50.071 --> 00:05:54.700]  Grab the Combo Pack with DNA Force Plus and Body Soul Support.
[00:05:54.700 --> 00:05:58.648]  These offers and so much more are only available at m4store.com.
[00:06:02.005 --> 00:06:03.145]  Good evening.
[00:06:03.145 --> 00:06:04.486]  I'm Erica Lost.
[00:06:04.486 --> 00:06:11.967]  An unidentified man is being held for questioning by the FBI for suspected links to last month's biological virus deaths.
[00:06:11.967 --> 00:06:18.848]  In local news, a dog named Hero takes the grand prize at the annual... I wish I could tell you more pertinent news.
[00:06:18.848 --> 00:06:24.230]  But we're in a rating system here, and the key factor is... Sensationalism.
[00:06:24.230 --> 00:06:26.550]  They've got you running in circles.
[00:06:26.550 --> 00:06:28.170]  Nine to five.
[00:06:28.170 --> 00:06:30.691]  And five to nine... You're mine.
[00:06:31.667 --> 00:06:36.209]  I tell you what they want you to know, and you consider it the truth.
[00:06:36.209 --> 00:06:38.909]  Nobody is opening their eyes!
[00:06:38.909 --> 00:06:44.952]  Our global economy is depleting the world of our lives and natural resources!
[00:06:44.952 --> 00:06:46.552]  And are you happy?
[00:06:46.552 --> 00:06:49.073]  Come on!
[00:06:49.073 --> 00:06:50.053]  I want you!
[00:06:50.053 --> 00:06:56.675]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:06:56.675 --> 00:07:01.117]  Visit InfoWars.com forward slash show and share the link today.
[00:07:17.882 --> 00:07:20.563]  Welcome to the Alex Jones Show, folks.
[00:07:20.563 --> 00:07:23.945]  I am your guest host today, Chase Geyser, filling in for the great Alex Jones.
[00:07:23.945 --> 00:07:35.170]  It is an honor and a pleasure to be with you this Sunday night, the Day of Our Lord, a day which is set to be a day of rest, but we are working because we know that the enemy never sleeps.
[00:07:35.170 --> 00:07:37.471]  Lots of crazy news coming in over this weekend.
[00:07:38.351 --> 00:07:45.916]  It's hard to even know where to start, but I think we're going to go ahead and start with the new developments regarding Russell Brand.
[00:07:45.916 --> 00:07:50.840]  Comedian Russell Brand denies rape, sexual assault accusations.
[00:07:50.840 --> 00:07:55.343]  Let's go ahead and go straight to clip 7 and see Brand's response, and then we'll dive into the details.
[00:07:57.145 --> 00:07:58.406]  Hello there you Awakening Wonders.
[00:07:58.406 --> 00:08:07.631]  Now this isn't the usual type of video we make on this channel where we critique, attack and undermine the news in all its corruption, because in this story I am the news.
[00:08:07.631 --> 00:08:12.774]  I've received two extremely disturbing letters, or a letter and an email.
[00:08:12.774 --> 00:08:16.976]  One from a mainstream media TV company, one from a newspaper
[00:08:17.356 --> 00:08:30.166]  Listing a litany of extremely egregious and aggressive attacks, as well as some pretty stupid stuff, like my community festival should be stopped, that I shouldn't be able to attack mainstream media narratives on this channel.
[00:08:30.166 --> 00:08:39.573]  But amidst this litany of astonishing, rather baroque attacks, are some very serious allegations that I absolutely refute.
[00:08:40.453 --> 00:08:50.381]  These allegations pertain to the time when I was working in the mainstream, when I was in the newspapers all the time, when I was in the movies, and as I've written about extensively in my books, I was very, very promiscuous.
[00:08:50.381 --> 00:08:55.866]  Now, during that time of promiscuity, the relationships I had were absolutely always consensual.
[00:08:55.866 --> 00:08:58.688]  I was always transparent about that then, almost too transparent.
[00:08:58.988 --> 00:09:01.932]  And I'm being transparent about it now as well.
[00:09:01.932 --> 00:09:11.566]  And to see that transparency metastasized into something criminal, that I absolutely deny, makes me question, is there another agenda at play?
[00:09:11.566 --> 00:09:14.811]  Particularly when we've seen coordinated media attacks before.
[00:09:15.091 --> 00:09:25.536]  Like, with Joe Rogan, when he dared to take a medicine that the mainstream media didn't approve of, and we saw a spate of headlines from media outlets across the world using the same language.
[00:09:25.536 --> 00:09:32.380]  I'm aware that you guys have been saying in the comments for a while, watch out Russell, they're coming for you, you're getting too close to the truth, Russell Brand did not kill himself.
[00:09:32.720 --> 00:09:34.921]  I know that a year ago there was a spate of articles.
[00:09:34.921 --> 00:09:36.682]  Russell Brand's a conspiracy theorist.
[00:09:36.682 --> 00:09:38.043]  Russell Brand's right wing.
[00:09:38.043 --> 00:09:43.146]  I'm aware of news media making phone calls, sending letters to people I know for ages and ages.
[00:09:43.146 --> 00:09:51.871]  It's been clear to me, or at least it feels to me, like there's a serious and concerted agenda to control these kind of spaces and these kind of voices.
[00:09:51.871 --> 00:09:54.072]  And I mean my voice along with your voice.
[00:09:54.332 --> 00:10:00.337]  I don't mind them using my books and my stand-up to talk about my promiscuous, consensual conduct in the past.
[00:10:00.337 --> 00:10:06.122]  What I seriously refute are these very, very serious criminal allegations.
[00:10:06.122 --> 00:10:18.793]  Also, it's worth mentioning that there are witnesses whose evidence directly contradicts the narratives that these two mainstream media outlets are trying to construct, apparently in what seems to me to be a coordinated attack.
[00:10:19.574 --> 00:10:30.245]  Now, I don't want to get into this any further because of the serious nature of the allegations, but I feel like I'm being attacked and plainly they are working very closely together.
[00:10:30.245 --> 00:10:35.030]  We are obviously going to look into this matter because it's very, very serious.
[00:10:35.030 --> 00:10:42.098]  In the meantime, I want you to stay close, stay awake, but more important than any of that, if you can, please stay free.
[00:10:43.598 --> 00:10:51.983]  Comedian and podcaster Russell Brand was accused of rape and sexual assault this week with the actor coming forth to refute the allegations as we just saw in that clip.
[00:10:51.983 --> 00:10:56.646]  According to the Daily Mail, Brand reportedly committed the alleged assault sometime between 2006 and 2013 when he worked for the BBC.
[00:10:56.646 --> 00:10:57.126]  The Mail reports...
[00:11:01.789 --> 00:11:11.435]  Four women have alleged sexual assaults occurred between 2006 and 2013 when Brand was working for the BBC Radio 2 and Channel 4 as well as starring in Hollywood films.
[00:11:11.435 --> 00:11:23.282]  The actor and comedian is also facing claims of controlling, abusive, and predatory behavior following a joint investigation by the Sunday Times, The Times, and Channel 4 Dispatches.
[00:11:23.282 --> 00:11:25.163]  Jones came out and said, I stand with Russell Brand.
[00:11:25.163 --> 00:11:27.924]  Alex Jones refutes the Russell Brand rape claims.
[00:11:27.924 --> 00:11:29.665]  Go ahead and see what Alex had to say in clip 05.
[00:11:33.760 --> 00:11:37.323]  The Matrix is coming after Russell Brand.
[00:11:37.323 --> 00:11:46.890]  Anybody that challenges the globalists, anybody that challenges Big Pharma, anybody that's popular, that comes out against the establishment is going to be accused of assaulting women.
[00:11:46.890 --> 00:11:48.732]  Now, if you're Jeffrey Epstein's client list,
[00:11:49.929 --> 00:11:54.291]  That's as secret as what happened to JFK and the CIA.
[00:11:54.291 --> 00:11:55.851]  I know Russell Brand personally.
[00:11:55.851 --> 00:11:57.372]  I knew him back when he was married to Katy Perry.
[00:11:57.372 --> 00:11:58.553]  He's come on the show a few times.
[00:11:58.553 --> 00:12:00.413]  We've hung out some in Austin.
[00:12:00.413 --> 00:12:06.976]  I've never seen women throw themselves at anybody like with him.
[00:12:06.976 --> 00:12:10.718]  And I mean, I've seen the old footage of Elvis with women pulling their panties off, throwing at him.
[00:12:10.718 --> 00:12:11.838]  It's like that, okay?
[00:12:11.838 --> 00:12:17.380]  At restaurants, at one of his events I went to, it was literally women jumping at us, okay?
[00:12:17.380 --> 00:12:18.581]  And he's a big guy in person.
[00:12:19.833 --> 00:12:23.796]  No one ever accused him for the last 15 years of assault.
[00:12:23.796 --> 00:12:25.217]  He's a big sweetheart.
[00:12:25.217 --> 00:12:33.123]  And now because he comes out against Big Pharma, he comes out against the Globalist, he comes out against the New World Order, suddenly the allegations are happening to him.
[00:12:33.123 --> 00:12:37.267]  They've had PIs out trying to get women to lie about me for years, but they haven't found a woman to do it yet.
[00:12:37.867 --> 00:12:39.968]  Because I haven't been with many women, not like Russell Brand.
[00:12:39.968 --> 00:12:42.368]  This guy's, you know, this guy's a beast.
[00:12:42.368 --> 00:12:43.869]  He's like Errol Flynn.
[00:12:43.869 --> 00:12:49.991]  So that's incoming because they want to punish people and destroy people that decide to stand with humanity.
[00:12:49.991 --> 00:12:50.911]  I stand with Russell Brand.
[00:12:50.911 --> 00:12:51.911]  He's completely innocent.
[00:12:51.911 --> 00:12:56.753]  That's why we have a statute of limitations so people 10 years later can't make stuff up when you're ultra famous.
[00:12:57.293 --> 00:12:58.274]  They're doing it to everybody.
[00:12:58.274 --> 00:12:59.535]  They're doing it to Andrew Tate.
[00:12:59.535 --> 00:13:00.736]  They're trying to do it to Elon Musk.
[00:13:00.736 --> 00:13:01.517]  They're trying to do it to me.
[00:13:01.517 --> 00:13:03.139]  They're trying to do it to Paul Watson.
[00:13:03.139 --> 00:13:05.160]  They're trying to do it to anybody that stands up to them.
[00:13:05.160 --> 00:13:06.602]  But we know who the real predators are.
[00:13:06.602 --> 00:13:11.847]  And that's the globalist start in World War III with open borders and massive human smuggling.
[00:13:11.847 --> 00:13:15.110]  So as for me and my family, we're going to continue to tell the truth.
[00:13:15.110 --> 00:13:17.252]  As for M4, we're going to continue to tell the truth.
[00:13:17.252 --> 00:13:19.093]  And people have to realize this is a pattern here.
[00:13:19.093 --> 00:13:22.837]  Anybody challenges the New World Order, they come out and say you're a sexual assaulter.
[00:13:25.782 --> 00:13:36.026]  You could throw a rock and hit a white guy in the United States that's been falsely accused of sexual assault, especially one who is of political prominence, and even more especially someone who is not of the left.
[00:13:36.026 --> 00:13:44.070]  Regardless of whether they're Republican, anyone considered right of center is susceptible and vulnerable to these false allegations.
[00:13:44.070 --> 00:13:47.851]  And the reason that this vulnerability exists is because they don't have to be true.
[00:13:47.851 --> 00:13:51.273]  All they have to do is allege that you've committed some sort of assault or some sort of crime.
[00:13:51.573 --> 00:13:51.833]  I don't know.
[00:14:13.237 --> 00:14:20.662]  Maybe set to bring Alex Jones back to Twitter, he hasn't said so explicitly, but he did say no more cancelling, enough is enough.
[00:14:20.662 --> 00:14:28.348]  Tech billionaire and ex-boss Elon Musk's latest indictment against cancel culture has many anticipating the return of radio host Alex Jones to the platform.
[00:14:28.348 --> 00:14:32.231]  He said no more cancelling, in a now viral post, enough is enough.
[00:14:32.751 --> 00:14:45.222]  In response, I believe, to Ian Miles Cheong's post, Musk was responding to social media influencer Ian Miles Cheong calling out the coordinated nature and timing of the rape accusations against popular comedian and podcaster Russell Brand.
[00:14:45.222 --> 00:14:52.849]  Almost immediately, the denizens of X asked if Musk's sentiments meant the return of the most banned man on the internet, Alex Jones.
[00:14:53.610 --> 00:15:15.495]  So, Elon hasn't explicitly stated that he would bring Alex Jones back as far as I understand it, but it does seem that he is increasingly perturbed by cancel culture and all of the antagonism against truth, all of the censorship of truth, and the defamation of those on the right who are of upstanding character and fighting against the globalist New World Order.
[00:15:15.495 --> 00:15:18.056]  We're going to cut to break and talk more about this in the next segment.
[00:15:18.056 --> 00:15:21.817]  Before we go to break, I do want to mention the real Red Pill Plus is back at 25% off.
[00:15:23.795 --> 00:15:28.721]  With the dangerous toxins that lie within our water, we know we need to filter out the bacteria.
[00:15:28.721 --> 00:15:34.587]  But as you age, filtering out all of those essential minerals as well can make you tired and slow.
[00:15:34.587 --> 00:15:40.474]  That's why our scientists worked day and night to bring back one of our most powerful supplements, the real Red Pill Plus from InfoWars Life.
[00:15:40.874 --> 00:15:42.755]  I didn't realize this was back this week.
[00:15:42.755 --> 00:15:43.676]  I thought it was next week.
[00:15:43.676 --> 00:15:45.777]  I come in this morning, it's back in the warehouse ready to roll.
[00:16:06.311 --> 00:16:08.532]  Body's ultimate turmeric formula.
[00:16:08.532 --> 00:16:12.395]  And the first thing I did was pop one of these bad boys.
[00:16:12.395 --> 00:16:14.276]  Overhead shot, please.
[00:16:14.276 --> 00:16:18.439]  Look how full this bottle is.
[00:16:18.439 --> 00:16:21.401]  Right to the top, folks.
[00:16:21.401 --> 00:16:23.963]  Right to the top with these 95% curcuminoid.
[00:16:27.242 --> 00:16:30.104]  Again, most turmeric formulas are five percent.
[00:16:30.104 --> 00:16:31.444]  Some are maybe ten.
[00:16:31.444 --> 00:16:34.126]  The other strongest brands are seventy-five percent.
[00:16:34.126 --> 00:16:38.048]  This is ninety-five percent.
[00:16:38.048 --> 00:16:39.029]  Super constant.
[00:16:39.029 --> 00:16:42.891]  So like taking one pill is like taking ten of the average pill.
[00:16:42.891 --> 00:16:44.372]  It's that powerful.
[00:16:44.372 --> 00:16:45.532]  Or more.
[00:16:45.532 --> 00:16:47.654]  So they're available at InfoWarsTore.com.
[00:16:49.019 --> 00:16:54.823]  A lot of people have asked me, why is MFOR Store at MFOR's life, not at a probiotic for more than three years?
[00:17:05.729 --> 00:17:06.950]  The answer is simple.
[00:17:06.950 --> 00:17:09.873]  We only bring you the highest quality at the lowest prices.
[00:17:09.873 --> 00:17:14.016]  We had a top maker, top certified of probiotics for more than seven years.
[00:17:14.016 --> 00:17:20.201]  They got bought by a libtard company and said, we're not doing business with you, Mr. Jones, anymore.
[00:17:20.201 --> 00:17:25.706]  Finally, we got a probiotic just as good or better with a top lab that loves our show.
[00:17:25.706 --> 00:17:30.210]  We're able to private label it under InfoWars MD as our probiotic formula.
[00:17:30.210 --> 00:17:33.793]  So you can get a super high quality probiotic for amazing gut health and more.
[00:17:34.133 --> 00:17:34.453]  I think so.
[00:17:59.431 --> 00:18:05.112]  For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[00:18:05.112 --> 00:18:15.734]  I don't have to sell you on CBD oil, full spectrum CBD oil, the incredible things it does for your nerves, your brain, your entire physiological system, for your nervous system particularly.
[00:18:15.734 --> 00:18:17.774]  Everybody knows it's incredible, it works.
[00:18:17.774 --> 00:18:22.855]  We have the strongest, best CBD oil you're gonna find anywhere at the lowest price.
[00:18:22.855 --> 00:18:25.756]  Yes, you can find this same CBD oil for 30% more
[00:18:27.625 --> 00:18:29.387]  Because that's who we're getting it from.
[00:18:29.387 --> 00:18:32.089]  Made right here in Central Texas.
[00:18:32.089 --> 00:18:35.753]  Our private label name is Rebel Zen.
[00:18:35.753 --> 00:18:41.338]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[00:18:41.338 --> 00:18:44.161]  It's based right here in Texas and we're giving it to you at 30% off.
[00:18:44.161 --> 00:18:45.262]  And here's what's even crazier.
[00:18:46.042 --> 00:18:47.925]  30% off of what they're selling it for.
[00:18:47.925 --> 00:18:51.170]  They're selling theirs for 30% off what their competitors are.
[00:18:51.170 --> 00:18:55.557]  So this is the highest rated, already at the lowest price, now even a lower price.
[00:18:55.557 --> 00:18:56.338]  Rebels In.
[00:18:56.338 --> 00:18:58.682]  Get yours at InfoWareStore.com now!
[00:19:00.037 --> 00:19:08.181]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[00:19:08.181 --> 00:19:13.663]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it.
[00:19:13.663 --> 00:19:18.625]  And they can be found in fish, which are arguably the best source of omega-3s.
[00:19:19.986 --> 00:19:24.831]  But the problem today is finding fish without a high mercury content.
[00:19:24.831 --> 00:19:31.118]  Your best option is our Ultimate Fish Oil and Ultimate Krill Oil at InfowarsStore.com.
[00:19:32.395 --> 00:19:41.260]  Omega-3 fatty acids are essential for both our neurological and cardiovascular systems, our brain and our heart.
[00:19:41.260 --> 00:19:46.023]  They improve mood, mental clarity, and immune function.
[00:19:46.023 --> 00:19:51.166]  Get your essential Omega-3 fatty acids from the best sources available.
[00:19:51.166 --> 00:19:54.207]  Ultimate Fish Oil and Ultimate Krill Oil.
[00:19:54.207 --> 00:19:56.428]  Get some today at InfoWareStore.com.
[00:20:01.054 --> 00:20:18.670]  That's tomorrow, and that is it for us today.
[00:20:18.670 --> 00:20:20.692]  Whatever it is, it's not right on the teleprompter.
[00:20:20.692 --> 00:20:21.593]  I don't know what that is.
[00:20:21.593 --> 00:20:22.954]  I've never seen that.
[00:20:22.954 --> 00:20:25.016]  We are going to do InfoWars.
[00:20:25.016 --> 00:20:25.376]  Yeah.
[00:20:28.552 --> 00:20:29.193]  I can't read it.
[00:20:29.193 --> 00:20:31.214]  There's no words on it.
[00:20:31.214 --> 00:20:32.155]  Okay.
[00:20:32.155 --> 00:20:34.017]  Ready?
[00:20:34.017 --> 00:20:35.258]  There's no words there!
[00:20:35.258 --> 00:20:36.979]  To play us out!
[00:20:36.979 --> 00:20:37.579]  What does that mean?
[00:20:37.579 --> 00:20:39.961]  To play us out?
[00:20:39.961 --> 00:20:45.305]  Alex Jones is going to do a new broadcast.
[00:20:45.305 --> 00:20:45.565]  Alright.
[00:20:45.565 --> 00:20:45.946]  Go.
[00:20:45.946 --> 00:20:47.447]  Go.
[00:20:47.447 --> 00:20:48.287]  That's tomorrow.
[00:20:48.287 --> 00:20:49.989]  And that is it for us today.
[00:20:49.989 --> 00:20:54.832]  And we will leave you with a... I can't do it.
[00:20:54.832 --> 00:20:55.473]  We'll do it live.
[00:20:57.520 --> 00:20:59.181]  Well, do it live!
[00:20:59.181 --> 00:21:00.101]  Do it live!
[00:21:00.101 --> 00:21:06.764]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:21:06.764 --> 00:21:15.467]  Visit InfoWars.com forward slash show and share the link today.
[00:21:15.467 --> 00:21:17.968]  Welcome back to the Alex Jones Show.
[00:21:17.968 --> 00:21:21.770]  I am your host today, Chase Geyser, filling in for the great Alex Jones himself.
[00:21:23.439 --> 00:21:30.845]  We've been covering the Russell Brand allegations, which appear to be another example of hogwash lies coordinated from the left.
[00:21:30.845 --> 00:21:40.012]  I was doing a little bit of research on that story, and if you look at the threads of the original posters, they're like, we interviewed hundreds of people over years to corroborate these allegations.
[00:21:40.012 --> 00:21:51.462]  It's like, why are journalists interviewing hundreds of people about whether or not Russell Brand is a sexual assailant and literally doing no journalism whatsoever over the last several years?
[00:21:52.102 --> 00:22:05.111]  Regarding all of the crimes that Hunter Biden obviously committed with actual evidence in his own writing, from his own texts, from his own emails, from the laptop, which they lied about and is actually real.
[00:22:05.111 --> 00:22:20.101]  How many resources are you going to put into whether or not this former Hollywood star and successful podcaster is a sexual assailant when there's a much bigger, more important story regarding Biden corruption that's been going on for over a decade now?
[00:22:21.109 --> 00:22:21.209]  So
[00:22:39.123 --> 00:22:39.603]  We're good to go.
[00:23:04.332 --> 00:23:04.593]  I'm good.
[00:23:20.373 --> 00:23:22.454]  Man, we'll always be old friends.
[00:23:22.454 --> 00:23:25.316]  Our lives have taken us in incredibly different directions.
[00:23:25.316 --> 00:23:31.239]  I try constantly to reconcile my feelings of genuine brotherhood with you while being honest with myself.
[00:23:31.239 --> 00:23:36.061]  I think you, somewhere in the last two to three years, spun too far away.
[00:23:36.061 --> 00:23:43.065]  The people you have decided to align your life with are not people I want associated with me, even by second or third degree.
[00:23:43.065 --> 00:23:48.828]  I do fully respect that it's none of my business and you're providing for your family, and I respect that you've
[00:23:50.245 --> 00:23:52.546]  That you're allowed to say whatever you want.
[00:23:52.546 --> 00:23:54.146]  I don't intend to change your mind on anything.
[00:23:54.146 --> 00:23:56.347]  Truly, I know I wouldn't if I tried anyway.
[00:23:56.347 --> 00:23:59.748]  You're much too smart and driven to back down now.
[00:23:59.748 --> 00:24:00.948]  In a way, I respect that.
[00:24:00.948 --> 00:24:04.390]  I just wish I respected how you felt and what you said.
[00:24:04.390 --> 00:24:05.410]  It's just weird for me now.
[00:24:05.410 --> 00:24:11.532]  I realize it seems disingenuous to say I care about you and your family after all of the above, but I do still.
[00:24:11.532 --> 00:24:14.793]  I accept any weirdness as a consequence for saying all of this.
[00:24:15.834 --> 00:24:19.455]  So my friend broke up with me this week because I'm associated with InfoWars.
[00:24:19.455 --> 00:24:23.196]  And there's several things going on here that I think are of interest.
[00:24:23.196 --> 00:24:32.259]  The first thing I want to point out is that this post got 11.3 million impressions on Twitter this week, which did kick my account into monetization.
[00:24:32.259 --> 00:24:37.980]  So although I did lose my friend, I did make $112 on Twitter this week because of it.
[00:24:37.980 --> 00:24:39.401]  So I do appreciate that.
[00:24:39.401 --> 00:24:42.862]  I will be taking my wife on a date in appreciation of the loss of this friendship.
[00:24:43.658 --> 00:24:46.780]  But there's several things going on here that I want to point out.
[00:24:46.780 --> 00:24:51.924]  The first thing is, I think you, somewhere in the last two to three years, spun too far away.
[00:24:51.924 --> 00:24:55.246]  The first thing I want to say is that my politics have always been the same.
[00:24:55.246 --> 00:25:01.811]  I read The Fountainhead by Ayn Rand when I was 17 years old, and that's what kicked me on this journey of individualism versus collectivism.
[00:25:01.811 --> 00:25:03.913]  I'm not a disciple of Ayn Rand by any means.
[00:25:03.913 --> 00:25:04.633]  I believe in God.
[00:25:04.633 --> 00:25:06.254]  She was a devoted atheist.
[00:25:06.254 --> 00:25:09.857]  However, I do believe in her philosophy of objectivism to a large extent.
[00:25:10.217 --> 00:25:30.142]  And I do believe in individualism over collectivism and doing what is right for you as an individual over compromising your own life and your own integrity for the sake of some state-sponsored altruistic philosophy which is really only designed to empower the globalists and enslave individuals worldwide.
[00:25:30.962 --> 00:25:34.323]  So my politics haven't changed over the last two to three years at all.
[00:25:34.323 --> 00:25:36.404]  My politics haven't really even changed over the last ten years.
[00:25:36.404 --> 00:25:38.825]  What's changed is the political climate.
[00:25:38.825 --> 00:25:39.965]  That's what's changed.
[00:25:39.965 --> 00:25:49.649]  And ever since Trump lost the election, quote-unquote, the political sentiment in the country, the political divide has gotten increasingly heated.
[00:25:49.649 --> 00:25:51.550]  And it's only going to get worse.
[00:25:51.550 --> 00:25:59.273]  And in the context of the increased political tensions that are going on, the left is deciding to write off the right.
[00:26:00.626 --> 00:26:05.752]  The people you've decided to align with are not people I want associated with me, even by second or third degree.
[00:26:05.752 --> 00:26:14.702]  First of all, we're only like six degrees of separation away from anyone, so to not be associated with someone by third degree is almost impossible in the current climate.
[00:26:22.369 --> 00:26:34.257]  The shame of it is when you have life experience with somebody for a decade and then you realize that the relationship is so fickle that it was dependent on your politics aligning the whole time.
[00:26:36.149 --> 00:26:40.113]  You realize that maybe your friends weren't even your friends to begin with?
[00:26:40.113 --> 00:26:48.781]  I guess that's the challenging thing of it, but the reason that I really want to talk about this is not just so that I can gripe publicly about what happened to me, but the fact that it got 11.3 million views.
[00:26:48.781 --> 00:26:56.448]  There were thousands upon thousands of replies of conservative voices saying, oh, my daughter won't speak to me anymore because of my politics.
[00:26:57.228 --> 00:26:59.729]  Or, oh, I lost my friend too of 20 years.
[00:26:59.729 --> 00:27:02.089]  This is not something that's just happening to me.
[00:27:02.089 --> 00:27:06.350]  It's not something that's just happening to political influencers or right-wing influencers.
[00:27:06.350 --> 00:27:11.051]  This is something that is happening to patriotic Americans all the way across the country.
