[00:00:00.000 --> 00:00:27.719]  [MUSIC PLAYING]
[00:17:05.240 --> 00:17:10.963]   I've had crew over the years say, Man, you came into the show with almost no energy, and once you get on air you have all this energy.
[00:17:11.243 --> 00:17:13.284]  Are you snorting cocaine during the breaks?
[00:17:13.324 --> 00:17:13.884]  The answer is no.
[00:17:13.944 --> 00:17:15.365]  I hate stimulants other than coffee.
[00:17:16.205 --> 00:17:17.606]  And some of the products we have are great.
[00:17:18.746 --> 00:17:20.687]  The Brain Force Plus, the Brain Force Ultra, but no.
[00:17:21.948 --> 00:17:23.669]  I'm fired up because they're killing us.
[00:17:23.729 --> 00:17:30.092]  I mean, if you could be sitting there after a long day's work at 6 o'clock in your, you know, kitchen looking out the back porch.
[00:17:31.690 --> 00:17:38.013]  And if you saw a mountain lion, this has happened in Texas and California, jump the fence and try to eat your five-year-old that's playing on the jungle gym.
[00:17:38.813 --> 00:17:45.456]  Doesn't matter whether you weigh 170 pounds or 250 pounds, most men or most women, and it's happened, are going to run out.
[00:17:46.547 --> 00:18:03.525]  They've grabbed butcher knives, they've grabbed baseball bats, sometimes bare-handed, women will go out and jump on a 250-pound mountain lion and start beating the hell out of it, and it's happened in Big Bend, Texas, it's happened in Northern California, it's happened everywhere, and women will haul that lion off of their child!
[00:18:04.773 --> 00:18:08.235]  Well, I'm here trying to hold this damn thing off my neck and off your neck.
[00:18:08.435 --> 00:18:09.936]  I'm freaking pissed off, man!
[00:18:10.576 --> 00:18:12.157]  People don't take this serious!
[00:18:12.357 --> 00:18:16.319]  We get eased into taking being murdered and being attacked all day.
[00:18:16.339 --> 00:18:27.565]  About a month ago, my daughter, at about 8 o'clock at night, was brushing her teeth, getting ready to go to bed, my six-year-old.
[00:18:28.725 --> 00:18:29.806]  And she's in my wife and I's.
[00:18:33.700 --> 00:18:38.848]  Bathroom, and she's brushing her teeth, and I'm sitting across the other sink brushing my teeth.
[00:18:40.390 --> 00:18:44.897]  And I see right through my mirror while I'm brushing my teeth, a spider going up the mirror.
[00:18:47.833 --> 00:18:50.894]  And I've already killed probably 20 brown recluses the last year at our house.
[00:18:50.954 --> 00:18:51.734]  I've never seen so many.
[00:18:51.754 --> 00:18:53.615]  Particularly in that bathroom.
[00:18:53.635 --> 00:18:54.515]  They come up out of the drain.
[00:18:54.535 --> 00:18:57.356]  I put a new drain in this tiny hole so they won't quit doing it.
[00:18:58.056 --> 00:19:01.217]  Anybody that lives in Texas knows about the scorpions coming through the damn drains.
[00:19:01.577 --> 00:19:04.898]  You'll be sitting there in bed, turn the light on in the morning and there's a scorpion on the ceiling.
[00:19:05.398 --> 00:19:06.319]  The scorpion won't kill you.
[00:19:06.339 --> 00:19:07.119]  A brown recluse did.
[00:19:07.139 --> 00:19:13.081]  We had a crew member bitten in October of last year by a brown recluse.
[00:19:13.321 --> 00:19:14.481]  Great, incredible guy.
[00:19:14.841 --> 00:19:15.581]  Loved him so much.
[00:19:15.621 --> 00:19:17.262]  For family privacy, I'm not going to say his name.
[00:19:19.383 --> 00:19:20.584]  Bitten by a brown recluse.
[00:19:22.585 --> 00:19:24.246]  And then it caused a heart infection.
[00:19:24.706 --> 00:19:26.027]  Doesn't just eat holes in your leg.
[00:19:26.688 --> 00:19:32.932]  And he dropped dead on Christmas morning loading presents in the car with his wife to go visit family across town.
[00:19:36.314 --> 00:19:36.714]  We love it.
[00:19:37.995 --> 00:19:38.656]  We love you, Chris.
[00:19:39.296 --> 00:19:39.816]  Great guy.
[00:19:39.836 --> 00:19:40.837]  The good guy young.
[00:19:41.577 --> 00:19:41.998]  39 years old.
[00:19:42.578 --> 00:19:43.459]  Been here over a decade.
[00:19:44.579 --> 00:19:45.340]  So I'm sitting there.
[00:19:47.782 --> 00:19:49.308]  And I go, son of a bitch!
[00:19:50.458 --> 00:19:52.479]  I know the look of that spider all the way.
[00:19:52.499 --> 00:19:54.359]  There's a sink here and about 10 feet away.
[00:19:54.379 --> 00:19:55.399]  My wife's sink.
[00:19:55.720 --> 00:19:56.300]  Here's my sink.
[00:19:57.000 --> 00:19:57.900]  There's a bathtub right here.
[00:19:57.920 --> 00:20:00.261]  I go, I see a little... That's a brown recluse.
[00:20:00.801 --> 00:20:04.382]  They're dark brown, fiddle on their back, black legs, dark brown legs.
[00:20:05.342 --> 00:20:06.423]  And I'm not tough.
[00:20:07.283 --> 00:20:09.343]  I could have picked up a piece of tissue.
[00:20:09.363 --> 00:20:10.624]  I could have picked up something to hit it with.
[00:20:10.964 --> 00:20:12.904]  But because it was by my daughter, I didn't even think.
[00:20:13.065 --> 00:20:16.766]  I ran right over and smashed that son of a bitch up against the mirror.
[00:20:16.786 --> 00:20:17.946]  And it was a brown recluse.
[00:20:21.348 --> 00:20:32.956]  And I don't like poison because it attacks your liver, but at that point I went to the store that night and I got spider poison and I sprained it down the drain in the shower entry and I told my daughter, you can't come in there for a month.
[00:20:33.296 --> 00:20:34.877]  Stop trying to take showers in our bathroom.
[00:20:34.897 --> 00:20:35.918]  She loves to be in that bathroom.
[00:20:36.218 --> 00:20:37.759]  You go take one up in your room.
[00:20:38.720 --> 00:20:43.743]  And the point is, is that when I saw the brown recluse, there's one right there.
[00:20:45.004 --> 00:20:48.066]  When I saw the brown recluse, I didn't sit there and even think.
[00:20:48.066 --> 00:20:55.066]  I went and I destroyed it.
[00:20:55.066 --> 00:20:57.066]  Because they're just as bad as the Black Widow.
[00:20:57.066 --> 00:21:07.066]  [BLANK_AUDIO]
[00:20:58.949 --> 00:21:01.249]  And it killed one of our crew members on Christmas Day.
[00:21:02.049 --> 00:21:04.470]  They did the autopsy and they said, yeah, it was a brown recluse bite.
[00:21:04.770 --> 00:21:06.170]  Rotted a big hole in his shin.
[00:21:07.530 --> 00:21:11.411]  Got an infection with the toxins in his arteries and ate his heart.
[00:21:12.311 --> 00:21:12.911]  There they are!
[00:21:13.111 --> 00:21:14.091]  That's a brown recluse.
[00:21:14.871 --> 00:21:18.592]  Kills way more people than rattlesnakes and water moccasins and mountain lions combined.
[00:21:20.012 --> 00:21:21.193]  And I'm off the rails here.
[00:21:21.233 --> 00:21:22.813]  I'm gonna come back and get to all the news.
[00:21:22.853 --> 00:21:30.053]   Now they're killing you, but The shots are killing thousands of times what brown recluses do, and it's being done on purpose.
[00:21:32.234 --> 00:21:33.235]  And I just don't get it.
[00:21:34.315 --> 00:21:40.459]  Why people don't see a threat when it's in your face.
[00:21:45.282 --> 00:21:46.062]  I said, go up the mirror.
[00:21:46.102 --> 00:21:47.203]  I'm at the corner of the mirror.
[00:21:47.243 --> 00:21:47.583]  I saw it.
[00:21:47.843 --> 00:21:50.465]  The walls went, and I was like, another one.
[00:21:52.372 --> 00:21:54.355]  Well, Brown recluses are the least of our problems.
[00:21:54.395 --> 00:21:57.519]  Bill Gates is the real Brown recluse and one of the biggest mass murderers in history.
[00:21:58.360 --> 00:22:00.323]  And none of us are safe until he's stopped.
[00:22:01.444 --> 00:22:02.226]  InfoWars.com.
[00:22:02.246 --> 00:22:03.928]  We're going to come back with all the news straight ahead.
[00:22:03.748 --> 00:22:18.067]  Stay with me.
[00:22:18.444 --> 00:22:20.326]  He's Alex Jones.
[00:22:20.307 --> 00:22:25.307]  Broadcasting from deep in the heart of Texas, worldwide.
[00:22:25.307 --> 00:22:47.307]  I've got a tiger!
[00:22:47.307 --> 00:22:52.307]  I've got a tiger by the tail, it's plain to see.
[00:22:52.307 --> 00:22:57.307]  I won't be much when you get through with me.
[00:22:57.307 --> 00:23:02.307]  Well I'm a-losing weight and I turn it mighty tail.
[00:23:02.307 --> 00:23:04.165]  (upbeat music)
[00:23:03.983 --> 00:23:10.489]  The Globalists have got us by the tail.
[00:23:11.630 --> 00:23:12.551]  We know what they did.
[00:23:12.571 --> 00:23:13.912]  The word's spreading fast.
[00:23:14.612 --> 00:23:17.795]  Joe Rogan is completely red-pilled and on fire now.
[00:23:18.776 --> 00:23:21.578]  Don't need to tell you about our long dinner Saturday and what he said.
[00:23:21.598 --> 00:23:23.160]  You can just see him say it on there.
[00:23:23.940 --> 00:23:25.161]  You can see what Tucker's doing.
[00:23:25.682 --> 00:23:26.723]  What Andrew Tate's doing.
[00:23:27.003 --> 00:23:28.184]  What Russell Baran's doing.
[00:23:29.125 --> 00:23:31.125]  What everybody else is doing.
[00:23:31.125 --> 00:23:33.125]  (music)
[00:23:33.125 --> 00:23:35.125]  (music)
[00:23:35.125 --> 00:23:37.125]  (music)
[00:23:37.125 --> 00:23:39.125]  And it's you guys.
[00:23:38.731 --> 00:23:40.252]  You're the reason.
[00:23:40.392 --> 00:23:43.653]  So don't ever forget that.
[00:23:43.873 --> 00:23:45.194]  I got a tiger!
[00:23:45.033 --> 00:24:00.033]   I got a tiger Hear that Bill Gates?
[00:24:12.033 --> 00:24:17.313]   Coming to you from deep in the heart of Texas, I'm your host, Alex Jones.
[00:24:16.138 --> 00:24:17.699]  All right let's get into what made me so mad.
[00:24:18.660 --> 00:24:27.488]  I mean a lot of this made me mad and I really am working on it and I pray a little good Lord to not make me go really crazy.
[00:24:28.488 --> 00:24:31.953]   But there's a Healthy middle there.
[00:24:32.693 --> 00:24:34.194]  Uh, thank God I do care.
[00:24:34.354 --> 00:24:35.134]  Thank God you care.
[00:24:35.234 --> 00:24:35.594]  Thank God.
[00:24:35.614 --> 00:24:44.398]  We're not just rolling over, but kind of like a race car that's got 1400 horsepower in it and you've got to run an Indy 500.
[00:24:45.979 --> 00:24:47.759]  We're only halfway through the race right now.
[00:24:47.839 --> 00:24:53.842]  And sure, we can put the pedal to the metal and probably get a couple of laps ahead of everybody, but our engine's going to blow.
[00:24:55.583 --> 00:24:58.904]  So we got to ease back and just stay in the lead.
[00:25:00.166 --> 00:25:08.646]   and only push the engine so far and not get violent until we've taken control of the judiciary
[00:25:08.646 --> 00:25:18.166]   and then we can bring redemption and retribution and vengeance that is the lord's
[00:25:18.166 --> 00:25:23.126]   to the criminals that have committed this psychotic mass murder operation
[00:25:23.126 --> 00:25:50.006]   that would make Adolf Hitler blush now
