[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[00:07:53.471 --> 00:08:03.115]  And so for the next year, Russia is going to be moving forward towards the Dnipro River, and they're going to secure all the land, and you're probably going to see at least 500,000 dead in the process.
[00:08:05.222 --> 00:08:12.305]  And they're not really showing much of the footage coming from these actual war zones, and I think that's because they don't want the American people to see how bad it actually is.
[00:08:13.865 --> 00:08:15.306]  They want the made-for-TV moments.
[00:08:15.346 --> 00:08:18.787]  They want the TV hero, Zelensky, running around in a Balenciaga sweatshirt.
[00:08:20.828 --> 00:08:28.050]  They want the glad-handing of the American media, the American politicians, the celebrities going over there with Zelensky.
[00:08:28.070 --> 00:08:40.026]   They want to feel good about the money and the weapons, but they don't want to actually show you Entire regions of Ukraine turned into rubble.
[00:08:42.827 --> 00:08:45.188]  Because you might not want to support this.
[00:08:45.228 --> 00:08:49.369]  You might not believe that Ukraine is winning the war, as they continue to tell you.
[00:08:49.749 --> 00:08:56.091]  Which, of course, anybody who's observing this can pretty much do the math.
[00:08:56.511 --> 00:09:02.553]  You keep telling us Ukraine's winning, but you keep telling us how much they need weapons and ammunition and money.
[00:09:02.933 --> 00:09:04.654]  Well, that doesn't sound like winning, does it?
[00:09:06.536 --> 00:09:07.617]  No, quite the opposite.
[00:09:08.998 --> 00:09:43.420]   Now, does China's involvement in the war in Ukraine, which is really just China deciding to back Russia in the larger geopolitical face-off of the corrupt globalists in the West, facing off with the, you could say, corrupt globalists of the East, In kind of this power struggle for who's going to dictate who's going to be on top of the pyramid when the global government comes in to fruition.
[00:09:43.780 --> 00:09:51.721]  Now, of course, the American people and everybody on the planet should be against the concept of global government, but they're not getting the full story.
[00:09:51.741 --> 00:09:53.602]  Now, we will talk about that today.
[00:09:55.622 --> 00:09:57.742]  But you have to wonder why?
[00:09:57.561 --> 00:09:59.561]  Why?
[00:09:59.561 --> 00:10:03.561]   Why is the US
[00:10:03.850 --> 00:10:15.653]  government and the American media telling you today that the Wuhan lab was indeed the origin of COVID-19?
[00:10:16.733 --> 00:10:30.496]  And there's a whole list of questions that follow that and surround that, and we're going to get into that with Dr. Andrew Huff, who was an original whistleblower on the virus origins in the third hour today.
[00:10:32.964 --> 00:10:46.851]  But, getting back to the situation in Ukraine now that's being escalated, with Russia getting attacked, folks, there's just not much support for Ukraine out there, I'm sorry to say.
[00:10:47.272 --> 00:10:53.035]  And you've got, of course, the mainstream media propaganda, but they tell you Joe Biden is popular too.
[00:10:53.175 --> 00:10:54.295]  I mean, you know that's a lie.
[00:10:55.816 --> 00:10:56.757]  So this is what they do.
[00:10:57.057 --> 00:11:12.767]   They push out their propaganda, They get all their brainwashed minions to put a Ukraine flag on their internet profile, or put a Ukraine flag up by their business, or wave a Ukraine flag during their political events.
[00:11:14.079 --> 00:11:15.300]  And it's just all propaganda.
[00:11:15.820 --> 00:11:16.480]  And you know what?
[00:11:16.700 --> 00:11:20.101]  I kind of like what you guys are doing here, putting all the Zelensky crap on the screen.
[00:11:20.141 --> 00:11:21.502]  Let's just keep doing that.
[00:11:21.522 --> 00:11:25.464]  I mean, just show all the gay Zelensky stuff, and hey, that's fine.
[00:11:25.824 --> 00:11:38.969]  If he wants to, you know, make jokes about his penis and play with his penis on television and rub his penis on other men and dance for other men in gimp suits and hump them and gyrate them in a homoerotic display, then that's good for Zelensky.
[00:11:40.216 --> 00:11:42.338]  But this is who you're supposed to back?
[00:11:42.819 --> 00:11:46.482]  This is who's telling you you need to die and pay for Ukraine to survive?
[00:11:47.283 --> 00:11:50.046]  As he's going to be the one in charge when Ukraine falls?
[00:11:51.367 --> 00:11:53.008]  Stealing all of our money in the process?
[00:11:54.790 --> 00:12:04.780]  I mean, imagine Zelensky, you know, this gay twink in a gimp outfit, leather daddy, just mounting the United States of America and just having it.
[00:12:07.335 --> 00:12:10.176]  That's what he wants to do, that's what he's doing, and we're just supposed to sit here and take it?
[00:12:10.196 --> 00:12:10.516]  But no.
[00:12:11.357 --> 00:12:12.137]  No, no, no, no, no, no.
[00:12:12.777 --> 00:12:15.179]  See, there's not that support for Ukraine.
[00:12:15.199 --> 00:12:18.780]  You've got the propaganda overwhelming you, thinking the support is there.
[00:12:18.920 --> 00:12:19.500]  It's not.
[00:12:20.001 --> 00:12:25.323]  Anti-war protests in America, anti-war protests in Germany, anti-war protests in France.
[00:12:28.084 --> 00:12:29.845]  Anti-NATO protests.
[00:12:31.906 --> 00:12:33.727]  So no, they don't have the support.
[00:12:35.111 --> 00:12:36.533]  They're feigning the support.
[00:12:36.773 --> 00:12:37.794]  They're faking it all.
[00:12:38.194 --> 00:12:39.776]  They want you to think you're on the winning team.
[00:12:39.816 --> 00:12:49.787]  It's like Tokyo Rose, Baghdad Bob, or... If I decided to run a commercial because I wanted to sell merchandise...
[00:12:51.912 --> 00:12:55.214]  And you just had the Kansas City Chiefs beat the Philadelphia Eagles in the Super Bowl.
[00:12:55.534 --> 00:12:56.535]  But I just said, you know what?
[00:12:56.715 --> 00:12:58.596]  I want to sell some Eagles merchandise.
[00:12:59.236 --> 00:13:05.700]  So I'm just going to say the Eagles won the Super Bowl and we're going to sell Philadelphia Eagles Super Bowl hats and t-shirts.
[00:13:06.580 --> 00:13:09.762]  And somebody that doesn't know any better would say, oh, oh, the Eagles won the Super Bowl.
[00:13:09.842 --> 00:13:10.362]  I want a hat.
[00:13:10.482 --> 00:13:11.162]  I want a t-shirt.
[00:13:11.663 --> 00:13:16.465]  And then they go out and they buy the Super Bowl hat and t-shirt thinking, oh, look, I'm on the winning team.
[00:13:16.565 --> 00:13:16.986]  I'm winning.
[00:13:17.066 --> 00:13:18.366]  I'm a Super Bowl winner with the Eagles.
[00:13:18.847 --> 00:13:20.187]  No, the Eagles didn't win the Super Bowl.
[00:13:20.227 --> 00:13:20.968]  You got tricked.
[00:13:22.912 --> 00:13:24.793]  And so that's now what's going on in Ukraine.
[00:13:26.353 --> 00:13:27.934]  But the situation has escalated.
[00:13:29.054 --> 00:13:39.278]  And again, folks, you need to understand the support for the Ukrainian army, the support publicly, all of this, it's just not there.
[00:13:39.858 --> 00:13:51.002]  And as far as Zelensky's side is concerned with Joe Biden and Duda in Poland, there is no real cause.
[00:13:51.082 --> 00:13:54.277]   There is no real Momentum.
[00:13:54.878 --> 00:13:57.540]  It's all synthetic, it's all fake, it's all propaganda.
[00:13:59.001 --> 00:14:07.846]  And, of course, you can always go back to the question of why and say, well, money!
[00:14:07.866 --> 00:14:09.447]  $150 billion to Ukraine?
[00:14:09.487 --> 00:14:11.589]  I mean, that's a hell of a lot of money!
[00:14:13.550 --> 00:14:20.375]  But then you look at the side from Russia, and this is where your media is not telling you what's going on.
[00:14:22.978 --> 00:14:31.288]  Russian patriotism, support for Vladimir Putin is basically, I would say the comparison is like after 9-11 in the United States of America.
[00:14:32.028 --> 00:14:36.654]  Where you saw American flags everywhere, patriotism everywhere, people joining the military everywhere.
[00:14:38.510 --> 00:14:41.911]  No, I'm not saying it's 100% for that in Russia, obviously.
[00:14:42.231 --> 00:14:53.095]  I'm just saying if you want to have kind of an idea, a flavor, a moment of what this is like in Russia, think post-911 America with the patriotism and the support and the unity.
[00:14:53.575 --> 00:14:56.676]  That's happening in Russia, and that is legitimate.
[00:14:58.561 --> 00:15:00.802]  You don't have that anywhere else right now.
[00:15:00.903 --> 00:15:02.804]  You don't have that in Ukraine for Ukraine.
[00:15:03.024 --> 00:15:05.445]  You don't have that in any NATO countries for Ukraine.
[00:15:05.706 --> 00:15:09.008]  You don't really have that in America outside of just the propaganda.
[00:15:10.180 --> 00:15:28.233]  So when you realize that Zelensky and Ukraine are basically an empty shell of a tank moving in against the Russians that are actually there, want to be there, and have a real agenda and a real cause, you realize the whole Ukraine war was always meant to fail.
[00:15:29.033 --> 00:15:31.655]  But there's a bigger problem, and we'll talk about that on the other side.
[00:15:32.456 --> 00:15:50.971]  So it's sad that you have world leaders that will gladly profit and gain more influence and power off of a war that is going to devastate an entire country, see probably at least half a million killed overall, and they just don't care.
[00:15:52.759 --> 00:15:53.640]  They just don't care.
[00:15:53.680 --> 00:16:01.365]  They launder their money, they launder their weapons, and they just do not care at all the bloodshed and destruction going on in Ukraine.
[00:16:01.986 --> 00:16:02.846]  All over power.
[00:16:04.588 --> 00:16:06.849]  All over influence.
[00:16:08.611 --> 00:16:17.117]  And it's truly sick how evil the military-industrial complex and its representatives in the US media and the US government have become.
[00:16:19.458 --> 00:16:39.385]   And It's really an odd phenomenon that we're witnessing here that the anti-war American left that voted for Obama, and that was probably the reason why many centrists, libertarians,
[00:16:41.583 --> 00:16:46.344]  Voted for Obama was his anti-war stance and campaigning on ending the wars in the Middle East.
[00:16:46.384 --> 00:16:47.464]  Now, of course, he lied.
[00:16:47.504 --> 00:16:50.885]  He bombed more countries than Bush did.
[00:16:53.186 --> 00:17:08.695]   But aside from that, now those same anti-war liberals are pro-war, just blood dripping from their foaming mouths, Against Vladimir Putin, against Russia for this war in Ukraine.
[00:17:08.735 --> 00:17:09.756]  It's really sick.
[00:17:09.836 --> 00:17:11.138]  It's really disgusting.
[00:17:11.158 --> 00:17:18.586]  And I'm telling you, they're not really reporting how bad it actually is in Ukraine.
[00:17:18.647 --> 00:17:24.633]  They're not really showing you the destruction, the devastation, and the death numbers.
[00:17:27.236 --> 00:17:29.718]  Because they don't want it humanized.
[00:17:29.858 --> 00:17:45.649]  They just want you to, they just want to be able to click their heels, say, give Ukraine money, and then you put the Ukraine flag in your internet profile, or at your house, or place of business, just thinking you're doing the right thing.
[00:17:45.689 --> 00:17:46.929]  You're supporting Ukraine.
[00:17:47.330 --> 00:17:48.511]  You're doing a good thing.
[00:17:50.592 --> 00:17:56.216]  When really it's just a bunch of money laundering, war mongering, and regime change efforts.
[00:17:58.484 --> 00:18:02.125]  In a struggle that, quite frankly, we should not even be involved in.
[00:18:04.025 --> 00:18:06.126]  You can pick and choose what struggles you want to be involved in.
[00:18:06.146 --> 00:18:12.807]  You can pick and choose which struggles, which country's struggles you want to amplify and make the American people aware of.
[00:18:13.768 --> 00:18:19.329]  But, you see, they don't talk about what goes on in Yemen, do they?
[00:18:20.589 --> 00:18:23.070]  They don't talk about Syria that gets attacked.
[00:18:24.389 --> 00:18:29.832]  No, they want you focusing on Ukraine because that's where the big power struggle is going on.
[00:18:30.752 --> 00:18:42.718]  That's where the West has been influencing and rigging and meddling in elections and foreign affairs to a point of no return.
[00:18:44.339 --> 00:19:02.722]   And even doing deeper analysis into this, I wonder, and we don't really hear about this angle discussed much, but I wonder, How much of this invasion of Ukraine is directly Joe Biden's fault?
[00:19:05.664 --> 00:19:11.269]  Now is that because Russia knows that Joe Biden is just going to be laundering money and not actually going to fight a war?
[00:19:14.491 --> 00:19:23.178]  Why is it the last two times Russia has gone into Ukraine is when Joe Biden is in the White House?
[00:19:25.760 --> 00:19:48.457]   Now my Analytical response to this is that, well, Russia, we know, Putin's problem is he doesn't like NATO's expansion, he doesn't like NATO's aggression, and he doesn't like Western-backed coups in Ukraine going against the will of the people to be more aligned with Russia than the West.
[00:19:50.063 --> 00:19:55.547]  But why does he always invade and make moves when Joe Biden is in the White House?
[00:19:55.948 --> 00:19:58.870]  Is that because he knows Joe Biden is weak and is not going to do anything?
[00:20:00.371 --> 00:20:01.792]  Or is something else going on with that?
[00:20:03.574 --> 00:20:07.297]  But see, you never really hear that aspect of it, do you?
[00:20:09.438 --> 00:20:14.943]  No, because Joe Biden is the good guy and he's the strong man standing up to Putin.
[00:20:15.757 --> 00:20:16.157]  Really?
[00:20:16.777 --> 00:20:20.278]  Because every time Joe Biden's in the White House, Putin walks right into Ukraine with Russia!
[00:20:20.578 --> 00:20:20.859]  Ha ha!
[00:20:21.899 --> 00:20:23.579]  Bet that's Joe Biden, your tough guy.
[00:20:23.599 --> 00:20:24.720]  He's standing up, yeah.
[00:20:25.640 --> 00:20:34.503]  No, actually... No, actually... Ukrainians are suffering greatly because of Joe Biden and Zelensky.
[00:20:36.343 --> 00:20:41.705]  And there's been mixed numbers that come out of Ukraine and how many Russians have died and how many Ukrainians have died, but...
[00:20:43.373 --> 00:20:47.854]  I mean, high estimates are it's looking like about a quarter million people have died in the war so far, one year in.
[00:20:49.055 --> 00:20:50.155]  Probably mostly Ukrainians.
[00:20:52.776 --> 00:20:54.296]  But Joe Biden's the strong man.
[00:20:54.336 --> 00:20:55.356]  He's the good guy.
[00:20:56.276 --> 00:20:57.857]  He's standing up to Putin.
[00:20:59.037 --> 00:21:09.200]  Or is it that Putin realizes that Donald Trump had the same disposition, generally speaking, towards NATO as Putin did?
[00:21:11.348 --> 00:21:17.691]  And if you want to really get down to the brass tacks here, ladies and gentlemen, NATO needs to be shut down.
[00:21:19.412 --> 00:21:21.773]  There is no use for NATO anymore.
[00:21:22.294 --> 00:21:23.454]  And Donald Trump understood that.
[00:21:23.894 --> 00:21:35.720]  And he said, look, why is the United States spending all of this money on NATO and we get nothing in return?
[00:21:36.601 --> 00:21:36.981]  Nothing!
[00:21:39.301 --> 00:21:42.783]  And if you look at what's happened in the last year in Ukraine, ask yourself this.
[00:21:43.244 --> 00:21:45.305]  What has NATO done?
[00:21:45.585 --> 00:21:46.866]  What is NATO's purpose?
[00:21:48.767 --> 00:21:51.729]  Now, of course, Ukraine is not a NATO nation, so it shouldn't even matter.
[00:21:52.730 --> 00:21:54.091]  But that's what this whole struggle is over.
[00:21:55.919 --> 00:22:02.864]  So how much money has the United States spent into NATO in the last 10 years, and what have we got to show for it?
[00:22:03.304 --> 00:22:09.869]  A big fat nothing, except a bill for hundreds of millions, probably billions of dollars.
[00:22:12.031 --> 00:22:34.020]   And now, because of this obsession with NATO, and whatever Victoria Nuland and Hunter Biden were doing with 46 bioweapons labs in Ukraine, And so again, Putin didn't feel the need to counter NATO aggression.
[00:22:34.961 --> 00:22:44.629]  Putin didn't feel the need to counter Western aggression in Ukraine when Trump was president because Trump wanted to ratchet it down.
[00:22:45.149 --> 00:22:47.291]  Trump wanted to stop funding it.
[00:22:49.636 --> 00:22:51.817]  That's not Trump and Putin colluding.
[00:22:51.997 --> 00:22:56.640]  That's Donald Trump being an American president saying, why am I funding NATO?
[00:22:56.760 --> 00:22:58.681]  It does nothing for me.
[00:22:59.502 --> 00:23:11.569]  And all these NATO countries of ours, these allies that don't pay anywhere near the amount we pay, give us nothing in return.
[00:23:12.430 --> 00:23:12.790]  Nothing.
[00:23:14.491 --> 00:23:15.852]  Oh, what about strategic this?
[00:23:15.932 --> 00:23:17.073]  What about military that?
[00:23:18.814 --> 00:23:19.234]  For what?
[00:23:23.092 --> 00:23:26.153]  Do we really want a war with Russia over Ukraine?
[00:23:26.273 --> 00:23:36.976]  Do we really want the fate of the planet potentially to hinge on Vladimir Zelensky?
[00:23:36.996 --> 00:23:38.936]  A puppet?
[00:23:40.757 --> 00:23:45.278]  A leather daddy gimp outfit kink boy?
[00:23:45.298 --> 00:23:48.819]  $150 billion for Ukraine.
[00:23:48.879 --> 00:23:49.839]  What will be enough?
[00:23:50.973 --> 00:23:51.333]  Nothing!
[00:23:51.374 --> 00:23:59.262]  Zelensky wants more money and he wants the American blood and treasure to be spilled and lost in Ukraine.
[00:24:00.704 --> 00:24:01.605]  Truly disgusting.
[00:24:03.006 --> 00:24:05.990]  And I just feel bad for the people of Ukraine that are really going to suffer the most from this.
[00:24:08.493 --> 00:24:11.656]  And that's perhaps the biggest lie of this whole thing.
[00:24:12.813 --> 00:24:17.174]  That somehow supporting Zelensky and fighting a war against Russia is going to help the people of Ukraine.
[00:24:17.635 --> 00:24:23.376]  No, ladies and gentlemen, the country is going to be completely devastated and destroyed in many places.
[00:24:23.696 --> 00:24:29.358]  And probably half a million will die when this thing is said and done years from now.
[00:24:32.259 --> 00:24:58.917]   So I want to stop waxing here and start getting into the headlines and tying it into Does the situation, the latest developments with Ukraine, and the leaning potential towards World War III with China getting involved, is this why we're now hearing about the Wuhan lab leak for the origin of COVID-19?
[00:25:01.018 --> 00:25:03.039]  Well, why are they telling you it now?
[00:25:05.080 --> 00:25:08.341]  We'll be discussing that in the third hour with Dr. Andrew Huff.
[00:25:09.807 --> 00:25:23.752]  Before I move on and get to some of these headlines, ladies and gentlemen, Alex Jones' latest book, The Great Reset and The War for the World, has been a top seller.
[00:25:24.853 --> 00:25:29.875]  And we appreciate the audience for making it a top seller when it first came out.
[00:25:31.360 --> 00:25:34.843]  Alex is done signing these books.
[00:25:35.604 --> 00:25:43.190]  However, we do still have signed copies remaining at InfoWarsStore.com, but it's your last opportunity.
[00:25:45.083 --> 00:25:47.185]  Couple hundred of these left now.
[00:25:47.345 --> 00:25:50.207]  The Great Reset and The War for the World by Alex Jones.
[00:25:50.408 --> 00:25:51.469]  Hand signed.
[00:25:51.749 --> 00:25:53.450]  Couple hundred copies left and that's it.
[00:25:53.991 --> 00:25:55.172]  So limited edition here.
[00:25:56.093 --> 00:25:58.314]  Final copies are going out the door now.
[00:25:59.135 --> 00:26:00.777]  So take advantage of this before it's too late.
[00:26:00.837 --> 00:26:03.699]  I don't think Alex Jones wants to sign another book in his life.
[00:26:04.880 --> 00:26:07.863]  But he won't be signing another Great Reset and The War for the World.
[00:26:09.628 --> 00:26:13.790]  So get your signed copy right now at InfoWarsStore.com.
[00:26:14.270 --> 00:26:16.851]  And of course, all the great products there as well.
[00:26:17.111 --> 00:26:19.613]  I'm a product of the products at InfoWarsStore.com.
[00:26:20.773 --> 00:26:28.217]  And of course, I've, I drank, I basically chugged from a bottle of RainForce Ultra before going on air.
[00:26:28.797 --> 00:26:30.117]  It's true, I chugged from it.
[00:26:31.278 --> 00:26:34.860]  A little bit more than the recommended two droppers.
[00:26:35.160 --> 00:26:37.361]  I did a little bit of a chug, but that's okay.
[00:26:38.123 --> 00:26:39.344]  It's okay, I'm able to do that.
[00:26:39.764 --> 00:26:40.125]  Alright?
[00:26:41.946 --> 00:26:43.588]  Not recommending that, but hey, you know what?
[00:26:43.608 --> 00:26:44.689]  Maybe you like doing that too.
[00:26:45.709 --> 00:26:50.794]  But I don't go on air without BrainForce Plus and or BrainForce Ultra.
[00:26:51.314 --> 00:26:57.539]  BrainForce Ultra, the liquid tincture, BrainForce Plus in the capsule, whichever one works for you.
[00:26:58.680 --> 00:27:13.962]   But I gotta say, If you're a student listening to this or you're a parent of a student and you're hearing about you need drugs for your ADD or your ADHD or this or that, folks, don't go down that route.
[00:27:14.042 --> 00:27:15.883]  Don't go down the prescription drug route.
[00:27:17.385 --> 00:27:28.633]  I would say at least give Brain Force Ultra or Brain Force Plus a try before you go down that route because it's all natural, organic ingredients, not going to give you the jitters, not going to get you hooked.
[00:27:29.793 --> 00:27:40.181]  But is going to give you the mental energy, focus, clarity to study for a big exam, prepare for a big presentation, whatever the case may be.
[00:27:41.442 --> 00:27:42.503]  And that's basically what I do.
[00:27:42.543 --> 00:27:48.528]  I mean, you talk about a three hour radio show, or if you do two in a day, like I'm going to today, well, that's basically a six hour presentation.
[00:27:49.926 --> 00:27:52.567]  So yeah, Brain Force Ultra is my go-to.
[00:27:53.147 --> 00:27:57.109]  Exclusively available at InfoWarsTore.com and we are listener supported.
[00:27:57.929 --> 00:28:12.775]  And because of that, we're able to tell you the truth about the origins of COVID-19 and tell you the truth about the vaccines because we don't get big pharmaceutical billions so they can control our content.
[00:28:13.735 --> 00:28:14.836]  That's not how we roll here.
[00:28:19.739 --> 00:28:39.993]   I just when I look at the media landscape in the last 24 hours or really since Monday actually I would say I turn on CNN Monday night, they're reporting that COVID-19 came out of a Wuhan lab.
[00:28:40.473 --> 00:28:47.015]  I turn on MSNBC Monday night, they're reporting that COVID-19 came out of a Wuhan lab.
[00:28:47.736 --> 00:28:50.737]  Folks, we're talking three years.
[00:28:51.877 --> 00:28:58.219]  Three years after the story, now they're reporting on it, telling you it came out of a lab in China.
[00:28:58.700 --> 00:29:02.441]  Now, clearly, there's an agenda afoot.
[00:29:03.516 --> 00:29:29.321]  Clearly a message has gone out to all the mainstream news, and this is when you'll know you're getting hit with a massive propaganda campaign, is if this weekend, during their weekend news specials, you know, ABC, CBS, and all this other stuff, if they do all their weekend news specials on COVID-19 coming out of Wuhan, then you know there is a massive propaganda campaign afoot.
