[00:00:00.229 --> 00:00:01.190]  Ukraine's losing.
[00:02:10.573 --> 00:02:12.514]  So they'll get a pick jury in D.C.
[00:02:12.554 --> 00:02:16.055]  totally controlled, probably give $8 billion or something to Ray Epps.
[00:02:16.095 --> 00:02:21.158]  But Ray Epps to be criminally charged for events on January 6, his attorney says.
[00:02:23.220 --> 00:02:29.626]  Trump supporter, yeah right, Ray Epps sues Fox News after Tucker Carlson baselessly called him a Jan 6th instigator.
[00:02:31.147 --> 00:02:31.467]  Okay.
[00:02:33.449 --> 00:02:35.831]  And Wiley Coyote doesn't go after the Roadrunner.
[00:02:35.891 --> 00:02:37.113]  Okay.
[00:02:37.153 --> 00:02:40.856]  Trump supporter Ray Epps sues Fox News for defamation over January 6th falsehoods.
[00:02:42.658 --> 00:02:48.463]  But in the lawsuit they say he's been told that his criminal charging is imminent, but that's from his lawyers.
[00:02:48.523 --> 00:02:49.524]  I mean, who knows what's true.
[00:02:51.363 --> 00:02:57.147]  But Ray, Christopher Ray, the FBI director, got smashed yesterday repeatedly on this subject.
[00:02:57.207 --> 00:02:57.888]  That's coming up.
[00:02:59.709 --> 00:03:05.993]  So we have, what the F, California Assembly Democrats block bill to make child trafficking a crime.
[00:03:07.554 --> 00:03:08.675]  And then they laugh about it.
[00:03:08.855 --> 00:03:10.496]  I mean, it's just, these people are next level.
[00:03:10.516 --> 00:03:18.055]   And I've got a whole stack of news where California is becoming the pedophile Utopia.
[00:03:18.836 --> 00:03:25.119]  Then, of course, the biggest news here is the war effort is in shambles as hawks turn on each other at NATO's summit.
[00:03:25.780 --> 00:03:31.423]  They're now preparing to blame Zelensky for the failure of NATO to defeat Russia.
[00:03:32.484 --> 00:03:36.926]  And so the knives are out for Zelensky in a big, big way.
[00:03:37.086 --> 00:03:38.067]  Keystack on that.
[00:03:38.587 --> 00:03:43.029]  Big new developments on the central bank digital currencies and the entire control grid rolling out.
[00:03:44.230 --> 00:04:02.303]   We also have Some of the ties into all the pedo information, leftists everywhere in court rulings and in statements and in Disney programs, Disney movies, are saying murder of children is their religious sacrament under the First Amendment and they're right.
[00:04:03.564 --> 00:04:10.149]  Pure Evil, latest Disney production, cartoon about a girl who inherits a ritualistic killing, blood drinking cult from her father.
[00:04:13.325 --> 00:04:20.131]  Then, Satanic Temple Lawsuit Claiming Texas Law Violates Religious Freedom To Murder Children Dismissed By Federal Judge.
[00:04:20.251 --> 00:04:20.932]  Aw, too bad.
[00:04:21.912 --> 00:04:30.099]  And then this one, Hellish Democrat Freak Fantasizes About Being First Trainee To Implant Uterus And Abort Baby For Their Religious Sacrament.
[00:04:32.541 --> 00:04:35.944]  It's all coming up today!
[00:04:38.026 --> 00:04:39.588]  That's just four of the stacks.
[00:04:40.711 --> 00:04:45.516]  Then we've got more articles saying that if you're in shape, you are a white supremacist.
[00:04:46.777 --> 00:04:54.464]  EU Commissioner Thierry Britten warns social media companies that if they don't engage in total censorship, they'll be criminally charged.
[00:04:54.504 --> 00:04:57.888]  So that's the EU weighing in on our free speech.
[00:04:59.827 --> 00:05:00.548]  We got good news.
[00:05:00.608 --> 00:05:03.010]  Federal judge again backing other federal judges.
[00:05:03.971 --> 00:05:11.398]  Ruling that it's illegal what the Biden administration, really the Obama administration, has been doing on the surveillance and censorship going on.
[00:05:11.758 --> 00:05:12.959]  That's all the tip of the iceberg.
[00:05:13.019 --> 00:05:15.221]  Big news on the economy and more.
[00:05:15.842 --> 00:05:17.183]  So much today.
[00:05:17.663 --> 00:05:18.884]  InfoWars.com.
[00:05:19.265 --> 00:05:20.566]  Tomorrow's news today.
[00:05:20.966 --> 00:05:21.827]  Bandod Video.
[00:05:21.867 --> 00:05:22.788]  Please share those links.
[00:05:23.088 --> 00:05:23.789]  That's how we win.
[00:05:25.086 --> 00:05:33.848]  Thank you for joining us, my friends, on this live, teleprompter-free, Thursday, July 13th, worldwide broadcast.
[00:05:35.481 --> 00:05:36.562]  I'm your host, Alex Jones.
[00:05:36.582 --> 00:05:46.266]  Dr. Rima Labo, whose husband was the head of the army and the head of secret operations at another time, is really one of the top experts on the New World Order.
[00:05:46.327 --> 00:05:50.989]  She's got huge developments concerning the UN takeover of global health care and more.
[00:05:51.029 --> 00:05:55.611]  She joins us in an hour and a half from now for the balance of the broadcast.
[00:05:55.651 --> 00:05:57.812]  But we will again open the phones up today.
[00:05:58.373 --> 00:06:00.974]  We will again cover the waterfront of incredible breaking news.
[00:06:01.654 --> 00:06:04.836]  Well, the Russians are decisively winning in Ukraine.
[00:06:06.997 --> 00:06:12.379]  They are decisively crushing Zelensky.
[00:06:13.119 --> 00:06:17.701]  And so now NATO is preparing to trash and blame Zelensky for that.
[00:06:18.281 --> 00:06:19.662]  And that's what's currently happening.
[00:06:20.422 --> 00:06:22.283]  So we're going to be hitting that first.
[00:06:23.083 --> 00:06:25.004]  But let's go ahead and look at some clips here.
[00:06:25.024 --> 00:06:26.405]  Listen to some clips here.
[00:06:27.700 --> 00:06:28.521]  Of Biden.
[00:06:28.621 --> 00:06:30.782]  And folks, we have hours of these.
[00:06:30.882 --> 00:06:32.623]  We would fill the entire show with gaffes.
[00:06:33.163 --> 00:06:39.766]  We are not excising small cutlets out of his buffoonery and out of his public meltdown.
[00:06:40.867 --> 00:06:42.908]  We're just showing you a small sample.
[00:06:43.668 --> 00:06:50.772]  His entire speech in between the World War III warmongering was absolutely incoherent dribble.
[00:06:51.312 --> 00:06:52.833]  Which is humiliating for our republic.
[00:06:53.274 --> 00:06:59.398]  But here's Biden saying Russia could end this war tomorrow by ceasing its inhumane attacks on Russia.
[00:07:01.059 --> 00:07:04.361]  One country cannot be allowed to seize its neighbor's territory by force.
[00:07:05.382 --> 00:07:18.952]  Russia could end this war tomorrow by withdrawing its forces from Ukraine, wrecking its international borders, and ceasing its attacks on it, its inhumane attacks on Russia, I mean by Russia, on Ukraine.
[00:07:21.420 --> 00:07:22.141]  So, there you go.
[00:07:22.181 --> 00:07:32.311]  And the truth is, Ukraine is the birthplace of Russia, but it's where Russia for a thousand years has fought Muslims, and then fought Catholics.
[00:07:33.294 --> 00:07:49.399]  And I'm not an Orthodox, I'm not a Catholic, I love both sides, they're all Christians, they're good people, but it was the battleground in Hitler's Germany, and in World War II, and the West has exacerbated the splits between Western Ukraine and Eastern Ukraine.
[00:07:50.079 --> 00:07:53.500]  Eastern Ukraine is as Russia as New York City is American.
[00:07:55.381 --> 00:08:04.819]   So, the West started this whole thing, and there's the Freudian slip by Biden Saying that Russia needs to stop attacking Russia.
[00:08:04.979 --> 00:08:10.814]  Well, if the CHICOMS took over Texas, Louisiana, Mississippi, we'd be down there fighting them too.
[00:08:13.908 --> 00:08:21.594]  And of course the CHICOMS would try to claim, well there's an ethnic minority of Hispanics that say they're Mexican, not American, so we're here for them.
[00:08:21.894 --> 00:08:37.466]  That's basically what NATO's doing, is they're using that excuse of the Aryan Ukrainian minority, and it's a big minority, 30-40%, who do not see themselves as Slavic, they see themselves as German, and that's why Hitler annexed part of Ukraine in World War II.
[00:08:38.687 --> 00:08:42.570]  So that battle's been going on for at least 400 years in Ukraine between Europeans.
[00:08:43.547 --> 00:08:45.448]  Before that, it was with Muslims routinely invading.
[00:08:46.068 --> 00:08:56.671]  But if you think that's a ridiculous clip, here is Henry Kissinger getting a call from those famous Russian pranksters that get in.
[00:08:56.771 --> 00:09:02.073]  They've pranked Nancy Pelosi and they've pranked basically all the top people.
[00:09:03.354 --> 00:09:04.734]  You think of them, they've pranked them.
[00:09:05.274 --> 00:09:15.537]  They got through on the Skype or the Zoom of Henry Kissinger and posed as the dictator of Ukraine, Zelensky, here it is.
[00:09:15.436 --> 00:09:26.115]  of Nord Stream 2? How do you think?
[00:09:25.798 --> 00:09:29.798]  Who is behind, who is behind of explosion of Nord Stream 2?
[00:09:29.798 --> 00:09:38.157]  Who is guilty? How do you think?
[00:09:38.266 --> 00:09:40.188]  I frankly thought you were.
[00:09:41.529 --> 00:09:41.969]  Really?
[00:09:42.249 --> 00:09:43.150]  You think that we?
[00:09:43.970 --> 00:09:44.691]  No, no.
[00:09:46.132 --> 00:09:47.513]  But I didn't blame you.
[00:09:47.533 --> 00:09:54.798]  I love how there's David Rockefeller behind him.
[00:09:54.818 --> 00:09:56.819]  I would not say that as a criticist.
[00:09:56.899 --> 00:09:57.720]  It's so real.
[00:09:59.588 --> 00:10:00.689]  And Nelson Rockefeller.
[00:10:00.869 --> 00:10:02.329]  Hey, back that up, guys.
[00:10:02.830 --> 00:10:08.132]  Nelson Rockefeller's in the middle on the right-hand side and above that's a shot with David and some other people.
[00:10:08.712 --> 00:10:11.794]  So that's the patrons of him is the Rockefellers.
[00:10:12.294 --> 00:10:16.596]  There's New York Governor Nelson Rockefeller right there.
[00:10:16.636 --> 00:10:21.138]  The lady over on the side, that's Roosevelt's wife, the communist.
[00:10:22.838 --> 00:10:24.299]  Please get it off the screen before I throw up.
[00:10:28.334 --> 00:10:28.934]  See, I'm a weirdo.
[00:10:28.994 --> 00:10:30.816]  I'm into history, so I know who these people are.
[00:10:31.076 --> 00:10:32.456]  That's why I know what's going to happen next.
[00:10:32.897 --> 00:10:33.617]  I study all these people.
[00:10:33.977 --> 00:10:37.359]  Most people study football and all their favorite football players and basketball players.
[00:10:38.180 --> 00:10:41.162]  Sorry, I do not study the jock size of LeBron James.
[00:10:41.882 --> 00:10:45.664]  I study the enemies of freedom and what they're up to because I want to stop them.
[00:10:46.205 --> 00:10:47.665]  Nothing against the fact that people love sports.
[00:10:47.705 --> 00:10:51.668]  I'm just saying, I know the baseball cards of the bad guys, not the baseball cards that don't matter.
[00:10:53.240 --> 00:10:55.661]  So continuing, let's hear some more babble from Biden.
[00:10:55.480 --> 00:10:58.480]  Here's Biden versus a teleprompter.
[00:10:58.480 --> 00:11:09.290]   No, NATO will be the 32nd freestanding, have free, 32 freestanding members standing together to defend our
[00:11:09.290 --> 00:11:13.480]  people and our territory.
[00:11:13.480 --> 00:11:20.000]   Now here's Biden saying that, well, we hear Zelensky hadn't been too happy putting out these tweets that NATO's
[00:11:20.000 --> 00:11:21.480]  abandoned him and NATO's weak.
[00:11:21.480 --> 00:11:27.480]   And he wants full war, he wants NATO to, he's already fired missiles into Poland trying to get World War III going.
[00:11:28.197 --> 00:11:31.260]  He knows the Russians have said, we invaded because you plan to join NATO.
[00:11:31.461 --> 00:11:35.104]  They went, oh no, we're not joining NATO, and then of course they're trying to join NATO right now.
[00:11:36.385 --> 00:11:45.367]  And so, here's Biden saying, oh, Ukrainian President Zelensky seemed very satisfied with everything we're doing when we left.
[00:11:45.387 --> 00:11:45.747]  Here it is.
[00:11:46.547 --> 00:11:49.428]  We already have the equivalent of attackers now.
[00:11:49.448 --> 00:11:52.308]  What we need most of all is artillery shells.
[00:11:53.329 --> 00:11:57.090]  And we're in short supply, we're working on that.
[00:11:57.330 --> 00:12:03.251]  So he seemed very satisfied with everything we're doing.
[00:12:04.420 --> 00:12:07.341]  Okay, so let's boil down why this is happening.
[00:12:08.062 --> 00:12:26.310]  The Russians, from the beginning, said they just want 25% of Ukraine that has rivers and some hills, that give them some defense against NATO, and that they want their industrial base that is in the east of Ukraine that the Russians built after it was all destroyed at the end of World War II.
[00:12:26.870 --> 00:12:32.053]  And they want the Black Sea Fleet base they have in Crimea.
[00:12:33.038 --> 00:12:34.419]  And so that's been their plan from the beginning.
[00:12:34.459 --> 00:12:42.203]  Putin said five years ago, if you keep building up troops, if you keep attacking Russian-controlled areas, we're going to launch a military operation to clean them out.
[00:12:43.604 --> 00:12:44.264]  They didn't stop.
[00:12:44.324 --> 00:12:44.964]  Putin went in.
[00:12:45.965 --> 00:12:47.566]  It endangers World War III.
[00:12:48.126 --> 00:12:49.447]  The rest is history.
[00:12:49.587 --> 00:12:50.747]  It's very, very serious.
[00:12:51.308 --> 00:12:53.189]  But the Russians have secured that area.
[00:12:53.609 --> 00:12:55.630]  The counteroffensive has been completely destroyed.
[00:12:56.210 --> 00:13:01.013]  And so now NATO wants to make a deal with Putin and wind this down.
[00:13:02.190 --> 00:13:15.651]  Or they want Zelensky to just continue to put Ukrainians into a meat grinder forever and build a bunch of permanent munitions factories in Poland to then militarize that entire area and continue to launder money.
[00:13:17.338 --> 00:13:18.679]  And Zelensky's playing right along with it.
[00:13:18.719 --> 00:13:21.621]  He will not allow some of the groups that want to end this to do that.
[00:13:21.641 --> 00:13:31.088]  So he's playing right into the idea of just basically sacrificing hundreds of thousands, more conservatively, Ukrainians to die, including Russians.
[00:13:31.149 --> 00:13:32.369]  So it's absolutely evil.
[00:13:32.730 --> 00:13:35.212]  Started by Soros, started by the State Department, started by the West.
[00:13:35.712 --> 00:13:36.372]  Needs to stop.
[00:13:39.375 --> 00:13:46.100]  And these guys are really right now eyeing where they want to go with this.
[00:13:48.061 --> 00:13:51.122]  Is NATO going to escalate with Russia and further threaten nuclear war?
[00:13:53.082 --> 00:14:02.164]  Or is NATO going to make Zelensky sue for peace, and then Russia gets 25% of Ukraine, and this whole thing stops?
[00:14:03.585 --> 00:14:05.445]  And that's basically where the world is right now.
[00:14:07.466 --> 00:14:13.287]  Putin is being... Putin is being empowered by this, not weakened.
[00:14:14.628 --> 00:14:19.767]   The bizarre Purjojan The coup did not work per Gojjan.
[00:14:22.049 --> 00:14:28.014]  You see Europe in fire with the Islamic uprising and those uprisings spreading.
[00:14:29.315 --> 00:14:31.337]  And so right now the globalists know they're losing.
[00:14:31.938 --> 00:14:33.699]  Russia and BRICS is becoming stronger.
[00:14:34.500 --> 00:14:37.223]  Russia is making record amounts of money through oil export.
[00:14:37.943 --> 00:14:40.365]  The West is getting weaker and weaker.
[00:14:41.286 --> 00:14:43.688]  It's hurting the dollars hegemony.
[00:14:44.804 --> 00:14:48.528]  So this is a very, very important moment where the world is right now.
[00:14:49.529 --> 00:15:03.384]  And again, we have the neocons, we have the warmongers, we have the crazies that can't see the writing on the wall that Russia is fundamentally winning this and will win this and has not been baited into a wider war so far.
[00:15:04.104 --> 00:15:10.442]   And that if you don't then send in regular NATO troops, Ukraine is already lost.
[00:15:10.742 --> 00:15:24.335]  But even if you send in NATO troops, then Russia goes to full mobilization and that invariably leads to tactical and then regional and then worldwide commitment into nuclear war.
[00:15:25.536 --> 00:15:26.697]  So let's look at some of these headlines.
[00:15:26.717 --> 00:15:31.802]  War effort in shambles as hawks turn on each other at NATO summit.
[00:15:33.294 --> 00:15:37.937]  The war in Ukraine shifts decisively in Russia's favor.
[00:15:38.878 --> 00:15:41.300]  Viktor Orban helps prevent World War III.
[00:15:42.000 --> 00:15:44.622]  We should bring peace instead of weapons to Ukraine.
[00:15:45.022 --> 00:15:45.963]  And look at the photo.
[00:15:46.463 --> 00:15:47.624]  And I've watched the actual video.
[00:15:47.884 --> 00:15:49.145]  This is not taken out of context.
[00:15:49.806 --> 00:15:51.827]  Here is Zelensky in his little costume.
[00:15:52.327 --> 00:15:54.029]  He wasn't told this wasn't a costume party.
[00:15:55.430 --> 00:16:01.454]  And they just ignored him up in the big photo shoot they did for five minutes, where they all get together in their own little cliques.
[00:16:02.944 --> 00:16:06.486]  And this sends a message of who's with who, and who's in what globalist clique.
[00:16:06.506 --> 00:16:11.448]  It's all the same cult, but, you know, different arms of it, different tentacles of it.
[00:16:12.929 --> 00:16:18.532]  And they all want him to know he's the uncool kid, you know, over at the table by himself.
[00:16:21.333 --> 00:16:34.167]   And this is because he talked out of hand, he tried to blame NATO for the loss, and they're like, no, no, no, no, Zelensky, you are the Gay pornographic actor that we have blackmailed.
[00:16:34.607 --> 00:16:36.868]  You're the guy we're gonna burn when you fail.
[00:16:37.309 --> 00:16:38.709]  You're the guy we're gonna set up.
[00:16:38.729 --> 00:16:42.931]  It's like Saddam Hussein was used to attack Iran and a hero in the U.S.
[00:16:42.971 --> 00:16:43.932]  media for seven years.
[00:16:44.452 --> 00:16:45.373]  Look how it ended for him.
[00:16:46.753 --> 00:16:47.954]  After he served his usefulness.
[00:16:49.560 --> 00:16:57.702]  So, he's a total puppet, a total actor, being set up, now being shown, hey little man, you don't actually run anything.
[00:16:58.222 --> 00:17:02.303]  You are just a miserable little puppet.
[00:17:04.103 --> 00:17:04.283]  U.S.
[00:17:04.303 --> 00:17:06.444]  delegation furious over Zelensky's tweet.
[00:17:08.124 --> 00:17:08.384]  U.K.
[00:17:08.404 --> 00:17:10.285]  defense minister says what everyone is thinking.
[00:17:10.605 --> 00:17:13.285]  We are not an Amazon delivery service for weapons to Ukraine.
[00:17:13.786 --> 00:17:18.639]   Notice how British intelligence Has been involved more than anybody except the U.S.
[00:17:18.679 --> 00:17:37.106]  State Department and the CIA, stirring this up, overthrowing elected governments, launching this war, encouraging the most high-tech weapons to go, and now that all this failed and the Russians have won decisive victories and destroyed roughly half of all the new equipment in just a few weeks, sent to the front line.
[00:17:38.715 --> 00:18:07.787]   Now the British government turns on their moron puppet in his little military dictator outfit, his little Fidel Castro outfit, his little Kim Jong-un outfit, his little Kim Jong-il outfit, his little Stalin outfit, his little Hitler outfit, and Now the British government that helped quarterback and blueprint and run the whole thing, basically commanded it, now they say, who do you think you are demanding weapons from us?
[00:18:07.867 --> 00:18:10.669]  We just run your intel operation and tell you what to do.
[00:18:11.690 --> 00:18:14.432]  And now they're getting him positioned to fall.
[00:18:15.848 --> 00:18:18.150]  They've made their hundreds and hundreds of millions of weapons.
[00:18:18.190 --> 00:18:19.471]  They've smuggled out the kids.
[00:18:20.092 --> 00:18:22.413]  They've harvested the organs.
[00:18:22.474 --> 00:18:24.615]  They've killed hundreds of thousands of Russians.
[00:18:25.116 --> 00:18:26.617]  They've destabilized the planet.
[00:18:26.857 --> 00:18:30.901]  They've shifted out of the COVID narrative power grab into this new COVID power grab.
[00:18:31.161 --> 00:18:36.765]  Now it's the confrontation with China is the next phase and power outages are domestically and race war and civil war.
[00:18:36.986 --> 00:18:39.067]  Now don't worry, they got new crises ready.
[00:18:39.388 --> 00:18:46.112]   But since the Russians are winning, They're gonna end this current thing and move on to the next current thing.
[00:18:46.352 --> 00:18:47.634]  At least they're thinking about it.
[00:18:47.874 --> 00:18:58.745]  And they want Zelensky to know, if we decide to roll over to Putin, you better do everything we tell you or you're gonna end up dying in a helicopter accident.
[00:18:59.265 --> 00:19:01.327]  Or you're gonna die of a heart attack, buddy boy.
[00:19:02.148 --> 00:19:04.050]  It'll come out you died of cocaine overdose.
[00:19:04.510 --> 00:19:05.631]  Because you're not a real leader.
[00:19:05.991 --> 00:19:07.192]  You are a dictator.
[00:19:07.232 --> 00:19:09.213]  You've arrested your entire political opposition.
[00:19:09.494 --> 00:19:11.475]  You work with Nazi Azov battalions.
[00:19:11.915 --> 00:19:16.218]  You've banned all the major political opposition and arrested the heads of the Orthodox Church.
[00:19:16.619 --> 00:19:17.940]  No one's going along with you.
[00:19:18.300 --> 00:19:27.227]  Opposition's forming to this agenda worldwide and we're getting ready to blame you for everything we trained you as a sex operative of the CIA to do.
[00:19:27.887 --> 00:19:36.013]  Because that's what Zelensky did was go into hotel rooms with Western diplomats and other diplomats and have sex with men to set them up.
[00:19:36.233 --> 00:19:38.254]  My intel has come in on.
[00:19:38.895 --> 00:19:40.596]  He doesn't just play the piano with his penis.
[00:19:40.956 --> 00:19:44.358]  He doesn't just wear high heels and leather outfits and grab men's butts on TV.
[00:19:44.819 --> 00:19:47.541]  He's just like Arnold Schwarzenegger and all the rest of their puppets.
[00:19:47.821 --> 00:19:49.862]  He's a homosexual sex operative.
[00:19:53.805 --> 00:19:54.826]  Just like Macron.
[00:19:55.146 --> 00:19:56.247]  Just like half these guys.
[00:19:58.473 --> 00:20:02.796]  It's all Jeffrey Epstein crap over and over and over.
[00:20:02.956 --> 00:20:07.359]  And he started believing in his Napoleon complex that he was really God.
[00:20:09.561 --> 00:20:12.383]  See, they're the ones peeing on each other in hotel rooms, not Trump.
[00:20:14.925 --> 00:20:15.986]  Trump's playing golf.
[00:20:18.988 --> 00:20:20.509]  I'm hiking up mountains.
[00:20:23.351 --> 00:20:24.171]  Never get sick of it.
[00:20:24.271 --> 00:20:26.293]  You guys are doing something completely different.
[00:20:28.157 --> 00:20:30.799]  So UK Defense Minister says what everybody is thinking.
[00:20:31.180 --> 00:20:35.083]  We are not an Amazon delivery service for weapons to Ukraine.
[00:20:38.206 --> 00:20:38.987]  But here's Zelensky.
[00:20:38.946 --> 00:20:41.746]  after the war, Ukraine will be in NATO.
[00:20:41.746 --> 00:20:52.426]   Bubbling Joe Biden embarrasses US on world stage once again with incoherent NATO speech.
[00:20:52.426 --> 00:20:53.625]  (thud)
[00:20:53.800 --> 00:20:55.141]  Gotta love Henry Kissinger.
[00:20:56.882 --> 00:20:58.582]  He thinks he's actually talking to Zelensky.
[00:20:58.843 --> 00:21:02.004]  Those guys are perfect doing American accents, English accents.
[00:21:02.544 --> 00:21:03.904]  It sounds just like Zelensky.
[00:21:03.904 --> 00:21:06.624]  "What are you saying to me, hmm?
[00:21:06.624 --> 00:21:09.904]  You are the one who did the bombing of the Nord Stream!"
[00:21:09.904 --> 00:21:12.223]  And obviously Kissinger knows it was the West for him.
[00:21:12.088 --> 00:21:20.088]  the US Navy. Kissinger's like, "Why? I mean it's just you.
[00:21:20.088 --> 00:21:26.088]   You do for you. But I did not blame you. Why you be so mean to me?"
[00:21:26.088 --> 00:21:34.427]  Can we get the Emperor Skeksis death scene please ready?
[00:21:34.427 --> 00:21:38.088]   Because I gotta tell you, if you put a Skeksis head on Kissinger or his wife,
[00:21:38.088 --> 00:21:41.088]  You would have an actual sketchy.
[00:21:41.930 --> 00:21:43.331]  Let's roll the pranksters.
[00:21:43.791 --> 00:21:46.191]  This is, I think, their most epic prank yet.
[00:21:46.511 --> 00:21:48.372]  Let's go ahead and roll, Kish, as you're getting pranked.
[00:21:49.331 --> 00:22:01.331]  Nord Stream 2. How do you think?
[00:21:59.433 --> 00:22:03.433]  Who is behind, who is behind of explosion of Nord Stream 2?
[00:22:03.433 --> 00:22:11.792]  Who is guilty, how do you think?
[00:22:11.921 --> 00:22:13.822]  I frankly thought you were.
[00:22:15.183 --> 00:22:15.604]  Really?
[00:22:15.884 --> 00:22:16.784]  You think that we?
[00:22:17.605 --> 00:22:18.285]  No, no.
[00:22:19.766 --> 00:22:21.147]  But I didn't blame you.
[00:22:21.167 --> 00:22:30.413]  I would not say that as a criticist.
[00:22:30.252 --> 00:22:32.752]  It's so real.
[00:22:32.752 --> 00:22:37.131]  Wow, that is so amazing.
[00:22:37.131 --> 00:22:39.413]  Absolutely amazing.
[00:22:39.383 --> 00:22:41.564]  You know, let's watch the sketchy scene right now.
[00:22:41.604 --> 00:22:42.284]  This is too good.
[00:22:43.205 --> 00:22:55.910]  This is emblematic of Biden and Obama and the whole New World Order and the CIA and the Anglo-American establishment and the whole Hollywood, pedo, globalist cult that's sucking out our innocence, destroying our souls.
[00:22:56.471 --> 00:22:57.311]  This is really who they are.
[00:22:57.411 --> 00:23:00.232]  This is their system collapsing in front of us right now.
[00:23:00.111 --> 00:23:23.191]   start the clipover please I hate your whimper!
[00:23:23.191 --> 00:23:32.190]  I hate your whimper!
[00:23:31.996 --> 00:23:32.836]  Inside the U.S.
[00:23:32.876 --> 00:23:33.136]  Senate?
[00:23:33.216 --> 00:23:35.216]  Literally?
[00:23:35.216 --> 00:23:37.216]  (Growling)
[00:23:37.216 --> 00:23:41.216]  (Growling)
[00:23:41.216 --> 00:23:43.216]  (Growling)
[00:23:43.216 --> 00:23:45.216]  (Growling)
[00:23:45.216 --> 00:23:47.216]  (Growling)
[00:23:47.216 --> 00:23:49.216]  (Growling)
[00:23:49.216 --> 00:23:51.216]  (Growling)
[00:23:51.216 --> 00:23:53.216]  (Growling)
[00:23:53.216 --> 00:23:55.216]  (Growling)
[00:23:55.216 --> 00:23:57.216]  (Growling)
[00:23:57.216 --> 00:23:59.216]  She's not ready yet, my lord Timberland.
[00:23:59.216 --> 00:24:01.216]  She's not ready yet, my lord Timberland.
[00:24:01.216 --> 00:24:03.216]  She's not ready yet, my lord Timberland.
[00:24:03.216 --> 00:24:05.216]  (Growling)
[00:24:05.216 --> 00:24:09.216]   Fear Power
[00:24:09.664 --> 00:24:10.484]  Fear!
[00:24:11.424 --> 00:24:12.505]  Power!
[00:24:13.685 --> 00:24:16.925]  My death!
[00:24:18.566 --> 00:24:20.286]  My youth!
[00:24:21.185 --> 00:24:24.185]  I... must...
[00:24:24.185 --> 00:24:31.185]  I... I... I... I... I...
[00:24:31.185 --> 00:24:35.185]  I... start... in power...
[00:24:35.376 --> 00:24:44.376]  [chomping]
[00:24:44.376 --> 00:24:46.376]  That looks like a hundred bites.
[00:24:46.376 --> 00:24:48.376]  [chomping]
[00:24:48.376 --> 00:24:51.376]  [music]
[00:24:51.376 --> 00:24:53.376]  Mmmmm.
[00:24:53.376 --> 00:24:56.376]  [chomping]
[00:24:56.376 --> 00:25:14.376]  [music]
[00:25:14.376 --> 00:25:20.376]   I've had enough fun, but it's actually not fun because these people are collapsing on top of us.
[00:25:20.398 --> 00:25:23.180]  So I've covered what's going on with the war.
[00:25:23.340 --> 00:25:23.940]  It's huge.
[00:25:25.901 --> 00:25:27.442]  I'm not a Russophobe.
[00:25:27.502 --> 00:25:28.663]  I'm not a Russophile.
[00:25:29.203 --> 00:25:30.984]  I have studied the history of it quite a bit.
[00:25:31.024 --> 00:25:32.265]  It's very fascinating.
[00:25:33.345 --> 00:25:34.586]  The West did start this.
[00:25:36.431 --> 00:25:42.942]  The West has basically been funding the communist system the whole time, and as you can see is setting it up now here.
