[00:00:00.000 --> 00:00:02.960]  [BEEPING]
[00:02:18.992 --> 00:02:23.992]   Definitely, it is recommended that, or would like to be recommended that everybody get it.
[00:02:23.992 --> 00:02:28.992]   Joe Biden literally saying, "Y'all need to come, they need to come up with a new vaccine."
[00:02:29.342 --> 00:02:32.844]  And they need to come up with a way that people have to take it no matter what.
[00:02:33.244 --> 00:02:35.825]  I'm willing to die about my freedom.
[00:02:36.125 --> 00:02:38.706]  I'm willing to die about my medical independence.
[00:02:38.906 --> 00:02:41.968]  So all I got to say to you in that video, try this.
[00:02:42.748 --> 00:02:43.929]  Go around and find out.
[00:02:44.069 --> 00:02:48.312]  The FDA and CDC, they've made an announcement on the new vaccine.
[00:02:48.712 --> 00:02:54.897]  So certainly, they said that they will have an updated vaccine in mid-September.
[00:02:54.917 --> 00:02:56.618]  There never was a COVID pandemic.
[00:02:56.658 --> 00:02:59.260]  There never was a SARS-CoV-2 novel virus.
[00:02:59.300 --> 00:03:00.560]  There was never any of those things.
[00:03:00.601 --> 00:03:09.947]  This was a behavior modification exercise to fulfill the objective of the financial interests that were being served.
[00:03:10.067 --> 00:03:24.549]   And let's remember, That the quote, until a pandemic is at emergency threshold, the public doesn't understand the need for medical countermeasures such as a pan-coronavirus or pan-influenced vaccine.
[00:03:25.230 --> 00:03:27.432]  We need the media to create the hype.
[00:03:28.092 --> 00:03:31.334]  We need to use that hype to our advantage to get to the real issues.
[00:03:31.554 --> 00:03:34.956]  Investors will follow if they see profit at the end of the process.
[00:03:35.256 --> 00:03:36.597]  That's a quote from Peter Daszak.
[00:03:36.637 --> 00:03:41.560]  That's a quote that was made at the Proceedings of the National Academy of Sciences, published in 2015.
[00:03:41.760 --> 00:03:45.503]  This is the admission of terrorism again.
[00:03:45.523 --> 00:03:47.304]  Now what did I say they were told?
[00:03:48.103 --> 00:03:50.464]  The beginning of the announcements begin September 15th.
[00:03:51.105 --> 00:03:58.169]  This was just the warming up and getting ready that just so happened to begin right after I announced it literally six hours later.
[00:03:58.610 --> 00:03:58.950]  Everywhere.
[00:03:59.130 --> 00:04:05.434]  They just opened up on the public, every controlled corporate outlet, and then the institutions to create the fear.
[00:04:05.974 --> 00:04:08.236]  You can stop all flights.
[00:04:08.916 --> 00:04:11.638]  You can lock down entire countries.
[00:04:12.058 --> 00:04:13.759]  You can actually do that.
[00:04:14.300 --> 00:04:24.167]  And this, I would say, may make us more open to radical ideas about how to deal also with climate change.
[00:04:24.567 --> 00:04:26.908]  This has nothing to do with public health.
[00:04:27.409 --> 00:04:29.890]  It has nothing to do with breaking any waves.
[00:04:30.311 --> 00:04:32.352]  It was always about breaking people.
[00:04:32.832 --> 00:04:34.293]  There's a path of resistance.
[00:04:35.290 --> 00:04:37.371]  Or there is the path of total enslavement.
[00:04:39.093 --> 00:04:39.613]  Come on!
[00:04:40.293 --> 00:04:42.775]  Your ancestors were stronger than this.
[00:04:43.696 --> 00:04:44.656]  You're stronger than this.
[00:04:45.577 --> 00:04:48.739]  You can focus on the New World Order and its activities.
[00:04:49.520 --> 00:04:54.643]  And you can ask God to lead, guide, and direct you with discernment.
[00:04:55.684 --> 00:04:59.043]  And you do that, we're unstoppable together.
[00:04:59.043 --> 00:05:02.403]  [MUSIC PLAYING]
[00:05:02.403 --> 00:05:04.404]  [MUSIC]
[00:05:04.404 --> 00:05:06.404]  It's just a mask.
[00:05:06.063 --> 00:05:07.144]  It's just six feet.
[00:05:07.885 --> 00:05:09.746]  It's just non-essential businesses.
[00:05:10.447 --> 00:05:12.148]  It's just non-essential workers.
[00:05:12.869 --> 00:05:14.710]  It's just until we work it out.
[00:05:15.411 --> 00:05:16.311]  It's just a bar.
[00:05:16.932 --> 00:05:18.173]  It's just a restaurant.
[00:05:19.114 --> 00:05:20.294]  It's just nursing homes.
[00:05:20.995 --> 00:05:22.116]  It's just schools.
[00:05:22.877 --> 00:05:25.499]  It's just to keep from overwhelming medical services.
[00:05:26.179 --> 00:05:27.941]  It's just until the cases go down.
[00:05:28.721 --> 00:05:30.342]  It's just to flatten the curve.
[00:05:30.982 --> 00:05:33.102]  It's just to keep others feeling safe.
[00:05:33.803 --> 00:05:35.463]  It's just for a few more weeks.
[00:05:36.263 --> 00:05:40.285]  It's just gyms, salons, spas, and sporting events.
[00:05:40.845 --> 00:05:42.525]  It's just churches and mosques.
[00:05:43.306 --> 00:05:44.306]  It's just singing.
[00:05:44.986 --> 00:05:46.967]  It's just travel.
[00:05:47.687 --> 00:05:49.428]  It's just until we get a vaccine.
[00:05:50.148 --> 00:05:51.428]  It's just for the greater good.
[00:05:52.108 --> 00:05:53.489]  It's just fact-checking.
[00:05:54.349 --> 00:05:55.410]  Not censorship.
[00:05:56.010 --> 00:05:57.431]  It's just mandatory.
[00:05:57.951 --> 00:05:59.212]  It isn't just at all.
[00:05:59.832 --> 00:06:03.174]  Visit DefendJones.com to help fight back today.
[00:06:03.194 --> 00:06:17.263]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:06:17.283 --> 00:06:18.624]  Thomas Jefferson.
[00:06:20.203 --> 00:06:24.206]  If you are receiving this transmission, you are the resistance.
[00:06:28.009 --> 00:06:35.335]  On March 6th, 2001, Alex Jones first predicted the September 11th attack on the World Trade Center.
[00:06:35.536 --> 00:06:45.804]  You've got an element of the FBI and these war game scenarios where they can remote control a 747 and they're going to crash it into the World Trade Center.
[00:06:46.602 --> 00:06:52.704]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:06:52.724 --> 00:06:59.205]  Visit InfoWars.com forward slash show and share the link today.
[00:07:01.966 --> 00:07:05.587]  It is 11, 12 Central Standard Time.
[00:07:05.727 --> 00:07:08.728]  We are coming to you from the Austin, Texas studios of InfoWars.
[00:07:09.248 --> 00:07:10.188]  It is Saturday.
[00:07:11.474 --> 00:07:13.175]  September 2nd, 2023.
[00:07:14.015 --> 00:07:21.459]  And for the next 45 minutes, General Flynn, one of the leading minds in the fight against the globalists, is joining us.
[00:07:21.539 --> 00:07:34.206]  And then Joe Biggs is scheduled, if he can get through from prison, true political prisoner, to be joining us as well after he was sentenced to 17 years in prison two days ago for committing absolutely no crime.
[00:07:35.387 --> 00:07:37.868]  And then I will continue on after he leaves, getting into the ADL.
[00:07:38.914 --> 00:07:44.902]  And the censorship combine and how they play a key role as a multinational intelligence agency against the American people.
[00:07:44.922 --> 00:07:45.883]  I have a large stack.
[00:07:45.903 --> 00:07:47.605]  They directly are working for the UN.
[00:07:48.086 --> 00:07:48.947]  We'll be laying that out.
[00:07:49.067 --> 00:07:49.228]  But...
[00:07:50.506 --> 00:07:54.348]  General Flynn's a busy guy, he's a hard guy to get on, but I begged him a few days ago.
[00:07:54.408 --> 00:07:57.150]  I said, I really think they're going to pull a false flag of some type.
[00:07:57.290 --> 00:07:59.191]  I see them pre-programming it in the news.
[00:08:00.071 --> 00:08:10.617]  I really need your expertise as the former head of the Defense Intelligence Agency and Trump's chief national security advisor, because you really have over-the-horizon understanding, unlike probably anybody else out there that's on our team.
[00:08:10.937 --> 00:08:12.558]  The enemy knows what's going on because they're planning it.
[00:08:13.078 --> 00:08:17.801]  Please come on and give us your views on that, on the lay of the land politically.
[00:08:17.961 --> 00:08:19.022]  There is a big awakening.
[00:08:19.082 --> 00:08:21.664]  People are figuring out this is a permanent coup happening.
[00:08:22.444 --> 00:08:24.586]  Our enemies are in deep trouble at every level.
[00:08:24.906 --> 00:08:34.392]  The indictments have backfired that they launched against Trump, but I don't think we should be too confident and we should talk about tomorrow's news today so we can get ahead of it.
[00:08:34.592 --> 00:08:36.914]  And a sterling example of this is 15 days ago.
[00:08:37.734 --> 00:08:44.819]  I went on air and told you that I talked to a high-level TSA manager who said they were told on the 15th they would start rolling everything out of September.
[00:08:45.540 --> 00:08:48.362]  A week later, they began to roll it out just like we basically said.
[00:08:49.283 --> 00:08:51.604]  Here is the New York Times.
[00:08:51.905 --> 00:08:55.788]  New Yorkers told to mask up for Labor Day as new COVID variants sparks fears.
[00:08:56.408 --> 00:08:59.469]  They're going to have drones watching people in New York with the borders wide open.
[00:09:00.089 --> 00:09:03.770]  All these universities and high schools have been saying, you've got to have shots to go there.
[00:09:03.830 --> 00:09:05.150]  They've been closing for a week.
[00:09:05.710 --> 00:09:07.110]  They're trying to bring the masking back.
[00:09:07.170 --> 00:09:09.091]  So we got ahead of that, though.
[00:09:09.111 --> 00:09:14.572]  So there's massive political opposition by senators and governors and so many people.
[00:09:14.992 --> 00:09:16.873]  We're not going to just accept their incremental rollout.
[00:09:16.893 --> 00:09:24.177]   So just like we got ahead of that, We need to get ahead and do our best thinking on, if you're a globalist, what are you going to do?
[00:09:24.197 --> 00:09:25.518]  You've got to get in their mind.
[00:09:26.299 --> 00:09:30.222]  And General Flynn is the expert to be able to give us that information.
[00:09:30.242 --> 00:09:32.044]  I appreciate him coming on on short notice.
[00:09:32.084 --> 00:09:35.086]  I'm going to try as much as I can to give him the floor.
[00:09:35.146 --> 00:09:37.508]  I said, I'm going to get your briefing, sir, what you think to the people.
[00:09:37.528 --> 00:09:39.530]  He said, well, I'd like to hear yours as well.
[00:09:40.390 --> 00:09:45.595]  So after he's done talking for a while, I'll kind of give a brief synopsis of what I think their next moves will probably be.
[00:09:46.255 --> 00:09:47.496]  Again, because I see the pre-programming.
[00:09:47.796 --> 00:09:49.157]  GeneralFlynn.com.
[00:09:49.777 --> 00:09:51.999]  He has an amazing new book, How to Fight AI.
[00:09:52.039 --> 00:09:53.480]  Find it all at GeneralFlynn.com.
[00:09:53.860 --> 00:09:57.642]  He also has shared this on Twitter and a bunch of other publications.
[00:09:57.702 --> 00:10:00.564]  So everybody else watching, you can force multiply this.
[00:10:01.085 --> 00:10:04.527]  Show that not just a say a half million people are tuned in right now, conservatively.
[00:10:04.967 --> 00:10:07.330]  And then this will be posted later as an archived video.
[00:10:07.370 --> 00:10:08.412]  A million or so will watch it.
[00:10:08.852 --> 00:10:10.474]  I'll air it on the main show next week.
[00:10:10.494 --> 00:10:11.596]  Three or four million will see it.
[00:10:12.036 --> 00:10:20.867]  But when listeners get excited, like you did two weeks ago on the TSA Lockdown 2.0 story, we take full control of the narrative.
[00:10:21.628 --> 00:10:30.493]  And the enemy can't have that because now they're having to counter us instead of incrementally rolling out their brainwashing and weaponized mind control.
[00:10:30.953 --> 00:10:35.956]  So General Flynn, thank you for being gracious enough to spend some of your limited time with us.
[00:10:36.176 --> 00:10:38.097]  I see how busy you are and the prolific work you're doing.
[00:10:38.357 --> 00:10:41.939]  So for myself and my family and the crew and the listeners and viewers, thank you, sir.
[00:10:42.459 --> 00:10:43.960]  And God bless you for being here.
[00:10:45.621 --> 00:10:47.041]  Alex, thanks so much for having me.
[00:10:47.222 --> 00:10:48.822]  And this is a really important day.
[00:10:50.518 --> 00:10:55.442]  I love the way that you you come on these on these weekend shows, particularly.
[00:10:55.462 --> 00:11:01.986]  And I know you run these during the course of the week, but these weekend shows are really important because it gives people that don't that are working their tails off.
[00:11:02.146 --> 00:11:10.792]  They don't have that kind of time to be able to listen to the to the depth that they that they should be an ability to be able to hear some things on on the show.
[00:11:10.852 --> 00:11:12.634]  So this is super important.
[00:11:12.754 --> 00:11:14.835]  And let me just lay out a few things.
[00:11:14.855 --> 00:11:18.998]  And number one, I'm going to just state the obvious enemies that we have.
[00:11:19.038 --> 00:11:24.595]   And I'm going to go Those that are not so obvious, but we've been talking about it.
[00:11:24.615 --> 00:11:25.656]  I've certainly been talking about it.
[00:11:25.696 --> 00:11:28.220]  You've been talking about it for, geez, maybe a decade.
[00:11:28.280 --> 00:11:31.665]  I certainly have been talking about it for the last few years, four or five years.
[00:11:32.366 --> 00:11:35.511]  But the obvious ones are, and I'll start right off the top with China.
[00:11:36.135 --> 00:11:36.435]  Right.
[00:11:37.036 --> 00:11:37.436]  China.
[00:11:37.516 --> 00:11:41.920]  China has infiltrated into every single institution in the United States of America.
[00:11:42.541 --> 00:11:43.602]  Government, U.S.
[00:11:43.642 --> 00:11:50.909]  government institutions, our entirety of our education system, especially our graduate and undergraduate programs.
[00:11:50.969 --> 00:11:54.469]   I mean, they've been coming into our colleges and universities
[00:11:54.469 --> 00:12:04.669]   for well over 25 years to the tune of minimum of about 100,000 a year, as high as 500,000 students a year.
[00:12:04.669 --> 00:12:10.508]   And they basically are attending some of the most elite universities that we have in this country.
[00:12:10.508 --> 00:12:16.688]   They are also in the institution of Hollywood, right, the moviemaking, the culturalization community,
[00:12:16.688 --> 00:12:19.789]  I call it, the culturalization community of America.
[00:12:19.789 --> 00:12:24.569]   So the Chinese have gotten deep, deep into that, and they've been in that for a long, long time.
[00:12:25.071 --> 00:12:29.336]  And then they're also in the institutions of the cartels, right?
[00:12:29.737 --> 00:12:50.239]   And I would call them the sort of on-the-street You know, teamed together where the Chinese have teamed together with the cartels and we know that that's a fact because they're already, we already have over 100,000 killed in action by fentanyl in this country.
[00:12:50.259 --> 00:12:52.739]  So that's China, that's China, all right?
[00:12:53.119 --> 00:13:06.882]   Now let's just, and there's some other things and I'll talk to China because I'm gonna jump to cyber in a second because I think cyber is something that everybody needs to Understand and they need to know what that means and how we are going to be affected by cyber.
[00:13:07.512 --> 00:13:14.495]  You know, because the other part about China, and I am going to talk about the health crisis that we already see being forced down our throats again.
[00:13:14.815 --> 00:13:16.395]  The second one is Russia, right?
[00:13:16.635 --> 00:13:21.337]  Russia is aligned with China as a communist ideology.
[00:13:21.817 --> 00:13:28.479]  The other element here is this BRICS, this BRICS alignment of countries, right?
[00:13:28.499 --> 00:13:31.901]  Brazil, Russia, India, China and South Africa.
[00:13:31.941 --> 00:13:34.820]  They just finished their annual summit.
[00:13:34.820 --> 00:13:41.500]   And actually that summit was the first one that they held since pre-pandemic, pre-COVID.
[00:13:41.500 --> 00:13:43.581]  So it's been a couple of years.
[00:13:43.581 --> 00:13:46.761]   And we need to pay attention to what's happening after that summit.
[00:13:46.761 --> 00:13:49.279]  But Russia and China, there you go.
[00:13:49.279 --> 00:13:57.660]   Russia and China now have been cutting energy deals, economic deals, military deals for years,
[00:13:57.660 --> 00:14:00.980]  for the last, you know, certainly the last 20, 25 years.
[00:14:00.980 --> 00:14:07.980]   But in the last five to six years, I've seen them increase their portfolio of arrangements,
[00:14:07.980 --> 00:14:11.360]  economic to military and other arrangements.
[00:14:12.358 --> 00:14:13.999]  Yeah, there you go.
[00:14:13.918 --> 00:14:18.239]   that are well well past anything the United States of America has been able to keep up with. And
[00:14:18.239 --> 00:14:25.518]   these last couple of years it's really really it's catapulted into a new level. Yeah there you go.
[00:14:25.518 --> 00:14:30.158]   And now there's and they're purchasing you know the sale of oil is now going to be done not in
[00:14:30.158 --> 00:14:36.318]   petrodollars meaning US dollars it's going to be done in the currency of the of the countries that
[00:14:36.318 --> 00:14:46.095]   are purchasing it. The third so Russia. Russia and And of course, we have Russia right now in this war in Eastern Europe, which is a total distraction.
[00:14:46.135 --> 00:14:48.557]  We, the American people, are being distracted.
[00:14:48.577 --> 00:14:49.477]  We're being ripped off.
[00:14:50.318 --> 00:14:56.422]  We're paying through our teeth over to something that we don't need to be part of.
[00:14:56.482 --> 00:14:58.283]  And frankly, it's a losing effort.
[00:14:58.343 --> 00:14:59.124]  It's a big-time loser.
[00:14:59.924 --> 00:15:06.497]  Yet, the administration is going to continue to distract us with this losing war in Eastern Europe.
[00:15:06.517 --> 00:15:08.340]  So, that's China, Russia.
[00:15:08.380 --> 00:15:09.703]  The third one is Iran.
[00:15:10.652 --> 00:15:21.657]  Yeah, the Iranian people, you know, I know a lot of Iranians and I have a lot of friends, but the Iranian government is still in coordination with the Democrat Party, right?
[00:15:21.737 --> 00:15:24.058]  I call it the Democrat, the Marxist Party of the left.
[00:15:24.557 --> 00:15:30.518]   So they are still negotiating and they are still going to allow Iran, we, the United
[00:15:30.518 --> 00:15:36.996]   States of America, are going to essentially build a nuclear weapon.
[00:15:36.996 --> 00:15:40.197]   And this is insane because this is still the leading state sponsor of terrorism on the
[00:15:40.197 --> 00:15:41.197]  planet.
[00:15:41.197 --> 00:15:45.837]   Iran still, you know, shouts from the from the from the tops of the buildings, you know,
[00:15:45.837 --> 00:15:48.638]  death to America, death to the Satanists, death to Israel.
[00:15:48.638 --> 00:16:05.317]  I didn't realize this was back this week.
[00:16:05.337 --> 00:16:06.237]  I thought it was next week.
[00:16:06.277 --> 00:16:08.918]  I come in this morning, it's back in the warehouse, ready to roll.
[00:16:10.699 --> 00:16:11.980]  Body's ultimate turmeric formula.
[00:16:12.941 --> 00:16:15.162]  And the first thing I did was pop one of these bad boys.
[00:16:16.763 --> 00:16:17.623]  Overhead shot, please.
[00:16:18.664 --> 00:16:21.385]  Look how full this bottle is.
[00:16:22.826 --> 00:16:24.067]  Right to the top, folks.
[00:16:25.768 --> 00:16:28.349]  Right to the top with these 95% curcuminoid.
[00:16:31.610 --> 00:16:35.271]  Again, most turmeric formulas are 5%, some are maybe 10.
[00:16:35.832 --> 00:16:37.852]  The other strongest brands are 75%.
[00:16:38.513 --> 00:16:38.973]  This is 95%.
[00:16:39.013 --> 00:16:43.395]  Super constant.
[00:16:43.415 --> 00:16:46.276]  So like taking one pill is like taking 10 of the average pill.
[00:16:47.273 --> 00:16:47.934]  It's that powerful.
[00:16:48.735 --> 00:16:49.095]  Or more.
[00:16:49.896 --> 00:16:52.099]  So they're available at InfoWarsTore.com.
[00:16:53.460 --> 00:16:55.463]  Boddy's Ultimate Turmeric Formula.
[00:16:56.004 --> 00:16:57.185]  Sold out for almost eight months.
[00:16:57.245 --> 00:17:01.050]  Back in stock at InfoWarsTore.com or 888-253-3139.
[00:17:04.073 --> 00:17:08.374]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned.
[00:17:08.594 --> 00:17:16.597]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you.
[00:17:16.977 --> 00:17:28.881]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality processes and has applications for both preparedness and regular use.
[00:17:29.221 --> 00:17:40.153]  Concentrated to 30 parts per million in a pure base of deionized water, this survival silver is the perfect fit for you and your family's routine and emergency supply.
[00:17:40.454 --> 00:17:46.000]  Valloidal Silver is an amazing natural product that can assist your body's many healing processes.
[00:17:46.280 --> 00:17:54.348]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[00:17:54.528 --> 00:17:58.372]  Try InfoWars Life Silver Bullet Colloidal Silver today.
[00:17:58.592 --> 00:18:01.575]  Available right now at InfoWarsStore.com.
[00:18:03.865 --> 00:18:08.748]  For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[00:18:09.548 --> 00:18:19.694]  I don't have to sell you on CBD oil, full spectrum CBD oil, the incredible things it does for your nerves, your brain, your entire physiological system, for your nervous system particularly.
[00:18:20.154 --> 00:18:21.675]  Everybody knows it's incredible, it works.
[00:18:22.216 --> 00:18:26.898]  We have the strongest, best CBD oil you're gonna find anywhere at the lowest price.
[00:18:27.299 --> 00:18:33.382]   Yes, you can find this same CBD oil for 30% more Because that's who we're getting it from.
[00:18:33.823 --> 00:18:35.983]  Made right here in Central Texas.
[00:18:36.523 --> 00:18:39.384]  Our private label name is Rebel Zen.
[00:18:40.165 --> 00:18:45.386]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[00:18:45.767 --> 00:18:48.527]  It's based right here in Texas, and we're giving it to you at 30% off.
[00:18:48.567 --> 00:18:49.668]  And here's what's even crazier.
[00:18:50.468 --> 00:18:52.030]  30% off of what they're selling it for.
[00:18:52.350 --> 00:18:55.374]  They're selling theirs for 30% off what their competitors are.
[00:18:55.594 --> 00:18:59.638]  So this is the highest rated, already the lowest price, now even a lower price.
[00:18:59.978 --> 00:19:00.579]  Rebels In.
[00:19:00.739 --> 00:19:03.082]  Get yours at InfoWareStore.com now.
[00:19:03.612 --> 00:19:15.138]  With respect to Alex Jones or anybody else being censored from Twitter, if Twitter's a free speech platform, which is what Elon Musk's thesis for running the platform is, free speech means that there's no such thing as a wrong opinion.
[00:19:15.378 --> 00:19:17.680]  We fought an American Revolution in this country for what?
[00:19:18.180 --> 00:19:27.425]   For the vision that we the people Decide, in a constitutional republic, how we settle our differences, through free speech and open debate in the public square.
[00:19:27.786 --> 00:19:32.088]  Now that old world monster rears its ugly head again, saying that, no, no, no, we don't trust the people.
[00:19:32.368 --> 00:19:33.209]  I reject that vision.
[00:19:33.229 --> 00:19:35.911]  The American Revolution rejects that vision.
[00:19:36.151 --> 00:19:38.492]  That is what the World Economic Forum agenda is about.
[00:19:38.772 --> 00:19:40.474]  It is a 1776 question.
[00:19:40.614 --> 00:19:42.175]  I stand on the side of the Great Uprising.
[00:19:42.995 --> 00:19:45.836]  Standing up and saying absolutely not, heck no to the Great Reset.
[00:19:46.076 --> 00:19:54.237]   We the people decide as citizens of sovereign nations how we actually determine our future
[00:19:54.237 --> 00:19:55.237]  through self-determination.
[00:19:55.237 --> 00:20:11.915]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:11.915 --> 00:20:14.256]  (whooshing)
[00:20:15.194 --> 00:20:18.475]  North Korea is clearly aligned with China.
[00:20:18.675 --> 00:20:19.756]  There's no doubt about that.
[00:20:20.376 --> 00:20:21.857]  They are a nuclear power.
[00:20:23.037 --> 00:20:29.319]  They will be used, so the North will be used by China to sort of do the big head fake.
[00:20:29.339 --> 00:20:53.461]   So if we start to see Kim Jong-un of North Korea start to conduct things, do things over there, you know, in his sphere of the world, what we call the Near East, If he starts to do things over in the Near East, where he starts to fire missiles, test missiles again, you know, maybe test a space launch, which they have done in the past, then we're going to start to see other movements.
[00:20:53.501 --> 00:21:02.248]  And we're going to have to be very, we're going to have to, you know, our country should be able to juggle more balls at the same time, multiple balls at the same time.
[00:21:02.788 --> 00:21:08.114]  Under this administration, we are incapable of doing that right now.
[00:21:09.356 --> 00:21:10.918]  North Korea is the fourth country.
[00:21:10.978 --> 00:21:13.280]  So China, Russia, Iran, North Korea.
[00:21:13.701 --> 00:21:15.903]  And then you have these other crises, right?
[00:21:15.923 --> 00:21:19.768]  The border crisis, the narcotics crisis that I mentioned about fentanyl.
[00:21:19.927 --> 00:21:23.826]  the rise of domestic crime in this country.
[00:21:23.826 --> 00:21:30.547]   Venezuela, I mentioned Venezuela in a way because what is happening, as we've seen the
[00:21:30.547 --> 00:21:37.387]   Chinese starting to come across the border, and we recently saw Uzbeks, a group of Uzbeks,
[00:21:37.387 --> 00:21:42.786]   and Uzbeks are a strong member of ISIS and a strong member of Al-Qaeda.
[00:21:43.346 --> 00:21:47.908]  And so we just had a group of Uzbeks cross the border down in the southern border.
[00:21:48.468 --> 00:21:58.412]  And what's happening with Venezuela is Venezuela is being used as a conduit, being used as a conduit for some of these other nations around the world that aren't in this hemisphere.
[00:21:59.406 --> 00:22:12.835]  So you're gonna see Chinese where we have we have seen an awful lot of Chinese to the tune of about a thousand a day coming up through that what's called the Darien Gap down in between Columbia and Panama and making their way up to the to the US border.
[00:22:13.215 --> 00:22:17.478]  And thanks to Michael, Jan and others I know you're working closely with and thinking about going down there both of us.
[00:22:18.098 --> 00:22:19.380]  I mean, he has the footage.
[00:22:19.640 --> 00:22:20.982]  They built a giant U.N.
[00:22:21.082 --> 00:22:22.524]  base down there in the Darien Gap.
[00:22:22.884 --> 00:22:25.247]  And these are mainly military-age men, Chinese.
[00:22:25.508 --> 00:22:29.393]  I mean, I can tell by the look of them, they look military to me, most of them.
[00:22:29.995 --> 00:22:31.856]  These are military age men, of course they are.
[00:22:31.936 --> 00:22:39.319]  And China doesn't just... And the good reporting by Michael as an example, when he starts to ask questions like, where did they come from?
[00:22:39.399 --> 00:22:40.739]  These guys are coming from China.
[00:22:41.019 --> 00:22:47.322]  The Chinese do not let refugees leave their country except for a specific purpose.
[00:22:47.842 --> 00:23:02.214]   So we also have these other border, along our border, along the US border, these border posts, these military camps that have been built I've seen a couple.
[00:23:02.234 --> 00:23:02.895]  I've been to one of them.
[00:23:03.195 --> 00:23:03.795]  I've seen these.
[00:23:03.815 --> 00:23:05.137]  These are huge, huge camps.
[00:23:05.657 --> 00:23:08.880]  And these aren't camps for, you know, a couple of kids.
[00:23:09.040 --> 00:23:09.801]  These are camps.
[00:23:09.821 --> 00:23:11.302]  These are large, large camps.
[00:23:11.723 --> 00:23:16.707]  And they are housing thousands and thousands, primarily military age men.
[00:23:17.048 --> 00:23:19.029]  And then you have to start to think about where they're going.
[00:23:20.251 --> 00:23:38.419]  So Venezuela, I mentioned Venezuela because Venezuela has not only given up their prisoners and their psychopaths, but they're also acting as a conduit to pass through Iranians, to pass through Uzbeks, to pass through Chinese and get them on up into the Central American isthmus there and head on up to the United States.
[00:23:38.999 --> 00:23:42.781]  The other two areas that I wrote down here is financial and economic.
[00:23:43.502 --> 00:23:53.674]  And I think that this is where I want to go back up to like the 60,000 foot level and really clearly identify the enemy, right?
[00:23:54.455 --> 00:23:58.303]   And again, I think it repeats Pounding this, right?
[00:23:58.343 --> 00:24:00.384]  We have to pound this into our audience.
[00:24:00.404 --> 00:24:04.706]  We've got to pound it into American psyche because the enemy is real.
[00:24:05.407 --> 00:24:08.809]  And when we talk about sort of an enemy headquarters, it's Davos, Switzerland.
[00:24:09.289 --> 00:24:11.870]  And the name of the organization is the World Economic Forum.
[00:24:11.930 --> 00:24:15.592]  And the name of the leader is here, Klaus Schwab.
