[00:00:00.089 --> 00:00:00.789]  We need your prayers.
[00:03:12.520 --> 00:03:14.921]  And we've got people all over the world fighting back.
[00:03:15.061 --> 00:03:21.364]  We've got folks in the 15-minute cities that have started in the UK saying no and already defeating them by standing up.
[00:03:22.105 --> 00:03:27.628]  We also have folks refusing to be cashless society and demanding to pay cash and then walking out of the stores.
[00:03:28.048 --> 00:03:29.269]  This is how the rebellion starts.
[00:03:29.989 --> 00:03:44.478]   We have the flood of illegal aliens being brought in and images of the New York Post shot in New York of just massive Massive, massive numbers of people flooding into the hotels and spilling out of the streets.
[00:03:44.938 --> 00:03:46.179]  All taxpayer paid for.
[00:03:46.200 --> 00:03:51.824]  Obviously, we've got more information on that bio lab with the COVID rats and mice with the Chinese running it.
[00:03:51.844 --> 00:03:55.287]  The Chinese Communist Party in Fresno, California.
[00:03:55.307 --> 00:04:02.173]  I mean, this country is wide open for attack while Biden declares the American people are the number one enemy that have got to be dealt with.
[00:04:03.152 --> 00:04:04.734]  So this is all coming up.
[00:04:04.814 --> 00:04:06.596]  Now we're going to come back from break in a moment.
[00:04:07.077 --> 00:04:09.980]  We're going to come out of break with John Bowne's new report.
[00:04:10.341 --> 00:04:15.987]  I'm going to segue that into John Kerry lying about the frozen ice caps all being melted.
[00:04:16.648 --> 00:04:19.691]  And I've got clips of him, just like we've got clips of Al Gore saying it.
[00:04:19.952 --> 00:04:21.814]  And now he's up there saying cut off the food.
[00:04:22.726 --> 00:04:26.427]  But first, the crew put together a little short one-minute promo, did a great job.
[00:04:26.747 --> 00:04:31.768]  We're going to play that, and then we're going to come back on the other side with the John Bowne Report.
[00:04:31.788 --> 00:04:36.429]  We're going to go right to that, and then we are going to come out of it.
[00:04:36.449 --> 00:04:41.990]  I'm going to host a show here today, and obviously have some special guests, and take your phone calls.
[00:04:42.390 --> 00:04:44.370]  So look for that, InfoWars.com.
[00:04:44.890 --> 00:04:48.671]  Tomorrow's news today, I'm your host, Alex Jones, and we'll be right back on the other side.
[00:04:48.731 --> 00:04:49.251]  Please stay with us.
[00:04:50.908 --> 00:04:57.453]  When hope and love has been lost and you fall to the ground, you must find a way.
[00:04:59.375 --> 00:05:06.060]  When the darkness descends and you're told it's the end, you must find a way.
[00:05:06.481 --> 00:05:12.165]  When God decides to look the other way and a clown takes the throne, we must find a way.
[00:05:12.185 --> 00:05:14.187]  You will find a way.
[00:05:14.808 --> 00:05:17.049]  Dig down and find faith.
[00:05:18.510 --> 00:05:24.814]  When you're close to the edge, with a gun to your head, you must find a way.
[00:05:25.655 --> 00:05:28.036]  We have entered the fray, and we will not obey.
[00:05:28.376 --> 00:05:30.278]  We must find a way, and find faith.
[00:05:31.919 --> 00:05:39.063]  We won't let them divide.
[00:05:40.504 --> 00:05:42.504]  We will never abide.
[00:05:42.504 --> 00:05:45.504]  We will find a way.
[00:05:45.504 --> 00:05:49.504]   Infowars.com [Music]
[00:05:49.504 --> 00:06:01.504]  Folks, no one can deny we have a climate crisis.
[00:06:01.664 --> 00:06:08.173]  It's scary, it's horrifying, it's bizarre, and just over the top, as reality is.
[00:06:08.954 --> 00:06:13.440]  Words cannot describe this concerted, psychotic attack on humanity.
[00:06:13.934 --> 00:06:15.955]  We're undergoing a soft coup.
[00:06:16.736 --> 00:06:37.449]  One Health is a concept that was created to enable the WHO, with these documents, to take over jurisdiction of everything in the world by saying that climate change, animals, plants, water systems, ecosystems are all central to health.
[00:06:38.810 --> 00:06:46.656]  Also embedded in this concept is a peculiar notion that humans are no longer of greater value than animals.
[00:06:47.036 --> 00:06:49.438]  The climate crisis is a health crisis.
[00:06:50.399 --> 00:06:53.081]  And climate solutions are health solutions.
[00:06:54.101 --> 00:07:01.127]  Renewable energy, healthy and sustainable food systems, and healthy and green cities.
[00:07:02.316 --> 00:07:10.682]  Ultimately, the COVID-19 pandemic shows that we're one humanity, sharing one planet and one health.
[00:07:11.102 --> 00:07:13.403]  And the next level gaslighting that goes on.
[00:07:13.764 --> 00:07:21.489]  People traveling to these countries really need to think that this could be the future of European summers, that Europe is the fastest warming continent right now.
[00:07:21.889 --> 00:07:27.372]  When I say gaslighting, I mean that figuratively, also very seriously, in the real world.
[00:07:27.392 --> 00:07:31.134]  Everybody who honestly believes climate change is not a serious problem.
[00:07:31.374 --> 00:07:38.278]  Agriculture contributes about 33% of all the emissions of the world, and we can't get to net zero.
[00:07:39.439 --> 00:07:40.640]  We don't get this job done.
[00:07:41.713 --> 00:07:45.554]  Unless agriculture is front and center as part of the solution.
[00:07:45.795 --> 00:07:51.177]  Not just the term gaslighting, meaning lying to somebody and telling them that you're pissing on them, but really it's raining.
[00:07:51.457 --> 00:07:54.878]  Sure, there's an old saying, to the victors belong the spoils.
[00:07:58.919 --> 00:08:00.320]  There's another old saying, Senator.
[00:08:01.687 --> 00:08:04.188]  Don't piss down my back and tell me it's raining.
[00:08:04.368 --> 00:08:08.309]  They're literally banning our gas stoves and gaslighting us.
[00:08:08.509 --> 00:08:22.753]  How about shower heads, air conditioners, toilet flushing, light bulbs, washers and dryers, dishwashers, refrigerators, gas cars and trucks, coal-fired pizza ovens, and microwaves?
[00:08:23.193 --> 00:08:24.354]  That's just for starters.
[00:08:25.194 --> 00:08:29.817]  Joe Biden wants to take them away from us, all in the name of climate change.
[00:08:30.137 --> 00:08:34.560]  You have all these environmental problems that are so profound, they're hard to deny.
[00:08:34.580 --> 00:08:40.544]  And people are seeing them now, along with extreme super storms and droughts.
[00:08:41.665 --> 00:08:49.450]  That's why I took the most aggressive action ever in all of history in any country to take on the climate crisis.
[00:08:50.183 --> 00:08:52.365]  By lowering your home energy bills.
[00:08:52.705 --> 00:09:02.933]  We've now gotten to the point where it's cheaper to generate electricity from wind and solar than it is from coal and or fossil fuels.
[00:09:03.293 --> 00:09:05.755]  The era of global warming has ended.
[00:09:06.095 --> 00:09:09.578]  The era of global boiling has arrived.
[00:09:09.878 --> 00:09:11.599]  The air is unbreathable.
[00:09:12.400 --> 00:09:13.941]  The heat is unbearable.
[00:09:14.762 --> 00:09:18.725]  And the level of fossil fuel profits and climate inaction is unacceptable.
[00:09:18.945 --> 00:09:21.086]  And the UN says it's bad, so we gotta ban them.
[00:09:21.126 --> 00:09:23.508]  And polar bears are all dying, they can't swim.
[00:09:23.528 --> 00:09:24.308]  We gotta ban them.
[00:09:24.328 --> 00:09:25.149]  She struggles on.
[00:09:26.390 --> 00:09:33.254]  Arctic polar bears are facing near extinction by the end of the century if the sea ice they depend on continues to disappear.
[00:09:33.274 --> 00:09:43.160]  That's the stark warning from a new study looking at the long-term future of the bears as greenhouse gas emissions contribute to the melting of the bears' frozen hunting grounds.
[00:09:43.740 --> 00:09:45.521]  Polar bear number is the biggest ever recorded.
[00:09:45.541 --> 00:09:49.163]  It's the farthest swimming, fastest swimming land animal.
[00:09:49.183 --> 00:09:50.923]  They routinely swim 200 miles to hunt.
[00:09:51.384 --> 00:09:58.267]  In the summer on ice flows, they show you an image of a polar bear hunting up on top of an ice flow and say, look, it's the last piece of ice.
[00:09:58.307 --> 00:09:59.367]  He'll soon drown.
[00:09:59.727 --> 00:10:00.508]  He can't swim.
[00:10:00.528 --> 00:10:03.809]  The Epoch Times is reporting it's official federal filing.
[00:10:04.590 --> 00:10:09.452]  By administration rule, their filing will ban nearly all portable gas powered generators.
[00:10:10.788 --> 00:10:16.534]  Smaller gas generators would have to cut carbon monoxide emissions by 50%, and large generators would have to cut emissions by 95%.
[00:10:16.674 --> 00:10:21.618]  Nearly all models currently available are expected to not be able to comply with the new standard.
[00:10:21.999 --> 00:10:25.842]  Is it that funny they created a standard nobody can comply with?
[00:10:26.262 --> 00:10:32.441]   Because a microscopic amount of carbon monoxide is put off by a gas stove, but the cleanest thing there is but there's
[00:10:32.441 --> 00:10:35.662]   just a microscopic amount that's been to
[00:10:35.662 --> 00:10:48.762]   It's In
[00:10:48.762 --> 00:10:56.182]   1975 New York City was over 11 billion dollars in debt and the banks were no longer there to bail them out
[00:10:57.032 --> 00:11:07.561]  Instead, the bankers made them sweat, never showed up to the meeting, and then created a committee that they controlled so that the banks could manage the city directly.
[00:11:08.201 --> 00:11:13.025]  This has been brilliantly documented in the Adam Curtis film, Hypernormalization.
[00:11:14.427 --> 00:11:27.135]  The announcement on behalf of the Comptroller is that the offer, which we had expected to receive and announce at 2 o'clock this afternoon, is now expected at 4 o'clock.
[00:11:27.555 --> 00:11:29.936]  Well, does this mean that so far nobody wants those bombs?
[00:11:30.177 --> 00:11:39.062]  We will be making a further announcement at 4 o'clock, and anything further that I could say now I think would not advance the interests of the sale, which is now in progress.
[00:11:39.122 --> 00:11:41.384]  Does this mean that you have not been able to sell them so far today?
[00:11:43.482 --> 00:11:48.404]  We will have a further announcement at four o'clock.
[00:11:49.564 --> 00:11:54.645]  What happened that day in New York marked a radical shift in power.
[00:11:55.286 --> 00:12:00.687]  The banks insisted that in order to protect their loans, they should be allowed to take control of the city.
[00:12:02.068 --> 00:12:05.209]  The city appealed to the president, but he refused to help.
[00:12:06.069 --> 00:12:09.470]  So a new committee was set up to manage the city's finances.
[00:12:10.190 --> 00:12:12.871]  Out of nine members, eight of them were bankers.
[00:12:15.103 --> 00:12:23.868]  It was the start of an extraordinary experiment, where the financial institutions took power away from the politicians and started to run society themselves.
[00:12:25.910 --> 00:12:31.753]  That was nearly 50 years ago, and so you can be sure that the banks manage everything now.
[00:12:32.274 --> 00:12:42.200]  Politicians are merely their puppets, which was recently made blatantly obvious with the public display of Dianne Feinstein and her handlers.
[00:12:45.481 --> 00:12:47.703]  I would like to support a yes vote on this.
[00:12:48.703 --> 00:12:50.245]  It provides $823 billion.
[00:12:51.005 --> 00:12:54.408]  That's an increase of $26 billion for the Department of Defense.
[00:12:54.288 --> 00:13:04.327]   on this. It provides $823 billion. That's an increase of $26 billion for the Department
[00:13:04.327 --> 00:13:10.326]  of Defense. And it funds priorities submitted.
[00:13:10.326 --> 00:13:14.007]  Just say, "I."
[00:13:14.007 --> 00:13:16.007]  OK. Just "I."
[00:13:16.007 --> 00:13:19.167]  Great. Thank you.
[00:13:19.167 --> 00:13:24.248]   Politicians are only there to keep the people divided and distracted. And they have so far
[00:13:24.248 --> 00:13:26.248]  been hugely successful at that.
[00:13:26.808 --> 00:13:35.479]  While a cashless society is slowly being built around us, everyone is hyper emotional about something else and focused on fighting each other.
[00:13:35.939 --> 00:13:39.725]  Which is most certainly exactly what the banks were shooting for.
[00:13:40.225 --> 00:13:49.298]  Because once they get us off of cash and completely onto a digital system, then the banks will have absolute control over each and every one of us.
[00:13:50.079 --> 00:13:57.702]   A key difference with the CBDC is that central bank will have absolute control.
[00:13:57.702 --> 00:14:01.102]  It's not just about digital forms of physical currency.
[00:14:01.102 --> 00:14:06.502]   You can have programmability, you know, units of central bank currency with expiry dates,
[00:14:06.502 --> 00:14:09.702]   where the government decides that units of central bank money
[00:14:09.702 --> 00:14:14.902]   can be used to purchase some things, but not other things that it deems less desirable,
[00:14:14.902 --> 00:14:16.502]  like say ammunition.
[00:14:16.502 --> 00:14:19.102]  Reporting for InfoWars, this is Greg Reese.
[00:14:19.102 --> 00:14:30.902]  [Music]
[00:14:30.902 --> 00:14:44.702]  [Music]
[00:14:44.795 --> 00:14:46.576]  Alex Jones?
[00:14:46.596 --> 00:14:57.360]  The far-right conspiracy theorist who is apparently... Alex Jones!
[00:15:00.301 --> 00:15:00.761]  Scum!
[00:15:01.481 --> 00:15:02.702]  Russian scum!
[00:15:06.003 --> 00:15:10.806]  InfoWars comes to mind.
[00:15:11.446 --> 00:15:12.827]  Your reputation's amazing.
[00:15:13.267 --> 00:15:14.628]  I will not let you down.
[00:15:14.587 --> 00:15:21.587]  You will be very, very impressed, I hope.
[00:15:21.587 --> 00:15:28.587]   All right, ladies and gentlemen, we are broadcasting live from the InfoWars World Headquarters
[00:15:28.587 --> 00:15:32.587]  in Austin, Texas, Alex Jones.
[00:15:32.654 --> 00:15:45.204]  Jones, the host of the show, had planned on being here at least for the first hour, but he has had to step away dealing with some emergencies, so we were hoping he would be back by now, but you have me!
[00:15:47.085 --> 00:15:56.793]  And that's okay, because I was prepared here today anyway, and we got some great guests coming up as well, but we are expecting to hear from Alex shortly.
[00:15:59.053 --> 00:16:02.976]  A bunch of developments into the Biden crime family.
[00:16:02.996 --> 00:16:09.401]  I'm going to hold off on getting into the details of that right now.
[00:16:10.302 --> 00:16:41.187]   And the new developments we have, which is the Oversight Committee investigating Hunter Biden's art deals and the Oversight Committee trying to get to the bottom of how Biden's legal counsel and Hunter Biden We're under the impression that somehow his plea agreement would rid him of the current ongoing investigation into FARA violations.
[00:16:41.267 --> 00:16:53.084]   In other words, Hunter Biden acting as a foreign agent, unregistered, that he thought taking a plea deal He wouldn't have to face those charges in the future.
[00:16:53.124 --> 00:16:56.144]  And of course, when the judge heard that, she said, what?
[00:16:56.604 --> 00:16:58.965]  That has literally never been done before.
[00:16:59.485 --> 00:17:00.646]  What are you talking about?
[00:17:02.186 --> 00:17:11.389]  I'm going to hold off that and discuss that with Judge Napolitano in the third hour today.
[00:17:11.669 --> 00:17:15.290]  And he's got a lot he wants to say about that.
[00:17:15.370 --> 00:17:16.550]  So we'll be discussing that.
[00:17:17.790 --> 00:17:19.491]  There's been another drone strike.
[00:17:20.943 --> 00:17:34.321]   In Moscow, this one not as bad as the one we saw over the weekend, but clearly Whether it's Ukraine or whether it's some proxy group, somebody is trying to provoke Russia.
[00:17:35.182 --> 00:17:50.769]  Somebody wants to provoke Russia into making a major move so that the United States or Joe Biden can come in or NATO can come in and say, okay, we have to launch a full-scale war against Russia, maybe even up their rhetoric and focus on Putin.
[00:17:51.769 --> 00:17:53.290]  But that's clearly what's going on.
[00:17:53.310 --> 00:18:02.188]   And so if you're Vladimir Putin, You're in an interesting predicament because the West is acting out of control.
[00:18:02.709 --> 00:18:04.230]  They've bombed your pipeline.
[00:18:04.330 --> 00:18:06.092]  They've bombed your bridges.
[00:18:06.292 --> 00:18:08.735]  Somebody's blowing up drones in Moscow.
[00:18:08.835 --> 00:18:10.336]  Russians have died because of this.
[00:18:11.377 --> 00:18:13.219]  But Putin doesn't want to start a larger war.
[00:18:13.940 --> 00:18:22.048]   Putin is He's smart enough to realize that somebody's trying to provoke him into a larger war and he's not taking the bait.
[00:18:22.768 --> 00:18:34.534]  But he has a lot of the military leaders around him that are sick and tired of his patience and would like all-out war and believe they would win that all-out war.
[00:18:35.655 --> 00:18:36.755]  And Putin doesn't want to go there.
[00:18:37.135 --> 00:18:40.257]  And of course this is a story that the American media won't tell you.
[00:18:41.866 --> 00:18:49.990]  And this is the story that your politicians that love the war so much won't tell you either.
[00:18:52.032 --> 00:18:55.513]  But obviously somebody trying to provoke Russia and Putin.
[00:18:55.533 --> 00:18:59.135]  That's what these drone attacks are all about.
[00:18:59.195 --> 00:19:01.837]  That's why they blew up the pipeline, the bridges.
[00:19:01.857 --> 00:19:04.618]  That's why they tried to false flag in Poland.
[00:19:07.840 --> 00:19:15.361]   And it's most likely the same culprits, Western proxy groups, Although it's not so much a proxy group anymore, is it?
[00:19:16.982 --> 00:19:21.766]  They are openly sending in the weapons to Ukraine and then they don't know where they go.
[00:19:22.346 --> 00:19:26.890]  So they end up with all kinds of different groups, proxy groups, Ukrainian groups.
[00:19:28.371 --> 00:19:30.212]  But it's not good on the Ukrainian front.
[00:19:31.773 --> 00:19:36.036]  And even the Western media is having a problem trying to cover that up.
[00:19:37.397 --> 00:19:38.518]  There's no morale.
[00:19:38.718 --> 00:19:41.460]   The US The U.S.
[00:19:41.580 --> 00:19:42.601]  bodies, the U.S.
[00:19:44.382 --> 00:19:52.229]  groups they're sending over there, now they're having to say, oh, we're going to give you a raise, we're going to give you more money, because they don't want to be there.
[00:19:52.870 --> 00:20:02.519]  These other countries that are sending volunteer soldiers there are getting treated like dirt by the Ukrainian generals, they're being sent to their death, so there's no morale to send anybody there anymore.
[00:20:03.360 --> 00:20:04.661]  It's a complete disaster.
[00:20:04.701 --> 00:20:05.061]  But hey!
[00:20:06.058 --> 00:20:09.241]  The weapons contractors are making money hand over fist.
[00:20:09.341 --> 00:20:11.843]  Their shareholders are making money hand over fist.
[00:20:12.144 --> 00:20:14.185]  They've all got friends in Washington D.C.
[00:20:14.205 --> 00:20:15.847]  that vote to keep the whole thing going.
[00:20:16.307 --> 00:20:17.308]  And so here we are.
[00:20:20.491 --> 00:20:21.852]  And so here we are.
[00:20:23.794 --> 00:20:32.282]  You know, there's another story here when it comes to the climate crisis that we're being lied to about.
[00:20:34.904 --> 00:20:52.835]  And I hadn't seen this before, of course not, or maybe I had and I'd forgotten, but I bring this story up today because it parallels what they're trying to do with the man-made global warming false narrative.
[00:20:54.556 --> 00:21:10.886]   There was a movie, many of us probably saw it in school, I know I was forced to see it in school, In fact, guys, see if you can find the name of the movie about Matthew Shepard.
[00:21:14.129 --> 00:21:17.291]  And they made you watch this in school.
[00:21:18.011 --> 00:21:20.754]  Most colleges force you to watch it, if not your high school.
[00:21:21.354 --> 00:21:22.495]  I watched it in high school.
[00:21:23.756 --> 00:21:25.817]  And then again, they played it for me in a college course.
[00:21:27.218 --> 00:21:29.040]  And it was a movie about Matthew Shepard.
[00:21:30.475 --> 00:21:36.500]  Where the story goes, because he was gay, two guys took him out into a field and beat him to death.
[00:21:38.202 --> 00:21:42.805]  And that's the whole narrative, oh, the Matthew Shepard story I guess is the name of the film there.
[00:21:44.327 --> 00:21:57.498]  And so they force you to watch this as a kid and they tell you, don't be a homophobe, don't be anti-LGBTQ, whatever it is, whatever's the hot, the hot letter group at the time, the hot analogy, whatever it is.
[00:21:59.369 --> 00:22:09.117]  And they show you this movie and they say, see what gay people have to go through, see the homophobia, see the bigotry, this is your fault, you need to accept it.
[00:22:09.218 --> 00:22:22.929]  And then it creates the victim class, the victim economy, and puts individuals on a perch, which is what we've seen with different groups here in America as well.
[00:22:22.949 --> 00:22:26.873]  But focusing on this, well the whole thing was a lie!
[00:22:28.442 --> 00:22:29.563]  The whole thing was a lie!
[00:22:33.164 --> 00:22:37.246]  So, they write a story about Matthew Shepard getting killed because he's gay.
[00:22:38.486 --> 00:22:39.267]  Wasn't even that.
[00:22:39.387 --> 00:22:57.635]  It was a... he was a... meth... apparently looking for meth, and meth dealers got involved, and there were tweakers that tried to rob him, and then he got killed in a robbery by meth heads.
[00:22:59.949 --> 00:23:04.253]  And so they take that story, then they lie and say he was beaten to death because he was gay.
[00:23:04.493 --> 00:23:08.196]  They do a whole movie depiction about it, making the white man look bad.
[00:23:08.537 --> 00:23:10.178]  We're gonna beat that gay boy.
[00:23:10.198 --> 00:23:12.961]  The whole thing is fake.
[00:23:13.501 --> 00:23:14.122]  Didn't even happen.
[00:23:17.284 --> 00:23:18.666]  And I guess this is a second one?
[00:23:18.686 --> 00:23:20.047]  Do they have two movies about it, guys?
[00:23:20.067 --> 00:23:20.968]  Is that what you're showing me here?
[00:23:22.594 --> 00:23:25.335]  So apparently, okay, so they did two movies.
[00:23:26.295 --> 00:23:32.097]  Two movies about a gay man, Matthew Shepard, getting taken out into a field and beaten to death because he was gay.
[00:23:32.457 --> 00:23:33.697]  It literally never happened.
[00:23:34.517 --> 00:23:36.638]  And they're doing the same thing with global warming.
[00:23:36.858 --> 00:23:46.340]  They make you watch Al Gore's film, they make you watch The Day After Tomorrow, they make you watch all the climate change hysteria propaganda, and it's all fake.
[00:23:47.981 --> 00:23:48.861]  It's all fake.
[00:23:50.387 --> 00:23:53.608]  Go watch Al Gore's Inconvenient Truth right now.
[00:23:54.068 --> 00:23:58.650]  Everything he predicts in that quote-unquote documentary, none of it happened.
[00:24:01.111 --> 00:24:02.311]  So what are they going to say next?
[00:24:02.811 --> 00:24:05.472]  Yeah, we lied to you about climate change.
[00:24:05.552 --> 00:24:09.994]  We made up the whole thing and destroyed civilization because of it.
[00:24:10.834 --> 00:24:12.535]  So what's the big deal?
[00:24:12.695 --> 00:24:13.935]  What does it even matter?
[00:24:15.696 --> 00:24:16.576]  That's their logic.
[00:24:17.196 --> 00:24:23.631]   They justify Their lies, they justify their propaganda, they justify their evils.
[00:24:28.154 --> 00:25:04.569]   Just like they did with the Matthew Shepard story, where they did two movies, forced the American youth to watch it, convinced them that gay people were victims, and homophobes were running around murdering, beating gay people to death, whole story was made up, ended up being a meth deal, tweakers robbing him, And they make up everything, and then they write the story years later in the LGBTQ plus rights section of the Telegraph.
[00:25:07.510 --> 00:25:11.853]  Now a different truth is emerging, but does it matter?
[00:25:13.737 --> 00:25:20.181]  Matthew Shepard's horrific death at the hands of redneck homophobes shocked America and changed its laws.
[00:25:20.661 --> 00:25:22.022]  But it didn't even happen.
[00:25:22.583 --> 00:25:23.443]  Does it matter?
[00:25:25.505 --> 00:25:26.365]  And so they lied.
[00:25:28.787 --> 00:25:30.908]  They wrote legislation based off the lie.
[00:25:30.948 --> 00:25:34.430]  They used your emotions against you based on the lie.
[00:25:34.691 --> 00:25:36.852]  They got their legislation passed based on a lie.
[00:25:37.112 --> 00:25:39.794]  Then they admit they lied and they say, but it's a good thing we lied.
[00:25:42.554 --> 00:25:44.035]  What else did they lie to us about?
[00:25:44.175 --> 00:25:45.115]  Well, everything.
[00:25:46.456 --> 00:25:47.797]  Juicy Small A?
[00:25:48.317 --> 00:25:48.717]  Anybody?
[00:25:49.057 --> 00:25:49.978]  Juicy Small A?
[00:25:50.018 --> 00:25:50.518]  Mm-hmm?
[00:25:51.579 --> 00:25:52.959]  I was in Chicago!
[00:25:53.580 --> 00:26:05.066]  And two, two white supremacists with Trump hats on at 3.30 in the morning at negative 30 degrees put a noose around my neck and yelled, this is MAGA country!
[00:26:08.194 --> 00:26:11.558]  I mean, gee, who thought he made that up?
[00:26:11.618 --> 00:26:13.840]  That one really seemed believable.
[00:26:15.161 --> 00:26:20.607]  Just like that two rednecks just driving around and they see some guy and they think, oh, he's gay!
[00:26:21.228 --> 00:26:22.389]  Let's beat him to death!
[00:26:23.150 --> 00:26:24.351]  Totally believable.
[00:26:24.912 --> 00:26:25.712]  Oh, they made it up.
[00:26:26.353 --> 00:26:28.896]  And then they admit they made it up and they say, what does it matter?
[00:26:29.236 --> 00:26:30.678]  But that might be innocent enough.
[00:26:32.142 --> 00:26:35.625]  They're doing the same thing now with climate change.
[00:26:35.685 --> 00:26:43.052]  But see, once you understand this psychology, once you understand how it's applied to nearly everything, they lie about Trump-Russia collusion.
[00:26:43.473 --> 00:26:45.034]  They lie about global warming.
[00:26:46.015 --> 00:26:47.296]  They lie about racism.
[00:26:47.316 --> 00:26:48.778]  They lie about homophobia.
[00:26:48.958 --> 00:26:51.680]  They lie about everything.
[00:26:52.802 --> 00:26:53.963]  They lie about war.
[00:26:57.403 --> 00:27:01.449]  And then they expect the world to be changed based off of the lies.
[00:27:01.730 --> 00:27:07.880]  And when you say, no, that's a lie, they get mad at you.
[00:27:10.953 --> 00:27:13.635]  And so that's what they're doing right now with climate change.
[00:27:13.815 --> 00:27:14.475]  It's a lie.
[00:27:14.855 --> 00:27:16.036]  They know it's a lie.
[00:27:16.536 --> 00:27:24.340]  They're forcing you to watch their propaganda to convince the next generations that the lie is true so that they can remake the world as they see fit.
[00:27:25.121 --> 00:27:26.442]  And what is it really about?
[00:27:26.522 --> 00:27:30.404]  It's all energy rationing, food rationing.
[00:27:32.625 --> 00:27:37.415]   If I go down the street And I say, would you like to have your energy and food rationed?
[00:27:37.875 --> 00:27:39.155]  How many people are going to say yes?
[00:27:39.716 --> 00:27:48.819]  But if I go down the street and I say, do we need to write laws and have more strict government on humans because of man-made climate change?
[00:27:49.059 --> 00:27:50.639]  The average liberal would say yes.
[00:27:51.320 --> 00:27:52.980]  Because they don't understand what that means.
[00:27:53.120 --> 00:27:55.061]  They fall for the buzzwords and the propaganda.
[00:27:57.559 --> 00:28:05.425]  All of the stopping man-made climate change propaganda is all food rationing and energy rationing.
[00:28:06.826 --> 00:28:08.947]  Food rationing and energy rationing.
[00:28:09.347 --> 00:28:10.668]  That's what it's really all about.
