[00:00:03.253 --> 00:00:05.115]  We're live!
[00:11:21.088 --> 00:11:24.369]  And then linked to his further calls for arresting everyone.
[00:11:24.369 --> 00:11:28.031]  So, Hotez basically calls for Joe Rogan's arrest.
[00:11:28.031 --> 00:11:31.812]  We'll show you where he put out public letters calling for people that question him being arrested last year.
[00:11:32.935 --> 00:11:34.277]  And the year before.
[00:11:34.277 --> 00:11:39.222]  And then somebody goes to his house and questions him and he's a rast, that portable baby.
[00:11:39.222 --> 00:11:43.908]  Look at that disingenuous, predatory smile.
[00:11:43.908 --> 00:11:46.050]  Now I'm not saying Brian Stelter's a pedophile.
[00:11:46.050 --> 00:11:47.251]  I have no proof he is.
[00:11:47.251 --> 00:11:49.834]  I'm not saying Dr. Peter Hotez is.
[00:11:50.842 --> 00:12:02.887]  I'm just telling you, if I was going to cash somebody for a movie about pedophiles that drive around in white vans grabbing kids, I would come to him hat in hand and say, sir, we need you to be the leader of the underground base with the kidnapped children.
[00:12:02.887 --> 00:12:12.991]  Now, in reality, he's just a guy that runs a big children's hospital and is one of the head infectious disease people under Fauci, pushing for shots, lockdowns, the arrest of those that don't take them, and taking over our bodies.
[00:12:12.991 --> 00:12:16.132]  He doesn't rape children physically with his penis.
[00:12:17.008 --> 00:12:18.210]  We don't have any proof of that.
[00:12:18.210 --> 00:12:23.898]  He wants to rape them with needles full of GMO concoctions.
[00:12:23.898 --> 00:12:29.646]  With his little uh... I wonder if he porky pigs it with the uh... little bow tie on there.
[00:12:29.646 --> 00:12:29.826]  So...
[00:12:31.206 --> 00:12:32.007]  You want to have that?
[00:12:32.007 --> 00:12:33.948]  That guy runs a children's hospital.
[00:12:33.948 --> 00:12:36.029]  What a nice man.
[00:12:36.029 --> 00:12:38.311]  And he wants to put shots in you.
[00:12:38.311 --> 00:12:39.492]  He wants to take over your rights.
[00:12:39.492 --> 00:12:40.713]  He wants to take over your body.
[00:12:40.713 --> 00:12:45.176]  He definitely wants to rape you medically with an experimental injection.
[00:12:45.176 --> 00:12:50.100]  I mean, were the black people that were given syphilis, first they just said, oh, we knew they had it and didn't treat them.
[00:12:50.100 --> 00:12:55.724]  Came out later, they gave many black men injections of syphilis to watch what happened over 40 years.
[00:12:55.724 --> 00:12:57.985]  Were they raping black men?
[00:12:57.985 --> 00:12:59.807]  Would have been better to be physically raped
[00:13:00.467 --> 00:13:04.594]  If you were a black man or being injected with syphilis, I would say I'd take the physical rape.
[00:13:04.594 --> 00:13:05.936]  But neither one is good.
[00:13:05.936 --> 00:13:13.168]  But being given syphilis, a torturous disease that kills you, if not treated very painfully, is worse than physical penetration, being raped.
[00:13:14.437 --> 00:13:28.053]  So I would venture that Dr. Peter Hotez is worse than a rapist that would just grab you in a dark alley when you were taking the trash out and pin you up against the wall and hit you on the head with a flashlight and then rape you.
[00:13:28.053 --> 00:13:29.955]  That would be painful, it would be terrible, it would be scary.
[00:13:31.488 --> 00:13:36.451]  You would get over it with some trauma and some counseling and going to church.
[00:13:36.451 --> 00:13:48.679]  But imagine being given something that grows spike protein in your body and erases your immune system and can cause strokes and heart attacks and this smiling demon runs around and hops around in his bow ties
[00:13:50.277 --> 00:13:52.938]  And in his little white lab coats.
[00:13:52.938 --> 00:13:57.780]  And you notice when he went on CNBC to say, in science we don't debate.
[00:13:57.780 --> 00:14:00.001]  It's like saying, fish don't live in water.
[00:14:00.001 --> 00:14:02.282]  Birds don't fly in the air.
[00:14:02.282 --> 00:14:06.464]  In football, we don't have a pigskin.
[00:14:06.464 --> 00:14:11.987]  Water has nothing to do with H2O.
[00:14:11.987 --> 00:14:15.748]  Carbon dioxide has nothing to do with plants.
[00:14:15.748 --> 00:14:17.109]  The sky's not blue at high noon.
[00:14:19.341 --> 00:14:22.102]  Earthworms don't live in the dirt.
[00:14:22.102 --> 00:14:24.703]  I mean, just the level of total gaslighting.
[00:14:24.703 --> 00:14:26.983]  Well, we don't debate in science.
[00:14:26.983 --> 00:14:30.965]  I mean, we can't have anybody fighting in the war room, like they said in their speech.
[00:14:30.965 --> 00:14:34.886]  Gentlemen, you're fighting in the war room!
[00:14:34.886 --> 00:14:35.906]  Well, what are you going to do next?
[00:14:35.906 --> 00:14:40.468]  We've got to have some professionalism and some decorum here.
[00:14:40.468 --> 00:14:48.170]  So it's all coming up today, and at the bottom of the hour, in like 15 minutes, we are joined, ladies and gentlemen, by Alex Rosen.
[00:14:50.774 --> 00:14:58.140]  He's got a nose for people that really want to take your rights and force things on you, and he doesn't like Dr. Peter Hotez very much.
[00:14:58.140 --> 00:15:08.508]  But hey, Doc, I predicted over and over again that when you guys went after Joe Rogan again, that he was going to destroy you.
[00:15:08.508 --> 00:15:11.851]  And now it's causing a massive chain reaction that I didn't foresee.
[00:15:11.851 --> 00:15:13.492]  I'm a little bit proud of that right now.
[00:15:14.232 --> 00:15:18.634]  And I've really pushed Joe at dinner and in private and visiting with the comedy club to go on the offense.
[00:15:18.634 --> 00:15:20.916]  And he said, no, I'm going to wait.
[00:15:20.916 --> 00:15:24.378]  I'm going to let him keep attacking for a while and see if they try to pull something new.
[00:15:24.378 --> 00:15:26.159]  And now they're trying to pull new stuff.
[00:15:26.159 --> 00:15:28.340]  And they started the fight.
[00:15:28.340 --> 00:15:32.602]  So all I can say is, Doc, look at that Creepozoid, man.
[00:15:32.602 --> 00:15:34.503]  That's a real photo.
[00:15:34.503 --> 00:15:37.305]  As creepy as Stelter, they can't hide what's under the surface.
[00:15:39.264 --> 00:15:40.104]  Wow!
[00:15:40.104 --> 00:15:41.865]  Wow!
[00:15:41.865 --> 00:15:42.885]  We ought to have a contest.
[00:15:42.885 --> 00:15:48.547]  What's the creepiest photo of Dr. I want to take over your medical rights and force GMO into your body.
[00:15:48.547 --> 00:15:51.148]  And he runs a children's hospital.
[00:15:51.148 --> 00:15:52.328]  Creepy as he gets.
[00:15:52.328 --> 00:15:54.149]  I wonder if he'd be friends with Jimmy Savelle.
[00:15:54.149 --> 00:15:55.069]  He likes hospitals too.
[00:15:55.069 --> 00:15:56.290]  Children's hospitals.
[00:15:56.290 --> 00:15:56.750]  We'll be right back.
[00:15:59.693 --> 00:16:04.415]  InfoWarsStore.com is like a grocery store, or like a vitamin shop.
[00:16:04.415 --> 00:16:06.396]  We want to have all the best brands for you.
[00:16:06.396 --> 00:16:08.436]  We want to have a bunch of different choices for you.
[00:16:08.436 --> 00:16:10.897]  So I get constant questions online and in person.
[00:16:10.897 --> 00:16:11.718]  Hey, what's better?
[00:16:11.718 --> 00:16:12.578]  Knockout?
[00:16:12.578 --> 00:16:13.919]  What's better?
[00:16:13.919 --> 00:16:14.659]  Down-and-out?
[00:16:14.659 --> 00:16:15.179]  What's better?
[00:16:15.179 --> 00:16:17.460]  Why do you sell two or three different sleep aids?
[00:16:17.460 --> 00:16:22.382]  And the answer is, different herbal formulas, different compounds are better for different people.
[00:16:23.081 --> 00:16:27.045]  So, one person might like this coffee, another person likes that coffee.
[00:16:27.045 --> 00:16:28.367]  That's how our bodies work.
[00:16:28.367 --> 00:16:29.688]  They're all very diverse.
[00:16:29.688 --> 00:16:39.879]  But we've been able to private label a national bestseller that's been sold for many years that people love and sold for a lower price under the name InfoWarsMD Good Night's Sleep.
[00:16:40.600 --> 00:16:46.205]  This is a great formula, full of amazing safe compounds, give you deeper, cleaner, restful sleep.
[00:16:46.205 --> 00:16:50.769]  And it's in stock, available right now, up 25% off, out of the gates.
[00:16:50.769 --> 00:16:54.532]  So get your InfoWars MD, good night's sleep today, at InfoWars.com.
[00:16:59.557 --> 00:17:00.637]  You wanted to plug RainForce.
[00:17:00.637 --> 00:17:01.558]  Do you like RainForce?
[00:17:01.558 --> 00:17:02.238]  Uh, yeah, yeah.
[00:17:02.238 --> 00:17:04.259]  So, my name is Ken Heckin-Ladley.
[00:17:04.259 --> 00:17:06.520]  How do I write all the books that I do?
[00:17:06.520 --> 00:17:12.803]  Four books with Dr. Judy Majkowicz, four books with Project Veritas Whistleblowers, and now two books with Alex Jones?
[00:17:12.803 --> 00:17:15.864]  That's because I use RainForce every day.
[00:17:16.204 --> 00:17:20.186]  What I always need is I always need some sort of boost in the morning.
[00:17:20.186 --> 00:17:24.128]  And so, you know, I try to exercise, eat well, take good vitamins.
[00:17:24.128 --> 00:17:29.711]  But the one thing that I have really found that makes a difference is brain force.
[00:17:29.711 --> 00:17:37.416]  I'll take brain force in the morning right before I go to my computer and I'm good for the next four or five hours writing a whole lot of stuff.
[00:17:37.416 --> 00:17:43.059]  So it really is true that brain force is something I use every day and it helps me with my writing.
[00:17:43.559 --> 00:17:44.240]  All right, we love you.
[00:17:44.240 --> 00:17:44.861]  We'll be right back.
[00:17:44.861 --> 00:17:49.906]  Get your BrainForce Plus, BrainForce Ultra, and TurboForce at InfowarStore.com.
[00:17:49.906 --> 00:17:50.988]  We'll be right back with hour number two.
[00:17:59.887 --> 00:18:08.090]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the Globals in their own words, planned for our future.
[00:18:08.090 --> 00:18:09.551]  That is a hellish future.
[00:18:09.551 --> 00:18:18.954]  Now you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or Infowarshore.com.
[00:18:18.954 --> 00:18:24.536]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[00:18:24.536 --> 00:18:26.517]  And there's about a thousand left of them right now.
[00:18:27.117 --> 00:18:32.481]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsHero.com.
[00:18:32.481 --> 00:18:36.443]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:18:36.443 --> 00:18:42.307]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[00:18:42.307 --> 00:18:44.409]  I want to thank those of you that have gotten signed copies of the book.
[00:18:45.189 --> 00:18:46.250]  Or unsigned copies.
[00:18:46.250 --> 00:18:56.594]  But I want to encourage all of you who haven't yet to go to Infowarshore.com and get a signed copy and buy a couple of unsigned copies and donate them to the library or give them to the local school.
[00:18:56.594 --> 00:18:57.635]  This is an Infowar.
[00:18:57.635 --> 00:18:59.455]  I'm counting on you and thank you for your support.
[00:18:59.455 --> 00:19:05.178]  Hydrofluorosilicic acid is the third most deadly acid on earth.
[00:19:05.178 --> 00:19:07.859]  And they've got our children drinking that.
[00:19:07.859 --> 00:19:10.480]  This is a psychotic death cult.
[00:19:10.480 --> 00:19:11.221]  Period.
[00:19:11.221 --> 00:19:12.301]  Case closed.
[00:19:12.301 --> 00:19:13.682]  Out to get you and your family.
[00:19:13.682 --> 00:19:14.222]  We shall
[00:19:14.662 --> 00:19:21.947]  The Alexa Pure Breeze, made by the My Patron Supply Ready Hour Group, that's been around about 15 years, became the biggest company in the last six.
[00:19:21.947 --> 00:19:29.513]  They went out, hired engineers, reverse engineered the fancy best water filter system out there that sells for twice the price, and they made it as good
[00:19:30.333 --> 00:19:34.695]  In all the studies, it reduces things to non-detectable levels, thousands of chemicals.
[00:19:34.695 --> 00:19:36.255]  But you can go pay two or three times.
[00:19:36.255 --> 00:19:39.037]  There's four or five other filters out there that are just as good.
[00:19:39.037 --> 00:19:44.279]  We sell the very best, highest-grade water filtration system for half the price of a leading competitor.
[00:19:44.279 --> 00:19:49.741]  And the media says we're bad and a cult for telling you you should filter your water.
[00:19:49.741 --> 00:19:51.382]  You should also filter your shower water.
[00:19:51.382 --> 00:19:52.962]  That's another way you absorb this crap.
[00:19:52.962 --> 00:19:54.503]  But I'm done talking about that.
[00:19:54.503 --> 00:19:57.084]  The point is, you can get the filters at InfoWareStore.com.
[00:19:57.084 --> 00:19:58.285]  They're discounted right now.
[00:19:58.285 --> 00:19:59.005]  Finally back in stock.
[00:20:01.027 --> 00:20:05.649]  Leading a frontal assault on the lies of the New World Order.
[00:20:05.649 --> 00:20:14.214]  It's Alex Jones.
[00:20:14.214 --> 00:20:22.218]  The globalists have come for our bodies.
[00:20:22.218 --> 00:20:24.499]  They've come for our integrity.
[00:20:24.499 --> 00:20:26.880]  They've come for our children.
[00:20:26.880 --> 00:20:28.201]  And this rat-like creature
[00:20:29.986 --> 00:20:31.147]  There he is.
[00:20:31.147 --> 00:20:33.288]  He put that photo on himself.
[00:20:33.288 --> 00:20:35.450]  Stelter put that photo on himself too.
[00:20:35.450 --> 00:20:38.052]  Totally unaware demons.
[00:20:38.052 --> 00:20:39.813]  Their evil shining right through.
[00:20:39.813 --> 00:20:42.975]  And these predators want control of your life.
[00:20:42.975 --> 00:20:43.916]  They want your free speech.
[00:20:43.916 --> 00:20:49.860]  Both men agree that they should be able to arrest anyone that disagrees with big corporations.
[00:20:49.860 --> 00:20:51.361]  Brian Stelter has held forums.
[00:20:51.361 --> 00:20:56.445]  He now works for the World Economic Forum where he openly agrees that we should be arrested for our speech.
[00:20:56.445 --> 00:20:57.806]  We should be forced, injected.
[00:20:59.255 --> 00:21:06.819]  That's called rape, ladies and gentlemen, and both these men want your speech and want control of your body.
[00:21:06.819 --> 00:21:09.961]  This is the type of scum the establishment hires.
[00:21:09.961 --> 00:21:13.102]  So I could joke around about this all day, but it's no laughing matter.
[00:21:13.102 --> 00:21:16.364]  I have the quotes and the articles right here.
[00:21:16.364 --> 00:21:25.129]  He says Simon Wiesenthal called for arresting people for their speech, and these people that disagree with these shots are no less bad than Nazis, and they need to be arrested.
[00:21:27.645 --> 00:21:31.088]  Starting to see a pattern here, ladies and gentlemen.
[00:21:31.088 --> 00:21:33.630]  I'm going to read you these quotes coming up.
[00:21:33.630 --> 00:21:37.353]  But this is serious business.
[00:21:37.353 --> 00:21:38.553]  They're planning new pandemics.
[00:21:38.553 --> 00:21:39.254]  They've said they are.
[00:21:39.254 --> 00:21:41.776]  They're planning more moves and world IDs.
[00:21:41.776 --> 00:21:42.617]  I have it right here.
[00:21:42.617 --> 00:21:46.860]  The UN under the auspice of a world medical ID.
[00:21:46.860 --> 00:21:53.165]  They admit officially it will be the new world currency ID with the ESG tracking everything you do.
[00:21:53.165 --> 00:21:54.686]  Here is the actual report.
[00:21:56.684 --> 00:22:04.648]  Our Common Agenda Policy Brief 5, a global digital compact, an open, free, and secure digital future for all.
[00:22:04.648 --> 00:22:07.489]  Yes, we're giving you freedom.
[00:22:07.489 --> 00:22:09.530]  And that's exactly what these other monsters do.
