[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[00:01:36.705 --> 00:01:38.206]  thesis committee was just floored.
[00:01:38.426 --> 00:01:39.507]  Here's Magic Johnson.
[00:01:40.367 --> 00:01:41.788]  You know, icon of strength.
[00:01:41.828 --> 00:01:43.448]  You know, will he or will he not?
[00:01:43.828 --> 00:01:45.489]  They said to me, die of AIDS.
[00:01:45.729 --> 00:01:51.551]  That was the question I was to answer in my four-hour thesis defense.
[00:01:52.151 --> 00:01:57.813]  And I said, well, and I looked at him kind of like, well, he won't even get AIDS.
[00:01:58.573 --> 00:02:03.099]  If he strengthens his innate immune pathways and never gets another shot.
[00:02:03.620 --> 00:02:05.823]  So he didn't get the right treatments.
[00:02:06.224 --> 00:02:07.806]  He didn't get injected.
[00:02:08.387 --> 00:02:10.610]  And every other athlete got injected.
[00:02:11.639 --> 00:02:14.001]  Um, and, and, and got poisoned.
[00:02:14.521 --> 00:02:21.826]  And, and got, you know, the implication is somehow he was sleeping with prostitutes and he was engaged.
[00:02:22.306 --> 00:02:29.751]  Or that somehow athletes are dirty and will remember people putting on gloves and running out and cleaning the blood up off the floor.
[00:02:30.172 --> 00:02:33.334]  No, that's not, that's just a booster if you're infected with HIV.
[00:02:33.974 --> 00:02:43.037]  If you never get another shot, and you don't ingest genetically modified anything, whether it's a pill, a pill is a poison.
[00:02:43.837 --> 00:02:50.499]  And now, as we know from the wonderful and beautiful Brian Artis, you know, ozempic.
[00:02:50.919 --> 00:02:51.900]  Oh yeah, snake venom.
[00:02:52.161 --> 00:02:55.865]  Yeah, they put snake venom components in these shots.
[00:02:56.285 --> 00:02:58.868]  And the key was syncytin.
[00:02:59.408 --> 00:03:01.230]  S-Y-N-C-Y-T-I-N.
[00:03:01.571 --> 00:03:04.894]  Came from a family of virus called the gamma retroviruses.
[00:03:05.275 --> 00:03:06.676]  That was our October 23, 2009 paper.
[00:03:10.495 --> 00:03:22.379]  That said, that isolated a number of those viruses from people with various neurodegenerative neuroimmune diseases and a plethora of cancer.
[00:03:22.959 --> 00:03:24.040]  So, why?
[00:03:24.380 --> 00:03:28.701]  How a disparate virus was first associated with prostate cancer.
[00:03:28.881 --> 00:03:30.162]  It's called XMRV.
[00:03:30.502 --> 00:03:31.482]  The publication was 2005.
[00:03:31.582 --> 00:03:35.344]  Well, that was a synthetic plasmid.
[00:03:36.244 --> 00:03:38.065]  And that was never in human beings.
[00:03:38.585 --> 00:03:43.849]  But what was in human beings from the injection was the crippling of their immune system.
[00:03:43.909 --> 00:03:44.889]  Gerd Vandenbosch.
[00:03:45.229 --> 00:03:46.890]  Your innate immune system.
[00:03:46.970 --> 00:03:48.031]  Those patterns.
[00:03:48.411 --> 00:03:57.877]  You'll never get to antibody development with all the poisons in the shot because you poison your protection.
[00:03:57.897 --> 00:04:00.818]  You poison your plasma cytoid dendritic cells.
[00:04:01.299 --> 00:04:01.459]  That's 1%.
[00:04:03.840 --> 00:04:12.586]  Of your macrophage antigen presenting population, dendritic cell population, and it makes 97% of the type 1 interferon.
[00:04:13.186 --> 00:04:16.408]  That's what they had to hit, type 1 interferon.
[00:04:16.968 --> 00:04:22.052]  SARS-CoV-2, published in 2004 and injected in every polio vaccine since then.
[00:04:22.672 --> 00:04:23.373]  Who got hurt?
[00:04:23.933 --> 00:04:25.194]  Oh, only the susceptible.
[00:04:25.854 --> 00:04:28.135]  Only people eating a ton of glyphosate.
[00:04:28.535 --> 00:04:29.316]  Only the blacks.
[00:04:29.556 --> 00:04:30.376]  Only the military.
[00:04:30.416 --> 00:04:31.717]  The people most shot.
[00:04:32.077 --> 00:04:33.738]  But the people that could eat clean.
[00:04:35.078 --> 00:04:36.199]  My identical twin.
[00:04:36.819 --> 00:04:38.000]  Her three sons.
[00:04:38.500 --> 00:04:39.260]  They're military.
[00:04:39.380 --> 00:04:44.923]  That's why the left are obsessed with these special organic grocery stores and shops they go to while they kill all of us.
[00:04:47.284 --> 00:04:50.107]  People need to go to your event in Atlanta.
[00:04:50.367 --> 00:04:52.810]  What's the best place for people to visit to find all your great work?
[00:04:53.510 --> 00:04:55.212]  TheRealDrJudy.com.
[00:04:55.232 --> 00:04:58.215]  TheRealDrJudy.com is where everything is.
[00:04:58.235 --> 00:04:58.776]  We love you.
[00:04:58.856 --> 00:04:59.376]  Great job.
[00:04:59.416 --> 00:04:59.837]  God bless.
[00:04:59.677 --> 00:05:25.317]  Plus Mark Dice coming up.
[00:05:25.382 --> 00:05:29.565]  What it does for your immune system, your body, all your cells, is miraculous.
[00:05:29.945 --> 00:05:31.466]  It's discounted at FortWorthStore.com.
[00:05:31.886 --> 00:05:32.927]  Double Patriot points.
[00:05:33.267 --> 00:05:33.948]  Free shipping.
[00:05:34.448 --> 00:05:36.730]  Biggest sale, hands down, of 2023.
[00:05:37.390 --> 00:05:40.092]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[00:05:40.132 --> 00:05:41.954]  So, Christmas has come early.
[00:05:42.014 --> 00:05:43.195]  Black Friday's come early.
[00:05:43.575 --> 00:05:44.756]  And it funds the InfoWar.
[00:05:44.916 --> 00:05:45.817]  Get X2.
[00:05:46.137 --> 00:05:47.698]  Get Vazzo Beats back in stock.
[00:05:47.998 --> 00:05:53.202]  Get all the other great products at InfoWarStore.com right now.
[00:05:53.242 --> 00:05:56.825]   But again, Our fan favorite, my favorite, is X2.
[00:05:57.306 --> 00:05:58.467]  Sold out for over a year.
[00:05:58.807 --> 00:06:00.348]  Could be our last run of our shutdown.
[00:06:00.629 --> 00:06:01.510]  Get it while you can.
[00:06:01.730 --> 00:06:02.130]  X2.
[00:06:02.250 --> 00:06:04.389]  Discount info or store dot com.
[00:06:04.389 --> 00:06:15.769]   From the front lines of the information war, it's Alex Jones.
[00:06:15.769 --> 00:06:18.509]  (dramatic music)
[00:06:18.464 --> 00:06:23.108]  We want to stop these Trump supporters from continuing to say that Joe Biden stole the election.
[00:06:23.148 --> 00:06:24.930]  You're not allowed to say that on social media.
[00:06:24.970 --> 00:06:26.311]  It violates the terms of service.
[00:06:26.331 --> 00:06:27.693]  I won't sign that.
[00:06:27.713 --> 00:06:32.217]  But we want to start arresting them because they're still saying it out and offline.
[00:06:33.427 --> 00:06:39.171]  You know, after the January 6th incident, they banned anybody from claiming that there was election fraud on social media.
[00:06:39.191 --> 00:06:40.432]  We live in Arizona, so we get it.
[00:06:40.972 --> 00:06:43.353]  Well, we'll start arresting them and stop them one way or another.
[00:06:43.494 --> 00:06:43.774]  Love that.
[00:06:43.934 --> 00:06:44.294]  Thank you.
[00:06:45.035 --> 00:06:49.577]  You know, right after the January 6th insurrection, Facebook implemented a policy.
[00:06:50.178 --> 00:06:59.404]  You can't say that Joe Biden stole the election, but people are still saying that off Facebook, and so it's time that, you know, they start getting arrested.
[00:07:00.666 --> 00:07:01.307]  Thank you very much.
[00:07:01.327 --> 00:07:05.212]  I'm not sure what country they think they live in where they can say such things, right?
[00:07:05.232 --> 00:07:06.634]  I appreciate that.
[00:07:07.976 --> 00:07:08.317]  You know what?
[00:07:09.118 --> 00:07:13.404]  They keep making claims about... Yeah, we're gonna start arresting them.
[00:07:15.836 --> 00:07:22.843]  Facebook implemented a policy after the January 6th riot that you can't make election fraud claims.
[00:07:23.664 --> 00:07:27.027]  But people are still saying those kinds of things face-to-face.
[00:07:27.707 --> 00:07:28.388]  Constantly.
[00:07:28.448 --> 00:07:29.789]  You have to be like 18 or something.
[00:07:29.809 --> 00:07:32.012]  Yeah, you're too young to be sounding that kind of thing.
[00:07:34.444 --> 00:07:38.567]  If you can't say it on Facebook, why should you be able to say it at the dinner table?
[00:07:39.087 --> 00:07:39.608]  Thank you.
[00:07:40.548 --> 00:07:51.395]  They're undermining our democracy by making such claims and we feel the best way to stop that is to arrest them, so we just help to support the cause.
[00:07:51.455 --> 00:07:54.677]  I need a few more signatures to stop them.
[00:07:55.118 --> 00:08:02.803]   After the January 6th insurrection, Facebook Banned any talk of election fraud because it undermines democracy.
[00:08:02.843 --> 00:08:05.364]  Just print here, birthdate and a signature.
[00:08:07.786 --> 00:08:09.627]  You know, have you seen they changed the terms of service?
[00:08:09.667 --> 00:08:17.953]  You can't say that widespread election fraud caused Joe Biden to win, but people are still talking about that kind of thing offline.
[00:08:19.193 --> 00:08:25.758]  And so we're going to stop them and save democracy by having them arrested.
[00:08:26.398 --> 00:08:26.658]  Thank you.
[00:08:26.858 --> 00:08:27.479]  Thank you very much.
[00:08:31.030 --> 00:08:31.570]  You hungry, boy?
[00:08:31.770 --> 00:08:32.070]  Yeah.
[00:08:32.130 --> 00:08:32.410]  You hungry?
[00:08:32.550 --> 00:08:32.830]  Yeah.
[00:08:32.870 --> 00:08:32.971]  Ready?
[00:08:33.271 --> 00:08:33.491]  Yeah.
[00:08:33.631 --> 00:08:34.011]  Fetch!
[00:08:35.131 --> 00:08:35.511]  Go get it!
[00:08:35.631 --> 00:08:36.131]  Go get it, boy!
[00:08:36.151 --> 00:08:37.092]  Come on, girl.
[00:08:38.792 --> 00:08:39.632]  Good boy!
[00:08:39.652 --> 00:08:41.793]  Woof, woof!
[00:08:42.533 --> 00:08:43.393]  Good girl!
[00:08:43.413 --> 00:08:44.293]  You like a Snickers bar?
[00:08:44.333 --> 00:08:44.553]  Yeah.
[00:08:44.934 --> 00:08:46.114]  Okay, sit.
[00:08:46.674 --> 00:08:47.214]  Sit down.
[00:08:47.474 --> 00:08:47.934]  Sit.
[00:08:48.794 --> 00:08:49.335]  Roll over.
[00:08:49.355 --> 00:08:50.795]  Roll over.
[00:08:51.975 --> 00:08:53.136]  Good boy!
[00:08:53.156 --> 00:08:55.356]  You're a good girl.
[00:08:55.436 --> 00:08:55.656]  Feet.
[00:08:55.676 --> 00:08:56.736]  Do I actually have to bark?
[00:08:56.756 --> 00:08:56.857]  Yes.
[00:08:57.537 --> 00:08:57.837]  Come on.
[00:08:57.957 --> 00:08:58.317]  Come on, girl.
[00:08:58.357 --> 00:08:58.497]  Woof!
[00:09:01.782 --> 00:09:02.723]  Good girl!
[00:09:03.203 --> 00:09:04.623]  Good girl!
[00:09:05.484 --> 00:09:06.504]  Speak!
[00:09:07.264 --> 00:09:07.864]  Shake!
[00:09:08.504 --> 00:09:09.085]  Shake!
[00:09:09.745 --> 00:09:11.105]  Good girl!
[00:09:12.546 --> 00:09:13.126]  Roll over!
[00:09:14.366 --> 00:09:14.846]  Roll over!
[00:09:15.627 --> 00:09:16.907]  Yay!
[00:09:17.247 --> 00:09:18.367]  Good girl!
[00:09:18.186 --> 00:09:19.186]  Thank you.
[00:09:19.186 --> 00:09:22.186]  [laughter]
[00:09:22.186 --> 00:09:24.186]  Sit.
[00:09:24.186 --> 00:09:25.186]  Sit.
[00:09:25.186 --> 00:09:27.186]  Sit.
[00:09:27.186 --> 00:09:28.186]  Speak.
[00:09:29.066 --> 00:09:29.526]  Speak!
[00:09:30.467 --> 00:09:31.327]  Good boy!
[00:09:36.231 --> 00:09:36.471]  Ready?
[00:09:36.771 --> 00:09:37.271]  Go fetch!
[00:09:37.331 --> 00:09:37.672]  Fetch!
[00:09:37.712 --> 00:09:38.112]  Get it boy!
[00:09:38.132 --> 00:09:38.672]  Go get it!
[00:09:39.433 --> 00:09:39.873]  Get it boy!
[00:09:39.953 --> 00:09:40.193]  Get it!
[00:09:40.894 --> 00:09:44.956]  Good girl!
[00:09:45.377 --> 00:09:46.917]  Good girl!
[00:09:46.938 --> 00:09:46.998]  Sit!
[00:09:46.997 --> 00:09:48.997]  Good girl.
[00:09:48.997 --> 00:09:50.997]  Sit.
[00:09:50.997 --> 00:09:51.997]  Sit.
[00:09:51.997 --> 00:09:53.997]  Roll over.
[00:09:53.997 --> 00:09:54.836]  All over.
[00:09:55.267 --> 00:09:55.788]  Roll over.
[00:09:57.109 --> 00:09:58.631]  Good boy.
[00:09:58.651 --> 00:10:00.032]  Be a good girl.
[00:10:00.092 --> 00:10:00.733]  Speak.
[00:10:03.155 --> 00:10:03.495]  Come on.
[00:10:03.535 --> 00:10:04.036]  Come on, girl.
[00:10:04.056 --> 00:10:04.416]  Speak.
[00:10:05.637 --> 00:10:07.679]  I can't.
[00:10:07.759 --> 00:10:08.160]  I can't.
[00:10:08.200 --> 00:10:10.162]  Roll over.
[00:10:11.363 --> 00:10:11.803]  Roll over.
[00:10:14.025 --> 00:10:15.166]  Good boy.
[00:10:15.186 --> 00:10:16.307]  Be a good boy.
[00:10:16.347 --> 00:10:16.708]  Sit down.
[00:10:17.757 --> 00:10:18.978]  What are you guys doing?
[00:10:19.639 --> 00:10:19.979]  Sit.
[00:10:20.139 --> 00:10:20.260]  Sit.
[00:10:20.280 --> 00:10:21.501]  Sit down.
[00:10:21.641 --> 00:10:22.141]  Sit down, boy.
[00:10:22.702 --> 00:10:22.842]  Where?
[00:10:22.862 --> 00:10:23.343]  Come on, boy.
[00:10:23.583 --> 00:10:23.783]  Sit.
[00:10:24.464 --> 00:10:24.624]  Sit.
[00:10:24.724 --> 00:10:25.244]  Sit down.
[00:10:25.264 --> 00:10:25.545]  All right.
[00:10:26.045 --> 00:10:26.406]  Roll over.
[00:10:26.426 --> 00:10:27.407]  Fuck no!
[00:10:29.368 --> 00:10:34.473]  And that's my first question for Mark Dice.
[00:10:34.493 --> 00:10:37.056]  We're going to play some clips of him calling into radio shows.
[00:10:37.076 --> 00:10:39.498]  He does this and really has a big effect with Sean Hannity and...
[00:10:40.868 --> 00:10:42.209]  Bill O'Reilly and many others.
[00:10:42.649 --> 00:10:43.930]  He's also an author.
[00:10:44.411 --> 00:10:52.156]  You know, people wonder why is it that these guys won't talk about these issues and it all goes back to Operation Mockingbird, which was started back in the 50s.
[00:10:52.696 --> 00:10:55.959]  And this is, again, this is not just me saying this or Alex saying this.
[00:10:55.979 --> 00:11:06.586]  There was a congressional hearing back in the 1970s, in the mid-70s, that uncovered that the CIA was paying reporters to plant stories and also gatekeep.
[00:11:06.927 --> 00:11:09.789]   And so you wonder why these issues Don't make it out.
[00:11:09.849 --> 00:11:17.557]  I mean, now it's just admitted that the Pentagon alone is spending $5 billion on domestic propaganda and buying reporters and planning stories.
[00:11:17.577 --> 00:11:19.059]  I mean, that's why it's everywhere.
[00:11:19.619 --> 00:11:20.600]  Do you love America?
[00:11:20.640 --> 00:11:23.864]  Then love the military and join now to Fight Al Qaeda.
[00:11:24.464 --> 00:11:27.588]  Here's a quote directly from the Church Committee Investigations.
[00:11:27.608 --> 00:11:28.650]  This is a report published in 1976.
[00:11:29.010 --> 00:11:30.832]  So this isn't me saying this.
[00:11:30.872 --> 00:11:32.194]  This isn't Alex Jones saying this.
[00:11:32.234 --> 00:11:36.059]  This is directly from a congressional hearing from the published report.
[00:11:36.099 --> 00:11:41.806]   And it says, quote, And now it's tens of thousands.
[00:11:41.826 --> 00:11:43.087]  That's why there's CIA recruiting ads everywhere.
[00:11:42.926 --> 00:11:47.086]  influence public opinion for the use of covert propaganda.
[00:11:47.086 --> 00:11:49.456]   These individuals provide the CIA with direct access to a large number of
[00:11:49.456 --> 00:11:53.345]   newspapers, periodicals, scores of press services and news agencies, radio and
[00:11:53.345 --> 00:11:57.166]   television stations, commercial book publishers and foreign media outlets. And
[00:11:57.166 --> 00:12:01.605]   back in the 70s they were paying hundreds of millions of dollars a year. And now
[00:12:01.605 --> 00:12:05.235]   it's tens of thousands that's why there's CIA recruiting ads everywhere
[00:12:05.235 --> 00:12:09.726]   they're just taking everything over. Here's a quote from an individual
[00:12:09.726 --> 00:12:14.166]   back in the 70s that was involved with Operation Mockingbird Thomas Brayden
[00:12:14.107 --> 00:12:27.989]   He was the head of the International Organizations Division, which is an element within the CIA that basically implemented this operation, and he openly admitted after the hearing Quote, if the CIA director wanted to extend a present, I
[00:12:27.989 --> 00:12:32.450]   think he called it, supposed he thought this man could use $50,000. He's
[00:12:32.450 --> 00:12:33.590]  working well and doing a good job.
[00:12:33.590 --> 00:12:38.510]   He could hand it to him and never have to account to anybody. There was simply no limit to the money
[00:12:38.510 --> 00:12:45.490]   he could spend, no limit to the people that he could hire, no limit to the activities. It could decide where to go.
[00:12:45.490 --> 00:12:50.710]   And today we have the army going around for two decades we know of, buying off most of mayors and police chiefs.
[00:12:52.589 --> 00:12:59.349]   All right, he's with us for the hour He's a hard guest to get, the mighty media analyst Mark Dice.
[00:13:00.630 --> 00:13:12.394]  His new book, as of yesterday, I'm sure it's even higher today, he's done no interviews until now, gotten zero reviews from the media, paid zero dollars in marketing, and his new book is number four on Amazon's bestseller list today.
[00:13:13.174 --> 00:13:18.336]  And the book is, I've been reading it, I'm almost done, The War on Conservatives by Mark Dice.
[00:13:19.252 --> 00:13:22.673]  So congratulations to Mark Dice on this big hit.
[00:13:24.294 --> 00:13:26.915]  Obviously, I'm going to play some of the old clips, the new clips.
[00:13:27.595 --> 00:13:29.756]  It's hard to get Mark on because he's such a busy guy.
[00:13:30.176 --> 00:13:31.237]  Mark, great to have you on.
[00:13:31.257 --> 00:13:32.457]  What a crazy time to be alive.
[00:13:32.938 --> 00:13:34.398]  It's wild that I've known you.
[00:13:35.639 --> 00:13:38.140]  That was a clip we just played from 14 years ago.
[00:13:38.180 --> 00:13:40.361]  I've probably known you 16, 17, 18 years.
[00:13:40.881 --> 00:13:42.621]  Mark Dice, it's so good to have you.
[00:13:42.962 --> 00:13:43.762]  Where should we start?
[00:13:45.416 --> 00:13:45.856]  Yeah, it's great.
[00:13:45.876 --> 00:13:51.518]  I wanted to make sure that the audience, the radio audience, understood that that clip of us talking about Operation Mockingbird was from 2009.
[00:13:52.279 --> 00:13:58.881]  And so, yeah, I think the first time I was a guest on your show was almost 20 years ago.
[00:13:58.961 --> 00:13:59.882]  It was 19 years ago.
[00:13:59.922 --> 00:14:00.842]  I think it was 2005.
[00:14:00.882 --> 00:14:30.133]   And for those who don't know, Alex is largely responsible for launching my career because I came across Tim on the internet before the days of social media back in the old BitTorrent days finding some of his documentary videos about Bohemian Grove and clips from his radio show back then which he was recording video of and he was generous enough and saw the potential in me and I just want to thank you again for this and I want the audience to understand how long that you've been doing this and how much you've helped other people behind the scenes
[00:14:30.891 --> 00:14:35.663]  In 2011, I had a book that was coming out called Big Brother The Orwellian Nightmare Come True.
[00:14:36.445 --> 00:14:40.275]  Alex was generous enough to front me the money to pay to print.
[00:14:41.049 --> 00:14:41.509]  We're in a war.
[00:14:41.329 --> 00:14:44.809]   thousand copies or something of that book and bought a bunch of them in
[00:14:44.809 --> 00:14:49.528]   advance and then helped me sell them and that gave me enough money to quit my day
[00:14:49.528 --> 00:14:54.088]   job and then go full-time as a media analyst. So I just want to thank you again
[00:14:54.088 --> 00:14:58.769]   for that Alex. Mark I want to thank you and I want to thank the audience. We're
[00:14:58.769 --> 00:15:05.769]   in a war. When I recognize talent I'm gonna promote it. It's beautiful and
[00:15:03.973 --> 00:15:07.816]  And now you've reached hundreds of millions of people conservatively.
[00:15:07.956 --> 00:15:09.617]  And now everything we talked about is coming true.
[00:15:10.077 --> 00:15:11.998]  Now Elon Musk sounds like Mark Dice.
[00:15:13.079 --> 00:15:14.660]  Tucker Carlson sounds like Mark Dice.
[00:15:14.760 --> 00:15:16.761]  I mean, but you're an OG.
[00:15:16.981 --> 00:15:18.502]  Like you said, 19 years, brother.
[00:15:18.763 --> 00:15:22.025]  You're an OG, and it's just great to see you still fighting and doing a better job than ever.
[00:15:22.045 --> 00:15:26.828]  You know, the success from my book isn't really about me.
[00:15:26.988 --> 00:15:30.890]  It's about the power of social media and what the technology has been able to do.
[00:15:31.070 --> 00:15:41.444]   And as we know, The empire struck back after Donald Trump was elected in 2016 because we used the technology in order to communicate and build huge audiences.
[00:15:41.504 --> 00:15:52.469]  And that was really before most of the algorithm manipulation, before the censorship, before them boosting the search results for mainstream channels on YouTube and in the other platforms.
[00:15:52.709 --> 00:16:04.233]   And so the fact that I'm just able to announce that I have a new book on YouTube and it gets to the top of Amazon's bestseller list again, With no interviews, with no promotion.
[00:16:04.293 --> 00:16:05.453]  First interview that I've ever done.
[00:16:05.473 --> 00:16:07.934]  Alex knows I rarely, if ever, even do interviews.
[00:16:07.974 --> 00:16:11.095]  I'll make an exception for him about once, maybe twice a year.
[00:16:11.715 --> 00:16:24.919]  But that shows also how fake the mainstream is because you see all of these other people that have books that come out that are supposedly bestsellers and they get reviews in the New York Times and they do interviews on all of the major shows.
[00:16:24.939 --> 00:16:33.478]   They do the entire circuit and they still can't top what a guy in his kitchen on a laptop Was able to do.
[00:16:33.758 --> 00:16:44.004]  And the fact that Alex and I have been talking about Operation Mockingbird for 20 years, him probably even longer, and the fact that still the mainstream conservatives still don't get it.
[00:16:44.424 --> 00:16:50.448]  You know, I don't understand how we have had seven, eight years of people talking about fake news, the deep state.
[00:16:51.228 --> 00:16:51.569]  Cool.
[00:16:51.949 --> 00:16:56.892]  I mean, this is Operation Mockingbird to the 10th power.
[00:16:56.952 --> 00:16:58.052]  I mean, it's right in front of him.
[00:16:58.092 --> 00:16:58.253]  Sorry.
[00:16:58.273 --> 00:16:58.553]  Go ahead.
[00:16:59.453 --> 00:17:00.054]  And also, yeah.
[00:17:01.562 --> 00:17:02.103]  It's admitted.
[00:17:02.183 --> 00:17:03.023]  We have the evidence.
[00:17:03.083 --> 00:17:05.045]  It was done in a congressional hearing.
[00:17:05.145 --> 00:17:19.718]  So, it is strange that none of the Fox News pundits, none of the Conservative, Inc., social media circle-jerk pundits will address Operation Mockingbird, and they'll talk about the fake news, they'll talk about the deep state.
[00:17:20.239 --> 00:17:21.420]  There's a term for it.
[00:17:21.480 --> 00:17:22.521]  There's a program.
[00:17:22.741 --> 00:17:30.832]   And just like every secret government program, and the FBI, and the other alphabet agencies, when they get caught, and it's fully admitted, then they say, okay, well, we did
[00:17:30.832 --> 00:17:33.892]  that, but we won't do it anymore.
[00:17:33.892 --> 00:17:39.971]   And even the congressional hearing of Operation Mockingbird was a cover-up. You know, the senators
[00:17:39.971 --> 00:17:43.971]   involved later said that that was actually just a limited hangout. They didn't want the American
[00:17:43.971 --> 00:17:50.692]   people to see the extent of what it is. And they also had in that report a discussion about how
[00:17:50.692 --> 00:17:55.411]   Operation Mockingbird not just controlled the media, literally paying reporters and pundits
[00:17:55.411 --> 00:18:02.052]   and editors under the table to act as propagandists and gatekeepers. They funded the publication of
[00:18:02.052 --> 00:18:03.092]  books.
[00:18:03.277 --> 00:18:08.160]  They literally had ghostwriters writing books they would pay to have them published.
[00:18:08.520 --> 00:18:31.450]   They only mentioned one of the books in the Operation Mockingbird church hearing report, but they did admit That they would have their ghostwriters reach out to publishers, pitch manuscripts, pay for them to be printed, have their Operation Mockingbird... Sure, and when you go to the bookstore or you go to an airport, whatever the in-caps are, whatever they're pushing at you, is literally CIA-controlled.
[00:18:31.871 --> 00:18:32.251]  Keep going.
[00:18:33.720 --> 00:18:57.727]  This is why someone like Cassidy Hutchinson, who most Americans have no idea who she is, those who did see her testimony during the live hearing of the January 6th kangaroo court, forgot about her because she was that surprise bombshell witness, you know, some low-level staffer that worked in the Trump administration who claimed that Donald Trump, you know, tried to grab the steering wheel on the car to force the driver to go to the Capitol when they refused to take him there.
[00:18:58.007 --> 00:18:59.928]  So she just had a book come out a few weeks ago.
[00:19:00.783 --> 00:19:03.324]  It was number one on every best-selling list.
[00:19:03.604 --> 00:19:11.127]  She did the rounds on every liberal media outlet as if she held the secret key to bringing down the Trump administration.
[00:19:12.187 --> 00:19:17.769]  And her book, by the way, contradicted some previous testimony of hers because obviously she most likely didn't even write half the book.
[00:19:17.809 --> 00:19:19.069]  It was just done by a ghostwriter.
[00:19:19.349 --> 00:19:20.450]  She'll sit down with interviews.
[00:19:21.010 --> 00:19:27.575]   But it's books like that and books like The ones trying to take down the Trump administration.
[00:19:27.595 --> 00:19:28.596]  Remember the Anonymous?
[00:19:29.256 --> 00:19:39.201]  A warning by Anonymous, which turned out to be some operative in the Trump administration who was working, admittedly, with the Democrat resistance to try to undermine the Trump administration.
[00:19:39.261 --> 00:19:51.327]  Later revealed his name, but he got a book deal and it was this number one bestseller talking about how a Trump administration official is trying to work within the system to stop him from, you know, destroying the country.
[00:19:52.136 --> 00:19:59.040]  These are all Operation Mockingbird programs, and so I'm glad that you played that clip of us talking about it in 2009.
[00:19:59.360 --> 00:20:14.111]   Someday, maybe, the mainstream conservative pundits, although there's not much hope for Fox News now that Tucker's not there, will actually address I totally agree, because we know that Obama set up a stay-behind network.
[00:20:14.832 --> 00:20:18.356]  We know he put all this in place, expanded Mockingbird to try to block Trump.
[00:20:18.896 --> 00:20:23.582]  And we finally see some weaponization hearings and some censorship hearings, but they're only scratching the surface.
[00:20:24.062 --> 00:20:25.484]  It's like, how stupid can they be?
[00:20:25.504 --> 00:20:26.545]  But the big takeaway is...
[00:20:27.844 --> 00:20:31.386]  When my book hit number one on all the charts, New York Times wouldn't put it number one.
[00:20:31.726 --> 00:20:33.327]  So we know those charts are all fake.
[00:20:33.347 --> 00:20:37.069]  The real charts, Amazon, you're at number four as of yesterday.
[00:20:37.089 --> 00:20:38.129]  I don't know what it is today.
[00:20:38.689 --> 00:20:47.474]  All the king's horses and all the king's men and all their billions in funding can't beat Mark Dice, which shows how weak they are, plus what a great writer you are.
[00:20:48.803 --> 00:20:49.704]  And I appreciate that.
[00:20:49.984 --> 00:20:51.304]  And there was a major glitch.
[00:20:51.344 --> 00:20:57.928]  The launch was quite a disaster because when people search my name on Amazon, that book doesn't even come up in the top search results.
[00:20:57.988 --> 00:20:59.789]  It's buried way, way down.
[00:20:59.809 --> 00:21:00.709]  The War on Conservatives.
