[00:00:00.000 --> 00:00:02.759]  (dramatic music)
[00:11:56.537 --> 00:11:58.318]  Or something else is going on here.
[00:11:59.438 --> 00:12:00.979]  Because something is off with that man.
[00:12:01.059 --> 00:12:02.900]  You can see it every time he steps to the podium.
[00:12:03.180 --> 00:12:09.564]  But his whole team... And they will indict Donald Trump a fourth time.
[00:12:11.075 --> 00:12:21.683]  It'll probably happen maybe after, if Devin Archer does a public testimony or something else big breaks for the public to see that the mainstream media can't bury when it comes to the Biden crime family, that they'll do the fourth indictment.
[00:12:21.743 --> 00:12:22.443]  It is inevitable.
[00:12:22.983 --> 00:12:23.944]  They will arrest him.
[00:12:24.004 --> 00:12:24.885]  They'll get the mugshot.
[00:12:24.905 --> 00:12:25.825]  They'll probably throw him in jail.
[00:12:27.407 --> 00:12:35.272]  Now there's a rumor that the people in charge of that down in Georgia are really licking their chops.
[00:12:35.472 --> 00:12:39.455]  I mean, like hyenas or vultures with a carcass sitting there.
[00:12:39.475 --> 00:12:40.256]  That's how they look at this.
[00:12:41.089 --> 00:12:48.454]  So these are deranged lunatics that are really, really animalistic in their approach.
[00:12:51.797 --> 00:12:55.159]  And we're just, you know, we're just about to experience it all.
[00:12:55.199 --> 00:12:58.822]  And the average American that doesn't want anything to do with this is starting to learn about it too.
[00:12:58.862 --> 00:13:06.748]  And they might not have to deal with the political persecution and the Democrats weaponizing the government against you to destroy your life, but your grocery bill is doubling.
[00:13:07.248 --> 00:13:08.409]  I went grocery shopping last night.
[00:13:09.554 --> 00:13:11.896]  I pretty much get the same thing every time I go.
[00:13:12.997 --> 00:13:20.965]  My once a week trip to the grocery store, pretty much get the exact same thing, give or take a couple items, give or take maybe 50 bucks on the grocery bill.
[00:13:21.505 --> 00:13:24.008]  Highest grocery bill I've ever had.
[00:13:25.950 --> 00:13:27.251]  Highest grocery bill I've ever had.
[00:13:27.651 --> 00:13:33.016]  And I'm just curious because, I mean I can speak for myself, are you guys in the crew experiencing the same thing?
[00:13:33.076 --> 00:13:34.638]  Are your grocery bills bigger than ever before?
[00:13:36.261 --> 00:13:38.262]  Everybody in the crew just echoed yes.
[00:13:38.462 --> 00:13:39.503]  So everybody's seeing this.
[00:13:40.383 --> 00:13:42.084]  Your energy bill has probably doubled.
[00:13:46.326 --> 00:13:52.089]  Of course, you've seen now price of the pump is starting to once again approach record highs.
[00:13:53.309 --> 00:13:56.211]  Everybody's now talking about the housing market, which is a complete disaster.
[00:13:56.991 --> 00:13:58.352]  Mortgage rates up over 7%.
[00:14:01.124 --> 00:14:08.710]  So whether you are even politically trying to fight these people, or culturally, or just in the arena with these people, they're now coming to crush you.
[00:14:10.091 --> 00:14:15.476]  And what has been the ultimate power of the American individual?
[00:14:15.616 --> 00:14:33.044]   It's been the fact that we are independent enough, and we have a strong enough economy in the free market, Truly a free market republic that, you know, we have capital, we have assets, we have breathing room to actually take a stand if we need to.
[00:14:33.385 --> 00:14:34.906]  To actually coalesce if we need to.
[00:14:35.226 --> 00:14:36.707]  That's all being ripped away.
[00:14:36.727 --> 00:14:40.250]  And now the average American has less than $1,000 in savings.
[00:14:41.250 --> 00:14:47.075]  Americans that are making six figures a year, $100,000 and up, 40% of them live paycheck to paycheck.
[00:14:48.896 --> 00:14:49.817]  And so that's what they have to do.
[00:14:49.837 --> 00:14:51.158]  They have to bleed you out.
[00:14:52.466 --> 00:15:00.435]  They have to bleed you out to such an extent that you can't afford to live anymore, and then you have to go into their smart cities, and you have to go into their super smart cities.
[00:15:01.604 --> 00:15:07.786]  And go into their air conditioning controlled units if you want any food or any water because you're just totally cut off.
[00:15:07.906 --> 00:15:09.887]  Your energy has to be rationed.
[00:15:09.907 --> 00:15:10.847]  Your food has to be rationed.
[00:15:11.107 --> 00:15:13.768]  And that's what's really behind the leftist movement.
[00:15:13.788 --> 00:15:16.289]  Now the average Democrat, liberal voter, they don't have a clue.
[00:15:16.309 --> 00:15:16.989]  They're morons.
[00:15:17.289 --> 00:15:18.169]  I've got proof of that.
[00:15:18.470 --> 00:15:21.451]  They go into the Amazon store or the Whole Foods store.
[00:15:21.471 --> 00:15:23.711]  They've got a microchip and they're saying, look at how cool this is.
[00:15:23.751 --> 00:15:25.352]  Yeah, look at how cool it is.
[00:15:25.412 --> 00:15:28.133]  You're about to get digital shackles.
[00:15:29.013 --> 00:15:37.879]  You're about to get digital shackles on your body for the rest of your life, and you're so naive, you think it's cool.
[00:15:37.959 --> 00:15:39.800]  You probably think the vaccine is cool.
[00:15:39.840 --> 00:15:41.301]  You probably think the mask is cool.
[00:15:41.581 --> 00:15:43.263]  You probably think electric cars are cool.
[00:15:43.583 --> 00:15:48.706]  You have fully bought in, and in five years, if you win, you will be a slave.
[00:15:49.707 --> 00:15:51.008]  But it's cool now, they think.
[00:15:53.976 --> 00:15:55.257]  It's funding that keeps us on air.
[00:15:55.297 --> 00:15:59.258]  We've got just enough, and there's some people trying to argue that's not enough, just to shut us down.
[00:15:59.338 --> 00:16:01.339]  But you're going to come through, the products are ready to ship.
[00:16:01.479 --> 00:16:03.520]  Infowarestore.com, finally back in stock.
[00:16:04.020 --> 00:16:13.544]  Vitamin Mineral Fusion, all the amino acids, all the vitamins that are essential, key amino acids as well for better absorption, critical for your immune system, all your body's functions, your stamina, your energy, everything.
[00:16:13.624 --> 00:16:17.545]  Vitamin Mineral Fusion, back in stock at Infowarestore.com or 888-253-3139.
[00:16:17.565 --> 00:16:18.226]  There's also a P.O.
[00:16:18.246 --> 00:16:20.747]  box where you can order on the site, Infowarestore.com as well.
[00:16:23.848 --> 00:16:29.413]  Well, we also have Silver Bullet, 30 parts per million, colloidal silver, sold out for years, now available again.
[00:16:29.493 --> 00:16:33.937]  So important to have in your medicine chest, in your stockpile, but also just good for regular use.
[00:16:34.138 --> 00:16:35.879]  M4 War Store has it all.
[00:16:36.100 --> 00:16:38.422]  M4 War Store, nitric boost for your heart.
[00:16:38.642 --> 00:16:41.525]  We've got all of Super Female Vitality, close to selling out.
[00:16:41.565 --> 00:16:45.128]  We have the Christmas Comes in August sale going right now.
[00:16:45.187 --> 00:16:49.227]   get a book, get a film, a few copies left in my book, The Great Reset and the War for
[00:16:49.227 --> 00:16:52.187]  the World, that's a fundraiser or buy it regular hard copy.
[00:16:52.187 --> 00:16:57.437]   Infowarsstore.com has the signed and unsigned books, The Great Reset and the War
[00:16:57.437 --> 00:17:01.706]   for the World and we also have the new CBD oil, we have the regular thousand
[00:17:01.706 --> 00:17:04.956]   milligram at about half the price you're gonna pay from leading competitors, that's
[00:17:04.956 --> 00:17:07.003]   highest rated, it's It's wonderful.
[00:17:07.283 --> 00:17:08.204]  It's a little bit lower price.
[00:17:08.484 --> 00:17:12.908]  But we now have 3,000 milligram made right here in Texas from one of the top labs.
[00:17:13.268 --> 00:17:14.490]  That's a great deal as well.
[00:17:14.530 --> 00:17:15.350]  We've private labeled it.
[00:17:15.390 --> 00:17:18.093]  They give it to you about 30% off what they're even selling it for.
[00:17:18.113 --> 00:17:21.395]  It's 50% off what retailers are selling their other brand for.
[00:17:21.475 --> 00:17:23.557]  We private labeled it as Rebel Zen.
[00:17:23.757 --> 00:17:30.363]  Amazing CBD oil for all your nerves, your electrochemical system in your body, your neurons, your neurological systems.
[00:17:30.503 --> 00:17:31.103]  It's so good.
[00:17:31.123 --> 00:17:31.903]  Does it get you high?
[00:17:31.963 --> 00:17:32.844]  Does it depress you?
[00:17:32.884 --> 00:17:37.245]  This makes you clean and focused, but also helps you rest better, but doesn't make you sleepy.
[00:17:37.285 --> 00:17:38.965]  Just helps you have better, deeper rest.
[00:17:39.025 --> 00:17:41.226]  It goes great with our other sleep aid products.
[00:17:41.306 --> 00:17:41.766]  It's all there.
[00:17:41.826 --> 00:17:47.247]  Rebels Inn, 33% off, super high quality, full spectrum CBD oil at infowarstore.com.
[00:17:47.267 --> 00:17:47.707]  So get it.
[00:17:47.847 --> 00:17:50.948]  Vitamin Refusion, Silver Bullet, Colloidal Silver, 30 parts per million.
[00:17:51.008 --> 00:17:53.549]  Rebels Inn and more, infowarstore.com.
[00:17:53.809 --> 00:17:59.410]  Tell us about the products, how we support you, how we support all of ourselves, and the big event coming up.
[00:18:00.515 --> 00:18:01.276]  Well, yeah.
[00:18:01.456 --> 00:18:09.421]  The first one, obviously, you can go to MyPillow.com, use that promo code, ALEX, and you can get all these great discounts on all of our products.
[00:18:09.641 --> 00:18:15.004]  And just by visiting this site, you're going to get a $20 free gift emailed to you immediately.
[00:18:15.444 --> 00:18:22.128]  And there's the biggest special we have right now, the 20-year anniversary MyPillow for 1998 for the queen size.
[00:18:22.249 --> 00:18:30.048]   Normally $69.98. We're celebrating our anniversary with what my employees love doing best, producing and making the
[00:18:30.048 --> 00:18:30.889]  MyPillow.
[00:18:30.889 --> 00:18:39.807]   And the model of businessmen and women with can-do know-how using the money for Americana freedom to fight the globalists
[00:18:39.807 --> 00:18:40.568]  is what they fear.
[00:18:40.638 --> 00:18:41.798]  That's what the debanking is about.
[00:18:42.138 --> 00:18:43.679]  That's what the financial attacks are about.
[00:18:43.959 --> 00:18:51.563]  That's why we've got to rush to support MyPillow.com and InfoWars.com, plus their great products at both places, because we are the tip of the spear.
[00:18:53.834 --> 00:19:05.358]  With respect to Alex Jones or anybody else being censored from Twitter, if Twitter's a free speech platform, which is what Elon Musk's thesis for running the platform is, free speech means that there's no such thing as a wrong opinion.
[00:19:05.598 --> 00:19:07.899]  We fought an American Revolution in this country for what?
[00:19:08.399 --> 00:19:17.666]   For the vision that we the people Decide in a constitutional republic how we settle our differences through free speech and open debate in the public square.
[00:19:18.007 --> 00:19:22.370]  Now that old world monster rears its ugly head again saying that, no, no, no, we don't trust the people.
[00:19:22.611 --> 00:19:23.451]  I reject that vision.
[00:19:23.471 --> 00:19:26.114]  The American Revolution rejects that vision.
[00:19:26.134 --> 00:19:28.736]  That is what the World Economic Forum agenda is about.
[00:19:29.016 --> 00:19:30.718]  It is a 1776 question.
[00:19:30.838 --> 00:19:32.499]  I stand on the side of the Great Uprising.
[00:19:33.240 --> 00:19:36.081]  Standing up and saying absolutely not, heck no to the Great Reset.
[00:19:36.300 --> 00:19:44.461]   We the people decide as citizens of sovereign nations how we actually determine our future
[00:19:44.461 --> 00:19:45.461]  through self-determination.
[00:19:45.461 --> 00:20:09.461]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:09.461 --> 00:20:23.461]  [Music]
[00:20:23.547 --> 00:20:38.953]  What's craziest about the current political battles is you see the American left embracing their own demise, embracing their own destruction, biting the hand that feeds them hell, trying to chop it off.
[00:20:40.413 --> 00:20:41.333]  And they just can't see it.
[00:20:41.473 --> 00:20:44.855]  And the truth is, the reason they can't see it is because they're filled with so much hatred.
[00:20:46.435 --> 00:20:48.476]  Hatred for you, hatred for the country.
[00:20:48.496 --> 00:20:51.057]  A million different things they hate.
[00:20:52.332 --> 00:20:56.674]  And when you're that blind by hatred, you can't see the true enemies in front of you.
[00:20:56.694 --> 00:20:58.895]  You can't even see the next level.
[00:20:58.935 --> 00:21:00.396]  You can't even see the next move.
[00:21:01.096 --> 00:21:03.877]  And so that's why you see this being celebrated.
[00:21:05.838 --> 00:21:08.920]  Now with the microchips in your hand.
[00:21:09.960 --> 00:21:15.265]  They can open your car and open your apartment door and now you can pay for groceries in it.
[00:21:15.705 --> 00:21:23.492]  And look at the NPC here thinking this is the salvation, thinking this is the freedom, when it's really the shackles here in Clip 8.
[00:21:24.693 --> 00:21:28.693]   I'm at Whole Foods and I'm about to pay for my groceries with my phone.
[00:21:28.693 --> 00:21:31.693]  It'll work.
[00:21:31.693 --> 00:21:38.693]  That's the coolest thing ever.
[00:21:38.963 --> 00:21:39.823]  Coolest thing ever.
[00:21:40.523 --> 00:21:42.504]  Now let's be clear about something here.
[00:21:42.604 --> 00:21:43.444]  I'm not a Luddite.
[00:21:44.344 --> 00:21:46.225]  I'm not against technological advancements.
[00:21:46.285 --> 00:21:47.465]  In fact, I really like them.
[00:21:47.586 --> 00:21:50.046]  I think it has made our life easier.
[00:21:50.226 --> 00:21:57.769]  It's made things more accessible, abundant, highest standard of living probably than most other humans that have ever walked this planet.
[00:21:59.700 --> 00:22:02.842]  And we're about to sell it all down the drain because of that exactly.
[00:22:03.203 --> 00:22:08.446]  So, oh, you might think, well, yeah, okay, microchip in the hand to access all my stuff or have all my information.
[00:22:08.687 --> 00:22:09.647]  Maybe that is convenient.
[00:22:09.687 --> 00:22:13.190]  Maybe that can be used to empower us and advance us.
[00:22:14.451 --> 00:22:20.175]  But to not understand what looks behind us, to not understand what looks behind this is just to be a fool.
[00:22:21.744 --> 00:22:22.885]  And we've already seen a taste of it.
[00:22:23.005 --> 00:22:25.447]  Oh sure, that's a nice microchip you have in your arm.
[00:22:25.867 --> 00:22:30.330]  Makes it real easy to get access to your car and apartment.
[00:22:30.350 --> 00:22:33.973]  You don't have to worry about losing your keys or your wallet or your ID.
[00:22:34.293 --> 00:22:37.055]  It's all right there in your wrist.
[00:22:38.996 --> 00:22:39.657]  Sounds great.
[00:22:39.817 --> 00:22:45.101]  But what happens when all of a sudden you don't get access to it anymore?
[00:22:47.002 --> 00:22:48.483]  Did you consume too much meat?
[00:22:50.765 --> 00:22:52.406]  Did you consume too much energy?
[00:22:52.446 --> 00:22:54.267]  Did you share the wrong social media posts?
[00:22:54.287 --> 00:22:55.668]  Did you say the wrong thing?
[00:22:56.768 --> 00:22:59.170]  Who knows, at some point they might be able to read your thoughts.
[00:22:59.210 --> 00:23:01.131]  Did you think the wrong thing?
[00:23:03.232 --> 00:23:05.513]  And all of a sudden that access is gone.
[00:23:06.834 --> 00:23:07.875]  And then what do you become?
[00:23:09.216 --> 00:23:09.816]  A slave.
[00:23:13.578 --> 00:23:41.482]   You see, that's why they deflect And they want you to think about racism, or global warming, or a virus, so that you don't see the real tyranny, the real global enslavement that is standing right in front of you, a demonic entity, drooling through its gnashing fangs, blood dripping out of its eyeballs, ready to consume you.
[00:23:43.323 --> 00:23:44.123]  And that's what this is.
[00:23:46.823 --> 00:23:50.026]  And that's why you see the vitriol to any that oppose it.
[00:23:50.066 --> 00:23:51.928]  That's why you see the political persecution.
[00:23:51.948 --> 00:23:53.669]  That's why you see the weaponized government.
[00:23:54.150 --> 00:23:55.010]  The censorship.
[00:23:56.232 --> 00:23:59.895]  Because this is a beast we face.
[00:24:01.596 --> 00:24:04.839]  And to not see it is to live in ignorance.
[00:24:05.720 --> 00:24:06.681]  To be a fool.
[00:24:07.502 --> 00:24:08.963]  And there are many among us, no doubt.
[00:24:09.063 --> 00:24:11.485]  Now, ladies and gentlemen, let me do something real quick here.
[00:24:11.645 --> 00:24:12.967]  Let me tell you what's coming up tonight.
[00:24:14.104 --> 00:24:19.026]  I've kind of abandoned my host duties and just started waxing and getting into the content here, but not even telling you what's coming up.
