[00:00:00.000 --> 00:00:03.359]  [BEEPING]
[00:02:42.083 --> 00:02:47.986]  Fintanar, the communist Chinese dragon here, with orders for all good Americans to do what you're told.
[00:02:48.806 --> 00:02:56.814]  Do not play Alex Jones' new video game, New World Order Wars, that disrespects good leaders that work for G.G.P.
[00:02:57.054 --> 00:02:59.116]  and are taking all your freedoms for your own good.
[00:02:59.637 --> 00:03:00.838]  Let them censor.
[00:03:01.138 --> 00:03:02.359]  Let them control you.
[00:03:02.640 --> 00:03:06.323]  And do not go get the game at alexjonesgame.com.
[00:03:06.423 --> 00:03:12.022]   That is an order directly from J.C.Ping, the Democratic Party, and the Justice Department.
[00:03:12.022 --> 00:03:12.522]  [Buzzer]
[00:03:12.522 --> 00:03:15.823]   White, trans, masculine, femme, non-binary, disabled, neurodivergent, obsessive-compulsive,
[00:03:15.823 --> 00:03:17.223]  chronically ill, unitary, and universalist.
[00:03:17.223 --> 00:03:17.723]  [Buzzer]
[00:03:17.723 --> 00:03:21.223]  [Shouting]
[00:03:21.223 --> 00:03:23.223]  This is some really tough news.
[00:03:23.398 --> 00:03:29.722]  For the first time in the history of our poll, Trump is beating President Biden in a head-to-head matchup.
[00:03:30.202 --> 00:03:31.383]  And I love your ears.
[00:03:32.383 --> 00:03:32.904]  I love them.
[00:03:32.944 --> 00:03:33.804]  They're really cool.
[00:03:33.944 --> 00:03:34.525]  What's your name?
[00:03:36.526 --> 00:03:37.967]  You are a dangerous threat.
[00:03:41.974 --> 00:03:58.328]   I just caught you Americans looking at that evil game New World Order was exclusively available at AlexJonesGame.com I do not want to have to censor you and put you in for the labor camp.
[00:03:58.828 --> 00:04:03.594]  Do not look at game and do not download game and do not share game.
[00:04:03.994 --> 00:04:05.435]  Roll over and die.
[00:04:05.976 --> 00:04:08.399]  Imagine if people stopped playing it and watching it.
[00:04:08.759 --> 00:04:10.801]  They will not bow down and worship us.
[00:04:11.021 --> 00:04:11.942]  No, no, no.
[00:04:12.483 --> 00:04:18.108]  Well, I'm not allowed to play all these different levels and take on all these wonderful good people.
[00:04:18.428 --> 00:04:20.770]  Poop-throwing zombies in San Francisco.
[00:04:21.131 --> 00:04:23.293]  Hillary riding a broom like a witch.
[00:04:24.073 --> 00:04:27.977]  Oh, there's so many others like Trudeau and Klaus Schwab.
[00:04:28.277 --> 00:04:29.218]  It goes on and on.
[00:04:30.619 --> 00:04:32.340]  Oh, Shane, my God.
[00:04:32.580 --> 00:04:34.702]  Oh, many levels.
[00:04:34.782 --> 00:04:41.145]  Let's make fun of our precious little communist minions and give people hope and they have fun.
[00:04:41.205 --> 00:04:49.810]  And worst off, when people purchase the game at alexjonesgame.com, New World, Older Worlds, it funds its evil operations against us.
[00:04:50.211 --> 00:04:52.832]  We are so close to crushing America and the world.
[00:04:53.272 --> 00:04:56.554]  Do not go to alexjonesgame.com.
[00:05:00.604 --> 00:05:02.462]  The New World Order is no more!
[00:05:04.952 --> 00:05:24.556]  Normally Christmas is our biggest sale of the year, but because of supply chain breakdowns and other issues, this is our biggest sale because finally almost all of our best-selling products are finally back in stock, including, sold out for more than a year, X2, the only true nascent iodine out there, is finally back.
[00:05:24.636 --> 00:05:28.837]  What it does for your immune system, your body, all your cells, is miraculous.
[00:05:29.217 --> 00:05:30.797]  It's discounted at FortWorthShore.com.
[00:05:31.157 --> 00:05:35.999]   Double Patriot points, free shipping, Biggest sale, hands down, of 2023.
[00:05:36.659 --> 00:05:39.360]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[00:05:39.420 --> 00:05:41.241]  So, Christmas has come early.
[00:05:41.301 --> 00:05:42.462]  Black Friday's come early.
[00:05:42.842 --> 00:05:44.042]  And it funds the InfoWar.
[00:05:44.182 --> 00:05:45.083]  Get X2.
[00:05:45.403 --> 00:05:46.963]  Get Vazzo Beats back in stock.
[00:05:47.283 --> 00:05:52.466]  Get all the other great products at InfoWarStore.com right now.
[00:05:52.506 --> 00:05:56.108]   But again, Our fan favorite, my favorite, is X2.
[00:05:56.588 --> 00:05:57.749]  Sold out for over a year.
[00:05:58.090 --> 00:05:59.631]  Could be our last run of our shutdown.
[00:05:59.911 --> 00:06:00.832]  Get it while you can.
[00:06:00.992 --> 00:06:01.412]  X2.
[00:06:01.732 --> 00:06:03.594]  Discounted info or store.com.
[00:06:07.057 --> 00:06:09.478]  It's Wednesday, November 22nd, 2023.
[00:06:10.279 --> 00:06:12.161]  I'm your host, Alex Jones.
[00:06:12.681 --> 00:06:13.782]  Strap yourselves in.
[00:06:13.882 --> 00:06:16.204]  Russell Brandt, Vivit Ramaswamy and more coming up.
[00:06:20.465 --> 00:06:24.367]  If you are receiving this transmission, you are the resistance.
[00:06:25.948 --> 00:06:30.711]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:32.312 --> 00:06:37.635]  Coming at you from deep in the heart of Texas, Austin, broadcasting worldwide.
[00:06:37.715 --> 00:06:47.581]  It's Christmas come early here for the people of America and the world because there is such a giant global awakening.
[00:06:47.621 --> 00:06:48.742]  Look at Argentina.
[00:06:51.050 --> 00:06:58.511]  With the big win there of Javier Mele and all the other patriots that are getting elected.
[00:06:58.531 --> 00:07:11.574]  The vast majority of regional and provincial and national elections from Latin America to Africa to Asia to the Pacific places like New Zealand to the continent of Europe.
[00:07:11.914 --> 00:07:12.494]  Everywhere.
[00:07:13.874 --> 00:07:17.615]  From the Netherlands to Spain to Italy to Greece.
[00:07:19.628 --> 00:07:26.433]  Populist, anti-globalist that really get what's going on and are going after the global elite are getting elected.
[00:07:27.294 --> 00:07:32.037]  So call it Christmas come early, call it Thanksgiving come early, but Thanksgiving's tomorrow.
[00:07:32.057 --> 00:07:42.625]  I am very, very thankful and very, very honored to be at the heart of detonating this global peaceful awakening.
[00:07:42.645 --> 00:07:46.588]  But the empire is going to strike back.
[00:07:46.648 --> 00:07:51.144]   So today I want to bring you Two interviews that we've not aired.
[00:07:52.046 --> 00:07:55.391]  Where I was interviewed by Vivek Ramaswamy a few weeks ago went megaviral.
[00:07:56.132 --> 00:08:03.732]   And then also last week in two parts, we taped it, but he streamed it out in two parts
[00:08:03.732 --> 00:08:06.771]  with the great Russell Brand.
[00:08:06.771 --> 00:08:09.050]  So these are really in-depth interviews.
[00:08:09.050 --> 00:08:10.331]  We cover the waterfront.
[00:08:10.331 --> 00:08:13.490]   We talk about the philosophy of liberty versus tyranny on both interviews.
[00:08:13.490 --> 00:08:20.132]   I get into God and my Christian faith, but my own personal relationship with Jesus
[00:08:20.132 --> 00:08:26.188]   and how I see this as a true interdimensional fight I talk about that in depth with Russell Brand.
[00:08:26.628 --> 00:08:36.176]  You're about to see and hear, depending on how you're watching or listening, both of these interviews back to back here today.
[00:08:37.137 --> 00:08:42.962]  And also I want to say with Thanksgiving coming up tomorrow, I just want to say a prayer for all the January 6th political prisoners.
[00:08:43.934 --> 00:09:03.839]  Like Joe Biggs, and of course, like the many other innocent people, Stuart Rhodes, and our own Owen Schroyer, in federal prison right now, in solitary confinement, both put there for his free speech, the judge said in the sentencing document, and put in solitary for his peaceful free speech, as well, daring to call out of the federal prison.
[00:09:03.859 --> 00:09:10.583]   So let's remember those guys and other political prisoners around the world, and We're in a point-blank battle with the globalists.
[00:09:10.402 --> 00:09:16.081]   and just how serious the situation is. I'm very thankful that the Speaker of the House has released
[00:09:16.081 --> 00:09:20.562]   the January 6 footage fully vindicating them and proving it was a federal provocateur
[00:09:20.562 --> 00:09:27.522]   inside job. We'll be covering more of that as well. But please remember listeners,
[00:09:27.522 --> 00:09:31.601]   we're in a point-blank battle with the globalists at point-blank range.
[00:09:31.601 --> 00:09:35.522]   And they are trying to intimidate and bully everybody into submission.
[00:09:35.806 --> 00:09:42.972]  So when you tell folks about the broadcast, when you share the articles, the videos, it takes clips out of the shows, that's really where the big effect happens.
[00:09:43.012 --> 00:09:44.893]  You're not the tail of the dog.
[00:09:44.953 --> 00:09:47.675]  You're the dog, the tail, the whole nine yards.
[00:09:47.695 --> 00:09:51.058]  You're the brains, the eyes, the will, the strength, the honor.
[00:09:51.638 --> 00:09:52.699]  You really are everything.
[00:09:52.719 --> 00:10:11.185]   And when you decide to get excited about something, When you decide to get excited about speaking out and saying no and going to the city councils and the school boards and running for office and filing lawsuits and civil disobedience and standing up for political correctness, when you do that, you are holding the line against pure, absolute evil.
[00:10:11.946 --> 00:10:30.518]  So before we go to these interviews, I want to encourage everybody to remember that and take action today and every day, telling perfect strangers and your friends, your family, your neighbors, your co-workers about InfoWars.com and the fact that the most censored broadcast in the world is still on air and is more effective and more important and has been vindicated.
[00:10:30.879 --> 00:10:32.220]  And we've stayed in the fight this long.
[00:10:32.540 --> 00:10:41.506]  We really need to stay in the fight with only 300 and something days left until this incredibly important election.
[00:10:43.720 --> 00:10:46.641]  Just 11 and a half months away right now.
[00:10:48.122 --> 00:10:53.383]  Now, continuing, we bring you products that really will change your life and really do work.
[00:10:54.024 --> 00:11:02.927]  And for the vast majority of you that heard all the rave reviews and heard me and others talk about it, you really need to know that all of these products are amazing.
[00:11:03.567 --> 00:11:06.628]  But out of all of them, the one that stands out the most is X2.
[00:11:07.288 --> 00:11:10.089]  Sold out for over a year because we could not get it produced.
[00:11:10.469 --> 00:11:12.550]  It's the only true deep-earth crystal iodine.
[00:11:13.371 --> 00:11:23.316]  On the market, and all the other iodine is bound to other elements, and has some effect but not even close to the effect of what pure iodine does.
[00:11:23.396 --> 00:11:27.879]  It's essential in the body for all cellular electrochemical activity.
[00:11:29.260 --> 00:11:30.340]  It does everything.
[00:11:31.701 --> 00:11:33.222]  And so many people are deficient.
[00:11:33.242 --> 00:11:37.044]  The UN estimates right at 2 billion are deficient, have cognitive disabilities because of it.
[00:11:38.055 --> 00:11:40.836]  But the level they say you need is actually very, very low.
[00:11:41.277 --> 00:11:42.597]  But this is very serious products.
[00:11:42.637 --> 00:11:45.418]  Be sure to consult your health care provider or physician before taking it.
[00:11:45.799 --> 00:11:46.999]  And take it easy at first.
[00:11:47.019 --> 00:11:50.781]  It takes a couple weeks to really kick in as it goes to your cells and your body.
[00:11:50.841 --> 00:11:54.463]  It's back in stock, a limited run, and it supports the broadcast.
[00:11:54.623 --> 00:11:55.623]  You need X2.
[00:11:56.103 --> 00:11:57.144]  You need to try X2.
[00:11:57.184 --> 00:11:58.845]  And by the way, it's a catch-22.
[00:11:58.925 --> 00:12:01.566]  We got a moderate supply in.
[00:12:02.754 --> 00:12:16.750]   And now we're going to try to scale up and hopefully get more in quickly, but it took them almost a year to break it down and get it into the, you know, system that it needed to be, which is very scientific.
[00:12:16.750 --> 00:12:20.989]  And so we've already sold out close to half of the X2.
[00:12:20.989 --> 00:12:22.590]  So it's a paradox.
[00:12:22.590 --> 00:12:26.770]   We've got funds coming in, but we didn't have enough funds to put it in a big enough order.
[00:12:26.770 --> 00:12:28.990]  And so if you want to get it, now is your chance.
[00:12:28.990 --> 00:12:35.950]  X2, InfowarsStore.com or 888-253-3139.
[00:12:35.950 --> 00:12:38.790]  Also Infowars Platinum.
[00:12:38.792 --> 00:12:40.332]  The HGH Maximum is very popular.
[00:12:40.352 --> 00:12:41.113]  It's about to sell out.
[00:12:41.493 --> 00:12:49.016]  We've sold out of 60 or 70% of the 1776 testosterone boost, and we've sold out more than half of the pain MD.
[00:12:49.296 --> 00:12:52.397]  There are three private labeled of already top sellers in the U.S.
[00:12:52.417 --> 00:12:53.038]  and world market.
[00:12:53.538 --> 00:12:56.817]   made right here in the United States. We're able to private label it under the names Pain MD,
[00:12:56.817 --> 00:13:03.216]   7076 testosterone boost and of course HGH max boost which is about to sell out here in the
[00:13:03.216 --> 00:13:10.018]   next few weeks of current sales rates. So infowarestore.com or 888-253-3139 and also
[00:13:10.018 --> 00:13:12.257]  Black Friday has come early.
[00:13:12.386 --> 00:13:13.107]  I forgot to add.
[00:13:13.147 --> 00:13:13.987]  I should have said up front.
[00:13:14.187 --> 00:13:15.187]  Storewide free shipping.
[00:13:15.247 --> 00:13:16.228]  Double Patriot points.
[00:13:16.268 --> 00:13:17.028]  That's a rare thing.
[00:13:17.088 --> 00:13:18.388]  Only happens once or twice a year.
[00:13:18.989 --> 00:13:29.132]  And there's so many other great products on the store as well, like my book, The Great Awakening, The Plan to Defeat the Globalist, and launch the next great renaissance.
[00:13:29.612 --> 00:13:30.692]  Infowarstore.com.
[00:13:30.732 --> 00:13:32.153]  The signed copy is a fundraiser.
[00:13:32.613 --> 00:13:33.653]  You can also get an unsigned copy.
[00:13:33.673 --> 00:13:35.554]  I want to thank you all for your past support.
[00:13:36.860 --> 00:13:38.902]  And encourage you for your current support now.
[00:13:39.122 --> 00:13:40.523]  Infowarstore.com.
[00:13:40.723 --> 00:13:41.123]  Okay.
[00:13:41.704 --> 00:13:43.705]  We're going to skip this break coming up to give us more time.
[00:13:43.745 --> 00:13:47.188]  Let's go ahead and go into the Vivek Ramaswamy interview where he interviewed me.
[00:13:47.208 --> 00:13:51.271]  And then this interview will take us into the next hour.
[00:13:51.311 --> 00:13:52.272]  It's about an hour long.
[00:13:52.292 --> 00:13:53.173]  We're right at an hour long.
[00:13:53.833 --> 00:13:55.314]  Like 59 minutes, 50-something seconds.
[00:13:55.775 --> 00:14:01.399]  And then the two-hour, almost two-hour, Russell Brand interview where he interviewed me.
[00:14:01.799 --> 00:14:03.180]  I think it's very thought-provoking.
[00:14:03.520 --> 00:14:04.441]  We do the deep dives.
[00:14:04.801 --> 00:14:07.243]  So I give you both those interviews right now.
[00:14:08.078 --> 00:14:15.423]  When they censor you and de-platform you, they can then steal your identity and misrepresent what you've said and done and then build a straw man.
[00:14:15.763 --> 00:14:19.166]  And transferring the power themselves, that's the new world order, that's global.
[00:14:19.186 --> 00:14:20.327]  It's actually the old world order.
[00:14:20.547 --> 00:14:21.107]  It is, you're right.
[00:14:21.327 --> 00:14:24.229]  It's really just the old world order in new world clothing.
[00:14:24.330 --> 00:14:25.390]  Don't let anybody hold you back.
[00:14:25.891 --> 00:14:26.171]  Amen.
[00:14:26.391 --> 00:14:26.751]  Just do it.
[00:14:27.091 --> 00:14:29.013]  Presidential candidate, Vivek Ramaswamy.
[00:14:29.033 --> 00:14:31.094]  Vivek Ramaswamy, a Republican running for president.
[00:14:31.114 --> 00:14:35.958]  We should not be apologetic to stand up and speak for the truth.
[00:14:36.418 --> 00:14:37.199]  Let's talk truth.
[00:14:39.471 --> 00:14:42.012]  I'm talking today to somebody who I'm meeting for the first time.
[00:14:42.072 --> 00:14:44.372]  I met him a few minutes ago for the first time.
[00:14:45.392 --> 00:14:47.173]  I actually don't know a lot about him.
[00:14:47.433 --> 00:14:50.813]  The number one thing I know about him is that everybody has told me not to talk to him.
[00:14:51.994 --> 00:14:55.654]  Which is what made me want to actually sit down and talk to him.
[00:14:56.595 --> 00:15:02.156]  The United States of America were founded on free speech and open debate.
[00:15:02.236 --> 00:15:05.536]  It's in the First Amendment for a reason.
[00:15:06.337 --> 00:15:07.177]  And so you know what?
[00:15:09.153 --> 00:15:13.697]  Wrong, that we've become a culture that wants to censor free speech and open debate.
[00:15:14.598 --> 00:15:18.541]  And I think that part of the American way of life is we don't just embrace moderate ideals.
[00:15:18.601 --> 00:15:19.823]  That is an extreme idea.
[00:15:20.403 --> 00:15:24.267]  The idea that you get to speak your mind as long as I get to in return.
[00:15:25.207 --> 00:15:26.068]  That's a wild idea.
[00:15:27.029 --> 00:15:30.072]  For most of human history, it was done the other way.
[00:15:31.377 --> 00:15:33.282]  And that's what makes America great.
[00:15:33.482 --> 00:15:35.287]  That's what makes America itself.
[00:15:35.527 --> 00:15:40.439]  And so, if somebody tells me, don't listen to this person, my reaction is, you know what?
[00:15:41.169 --> 00:15:41.810]  I'm going to listen to him.
[00:15:42.030 --> 00:15:46.453]  I'm going to keep an open mind and hear what every person has to say, because I'm a human being.
[00:15:46.613 --> 00:15:48.155]  Each of us as Americans is a human being.
[00:15:48.195 --> 00:15:54.279]  We can judge for ourselves what we believe the actual right way forward is for our country.
[00:15:55.000 --> 00:15:57.502]  So with that said, I've been looking forward to this conversation for a long time.
[00:15:57.522 --> 00:15:58.383]  I'm excited about it.
[00:15:59.423 --> 00:16:00.865]  Alex Jones, it's good to see you, man.
[00:16:01.685 --> 00:16:07.330]  Vivek, thanks for doing this, because when they censor you and deplatform you, they can then steal your identity.
[00:16:07.970 --> 00:16:11.111]  And misrepresent what you've said and done and then build a straw man.
[00:16:11.651 --> 00:16:11.871]  Yeah.
[00:16:12.151 --> 00:16:13.532]  And that's why they fight so hard.
[00:16:13.552 --> 00:16:16.873]  Ninety nine percent of the things they say about me aren't true.
[00:16:16.893 --> 00:16:17.873]  They never show a clip.
[00:16:18.493 --> 00:16:19.854]  They just say I've done these things.
[00:16:19.914 --> 00:16:20.474]  I haven't done.
[00:16:20.494 --> 00:16:30.637]  And it reminds me of them saying that Trump said after the thing that happened in Virginia, Charlottesville, that he said Hispanics are horrible criminals, bad people.
[00:16:30.777 --> 00:16:31.417]  He didn't say that.
[00:16:31.877 --> 00:16:35.198]  He said they're wonderful, good people, but they're also a lot of bad people coming across the border.
[00:16:35.639 --> 00:16:36.619]  They wouldn't show the clip.
[00:16:37.259 --> 00:16:53.805]  They would just say he said that, but he had a big enough bully pulpit to override that and so it doubled the number of Hispanics when he first got elected towards the end of his first term who understood that it was a lie and they then embraced him because of that.
[00:16:53.825 --> 00:16:58.166]  But that was because he could show them the actual clip and show them that there had been a lie.
[00:16:58.787 --> 00:16:59.767]  I'm not as big as Trump.
[00:17:00.067 --> 00:17:14.583]   I'm probably like 5% of the pull he's got and so I have been successfully in many ways I mean, they built another Alex Jones that's not me, and that's why they say don't ever interview Alex Jones, because they're going to hear something that probably most people are going to agree with.
[00:17:14.923 --> 00:17:16.425]  Yes, it's interesting.
[00:17:17.907 --> 00:17:28.892]  I think that, I mean, I wouldn't be here if it weren't for the fact that, you know, somebody came up, I don't know if it was someone from your team or someone who's part of your, you know, one of your followers or something, suggested it.
[00:17:29.272 --> 00:17:32.033]  And I said, okay, well, several people are saying, suggest, talk to this guy.
[00:17:32.093 --> 00:17:33.473]  Let's see if that's something we're open to.
[00:17:33.513 --> 00:17:36.675]  And then the reaction that I get is, no, no, no, no, this is a guy.
[00:17:37.535 --> 00:17:38.255]  You don't want to talk to it.
[00:17:38.276 --> 00:17:39.756]  It's going to be politically toxic for you.
[00:17:39.796 --> 00:17:40.537]  And my view is, no, no, no.
[00:17:40.557 --> 00:17:41.658]  We're the United States of America.
[00:17:41.678 --> 00:17:44.839]  So I have no idea if I'm going to agree with everything you're going to say or not.
[00:17:44.959 --> 00:17:45.960]  Well, I mean, here's your comeback.
[00:17:45.980 --> 00:17:46.640]  I'm curious about this.
[00:17:46.741 --> 00:17:46.961]  Yeah.
[00:17:47.021 --> 00:17:47.561]  Here's your comeback.
[00:17:47.941 --> 00:17:55.386]  Lester Holt last week did a really important interview, or two weeks ago, with the Ayatollah Khomeini, the leader of Iran.
[00:17:55.406 --> 00:17:57.727]  Now, that guy is praising the attacks on Israel.
[00:17:57.747 --> 00:17:58.247]  It's terrible.
[00:17:58.267 --> 00:17:59.188]  I think he's a bad guy.
[00:17:59.208 --> 00:18:00.609]  Yeah, Khomeini's not a good guy.
[00:18:00.789 --> 00:18:03.110]  Doesn't mean I want World War III with him either in Hezbollah.
[00:18:03.130 --> 00:18:03.270]  Amen.
[00:18:03.470 --> 00:18:05.292]  Who's got sleeper cells in America on our open border.
[00:18:06.112 --> 00:18:12.395]  That said, everybody doesn't attack Lester Holt interviewing the leader of Iran, the religious dictator.
[00:18:12.895 --> 00:18:22.679]  Okay, so you see Hamas publishing videos of kidnapping Israelis, killing Israelis, dead bodies, whole houses shot up with dead families.
[00:18:22.719 --> 00:18:23.839]  That's posted on Twitter.
[00:18:24.240 --> 00:18:24.960]  That's okay.
[00:18:25.980 --> 00:18:27.201]  I actually think that's...
[00:18:28.377 --> 00:18:30.518]  I mean, I guess free speech, as long as it has an advisory on it.
[00:18:30.838 --> 00:18:31.559]  The kids don't see it.
[00:18:31.599 --> 00:18:32.359]  Okay, it's horrible.
[00:18:32.719 --> 00:18:33.320]  First Amendment.
[00:18:33.440 --> 00:18:35.601]  I don't agree with it, but I understand it needs to be shown.
[00:18:35.621 --> 00:18:37.982]  That's where I'm at, is free speech and open debate.
[00:18:38.002 --> 00:18:39.043]  I haven't killed anybody.
[00:18:39.203 --> 00:18:57.012]  I'm not storming Israeli towns and murdering people en masse or coming on powered hang gliders slaughtering people, but they don't want this to be heard because when I see your message, and I'm not kissing your ass, it's just true, you are the most informed and the least to attack you, which is true.
[00:18:58.095 --> 00:19:09.143]  Geopolitically, you name it, compared to anybody I've ever basically interviewed, and Tucker Carlson's super smart, and I would say has more charisma, but he's a close second.
[00:19:09.463 --> 00:19:30.053]   Your grasp, because I see the random questions you're asking, of just a wide spectrum of things is amazing, and your understanding that America, the idea of a free market competitive culture, is something the globalists can't have because they have a competing corporate oligarchy or tyranny and cashless society social credit
[00:19:30.053 --> 00:19:35.952]   score they're setting up with the ESG's and that's the potential of America is so powerful because
[00:19:35.952 --> 00:19:41.263]   people aspire to that. America has to be wiped out with political correctness and all the rest of it
[00:19:41.263 --> 00:19:45.923]   so that the whole world can be leveled down to one giant third world population that BlackRock and
[00:19:45.923 --> 00:19:50.683]   the megacorporations can exploit and control and quote control our behavior as Larry Fink
[00:19:50.683 --> 00:19:51.013]  said.
[00:19:51.214 --> 00:19:52.994]  So congratulations on the work you've done.
[00:19:53.715 --> 00:19:55.375]  The number one candidate I support is Donald Trump.
[00:19:56.135 --> 00:19:59.016]  If something happened to him, I would support you for president.
[00:19:59.336 --> 00:20:00.277]  And I'm very, very impressed.
[00:20:00.297 --> 00:20:03.037]  A lot of people say, well, five years ago his views were a little bit different.
[00:20:03.057 --> 00:20:04.258]  Well, so were mine.
[00:20:04.978 --> 00:20:07.018]  And so people say, well, he wasn't perfect in the past.
[00:20:07.058 --> 00:20:08.279]  Well, I'm not perfect today.
[00:20:08.959 --> 00:20:15.564]  We have to be ready, as the world awakens to the real political system, to have converts to liberty and freedom and Americana.
[00:20:16.365 --> 00:20:20.268]  And so the fact that you are a leading light, really promoting the truth, is amazing.
[00:20:20.729 --> 00:20:24.692]  And the few people that criticize you saying, well, he just showed up on the scene.
[00:20:24.732 --> 00:20:28.555]  Well, that's what happens with innovation and ideas.
[00:20:28.815 --> 00:20:31.838]  Of course, you didn't just show up on the scene, but exploded on the national scene.
[00:20:32.178 --> 00:20:33.779]  And so I really appreciate your campaign.
[00:20:33.799 --> 00:20:35.160]  I think it's the best thing out there.
[00:20:35.180 --> 00:20:38.383]  When you watch these Republican debates, they're unwatchable except for you.
[00:20:38.803 --> 00:20:52.614]  My listeners all agree, the crew all agrees, that why don't we just have you up there for two hours instead, because there's nothing but talking points and canned garbage from the rest of them, because I can tell you run your campaign.
[00:20:52.995 --> 00:21:00.300]  All the rest of these people are told what to say, and they're looking at polls and numbers, and it's synthetic with you, it's real.
[00:21:00.761 --> 00:21:03.803]  They're puppets, and that's not even their fault, actually.
[00:21:03.823 --> 00:21:07.146]  I've realized, at first I would think I'm running against these other candidates.
[00:21:08.621 --> 00:21:15.869]  They're puppets of a broken Super PAC puppet master system, and that's just the state of American politics today.
[00:21:16.429 --> 00:21:26.575]   And my view is, you know, if you look at some of the stuff that I've written in my books, my first book, Woke Inc., even years ago, I agree with 90, still 99% of what I said, but I moved a little bit.
[00:21:26.655 --> 00:21:27.556]  And that's good.
[00:21:27.596 --> 00:21:28.617]  We're human beings.
[00:21:28.677 --> 00:21:30.199]  That's why I'm having this conversation.
[00:21:30.459 --> 00:21:33.302]  That's why people listen to contrary voices.
[00:21:33.782 --> 00:21:36.025]  We're human beings, not partisan hacks.
[00:21:36.205 --> 00:21:36.745]  Well, exactly.
[00:21:36.786 --> 00:21:40.409]  The world's got to respond to information and think about it and evolve our views.
[00:21:40.449 --> 00:21:43.292]  That's what it means to be a thinking human being, at least to me.
[00:21:43.412 --> 00:21:44.734]  And the globalists have come out in the open.
[00:21:45.285 --> 00:21:45.505]  Yeah.
[00:21:45.925 --> 00:21:47.826]  I mean, I was talking to Tucker Carlson just the other day.
[00:21:47.846 --> 00:21:53.929]  I went to visit him in Maine, and we did some hunting and stuff, and he was like, man, I'm more radical than you now.
[00:21:53.969 --> 00:21:57.251]  We were sitting there talking because the world, it's out in the open.
[00:21:57.271 --> 00:21:58.491]  The globalists have taken the mask off.
[00:21:58.852 --> 00:22:02.053]  So I know you've been a pro-freedom of speech, liberty guy for a decade or more.
